context: I'm gonna go on ahead! response:	Wait a minute! You're forgetting something!
context: That again?\T-Thanks... now, don't you be late, either!\Yes, I understand!\Now, please excuse me.\So in this place, every single student has some special ability?\Episode 2 Melody of Despair\No, some have the possibility of having one,\some show signs of developing one... there are many students of such pending nature. response:	But transferring just for that..?
context: T-Thanks... now, don't you be late, either!\Yes, I understand!\Now, please excuse me.\So in this place, every single student has some special ability?\Episode 2 Melody of Despair\No, some have the possibility of having one,\some show signs of developing one... there are many students of such pending nature.\But transferring just for that..? response:	Long ago, those who had special abilities like us
context: Yes, I understand!\Now, please excuse me.\So in this place, every single student has some special ability?\Episode 2 Melody of Despair\No, some have the possibility of having one,\some show signs of developing one... there are many students of such pending nature.\But transferring just for that..?\Long ago, those who had special abilities like us response:	became guinea pigs for neuroscientists without fail!
context: Now, please excuse me.\So in this place, every single student has some special ability?\Episode 2 Melody of Despair\No, some have the possibility of having one,\some show signs of developing one... there are many students of such pending nature.\But transferring just for that..?\Long ago, those who had special abilities like us\became guinea pigs for neuroscientists without fail! response:	If you get caught even once, your life is basically over.
context: So in this place, every single student has some special ability?\Episode 2 Melody of Despair\No, some have the possibility of having one,\some show signs of developing one... there are many students of such pending nature.\But transferring just for that..?\Long ago, those who had special abilities like us\became guinea pigs for neuroscientists without fail!\If you get caught even once, your life is basically over. response:	I'm actually talking about my big brother..
context: Episode 2 Melody of Despair\No, some have the possibility of having one,\some show signs of developing one... there are many students of such pending nature.\But transferring just for that..?\Long ago, those who had special abilities like us\became guinea pigs for neuroscientists without fail!\If you get caught even once, your life is basically over.\I'm actually talking about my big brother.. response:	To protect those with abilities, a certain individual created the current system.
context: No, some have the possibility of having one,\some show signs of developing one... there are many students of such pending nature.\But transferring just for that..?\Long ago, those who had special abilities like us\became guinea pigs for neuroscientists without fail!\If you get caught even once, your life is basically over.\I'm actually talking about my big brother..\To protect those with abilities, a certain individual created the current system. response:	Though it wasn't in time to save my big brother.
context: some show signs of developing one... there are many students of such pending nature.\But transferring just for that..?\Long ago, those who had special abilities like us\became guinea pigs for neuroscientists without fail!\If you get caught even once, your life is basically over.\I'm actually talking about my big brother..\To protect those with abilities, a certain individual created the current system.\Though it wasn't in time to save my big brother. response:	But you were the one that got me into this student council, and to use my powers.
context: But transferring just for that..?\Long ago, those who had special abilities like us\became guinea pigs for neuroscientists without fail!\If you get caught even once, your life is basically over.\I'm actually talking about my big brother..\To protect those with abilities, a certain individual created the current system.\Though it wasn't in time to save my big brother.\But you were the one that got me into this student council, and to use my powers. response:	The student council is the only group that is entrusted with a special mission.
context: Long ago, those who had special abilities like us\became guinea pigs for neuroscientists without fail!\If you get caught even once, your life is basically over.\I'm actually talking about my big brother..\To protect those with abilities, a certain individual created the current system.\Though it wasn't in time to save my big brother.\But you were the one that got me into this student council, and to use my powers.\The student council is the only group that is entrusted with a special mission. response:	The mission is to get a hold of those with abilities out on the loose, like you were, before others...
context: became guinea pigs for neuroscientists without fail!\If you get caught even once, your life is basically over.\I'm actually talking about my big brother..\To protect those with abilities, a certain individual created the current system.\Though it wasn't in time to save my big brother.\But you were the one that got me into this student council, and to use my powers.\The student council is the only group that is entrusted with a special mission.\The mission is to get a hold of those with abilities out on the loose, like you were, before others... response:	and either protect them or threaten them to never use their powers.
context: If you get caught even once, your life is basically over.\I'm actually talking about my big brother..\To protect those with abilities, a certain individual created the current system.\Though it wasn't in time to save my big brother.\But you were the one that got me into this student council, and to use my powers.\The student council is the only group that is entrusted with a special mission.\The mission is to get a hold of those with abilities out on the loose, like you were, before others...\and either protect them or threaten them to never use their powers. response:	Why do I need to do such a thing?
context: I'm actually talking about my big brother..\To protect those with abilities, a certain individual created the current system.\Though it wasn't in time to save my big brother.\But you were the one that got me into this student council, and to use my powers.\The student council is the only group that is entrusted with a special mission.\The mission is to get a hold of those with abilities out on the loose, like you were, before others...\and either protect them or threaten them to never use their powers.\Why do I need to do such a thing? response:	In return, you are paid appropriately.
context: To protect those with abilities, a certain individual created the current system.\Though it wasn't in time to save my big brother.\But you were the one that got me into this student council, and to use my powers.\The student council is the only group that is entrusted with a special mission.\The mission is to get a hold of those with abilities out on the loose, like you were, before others...\and either protect them or threaten them to never use their powers.\Why do I need to do such a thing?\In return, you are paid appropriately. response:	Isn't Ayumi doing her best to make
context: Though it wasn't in time to save my big brother.\But you were the one that got me into this student council, and to use my powers.\The student council is the only group that is entrusted with a special mission.\The mission is to get a hold of those with abilities out on the loose, like you were, before others...\and either protect them or threaten them to never use their powers.\Why do I need to do such a thing?\In return, you are paid appropriately.\Isn't Ayumi doing her best to make response:	meals every day because you can't even afford proper food?
context: But you were the one that got me into this student council, and to use my powers.\The student council is the only group that is entrusted with a special mission.\The mission is to get a hold of those with abilities out on the loose, like you were, before others...\and either protect them or threaten them to never use their powers.\Why do I need to do such a thing?\In return, you are paid appropriately.\Isn't Ayumi doing her best to make\meals every day because you can't even afford proper food? response:	Well... I'm Yu Otosaka.
context: The student council is the only group that is entrusted with a special mission.\The mission is to get a hold of those with abilities out on the loose, like you were, before others...\and either protect them or threaten them to never use their powers.\Why do I need to do such a thing?\In return, you are paid appropriately.\Isn't Ayumi doing her best to make\meals every day because you can't even afford proper food?\Well... I'm Yu Otosaka. response:	I came here from Hinomori High School. Nice to meet you.
context: The mission is to get a hold of those with abilities out on the loose, like you were, before others...\and either protect them or threaten them to never use their powers.\Why do I need to do such a thing?\In return, you are paid appropriately.\Isn't Ayumi doing her best to make\meals every day because you can't even afford proper food?\Well... I'm Yu Otosaka.\I came here from Hinomori High School. Nice to meet you. response:	So handsome!
context: and either protect them or threaten them to never use their powers.\Why do I need to do such a thing?\In return, you are paid appropriately.\Isn't Ayumi doing her best to make\meals every day because you can't even afford proper food?\Well... I'm Yu Otosaka.\I came here from Hinomori High School. Nice to meet you.\So handsome! response:	Hey, she's a first year, but she's the student council president?
context: Why do I need to do such a thing?\In return, you are paid appropriately.\Isn't Ayumi doing her best to make\meals every day because you can't even afford proper food?\Well... I'm Yu Otosaka.\I came here from Hinomori High School. Nice to meet you.\So handsome!\Hey, she's a first year, but she's the student council president? response:	Right. In this academy, the student council president is not determined by grade.
context: In return, you are paid appropriately.\Isn't Ayumi doing her best to make\meals every day because you can't even afford proper food?\Well... I'm Yu Otosaka.\I came here from Hinomori High School. Nice to meet you.\So handsome!\Hey, she's a first year, but she's the student council president?\Right. In this academy, the student council president is not determined by grade. response:	The highest priority goes to someone with an ability, and how active they are.
context: Isn't Ayumi doing her best to make\meals every day because you can't even afford proper food?\Well... I'm Yu Otosaka.\I came here from Hinomori High School. Nice to meet you.\So handsome!\Hey, she's a first year, but she's the student council president?\Right. In this academy, the student council president is not determined by grade.\The highest priority goes to someone with an ability, and how active they are. response:	Congratulations
context: meals every day because you can't even afford proper food?\Well... I'm Yu Otosaka.\I came here from Hinomori High School. Nice to meet you.\So handsome!\Hey, she's a first year, but she's the student council president?\Right. In this academy, the student council president is not determined by grade.\The highest priority goes to someone with an ability, and how active they are.\Congratulations response:	This is exactly the same thing as last night's dinner!
context: Well... I'm Yu Otosaka.\I came here from Hinomori High School. Nice to meet you.\So handsome!\Hey, she's a first year, but she's the student council president?\Right. In this academy, the student council president is not determined by grade.\The highest priority goes to someone with an ability, and how active they are.\Congratulations\This is exactly the same thing as last night's dinner! response:	Otosaka, what are you going to do about lunch?
context: I came here from Hinomori High School. Nice to meet you.\So handsome!\Hey, she's a first year, but she's the student council president?\Right. In this academy, the student council president is not determined by grade.\The highest priority goes to someone with an ability, and how active they are.\Congratulations\This is exactly the same thing as last night's dinner!\Otosaka, what are you going to do about lunch? response:	Well, I don't have anything...
context: So handsome!\Hey, she's a first year, but she's the student council president?\Right. In this academy, the student council president is not determined by grade.\The highest priority goes to someone with an ability, and how active they are.\Congratulations\This is exactly the same thing as last night's dinner!\Otosaka, what are you going to do about lunch?\Well, I don't have anything... response:	Then, let's go to the cafeteria together. I'll guide you there.
context: Hey, she's a first year, but she's the student council president?\Right. In this academy, the student council president is not determined by grade.\The highest priority goes to someone with an ability, and how active they are.\Congratulations\This is exactly the same thing as last night's dinner!\Otosaka, what are you going to do about lunch?\Well, I don't have anything...\Then, let's go to the cafeteria together. I'll guide you there. response:	That would be a big help.
context: Right. In this academy, the student council president is not determined by grade.\The highest priority goes to someone with an ability, and how active they are.\Congratulations\This is exactly the same thing as last night's dinner!\Otosaka, what are you going to do about lunch?\Well, I don't have anything...\Then, let's go to the cafeteria together. I'll guide you there.\That would be a big help. response:	You're not going to invite her?
context: The highest priority goes to someone with an ability, and how active they are.\Congratulations\This is exactly the same thing as last night's dinner!\Otosaka, what are you going to do about lunch?\Well, I don't have anything...\Then, let's go to the cafeteria together. I'll guide you there.\That would be a big help.\You're not going to invite her? response:	If you don't mind, I can invite her as well?
context: Congratulations\This is exactly the same thing as last night's dinner!\Otosaka, what are you going to do about lunch?\Well, I don't have anything...\Then, let's go to the cafeteria together. I'll guide you there.\That would be a big help.\You're not going to invite her?\If you don't mind, I can invite her as well? response:	Nah... no thanks.
context: This is exactly the same thing as last night's dinner!\Otosaka, what are you going to do about lunch?\Well, I don't have anything...\Then, let's go to the cafeteria together. I'll guide you there.\That would be a big help.\You're not going to invite her?\If you don't mind, I can invite her as well?\Nah... no thanks. response:	There doesn't seem to be any open seats at the tables...
context: Otosaka, what are you going to do about lunch?\Well, I don't have anything...\Then, let's go to the cafeteria together. I'll guide you there.\That would be a big help.\You're not going to invite her?\If you don't mind, I can invite her as well?\Nah... no thanks.\There doesn't seem to be any open seats at the tables... response:	Then how about we buy some sandwiches and go back to the classroom?
context: Well, I don't have anything...\Then, let's go to the cafeteria together. I'll guide you there.\That would be a big help.\You're not going to invite her?\If you don't mind, I can invite her as well?\Nah... no thanks.\There doesn't seem to be any open seats at the tables...\Then how about we buy some sandwiches and go back to the classroom? response:	Well, it's pretty crowded over there, too.
context: Then, let's go to the cafeteria together. I'll guide you there.\That would be a big help.\You're not going to invite her?\If you don't mind, I can invite her as well?\Nah... no thanks.\There doesn't seem to be any open seats at the tables...\Then how about we buy some sandwiches and go back to the classroom?\Well, it's pretty crowded over there, too. response:	Leave that part to me. It's where I can show off my own ability.
context: That would be a big help.\You're not going to invite her?\If you don't mind, I can invite her as well?\Nah... no thanks.\There doesn't seem to be any open seats at the tables...\Then how about we buy some sandwiches and go back to the classroom?\Well, it's pretty crowded over there, too.\Leave that part to me. It's where I can show off my own ability. response:	Is it okay for you to use it?
context: You're not going to invite her?\If you don't mind, I can invite her as well?\Nah... no thanks.\There doesn't seem to be any open seats at the tables...\Then how about we buy some sandwiches and go back to the classroom?\Well, it's pretty crowded over there, too.\Leave that part to me. It's where I can show off my own ability.\Is it okay for you to use it? response:	It's fine. I'll go in from the blind spot on the camera.
context: If you don't mind, I can invite her as well?\Nah... no thanks.\There doesn't seem to be any open seats at the tables...\Then how about we buy some sandwiches and go back to the classroom?\Well, it's pretty crowded over there, too.\Leave that part to me. It's where I can show off my own ability.\Is it okay for you to use it?\It's fine. I'll go in from the blind spot on the camera. response:	Though, since it will go by too quickly, what kind of bread I grab all depends on luck.
context: Nah... no thanks.\There doesn't seem to be any open seats at the tables...\Then how about we buy some sandwiches and go back to the classroom?\Well, it's pretty crowded over there, too.\Leave that part to me. It's where I can show off my own ability.\Is it okay for you to use it?\It's fine. I'll go in from the blind spot on the camera.\Though, since it will go by too quickly, what kind of bread I grab all depends on luck. response:	What was that?
context: There doesn't seem to be any open seats at the tables...\Then how about we buy some sandwiches and go back to the classroom?\Well, it's pretty crowded over there, too.\Leave that part to me. It's where I can show off my own ability.\Is it okay for you to use it?\It's fine. I'll go in from the blind spot on the camera.\Though, since it will go by too quickly, what kind of bread I grab all depends on luck.\What was that? response:	An explosion?
context: Then how about we buy some sandwiches and go back to the classroom?\Well, it's pretty crowded over there, too.\Leave that part to me. It's where I can show off my own ability.\Is it okay for you to use it?\It's fine. I'll go in from the blind spot on the camera.\Though, since it will go by too quickly, what kind of bread I grab all depends on luck.\What was that?\An explosion? response:	Sorry to make you wait.
context: Well, it's pretty crowded over there, too.\Leave that part to me. It's where I can show off my own ability.\Is it okay for you to use it?\It's fine. I'll go in from the blind spot on the camera.\Though, since it will go by too quickly, what kind of bread I grab all depends on luck.\What was that?\An explosion?\Sorry to make you wait. response:	Oh, today I have a marvelous result. A cutlet sandwich.
context: Leave that part to me. It's where I can show off my own ability.\Is it okay for you to use it?\It's fine. I'll go in from the blind spot on the camera.\Though, since it will go by too quickly, what kind of bread I grab all depends on luck.\What was that?\An explosion?\Sorry to make you wait.\Oh, today I have a marvelous result. A cutlet sandwich. response:	You call that a success? With so many wounds all over you?
context: Is it okay for you to use it?\It's fine. I'll go in from the blind spot on the camera.\Though, since it will go by too quickly, what kind of bread I grab all depends on luck.\What was that?\An explosion?\Sorry to make you wait.\Oh, today I have a marvelous result. A cutlet sandwich.\You call that a success? With so many wounds all over you? response:	I do wear armor under my uniform so the wounds are not that deep, you know?
context: It's fine. I'll go in from the blind spot on the camera.\Though, since it will go by too quickly, what kind of bread I grab all depends on luck.\What was that?\An explosion?\Sorry to make you wait.\Oh, today I have a marvelous result. A cutlet sandwich.\You call that a success? With so many wounds all over you?\I do wear armor under my uniform so the wounds are not that deep, you know? response:	But you're bleeding from your head!
context: Though, since it will go by too quickly, what kind of bread I grab all depends on luck.\What was that?\An explosion?\Sorry to make you wait.\Oh, today I have a marvelous result. A cutlet sandwich.\You call that a success? With so many wounds all over you?\I do wear armor under my uniform so the wounds are not that deep, you know?\But you're bleeding from your head! response:	You're... a pretty dangerous guy, despite how you look.
context: What was that?\An explosion?\Sorry to make you wait.\Oh, today I have a marvelous result. A cutlet sandwich.\You call that a success? With so many wounds all over you?\I do wear armor under my uniform so the wounds are not that deep, you know?\But you're bleeding from your head!\You're... a pretty dangerous guy, despite how you look. response:	What do you mean by that?
context: An explosion?\Sorry to make you wait.\Oh, today I have a marvelous result. A cutlet sandwich.\You call that a success? With so many wounds all over you?\I do wear armor under my uniform so the wounds are not that deep, you know?\But you're bleeding from your head!\You're... a pretty dangerous guy, despite how you look.\What do you mean by that? response:	More like, you have nothing but cutlet sandwiches.
context: Sorry to make you wait.\Oh, today I have a marvelous result. A cutlet sandwich.\You call that a success? With so many wounds all over you?\I do wear armor under my uniform so the wounds are not that deep, you know?\But you're bleeding from your head!\You're... a pretty dangerous guy, despite how you look.\What do you mean by that?\More like, you have nothing but cutlet sandwiches. response:	It's teleportation, you know?
context: Oh, today I have a marvelous result. A cutlet sandwich.\You call that a success? With so many wounds all over you?\I do wear armor under my uniform so the wounds are not that deep, you know?\But you're bleeding from your head!\You're... a pretty dangerous guy, despite how you look.\What do you mean by that?\More like, you have nothing but cutlet sandwiches.\It's teleportation, you know? response:	Did you think I had time to pick and choose what I wanted?
context: You call that a success? With so many wounds all over you?\I do wear armor under my uniform so the wounds are not that deep, you know?\But you're bleeding from your head!\You're... a pretty dangerous guy, despite how you look.\What do you mean by that?\More like, you have nothing but cutlet sandwiches.\It's teleportation, you know?\Did you think I had time to pick and choose what I wanted? response:	And every single one is smushed...
context: I do wear armor under my uniform so the wounds are not that deep, you know?\But you're bleeding from your head!\You're... a pretty dangerous guy, despite how you look.\What do you mean by that?\More like, you have nothing but cutlet sandwiches.\It's teleportation, you know?\Did you think I had time to pick and choose what I wanted?\And every single one is smushed... response:	It's teleportation, you know?
context: But you're bleeding from your head!\You're... a pretty dangerous guy, despite how you look.\What do you mean by that?\More like, you have nothing but cutlet sandwiches.\It's teleportation, you know?\Did you think I had time to pick and choose what I wanted?\And every single one is smushed...\It's teleportation, you know? response:	You think I can fine-tune how forcefully I grab the merchandise?
context: You're... a pretty dangerous guy, despite how you look.\What do you mean by that?\More like, you have nothing but cutlet sandwiches.\It's teleportation, you know?\Did you think I had time to pick and choose what I wanted?\And every single one is smushed...\It's teleportation, you know?\You think I can fine-tune how forcefully I grab the merchandise? response:	So it's an imperfect ability!?
context: What do you mean by that?\More like, you have nothing but cutlet sandwiches.\It's teleportation, you know?\Did you think I had time to pick and choose what I wanted?\And every single one is smushed...\It's teleportation, you know?\You think I can fine-tune how forcefully I grab the merchandise?\So it's an imperfect ability!? response:	She doesn't even have any female friends, though she's the student council president?
context: More like, you have nothing but cutlet sandwiches.\It's teleportation, you know?\Did you think I had time to pick and choose what I wanted?\And every single one is smushed...\It's teleportation, you know?\You think I can fine-tune how forcefully I grab the merchandise?\So it's an imperfect ability!?\She doesn't even have any female friends, though she's the student council president? response:	Her ability is to become invisible to one person she chooses.
context: It's teleportation, you know?\Did you think I had time to pick and choose what I wanted?\And every single one is smushed...\It's teleportation, you know?\You think I can fine-tune how forcefully I grab the merchandise?\So it's an imperfect ability!?\She doesn't even have any female friends, though she's the student council president?\Her ability is to become invisible to one person she chooses. response:	Which means, everyone other than that one person can see her.
context: Did you think I had time to pick and choose what I wanted?\And every single one is smushed...\It's teleportation, you know?\You think I can fine-tune how forcefully I grab the merchandise?\So it's an imperfect ability!?\She doesn't even have any female friends, though she's the student council president?\Her ability is to become invisible to one person she chooses.\Which means, everyone other than that one person can see her. response:	Such imperfection is what caused the situation she is currently in.
context: And every single one is smushed...\It's teleportation, you know?\You think I can fine-tune how forcefully I grab the merchandise?\So it's an imperfect ability!?\She doesn't even have any female friends, though she's the student council president?\Her ability is to become invisible to one person she chooses.\Which means, everyone other than that one person can see her.\Such imperfection is what caused the situation she is currently in. response:	Even though she had valid reason to...
context: It's teleportation, you know?\You think I can fine-tune how forcefully I grab the merchandise?\So it's an imperfect ability!?\She doesn't even have any female friends, though she's the student council president?\Her ability is to become invisible to one person she chooses.\Which means, everyone other than that one person can see her.\Such imperfection is what caused the situation she is currently in.\Even though she had valid reason to... response:	What would people around her think after seeing her use her ability
context: You think I can fine-tune how forcefully I grab the merchandise?\So it's an imperfect ability!?\She doesn't even have any female friends, though she's the student council president?\Her ability is to become invisible to one person she chooses.\Which means, everyone other than that one person can see her.\Such imperfection is what caused the situation she is currently in.\Even though she had valid reason to...\What would people around her think after seeing her use her ability response:	to take violent actions?
context: So it's an imperfect ability!?\She doesn't even have any female friends, though she's the student council president?\Her ability is to become invisible to one person she chooses.\Which means, everyone other than that one person can see her.\Such imperfection is what caused the situation she is currently in.\Even though she had valid reason to...\What would people around her think after seeing her use her ability\to take violent actions? response:	And on top of it, the surveillance cameras show nothing more than an ordinary fight.
context: She doesn't even have any female friends, though she's the student council president?\Her ability is to become invisible to one person she chooses.\Which means, everyone other than that one person can see her.\Such imperfection is what caused the situation she is currently in.\Even though she had valid reason to...\What would people around her think after seeing her use her ability\to take violent actions?\And on top of it, the surveillance cameras show nothing more than an ordinary fight. response:	If she kept doing something like that,
context: Her ability is to become invisible to one person she chooses.\Which means, everyone other than that one person can see her.\Such imperfection is what caused the situation she is currently in.\Even though she had valid reason to...\What would people around her think after seeing her use her ability\to take violent actions?\And on top of it, the surveillance cameras show nothing more than an ordinary fight.\If she kept doing something like that, response:	it's pretty obvious that people would come to hate her.
context: Which means, everyone other than that one person can see her.\Such imperfection is what caused the situation she is currently in.\Even though she had valid reason to...\What would people around her think after seeing her use her ability\to take violent actions?\And on top of it, the surveillance cameras show nothing more than an ordinary fight.\If she kept doing something like that,\it's pretty obvious that people would come to hate her. response:	But her personality apparently wasn't like that until she got into middle school.
context: Such imperfection is what caused the situation she is currently in.\Even though she had valid reason to...\What would people around her think after seeing her use her ability\to take violent actions?\And on top of it, the surveillance cameras show nothing more than an ordinary fight.\If she kept doing something like that,\it's pretty obvious that people would come to hate her.\But her personality apparently wasn't like that until she got into middle school. response:	Oh, she's coming towards us.
context: Even though she had valid reason to...\What would people around her think after seeing her use her ability\to take violent actions?\And on top of it, the surveillance cameras show nothing more than an ordinary fight.\If she kept doing something like that,\it's pretty obvious that people would come to hate her.\But her personality apparently wasn't like that until she got into middle school.\Oh, she's coming towards us. response:	A comrade will show up soon.
context: What would people around her think after seeing her use her ability\to take violent actions?\And on top of it, the surveillance cameras show nothing more than an ordinary fight.\If she kept doing something like that,\it's pretty obvious that people would come to hate her.\But her personality apparently wasn't like that until she got into middle school.\Oh, she's coming towards us.\A comrade will show up soon. response:	What the hell?
context: to take violent actions?\And on top of it, the surveillance cameras show nothing more than an ordinary fight.\If she kept doing something like that,\it's pretty obvious that people would come to hate her.\But her personality apparently wasn't like that until she got into middle school.\Oh, she's coming towards us.\A comrade will show up soon.\What the hell? response:	That means, everyone gather at the student council room.
context: And on top of it, the surveillance cameras show nothing more than an ordinary fight.\If she kept doing something like that,\it's pretty obvious that people would come to hate her.\But her personality apparently wasn't like that until she got into middle school.\Oh, she's coming towards us.\A comrade will show up soon.\What the hell?\That means, everyone gather at the student council room. response:	You figured it out with just that?
context: If she kept doing something like that,\it's pretty obvious that people would come to hate her.\But her personality apparently wasn't like that until she got into middle school.\Oh, she's coming towards us.\A comrade will show up soon.\What the hell?\That means, everyone gather at the student council room.\You figured it out with just that? response:	What in the world is going to begin..?
context: it's pretty obvious that people would come to hate her.\But her personality apparently wasn't like that until she got into middle school.\Oh, she's coming towards us.\A comrade will show up soon.\What the hell?\That means, everyone gather at the student council room.\You figured it out with just that?\What in the world is going to begin..? response:	What is this guy?
context: But her personality apparently wasn't like that until she got into middle school.\Oh, she's coming towards us.\A comrade will show up soon.\What the hell?\That means, everyone gather at the student council room.\You figured it out with just that?\What in the world is going to begin..?\What is this guy? response:	The ability... is thoughtography..
context: Oh, she's coming towards us.\A comrade will show up soon.\What the hell?\That means, everyone gather at the student council room.\You figured it out with just that?\What in the world is going to begin..?\What is this guy?\The ability... is thoughtography.. response:	What was that just now?
context: A comrade will show up soon.\What the hell?\That means, everyone gather at the student council room.\You figured it out with just that?\What in the world is going to begin..?\What is this guy?\The ability... is thoughtography..\What was that just now? response:	A comrade that tells us the location and power of someone who possesses a special ability.
context: What the hell?\That means, everyone gather at the student council room.\You figured it out with just that?\What in the world is going to begin..?\What is this guy?\The ability... is thoughtography..\What was that just now?\A comrade that tells us the location and power of someone who possesses a special ability. response:	Nanba High School... I guess we'll do a stakeout. Let's go, we're going to leave school early.
context: That means, everyone gather at the student council room.\You figured it out with just that?\What in the world is going to begin..?\What is this guy?\The ability... is thoughtography..\What was that just now?\A comrade that tells us the location and power of someone who possesses a special ability.\Nanba High School... I guess we'll do a stakeout. Let's go, we're going to leave school early. response:	To do what?
context: You figured it out with just that?\What in the world is going to begin..?\What is this guy?\The ability... is thoughtography..\What was that just now?\A comrade that tells us the location and power of someone who possesses a special ability.\Nanba High School... I guess we'll do a stakeout. Let's go, we're going to leave school early.\To do what? response:	To do some investigation, of course.
context: What in the world is going to begin..?\What is this guy?\The ability... is thoughtography..\What was that just now?\A comrade that tells us the location and power of someone who possesses a special ability.\Nanba High School... I guess we'll do a stakeout. Let's go, we're going to leave school early.\To do what?\To do some investigation, of course. response:	Even though we're not the police?
context: What is this guy?\The ability... is thoughtography..\What was that just now?\A comrade that tells us the location and power of someone who possesses a special ability.\Nanba High School... I guess we'll do a stakeout. Let's go, we're going to leave school early.\To do what?\To do some investigation, of course.\Even though we're not the police? response:	If the police you mention finds this person before us,
context: The ability... is thoughtography..\What was that just now?\A comrade that tells us the location and power of someone who possesses a special ability.\Nanba High School... I guess we'll do a stakeout. Let's go, we're going to leave school early.\To do what?\To do some investigation, of course.\Even though we're not the police?\If the police you mention finds this person before us, response:	that person's life is completely done for.
context: What was that just now?\A comrade that tells us the location and power of someone who possesses a special ability.\Nanba High School... I guess we'll do a stakeout. Let's go, we're going to leave school early.\To do what?\To do some investigation, of course.\Even though we're not the police?\If the police you mention finds this person before us,\that person's life is completely done for. response:	Seriously..?
context: A comrade that tells us the location and power of someone who possesses a special ability.\Nanba High School... I guess we'll do a stakeout. Let's go, we're going to leave school early.\To do what?\To do some investigation, of course.\Even though we're not the police?\If the police you mention finds this person before us,\that person's life is completely done for.\Seriously..? response:	Start asking around!
context: Nanba High School... I guess we'll do a stakeout. Let's go, we're going to leave school early.\To do what?\To do some investigation, of course.\Even though we're not the police?\If the police you mention finds this person before us,\that person's life is completely done for.\Seriously..?\Start asking around! response:	Okay!
context: To do what?\To do some investigation, of course.\Even though we're not the police?\If the police you mention finds this person before us,\that person's life is completely done for.\Seriously..?\Start asking around!\Okay! response:	We should begin as well.
context: To do some investigation, of course.\Even though we're not the police?\If the police you mention finds this person before us,\that person's life is completely done for.\Seriously..?\Start asking around!\Okay!\We should begin as well. response:	What should I be doing?
context: Even though we're not the police?\If the police you mention finds this person before us,\that person's life is completely done for.\Seriously..?\Start asking around!\Okay!\We should begin as well.\What should I be doing? response:	Basically, ask whether or not something strange has been going on lately.
context: If the police you mention finds this person before us,\that person's life is completely done for.\Seriously..?\Start asking around!\Okay!\We should begin as well.\What should I be doing?\Basically, ask whether or not something strange has been going on lately. response:	Also, since the ability has been determined as thoughtography,
context: that person's life is completely done for.\Seriously..?\Start asking around!\Okay!\We should begin as well.\What should I be doing?\Basically, ask whether or not something strange has been going on lately.\Also, since the ability has been determined as thoughtography, response:	it might be good to ask about any rumors that involve photographs.
context: Seriously..?\Start asking around!\Okay!\We should begin as well.\What should I be doing?\Basically, ask whether or not something strange has been going on lately.\Also, since the ability has been determined as thoughtography,\it might be good to ask about any rumors that involve photographs. response:	See ya!
context: Start asking around!\Okay!\We should begin as well.\What should I be doing?\Basically, ask whether or not something strange has been going on lately.\Also, since the ability has been determined as thoughtography,\it might be good to ask about any rumors that involve photographs.\See ya! response:	Like I have time for this... they're nothing more than lunatics.
context: Okay!\We should begin as well.\What should I be doing?\Basically, ask whether or not something strange has been going on lately.\Also, since the ability has been determined as thoughtography,\it might be good to ask about any rumors that involve photographs.\See ya!\Like I have time for this... they're nothing more than lunatics. response:	There was someone acting suspiciously.
