context: The long age of drifting ended, response:	and humanity found a home in the wide reaches of the galaxy.
context: This is your homeland.\All 470,000,000 citizens of Avalon hail your bravery and dedication,\and know your names as honored soldiers.\All hail the Galactic Alliance of Humankind, and its eternal future.\Humanity's endless challenge begins here.\But you must never forget that a merciless evil lurks in the depths of this cruel universe.\We must end the threat of the Hideauze, who would hinder our journey onward!\We must not allow these lower life forms to hold back humanity's race to the future! response:	Stand, heroes, for this is the time of our greatest trial.
context: All 470,000,000 citizens of Avalon hail your bravery and dedication,\and know your names as honored soldiers.\All hail the Galactic Alliance of Humankind, and its eternal future.\Humanity's endless challenge begins here.\But you must never forget that a merciless evil lurks in the depths of this cruel universe.\We must end the threat of the Hideauze, who would hinder our journey onward!\We must not allow these lower life forms to hold back humanity's race to the future!\Stand, heroes, for this is the time of our greatest trial. response:	Forget not the countless lives lost, nor our future comrades, yet still in grave danger.
context: and know your names as honored soldiers.\All hail the Galactic Alliance of Humankind, and its eternal future.\Humanity's endless challenge begins here.\But you must never forget that a merciless evil lurks in the depths of this cruel universe.\We must end the threat of the Hideauze, who would hinder our journey onward!\We must not allow these lower life forms to hold back humanity's race to the future!\Stand, heroes, for this is the time of our greatest trial.\Forget not the countless lives lost, nor our future comrades, yet still in grave danger. response:	Ceasing REM Hypnosis Education for all crew.
context: All hail the Galactic Alliance of Humankind, and its eternal future.\Humanity's endless challenge begins here.\But you must never forget that a merciless evil lurks in the depths of this cruel universe.\We must end the threat of the Hideauze, who would hinder our journey onward!\We must not allow these lower life forms to hold back humanity's race to the future!\Stand, heroes, for this is the time of our greatest trial.\Forget not the countless lives lost, nor our future comrades, yet still in grave danger.\Ceasing REM Hypnosis Education for all crew. response:	Pilot of Unit Number K6821, Ensign Ledo, is to awaken immediately.
context: Humanity's endless challenge begins here.\But you must never forget that a merciless evil lurks in the depths of this cruel universe.\We must end the threat of the Hideauze, who would hinder our journey onward!\We must not allow these lower life forms to hold back humanity's race to the future!\Stand, heroes, for this is the time of our greatest trial.\Forget not the countless lives lost, nor our future comrades, yet still in grave danger.\Ceasing REM Hypnosis Education for all crew.\Pilot of Unit Number K6821, Ensign Ledo, is to awaken immediately. response:	Measuring brainwaves: Basic rhythms normal.
context: But you must never forget that a merciless evil lurks in the depths of this cruel universe.\We must end the threat of the Hideauze, who would hinder our journey onward!\We must not allow these lower life forms to hold back humanity's race to the future!\Stand, heroes, for this is the time of our greatest trial.\Forget not the countless lives lost, nor our future comrades, yet still in grave danger.\Ceasing REM Hypnosis Education for all crew.\Pilot of Unit Number K6821, Ensign Ledo, is to awaken immediately.\Measuring brainwaves: Basic rhythms normal. response:	Blood lactate levels, adrenaline output are both normal.
context: We must end the threat of the Hideauze, who would hinder our journey onward!\We must not allow these lower life forms to hold back humanity's race to the future!\Stand, heroes, for this is the time of our greatest trial.\Forget not the countless lives lost, nor our future comrades, yet still in grave danger.\Ceasing REM Hypnosis Education for all crew.\Pilot of Unit Number K6821, Ensign Ledo, is to awaken immediately.\Measuring brainwaves: Basic rhythms normal.\Blood lactate levels, adrenaline output are both normal. response:	Awakening process complete.
context: We must not allow these lower life forms to hold back humanity's race to the future!\Stand, heroes, for this is the time of our greatest trial.\Forget not the countless lives lost, nor our future comrades, yet still in grave danger.\Ceasing REM Hypnosis Education for all crew.\Pilot of Unit Number K6821, Ensign Ledo, is to awaken immediately.\Measuring brainwaves: Basic rhythms normal.\Blood lactate levels, adrenaline output are both normal.\Awakening process complete. response:	Where's the enemy?
context: Stand, heroes, for this is the time of our greatest trial.\Forget not the countless lives lost, nor our future comrades, yet still in grave danger.\Ceasing REM Hypnosis Education for all crew.\Pilot of Unit Number K6821, Ensign Ledo, is to awaken immediately.\Measuring brainwaves: Basic rhythms normal.\Blood lactate levels, adrenaline output are both normal.\Awakening process complete.\Where's the enemy? response:	Attention Kugel Squad.
context: Forget not the countless lives lost, nor our future comrades, yet still in grave danger.\Ceasing REM Hypnosis Education for all crew.\Pilot of Unit Number K6821, Ensign Ledo, is to awaken immediately.\Measuring brainwaves: Basic rhythms normal.\Blood lactate levels, adrenaline output are both normal.\Awakening process complete.\Where's the enemy?\Attention Kugel Squad. response:	REM Enlightenment time is over.
context: Ceasing REM Hypnosis Education for all crew.\Pilot of Unit Number K6821, Ensign Ledo, is to awaken immediately.\Measuring brainwaves: Basic rhythms normal.\Blood lactate levels, adrenaline output are both normal.\Awakening process complete.\Where's the enemy?\Attention Kugel Squad.\REM Enlightenment time is over. response:	All ships participating in the operation have left port.
context: Pilot of Unit Number K6821, Ensign Ledo, is to awaken immediately.\Measuring brainwaves: Basic rhythms normal.\Blood lactate levels, adrenaline output are both normal.\Awakening process complete.\Where's the enemy?\Attention Kugel Squad.\REM Enlightenment time is over.\All ships participating in the operation have left port. response:	Nobody's still drowsy, are they?
context: Measuring brainwaves: Basic rhythms normal.\Blood lactate levels, adrenaline output are both normal.\Awakening process complete.\Where's the enemy?\Attention Kugel Squad.\REM Enlightenment time is over.\All ships participating in the operation have left port.\Nobody's still drowsy, are they? response:	Shut down REM Hypnosis Education for all soldiers on standby. Ensure they all awaken.
context: Blood lactate levels, adrenaline output are both normal.\Awakening process complete.\Where's the enemy?\Attention Kugel Squad.\REM Enlightenment time is over.\All ships participating in the operation have left port.\Nobody's still drowsy, are they?\Shut down REM Hypnosis Education for all soldiers on standby. Ensure they all awaken. response:	Not time yet, huh?
context: Awakening process complete.\Where's the enemy?\Attention Kugel Squad.\REM Enlightenment time is over.\All ships participating in the operation have left port.\Nobody's still drowsy, are they?\Shut down REM Hypnosis Education for all soldiers on standby. Ensure they all awaken.\Not time yet, huh? response:	In 300 seconds, the entire fleet will be entering the wormhole's ergo region.
context: Where's the enemy?\Attention Kugel Squad.\REM Enlightenment time is over.\All ships participating in the operation have left port.\Nobody's still drowsy, are they?\Shut down REM Hypnosis Education for all soldiers on standby. Ensure they all awaken.\Not time yet, huh?\In 300 seconds, the entire fleet will be entering the wormhole's ergo region. response:	We'll be swinging out right next to a Hideauze nest.
context: Attention Kugel Squad.\REM Enlightenment time is over.\All ships participating in the operation have left port.\Nobody's still drowsy, are they?\Shut down REM Hypnosis Education for all soldiers on standby. Ensure they all awaken.\Not time yet, huh?\In 300 seconds, the entire fleet will be entering the wormhole's ergo region.\We'll be swinging out right next to a Hideauze nest. response:	This is a surprise attack, with everything the Alliance has to throw at them.
context: REM Enlightenment time is over.\All ships participating in the operation have left port.\Nobody's still drowsy, are they?\Shut down REM Hypnosis Education for all soldiers on standby. Ensure they all awaken.\Not time yet, huh?\In 300 seconds, the entire fleet will be entering the wormhole's ergo region.\We'll be swinging out right next to a Hideauze nest.\This is a surprise attack, with everything the Alliance has to throw at them. response:	If we fail here, consider this war over.
context: All ships participating in the operation have left port.\Nobody's still drowsy, are they?\Shut down REM Hypnosis Education for all soldiers on standby. Ensure they all awaken.\Not time yet, huh?\In 300 seconds, the entire fleet will be entering the wormhole's ergo region.\We'll be swinging out right next to a Hideauze nest.\This is a surprise attack, with everything the Alliance has to throw at them.\If we fail here, consider this war over. response:	Notice: As of this moment, your time spent in military service has exceeded 145,000 hours.
context: Nobody's still drowsy, are they?\Shut down REM Hypnosis Education for all soldiers on standby. Ensure they all awaken.\Not time yet, huh?\In 300 seconds, the entire fleet will be entering the wormhole's ergo region.\We'll be swinging out right next to a Hideauze nest.\This is a surprise attack, with everything the Alliance has to throw at them.\If we fail here, consider this war over.\Notice: As of this moment, your time spent in military service has exceeded 145,000 hours. response:	Ensign Ledo, when this operation is complete,
context: Shut down REM Hypnosis Education for all soldiers on standby. Ensure they all awaken.\Not time yet, huh?\In 300 seconds, the entire fleet will be entering the wormhole's ergo region.\We'll be swinging out right next to a Hideauze nest.\This is a surprise attack, with everything the Alliance has to throw at them.\If we fail here, consider this war over.\Notice: As of this moment, your time spent in military service has exceeded 145,000 hours.\Ensign Ledo, when this operation is complete, response:	you will be given limited citizenship privileges and the right to visit Avalon for four weeks.
context: Not time yet, huh?\In 300 seconds, the entire fleet will be entering the wormhole's ergo region.\We'll be swinging out right next to a Hideauze nest.\This is a surprise attack, with everything the Alliance has to throw at them.\If we fail here, consider this war over.\Notice: As of this moment, your time spent in military service has exceeded 145,000 hours.\Ensign Ledo, when this operation is complete,\you will be given limited citizenship privileges and the right to visit Avalon for four weeks. response:	Oh, is that so?
context: In 300 seconds, the entire fleet will be entering the wormhole's ergo region.\We'll be swinging out right next to a Hideauze nest.\This is a surprise attack, with everything the Alliance has to throw at them.\If we fail here, consider this war over.\Notice: As of this moment, your time spent in military service has exceeded 145,000 hours.\Ensign Ledo, when this operation is complete,\you will be given limited citizenship privileges and the right to visit Avalon for four weeks.\Oh, is that so? response:	No change in adrenalin production.
context: We'll be swinging out right next to a Hideauze nest.\This is a surprise attack, with everything the Alliance has to throw at them.\If we fail here, consider this war over.\Notice: As of this moment, your time spent in military service has exceeded 145,000 hours.\Ensign Ledo, when this operation is complete,\you will be given limited citizenship privileges and the right to visit Avalon for four weeks.\Oh, is that so?\No change in adrenalin production. response:	Your response fails to meet expected parameters.
context: This is a surprise attack, with everything the Alliance has to throw at them.\If we fail here, consider this war over.\Notice: As of this moment, your time spent in military service has exceeded 145,000 hours.\Ensign Ledo, when this operation is complete,\you will be given limited citizenship privileges and the right to visit Avalon for four weeks.\Oh, is that so?\No change in adrenalin production.\Your response fails to meet expected parameters. response:	Avalon, huh?
context: If we fail here, consider this war over.\Notice: As of this moment, your time spent in military service has exceeded 145,000 hours.\Ensign Ledo, when this operation is complete,\you will be given limited citizenship privileges and the right to visit Avalon for four weeks.\Oh, is that so?\No change in adrenalin production.\Your response fails to meet expected parameters.\Avalon, huh? response:	I did want to see it for myself one day...
context: Notice: As of this moment, your time spent in military service has exceeded 145,000 hours.\Ensign Ledo, when this operation is complete,\you will be given limited citizenship privileges and the right to visit Avalon for four weeks.\Oh, is that so?\No change in adrenalin production.\Your response fails to meet expected parameters.\Avalon, huh?\I did want to see it for myself one day... response:	But now that I've got the chance, I'm not sure.
context: Ensign Ledo, when this operation is complete,\you will be given limited citizenship privileges and the right to visit Avalon for four weeks.\Oh, is that so?\No change in adrenalin production.\Your response fails to meet expected parameters.\Avalon, huh?\I did want to see it for myself one day...\But now that I've got the chance, I'm not sure. response:	What is a homeland, anyway?
context: you will be given limited citizenship privileges and the right to visit Avalon for four weeks.\Oh, is that so?\No change in adrenalin production.\Your response fails to meet expected parameters.\Avalon, huh?\I did want to see it for myself one day...\But now that I've got the chance, I'm not sure.\What is a homeland, anyway? response:	A place where the rights of citizens are guaranteed.
context: Oh, is that so?\No change in adrenalin production.\Your response fails to meet expected parameters.\Avalon, huh?\I did want to see it for myself one day...\But now that I've got the chance, I'm not sure.\What is a homeland, anyway?\A place where the rights of citizens are guaranteed. response:	You will be granted the right to sleep, eat, drink, and reproduce freely.
context: No change in adrenalin production.\Your response fails to meet expected parameters.\Avalon, huh?\I did want to see it for myself one day...\But now that I've got the chance, I'm not sure.\What is a homeland, anyway?\A place where the rights of citizens are guaranteed.\You will be granted the right to sleep, eat, drink, and reproduce freely. response:	Somehow I think those are all a little beyond me.
context: Your response fails to meet expected parameters.\Avalon, huh?\I did want to see it for myself one day...\But now that I've got the chance, I'm not sure.\What is a homeland, anyway?\A place where the rights of citizens are guaranteed.\You will be granted the right to sleep, eat, drink, and reproduce freely.\Somehow I think those are all a little beyond me. response:	You have proven to be a superior example of humanity, fit to survive and reproduce.
context: Avalon, huh?\I did want to see it for myself one day...\But now that I've got the chance, I'm not sure.\What is a homeland, anyway?\A place where the rights of citizens are guaranteed.\You will be granted the right to sleep, eat, drink, and reproduce freely.\Somehow I think those are all a little beyond me.\You have proven to be a superior example of humanity, fit to survive and reproduce. response:	This is an honor, and an accomplishment to be celebrated.
context: I did want to see it for myself one day...\But now that I've got the chance, I'm not sure.\What is a homeland, anyway?\A place where the rights of citizens are guaranteed.\You will be granted the right to sleep, eat, drink, and reproduce freely.\Somehow I think those are all a little beyond me.\You have proven to be a superior example of humanity, fit to survive and reproduce.\This is an honor, and an accomplishment to be celebrated. response:	Are you happy, Chamber?
context: But now that I've got the chance, I'm not sure.\What is a homeland, anyway?\A place where the rights of citizens are guaranteed.\You will be granted the right to sleep, eat, drink, and reproduce freely.\Somehow I think those are all a little beyond me.\You have proven to be a superior example of humanity, fit to survive and reproduce.\This is an honor, and an accomplishment to be celebrated.\Are you happy, Chamber? response:	I am a Pilot Support Enlightenment Interface System.
context: What is a homeland, anyway?\A place where the rights of citizens are guaranteed.\You will be granted the right to sleep, eat, drink, and reproduce freely.\Somehow I think those are all a little beyond me.\You have proven to be a superior example of humanity, fit to survive and reproduce.\This is an honor, and an accomplishment to be celebrated.\Are you happy, Chamber?\I am a Pilot Support Enlightenment Interface System. response:	I accomplish my purpose by ensuring you achieve further success.
context: A place where the rights of citizens are guaranteed.\You will be granted the right to sleep, eat, drink, and reproduce freely.\Somehow I think those are all a little beyond me.\You have proven to be a superior example of humanity, fit to survive and reproduce.\This is an honor, and an accomplishment to be celebrated.\Are you happy, Chamber?\I am a Pilot Support Enlightenment Interface System.\I accomplish my purpose by ensuring you achieve further success. response:	Yeah, thanks for that.
context: You will be granted the right to sleep, eat, drink, and reproduce freely.\Somehow I think those are all a little beyond me.\You have proven to be a superior example of humanity, fit to survive and reproduce.\This is an honor, and an accomplishment to be celebrated.\Are you happy, Chamber?\I am a Pilot Support Enlightenment Interface System.\I accomplish my purpose by ensuring you achieve further success.\Yeah, thanks for that. response:	You're right, you do work hard.
context: Somehow I think those are all a little beyond me.\You have proven to be a superior example of humanity, fit to survive and reproduce.\This is an honor, and an accomplishment to be celebrated.\Are you happy, Chamber?\I am a Pilot Support Enlightenment Interface System.\I accomplish my purpose by ensuring you achieve further success.\Yeah, thanks for that.\You're right, you do work hard. response:	Enough talking, Ensign Ledo. Focus on your mission.
context: You have proven to be a superior example of humanity, fit to survive and reproduce.\This is an honor, and an accomplishment to be celebrated.\Are you happy, Chamber?\I am a Pilot Support Enlightenment Interface System.\I accomplish my purpose by ensuring you achieve further success.\Yeah, thanks for that.\You're right, you do work hard.\Enough talking, Ensign Ledo. Focus on your mission. response:	Roger, Commander.
context: This is an honor, and an accomplishment to be celebrated.\Are you happy, Chamber?\I am a Pilot Support Enlightenment Interface System.\I accomplish my purpose by ensuring you achieve further success.\Yeah, thanks for that.\You're right, you do work hard.\Enough talking, Ensign Ledo. Focus on your mission.\Roger, Commander. response:	Everyone, prepare for shock.
context: Are you happy, Chamber?\I am a Pilot Support Enlightenment Interface System.\I accomplish my purpose by ensuring you achieve further success.\Yeah, thanks for that.\You're right, you do work hard.\Enough talking, Ensign Ledo. Focus on your mission.\Roger, Commander.\Everyone, prepare for shock. response:	As soon as the Telemothy Swing is complete we launch.
context: I am a Pilot Support Enlightenment Interface System.\I accomplish my purpose by ensuring you achieve further success.\Yeah, thanks for that.\You're right, you do work hard.\Enough talking, Ensign Ledo. Focus on your mission.\Roger, Commander.\Everyone, prepare for shock.\As soon as the Telemothy Swing is complete we launch. response:	Good luck.
context: I accomplish my purpose by ensuring you achieve further success.\Yeah, thanks for that.\You're right, you do work hard.\Enough talking, Ensign Ledo. Focus on your mission.\Roger, Commander.\Everyone, prepare for shock.\As soon as the Telemothy Swing is complete we launch.\Good luck. response:	All ships, prepare for Swing.
context: Yeah, thanks for that.\You're right, you do work hard.\Enough talking, Ensign Ledo. Focus on your mission.\Roger, Commander.\Everyone, prepare for shock.\As soon as the Telemothy Swing is complete we launch.\Good luck.\All ships, prepare for Swing. response:	Initiating Telemothy Swing.
context: You're right, you do work hard.\Enough talking, Ensign Ledo. Focus on your mission.\Roger, Commander.\Everyone, prepare for shock.\As soon as the Telemothy Swing is complete we launch.\Good luck.\All ships, prepare for Swing.\Initiating Telemothy Swing. response:	Swing In!
context: Enough talking, Ensign Ledo. Focus on your mission.\Roger, Commander.\Everyone, prepare for shock.\As soon as the Telemothy Swing is complete we launch.\Good luck.\All ships, prepare for Swing.\Initiating Telemothy Swing.\Swing In! response:	Castaway
context: Roger, Commander.\Everyone, prepare for shock.\As soon as the Telemothy Swing is complete we launch.\Good luck.\All ships, prepare for Swing.\Initiating Telemothy Swing.\Swing In!\Castaway response:	The fleet has swung out.
context: Everyone, prepare for shock.\As soon as the Telemothy Swing is complete we launch.\Good luck.\All ships, prepare for Swing.\Initiating Telemothy Swing.\Swing In!\Castaway\The fleet has swung out. response:	The fleet has passed through the wormhole.
context: As soon as the Telemothy Swing is complete we launch.\Good luck.\All ships, prepare for Swing.\Initiating Telemothy Swing.\Swing In!\Castaway\The fleet has swung out.\The fleet has passed through the wormhole. response:	We have passed through the wormhole. Move to attack formation.
context: Good luck.\All ships, prepare for Swing.\Initiating Telemothy Swing.\Swing In!\Castaway\The fleet has swung out.\The fleet has passed through the wormhole.\We have passed through the wormhole. Move to attack formation. response:	All carriers, launch your Assault Support Craft.
context: All ships, prepare for Swing.\Initiating Telemothy Swing.\Swing In!\Castaway\The fleet has swung out.\The fleet has passed through the wormhole.\We have passed through the wormhole. Move to attack formation.\All carriers, launch your Assault Support Craft. response:	Assault Support Craft are to proceed to the designated coordinates.
context: Initiating Telemothy Swing.\Swing In!\Castaway\The fleet has swung out.\The fleet has passed through the wormhole.\We have passed through the wormhole. Move to attack formation.\All carriers, launch your Assault Support Craft.\Assault Support Craft are to proceed to the designated coordinates. response:	Closer Pass Quantum Dimensional Nuclear Weapon Deployment Squads, launch.
context: Swing In!\Castaway\The fleet has swung out.\The fleet has passed through the wormhole.\We have passed through the wormhole. Move to attack formation.\All carriers, launch your Assault Support Craft.\Assault Support Craft are to proceed to the designated coordinates.\Closer Pass Quantum Dimensional Nuclear Weapon Deployment Squads, launch. response:	Upon sighting the Blossom Sail, Assault Ships at the vanguard
context: Castaway\The fleet has swung out.\The fleet has passed through the wormhole.\We have passed through the wormhole. Move to attack formation.\All carriers, launch your Assault Support Craft.\Assault Support Craft are to proceed to the designated coordinates.\Closer Pass Quantum Dimensional Nuclear Weapon Deployment Squads, launch.\Upon sighting the Blossom Sail, Assault Ships at the vanguard response:	Carriers will move to standby orbit when Assault Support Craft are deployed.
context: The fleet has swung out.\The fleet has passed through the wormhole.\We have passed through the wormhole. Move to attack formation.\All carriers, launch your Assault Support Craft.\Assault Support Craft are to proceed to the designated coordinates.\Closer Pass Quantum Dimensional Nuclear Weapon Deployment Squads, launch.\Upon sighting the Blossom Sail, Assault Ships at the vanguard\Carriers will move to standby orbit when Assault Support Craft are deployed. response:	will begin a barrage of fire at the enemy's special cannon emitter.
context: The fleet has passed through the wormhole.\We have passed through the wormhole. Move to attack formation.\All carriers, launch your Assault Support Craft.\Assault Support Craft are to proceed to the designated coordinates.\Closer Pass Quantum Dimensional Nuclear Weapon Deployment Squads, launch.\Upon sighting the Blossom Sail, Assault Ships at the vanguard\Carriers will move to standby orbit when Assault Support Craft are deployed.\will begin a barrage of fire at the enemy's special cannon emitter. response:	Assault Fleet is to deploy around central ship. Secure a cone formation for the attack.
context: We have passed through the wormhole. Move to attack formation.\All carriers, launch your Assault Support Craft.\Assault Support Craft are to proceed to the designated coordinates.\Closer Pass Quantum Dimensional Nuclear Weapon Deployment Squads, launch.\Upon sighting the Blossom Sail, Assault Ships at the vanguard\Carriers will move to standby orbit when Assault Support Craft are deployed.\will begin a barrage of fire at the enemy's special cannon emitter.\Assault Fleet is to deploy around central ship. Secure a cone formation for the attack. response:	Blossom Sail Fortress special cannon is showing rising energy levels.
context: All carriers, launch your Assault Support Craft.\Assault Support Craft are to proceed to the designated coordinates.\Closer Pass Quantum Dimensional Nuclear Weapon Deployment Squads, launch.\Upon sighting the Blossom Sail, Assault Ships at the vanguard\Carriers will move to standby orbit when Assault Support Craft are deployed.\will begin a barrage of fire at the enemy's special cannon emitter.\Assault Fleet is to deploy around central ship. Secure a cone formation for the attack.\Blossom Sail Fortress special cannon is showing rising energy levels. response:	Prepare to fire shipboard cannons.
context: Assault Support Craft are to proceed to the designated coordinates.\Closer Pass Quantum Dimensional Nuclear Weapon Deployment Squads, launch.\Upon sighting the Blossom Sail, Assault Ships at the vanguard\Carriers will move to standby orbit when Assault Support Craft are deployed.\will begin a barrage of fire at the enemy's special cannon emitter.\Assault Fleet is to deploy around central ship. Secure a cone formation for the attack.\Blossom Sail Fortress special cannon is showing rising energy levels.\Prepare to fire shipboard cannons. response:	Fire!
context: Closer Pass Quantum Dimensional Nuclear Weapon Deployment Squads, launch.\Upon sighting the Blossom Sail, Assault Ships at the vanguard\Carriers will move to standby orbit when Assault Support Craft are deployed.\will begin a barrage of fire at the enemy's special cannon emitter.\Assault Fleet is to deploy around central ship. Secure a cone formation for the attack.\Blossom Sail Fortress special cannon is showing rising energy levels.\Prepare to fire shipboard cannons.\Fire! response:	Hit confirmed! We've struck the cannon emitter!
context: Upon sighting the Blossom Sail, Assault Ships at the vanguard\Carriers will move to standby orbit when Assault Support Craft are deployed.\will begin a barrage of fire at the enemy's special cannon emitter.\Assault Fleet is to deploy around central ship. Secure a cone formation for the attack.\Blossom Sail Fortress special cannon is showing rising energy levels.\Prepare to fire shipboard cannons.\Fire!\Hit confirmed! We've struck the cannon emitter! response:	The forward line has been destroyed!
context: Carriers will move to standby orbit when Assault Support Craft are deployed.\will begin a barrage of fire at the enemy's special cannon emitter.\Assault Fleet is to deploy around central ship. Secure a cone formation for the attack.\Blossom Sail Fortress special cannon is showing rising energy levels.\Prepare to fire shipboard cannons.\Fire!\Hit confirmed! We've struck the cannon emitter!\The forward line has been destroyed! response:	Remaining ships have suffered heavy damage!
context: will begin a barrage of fire at the enemy's special cannon emitter.\Assault Fleet is to deploy around central ship. Secure a cone formation for the attack.\Blossom Sail Fortress special cannon is showing rising energy levels.\Prepare to fire shipboard cannons.\Fire!\Hit confirmed! We've struck the cannon emitter!\The forward line has been destroyed!\Remaining ships have suffered heavy damage! response:	Fire from rear ships has struck!
context: Assault Fleet is to deploy around central ship. Secure a cone formation for the attack.\Blossom Sail Fortress special cannon is showing rising energy levels.\Prepare to fire shipboard cannons.\Fire!\Hit confirmed! We've struck the cannon emitter!\The forward line has been destroyed!\Remaining ships have suffered heavy damage!\Fire from rear ships has struck! response:	We've destroyed the cannon emitter!
context: Blossom Sail Fortress special cannon is showing rising energy levels.\Prepare to fire shipboard cannons.\Fire!\Hit confirmed! We've struck the cannon emitter!\The forward line has been destroyed!\Remaining ships have suffered heavy damage!\Fire from rear ships has struck!\We've destroyed the cannon emitter! response:	Quantum Dimensional Fissure Inducers are functional.
context: Prepare to fire shipboard cannons.\Fire!\Hit confirmed! We've struck the cannon emitter!\The forward line has been destroyed!\Remaining ships have suffered heavy damage!\Fire from rear ships has struck!\We've destroyed the cannon emitter!\Quantum Dimensional Fissure Inducers are functional. response:	Enemy fortress cannon has been completely destroyed.
context: Fire!\Hit confirmed! We've struck the cannon emitter!\The forward line has been destroyed!\Remaining ships have suffered heavy damage!\Fire from rear ships has struck!\We've destroyed the cannon emitter!\Quantum Dimensional Fissure Inducers are functional.\Enemy fortress cannon has been completely destroyed. response:	Excellent!
context: Hit confirmed! We've struck the cannon emitter!\The forward line has been destroyed!\Remaining ships have suffered heavy damage!\Fire from rear ships has struck!\We've destroyed the cannon emitter!\Quantum Dimensional Fissure Inducers are functional.\Enemy fortress cannon has been completely destroyed.\Excellent! response:	Superstring construction proceeding at theoretical limits.
context: The forward line has been destroyed!\Remaining ships have suffered heavy damage!\Fire from rear ships has struck!\We've destroyed the cannon emitter!\Quantum Dimensional Fissure Inducers are functional.\Enemy fortress cannon has been completely destroyed.\Excellent!\Superstring construction proceeding at theoretical limits. response:	Hexelena Fleet, prepare to fire the Dimenstrium!
context: Remaining ships have suffered heavy damage!\Fire from rear ships has struck!\We've destroyed the cannon emitter!\Quantum Dimensional Fissure Inducers are functional.\Enemy fortress cannon has been completely destroyed.\Excellent!\Superstring construction proceeding at theoretical limits.\Hexelena Fleet, prepare to fire the Dimenstrium! response:	Machine Caliber Squads, launch!
context: Fire from rear ships has struck!\We've destroyed the cannon emitter!\Quantum Dimensional Fissure Inducers are functional.\Enemy fortress cannon has been completely destroyed.\Excellent!\Superstring construction proceeding at theoretical limits.\Hexelena Fleet, prepare to fire the Dimenstrium!\Machine Caliber Squads, launch! response:	The Hideauze nest is on a direct line to the other side of the Hot Jupiter Type planet.
context: We've destroyed the cannon emitter!\Quantum Dimensional Fissure Inducers are functional.\Enemy fortress cannon has been completely destroyed.\Excellent!\Superstring construction proceeding at theoretical limits.\Hexelena Fleet, prepare to fire the Dimenstrium!\Machine Caliber Squads, launch!\The Hideauze nest is on a direct line to the other side of the Hot Jupiter Type planet. response:	It's an impregnable fortress,
