context: A hero... response:	Hey, villain...
context: I can't believe he did that to my Nomu...\He used a cheat?!\Hands up.\No Quirks allowed.\If you use your Quirks, I'll kill this guy.\Kaminari!\He got us.\We let our guard down completely. response:	An ambush after they made us think we got all of them.
context: He used a cheat?!\Hands up.\No Quirks allowed.\If you use your Quirks, I'll kill this guy.\Kaminari!\He got us.\We let our guard down completely.\An ambush after they made us think we got all of them. response:	I can't believe we didn't predict this.
context: Hands up.\No Quirks allowed.\If you use your Quirks, I'll kill this guy.\Kaminari!\He got us.\We let our guard down completely.\An ambush after they made us think we got all of them.\I can't believe we didn't predict this. response:	I don't wanna kill someone who's an electric-type, like me,
context: No Quirks allowed.\If you use your Quirks, I'll kill this guy.\Kaminari!\He got us.\We let our guard down completely.\An ambush after they made us think we got all of them.\I can't believe we didn't predict this.\I don't wanna kill someone who's an electric-type, like me, response:	but I guess I have to, huh?
context: If you use your Quirks, I'll kill this guy.\Kaminari!\He got us.\We let our guard down completely.\An ambush after they made us think we got all of them.\I can't believe we didn't predict this.\I don't wanna kill someone who's an electric-type, like me,\but I guess I have to, huh? response:	An electric-type...
context: Kaminari!\He got us.\We let our guard down completely.\An ambush after they made us think we got all of them.\I can't believe we didn't predict this.\I don't wanna kill someone who's an electric-type, like me,\but I guess I have to, huh?\An electric-type... response:	He was probably the one Todoroki said was jamming communications.
context: He got us.\We let our guard down completely.\An ambush after they made us think we got all of them.\I can't believe we didn't predict this.\I don't wanna kill someone who's an electric-type, like me,\but I guess I have to, huh?\An electric-type...\He was probably the one Todoroki said was jamming communications. response:	I'm going over there.
context: We let our guard down completely.\An ambush after they made us think we got all of them.\I can't believe we didn't predict this.\I don't wanna kill someone who's an electric-type, like me,\but I guess I have to, huh?\An electric-type...\He was probably the one Todoroki said was jamming communications.\I'm going over there. response:	Don't move a muscle.
context: An ambush after they made us think we got all of them.\I can't believe we didn't predict this.\I don't wanna kill someone who's an electric-type, like me,\but I guess I have to, huh?\An electric-type...\He was probably the one Todoroki said was jamming communications.\I'm going over there.\Don't move a muscle. response:	You and Kaminari...
context: I can't believe we didn't predict this.\I don't wanna kill someone who's an electric-type, like me,\but I guess I have to, huh?\An electric-type...\He was probably the one Todoroki said was jamming communications.\I'm going over there.\Don't move a muscle.\You and Kaminari... response:	Huh?
context: I don't wanna kill someone who's an electric-type, like me,\but I guess I have to, huh?\An electric-type...\He was probably the one Todoroki said was jamming communications.\I'm going over there.\Don't move a muscle.\You and Kaminari...\Huh? response:	What are you
context: but I guess I have to, huh?\An electric-type...\He was probably the one Todoroki said was jamming communications.\I'm going over there.\Don't move a muscle.\You and Kaminari...\Huh?\What are you response:	I mean, even if you aren't a hero, there are a ton of jobs you could do.
context: An electric-type...\He was probably the one Todoroki said was jamming communications.\I'm going over there.\Don't move a muscle.\You and Kaminari...\Huh?\What are you\I mean, even if you aren't a hero, there are a ton of jobs you could do. response:	You're in great demand, right?
context: He was probably the one Todoroki said was jamming communications.\I'm going over there.\Don't move a muscle.\You and Kaminari...\Huh?\What are you\I mean, even if you aren't a hero, there are a ton of jobs you could do.\You're in great demand, right? response:	Well, it's just an innocent thought.
context: I'm going over there.\Don't move a muscle.\You and Kaminari...\Huh?\What are you\I mean, even if you aren't a hero, there are a ton of jobs you could do.\You're in great demand, right?\Well, it's just an innocent thought. response:	I'm just wondering, why is someone like you a villain?
context: Don't move a muscle.\You and Kaminari...\Huh?\What are you\I mean, even if you aren't a hero, there are a ton of jobs you could do.\You're in great demand, right?\Well, it's just an innocent thought.\I'm just wondering, why is someone like you a villain? response:	I see.
context: You and Kaminari...\Huh?\What are you\I mean, even if you aren't a hero, there are a ton of jobs you could do.\You're in great demand, right?\Well, it's just an innocent thought.\I'm just wondering, why is someone like you a villain?\I see. response:	Jiro can attack without moving as long as she gets her plug in!
context: Huh?\What are you\I mean, even if you aren't a hero, there are a ton of jobs you could do.\You're in great demand, right?\Well, it's just an innocent thought.\I'm just wondering, why is someone like you a villain?\I see.\Jiro can attack without moving as long as she gets her plug in! response:	It's fine if you don't want to answer.
context: What are you\I mean, even if you aren't a hero, there are a ton of jobs you could do.\You're in great demand, right?\Well, it's just an innocent thought.\I'm just wondering, why is someone like you a villain?\I see.\Jiro can attack without moving as long as she gets her plug in!\It's fine if you don't want to answer. response:	Give it up.
context: I mean, even if you aren't a hero, there are a ton of jobs you could do.\You're in great demand, right?\Well, it's just an innocent thought.\I'm just wondering, why is someone like you a villain?\I see.\Jiro can attack without moving as long as she gets her plug in!\It's fine if you don't want to answer.\Give it up. response:	Did you think I wouldn't notice?
context: You're in great demand, right?\Well, it's just an innocent thought.\I'm just wondering, why is someone like you a villain?\I see.\Jiro can attack without moving as long as she gets her plug in!\It's fine if you don't want to answer.\Give it up.\Did you think I wouldn't notice? response:	A kid's naive thinking only works on dumb adults.
context: Well, it's just an innocent thought.\I'm just wondering, why is someone like you a villain?\I see.\Jiro can attack without moving as long as she gets her plug in!\It's fine if you don't want to answer.\Give it up.\Did you think I wouldn't notice?\A kid's naive thinking only works on dumb adults. response:	Novice heroes shouldn't make light of hostages.
context: I'm just wondering, why is someone like you a villain?\I see.\Jiro can attack without moving as long as she gets her plug in!\It's fine if you don't want to answer.\Give it up.\Did you think I wouldn't notice?\A kid's naive thinking only works on dumb adults.\Novice heroes shouldn't make light of hostages. response:	If you two don't put up a fight...
context: I see.\Jiro can attack without moving as long as she gets her plug in!\It's fine if you don't want to answer.\Give it up.\Did you think I wouldn't notice?\A kid's naive thinking only works on dumb adults.\Novice heroes shouldn't make light of hostages.\If you two don't put up a fight... response:	Someone else's life...
context: Jiro can attack without moving as long as she gets her plug in!\It's fine if you don't want to answer.\Give it up.\Did you think I wouldn't notice?\A kid's naive thinking only works on dumb adults.\Novice heroes shouldn't make light of hostages.\If you two don't put up a fight...\Someone else's life... response:	Now.
context: It's fine if you don't want to answer.\Give it up.\Did you think I wouldn't notice?\A kid's naive thinking only works on dumb adults.\Novice heroes shouldn't make light of hostages.\If you two don't put up a fight...\Someone else's life...\Now. response:	Don't move.
context: Give it up.\Did you think I wouldn't notice?\A kid's naive thinking only works on dumb adults.\Novice heroes shouldn't make light of hostages.\If you two don't put up a fight...\Someone else's life...\Now.\Don't move. response:	Hey, what's going on?
context: Did you think I wouldn't notice?\A kid's naive thinking only works on dumb adults.\Novice heroes shouldn't make light of hostages.\If you two don't put up a fight...\Someone else's life...\Now.\Don't move.\Hey, what's going on? response:	He's not any weaker at all.
context: A kid's naive thinking only works on dumb adults.\Novice heroes shouldn't make light of hostages.\If you two don't put up a fight...\Someone else's life...\Now.\Don't move.\Hey, what's going on?\He's not any weaker at all. response:	Did that guy... lie to me?!
context: Novice heroes shouldn't make light of hostages.\If you two don't put up a fight...\Someone else's life...\Now.\Don't move.\Hey, what's going on?\He's not any weaker at all.\Did that guy... lie to me?! response:	What's wrong?
context: If you two don't put up a fight...\Someone else's life...\Now.\Don't move.\Hey, what's going on?\He's not any weaker at all.\Did that guy... lie to me?!\What's wrong? response:	You're not coming?
context: Someone else's life...\Now.\Don't move.\Hey, what's going on?\He's not any weaker at all.\Did that guy... lie to me?!\What's wrong?\You're not coming? response:	You said you'd clear this or something, right?
context: Now.\Don't move.\Hey, what's going on?\He's not any weaker at all.\Did that guy... lie to me?!\What's wrong?\You're not coming?\You said you'd clear this or something, right? response:	Come and get me if you can.
context: Don't move.\Hey, what's going on?\He's not any weaker at all.\Did that guy... lie to me?!\What's wrong?\You're not coming?\You said you'd clear this or something, right?\Come and get me if you can. response:	All... Might...
context: Hey, what's going on?\He's not any weaker at all.\Did that guy... lie to me?!\What's wrong?\You're not coming?\You said you'd clear this or something, right?\Come and get me if you can.\All... Might... response:	As expected.
context: He's not any weaker at all.\Did that guy... lie to me?!\What's wrong?\You're not coming?\You said you'd clear this or something, right?\Come and get me if you can.\All... Might...\As expected. response:	It looks like there is no need for us to fight.
context: Did that guy... lie to me?!\What's wrong?\You're not coming?\You said you'd clear this or something, right?\Come and get me if you can.\All... Might...\As expected.\It looks like there is no need for us to fight. response:	Midoriya!
context: What's wrong?\You're not coming?\You said you'd clear this or something, right?\Come and get me if you can.\All... Might...\As expected.\It looks like there is no need for us to fight.\Midoriya! response:	We should get out of here now!
context: You're not coming?\You said you'd clear this or something, right?\Come and get me if you can.\All... Might...\As expected.\It looks like there is no need for us to fight.\Midoriya!\We should get out of here now! response:	It'll be worse if we end up getting taken hostage instead!
context: You said you'd clear this or something, right?\Come and get me if you can.\All... Might...\As expected.\It looks like there is no need for us to fight.\Midoriya!\We should get out of here now!\It'll be worse if we end up getting taken hostage instead! response:	No...
context: Come and get me if you can.\All... Might...\As expected.\It looks like there is no need for us to fight.\Midoriya!\We should get out of here now!\It'll be worse if we end up getting taken hostage instead!\No... response:	He's... bluffing.
context: All... Might...\As expected.\It looks like there is no need for us to fight.\Midoriya!\We should get out of here now!\It'll be worse if we end up getting taken hostage instead!\No...\He's... bluffing. response:	It's almost lost under the cloud of dust...
context: As expected.\It looks like there is no need for us to fight.\Midoriya!\We should get out of here now!\It'll be worse if we end up getting taken hostage instead!\No...\He's... bluffing.\It's almost lost under the cloud of dust... response:	All Might is...!
context: It looks like there is no need for us to fight.\Midoriya!\We should get out of here now!\It'll be worse if we end up getting taken hostage instead!\No...\He's... bluffing.\It's almost lost under the cloud of dust...\All Might is...! response:	I can't... move anymore...!
context: Midoriya!\We should get out of here now!\It'll be worse if we end up getting taken hostage instead!\No...\He's... bluffing.\It's almost lost under the cloud of dust...\All Might is...!\I can't... move anymore...! response:	That Nomu thing was too strong...
context: We should get out of here now!\It'll be worse if we end up getting taken hostage instead!\No...\He's... bluffing.\It's almost lost under the cloud of dust...\All Might is...!\I can't... move anymore...!\That Nomu thing was too strong... response:	Frankly...
context: It'll be worse if we end up getting taken hostage instead!\No...\He's... bluffing.\It's almost lost under the cloud of dust...\All Might is...!\I can't... move anymore...!\That Nomu thing was too strong...\Frankly... response:	I'll go back to by true form.
context: No...\He's... bluffing.\It's almost lost under the cloud of dust...\All Might is...!\I can't... move anymore...!\That Nomu thing was too strong...\Frankly...\I'll go back to by true form. response:	Just a little more...
context: He's... bluffing.\It's almost lost under the cloud of dust...\All Might is...!\I can't... move anymore...!\That Nomu thing was too strong...\Frankly...\I'll go back to by true form.\Just a little more... response:	Well, what's wrong?!
context: It's almost lost under the cloud of dust...\All Might is...!\I can't... move anymore...!\That Nomu thing was too strong...\Frankly...\I'll go back to by true form.\Just a little more...\Well, what's wrong?! response:	Hesitate!
context: All Might is...!\I can't... move anymore...!\That Nomu thing was too strong...\Frankly...\I'll go back to by true form.\Just a little more...\Well, what's wrong?!\Hesitate! response:	If I can stall...
context: I can't... move anymore...!\That Nomu thing was too strong...\Frankly...\I'll go back to by true form.\Just a little more...\Well, what's wrong?!\Hesitate!\If I can stall... response:	If only I had Nomu...!
context: That Nomu thing was too strong...\Frankly...\I'll go back to by true form.\Just a little more...\Well, what's wrong?!\Hesitate!\If I can stall...\If only I had Nomu...! response:	That guy...
context: Frankly...\I'll go back to by true form.\Just a little more...\Well, what's wrong?!\Hesitate!\If I can stall...\If only I had Nomu...!\That guy... response:	Shigaraki Tomura!
context: I'll go back to by true form.\Just a little more...\Well, what's wrong?!\Hesitate!\If I can stall...\If only I had Nomu...!\That guy...\Shigaraki Tomura! response:	Please calm yourself.
context: Just a little more...\Well, what's wrong?!\Hesitate!\If I can stall...\If only I had Nomu...!\That guy...\Shigaraki Tomura!\Please calm yourself. response:	Looking carefully...
context: Well, what's wrong?!\Hesitate!\If I can stall...\If only I had Nomu...!\That guy...\Shigaraki Tomura!\Please calm yourself.\Looking carefully... response:	Looking carefully... I see that he was definitely weakened
context: Hesitate!\If I can stall...\If only I had Nomu...!\That guy...\Shigaraki Tomura!\Please calm yourself.\Looking carefully...\Looking carefully... I see that he was definitely weakened response:	I see he was damaged by Nomu's attacks...
context: If I can stall...\If only I had Nomu...!\That guy...\Shigaraki Tomura!\Please calm yourself.\Looking carefully...\Looking carefully... I see that he was definitely weakened\I see he was damaged by Nomu's attacks... response:	from the damage of Nomu's attacks.
context: If only I had Nomu...!\That guy...\Shigaraki Tomura!\Please calm yourself.\Looking carefully...\Looking carefully... I see that he was definitely weakened\I see he was damaged by Nomu's attacks...\from the damage of Nomu's attacks. response:	Besides...
context: That guy...\Shigaraki Tomura!\Please calm yourself.\Looking carefully...\Looking carefully... I see that he was definitely weakened\I see he was damaged by Nomu's attacks...\from the damage of Nomu's attacks.\Besides... response:	We still have underlings who can be used.
context: Shigaraki Tomura!\Please calm yourself.\Looking carefully...\Looking carefully... I see that he was definitely weakened\I see he was damaged by Nomu's attacks...\from the damage of Nomu's attacks.\Besides...\We still have underlings who can be used. response:	There are likely only a few minutes left before reinforcements come.
context: Please calm yourself.\Looking carefully...\Looking carefully... I see that he was definitely weakened\I see he was damaged by Nomu's attacks...\from the damage of Nomu's attacks.\Besides...\We still have underlings who can be used.\There are likely only a few minutes left before reinforcements come. response:	If you and I work together...
context: Looking carefully...\Looking carefully... I see that he was definitely weakened\I see he was damaged by Nomu's attacks...\from the damage of Nomu's attacks.\Besides...\We still have underlings who can be used.\There are likely only a few minutes left before reinforcements come.\If you and I work together... response:	we still have a chance of killing him.
context: Looking carefully... I see that he was definitely weakened\I see he was damaged by Nomu's attacks...\from the damage of Nomu's attacks.\Besides...\We still have underlings who can be used.\There are likely only a few minutes left before reinforcements come.\If you and I work together...\we still have a chance of killing him. response:	Yeah...
context: I see he was damaged by Nomu's attacks...\from the damage of Nomu's attacks.\Besides...\We still have underlings who can be used.\There are likely only a few minutes left before reinforcements come.\If you and I work together...\we still have a chance of killing him.\Yeah... response:	Yeah, yeah...
context: from the damage of Nomu's attacks.\Besides...\We still have underlings who can be used.\There are likely only a few minutes left before reinforcements come.\If you and I work together...\we still have a chance of killing him.\Yeah...\Yeah, yeah... response:	That's right...
context: Besides...\We still have underlings who can be used.\There are likely only a few minutes left before reinforcements come.\If you and I work together...\we still have a chance of killing him.\Yeah...\Yeah, yeah...\That's right... response:	You're right.
context: We still have underlings who can be used.\There are likely only a few minutes left before reinforcements come.\If you and I work together...\we still have a chance of killing him.\Yeah...\Yeah, yeah...\That's right...\You're right. response:	Right.
context: There are likely only a few minutes left before reinforcements come.\If you and I work together...\we still have a chance of killing him.\Yeah...\Yeah, yeah...\That's right...\You're right.\Right. response:	We have no choice but to do it.
context: If you and I work together...\we still have a chance of killing him.\Yeah...\Yeah, yeah...\That's right...\You're right.\Right.\We have no choice but to do it. response:	I mean, we have the last boss right in front of our eyes.
context: we still have a chance of killing him.\Yeah...\Yeah, yeah...\That's right...\You're right.\Right.\We have no choice but to do it.\I mean, we have the last boss right in front of our eyes. response:	All Might will do something about the main bad guys.
context: Yeah...\Yeah, yeah...\That's right...\You're right.\Right.\We have no choice but to do it.\I mean, we have the last boss right in front of our eyes.\All Might will do something about the main bad guys. response:	Let's go help the others!
context: Yeah, yeah...\That's right...\You're right.\Right.\We have no choice but to do it.\I mean, we have the last boss right in front of our eyes.\All Might will do something about the main bad guys.\Let's go help the others! response:	Midoriya?
context: That's right...\You're right.\Right.\We have no choice but to do it.\I mean, we have the last boss right in front of our eyes.\All Might will do something about the main bad guys.\Let's go help the others!\Midoriya? response:	I'm the only one who knows...
context: You're right.\Right.\We have no choice but to do it.\I mean, we have the last boss right in front of our eyes.\All Might will do something about the main bad guys.\Let's go help the others!\Midoriya?\I'm the only one who knows... response:	The mist guy is probably more dangerous.
context: Right.\We have no choice but to do it.\I mean, we have the last boss right in front of our eyes.\All Might will do something about the main bad guys.\Let's go help the others!\Midoriya?\I'm the only one who knows...\The mist guy is probably more dangerous. response:	All Might has most likely...
context: We have no choice but to do it.\I mean, we have the last boss right in front of our eyes.\All Might will do something about the main bad guys.\Let's go help the others!\Midoriya?\I'm the only one who knows...\The mist guy is probably more dangerous.\All Might has most likely... response:	If the mist guy toys with him...
context: I mean, we have the last boss right in front of our eyes.\All Might will do something about the main bad guys.\Let's go help the others!\Midoriya?\I'm the only one who knows...\The mist guy is probably more dangerous.\All Might has most likely...\If the mist guy toys with him... response:	You're coming, huh?!
context: All Might will do something about the main bad guys.\Let's go help the others!\Midoriya?\I'm the only one who knows...\The mist guy is probably more dangerous.\All Might has most likely...\If the mist guy toys with him...\You're coming, huh?! response:	This is revenge for Nomu!
context: Let's go help the others!\Midoriya?\I'm the only one who knows...\The mist guy is probably more dangerous.\All Might has most likely...\If the mist guy toys with him...\You're coming, huh?!\This is revenge for Nomu! response:	Jeez, holy shit!
context: Midoriya?\I'm the only one who knows...\The mist guy is probably more dangerous.\All Might has most likely...\If the mist guy toys with him...\You're coming, huh?!\This is revenge for Nomu!\Jeez, holy shit! response:	Hurry!
context: I'm the only one who knows...\The mist guy is probably more dangerous.\All Might has most likely...\If the mist guy toys with him...\You're coming, huh?!\This is revenge for Nomu!\Jeez, holy shit!\Hurry! response:	Everyone... hurry!
context: The mist guy is probably more dangerous.\All Might has most likely...\If the mist guy toys with him...\You're coming, huh?!\This is revenge for Nomu!\Jeez, holy shit!\Hurry!\Everyone... hurry! response:	He s fast!
context: All Might has most likely...\If the mist guy toys with him...\You're coming, huh?!\This is revenge for Nomu!\Jeez, holy shit!\Hurry!\Everyone... hurry!\He s fast! response:	I'm the only who knows the predicament he's in!
context: If the mist guy toys with him...\You're coming, huh?!\This is revenge for Nomu!\Jeez, holy shit!\Hurry!\Everyone... hurry!\He s fast!\I'm the only who knows the predicament he's in! response:	Midoriya!
context: You're coming, huh?!\This is revenge for Nomu!\Jeez, holy shit!\Hurry!\Everyone... hurry!\He s fast!\I'm the only who knows the predicament he's in!\Midoriya! response:	They're broken... even though I controlled it earlier...
context: This is revenge for Nomu!\Jeez, holy shit!\Hurry!\Everyone... hurry!\He s fast!\I'm the only who knows the predicament he's in!\Midoriya!\They're broken... even though I controlled it earlier... response:	But... I made it!
context: Jeez, holy shit!\Hurry!\Everyone... hurry!\He s fast!\I'm the only who knows the predicament he's in!\Midoriya!\They're broken... even though I controlled it earlier...\But... I made it! response:	The hidden part of his body!
context: Hurry!\Everyone... hurry!\He s fast!\I'm the only who knows the predicament he's in!\Midoriya!\They're broken... even though I controlled it earlier...\But... I made it!\The hidden part of his body! response:	As long as I aim at that...
context: Everyone... hurry!\He s fast!\I'm the only who knows the predicament he's in!\Midoriya!\They're broken... even though I controlled it earlier...\But... I made it!\The hidden part of his body!\As long as I aim at that... response:	Get away from All Might!
context: He s fast!\I'm the only who knows the predicament he's in!\Midoriya!\They're broken... even though I controlled it earlier...\But... I made it!\The hidden part of his body!\As long as I aim at that...\Get away from All Might! response:	This hand is...
context: I'm the only who knows the predicament he's in!\Midoriya!\They're broken... even though I controlled it earlier...\But... I made it!\The hidden part of his body!\As long as I aim at that...\Get away from All Might!\This hand is... response:	I won't fall for that again!
context: Midoriya!\They're broken... even though I controlled it earlier...\But... I made it!\The hidden part of his body!\As long as I aim at that...\Get away from All Might!\This hand is...\I won't fall for that again! response:	They here?!
context: They're broken... even though I controlled it earlier...\But... I made it!\The hidden part of his body!\As long as I aim at that...\Get away from All Might!\This hand is...\I won't fall for that again!\They here?! response:	This attack...
context: But... I made it!\The hidden part of his body!\As long as I aim at that...\Get away from All Might!\This hand is...\I won't fall for that again!\They here?!\This attack... response:	Could it be...?
context: The hidden part of his body!\As long as I aim at that...\Get away from All Might!\This hand is...\I won't fall for that again!\They here?!\This attack...\Could it be...? response:	Sorry, everyone!
context: As long as I aim at that...\Get away from All Might!\This hand is...\I won't fall for that again!\They here?!\This attack...\Could it be...?\Sorry, everyone! response:	Sorry we're late!
context: Get away from All Might!\This hand is...\I won't fall for that again!\They here?!\This attack...\Could it be...?\Sorry, everyone!\Sorry we're late! response:	I gathered all who were immediately available!
context: This hand is...\I won't fall for that again!\They here?!\This attack...\Could it be...?\Sorry, everyone!\Sorry we're late!\I gathered all who were immediately available! response:	Iida!
context: I won't fall for that again!\They here?!\This attack...\Could it be...?\Sorry, everyone!\Sorry we're late!\I gathered all who were immediately available!\Iida! response:	I, class 1-A representative...
context: They here?!\This attack...\Could it be...?\Sorry, everyone!\Sorry we're late!\I gathered all who were immediately available!\Iida!\I, class 1-A representative... response:	Split up and protect the students!
context: This attack...\Could it be...?\Sorry, everyone!\Sorry we're late!\I gathered all who were immediately available!\Iida!\I, class 1-A representative...\Split up and protect the students! response:	Yes, sir!
context: Could it be...?\Sorry, everyone!\Sorry we're late!\I gathered all who were immediately available!\Iida!\I, class 1-A representative...\Split up and protect the students!\Yes, sir! response:	Yes, sir!
context: Sorry, everyone!\Sorry we're late!\I gathered all who were immediately available!\Iida!\I, class 1-A representative...\Split up and protect the students!\Yes, sir!\Yes, sir! response:	Aw man, they're here.
context: Sorry we're late!\I gathered all who were immediately available!\Iida!\I, class 1-A representative...\Split up and protect the students!\Yes, sir!\Yes, sir!\Aw man, they're here. response:	It's game over now.
context: I gathered all who were immediately available!\Iida!\I, class 1-A representative...\Split up and protect the students!\Yes, sir!\Yes, sir!\Aw man, they're here.\It's game over now. response:	Shall we go home and try again later, Kurogir?
context: Iida!\I, class 1-A representative...\Split up and protect the students!\Yes, sir!\Yes, sir!\Aw man, they're here.\It's game over now.\Shall we go home and try again later, Kurogir? response:	Someone whose Quirk can capture them all from this distance...
context: I, class 1-A representative...\Split up and protect the students!\Yes, sir!\Yes, sir!\Aw man, they're here.\It's game over now.\Shall we go home and try again later, Kurogir?\Someone whose Quirk can capture them all from this distance... response:	Shigaraki Tomura!
context: Split up and protect the students!\Yes, sir!\Yes, sir!\Aw man, they're here.\It's game over now.\Shall we go home and try again later, Kurogir?\Someone whose Quirk can capture them all from this distance...\Shigaraki Tomura! response:	This is...
context: Yes, sir!\Yes, sir!\Aw man, they're here.\It's game over now.\Shall we go home and try again later, Kurogir?\Someone whose Quirk can capture them all from this distance...\Shigaraki Tomura!\This is... response:	I may have failed this time...
context: Yes, sir!\Aw man, they're here.\It's game over now.\Shall we go home and try again later, Kurogir?\Someone whose Quirk can capture them all from this distance...\Shigaraki Tomura!\This is...\I may have failed this time... response:	What the pros deal with...
context: Aw man, they're here.\It's game over now.\Shall we go home and try again later, Kurogir?\Someone whose Quirk can capture them all from this distance...\Shigaraki Tomura!\This is...\I may have failed this time...\What the pros deal with... response:	What they fight against...
context: It's game over now.\Shall we go home and try again later, Kurogir?\Someone whose Quirk can capture them all from this distance...\Shigaraki Tomura!\This is...\I may have failed this time...\What the pros deal with...\What they fight against... response:	The world of evil...
context: Shall we go home and try again later, Kurogir?\Someone whose Quirk can capture them all from this distance...\Shigaraki Tomura!\This is...\I may have failed this time...\What the pros deal with...\What they fight against...\The world of evil... response:	That was an experience... that we were not ready for yet.
context: Someone whose Quirk can capture them all from this distance...\Shigaraki Tomura!\This is...\I may have failed this time...\What the pros deal with...\What they fight against...\The world of evil...\That was an experience... that we were not ready for yet. response:	I wasn't able...
context: Shigaraki Tomura!\This is...\I may have failed this time...\What the pros deal with...\What they fight against...\The world of evil...\That was an experience... that we were not ready for yet.\I wasn't able... response:	That's not true.
context: This is...\I may have failed this time...\What the pros deal with...\What they fight against...\The world of evil...\That was an experience... that we were not ready for yet.\I wasn't able...\That's not true. response:	If it weren't for those few seconds you bought me,
context: I may have failed this time...\What the pros deal with...\What they fight against...\The world of evil...\That was an experience... that we were not ready for yet.\I wasn't able...\That's not true.\If it weren't for those few seconds you bought me, response:	I would have been killed.
context: What the pros deal with...\What they fight against...\The world of evil...\That was an experience... that we were not ready for yet.\I wasn't able...\That's not true.\If it weren't for those few seconds you bought me,\I would have been killed. response:	You saved me again.
context: What they fight against...\The world of evil...\That was an experience... that we were not ready for yet.\I wasn't able...\That's not true.\If it weren't for those few seconds you bought me,\I would have been killed.\You saved me again. response:	All Might...
context: The world of evil...\That was an experience... that we were not ready for yet.\I wasn't able...\That's not true.\If it weren't for those few seconds you bought me,\I would have been killed.\You saved me again.\All Might... response:	I'm so glad...
context: That was an experience... that we were not ready for yet.\I wasn't able...\That's not true.\If it weren't for those few seconds you bought me,\I would have been killed.\You saved me again.\All Might...\I'm so glad... response:	My goodness...
context: I wasn't able...\That's not true.\If it weren't for those few seconds you bought me,\I would have been killed.\You saved me again.\All Might...\I'm so glad...\My goodness... response:	I can't believe we let them escape after they made such a big show of trespassing.
context: That's not true.\If it weren't for those few seconds you bought me,\I would have been killed.\You saved me again.\All Might...\I'm so glad...\My goodness...\I can't believe we let them escape after they made such a big show of trespassing. response:	They caught us completely unguarded, huh?
