context: Alien...? response:	My duty is to observe Haruhi Suzumiya...
context: Hold on.\I'll be frank.\I have no idea what you're talking about.\Believe me.\First of all, why me?\Well...\Let's just pretend that...\Then why are you revealing your identity to me? response:	You have been chosen by Haruhi Suzumiya.
context: I'll be frank.\I have no idea what you're talking about.\Believe me.\First of all, why me?\Well...\Let's just pretend that...\Then why are you revealing your identity to me?\You have been chosen by Haruhi Suzumiya. response:	Whether or not Haruhi Suzumiya is aware of it...
context: I have no idea what you're talking about.\Believe me.\First of all, why me?\Well...\Let's just pretend that...\Then why are you revealing your identity to me?\You have been chosen by Haruhi Suzumiya.\Whether or not Haruhi Suzumiya is aware of it... response:	There must be a reason why you were chosen.
context: Believe me.\First of all, why me?\Well...\Let's just pretend that...\Then why are you revealing your identity to me?\You have been chosen by Haruhi Suzumiya.\Whether or not Haruhi Suzumiya is aware of it...\There must be a reason why you were chosen. response:	There isn't.
context: First of all, why me?\Well...\Let's just pretend that...\Then why are you revealing your identity to me?\You have been chosen by Haruhi Suzumiya.\Whether or not Haruhi Suzumiya is aware of it...\There must be a reason why you were chosen.\There isn't. response:	There is.
context: Well...\Let's just pretend that...\Then why are you revealing your identity to me?\You have been chosen by Haruhi Suzumiya.\Whether or not Haruhi Suzumiya is aware of it...\There must be a reason why you were chosen.\There isn't.\There is. response:	You and Haruhi Suzumiya hold all potential within your grasp.
context: Let's just pretend that...\Then why are you revealing your identity to me?\You have been chosen by Haruhi Suzumiya.\Whether or not Haruhi Suzumiya is aware of it...\There must be a reason why you were chosen.\There isn't.\There is.\You and Haruhi Suzumiya hold all potential within your grasp. response:	Are you serious?
context: Then why are you revealing your identity to me?\You have been chosen by Haruhi Suzumiya.\Whether or not Haruhi Suzumiya is aware of it...\There must be a reason why you were chosen.\There isn't.\There is.\You and Haruhi Suzumiya hold all potential within your grasp.\Are you serious? response:	Naturally.
context: You have been chosen by Haruhi Suzumiya.\Whether or not Haruhi Suzumiya is aware of it...\There must be a reason why you were chosen.\There isn't.\There is.\You and Haruhi Suzumiya hold all potential within your grasp.\Are you serious?\Naturally. response:	Here I was, marveling at how the tight-lipped wonder had finally opened her mouth...
context: Whether or not Haruhi Suzumiya is aware of it...\There must be a reason why you were chosen.\There isn't.\There is.\You and Haruhi Suzumiya hold all potential within your grasp.\Are you serious?\Naturally.\Here I was, marveling at how the tight-lipped wonder had finally opened her mouth... response:	I never would have imagined she was some crazy girl.
context: There must be a reason why you were chosen.\There isn't.\There is.\You and Haruhi Suzumiya hold all potential within your grasp.\Are you serious?\Naturally.\Here I was, marveling at how the tight-lipped wonder had finally opened her mouth...\I never would have imagined she was some crazy girl. response:	Now look here.
context: There isn't.\There is.\You and Haruhi Suzumiya hold all potential within your grasp.\Are you serious?\Naturally.\Here I was, marveling at how the tight-lipped wonder had finally opened her mouth...\I never would have imagined she was some crazy girl.\Now look here. response:	If you go tell Haruhi this story, she'll be overjoyed.
context: There is.\You and Haruhi Suzumiya hold all potential within your grasp.\Are you serious?\Naturally.\Here I was, marveling at how the tight-lipped wonder had finally opened her mouth...\I never would have imagined she was some crazy girl.\Now look here.\If you go tell Haruhi this story, she'll be overjoyed. response:	Quite frankly, I don't understand any of this stuff.
context: You and Haruhi Suzumiya hold all potential within your grasp.\Are you serious?\Naturally.\Here I was, marveling at how the tight-lipped wonder had finally opened her mouth...\I never would have imagined she was some crazy girl.\Now look here.\If you go tell Haruhi this story, she'll be overjoyed.\Quite frankly, I don't understand any of this stuff. response:	Sorry.
context: Are you serious?\Naturally.\Here I was, marveling at how the tight-lipped wonder had finally opened her mouth...\I never would have imagined she was some crazy girl.\Now look here.\If you go tell Haruhi this story, she'll be overjoyed.\Quite frankly, I don't understand any of this stuff.\Sorry. response:	A large sector of the Data Integration Thought Entity has recognized that...
context: Naturally.\Here I was, marveling at how the tight-lipped wonder had finally opened her mouth...\I never would have imagined she was some crazy girl.\Now look here.\If you go tell Haruhi this story, she'll be overjoyed.\Quite frankly, I don't understand any of this stuff.\Sorry.\A large sector of the Data Integration Thought Entity has recognized that... response:	We must observe the situation for now.
context: Here I was, marveling at how the tight-lipped wonder had finally opened her mouth...\I never would have imagined she was some crazy girl.\Now look here.\If you go tell Haruhi this story, she'll be overjoyed.\Quite frankly, I don't understand any of this stuff.\Sorry.\A large sector of the Data Integration Thought Entity has recognized that...\We must observe the situation for now. response:	Isn't it possible that...
context: I never would have imagined she was some crazy girl.\Now look here.\If you go tell Haruhi this story, she'll be overjoyed.\Quite frankly, I don't understand any of this stuff.\Sorry.\A large sector of the Data Integration Thought Entity has recognized that...\We must observe the situation for now.\Isn't it possible that... response:	She won't take the data you feed her seriously.
context: Now look here.\If you go tell Haruhi this story, she'll be overjoyed.\Quite frankly, I don't understand any of this stuff.\Sorry.\A large sector of the Data Integration Thought Entity has recognized that...\We must observe the situation for now.\Isn't it possible that...\She won't take the data you feed her seriously. response:	You have a point.
context: If you go tell Haruhi this story, she'll be overjoyed.\Quite frankly, I don't understand any of this stuff.\Sorry.\A large sector of the Data Integration Thought Entity has recognized that...\We must observe the situation for now.\Isn't it possible that...\She won't take the data you feed her seriously.\You have a point. response:	I am not the only interface placed on Earth by the Data Integration Thought Entity.
context: Quite frankly, I don't understand any of this stuff.\Sorry.\A large sector of the Data Integration Thought Entity has recognized that...\We must observe the situation for now.\Isn't it possible that...\She won't take the data you feed her seriously.\You have a point.\I am not the only interface placed on Earth by the Data Integration Thought Entity. response:	A sector of the Data Integration Thought Entity overmind...
context: Sorry.\A large sector of the Data Integration Thought Entity has recognized that...\We must observe the situation for now.\Isn't it possible that...\She won't take the data you feed her seriously.\You have a point.\I am not the only interface placed on Earth by the Data Integration Thought Entity.\A sector of the Data Integration Thought Entity overmind... response:	You are the key to Haruhi Suzumiya.
context: A large sector of the Data Integration Thought Entity has recognized that...\We must observe the situation for now.\Isn't it possible that...\She won't take the data you feed her seriously.\You have a point.\I am not the only interface placed on Earth by the Data Integration Thought Entity.\A sector of the Data Integration Thought Entity overmind...\You are the key to Haruhi Suzumiya. response:	When crisis approaches, you will be first.
context: We must observe the situation for now.\Isn't it possible that...\She won't take the data you feed her seriously.\You have a point.\I am not the only interface placed on Earth by the Data Integration Thought Entity.\A sector of the Data Integration Thought Entity overmind...\You are the key to Haruhi Suzumiya.\When crisis approaches, you will be first. response:	I can't take any more of this.
context: Isn't it possible that...\She won't take the data you feed her seriously.\You have a point.\I am not the only interface placed on Earth by the Data Integration Thought Entity.\A sector of the Data Integration Thought Entity overmind...\You are the key to Haruhi Suzumiya.\When crisis approaches, you will be first.\I can't take any more of this. response:	Humanoid inter...
context: She won't take the data you feed her seriously.\You have a point.\I am not the only interface placed on Earth by the Data Integration Thought Entity.\A sector of the Data Integration Thought Entity overmind...\You are the key to Haruhi Suzumiya.\When crisis approaches, you will be first.\I can't take any more of this.\Humanoid inter... response:	An alien?
context: You have a point.\I am not the only interface placed on Earth by the Data Integration Thought Entity.\A sector of the Data Integration Thought Entity overmind...\You are the key to Haruhi Suzumiya.\When crisis approaches, you will be first.\I can't take any more of this.\Humanoid inter...\An alien? response:	She must have picked up those bizarre delusions from reading SF novels all alone in her apartment for so long.
context: I am not the only interface placed on Earth by the Data Integration Thought Entity.\A sector of the Data Integration Thought Entity overmind...\You are the key to Haruhi Suzumiya.\When crisis approaches, you will be first.\I can't take any more of this.\Humanoid inter...\An alien?\She must have picked up those bizarre delusions from reading SF novels all alone in her apartment for so long. response:	I'm sure she locks herself up in her shell...
context: A sector of the Data Integration Thought Entity overmind...\You are the key to Haruhi Suzumiya.\When crisis approaches, you will be first.\I can't take any more of this.\Humanoid inter...\An alien?\She must have picked up those bizarre delusions from reading SF novels all alone in her apartment for so long.\I'm sure she locks herself up in her shell... response:	Both her and Haruhi...
context: You are the key to Haruhi Suzumiya.\When crisis approaches, you will be first.\I can't take any more of this.\Humanoid inter...\An alien?\She must have picked up those bizarre delusions from reading SF novels all alone in her apartment for so long.\I'm sure she locks herself up in her shell...\Both her and Haruhi... response:	It's come!
context: When crisis approaches, you will be first.\I can't take any more of this.\Humanoid inter...\An alien?\She must have picked up those bizarre delusions from reading SF novels all alone in her apartment for so long.\I'm sure she locks herself up in her shell...\Both her and Haruhi...\It's come! response:	The long-awaited transfer student!
context: I can't take any more of this.\Humanoid inter...\An alien?\She must have picked up those bizarre delusions from reading SF novels all alone in her apartment for so long.\I'm sure she locks herself up in her shell...\Both her and Haruhi...\It's come!\The long-awaited transfer student! response:	Don't you think it's amazing!?
context: Humanoid inter...\An alien?\She must have picked up those bizarre delusions from reading SF novels all alone in her apartment for so long.\I'm sure she locks herself up in her shell...\Both her and Haruhi...\It's come!\The long-awaited transfer student!\Don't you think it's amazing!? response:	It's a mysterious transfer student!
context: An alien?\She must have picked up those bizarre delusions from reading SF novels all alone in her apartment for so long.\I'm sure she locks herself up in her shell...\Both her and Haruhi...\It's come!\The long-awaited transfer student!\Don't you think it's amazing!?\It's a mysterious transfer student! response:	No doubt about it!
context: She must have picked up those bizarre delusions from reading SF novels all alone in her apartment for so long.\I'm sure she locks herself up in her shell...\Both her and Haruhi...\It's come!\The long-awaited transfer student!\Don't you think it's amazing!?\It's a mysterious transfer student!\No doubt about it! response:	You can tell without even seeing the student?
context: I'm sure she locks herself up in her shell...\Both her and Haruhi...\It's come!\The long-awaited transfer student!\Don't you think it's amazing!?\It's a mysterious transfer student!\No doubt about it!\You can tell without even seeing the student? response:	Didn't I already tell you?
context: Both her and Haruhi...\It's come!\The long-awaited transfer student!\Don't you think it's amazing!?\It's a mysterious transfer student!\No doubt about it!\You can tell without even seeing the student?\Didn't I already tell you? response:	Survey says that a student who transfers in halfway through the year...
context: It's come!\The long-awaited transfer student!\Don't you think it's amazing!?\It's a mysterious transfer student!\No doubt about it!\You can tell without even seeing the student?\Didn't I already tell you?\Survey says that a student who transfers in halfway through the year... response:	Just when who and how was that statistic derived?
context: The long-awaited transfer student!\Don't you think it's amazing!?\It's a mysterious transfer student!\No doubt about it!\You can tell without even seeing the student?\Didn't I already tell you?\Survey says that a student who transfers in halfway through the year...\Just when who and how was that statistic derived? response:	If mysterious transfer students can be guaranteed...
context: Don't you think it's amazing!?\It's a mysterious transfer student!\No doubt about it!\You can tell without even seeing the student?\Didn't I already tell you?\Survey says that a student who transfers in halfway through the year...\Just when who and how was that statistic derived?\If mysterious transfer students can be guaranteed... response:	I'm gonna take a look!
context: It's a mysterious transfer student!\No doubt about it!\You can tell without even seeing the student?\Didn't I already tell you?\Survey says that a student who transfers in halfway through the year...\Just when who and how was that statistic derived?\If mysterious transfer students can be guaranteed...\I'm gonna take a look! response:	Literary Club
context: No doubt about it!\You can tell without even seeing the student?\Didn't I already tell you?\Survey says that a student who transfers in halfway through the year...\Just when who and how was that statistic derived?\If mysterious transfer students can be guaranteed...\I'm gonna take a look!\Literary Club response:	When I went to the clubroom after school...
context: You can tell without even seeing the student?\Didn't I already tell you?\Survey says that a student who transfers in halfway through the year...\Just when who and how was that statistic derived?\If mysterious transfer students can be guaranteed...\I'm gonna take a look!\Literary Club\When I went to the clubroom after school... response:	I'm amazed you were willing to come back to the clubroom.
context: Didn't I already tell you?\Survey says that a student who transfers in halfway through the year...\Just when who and how was that statistic derived?\If mysterious transfer students can be guaranteed...\I'm gonna take a look!\Literary Club\When I went to the clubroom after school...\I'm amazed you were willing to come back to the clubroom. response:	I was a bit hesitant...
context: Survey says that a student who transfers in halfway through the year...\Just when who and how was that statistic derived?\If mysterious transfer students can be guaranteed...\I'm gonna take a look!\Literary Club\When I went to the clubroom after school...\I'm amazed you were willing to come back to the clubroom.\I was a bit hesitant... response:	I get the feeling I heard her say something similar before.
context: Just when who and how was that statistic derived?\If mysterious transfer students can be guaranteed...\I'm gonna take a look!\Literary Club\When I went to the clubroom after school...\I'm amazed you were willing to come back to the clubroom.\I was a bit hesitant...\I get the feeling I heard her say something similar before. response:	What are you concerned about?
