context: Alright, I can do it! response:	It's great that you can,
context: Tell Komari-san?\Yeah.\Why don't you tell her yourself?\I wouldn't be asking you if I could.\How long are you going to avoid her?\She's part of the Little Busters now, you know?\Give these to her for me as thanks.\Okay? response:	Good grief.
context: Yeah.\Why don't you tell her yourself?\I wouldn't be asking you if I could.\How long are you going to avoid her?\She's part of the Little Busters now, you know?\Give these to her for me as thanks.\Okay?\Good grief. response:	Boy,
context: Why don't you tell her yourself?\I wouldn't be asking you if I could.\How long are you going to avoid her?\She's part of the Little Busters now, you know?\Give these to her for me as thanks.\Okay?\Good grief.\Boy, response:	Komari-kun went somewhere with a bag of snacks just now.
context: I wouldn't be asking you if I could.\How long are you going to avoid her?\She's part of the Little Busters now, you know?\Give these to her for me as thanks.\Okay?\Good grief.\Boy,\Komari-kun went somewhere with a bag of snacks just now. response:	Kurugaya-san?
context: How long are you going to avoid her?\She's part of the Little Busters now, you know?\Give these to her for me as thanks.\Okay?\Good grief.\Boy,\Komari-kun went somewhere with a bag of snacks just now.\Kurugaya-san? response:	Thanks!
context: She's part of the Little Busters now, you know?\Give these to her for me as thanks.\Okay?\Good grief.\Boy,\Komari-kun went somewhere with a bag of snacks just now.\Kurugaya-san?\Thanks! response:	She's just so carefree.
context: Give these to her for me as thanks.\Okay?\Good grief.\Boy,\Komari-kun went somewhere with a bag of snacks just now.\Kurugaya-san?\Thanks!\She's just so carefree. response:	I wonder what she's dreaming about.
context: Okay?\Good grief.\Boy,\Komari-kun went somewhere with a bag of snacks just now.\Kurugaya-san?\Thanks!\She's just so carefree.\I wonder what she's dreaming about. response:	I'm sure it's a happy dream.
context: Good grief.\Boy,\Komari-kun went somewhere with a bag of snacks just now.\Kurugaya-san?\Thanks!\She's just so carefree.\I wonder what she's dreaming about.\I'm sure it's a happy dream. response:	Onii-cha
context: Boy,\Komari-kun went somewhere with a bag of snacks just now.\Kurugaya-san?\Thanks!\She's just so carefree.\I wonder what she's dreaming about.\I'm sure it's a happy dream.\Onii-cha response:	Na-Naoe-ku
context: Komari-kun went somewhere with a bag of snacks just now.\Kurugaya-san?\Thanks!\She's just so carefree.\I wonder what she's dreaming about.\I'm sure it's a happy dream.\Onii-cha\Na-Naoe-ku response:	I smacked both sides...
context: Kurugaya-san?\Thanks!\She's just so carefree.\I wonder what she's dreaming about.\I'm sure it's a happy dream.\Onii-cha\Na-Naoe-ku\I smacked both sides... response:	Are you okay?
context: Thanks!\She's just so carefree.\I wonder what she's dreaming about.\I'm sure it's a happy dream.\Onii-cha\Na-Naoe-ku\I smacked both sides...\Are you okay? response:	Not really...
context: She's just so carefree.\I wonder what she's dreaming about.\I'm sure it's a happy dream.\Onii-cha\Na-Naoe-ku\I smacked both sides...\Are you okay?\Not really... response:	What about you?
context: I wonder what she's dreaming about.\I'm sure it's a happy dream.\Onii-cha\Na-Naoe-ku\I smacked both sides...\Are you okay?\Not really...\What about you? response:	I'm, uh... I'm fine.
context: I'm sure it's a happy dream.\Onii-cha\Na-Naoe-ku\I smacked both sides...\Are you okay?\Not really...\What about you?\I'm, uh... I'm fine. response:	But why did you headbutt me when I woke up?
context: Onii-cha\Na-Naoe-ku\I smacked both sides...\Are you okay?\Not really...\What about you?\I'm, uh... I'm fine.\But why did you headbutt me when I woke up? response:	Well, um...
context: Na-Naoe-ku\I smacked both sides...\Are you okay?\Not really...\What about you?\I'm, uh... I'm fine.\But why did you headbutt me when I woke up?\Well, um... response:	You were drooling...
context: I smacked both sides...\Are you okay?\Not really...\What about you?\I'm, uh... I'm fine.\But why did you headbutt me when I woke up?\Well, um...\You were drooling... response:	How embarrassing!
context: Are you okay?\Not really...\What about you?\I'm, uh... I'm fine.\But why did you headbutt me when I woke up?\Well, um...\You were drooling...\How embarrassing! response:	I've been embarrassed by Naoe-kun!
context: Not really...\What about you?\I'm, uh... I'm fine.\But why did you headbutt me when I woke up?\Well, um...\You were drooling...\How embarrassing!\I've been embarrassed by Naoe-kun! response:	No, I didn't do anything...
context: What about you?\I'm, uh... I'm fine.\But why did you headbutt me when I woke up?\Well, um...\You were drooling...\How embarrassing!\I've been embarrassed by Naoe-kun!\No, I didn't do anything... response:	Though, you were talking in your sleep.
context: I'm, uh... I'm fine.\But why did you headbutt me when I woke up?\Well, um...\You were drooling...\How embarrassing!\I've been embarrassed by Naoe-kun!\No, I didn't do anything...\Though, you were talking in your sleep. response:	I was?!
context: But why did you headbutt me when I woke up?\Well, um...\You were drooling...\How embarrassing!\I've been embarrassed by Naoe-kun!\No, I didn't do anything...\Though, you were talking in your sleep.\I was?! response:	You didn't hear anything.
context: Well, um...\You were drooling...\How embarrassing!\I've been embarrassed by Naoe-kun!\No, I didn't do anything...\Though, you were talking in your sleep.\I was?!\You didn't hear anything. response:	Okay?
context: You were drooling...\How embarrassing!\I've been embarrassed by Naoe-kun!\No, I didn't do anything...\Though, you were talking in your sleep.\I was?!\You didn't hear anything.\Okay? response:	O-Okay.
context: How embarrassing!\I've been embarrassed by Naoe-kun!\No, I didn't do anything...\Though, you were talking in your sleep.\I was?!\You didn't hear anything.\Okay?\O-Okay. response:	I was never heard. Yup.
context: I've been embarrassed by Naoe-kun!\No, I didn't do anything...\Though, you were talking in your sleep.\I was?!\You didn't hear anything.\Okay?\O-Okay.\I was never heard. Yup. response:	All problems solved!
context: No, I didn't do anything...\Though, you were talking in your sleep.\I was?!\You didn't hear anything.\Okay?\O-Okay.\I was never heard. Yup.\All problems solved! response:	Oh, why don't I call you Riki-kun from now on?
context: Though, you were talking in your sleep.\I was?!\You didn't hear anything.\Okay?\O-Okay.\I was never heard. Yup.\All problems solved!\Oh, why don't I call you Riki-kun from now on? response:	You can call me Komari too.
context: I was?!\You didn't hear anything.\Okay?\O-Okay.\I was never heard. Yup.\All problems solved!\Oh, why don't I call you Riki-kun from now on?\You can call me Komari too. response:	I guess I'll go with Komari-san, then.
context: You didn't hear anything.\Okay?\O-Okay.\I was never heard. Yup.\All problems solved!\Oh, why don't I call you Riki-kun from now on?\You can call me Komari too.\I guess I'll go with Komari-san, then. response:	Riki-kun, do you want some snacks?
context: Okay?\O-Okay.\I was never heard. Yup.\All problems solved!\Oh, why don't I call you Riki-kun from now on?\You can call me Komari too.\I guess I'll go with Komari-san, then.\Riki-kun, do you want some snacks? response:	Plain scones and the sweetest apricot jam.
context: O-Okay.\I was never heard. Yup.\All problems solved!\Oh, why don't I call you Riki-kun from now on?\You can call me Komari too.\I guess I'll go with Komari-san, then.\Riki-kun, do you want some snacks?\Plain scones and the sweetest apricot jam. response:	Have some with this afternoon tea.
context: I was never heard. Yup.\All problems solved!\Oh, why don't I call you Riki-kun from now on?\You can call me Komari too.\I guess I'll go with Komari-san, then.\Riki-kun, do you want some snacks?\Plain scones and the sweetest apricot jam.\Have some with this afternoon tea. response:	Oh, right, Komari-san.
context: All problems solved!\Oh, why don't I call you Riki-kun from now on?\You can call me Komari too.\I guess I'll go with Komari-san, then.\Riki-kun, do you want some snacks?\Plain scones and the sweetest apricot jam.\Have some with this afternoon tea.\Oh, right, Komari-san. response:	You took care of Fabre's paw, right?
context: Oh, why don't I call you Riki-kun from now on?\You can call me Komari too.\I guess I'll go with Komari-san, then.\Riki-kun, do you want some snacks?\Plain scones and the sweetest apricot jam.\Have some with this afternoon tea.\Oh, right, Komari-san.\You took care of Fabre's paw, right? response:	Fabre?
context: You can call me Komari too.\I guess I'll go with Komari-san, then.\Riki-kun, do you want some snacks?\Plain scones and the sweetest apricot jam.\Have some with this afternoon tea.\Oh, right, Komari-san.\You took care of Fabre's paw, right?\Fabre? response:	Yup! The cat, right?
context: I guess I'll go with Komari-san, then.\Riki-kun, do you want some snacks?\Plain scones and the sweetest apricot jam.\Have some with this afternoon tea.\Oh, right, Komari-san.\You took care of Fabre's paw, right?\Fabre?\Yup! The cat, right? response:	I love cats!
context: Riki-kun, do you want some snacks?\Plain scones and the sweetest apricot jam.\Have some with this afternoon tea.\Oh, right, Komari-san.\You took care of Fabre's paw, right?\Fabre?\Yup! The cat, right?\I love cats! response:	Rin asked me to give these to you as thanks.
context: Plain scones and the sweetest apricot jam.\Have some with this afternoon tea.\Oh, right, Komari-san.\You took care of Fabre's paw, right?\Fabre?\Yup! The cat, right?\I love cats!\Rin asked me to give these to you as thanks. response:	They're from Rin-chan?
context: Have some with this afternoon tea.\Oh, right, Komari-san.\You took care of Fabre's paw, right?\Fabre?\Yup! The cat, right?\I love cats!\Rin asked me to give these to you as thanks.\They're from Rin-chan? response:	I'll save these for tomorrow.
context: Oh, right, Komari-san.\You took care of Fabre's paw, right?\Fabre?\Yup! The cat, right?\I love cats!\Rin asked me to give these to you as thanks.\They're from Rin-chan?\I'll save these for tomorrow. response:	I'll invite Rin-chan here and eat them with her!
context: You took care of Fabre's paw, right?\Fabre?\Yup! The cat, right?\I love cats!\Rin asked me to give these to you as thanks.\They're from Rin-chan?\I'll save these for tomorrow.\I'll invite Rin-chan here and eat them with her! response:	Invite Rin here?
context: Fabre?\Yup! The cat, right?\I love cats!\Rin asked me to give these to you as thanks.\They're from Rin-chan?\I'll save these for tomorrow.\I'll invite Rin-chan here and eat them with her!\Invite Rin here? response:	As a thank-you.
context: Yup! The cat, right?\I love cats!\Rin asked me to give these to you as thanks.\They're from Rin-chan?\I'll save these for tomorrow.\I'll invite Rin-chan here and eat them with her!\Invite Rin here?\As a thank-you. response:	A thanks for a thanks?
context: I love cats!\Rin asked me to give these to you as thanks.\They're from Rin-chan?\I'll save these for tomorrow.\I'll invite Rin-chan here and eat them with her!\Invite Rin here?\As a thank-you.\A thanks for a thanks? response:	If I can make Rin-chan a little happier by having snacks with her right here, I'll be happy too!
context: Rin asked me to give these to you as thanks.\They're from Rin-chan?\I'll save these for tomorrow.\I'll invite Rin-chan here and eat them with her!\Invite Rin here?\As a thank-you.\A thanks for a thanks?\If I can make Rin-chan a little happier by having snacks with her right here, I'll be happy too! response:	If you make someone happy, you'll be happy too.
