context: Seijoh! response:	One-hand toss!
context: Don't panic! Make sure you call out!\Right!\You got this, right, Kunimi-chan?\Yes.\Hey! That was awesome, Hinata, Kageyama!\So Kunimi can also chase the ball now...\Go after it, to the very end!\Kitagawa Daichi response:	Kageyama!
context: Right!\You got this, right, Kunimi-chan?\Yes.\Hey! That was awesome, Hinata, Kageyama!\So Kunimi can also chase the ball now...\Go after it, to the very end!\Kitagawa Daichi\Kageyama! response:	I'm going to go for as many broad attacks as possible,
context: You got this, right, Kunimi-chan?\Yes.\Hey! That was awesome, Hinata, Kageyama!\So Kunimi can also chase the ball now...\Go after it, to the very end!\Kitagawa Daichi\Kageyama!\I'm going to go for as many broad attacks as possible, response:	until I make one!
context: Yes.\Hey! That was awesome, Hinata, Kageyama!\So Kunimi can also chase the ball now...\Go after it, to the very end!\Kitagawa Daichi\Kageyama!\I'm going to go for as many broad attacks as possible,\until I make one! response:	Let's go!
context: Hey! That was awesome, Hinata, Kageyama!\So Kunimi can also chase the ball now...\Go after it, to the very end!\Kitagawa Daichi\Kageyama!\I'm going to go for as many broad attacks as possible,\until I make one!\Let's go! response:	Right!
context: So Kunimi can also chase the ball now...\Go after it, to the very end!\Kitagawa Daichi\Kageyama!\I'm going to go for as many broad attacks as possible,\until I make one!\Let's go!\Right! response:	Nice serve!
context: Go after it, to the very end!\Kitagawa Daichi\Kageyama!\I'm going to go for as many broad attacks as possible,\until I make one!\Let's go!\Right!\Nice serve! response:	We've got the momentum!
context: Kitagawa Daichi\Kageyama!\I'm going to go for as many broad attacks as possible,\until I make one!\Let's go!\Right!\Nice serve!\We've got the momentum! response:	Give it all you've got, Tanaka!
context: Kageyama!\I'm going to go for as many broad attacks as possible,\until I make one!\Let's go!\Right!\Nice serve!\We've got the momentum!\Give it all you've got, Tanaka! response:	All right! Bring it!
context: I'm going to go for as many broad attacks as possible,\until I make one!\Let's go!\Right!\Nice serve!\We've got the momentum!\Give it all you've got, Tanaka!\All right! Bring it! response:	Got it!
context: until I make one!\Let's go!\Right!\Nice serve!\We've got the momentum!\Give it all you've got, Tanaka!\All right! Bring it!\Got it! response:	It's a little off!
context: Let's go!\Right!\Nice serve!\We've got the momentum!\Give it all you've got, Tanaka!\All right! Bring it!\Got it!\It's a little off! response:	Center!
context: Right!\Nice serve!\We've got the momentum!\Give it all you've got, Tanaka!\All right! Bring it!\Got it!\It's a little off!\Center! response:	Block! Block!
context: Nice serve!\We've got the momentum!\Give it all you've got, Tanaka!\All right! Bring it!\Got it!\It's a little off!\Center!\Block! Block! response:	Fly
context: We've got the momentum!\Give it all you've got, Tanaka!\All right! Bring it!\Got it!\It's a little off!\Center!\Block! Block!\Fly response:	Chance ball!
context: Give it all you've got, Tanaka!\All right! Bring it!\Got it!\It's a little off!\Center!\Block! Block!\Fly\Chance ball! response:	Chance ball!
context: All right! Bring it!\Got it!\It's a little off!\Center!\Block! Block!\Fly\Chance ball!\Chance ball! response:	One more!
context: Got it!\It's a little off!\Center!\Block! Block!\Fly\Chance ball!\Chance ball!\One more! response:	Nice receive, Watari!
context: It's a little off!\Center!\Block! Block!\Fly\Chance ball!\Chance ball!\One more!\Nice receive, Watari! response:	10 is super-fast at returning.
context: Center!\Block! Block!\Fly\Chance ball!\Chance ball!\One more!\Nice receive, Watari!\10 is super-fast at returning. response:	Nice one touch!
context: Block! Block!\Fly\Chance ball!\Chance ball!\One more!\Nice receive, Watari!\10 is super-fast at returning.\Nice one touch! response:	One more time!
context: Fly\Chance ball!\Chance ball!\One more!\Nice receive, Watari!\10 is super-fast at returning.\Nice one touch!\One more time! response:	There's no point in leaving you open,
context: Chance ball!\Chance ball!\One more!\Nice receive, Watari!\10 is super-fast at returning.\Nice one touch!\One more time!\There's no point in leaving you open, response:	if I know you're gonna jump!
context: Chance ball!\One more!\Nice receive, Watari!\10 is super-fast at returning.\Nice one touch!\One more time!\There's no point in leaving you open,\if I know you're gonna jump! response:	Hinata's jumps are running out of power!
context: One more!\Nice receive, Watari!\10 is super-fast at returning.\Nice one touch!\One more time!\There's no point in leaving you open,\if I know you're gonna jump!\Hinata's jumps are running out of power! response:	The timing's going to be off!
context: Nice receive, Watari!\10 is super-fast at returning.\Nice one touch!\One more time!\There's no point in leaving you open,\if I know you're gonna jump!\Hinata's jumps are running out of power!\The timing's going to be off! response:	Aoba Johsai Karasuno
context: 10 is super-fast at returning.\Nice one touch!\One more time!\There's no point in leaving you open,\if I know you're gonna jump!\Hinata's jumps are running out of power!\The timing's going to be off!\Aoba Johsai Karasuno response:	All right!
context: Nice one touch!\One more time!\There's no point in leaving you open,\if I know you're gonna jump!\Hinata's jumps are running out of power!\The timing's going to be off!\Aoba Johsai Karasuno\All right! response:	Shoyo!
context: One more time!\There's no point in leaving you open,\if I know you're gonna jump!\Hinata's jumps are running out of power!\The timing's going to be off!\Aoba Johsai Karasuno\All right!\Shoyo! response:	Hinata really saved us on that one!
context: There's no point in leaving you open,\if I know you're gonna jump!\Hinata's jumps are running out of power!\The timing's going to be off!\Aoba Johsai Karasuno\All right!\Shoyo!\Hinata really saved us on that one! response:	That was awesome! Great job!
context: if I know you're gonna jump!\Hinata's jumps are running out of power!\The timing's going to be off!\Aoba Johsai Karasuno\All right!\Shoyo!\Hinata really saved us on that one!\That was awesome! Great job! response:	This time...
context: Hinata's jumps are running out of power!\The timing's going to be off!\Aoba Johsai Karasuno\All right!\Shoyo!\Hinata really saved us on that one!\That was awesome! Great job!\This time... response:	We're gonna finish this in one shot!
context: The timing's going to be off!\Aoba Johsai Karasuno\All right!\Shoyo!\Hinata really saved us on that one!\That was awesome! Great job!\This time...\We're gonna finish this in one shot! response:	Let's calm down. We'll get it back!
context: Aoba Johsai Karasuno\All right!\Shoyo!\Hinata really saved us on that one!\That was awesome! Great job!\This time...\We're gonna finish this in one shot!\Let's calm down. We'll get it back! response:	Right!
context: All right!\Shoyo!\Hinata really saved us on that one!\That was awesome! Great job!\This time...\We're gonna finish this in one shot!\Let's calm down. We'll get it back!\Right! response:	Tanaka, one more nice serve!
context: Shoyo!\Hinata really saved us on that one!\That was awesome! Great job!\This time...\We're gonna finish this in one shot!\Let's calm down. We'll get it back!\Right!\Tanaka, one more nice serve! response:	Hanamaki-san!
context: Hinata really saved us on that one!\That was awesome! Great job!\This time...\We're gonna finish this in one shot!\Let's calm down. We'll get it back!\Right!\Tanaka, one more nice serve!\Hanamaki-san! response:	All right!
context: That was awesome! Great job!\This time...\We're gonna finish this in one shot!\Let's calm down. We'll get it back!\Right!\Tanaka, one more nice serve!\Hanamaki-san!\All right! response:	Aoba Johsai Karasuno
context: This time...\We're gonna finish this in one shot!\Let's calm down. We'll get it back!\Right!\Tanaka, one more nice serve!\Hanamaki-san!\All right!\Aoba Johsai Karasuno response:	Even if they're tied, as long as Seijoh doesn't pull ahead,
context: We're gonna finish this in one shot!\Let's calm down. We'll get it back!\Right!\Tanaka, one more nice serve!\Hanamaki-san!\All right!\Aoba Johsai Karasuno\Even if they're tied, as long as Seijoh doesn't pull ahead, response:	Karasuno will have the advantage.
context: Let's calm down. We'll get it back!\Right!\Tanaka, one more nice serve!\Hanamaki-san!\All right!\Aoba Johsai Karasuno\Even if they're tied, as long as Seijoh doesn't pull ahead,\Karasuno will have the advantage. response:	Now...
context: Right!\Tanaka, one more nice serve!\Hanamaki-san!\All right!\Aoba Johsai Karasuno\Even if they're tied, as long as Seijoh doesn't pull ahead,\Karasuno will have the advantage.\Now... response:	And now, it's time for Oikawa to serve again...
context: Tanaka, one more nice serve!\Hanamaki-san!\All right!\Aoba Johsai Karasuno\Even if they're tied, as long as Seijoh doesn't pull ahead,\Karasuno will have the advantage.\Now...\And now, it's time for Oikawa to serve again... response:	I won't let you guys attack as you wish.
context: Hanamaki-san!\All right!\Aoba Johsai Karasuno\Even if they're tied, as long as Seijoh doesn't pull ahead,\Karasuno will have the advantage.\Now...\And now, it's time for Oikawa to serve again...\I won't let you guys attack as you wish. response:	We're going to win.
context: All right!\Aoba Johsai Karasuno\Even if they're tied, as long as Seijoh doesn't pull ahead,\Karasuno will have the advantage.\Now...\And now, it's time for Oikawa to serve again...\I won't let you guys attack as you wish.\We're going to win. response:	We're going to the next round.
context: Aoba Johsai Karasuno\Even if they're tied, as long as Seijoh doesn't pull ahead,\Karasuno will have the advantage.\Now...\And now, it's time for Oikawa to serve again...\I won't let you guys attack as you wish.\We're going to win.\We're going to the next round. response:	Shiratorizawa Kitagawa Daichi
context: Even if they're tied, as long as Seijoh doesn't pull ahead,\Karasuno will have the advantage.\Now...\And now, it's time for Oikawa to serve again...\I won't let you guys attack as you wish.\We're going to win.\We're going to the next round.\Shiratorizawa Kitagawa Daichi response:	This time,
context: Karasuno will have the advantage.\Now...\And now, it's time for Oikawa to serve again...\I won't let you guys attack as you wish.\We're going to win.\We're going to the next round.\Shiratorizawa Kitagawa Daichi\This time, response:	we're going to crush Shiratorizawa.
context: Now...\And now, it's time for Oikawa to serve again...\I won't let you guys attack as you wish.\We're going to win.\We're going to the next round.\Shiratorizawa Kitagawa Daichi\This time,\we're going to crush Shiratorizawa. response:	One more, and we'll regain the advantage!
context: And now, it's time for Oikawa to serve again...\I won't let you guys attack as you wish.\We're going to win.\We're going to the next round.\Shiratorizawa Kitagawa Daichi\This time,\we're going to crush Shiratorizawa.\One more, and we'll regain the advantage! response:	Nishinoya!
context: I won't let you guys attack as you wish.\We're going to win.\We're going to the next round.\Shiratorizawa Kitagawa Daichi\This time,\we're going to crush Shiratorizawa.\One more, and we'll regain the advantage!\Nishinoya! response:	Good call, Nishinoya!
context: We're going to win.\We're going to the next round.\Shiratorizawa Kitagawa Daichi\This time,\we're going to crush Shiratorizawa.\One more, and we'll regain the advantage!\Nishinoya!\Good call, Nishinoya! response:	Right.
context: We're going to the next round.\Shiratorizawa Kitagawa Daichi\This time,\we're going to crush Shiratorizawa.\One more, and we'll regain the advantage!\Nishinoya!\Good call, Nishinoya!\Right. response:	He missed... Oikawa missed the serve.
context: Shiratorizawa Kitagawa Daichi\This time,\we're going to crush Shiratorizawa.\One more, and we'll regain the advantage!\Nishinoya!\Good call, Nishinoya!\Right.\He missed... Oikawa missed the serve. response:	Aoba Johsai Karasuno
context: This time,\we're going to crush Shiratorizawa.\One more, and we'll regain the advantage!\Nishinoya!\Good call, Nishinoya!\Right.\He missed... Oikawa missed the serve.\Aoba Johsai Karasuno response:	Karasuno's at match point again.
context: we're going to crush Shiratorizawa.\One more, and we'll regain the advantage!\Nishinoya!\Good call, Nishinoya!\Right.\He missed... Oikawa missed the serve.\Aoba Johsai Karasuno\Karasuno's at match point again. response:	If he missed a serve, when that's
context: One more, and we'll regain the advantage!\Nishinoya!\Good call, Nishinoya!\Right.\He missed... Oikawa missed the serve.\Aoba Johsai Karasuno\Karasuno's at match point again.\If he missed a serve, when that's response:	his strong suit, maybe he's panicking a bit.
context: Nishinoya!\Good call, Nishinoya!\Right.\He missed... Oikawa missed the serve.\Aoba Johsai Karasuno\Karasuno's at match point again.\If he missed a serve, when that's\his strong suit, maybe he's panicking a bit. response:	Yeah. Even Oikawa...
context: Good call, Nishinoya!\Right.\He missed... Oikawa missed the serve.\Aoba Johsai Karasuno\Karasuno's at match point again.\If he missed a serve, when that's\his strong suit, maybe he's panicking a bit.\Yeah. Even Oikawa... response:	And that nullified it. We each have one point now.
context: Right.\He missed... Oikawa missed the serve.\Aoba Johsai Karasuno\Karasuno's at match point again.\If he missed a serve, when that's\his strong suit, maybe he's panicking a bit.\Yeah. Even Oikawa...\And that nullified it. We each have one point now. response:	Iwaizumi-san, you're so cool!
context: He missed... Oikawa missed the serve.\Aoba Johsai Karasuno\Karasuno's at match point again.\If he missed a serve, when that's\his strong suit, maybe he's panicking a bit.\Yeah. Even Oikawa...\And that nullified it. We each have one point now.\Iwaizumi-san, you're so cool! response:	I feel like I've lost to Iwa-chan.
context: Aoba Johsai Karasuno\Karasuno's at match point again.\If he missed a serve, when that's\his strong suit, maybe he's panicking a bit.\Yeah. Even Oikawa...\And that nullified it. We each have one point now.\Iwaizumi-san, you're so cool!\I feel like I've lost to Iwa-chan. response:	When the hell did you ever beat me?!
context: Karasuno's at match point again.\If he missed a serve, when that's\his strong suit, maybe he's panicking a bit.\Yeah. Even Oikawa...\And that nullified it. We each have one point now.\Iwaizumi-san, you're so cool!\I feel like I've lost to Iwa-chan.\When the hell did you ever beat me?! response:	Usually, the weight of a point from a break or a side out would be heavier.
context: If he missed a serve, when that's\his strong suit, maybe he's panicking a bit.\Yeah. Even Oikawa...\And that nullified it. We each have one point now.\Iwaizumi-san, you're so cool!\I feel like I've lost to Iwa-chan.\When the hell did you ever beat me?!\Usually, the weight of a point from a break or a side out would be heavier. response:	Overall, I'm always a winner.
context: his strong suit, maybe he's panicking a bit.\Yeah. Even Oikawa...\And that nullified it. We each have one point now.\Iwaizumi-san, you're so cool!\I feel like I've lost to Iwa-chan.\When the hell did you ever beat me?!\Usually, the weight of a point from a break or a side out would be heavier.\Overall, I'm always a winner. response:	Ow!
context: Yeah. Even Oikawa...\And that nullified it. We each have one point now.\Iwaizumi-san, you're so cool!\I feel like I've lost to Iwa-chan.\When the hell did you ever beat me?!\Usually, the weight of a point from a break or a side out would be heavier.\Overall, I'm always a winner.\Ow! response:	However, right now, the important thing is,
context: And that nullified it. We each have one point now.\Iwaizumi-san, you're so cool!\I feel like I've lost to Iwa-chan.\When the hell did you ever beat me?!\Usually, the weight of a point from a break or a side out would be heavier.\Overall, I'm always a winner.\Ow!\However, right now, the important thing is, response:	All right. Let's get one.
context: Iwaizumi-san, you're so cool!\I feel like I've lost to Iwa-chan.\When the hell did you ever beat me?!\Usually, the weight of a point from a break or a side out would be heavier.\Overall, I'm always a winner.\Ow!\However, right now, the important thing is,\All right. Let's get one. response:	Right!
context: I feel like I've lost to Iwa-chan.\When the hell did you ever beat me?!\Usually, the weight of a point from a break or a side out would be heavier.\Overall, I'm always a winner.\Ow!\However, right now, the important thing is,\All right. Let's get one.\Right! response:	because of Iwaizumi's point and words,
context: When the hell did you ever beat me?!\Usually, the weight of a point from a break or a side out would be heavier.\Overall, I'm always a winner.\Ow!\However, right now, the important thing is,\All right. Let's get one.\Right!\because of Iwaizumi's point and words, response:	the team was just saved from crumbling.
context: Usually, the weight of a point from a break or a side out would be heavier.\Overall, I'm always a winner.\Ow!\However, right now, the important thing is,\All right. Let's get one.\Right!\because of Iwaizumi's point and words,\the team was just saved from crumbling. response:	Are you sure Seijoh's never been to nationals?
context: Overall, I'm always a winner.\Ow!\However, right now, the important thing is,\All right. Let's get one.\Right!\because of Iwaizumi's point and words,\the team was just saved from crumbling.\Are you sure Seijoh's never been to nationals? response:	They're not breaking at all.
context: Ow!\However, right now, the important thing is,\All right. Let's get one.\Right!\because of Iwaizumi's point and words,\the team was just saved from crumbling.\Are you sure Seijoh's never been to nationals?\They're not breaking at all. response:	But that doesn't change Seijoh's position at all.
context: However, right now, the important thing is,\All right. Let's get one.\Right!\because of Iwaizumi's point and words,\the team was just saved from crumbling.\Are you sure Seijoh's never been to nationals?\They're not breaking at all.\But that doesn't change Seijoh's position at all. response:	Aoba Johsai Karasuno
context: All right. Let's get one.\Right!\because of Iwaizumi's point and words,\the team was just saved from crumbling.\Are you sure Seijoh's never been to nationals?\They're not breaking at all.\But that doesn't change Seijoh's position at all.\Aoba Johsai Karasuno response:	Even if the physical fatigue they're feeling is the same,
context: Right!\because of Iwaizumi's point and words,\the team was just saved from crumbling.\Are you sure Seijoh's never been to nationals?\They're not breaking at all.\But that doesn't change Seijoh's position at all.\Aoba Johsai Karasuno\Even if the physical fatigue they're feeling is the same, response:	the mental fatigue that Seijoh is feeling is much greater!
context: because of Iwaizumi's point and words,\the team was just saved from crumbling.\Are you sure Seijoh's never been to nationals?\They're not breaking at all.\But that doesn't change Seijoh's position at all.\Aoba Johsai Karasuno\Even if the physical fatigue they're feeling is the same,\the mental fatigue that Seijoh is feeling is much greater! response:	Get through this, Karasuno!
context: the team was just saved from crumbling.\Are you sure Seijoh's never been to nationals?\They're not breaking at all.\But that doesn't change Seijoh's position at all.\Aoba Johsai Karasuno\Even if the physical fatigue they're feeling is the same,\the mental fatigue that Seijoh is feeling is much greater!\Get through this, Karasuno! response:	Rule the Court Aoba Johsai High School Volleyball Team
context: Are you sure Seijoh's never been to nationals?\They're not breaking at all.\But that doesn't change Seijoh's position at all.\Aoba Johsai Karasuno\Even if the physical fatigue they're feeling is the same,\the mental fatigue that Seijoh is feeling is much greater!\Get through this, Karasuno!\Rule the Court Aoba Johsai High School Volleyball Team response:	Aoba Johsai Karasuno
context: They're not breaking at all.\But that doesn't change Seijoh's position at all.\Aoba Johsai Karasuno\Even if the physical fatigue they're feeling is the same,\the mental fatigue that Seijoh is feeling is much greater!\Get through this, Karasuno!\Rule the Court Aoba Johsai High School Volleyball Team\Aoba Johsai Karasuno response:	Wow...
context: But that doesn't change Seijoh's position at all.\Aoba Johsai Karasuno\Even if the physical fatigue they're feeling is the same,\the mental fatigue that Seijoh is feeling is much greater!\Get through this, Karasuno!\Rule the Court Aoba Johsai High School Volleyball Team\Aoba Johsai Karasuno\Wow... response:	They went over 30 points!
context: Aoba Johsai Karasuno\Even if the physical fatigue they're feeling is the same,\the mental fatigue that Seijoh is feeling is much greater!\Get through this, Karasuno!\Rule the Court Aoba Johsai High School Volleyball Team\Aoba Johsai Karasuno\Wow...\They went over 30 points! response:	This is rough on both of them.
context: Even if the physical fatigue they're feeling is the same,\the mental fatigue that Seijoh is feeling is much greater!\Get through this, Karasuno!\Rule the Court Aoba Johsai High School Volleyball Team\Aoba Johsai Karasuno\Wow...\They went over 30 points!\This is rough on both of them. response:	But... I think Karasuno is just barely keeping it together.
context: the mental fatigue that Seijoh is feeling is much greater!\Get through this, Karasuno!\Rule the Court Aoba Johsai High School Volleyball Team\Aoba Johsai Karasuno\Wow...\They went over 30 points!\This is rough on both of them.\But... I think Karasuno is just barely keeping it together. response:	I think their attacks are becoming simple, too.
context: Get through this, Karasuno!\Rule the Court Aoba Johsai High School Volleyball Team\Aoba Johsai Karasuno\Wow...\They went over 30 points!\This is rough on both of them.\But... I think Karasuno is just barely keeping it together.\I think their attacks are becoming simple, too. response:	Seijoh should be worse off, mentally, but...
context: Rule the Court Aoba Johsai High School Volleyball Team\Aoba Johsai Karasuno\Wow...\They went over 30 points!\This is rough on both of them.\But... I think Karasuno is just barely keeping it together.\I think their attacks are becoming simple, too.\Seijoh should be worse off, mentally, but... response:	Oikawa-kun, nice serve!
context: Aoba Johsai Karasuno\Wow...\They went over 30 points!\This is rough on both of them.\But... I think Karasuno is just barely keeping it together.\I think their attacks are becoming simple, too.\Seijoh should be worse off, mentally, but...\Oikawa-kun, nice serve! response:	Gah! That was one full rotation!
context: Wow...\They went over 30 points!\This is rough on both of them.\But... I think Karasuno is just barely keeping it together.\I think their attacks are becoming simple, too.\Seijoh should be worse off, mentally, but...\Oikawa-kun, nice serve!\Gah! That was one full rotation! response:	Nice serve!
context: They went over 30 points!\This is rough on both of them.\But... I think Karasuno is just barely keeping it together.\I think their attacks are becoming simple, too.\Seijoh should be worse off, mentally, but...\Oikawa-kun, nice serve!\Gah! That was one full rotation!\Nice serve! response:	He'll probably have the missed serve on his mind,
context: This is rough on both of them.\But... I think Karasuno is just barely keeping it together.\I think their attacks are becoming simple, too.\Seijoh should be worse off, mentally, but...\Oikawa-kun, nice serve!\Gah! That was one full rotation!\Nice serve!\He'll probably have the missed serve on his mind, response:	One point!
context: But... I think Karasuno is just barely keeping it together.\I think their attacks are becoming simple, too.\Seijoh should be worse off, mentally, but...\Oikawa-kun, nice serve!\Gah! That was one full rotation!\Nice serve!\He'll probably have the missed serve on his mind,\One point! response:	so I wonder how Oikawa will do.
context: I think their attacks are becoming simple, too.\Seijoh should be worse off, mentally, but...\Oikawa-kun, nice serve!\Gah! That was one full rotation!\Nice serve!\He'll probably have the missed serve on his mind,\One point!\so I wonder how Oikawa will do. response:	Oikawa, if you're staring at Ushiwaka's face during the match, I'll punch you.
context: Seijoh should be worse off, mentally, but...\Oikawa-kun, nice serve!\Gah! That was one full rotation!\Nice serve!\He'll probably have the missed serve on his mind,\One point!\so I wonder how Oikawa will do.\Oikawa, if you're staring at Ushiwaka's face during the match, I'll punch you. response:	Someone who can't see the opponent standing right in front him,
context: Oikawa-kun, nice serve!\Gah! That was one full rotation!\Nice serve!\He'll probably have the missed serve on his mind,\One point!\so I wonder how Oikawa will do.\Oikawa, if you're staring at Ushiwaka's face during the match, I'll punch you.\Someone who can't see the opponent standing right in front him, response:	can't defeat the opponent that lies beyond!
context: Gah! That was one full rotation!\Nice serve!\He'll probably have the missed serve on his mind,\One point!\so I wonder how Oikawa will do.\Oikawa, if you're staring at Ushiwaka's face during the match, I'll punch you.\Someone who can't see the opponent standing right in front him,\can't defeat the opponent that lies beyond! response:	You're right.
context: Nice serve!\He'll probably have the missed serve on his mind,\One point!\so I wonder how Oikawa will do.\Oikawa, if you're staring at Ushiwaka's face during the match, I'll punch you.\Someone who can't see the opponent standing right in front him,\can't defeat the opponent that lies beyond!\You're right. response:	We'll turn this serve around!
context: He'll probably have the missed serve on his mind,\One point!\so I wonder how Oikawa will do.\Oikawa, if you're staring at Ushiwaka's face during the match, I'll punch you.\Someone who can't see the opponent standing right in front him,\can't defeat the opponent that lies beyond!\You're right.\We'll turn this serve around! response:	Right!
context: One point!\so I wonder how Oikawa will do.\Oikawa, if you're staring at Ushiwaka's face during the match, I'll punch you.\Someone who can't see the opponent standing right in front him,\can't defeat the opponent that lies beyond!\You're right.\We'll turn this serve around!\Right! response:	Spring High School Volleyball
context: so I wonder how Oikawa will do.\Oikawa, if you're staring at Ushiwaka's face during the match, I'll punch you.\Someone who can't see the opponent standing right in front him,\can't defeat the opponent that lies beyond!\You're right.\We'll turn this serve around!\Right!\Spring High School Volleyball response:	King
context: Oikawa, if you're staring at Ushiwaka's face during the match, I'll punch you.\Someone who can't see the opponent standing right in front him,\can't defeat the opponent that lies beyond!\You're right.\We'll turn this serve around!\Right!\Spring High School Volleyball\King response:	It's coming back! Chance ball!
context: Someone who can't see the opponent standing right in front him,\can't defeat the opponent that lies beyond!\You're right.\We'll turn this serve around!\Right!\Spring High School Volleyball\King\It's coming back! Chance ball! response:	Got it!
context: can't defeat the opponent that lies beyond!\You're right.\We'll turn this serve around!\Right!\Spring High School Volleyball\King\It's coming back! Chance ball!\Got it! response:	Despite the fact that he just messed up,
context: You're right.\We'll turn this serve around!\Right!\Spring High School Volleyball\King\It's coming back! Chance ball!\Got it!\Despite the fact that he just messed up, response:	that was probably the best serve he's done today.
context: We'll turn this serve around!\Right!\Spring High School Volleyball\King\It's coming back! Chance ball!\Got it!\Despite the fact that he just messed up,\that was probably the best serve he's done today. response:	Damn it! Sorry!
context: Right!\Spring High School Volleyball\King\It's coming back! Chance ball!\Got it!\Despite the fact that he just messed up,\that was probably the best serve he's done today.\Damn it! Sorry! response:	I'm glad you were even able to put that serve up!
context: Spring High School Volleyball\King\It's coming back! Chance ball!\Got it!\Despite the fact that he just messed up,\that was probably the best serve he's done today.\Damn it! Sorry!\I'm glad you were even able to put that serve up! response:	Calm down, calm down...
