context: I'm Natsu! response:	I'm Wendy!
context: But for this incident, I betrayed the Kingdom,\and I have no place to return to now.\I will become the great villain and be executed...\No, you will not!\You saved my life. I cannot allow you to die.\I must give you happiness.\And I say the exact same thing to you.\If either one of us takes responsibility and is killed, response:	nothing will come of it except unhappiness.
context: and I have no place to return to now.\I will become the great villain and be executed...\No, you will not!\You saved my life. I cannot allow you to die.\I must give you happiness.\And I say the exact same thing to you.\If either one of us takes responsibility and is killed,\nothing will come of it except unhappiness. response:	Then how do we calm the people?
context: I will become the great villain and be executed...\No, you will not!\You saved my life. I cannot allow you to die.\I must give you happiness.\And I say the exact same thing to you.\If either one of us takes responsibility and is killed,\nothing will come of it except unhappiness.\Then how do we calm the people? response:	Was it a foolish plan?
context: No, you will not!\You saved my life. I cannot allow you to die.\I must give you happiness.\And I say the exact same thing to you.\If either one of us takes responsibility and is killed,\nothing will come of it except unhappiness.\Then how do we calm the people?\Was it a foolish plan? response:	Panther Lily-sama, we have a big problem!
context: You saved my life. I cannot allow you to die.\I must give you happiness.\And I say the exact same thing to you.\If either one of us takes responsibility and is killed,\nothing will come of it except unhappiness.\Then how do we calm the people?\Was it a foolish plan?\Panther Lily-sama, we have a big problem! response:	We know. As you can see, the Anima...
context: I must give you happiness.\And I say the exact same thing to you.\If either one of us takes responsibility and is killed,\nothing will come of it except unhappiness.\Then how do we calm the people?\Was it a foolish plan?\Panther Lily-sama, we have a big problem!\We know. As you can see, the Anima... response:	You're trying to stop it, right?
context: And I say the exact same thing to you.\If either one of us takes responsibility and is killed,\nothing will come of it except unhappiness.\Then how do we calm the people?\Was it a foolish plan?\Panther Lily-sama, we have a big problem!\We know. As you can see, the Anima...\You're trying to stop it, right? response:	No, that's not it.
context: If either one of us takes responsibility and is killed,\nothing will come of it except unhappiness.\Then how do we calm the people?\Was it a foolish plan?\Panther Lily-sama, we have a big problem!\We know. As you can see, the Anima...\You're trying to stop it, right?\No, that's not it. response:	Anyway, there are people wreaking havoc in the castle city.
context: nothing will come of it except unhappiness.\Then how do we calm the people?\Was it a foolish plan?\Panther Lily-sama, we have a big problem!\We know. As you can see, the Anima...\You're trying to stop it, right?\No, that's not it.\Anyway, there are people wreaking havoc in the castle city. response:	Cities are being destroyed one after another...
context: Then how do we calm the people?\Was it a foolish plan?\Panther Lily-sama, we have a big problem!\We know. As you can see, the Anima...\You're trying to stop it, right?\No, that's not it.\Anyway, there are people wreaking havoc in the castle city.\Cities are being destroyed one after another... response:	The panic seems worse than even I predicted...
context: Was it a foolish plan?\Panther Lily-sama, we have a big problem!\We know. As you can see, the Anima...\You're trying to stop it, right?\No, that's not it.\Anyway, there are people wreaking havoc in the castle city.\Cities are being destroyed one after another...\The panic seems worse than even I predicted... response:	We have to do something soon, or...
context: Panther Lily-sama, we have a big problem!\We know. As you can see, the Anima...\You're trying to stop it, right?\No, that's not it.\Anyway, there are people wreaking havoc in the castle city.\Cities are being destroyed one after another...\The panic seems worse than even I predicted...\We have to do something soon, or... response:	First, we have to stop the rioting.
context: We know. As you can see, the Anima...\You're trying to stop it, right?\No, that's not it.\Anyway, there are people wreaking havoc in the castle city.\Cities are being destroyed one after another...\The panic seems worse than even I predicted...\We have to do something soon, or...\First, we have to stop the rioting. response:	Yes. We must strike before it spreads further.
context: You're trying to stop it, right?\No, that's not it.\Anyway, there are people wreaking havoc in the castle city.\Cities are being destroyed one after another...\The panic seems worse than even I predicted...\We have to do something soon, or...\First, we have to stop the rioting.\Yes. We must strike before it spreads further. response:	Um... And you are?
context: No, that's not it.\Anyway, there are people wreaking havoc in the castle city.\Cities are being destroyed one after another...\The panic seems worse than even I predicted...\We have to do something soon, or...\First, we have to stop the rioting.\Yes. We must strike before it spreads further.\Um... And you are? response:	How many people are rioting?
context: Anyway, there are people wreaking havoc in the castle city.\Cities are being destroyed one after another...\The panic seems worse than even I predicted...\We have to do something soon, or...\First, we have to stop the rioting.\Yes. We must strike before it spreads further.\Um... And you are?\How many people are rioting? response:	T-Three people!
context: Cities are being destroyed one after another...\The panic seems worse than even I predicted...\We have to do something soon, or...\First, we have to stop the rioting.\Yes. We must strike before it spreads further.\Um... And you are?\How many people are rioting?\T-Three people! response:	Just three people?
context: The panic seems worse than even I predicted...\We have to do something soon, or...\First, we have to stop the rioting.\Yes. We must strike before it spreads further.\Um... And you are?\How many people are rioting?\T-Three people!\Just three people? response:	Why haven't you stopped them?
context: We have to do something soon, or...\First, we have to stop the rioting.\Yes. We must strike before it spreads further.\Um... And you are?\How many people are rioting?\T-Three people!\Just three people?\Why haven't you stopped them? response:	W-Well, they're really strong, and...
context: First, we have to stop the rioting.\Yes. We must strike before it spreads further.\Um... And you are?\How many people are rioting?\T-Three people!\Just three people?\Why haven't you stopped them?\W-Well, they're really strong, and... response:	I am the Great Demon King Dragneel!
context: Yes. We must strike before it spreads further.\Um... And you are?\How many people are rioting?\T-Three people!\Just three people?\Why haven't you stopped them?\W-Well, they're really strong, and...\I am the Great Demon King Dragneel! response:	I've taken all this world's magic power!
context: Um... And you are?\How many people are rioting?\T-Three people!\Just three people?\Why haven't you stopped them?\W-Well, they're really strong, and...\I am the Great Demon King Dragneel!\I've taken all this world's magic power! response:	Natsu!
context: How many people are rioting?\T-Three people!\Just three people?\Why haven't you stopped them?\W-Well, they're really strong, and...\I am the Great Demon King Dragneel!\I've taken all this world's magic power!\Natsu! response:	S-Save us!
context: T-Three people!\Just three people?\Why haven't you stopped them?\W-Well, they're really strong, and...\I am the Great Demon King Dragneel!\I've taken all this world's magic power!\Natsu!\S-Save us! response:	What are you doing, me?
context: Just three people?\Why haven't you stopped them?\W-Well, they're really strong, and...\I am the Great Demon King Dragneel!\I've taken all this world's magic power!\Natsu!\S-Save us!\What are you doing, me? response:	Er...
context: Why haven't you stopped them?\W-Well, they're really strong, and...\I am the Great Demon King Dragneel!\I've taken all this world's magic power!\Natsu!\S-Save us!\What are you doing, me?\Er... response:	I'm the one... who beat your king!
context: W-Well, they're really strong, and...\I am the Great Demon King Dragneel!\I've taken all this world's magic power!\Natsu!\S-Save us!\What are you doing, me?\Er...\I'm the one... who beat your king! response:	Maybe I'll let him live just as a special favor!
context: I am the Great Demon King Dragneel!\I've taken all this world's magic power!\Natsu!\S-Save us!\What are you doing, me?\Er...\I'm the one... who beat your king!\Maybe I'll let him live just as a special favor! response:	Your Highness!
context: I've taken all this world's magic power!\Natsu!\S-Save us!\What are you doing, me?\Er...\I'm the one... who beat your king!\Maybe I'll let him live just as a special favor!\Your Highness! response:	The King...
context: Natsu!\S-Save us!\What are you doing, me?\Er...\I'm the one... who beat your king!\Maybe I'll let him live just as a special favor!\Your Highness!\The King... response:	How terrible!
context: S-Save us!\What are you doing, me?\Er...\I'm the one... who beat your king!\Maybe I'll let him live just as a special favor!\Your Highness!\The King...\How terrible! response:	Redfox! Marvel!
context: What are you doing, me?\Er...\I'm the one... who beat your king!\Maybe I'll let him live just as a special favor!\Your Highness!\The King...\How terrible!\Redfox! Marvel! response:	Destroy the city, my loyal servants!
context: Er...\I'm the one... who beat your king!\Maybe I'll let him live just as a special favor!\Your Highness!\The King...\How terrible!\Redfox! Marvel!\Destroy the city, my loyal servants! response:	Who the hell's this guy?
context: I'm the one... who beat your king!\Maybe I'll let him live just as a special favor!\Your Highness!\The King...\How terrible!\Redfox! Marvel!\Destroy the city, my loyal servants!\Who the hell's this guy? response:	His arm turned into a sword!
context: Maybe I'll let him live just as a special favor!\Your Highness!\The King...\How terrible!\Redfox! Marvel!\Destroy the city, my loyal servants!\Who the hell's this guy?\His arm turned into a sword! response:	The city!
context: Your Highness!\The King...\How terrible!\Redfox! Marvel!\Destroy the city, my loyal servants!\Who the hell's this guy?\His arm turned into a sword!\The city! response:	That's a great villain who is trying to destroy this city!
context: The King...\How terrible!\Redfox! Marvel!\Destroy the city, my loyal servants!\Who the hell's this guy?\His arm turned into a sword!\The city!\That's a great villain who is trying to destroy this city! response:	They are truly a group bent on doing evil!
context: How terrible!\Redfox! Marvel!\Destroy the city, my loyal servants!\Who the hell's this guy?\His arm turned into a sword!\The city!\That's a great villain who is trying to destroy this city!\They are truly a group bent on doing evil! response:	I'm sorry...
context: Redfox! Marvel!\Destroy the city, my loyal servants!\Who the hell's this guy?\His arm turned into a sword!\The city!\That's a great villain who is trying to destroy this city!\They are truly a group bent on doing evil!\I'm sorry... response:	Just look! This is all their doing!
context: Destroy the city, my loyal servants!\Who the hell's this guy?\His arm turned into a sword!\The city!\That's a great villain who is trying to destroy this city!\They are truly a group bent on doing evil!\I'm sorry...\Just look! This is all their doing! response:	What are you doing?
context: Who the hell's this guy?\His arm turned into a sword!\The city!\That's a great villain who is trying to destroy this city!\They are truly a group bent on doing evil!\I'm sorry...\Just look! This is all their doing!\What are you doing? response:	Stop this!
context: His arm turned into a sword!\The city!\That's a great villain who is trying to destroy this city!\They are truly a group bent on doing evil!\I'm sorry...\Just look! This is all their doing!\What are you doing?\Stop this! response:	Destroy more of the city!
context: The city!\That's a great villain who is trying to destroy this city!\They are truly a group bent on doing evil!\I'm sorry...\Just look! This is all their doing!\What are you doing?\Stop this!\Destroy more of the city! response:	My servants!
context: That's a great villain who is trying to destroy this city!\They are truly a group bent on doing evil!\I'm sorry...\Just look! This is all their doing!\What are you doing?\Stop this!\Destroy more of the city!\My servants! response:	Shut up with the servant thing already, you jerk!
context: They are truly a group bent on doing evil!\I'm sorry...\Just look! This is all their doing!\What are you doing?\Stop this!\Destroy more of the city!\My servants!\Shut up with the servant thing already, you jerk! response:	Whatever, just do it!
context: I'm sorry...\Just look! This is all their doing!\What are you doing?\Stop this!\Destroy more of the city!\My servants!\Shut up with the servant thing already, you jerk!\Whatever, just do it! response:	He's talking like he's hot stuff...
context: Just look! This is all their doing!\What are you doing?\Stop this!\Destroy more of the city!\My servants!\Shut up with the servant thing already, you jerk!\Whatever, just do it!\He's talking like he's hot stuff... response:	They're... Don't tell me...
context: What are you doing?\Stop this!\Destroy more of the city!\My servants!\Shut up with the servant thing already, you jerk!\Whatever, just do it!\He's talking like he's hot stuff...\They're... Don't tell me... response:	It's them! They're the ones that stole the magic power from Edolas!
context: Stop this!\Destroy more of the city!\My servants!\Shut up with the servant thing already, you jerk!\Whatever, just do it!\He's talking like he's hot stuff...\They're... Don't tell me...\It's them! They're the ones that stole the magic power from Edolas! response:	The Great Demon King Dragneel!
context: Destroy more of the city!\My servants!\Shut up with the servant thing already, you jerk!\Whatever, just do it!\He's talking like he's hot stuff...\They're... Don't tell me...\It's them! They're the ones that stole the magic power from Edolas!\The Great Demon King Dragneel! response:	That's right!
context: My servants!\Shut up with the servant thing already, you jerk!\Whatever, just do it!\He's talking like he's hot stuff...\They're... Don't tell me...\It's them! They're the ones that stole the magic power from Edolas!\The Great Demon King Dragneel!\That's right! response:	He is the great villain who has stolen away our happiness!
context: Shut up with the servant thing already, you jerk!\Whatever, just do it!\He's talking like he's hot stuff...\They're... Don't tell me...\It's them! They're the ones that stole the magic power from Edolas!\The Great Demon King Dragneel!\That's right!\He is the great villain who has stolen away our happiness! response:	How dare you! Give us back our magic power!
context: Whatever, just do it!\He's talking like he's hot stuff...\They're... Don't tell me...\It's them! They're the ones that stole the magic power from Edolas!\The Great Demon King Dragneel!\That's right!\He is the great villain who has stolen away our happiness!\How dare you! Give us back our magic power! response:	I don't like the sound of that...
context: He's talking like he's hot stuff...\They're... Don't tell me...\It's them! They're the ones that stole the magic power from Edolas!\The Great Demon King Dragneel!\That's right!\He is the great villain who has stolen away our happiness!\How dare you! Give us back our magic power!\I don't like the sound of that... response:	Every person who resists me is...
context: They're... Don't tell me...\It's them! They're the ones that stole the magic power from Edolas!\The Great Demon King Dragneel!\That's right!\He is the great villain who has stolen away our happiness!\How dare you! Give us back our magic power!\I don't like the sound of that...\Every person who resists me is... response:	What's that?
context: It's them! They're the ones that stole the magic power from Edolas!\The Great Demon King Dragneel!\That's right!\He is the great villain who has stolen away our happiness!\How dare you! Give us back our magic power!\I don't like the sound of that...\Every person who resists me is...\What's that? response:	Fire's coming from his mouth!
