context: Gonna go there? response:	Class 2-F
context: Anyway, I heard the news.\You were invited on a date, and you don't want to go?\I wasn't invited.\Hayato invited you. You should go!\Um, I don't think so.\Aww... Hayato never bows his head to ask favors, you know.\He's got more pride than you'd think.\I can't help wondering why he went that far to try to bring you along. response:	Just go!
context: You were invited on a date, and you don't want to go?\I wasn't invited.\Hayato invited you. You should go!\Um, I don't think so.\Aww... Hayato never bows his head to ask favors, you know.\He's got more pride than you'd think.\I can't help wondering why he went that far to try to bring you along.\Just go! response:	It'll be romantic to go on a date with your old love!
context: I wasn't invited.\Hayato invited you. You should go!\Um, I don't think so.\Aww... Hayato never bows his head to ask favors, you know.\He's got more pride than you'd think.\I can't help wondering why he went that far to try to bring you along.\Just go!\It'll be romantic to go on a date with your old love! response:	I wouldn't call that love.
context: Hayato invited you. You should go!\Um, I don't think so.\Aww... Hayato never bows his head to ask favors, you know.\He's got more pride than you'd think.\I can't help wondering why he went that far to try to bring you along.\Just go!\It'll be romantic to go on a date with your old love!\I wouldn't call that love. response:	What wouldn't you call love?
context: Um, I don't think so.\Aww... Hayato never bows his head to ask favors, you know.\He's got more pride than you'd think.\I can't help wondering why he went that far to try to bring you along.\Just go!\It'll be romantic to go on a date with your old love!\I wouldn't call that love.\What wouldn't you call love? response:	I was just pushing my own desires onto her.
context: Aww... Hayato never bows his head to ask favors, you know.\He's got more pride than you'd think.\I can't help wondering why he went that far to try to bring you along.\Just go!\It'll be romantic to go on a date with your old love!\I wouldn't call that love.\What wouldn't you call love?\I was just pushing my own desires onto her. response:	It was a mistake. I couldn't call it the real deal.
context: He's got more pride than you'd think.\I can't help wondering why he went that far to try to bring you along.\Just go!\It'll be romantic to go on a date with your old love!\I wouldn't call that love.\What wouldn't you call love?\I was just pushing my own desires onto her.\It was a mistake. I couldn't call it the real deal. response:	You're like some kind of logic monster, you know that?
context: I can't help wondering why he went that far to try to bring you along.\Just go!\It'll be romantic to go on a date with your old love!\I wouldn't call that love.\What wouldn't you call love?\I was just pushing my own desires onto her.\It was a mistake. I couldn't call it the real deal.\You're like some kind of logic monster, you know that? response:	What's that supposed to mean? It's nothing like that.
context: Just go!\It'll be romantic to go on a date with your old love!\I wouldn't call that love.\What wouldn't you call love?\I was just pushing my own desires onto her.\It was a mistake. I couldn't call it the real deal.\You're like some kind of logic monster, you know that?\What's that supposed to mean? It's nothing like that. response:	Okay... Then you're a self-consciousness monster.
context: It'll be romantic to go on a date with your old love!\I wouldn't call that love.\What wouldn't you call love?\I was just pushing my own desires onto her.\It was a mistake. I couldn't call it the real deal.\You're like some kind of logic monster, you know that?\What's that supposed to mean? It's nothing like that.\Okay... Then you're a self-consciousness monster. response:	Anyway! You're going on the date!
context: I wouldn't call that love.\What wouldn't you call love?\I was just pushing my own desires onto her.\It was a mistake. I couldn't call it the real deal.\You're like some kind of logic monster, you know that?\What's that supposed to mean? It's nothing like that.\Okay... Then you're a self-consciousness monster.\Anyway! You're going on the date! response:	If you don't, I'll come to your house and drag you out!
context: What wouldn't you call love?\I was just pushing my own desires onto her.\It was a mistake. I couldn't call it the real deal.\You're like some kind of logic monster, you know that?\What's that supposed to mean? It's nothing like that.\Okay... Then you're a self-consciousness monster.\Anyway! You're going on the date!\If you don't, I'll come to your house and drag you out! response:	Sorry to have you come along.
context: I was just pushing my own desires onto her.\It was a mistake. I couldn't call it the real deal.\You're like some kind of logic monster, you know that?\What's that supposed to mean? It's nothing like that.\Okay... Then you're a self-consciousness monster.\Anyway! You're going on the date!\If you don't, I'll come to your house and drag you out!\Sorry to have you come along. response:	I only came because Yukinoshita's sister scares me.
context: It was a mistake. I couldn't call it the real deal.\You're like some kind of logic monster, you know that?\What's that supposed to mean? It's nothing like that.\Okay... Then you're a self-consciousness monster.\Anyway! You're going on the date!\If you don't, I'll come to your house and drag you out!\Sorry to have you come along.\I only came because Yukinoshita's sister scares me. response:	Thank her, not me.
context: You're like some kind of logic monster, you know that?\What's that supposed to mean? It's nothing like that.\Okay... Then you're a self-consciousness monster.\Anyway! You're going on the date!\If you don't, I'll come to your house and drag you out!\Sorry to have you come along.\I only came because Yukinoshita's sister scares me.\Thank her, not me. response:	And why'd you move this to a weekday just to get me to...
context: What's that supposed to mean? It's nothing like that.\Okay... Then you're a self-consciousness monster.\Anyway! You're going on the date!\If you don't, I'll come to your house and drag you out!\Sorry to have you come along.\I only came because Yukinoshita's sister scares me.\Thank her, not me.\And why'd you move this to a weekday just to get me to... response:	Oh, isn't that them?
context: Okay... Then you're a self-consciousness monster.\Anyway! You're going on the date!\If you don't, I'll come to your house and drag you out!\Sorry to have you come along.\I only came because Yukinoshita's sister scares me.\Thank her, not me.\And why'd you move this to a weekday just to get me to...\Oh, isn't that them? response:	Sorry we're late!
context: Anyway! You're going on the date!\If you don't, I'll come to your house and drag you out!\Sorry to have you come along.\I only came because Yukinoshita's sister scares me.\Thank her, not me.\And why'd you move this to a weekday just to get me to...\Oh, isn't that them?\Sorry we're late! response:	Ready to go?
context: If you don't, I'll come to your house and drag you out!\Sorry to have you come along.\I only came because Yukinoshita's sister scares me.\Thank her, not me.\And why'd you move this to a weekday just to get me to...\Oh, isn't that them?\Sorry we're late!\Ready to go? response:	Were we going to a movie first?
context: Sorry to have you come along.\I only came because Yukinoshita's sister scares me.\Thank her, not me.\And why'd you move this to a weekday just to get me to...\Oh, isn't that them?\Sorry we're late!\Ready to go?\Were we going to a movie first? response:	Yeah! I want to see a movie!
context: I only came because Yukinoshita's sister scares me.\Thank her, not me.\And why'd you move this to a weekday just to get me to...\Oh, isn't that them?\Sorry we're late!\Ready to go?\Were we going to a movie first?\Yeah! I want to see a movie! response:	Let's go see one.
context: Thank her, not me.\And why'd you move this to a weekday just to get me to...\Oh, isn't that them?\Sorry we're late!\Ready to go?\Were we going to a movie first?\Yeah! I want to see a movie!\Let's go see one. response:	What genre should we go for?
context: And why'd you move this to a weekday just to get me to...\Oh, isn't that them?\Sorry we're late!\Ready to go?\Were we going to a movie first?\Yeah! I want to see a movie!\Let's go see one.\What genre should we go for? response:	Hmm... Romance?
context: Oh, isn't that them?\Sorry we're late!\Ready to go?\Were we going to a movie first?\Yeah! I want to see a movie!\Let's go see one.\What genre should we go for?\Hmm... Romance? response:	Yeah, totally!
context: Sorry we're late!\Ready to go?\Were we going to a movie first?\Yeah! I want to see a movie!\Let's go see one.\What genre should we go for?\Hmm... Romance?\Yeah, totally! response:	I can't believe I'm seeing a movie with you.
context: Ready to go?\Were we going to a movie first?\Yeah! I want to see a movie!\Let's go see one.\What genre should we go for?\Hmm... Romance?\Yeah, totally!\I can't believe I'm seeing a movie with you. response:	If I told the girls from middle school about this, they'd freak!
context: Were we going to a movie first?\Yeah! I want to see a movie!\Let's go see one.\What genre should we go for?\Hmm... Romance?\Yeah, totally!\I can't believe I'm seeing a movie with you.\If I told the girls from middle school about this, they'd freak! response:	I'm sure.
context: Yeah! I want to see a movie!\Let's go see one.\What genre should we go for?\Hmm... Romance?\Yeah, totally!\I can't believe I'm seeing a movie with you.\If I told the girls from middle school about this, they'd freak!\I'm sure. response:	Totally!
context: Let's go see one.\What genre should we go for?\Hmm... Romance?\Yeah, totally!\I can't believe I'm seeing a movie with you.\If I told the girls from middle school about this, they'd freak!\I'm sure.\Totally! response:	Looking back, I feel like this is how it was in middle school, too.
context: What genre should we go for?\Hmm... Romance?\Yeah, totally!\I can't believe I'm seeing a movie with you.\If I told the girls from middle school about this, they'd freak!\I'm sure.\Totally!\Looking back, I feel like this is how it was in middle school, too. response:	We never once got any closer to each other.
context: Hmm... Romance?\Yeah, totally!\I can't believe I'm seeing a movie with you.\If I told the girls from middle school about this, they'd freak!\I'm sure.\Totally!\Looking back, I feel like this is how it was in middle school, too.\We never once got any closer to each other. response:	Orimoto Kaori just acts this way toward people she has no interest in, too.
context: Yeah, totally!\I can't believe I'm seeing a movie with you.\If I told the girls from middle school about this, they'd freak!\I'm sure.\Totally!\Looking back, I feel like this is how it was in middle school, too.\We never once got any closer to each other.\Orimoto Kaori just acts this way toward people she has no interest in, too. response:	That's all it is.
context: I can't believe I'm seeing a movie with you.\If I told the girls from middle school about this, they'd freak!\I'm sure.\Totally!\Looking back, I feel like this is how it was in middle school, too.\We never once got any closer to each other.\Orimoto Kaori just acts this way toward people she has no interest in, too.\That's all it is. response:	Now, I finally feel like I managed to end something that never started.
context: If I told the girls from middle school about this, they'd freak!\I'm sure.\Totally!\Looking back, I feel like this is how it was in middle school, too.\We never once got any closer to each other.\Orimoto Kaori just acts this way toward people she has no interest in, too.\That's all it is.\Now, I finally feel like I managed to end something that never started. response:	Anyway, that explosion was really huge, huh?
context: I'm sure.\Totally!\Looking back, I feel like this is how it was in middle school, too.\We never once got any closer to each other.\Orimoto Kaori just acts this way toward people she has no interest in, too.\That's all it is.\Now, I finally feel like I managed to end something that never started.\Anyway, that explosion was really huge, huh? response:	Hikigaya jumped out of his skin!
context: Totally!\Looking back, I feel like this is how it was in middle school, too.\We never once got any closer to each other.\Orimoto Kaori just acts this way toward people she has no interest in, too.\That's all it is.\Now, I finally feel like I managed to end something that never started.\Anyway, that explosion was really huge, huh?\Hikigaya jumped out of his skin! response:	The way he was moving was so creepy, it was hilarious!
context: Looking back, I feel like this is how it was in middle school, too.\We never once got any closer to each other.\Orimoto Kaori just acts this way toward people she has no interest in, too.\That's all it is.\Now, I finally feel like I managed to end something that never started.\Anyway, that explosion was really huge, huh?\Hikigaya jumped out of his skin!\The way he was moving was so creepy, it was hilarious! response:	Well, it was louder than I expected...
context: We never once got any closer to each other.\Orimoto Kaori just acts this way toward people she has no interest in, too.\That's all it is.\Now, I finally feel like I managed to end something that never started.\Anyway, that explosion was really huge, huh?\Hikigaya jumped out of his skin!\The way he was moving was so creepy, it was hilarious!\Well, it was louder than I expected... response:	Yeah, it startled me, too.
context: Orimoto Kaori just acts this way toward people she has no interest in, too.\That's all it is.\Now, I finally feel like I managed to end something that never started.\Anyway, that explosion was really huge, huh?\Hikigaya jumped out of his skin!\The way he was moving was so creepy, it was hilarious!\Well, it was louder than I expected...\Yeah, it startled me, too. response:	Buy Hayama-kun, you were totally calm, weren't you?
context: That's all it is.\Now, I finally feel like I managed to end something that never started.\Anyway, that explosion was really huge, huh?\Hikigaya jumped out of his skin!\The way he was moving was so creepy, it was hilarious!\Well, it was louder than I expected...\Yeah, it startled me, too.\Buy Hayama-kun, you were totally calm, weren't you? response:	Yeah, I thought the same thing!
context: Now, I finally feel like I managed to end something that never started.\Anyway, that explosion was really huge, huh?\Hikigaya jumped out of his skin!\The way he was moving was so creepy, it was hilarious!\Well, it was louder than I expected...\Yeah, it startled me, too.\Buy Hayama-kun, you were totally calm, weren't you?\Yeah, I thought the same thing! response:	I jumped a little, but Hayama-kun didn't even flinch!
context: Anyway, that explosion was really huge, huh?\Hikigaya jumped out of his skin!\The way he was moving was so creepy, it was hilarious!\Well, it was louder than I expected...\Yeah, it startled me, too.\Buy Hayama-kun, you were totally calm, weren't you?\Yeah, I thought the same thing!\I jumped a little, but Hayama-kun didn't even flinch! response:	But...
context: Hikigaya jumped out of his skin!\The way he was moving was so creepy, it was hilarious!\Well, it was louder than I expected...\Yeah, it startled me, too.\Buy Hayama-kun, you were totally calm, weren't you?\Yeah, I thought the same thing!\I jumped a little, but Hayama-kun didn't even flinch!\But... response:	The way Hikigaya...
context: The way he was moving was so creepy, it was hilarious!\Well, it was louder than I expected...\Yeah, it startled me, too.\Buy Hayama-kun, you were totally calm, weren't you?\Yeah, I thought the same thing!\I jumped a little, but Hayama-kun didn't even flinch!\But...\The way Hikigaya... response:	Y-Yeah...
context: Well, it was louder than I expected...\Yeah, it startled me, too.\Buy Hayama-kun, you were totally calm, weren't you?\Yeah, I thought the same thing!\I jumped a little, but Hayama-kun didn't even flinch!\But...\The way Hikigaya...\Y-Yeah... response:	Well, I hope my antics amused you.
context: Yeah, it startled me, too.\Buy Hayama-kun, you were totally calm, weren't you?\Yeah, I thought the same thing!\I jumped a little, but Hayama-kun didn't even flinch!\But...\The way Hikigaya...\Y-Yeah...\Well, I hope my antics amused you. response:	We should hurry, or we won't have time to hit the stores.
context: Buy Hayama-kun, you were totally calm, weren't you?\Yeah, I thought the same thing!\I jumped a little, but Hayama-kun didn't even flinch!\But...\The way Hikigaya...\Y-Yeah...\Well, I hope my antics amused you.\We should hurry, or we won't have time to hit the stores. response:	Ebina, what's up?
context: Yeah, I thought the same thing!\I jumped a little, but Hayama-kun didn't even flinch!\But...\The way Hikigaya...\Y-Yeah...\Well, I hope my antics amused you.\We should hurry, or we won't have time to hit the stores.\Ebina, what's up? response:	Hayat
context: I jumped a little, but Hayama-kun didn't even flinch!\But...\The way Hikigaya...\Y-Yeah...\Well, I hope my antics amused you.\We should hurry, or we won't have time to hit the stores.\Ebina, what's up?\Hayat response:	Panties! Pink! Unexpected!
context: But...\The way Hikigaya...\Y-Yeah...\Well, I hope my antics amused you.\We should hurry, or we won't have time to hit the stores.\Ebina, what's up?\Hayat\Panties! Pink! Unexpected! response:	Hey, Yumiko, are you okay?
context: The way Hikigaya...\Y-Yeah...\Well, I hope my antics amused you.\We should hurry, or we won't have time to hit the stores.\Ebina, what's up?\Hayat\Panties! Pink! Unexpected!\Hey, Yumiko, are you okay? response:	Haya...
context: Y-Yeah...\Well, I hope my antics amused you.\We should hurry, or we won't have time to hit the stores.\Ebina, what's up?\Hayat\Panties! Pink! Unexpected!\Hey, Yumiko, are you okay?\Haya... response:	We should be going.
context: Well, I hope my antics amused you.\We should hurry, or we won't have time to hit the stores.\Ebina, what's up?\Hayat\Panties! Pink! Unexpected!\Hey, Yumiko, are you okay?\Haya...\We should be going. response:	Huh?
context: We should hurry, or we won't have time to hit the stores.\Ebina, what's up?\Hayat\Panties! Pink! Unexpected!\Hey, Yumiko, are you okay?\Haya...\We should be going.\Huh? response:	I want to check out the snowboarding gear.
context: Ebina, what's up?\Hayat\Panties! Pink! Unexpected!\Hey, Yumiko, are you okay?\Haya...\We should be going.\Huh?\I want to check out the snowboarding gear. response:	Hey, is that Hayato-kun?
context: Hayat\Panties! Pink! Unexpected!\Hey, Yumiko, are you okay?\Haya...\We should be going.\Huh?\I want to check out the snowboarding gear.\Hey, is that Hayato-kun? response:	Dude, Hayato-kun!
context: Panties! Pink! Unexpected!\Hey, Yumiko, are you okay?\Haya...\We should be going.\Huh?\I want to check out the snowboarding gear.\Hey, is that Hayato-kun?\Dude, Hayato-kun! response:	What is it?
context: Hey, Yumiko, are you okay?\Haya...\We should be going.\Huh?\I want to check out the snowboarding gear.\Hey, is that Hayato-kun?\Dude, Hayato-kun!\What is it? response:	Listen to this! Irohas wanted a new tracksuit,
context: Haya...\We should be going.\Huh?\I want to check out the snowboarding gear.\Hey, is that Hayato-kun?\Dude, Hayato-kun!\What is it?\Listen to this! Irohas wanted a new tracksuit, response:	so we came to buy one, but all we've seen is protein stuff!
context: We should be going.\Huh?\I want to check out the snowboarding gear.\Hey, is that Hayato-kun?\Dude, Hayato-kun!\What is it?\Listen to this! Irohas wanted a new tracksuit,\so we came to buy one, but all we've seen is protein stuff! response:	Uh... Sorry!
context: Huh?\I want to check out the snowboarding gear.\Hey, is that Hayato-kun?\Dude, Hayato-kun!\What is it?\Listen to this! Irohas wanted a new tracksuit,\so we came to buy one, but all we've seen is protein stuff!\Uh... Sorry! response:	Did I interrupt? My bad! We'll leave!
context: I want to check out the snowboarding gear.\Hey, is that Hayato-kun?\Dude, Hayato-kun!\What is it?\Listen to this! Irohas wanted a new tracksuit,\so we came to buy one, but all we've seen is protein stuff!\Uh... Sorry!\Did I interrupt? My bad! We'll leave! response:	Right, Irohas?
context: Hey, is that Hayato-kun?\Dude, Hayato-kun!\What is it?\Listen to this! Irohas wanted a new tracksuit,\so we came to buy one, but all we've seen is protein stuff!\Uh... Sorry!\Did I interrupt? My bad! We'll leave!\Right, Irohas? response:	Senpai!
context: Dude, Hayato-kun!\What is it?\Listen to this! Irohas wanted a new tracksuit,\so we came to buy one, but all we've seen is protein stuff!\Uh... Sorry!\Did I interrupt? My bad! We'll leave!\Right, Irohas?\Senpai! response:	You're fast! Irohas, you're fast! Scary!
context: What is it?\Listen to this! Irohas wanted a new tracksuit,\so we came to buy one, but all we've seen is protein stuff!\Uh... Sorry!\Did I interrupt? My bad! We'll leave!\Right, Irohas?\Senpai!\You're fast! Irohas, you're fast! Scary! response:	What brings you here, Senpai?
context: Listen to this! Irohas wanted a new tracksuit,\so we came to buy one, but all we've seen is protein stuff!\Uh... Sorry!\Did I interrupt? My bad! We'll leave!\Right, Irohas?\Senpai!\You're fast! Irohas, you're fast! Scary!\What brings you here, Senpai? response:	You've got some nerve, playing around with girls instead of working.
context: so we came to buy one, but all we've seen is protein stuff!\Uh... Sorry!\Did I interrupt? My bad! We'll leave!\Right, Irohas?\Senpai!\You're fast! Irohas, you're fast! Scary!\What brings you here, Senpai?\You've got some nerve, playing around with girls instead of working. response:	Oh! Were you out to have some fun?
context: Uh... Sorry!\Did I interrupt? My bad! We'll leave!\Right, Irohas?\Senpai!\You're fast! Irohas, you're fast! Scary!\What brings you here, Senpai?\You've got some nerve, playing around with girls instead of working.\Oh! Were you out to have some fun? response:	Sounds like that's what she really means...
context: Did I interrupt? My bad! We'll leave!\Right, Irohas?\Senpai!\You're fast! Irohas, you're fast! Scary!\What brings you here, Senpai?\You've got some nerve, playing around with girls instead of working.\Oh! Were you out to have some fun?\Sounds like that's what she really means... response:	No, I wouldn't say fun
context: Right, Irohas?\Senpai!\You're fast! Irohas, you're fast! Scary!\What brings you here, Senpai?\You've got some nerve, playing around with girls instead of working.\Oh! Were you out to have some fun?\Sounds like that's what she really means...\No, I wouldn't say fun response:	Who's the girl, anyway?
context: Senpai!\You're fast! Irohas, you're fast! Scary!\What brings you here, Senpai?\You've got some nerve, playing around with girls instead of working.\Oh! Were you out to have some fun?\Sounds like that's what she really means...\No, I wouldn't say fun\Who's the girl, anyway? response:	Oh! Is she your girlfriend? Wow.
context: You're fast! Irohas, you're fast! Scary!\What brings you here, Senpai?\You've got some nerve, playing around with girls instead of working.\Oh! Were you out to have some fun?\Sounds like that's what she really means...\No, I wouldn't say fun\Who's the girl, anyway?\Oh! Is she your girlfriend? Wow. response:	But there are two of them.
context: What brings you here, Senpai?\You've got some nerve, playing around with girls instead of working.\Oh! Were you out to have some fun?\Sounds like that's what she really means...\No, I wouldn't say fun\Who's the girl, anyway?\Oh! Is she your girlfriend? Wow.\But there are two of them. response:	What's your relationship with them?
context: You've got some nerve, playing around with girls instead of working.\Oh! Were you out to have some fun?\Sounds like that's what she really means...\No, I wouldn't say fun\Who's the girl, anyway?\Oh! Is she your girlfriend? Wow.\But there are two of them.\What's your relationship with them? response:	She's scary! Irohas is scary!
context: Oh! Were you out to have some fun?\Sounds like that's what she really means...\No, I wouldn't say fun\Who's the girl, anyway?\Oh! Is she your girlfriend? Wow.\But there are two of them.\What's your relationship with them?\She's scary! Irohas is scary! response:	How can she sound so cold when she's smiling like that?
context: Sounds like that's what she really means...\No, I wouldn't say fun\Who's the girl, anyway?\Oh! Is she your girlfriend? Wow.\But there are two of them.\What's your relationship with them?\She's scary! Irohas is scary!\How can she sound so cold when she's smiling like that? response:	Sorry, Iroha.
context: No, I wouldn't say fun\Who's the girl, anyway?\Oh! Is she your girlfriend? Wow.\But there are two of them.\What's your relationship with them?\She's scary! Irohas is scary!\How can she sound so cold when she's smiling like that?\Sorry, Iroha. response:	I dragged him out with me.
context: Who's the girl, anyway?\Oh! Is she your girlfriend? Wow.\But there are two of them.\What's your relationship with them?\She's scary! Irohas is scary!\How can she sound so cold when she's smiling like that?\Sorry, Iroha.\I dragged him out with me. response:	Oh, so that's it!
context: Oh! Is she your girlfriend? Wow.\But there are two of them.\What's your relationship with them?\She's scary! Irohas is scary!\How can she sound so cold when she's smiling like that?\Sorry, Iroha.\I dragged him out with me.\Oh, so that's it! response:	Hey, I was just killing time here, too.
context: But there are two of them.\What's your relationship with them?\She's scary! Irohas is scary!\How can she sound so cold when she's smiling like that?\Sorry, Iroha.\I dragged him out with me.\Oh, so that's it!\Hey, I was just killing time here, too. response:	Why don't we hang out together?
context: What's your relationship with them?\She's scary! Irohas is scary!\How can she sound so cold when she's smiling like that?\Sorry, Iroha.\I dragged him out with me.\Oh, so that's it!\Hey, I was just killing time here, too.\Why don't we hang out together? response:	C'mon, Irohas, let's get going, too, okay?
context: She's scary! Irohas is scary!\How can she sound so cold when she's smiling like that?\Sorry, Iroha.\I dragged him out with me.\Oh, so that's it!\Hey, I was just killing time here, too.\Why don't we hang out together?\C'mon, Irohas, let's get going, too, okay? response:	All right! Irohas, let's go to Riding Sport!
context: How can she sound so cold when she's smiling like that?\Sorry, Iroha.\I dragged him out with me.\Oh, so that's it!\Hey, I was just killing time here, too.\Why don't we hang out together?\C'mon, Irohas, let's get going, too, okay?\All right! Irohas, let's go to Riding Sport! response:	I'll pass. They have mostly baseball stuff, anyway.
