context: Say, Nana Komatsu. Remember close to our high school graduation, response:	we stood beside each other and looked onto the school grounds
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	Good to see you. How've you been?
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\Good to see you. How've you been? response:	In any case this place always has no customers.
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\Good to see you. How've you been?\In any case this place always has no customers. response:	No, they'll come. I'm sure they'll come tonight.
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\Good to see you. How've you been?\In any case this place always has no customers.\No, they'll come. I'm sure they'll come tonight. response:	Shin and Nobu and Yasu. Or maybe the members of Trapnest.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\Good to see you. How've you been?\In any case this place always has no customers.\No, they'll come. I'm sure they'll come tonight.\Shin and Nobu and Yasu. Or maybe the members of Trapnest. response:	What's this? Did the Demon Lord tell you?
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\Good to see you. How've you been?\In any case this place always has no customers.\No, they'll come. I'm sure they'll come tonight.\Shin and Nobu and Yasu. Or maybe the members of Trapnest.\What's this? Did the Demon Lord tell you? response:	Oh, a customer really came.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\Good to see you. How've you been?\In any case this place always has no customers.\No, they'll come. I'm sure they'll come tonight.\Shin and Nobu and Yasu. Or maybe the members of Trapnest.\What's this? Did the Demon Lord tell you?\Oh, a customer really came. response:	Junko. Congratulations on the grand opening!
context: I wanna need your love\Good to see you. How've you been?\In any case this place always has no customers.\No, they'll come. I'm sure they'll come tonight.\Shin and Nobu and Yasu. Or maybe the members of Trapnest.\What's this? Did the Demon Lord tell you?\Oh, a customer really came.\Junko. Congratulations on the grand opening! response:	Huh? Why you, Koichi Sato?
context: Good to see you. How've you been?\In any case this place always has no customers.\No, they'll come. I'm sure they'll come tonight.\Shin and Nobu and Yasu. Or maybe the members of Trapnest.\What's this? Did the Demon Lord tell you?\Oh, a customer really came.\Junko. Congratulations on the grand opening!\Huh? Why you, Koichi Sato? response:	I hear you have some serious fans. They've gotta be real maniacs.
context: In any case this place always has no customers.\No, they'll come. I'm sure they'll come tonight.\Shin and Nobu and Yasu. Or maybe the members of Trapnest.\What's this? Did the Demon Lord tell you?\Oh, a customer really came.\Junko. Congratulations on the grand opening!\Huh? Why you, Koichi Sato?\I hear you have some serious fans. They've gotta be real maniacs. response:	They're not maniacs!
context: No, they'll come. I'm sure they'll come tonight.\Shin and Nobu and Yasu. Or maybe the members of Trapnest.\What's this? Did the Demon Lord tell you?\Oh, a customer really came.\Junko. Congratulations on the grand opening!\Huh? Why you, Koichi Sato?\I hear you have some serious fans. They've gotta be real maniacs.\They're not maniacs! response:	So, how's Nana doing lately?
context: Shin and Nobu and Yasu. Or maybe the members of Trapnest.\What's this? Did the Demon Lord tell you?\Oh, a customer really came.\Junko. Congratulations on the grand opening!\Huh? Why you, Koichi Sato?\I hear you have some serious fans. They've gotta be real maniacs.\They're not maniacs!\So, how's Nana doing lately? response:	Huh? By Nana, you mean Nana Komatsu?
context: What's this? Did the Demon Lord tell you?\Oh, a customer really came.\Junko. Congratulations on the grand opening!\Huh? Why you, Koichi Sato?\I hear you have some serious fans. They've gotta be real maniacs.\They're not maniacs!\So, how's Nana doing lately?\Huh? By Nana, you mean Nana Komatsu? response:	Mhm. She hasn't dropped by Jackson Hall lately,
context: Oh, a customer really came.\Junko. Congratulations on the grand opening!\Huh? Why you, Koichi Sato?\I hear you have some serious fans. They've gotta be real maniacs.\They're not maniacs!\So, how's Nana doing lately?\Huh? By Nana, you mean Nana Komatsu?\Mhm. She hasn't dropped by Jackson Hall lately, response:	and as a result I don't get to appear in this anime much.
context: Junko. Congratulations on the grand opening!\Huh? Why you, Koichi Sato?\I hear you have some serious fans. They've gotta be real maniacs.\They're not maniacs!\So, how's Nana doing lately?\Huh? By Nana, you mean Nana Komatsu?\Mhm. She hasn't dropped by Jackson Hall lately,\and as a result I don't get to appear in this anime much. response:	Did something happen between her and Shoji?
context: Huh? Why you, Koichi Sato?\I hear you have some serious fans. They've gotta be real maniacs.\They're not maniacs!\So, how's Nana doing lately?\Huh? By Nana, you mean Nana Komatsu?\Mhm. She hasn't dropped by Jackson Hall lately,\and as a result I don't get to appear in this anime much.\Did something happen between her and Shoji? response:	You really are the worst!
context: I hear you have some serious fans. They've gotta be real maniacs.\They're not maniacs!\So, how's Nana doing lately?\Huh? By Nana, you mean Nana Komatsu?\Mhm. She hasn't dropped by Jackson Hall lately,\and as a result I don't get to appear in this anime much.\Did something happen between her and Shoji?\You really are the worst! response:	I have totally lost respect for you!
context: They're not maniacs!\So, how's Nana doing lately?\Huh? By Nana, you mean Nana Komatsu?\Mhm. She hasn't dropped by Jackson Hall lately,\and as a result I don't get to appear in this anime much.\Did something happen between her and Shoji?\You really are the worst!\I have totally lost respect for you! response:	I just didn't get a chance to talk about it.
context: So, how's Nana doing lately?\Huh? By Nana, you mean Nana Komatsu?\Mhm. She hasn't dropped by Jackson Hall lately,\and as a result I don't get to appear in this anime much.\Did something happen between her and Shoji?\You really are the worst!\I have totally lost respect for you!\I just didn't get a chance to talk about it. response:	I wasn't necessarily hiding it.
context: Huh? By Nana, you mean Nana Komatsu?\Mhm. She hasn't dropped by Jackson Hall lately,\and as a result I don't get to appear in this anime much.\Did something happen between her and Shoji?\You really are the worst!\I have totally lost respect for you!\I just didn't get a chance to talk about it.\I wasn't necessarily hiding it. response:	Don't make excuses! You were planning on two-timing them, weren't you?
context: Mhm. She hasn't dropped by Jackson Hall lately,\and as a result I don't get to appear in this anime much.\Did something happen between her and Shoji?\You really are the worst!\I have totally lost respect for you!\I just didn't get a chance to talk about it.\I wasn't necessarily hiding it.\Don't make excuses! You were planning on two-timing them, weren't you? response:	Junko! Do you think I'm capable of doing something like that?!
context: and as a result I don't get to appear in this anime much.\Did something happen between her and Shoji?\You really are the worst!\I have totally lost respect for you!\I just didn't get a chance to talk about it.\I wasn't necessarily hiding it.\Don't make excuses! You were planning on two-timing them, weren't you?\Junko! Do you think I'm capable of doing something like that?! response:	Of course not!
context: Did something happen between her and Shoji?\You really are the worst!\I have totally lost respect for you!\I just didn't get a chance to talk about it.\I wasn't necessarily hiding it.\Don't make excuses! You were planning on two-timing them, weren't you?\Junko! Do you think I'm capable of doing something like that?!\Of course not! response:	You can't do it, yet you try and reach for more than you can handle,
context: You really are the worst!\I have totally lost respect for you!\I just didn't get a chance to talk about it.\I wasn't necessarily hiding it.\Don't make excuses! You were planning on two-timing them, weren't you?\Junko! Do you think I'm capable of doing something like that?!\Of course not!\You can't do it, yet you try and reach for more than you can handle, response:	and as a result, you hurt a young woman's loving heart.
context: I have totally lost respect for you!\I just didn't get a chance to talk about it.\I wasn't necessarily hiding it.\Don't make excuses! You were planning on two-timing them, weren't you?\Junko! Do you think I'm capable of doing something like that?!\Of course not!\You can't do it, yet you try and reach for more than you can handle,\and as a result, you hurt a young woman's loving heart. response:	You think she's hurt.
context: I just didn't get a chance to talk about it.\I wasn't necessarily hiding it.\Don't make excuses! You were planning on two-timing them, weren't you?\Junko! Do you think I'm capable of doing something like that?!\Of course not!\You can't do it, yet you try and reach for more than you can handle,\and as a result, you hurt a young woman's loving heart.\You think she's hurt. response:	Of course she's hurt! Sachiko's in love with you, right?
context: I wasn't necessarily hiding it.\Don't make excuses! You were planning on two-timing them, weren't you?\Junko! Do you think I'm capable of doing something like that?!\Of course not!\You can't do it, yet you try and reach for more than you can handle,\and as a result, you hurt a young woman's loving heart.\You think she's hurt.\Of course she's hurt! Sachiko's in love with you, right? response:	But maybe I'm just hoping that she is.
context: Don't make excuses! You were planning on two-timing them, weren't you?\Junko! Do you think I'm capable of doing something like that?!\Of course not!\You can't do it, yet you try and reach for more than you can handle,\and as a result, you hurt a young woman's loving heart.\You think she's hurt.\Of course she's hurt! Sachiko's in love with you, right?\But maybe I'm just hoping that she is. response:	She hasn't actually told me that she likes me.
context: Junko! Do you think I'm capable of doing something like that?!\Of course not!\You can't do it, yet you try and reach for more than you can handle,\and as a result, you hurt a young woman's loving heart.\You think she's hurt.\Of course she's hurt! Sachiko's in love with you, right?\But maybe I'm just hoping that she is.\She hasn't actually told me that she likes me. response:	And nothing has changed since.
context: Of course not!\You can't do it, yet you try and reach for more than you can handle,\and as a result, you hurt a young woman's loving heart.\You think she's hurt.\Of course she's hurt! Sachiko's in love with you, right?\But maybe I'm just hoping that she is.\She hasn't actually told me that she likes me.\And nothing has changed since. response:	We still continue seeing each other as no more than friends.
context: You can't do it, yet you try and reach for more than you can handle,\and as a result, you hurt a young woman's loving heart.\You think she's hurt.\Of course she's hurt! Sachiko's in love with you, right?\But maybe I'm just hoping that she is.\She hasn't actually told me that she likes me.\And nothing has changed since.\We still continue seeing each other as no more than friends. response:	Your intellectual level has remained the same since junior high.
context: and as a result, you hurt a young woman's loving heart.\You think she's hurt.\Of course she's hurt! Sachiko's in love with you, right?\But maybe I'm just hoping that she is.\She hasn't actually told me that she likes me.\And nothing has changed since.\We still continue seeing each other as no more than friends.\Your intellectual level has remained the same since junior high. response:	This is nonsense!
context: You think she's hurt.\Of course she's hurt! Sachiko's in love with you, right?\But maybe I'm just hoping that she is.\She hasn't actually told me that she likes me.\And nothing has changed since.\We still continue seeing each other as no more than friends.\Your intellectual level has remained the same since junior high.\This is nonsense! response:	Junko!
context: Of course she's hurt! Sachiko's in love with you, right?\But maybe I'm just hoping that she is.\She hasn't actually told me that she likes me.\And nothing has changed since.\We still continue seeing each other as no more than friends.\Your intellectual level has remained the same since junior high.\This is nonsense!\Junko! response:	Don't talk to me like that! What should I do to make things right?!
context: But maybe I'm just hoping that she is.\She hasn't actually told me that she likes me.\And nothing has changed since.\We still continue seeing each other as no more than friends.\Your intellectual level has remained the same since junior high.\This is nonsense!\Junko!\Don't talk to me like that! What should I do to make things right?! response:	You hafta put an end to this.
context: She hasn't actually told me that she likes me.\And nothing has changed since.\We still continue seeing each other as no more than friends.\Your intellectual level has remained the same since junior high.\This is nonsense!\Junko!\Don't talk to me like that! What should I do to make things right?!\You hafta put an end to this. response:	So Sachiko's more important to you than Nana?
context: And nothing has changed since.\We still continue seeing each other as no more than friends.\Your intellectual level has remained the same since junior high.\This is nonsense!\Junko!\Don't talk to me like that! What should I do to make things right?!\You hafta put an end to this.\So Sachiko's more important to you than Nana? response:	You're wrong!
context: We still continue seeing each other as no more than friends.\Your intellectual level has remained the same since junior high.\This is nonsense!\Junko!\Don't talk to me like that! What should I do to make things right?!\You hafta put an end to this.\So Sachiko's more important to you than Nana?\You're wrong! response:	Koichi Sato, I'm going to work!
context: Your intellectual level has remained the same since junior high.\This is nonsense!\Junko!\Don't talk to me like that! What should I do to make things right?!\You hafta put an end to this.\So Sachiko's more important to you than Nana?\You're wrong!\Koichi Sato, I'm going to work! response:	I'm gonna break ties with her!
context: This is nonsense!\Junko!\Don't talk to me like that! What should I do to make things right?!\You hafta put an end to this.\So Sachiko's more important to you than Nana?\You're wrong!\Koichi Sato, I'm going to work!\I'm gonna break ties with her! response:	I'll do what I can to be buried in the same grave with Nana!
context: Junko!\Don't talk to me like that! What should I do to make things right?!\You hafta put an end to this.\So Sachiko's more important to you than Nana?\You're wrong!\Koichi Sato, I'm going to work!\I'm gonna break ties with her!\I'll do what I can to be buried in the same grave with Nana! response:	Sorry to keep you. Let's hurry.
context: Don't talk to me like that! What should I do to make things right?!\You hafta put an end to this.\So Sachiko's more important to you than Nana?\You're wrong!\Koichi Sato, I'm going to work!\I'm gonna break ties with her!\I'll do what I can to be buried in the same grave with Nana!\Sorry to keep you. Let's hurry. response:	Wait, Sachiko!
context: You hafta put an end to this.\So Sachiko's more important to you than Nana?\You're wrong!\Koichi Sato, I'm going to work!\I'm gonna break ties with her!\I'll do what I can to be buried in the same grave with Nana!\Sorry to keep you. Let's hurry.\Wait, Sachiko! response:	I hafta talk to you about something.
context: So Sachiko's more important to you than Nana?\You're wrong!\Koichi Sato, I'm going to work!\I'm gonna break ties with her!\I'll do what I can to be buried in the same grave with Nana!\Sorry to keep you. Let's hurry.\Wait, Sachiko!\I hafta talk to you about something. response:	You know!
context: You're wrong!\Koichi Sato, I'm going to work!\I'm gonna break ties with her!\I'll do what I can to be buried in the same grave with Nana!\Sorry to keep you. Let's hurry.\Wait, Sachiko!\I hafta talk to you about something.\You know! response:	Sorry.
context: Koichi Sato, I'm going to work!\I'm gonna break ties with her!\I'll do what I can to be buried in the same grave with Nana!\Sorry to keep you. Let's hurry.\Wait, Sachiko!\I hafta talk to you about something.\You know!\Sorry. response:	- I'm really sorry. - You've done nothing wrong, Shoji.
context: I'm gonna break ties with her!\I'll do what I can to be buried in the same grave with Nana!\Sorry to keep you. Let's hurry.\Wait, Sachiko!\I hafta talk to you about something.\You know!\Sorry.\- I'm really sorry. - You've done nothing wrong, Shoji. response:	I jumped to conclusions on my own and got carried away.
context: I'll do what I can to be buried in the same grave with Nana!\Sorry to keep you. Let's hurry.\Wait, Sachiko!\I hafta talk to you about something.\You know!\Sorry.\- I'm really sorry. - You've done nothing wrong, Shoji.\I jumped to conclusions on my own and got carried away. response:	I will be careful not to interfere.
context: Sorry to keep you. Let's hurry.\Wait, Sachiko!\I hafta talk to you about something.\You know!\Sorry.\- I'm really sorry. - You've done nothing wrong, Shoji.\I jumped to conclusions on my own and got carried away.\I will be careful not to interfere. response:	I will never interfere in your relationship with your girlfriend.
context: Wait, Sachiko!\I hafta talk to you about something.\You know!\Sorry.\- I'm really sorry. - You've done nothing wrong, Shoji.\I jumped to conclusions on my own and got carried away.\I will be careful not to interfere.\I will never interfere in your relationship with your girlfriend. response:	So... please. Can't we at least be friends?
context: I hafta talk to you about something.\You know!\Sorry.\- I'm really sorry. - You've done nothing wrong, Shoji.\I jumped to conclusions on my own and got carried away.\I will be careful not to interfere.\I will never interfere in your relationship with your girlfriend.\So... please. Can't we at least be friends? response:	Don't ask me to end this.
context: You know!\Sorry.\- I'm really sorry. - You've done nothing wrong, Shoji.\I jumped to conclusions on my own and got carried away.\I will be careful not to interfere.\I will never interfere in your relationship with your girlfriend.\So... please. Can't we at least be friends?\Don't ask me to end this. response:	That's strange.
context: Sorry.\- I'm really sorry. - You've done nothing wrong, Shoji.\I jumped to conclusions on my own and got carried away.\I will be careful not to interfere.\I will never interfere in your relationship with your girlfriend.\So... please. Can't we at least be friends?\Don't ask me to end this.\That's strange. response:	Shoji should be done with work, but I get his answering service.
context: - I'm really sorry. - You've done nothing wrong, Shoji.\I jumped to conclusions on my own and got carried away.\I will be careful not to interfere.\I will never interfere in your relationship with your girlfriend.\So... please. Can't we at least be friends?\Don't ask me to end this.\That's strange.\Shoji should be done with work, but I get his answering service. response:	I wonder if he forgot to switch it on.
context: I jumped to conclusions on my own and got carried away.\I will be careful not to interfere.\I will never interfere in your relationship with your girlfriend.\So... please. Can't we at least be friends?\Don't ask me to end this.\That's strange.\Shoji should be done with work, but I get his answering service.\I wonder if he forgot to switch it on. response:	He's probably cheating on you.
context: I will be careful not to interfere.\I will never interfere in your relationship with your girlfriend.\So... please. Can't we at least be friends?\Don't ask me to end this.\That's strange.\Shoji should be done with work, but I get his answering service.\I wonder if he forgot to switch it on.\He's probably cheating on you. response:	Shoji wouldn't do such a thing!
context: I will never interfere in your relationship with your girlfriend.\So... please. Can't we at least be friends?\Don't ask me to end this.\That's strange.\Shoji should be done with work, but I get his answering service.\I wonder if he forgot to switch it on.\He's probably cheating on you.\Shoji wouldn't do such a thing! response:	I'll send him an email.
context: So... please. Can't we at least be friends?\Don't ask me to end this.\That's strange.\Shoji should be done with work, but I get his answering service.\I wonder if he forgot to switch it on.\He's probably cheating on you.\Shoji wouldn't do such a thing!\I'll send him an email. response:	You know, there's nothing we can do about Shoji.
context: Don't ask me to end this.\That's strange.\Shoji should be done with work, but I get his answering service.\I wonder if he forgot to switch it on.\He's probably cheating on you.\Shoji wouldn't do such a thing!\I'll send him an email.\You know, there's nothing we can do about Shoji. response:	You know, I didn't think he was the kinda guy
context: That's strange.\Shoji should be done with work, but I get his answering service.\I wonder if he forgot to switch it on.\He's probably cheating on you.\Shoji wouldn't do such a thing!\I'll send him an email.\You know, there's nothing we can do about Shoji.\You know, I didn't think he was the kinda guy response:	who was capable of cheating, by any means.
context: Shoji should be done with work, but I get his answering service.\I wonder if he forgot to switch it on.\He's probably cheating on you.\Shoji wouldn't do such a thing!\I'll send him an email.\You know, there's nothing we can do about Shoji.\You know, I didn't think he was the kinda guy\who was capable of cheating, by any means. response:	As far as I know, neither did I!
context: I wonder if he forgot to switch it on.\He's probably cheating on you.\Shoji wouldn't do such a thing!\I'll send him an email.\You know, there's nothing we can do about Shoji.\You know, I didn't think he was the kinda guy\who was capable of cheating, by any means.\As far as I know, neither did I! response:	He's not just fooling around, either. He's serious about the other girl.
context: He's probably cheating on you.\Shoji wouldn't do such a thing!\I'll send him an email.\You know, there's nothing we can do about Shoji.\You know, I didn't think he was the kinda guy\who was capable of cheating, by any means.\As far as I know, neither did I!\He's not just fooling around, either. He's serious about the other girl. response:	He's seriously fallen in love with Sachiko.
context: Shoji wouldn't do such a thing!\I'll send him an email.\You know, there's nothing we can do about Shoji.\You know, I didn't think he was the kinda guy\who was capable of cheating, by any means.\As far as I know, neither did I!\He's not just fooling around, either. He's serious about the other girl.\He's seriously fallen in love with Sachiko. response:	He's no longer able to think rationally or morally.
context: I'll send him an email.\You know, there's nothing we can do about Shoji.\You know, I didn't think he was the kinda guy\who was capable of cheating, by any means.\As far as I know, neither did I!\He's not just fooling around, either. He's serious about the other girl.\He's seriously fallen in love with Sachiko.\He's no longer able to think rationally or morally. response:	There's nothing we can do.
context: You know, there's nothing we can do about Shoji.\You know, I didn't think he was the kinda guy\who was capable of cheating, by any means.\As far as I know, neither did I!\He's not just fooling around, either. He's serious about the other girl.\He's seriously fallen in love with Sachiko.\He's no longer able to think rationally or morally.\There's nothing we can do. response:	Shoji!
context: You know, I didn't think he was the kinda guy\who was capable of cheating, by any means.\As far as I know, neither did I!\He's not just fooling around, either. He's serious about the other girl.\He's seriously fallen in love with Sachiko.\He's no longer able to think rationally or morally.\There's nothing we can do.\Shoji! response:	I came.
context: who was capable of cheating, by any means.\As far as I know, neither did I!\He's not just fooling around, either. He's serious about the other girl.\He's seriously fallen in love with Sachiko.\He's no longer able to think rationally or morally.\There's nothing we can do.\Shoji!\I came. response:	Hachi wouldn't shut up about wanting to see you.
context: As far as I know, neither did I!\He's not just fooling around, either. He's serious about the other girl.\He's seriously fallen in love with Sachiko.\He's no longer able to think rationally or morally.\There's nothing we can do.\Shoji!\I came.\Hachi wouldn't shut up about wanting to see you. response:	Umm... Then allow me to show you to your table.
context: He's not just fooling around, either. He's serious about the other girl.\He's seriously fallen in love with Sachiko.\He's no longer able to think rationally or morally.\There's nothing we can do.\Shoji!\I came.\Hachi wouldn't shut up about wanting to see you.\Umm... Then allow me to show you to your table. response:	This way, please.
context: He's seriously fallen in love with Sachiko.\He's no longer able to think rationally or morally.\There's nothing we can do.\Shoji!\I came.\Hachi wouldn't shut up about wanting to see you.\Umm... Then allow me to show you to your table.\This way, please. response:	Sachiko.
context: He's no longer able to think rationally or morally.\There's nothing we can do.\Shoji!\I came.\Hachi wouldn't shut up about wanting to see you.\Umm... Then allow me to show you to your table.\This way, please.\Sachiko. response:	They're finally finished. Someone's coming out.
context: There's nothing we can do.\Shoji!\I came.\Hachi wouldn't shut up about wanting to see you.\Umm... Then allow me to show you to your table.\This way, please.\Sachiko.\They're finally finished. Someone's coming out. response:	Really?
context: Shoji!\I came.\Hachi wouldn't shut up about wanting to see you.\Umm... Then allow me to show you to your table.\This way, please.\Sachiko.\They're finally finished. Someone's coming out.\Really? response:	Sachiko!
context: I came.\Hachi wouldn't shut up about wanting to see you.\Umm... Then allow me to show you to your table.\This way, please.\Sachiko.\They're finally finished. Someone's coming out.\Really?\Sachiko! response:	What are you doing? What's with this woman?
context: Hachi wouldn't shut up about wanting to see you.\Umm... Then allow me to show you to your table.\This way, please.\Sachiko.\They're finally finished. Someone's coming out.\Really?\Sachiko!\What are you doing? What's with this woman? response:	She's my girlfriend.
context: Umm... Then allow me to show you to your table.\This way, please.\Sachiko.\They're finally finished. Someone's coming out.\Really?\Sachiko!\What are you doing? What's with this woman?\She's my girlfriend. response:	Huh?!
context: This way, please.\Sachiko.\They're finally finished. Someone's coming out.\Really?\Sachiko!\What are you doing? What's with this woman?\She's my girlfriend.\Huh?! response:	You telling me that you have two girlfriends?
context: Sachiko.\They're finally finished. Someone's coming out.\Really?\Sachiko!\What are you doing? What's with this woman?\She's my girlfriend.\Huh?!\You telling me that you have two girlfriends? response:	You sure have it good!
context: They're finally finished. Someone's coming out.\Really?\Sachiko!\What are you doing? What's with this woman?\She's my girlfriend.\Huh?!\You telling me that you have two girlfriends?\You sure have it good! response:	Don't!
context: Really?\Sachiko!\What are you doing? What's with this woman?\She's my girlfriend.\Huh?!\You telling me that you have two girlfriends?\You sure have it good!\Don't! response:	Sachiko! It's okay, stay back!
context: Sachiko!\What are you doing? What's with this woman?\She's my girlfriend.\Huh?!\You telling me that you have two girlfriends?\You sure have it good!\Don't!\Sachiko! It's okay, stay back! response:	Don't be violent with Shoji!
context: What are you doing? What's with this woman?\She's my girlfriend.\Huh?!\You telling me that you have two girlfriends?\You sure have it good!\Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji! response:	Stay out of this! This has nothing to do with you!
context: She's my girlfriend.\Huh?!\You telling me that you have two girlfriends?\You sure have it good!\Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Stay out of this! This has nothing to do with you! response:	You're the one who has nothing to do with this!
context: Huh?!\You telling me that you have two girlfriends?\You sure have it good!\Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this! response:	If you want to hit someone, hit me!
context: You telling me that you have two girlfriends?\You sure have it good!\Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\If you want to hit someone, hit me! response:	H-Hey!
context: You sure have it good!\Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\If you want to hit someone, hit me!\H-Hey! response:	I was the one who had a crush on him!
context: Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\If you want to hit someone, hit me!\H-Hey!\I was the one who had a crush on him! response:	I knew he had a girlfriend, and still I could not stop myself!
context: Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\If you want to hit someone, hit me!\H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself! response:	Hachiko!
context: Don't be violent with Shoji!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\If you want to hit someone, hit me!\H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\Hachiko! response:	Why are you just standing there?! This is your fight!
context: Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\If you want to hit someone, hit me!\H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\Hachiko!\Why are you just standing there?! This is your fight! response:	You do something!
context: You're the one who has nothing to do with this!\If you want to hit someone, hit me!\H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\Hachiko!\Why are you just standing there?! This is your fight!\You do something! response:	If you don't fight, you've accepted defeat!
