context: The Forest of Giant Trees The 57th expedition beyond the walls (2) response:	Signs
context: We will now begin the 57th expedition beyond the walls!\Onward!\10-meter class approaching from the left!\I'd love to find out what it's got inside its stomach!\But let's leave it to the cover team!\Shit!\Barely got it!\Defend the column at all costs! response:	Focus! Leave it to the cover team!
context: Onward!\10-meter class approaching from the left!\I'd love to find out what it's got inside its stomach!\But let's leave it to the cover team!\Shit!\Barely got it!\Defend the column at all costs!\Focus! Leave it to the cover team! response:	Ahead! Onward!
context: 10-meter class approaching from the left!\I'd love to find out what it's got inside its stomach!\But let's leave it to the cover team!\Shit!\Barely got it!\Defend the column at all costs!\Focus! Leave it to the cover team!\Ahead! Onward! response:	The cover team can only help us until the old town.
context: I'd love to find out what it's got inside its stomach!\But let's leave it to the cover team!\Shit!\Barely got it!\Defend the column at all costs!\Focus! Leave it to the cover team!\Ahead! Onward!\The cover team can only help us until the old town. response:	After that we'll be on our own in Titan territory.
context: But let's leave it to the cover team!\Shit!\Barely got it!\Defend the column at all costs!\Focus! Leave it to the cover team!\Ahead! Onward!\The cover team can only help us until the old town.\After that we'll be on our own in Titan territory. response:	We can only count on the long-range scouting formation Commander Erwin devised.
context: Shit!\Barely got it!\Defend the column at all costs!\Focus! Leave it to the cover team!\Ahead! Onward!\The cover team can only help us until the old town.\After that we'll be on our own in Titan territory.\We can only count on the long-range scouting formation Commander Erwin devised. response:	We, the Special Operations Squad, will go here.
context: Barely got it!\Defend the column at all costs!\Focus! Leave it to the cover team!\Ahead! Onward!\The cover team can only help us until the old town.\After that we'll be on our own in Titan territory.\We can only count on the long-range scouting formation Commander Erwin devised.\We, the Special Operations Squad, will go here. response:	Auruo, sir, do you think the other recruits can defeat the Titans?
context: Defend the column at all costs!\Focus! Leave it to the cover team!\Ahead! Onward!\The cover team can only help us until the old town.\After that we'll be on our own in Titan territory.\We can only count on the long-range scouting formation Commander Erwin devised.\We, the Special Operations Squad, will go here.\Auruo, sir, do you think the other recruits can defeat the Titans? response:	What have you been doing this whole month?
context: Focus! Leave it to the cover team!\Ahead! Onward!\The cover team can only help us until the old town.\After that we'll be on our own in Titan territory.\We can only count on the long-range scouting formation Commander Erwin devised.\We, the Special Operations Squad, will go here.\Auruo, sir, do you think the other recruits can defeat the Titans?\What have you been doing this whole month? response:	Listen up, brat!
context: Ahead! Onward!\The cover team can only help us until the old town.\After that we'll be on our own in Titan territory.\We can only count on the long-range scouting formation Commander Erwin devised.\We, the Special Operations Squad, will go here.\Auruo, sir, do you think the other recruits can defeat the Titans?\What have you been doing this whole month?\Listen up, brat! response:	The success of extramural expeditions depends on how well can you avoid fighting the Tita
context: The cover team can only help us until the old town.\After that we'll be on our own in Titan territory.\We can only count on the long-range scouting formation Commander Erwin devised.\We, the Special Operations Squad, will go here.\Auruo, sir, do you think the other recruits can defeat the Titans?\What have you been doing this whole month?\Listen up, brat!\The success of extramural expeditions depends on how well can you avoid fighting the Tita response:	Into long-range scouting formation!
context: After that we'll be on our own in Titan territory.\We can only count on the long-range scouting formation Commander Erwin devised.\We, the Special Operations Squad, will go here.\Auruo, sir, do you think the other recruits can defeat the Titans?\What have you been doing this whole month?\Listen up, brat!\The success of extramural expeditions depends on how well can you avoid fighting the Tita\Into long-range scouting formation! response:	Later, Armin.
context: We can only count on the long-range scouting formation Commander Erwin devised.\We, the Special Operations Squad, will go here.\Auruo, sir, do you think the other recruits can defeat the Titans?\What have you been doing this whole month?\Listen up, brat!\The success of extramural expeditions depends on how well can you avoid fighting the Tita\Into long-range scouting formation!\Later, Armin. response:	Don't pee your pants, even if Titans show up!
context: We, the Special Operations Squad, will go here.\Auruo, sir, do you think the other recruits can defeat the Titans?\What have you been doing this whole month?\Listen up, brat!\The success of extramural expeditions depends on how well can you avoid fighting the Tita\Into long-range scouting formation!\Later, Armin.\Don't pee your pants, even if Titans show up! response:	You too, Jean!
context: Auruo, sir, do you think the other recruits can defeat the Titans?\What have you been doing this whole month?\Listen up, brat!\The success of extramural expeditions depends on how well can you avoid fighting the Tita\Into long-range scouting formation!\Later, Armin.\Don't pee your pants, even if Titans show up!\You too, Jean! response:	In a half circle facing forward, spread out evenly without losing sight of the others.
context: What have you been doing this whole month?\Listen up, brat!\The success of extramural expeditions depends on how well can you avoid fighting the Tita\Into long-range scouting formation!\Later, Armin.\Don't pee your pants, even if Titans show up!\You too, Jean!\In a half circle facing forward, spread out evenly without losing sight of the others. response:	Extend the communication lines and scouting range as wide as possible.
context: Listen up, brat!\The success of extramural expeditions depends on how well can you avoid fighting the Tita\Into long-range scouting formation!\Later, Armin.\Don't pee your pants, even if Titans show up!\You too, Jean!\In a half circle facing forward, spread out evenly without losing sight of the others.\Extend the communication lines and scouting range as wide as possible. response:	It's fine. Calm down.
context: The success of extramural expeditions depends on how well can you avoid fighting the Tita\Into long-range scouting formation!\Later, Armin.\Don't pee your pants, even if Titans show up!\You too, Jean!\In a half circle facing forward, spread out evenly without losing sight of the others.\Extend the communication lines and scouting range as wide as possible.\It's fine. Calm down. response:	Mostly it'll be the scouts of the first row who encounter the Titans.
context: Into long-range scouting formation!\Later, Armin.\Don't pee your pants, even if Titans show up!\You too, Jean!\In a half circle facing forward, spread out evenly without losing sight of the others.\Extend the communication lines and scouting range as wide as possible.\It's fine. Calm down.\Mostly it'll be the scouts of the first row who encounter the Titans. response:	When they spot one, they'll shoot up a red smoke flare.
context: Later, Armin.\Don't pee your pants, even if Titans show up!\You too, Jean!\In a half circle facing forward, spread out evenly without losing sight of the others.\Extend the communication lines and scouting range as wide as possible.\It's fine. Calm down.\Mostly it'll be the scouts of the first row who encounter the Titans.\When they spot one, they'll shoot up a red smoke flare. response:	Those who see the signal do the same again.
context: Don't pee your pants, even if Titans show up!\You too, Jean!\In a half circle facing forward, spread out evenly without losing sight of the others.\Extend the communication lines and scouting range as wide as possible.\It's fine. Calm down.\Mostly it'll be the scouts of the first row who encounter the Titans.\When they spot one, they'll shoot up a red smoke flare.\Those who see the signal do the same again. response:	Thus the commander learns the position of the Titans,
context: You too, Jean!\In a half circle facing forward, spread out evenly without losing sight of the others.\Extend the communication lines and scouting range as wide as possible.\It's fine. Calm down.\Mostly it'll be the scouts of the first row who encounter the Titans.\When they spot one, they'll shoot up a red smoke flare.\Those who see the signal do the same again.\Thus the commander learns the position of the Titans, response:	and signals the direction of the column with a green flare.
context: In a half circle facing forward, spread out evenly without losing sight of the others.\Extend the communication lines and scouting range as wide as possible.\It's fine. Calm down.\Mostly it'll be the scouts of the first row who encounter the Titans.\When they spot one, they'll shoot up a red smoke flare.\Those who see the signal do the same again.\Thus the commander learns the position of the Titans,\and signals the direction of the column with a green flare. response:	Thus the column can proceed to its destination while avoiding Titans.
context: Extend the communication lines and scouting range as wide as possible.\It's fine. Calm down.\Mostly it'll be the scouts of the first row who encounter the Titans.\When they spot one, they'll shoot up a red smoke flare.\Those who see the signal do the same again.\Thus the commander learns the position of the Titans,\and signals the direction of the column with a green flare.\Thus the column can proceed to its destination while avoiding Titans. response:	However, sometimes you may run into a Titan
context: It's fine. Calm down.\Mostly it'll be the scouts of the first row who encounter the Titans.\When they spot one, they'll shoot up a red smoke flare.\Those who see the signal do the same again.\Thus the commander learns the position of the Titans,\and signals the direction of the column with a green flare.\Thus the column can proceed to its destination while avoiding Titans.\However, sometimes you may run into a Titan response:	because its position was obscured by obstacles.
context: Mostly it'll be the scouts of the first row who encounter the Titans.\When they spot one, they'll shoot up a red smoke flare.\Those who see the signal do the same again.\Thus the commander learns the position of the Titans,\and signals the direction of the column with a green flare.\Thus the column can proceed to its destination while avoiding Titans.\However, sometimes you may run into a Titan\because its position was obscured by obstacles. response:	The red flare!
context: When they spot one, they'll shoot up a red smoke flare.\Those who see the signal do the same again.\Thus the commander learns the position of the Titans,\and signals the direction of the column with a green flare.\Thus the column can proceed to its destination while avoiding Titans.\However, sometimes you may run into a Titan\because its position was obscured by obstacles.\The red flare! response:	Sasha, this way!
context: Those who see the signal do the same again.\Thus the commander learns the position of the Titans,\and signals the direction of the column with a green flare.\Thus the column can proceed to its destination while avoiding Titans.\However, sometimes you may run into a Titan\because its position was obscured by obstacles.\The red flare!\Sasha, this way! response:	Crap! The scouts missed it?
context: Thus the commander learns the position of the Titans,\and signals the direction of the column with a green flare.\Thus the column can proceed to its destination while avoiding Titans.\However, sometimes you may run into a Titan\because its position was obscured by obstacles.\The red flare!\Sasha, this way!\Crap! The scouts missed it? response:	We've gotta lure it away!
context: and signals the direction of the column with a green flare.\Thus the column can proceed to its destination while avoiding Titans.\However, sometimes you may run into a Titan\because its position was obscured by obstacles.\The red flare!\Sasha, this way!\Crap! The scouts missed it?\We've gotta lure it away! response:	Run this way!
context: Thus the column can proceed to its destination while avoiding Titans.\However, sometimes you may run into a Titan\because its position was obscured by obstacles.\The red flare!\Sasha, this way!\Crap! The scouts missed it?\We've gotta lure it away!\Run this way! response:	I'll handle this! You escape!
context: However, sometimes you may run into a Titan\because its position was obscured by obstacles.\The red flare!\Sasha, this way!\Crap! The scouts missed it?\We've gotta lure it away!\Run this way!\I'll handle this! You escape! response:	Yes, sir!
context: because its position was obscured by obstacles.\The red flare!\Sasha, this way!\Crap! The scouts missed it?\We've gotta lure it away!\Run this way!\I'll handle this! You escape!\Yes, sir! response:	Sir!
context: The red flare!\Sasha, this way!\Crap! The scouts missed it?\We've gotta lure it away!\Run this way!\I'll handle this! You escape!\Yes, sir!\Sir! response:	Back to your position! It's run itself dry!
context: Sasha, this way!\Crap! The scouts missed it?\We've gotta lure it away!\Run this way!\I'll handle this! You escape!\Yes, sir!\Sir!\Back to your position! It's run itself dry! response:	That's strange. It's been a while since the red flare went off,
context: Crap! The scouts missed it?\We've gotta lure it away!\Run this way!\I'll handle this! You escape!\Yes, sir!\Sir!\Back to your position! It's run itself dry!\That's strange. It's been a while since the red flare went off, response:	but the formation is still off.
context: We've gotta lure it away!\Run this way!\I'll handle this! You escape!\Yes, sir!\Sir!\Back to your position! It's run itself dry!\That's strange. It's been a while since the red flare went off,\but the formation is still off. response:	Don't tell me...
context: Run this way!\I'll handle this! You escape!\Yes, sir!\Sir!\Back to your position! It's run itself dry!\That's strange. It's been a while since the red flare went off,\but the formation is still off.\Don't tell me... response:	However, these methods only work against the predictable normal types.
context: I'll handle this! You escape!\Yes, sir!\Sir!\Back to your position! It's run itself dry!\That's strange. It's been a while since the red flare went off,\but the formation is still off.\Don't tell me...\However, these methods only work against the predictable normal types. response:	A black flare?
context: Yes, sir!\Sir!\Back to your position! It's run itself dry!\That's strange. It's been a while since the red flare went off,\but the formation is still off.\Don't tell me...\However, these methods only work against the predictable normal types.\A black flare? response:	It's ignoring the scouts around it and going for the center of the column?
context: Sir!\Back to your position! It's run itself dry!\That's strange. It's been a while since the red flare went off,\but the formation is still off.\Don't tell me...\However, these methods only work against the predictable normal types.\A black flare?\It's ignoring the scouts around it and going for the center of the column? response:	Yeah, there's no mistaking it!
context: Back to your position! It's run itself dry!\That's strange. It's been a while since the red flare went off,\but the formation is still off.\Don't tell me...\However, these methods only work against the predictable normal types.\A black flare?\It's ignoring the scouts around it and going for the center of the column?\Yeah, there's no mistaking it! response:	It's an abnormal!
context: That's strange. It's been a while since the red flare went off,\but the formation is still off.\Don't tell me...\However, these methods only work against the predictable normal types.\A black flare?\It's ignoring the scouts around it and going for the center of the column?\Yeah, there's no mistaking it!\It's an abnormal! response:	Only against unpredictable abnormals must we engage in combat.
context: but the formation is still off.\Don't tell me...\However, these methods only work against the predictable normal types.\A black flare?\It's ignoring the scouts around it and going for the center of the column?\Yeah, there's no mistaking it!\It's an abnormal!\Only against unpredictable abnormals must we engage in combat. response:	Damn, we have to deal with this now?
context: Don't tell me...\However, these methods only work against the predictable normal types.\A black flare?\It's ignoring the scouts around it and going for the center of the column?\Yeah, there's no mistaking it!\It's an abnormal!\Only against unpredictable abnormals must we engage in combat.\Damn, we have to deal with this now? response:	Shis! You get its nape!
context: However, these methods only work against the predictable normal types.\A black flare?\It's ignoring the scouts around it and going for the center of the column?\Yeah, there's no mistaking it!\It's an abnormal!\Only against unpredictable abnormals must we engage in combat.\Damn, we have to deal with this now?\Shis! You get its nape! response:	I'll stop it!
context: A black flare?\It's ignoring the scouts around it and going for the center of the column?\Yeah, there's no mistaking it!\It's an abnormal!\Only against unpredictable abnormals must we engage in combat.\Damn, we have to deal with this now?\Shis! You get its nape!\I'll stop it! response:	Roger!
context: It's ignoring the scouts around it and going for the center of the column?\Yeah, there's no mistaking it!\It's an abnormal!\Only against unpredictable abnormals must we engage in combat.\Damn, we have to deal with this now?\Shis! You get its nape!\I'll stop it!\Roger! response:	Using the 3D Maneuver Gear in a flat area is clearly impossible.
context: Yeah, there's no mistaking it!\It's an abnormal!\Only against unpredictable abnormals must we engage in combat.\Damn, we have to deal with this now?\Shis! You get its nape!\I'll stop it!\Roger!\Using the 3D Maneuver Gear in a flat area is clearly impossible. response:	We've hardly got any chance, but we can't allow it to disrupt the column.
context: It's an abnormal!\Only against unpredictable abnormals must we engage in combat.\Damn, we have to deal with this now?\Shis! You get its nape!\I'll stop it!\Roger!\Using the 3D Maneuver Gear in a flat area is clearly impossible.\We've hardly got any chance, but we can't allow it to disrupt the column. response:	Next is Arlert, wasn't it?
context: Only against unpredictable abnormals must we engage in combat.\Damn, we have to deal with this now?\Shis! You get its nape!\I'll stop it!\Roger!\Using the 3D Maneuver Gear in a flat area is clearly impossible.\We've hardly got any chance, but we can't allow it to disrupt the column.\Next is Arlert, wasn't it? response:	I don't want to make the newbie face this.
context: Damn, we have to deal with this now?\Shis! You get its nape!\I'll stop it!\Roger!\Using the 3D Maneuver Gear in a flat area is clearly impossible.\We've hardly got any chance, but we can't allow it to disrupt the column.\Next is Arlert, wasn't it?\I don't want to make the newbie face this. response:	I've gotta stop it!
context: Shis! You get its nape!\I'll stop it!\Roger!\Using the 3D Maneuver Gear in a flat area is clearly impossible.\We've hardly got any chance, but we can't allow it to disrupt the column.\Next is Arlert, wasn't it?\I don't want to make the newbie face this.\I've gotta stop it! response:	Now! Shis!
context: I'll stop it!\Roger!\Using the 3D Maneuver Gear in a flat area is clearly impossible.\We've hardly got any chance, but we can't allow it to disrupt the column.\Next is Arlert, wasn't it?\I don't want to make the newbie face this.\I've gotta stop it!\Now! Shis! response:	You did it, Sargent Ness!
context: Roger!\Using the 3D Maneuver Gear in a flat area is clearly impossible.\We've hardly got any chance, but we can't allow it to disrupt the column.\Next is Arlert, wasn't it?\I don't want to make the newbie face this.\I've gotta stop it!\Now! Shis!\You did it, Sargent Ness! response:	Did we get it?
context: Using the 3D Maneuver Gear in a flat area is clearly impossible.\We've hardly got any chance, but we can't allow it to disrupt the column.\Next is Arlert, wasn't it?\I don't want to make the newbie face this.\I've gotta stop it!\Now! Shis!\You did it, Sargent Ness!\Did we get it? response:	You came back? You're such a good horse!
context: We've hardly got any chance, but we can't allow it to disrupt the column.\Next is Arlert, wasn't it?\I don't want to make the newbie face this.\I've gotta stop it!\Now! Shis!\You did it, Sargent Ness!\Did we get it?\You came back? You're such a good horse! response:	I love you, Shallot.
context: Next is Arlert, wasn't it?\I don't want to make the newbie face this.\I've gotta stop it!\Now! Shis!\You did it, Sargent Ness!\Did we get it?\You came back? You're such a good horse!\I love you, Shallot. response:	Again?
context: I don't want to make the newbie face this.\I've gotta stop it!\Now! Shis!\You did it, Sargent Ness!\Did we get it?\You came back? You're such a good horse!\I love you, Shallot.\Again? response:	What are the scouts doing on the side?
context: I've gotta stop it!\Now! Shis!\You did it, Sargent Ness!\Did we get it?\You came back? You're such a good horse!\I love you, Shallot.\Again?\What are the scouts doing on the side? response:	If it ignored them and came this way, that means it's an abnormal as well.
context: Now! Shis!\You did it, Sargent Ness!\Did we get it?\You came back? You're such a good horse!\I love you, Shallot.\Again?\What are the scouts doing on the side?\If it ignored them and came this way, that means it's an abnormal as well. response:	We've got no choice then...
context: You did it, Sargent Ness!\Did we get it?\You came back? You're such a good horse!\I love you, Shallot.\Again?\What are the scouts doing on the side?\If it ignored them and came this way, that means it's an abnormal as well.\We've got no choice then... response:	Let's do it again, Shis!
context: Did we get it?\You came back? You're such a good horse!\I love you, Shallot.\Again?\What are the scouts doing on the side?\If it ignored them and came this way, that means it's an abnormal as well.\We've got no choice then...\Let's do it again, Shis! response:	Yes, sir!
context: You came back? You're such a good horse!\I love you, Shallot.\Again?\What are the scouts doing on the side?\If it ignored them and came this way, that means it's an abnormal as well.\We've got no choice then...\Let's do it again, Shis!\Yes, sir! response:	But two in a row? We're unlucky.
context: I love you, Shallot.\Again?\What are the scouts doing on the side?\If it ignored them and came this way, that means it's an abnormal as well.\We've got no choice then...\Let's do it again, Shis!\Yes, sir!\But two in a row? We're unlucky. response:	This one looks like a 14-meter class too.
context: Again?\What are the scouts doing on the side?\If it ignored them and came this way, that means it's an abnormal as well.\We've got no choice then...\Let's do it again, Shis!\Yes, sir!\But two in a row? We're unlucky.\This one looks like a 14-meter class too. response:	It's gonna be tough.
context: What are the scouts doing on the side?\If it ignored them and came this way, that means it's an abnormal as well.\We've got no choice then...\Let's do it again, Shis!\Yes, sir!\But two in a row? We're unlucky.\This one looks like a 14-meter class too.\It's gonna be tough. response:	What the hell? It's too fast!
context: If it ignored them and came this way, that means it's an abnormal as well.\We've got no choice then...\Let's do it again, Shis!\Yes, sir!\But two in a row? We're unlucky.\This one looks like a 14-meter class too.\It's gonna be tough.\What the hell? It's too fast! response:	Don't let it get into Arlert's path, Shis!
context: We've got no choice then...\Let's do it again, Shis!\Yes, sir!\But two in a row? We're unlucky.\This one looks like a 14-meter class too.\It's gonna be tough.\What the hell? It's too fast!\Don't let it get into Arlert's path, Shis! response:	Yes, sir!
context: Let's do it again, Shis!\Yes, sir!\But two in a row? We're unlucky.\This one looks like a 14-meter class too.\It's gonna be tough.\What the hell? It's too fast!\Don't let it get into Arlert's path, Shis!\Yes, sir! response:	No...
context: Yes, sir!\But two in a row? We're unlucky.\This one looks like a 14-meter class too.\It's gonna be tough.\What the hell? It's too fast!\Don't let it get into Arlert's path, Shis!\Yes, sir!\No... response:	It's different...
context: But two in a row? We're unlucky.\This one looks like a 14-meter class too.\It's gonna be tough.\What the hell? It's too fast!\Don't let it get into Arlert's path, Shis!\Yes, sir!\No...\It's different... response:	It's not just any abnormal.
context: This one looks like a 14-meter class too.\It's gonna be tough.\What the hell? It's too fast!\Don't let it get into Arlert's path, Shis!\Yes, sir!\No...\It's different...\It's not just any abnormal. response:	It's intelligent!
context: It's gonna be tough.\What the hell? It's too fast!\Don't let it get into Arlert's path, Shis!\Yes, sir!\No...\It's different...\It's not just any abnormal.\It's intelligent! response:	It's the same as the Colossal, the Armored, and Eren...
context: What the hell? It's too fast!\Don't let it get into Arlert's path, Shis!\Yes, sir!\No...\It's different...\It's not just any abnormal.\It's intelligent!\It's the same as the Colossal, the Armored, and Eren... response:	It's a human in a Titan's body!
context: Don't let it get into Arlert's path, Shis!\Yes, sir!\No...\It's different...\It's not just any abnormal.\It's intelligent!\It's the same as the Colossal, the Armored, and Eren...\It's a human in a Titan's body! response:	But who? Why?
context: Yes, sir!\No...\It's different...\It's not just any abnormal.\It's intelligent!\It's the same as the Colossal, the Armored, and Eren...\It's a human in a Titan's body!\But who? Why? response:	What should I now? I'm gonna get killed!
context: No...\It's different...\It's not just any abnormal.\It's intelligent!\It's the same as the Colossal, the Armored, and Eren...\It's a human in a Titan's body!\But who? Why?\What should I now? I'm gonna get killed! response:	You get away! Run!
context: It's different...\It's not just any abnormal.\It's intelligent!\It's the same as the Colossal, the Armored, and Eren...\It's a human in a Titan's body!\But who? Why?\What should I now? I'm gonna get killed!\You get away! Run! response:	What does it...
context: It's not just any abnormal.\It's intelligent!\It's the same as the Colossal, the Armored, and Eren...\It's a human in a Titan's body!\But who? Why?\What should I now? I'm gonna get killed!\You get away! Run!\What does it... response:	No, what do they... want?!
context: It's intelligent!\It's the same as the Colossal, the Armored, and Eren...\It's a human in a Titan's body!\But who? Why?\What should I now? I'm gonna get killed!\You get away! Run!\What does it...\No, what do they... want?! response:	Someone tell them...
context: It's the same as the Colossal, the Armored, and Eren...\It's a human in a Titan's body!\But who? Why?\What should I now? I'm gonna get killed!\You get away! Run!\What does it...\No, what do they... want?!\Someone tell them... response:	Most of the scouts are dead...
context: It's a human in a Titan's body!\But who? Why?\What should I now? I'm gonna get killed!\You get away! Run!\What does it...\No, what do they... want?!\Someone tell them...\Most of the scouts are dead... response:	The female-form Titan brought a whole troop of Titans!
context: But who? Why?\What should I now? I'm gonna get killed!\You get away! Run!\What does it...\No, what do they... want?!\Someone tell them...\Most of the scouts are dead...\The female-form Titan brought a whole troop of Titans! response:	Isn't there anyone?
context: What should I now? I'm gonna get killed!\You get away! Run!\What does it...\No, what do they... want?!\Someone tell them...\Most of the scouts are dead...\The female-form Titan brought a whole troop of Titans!\Isn't there anyone? response:	It won't kill me?
context: You get away! Run!\What does it...\No, what do they... want?!\Someone tell them...\Most of the scouts are dead...\The female-form Titan brought a whole troop of Titans!\Isn't there anyone?\It won't kill me? response:	What just happened?
context: What does it...\No, what do they... want?!\Someone tell them...\Most of the scouts are dead...\The female-form Titan brought a whole troop of Titans!\Isn't there anyone?\It won't kill me?\What just happened? response:	It pulled back my hood and... and checked my face.
context: No, what do they... want?!\Someone tell them...\Most of the scouts are dead...\The female-form Titan brought a whole troop of Titans!\Isn't there anyone?\It won't kill me?\What just happened?\It pulled back my hood and... and checked my face. response:	Armin!
context: Someone tell them...\Most of the scouts are dead...\The female-form Titan brought a whole troop of Titans!\Isn't there anyone?\It won't kill me?\What just happened?\It pulled back my hood and... and checked my face.\Armin! response:	Reiner?
context: Most of the scouts are dead...\The female-form Titan brought a whole troop of Titans!\Isn't there anyone?\It won't kill me?\What just happened?\It pulled back my hood and... and checked my face.\Armin!\Reiner? response:	Can you stand?
context: The female-form Titan brought a whole troop of Titans!\Isn't there anyone?\It won't kill me?\What just happened?\It pulled back my hood and... and checked my face.\Armin!\Reiner?\Can you stand? response:	Or rather, don't forget you can't survive without a horse out here!
context: Isn't there anyone?\It won't kill me?\What just happened?\It pulled back my hood and... and checked my face.\Armin!\Reiner?\Can you stand?\Or rather, don't forget you can't survive without a horse out here! response:	Hurry!
context: It won't kill me?\What just happened?\It pulled back my hood and... and checked my face.\Armin!\Reiner?\Can you stand?\Or rather, don't forget you can't survive without a horse out here!\Hurry! response:	Okay!
context: What just happened?\It pulled back my hood and... and checked my face.\Armin!\Reiner?\Can you stand?\Or rather, don't forget you can't survive without a horse out here!\Hurry!\Okay! response:	I saw the signal for an abnormal.
context: It pulled back my hood and... and checked my face.\Armin!\Reiner?\Can you stand?\Or rather, don't forget you can't survive without a horse out here!\Hurry!\Okay!\I saw the signal for an abnormal. response:	Is that it, with the nice ass?
