context: I'm sorry about the other day. response:	No problem!
context: They always have something to say.\Komachi's entrance exam is coming up,\so she and Mom have been arguing about that lately.\Oh, yeah, Komachi-chan's exam is tomorrow, huh?\It gives us the day off, too.\If I know Komachi-san, I'm sure she'll do fine, though.\Yeah...\But as her brother, you've gotta worry, huh? response:	Exactly.
context: Komachi's entrance exam is coming up,\so she and Mom have been arguing about that lately.\Oh, yeah, Komachi-chan's exam is tomorrow, huh?\It gives us the day off, too.\If I know Komachi-san, I'm sure she'll do fine, though.\Yeah...\But as her brother, you've gotta worry, huh?\Exactly. response:	Komachi's too cute, so she's bound to be popular, right?
context: so she and Mom have been arguing about that lately.\Oh, yeah, Komachi-chan's exam is tomorrow, huh?\It gives us the day off, too.\If I know Komachi-san, I'm sure she'll do fine, though.\Yeah...\But as her brother, you've gotta worry, huh?\Exactly.\Komachi's too cute, so she's bound to be popular, right? response:	And then I'll have to start watching out for boys.
context: Oh, yeah, Komachi-chan's exam is tomorrow, huh?\It gives us the day off, too.\If I know Komachi-san, I'm sure she'll do fine, though.\Yeah...\But as her brother, you've gotta worry, huh?\Exactly.\Komachi's too cute, so she's bound to be popular, right?\And then I'll have to start watching out for boys. response:	Above all, I have to make sure nobody finds out she has a useless brother like me.
context: It gives us the day off, too.\If I know Komachi-san, I'm sure she'll do fine, though.\Yeah...\But as her brother, you've gotta worry, huh?\Exactly.\Komachi's too cute, so she's bound to be popular, right?\And then I'll have to start watching out for boys.\Above all, I have to make sure nobody finds out she has a useless brother like me. response:	Komachi's reputation depends on it.
context: If I know Komachi-san, I'm sure she'll do fine, though.\Yeah...\But as her brother, you've gotta worry, huh?\Exactly.\Komachi's too cute, so she's bound to be popular, right?\And then I'll have to start watching out for boys.\Above all, I have to make sure nobody finds out she has a useless brother like me.\Komachi's reputation depends on it. response:	That's what you're worried about?
context: Yeah...\But as her brother, you've gotta worry, huh?\Exactly.\Komachi's too cute, so she's bound to be popular, right?\And then I'll have to start watching out for boys.\Above all, I have to make sure nobody finds out she has a useless brother like me.\Komachi's reputation depends on it.\That's what you're worried about? response:	Also, you're assuming she'll pass?
context: But as her brother, you've gotta worry, huh?\Exactly.\Komachi's too cute, so she's bound to be popular, right?\And then I'll have to start watching out for boys.\Above all, I have to make sure nobody finds out she has a useless brother like me.\Komachi's reputation depends on it.\That's what you're worried about?\Also, you're assuming she'll pass? response:	I'm not sure if that's thinking positively or negatively.
context: Exactly.\Komachi's too cute, so she's bound to be popular, right?\And then I'll have to start watching out for boys.\Above all, I have to make sure nobody finds out she has a useless brother like me.\Komachi's reputation depends on it.\That's what you're worried about?\Also, you're assuming she'll pass?\I'm not sure if that's thinking positively or negatively. response:	Did you make those, Yukinon?
context: Komachi's too cute, so she's bound to be popular, right?\And then I'll have to start watching out for boys.\Above all, I have to make sure nobody finds out she has a useless brother like me.\Komachi's reputation depends on it.\That's what you're worried about?\Also, you're assuming she'll pass?\I'm not sure if that's thinking positively or negatively.\Did you make those, Yukinon? response:	Y-Yes.
context: And then I'll have to start watching out for boys.\Above all, I have to make sure nobody finds out she has a useless brother like me.\Komachi's reputation depends on it.\That's what you're worried about?\Also, you're assuming she'll pass?\I'm not sure if that's thinking positively or negatively.\Did you make those, Yukinon?\Y-Yes. response:	I just made them last night...
context: Above all, I have to make sure nobody finds out she has a useless brother like me.\Komachi's reputation depends on it.\That's what you're worried about?\Also, you're assuming she'll pass?\I'm not sure if that's thinking positively or negatively.\Did you make those, Yukinon?\Y-Yes.\I just made them last night... response:	I see!
context: Komachi's reputation depends on it.\That's what you're worried about?\Also, you're assuming she'll pass?\I'm not sure if that's thinking positively or negatively.\Did you make those, Yukinon?\Y-Yes.\I just made them last night...\I see! response:	I've kinda been trying since then, too, but it's not going too well.
context: That's what you're worried about?\Also, you're assuming she'll pass?\I'm not sure if that's thinking positively or negatively.\Did you make those, Yukinon?\Y-Yes.\I just made them last night...\I see!\I've kinda been trying since then, too, but it's not going too well. response:	Here, if you'd like.
context: Also, you're assuming she'll pass?\I'm not sure if that's thinking positively or negatively.\Did you make those, Yukinon?\Y-Yes.\I just made them last night...\I see!\I've kinda been trying since then, too, but it's not going too well.\Here, if you'd like. response:	Thanks!
context: I'm not sure if that's thinking positively or negatively.\Did you make those, Yukinon?\Y-Yes.\I just made them last night...\I see!\I've kinda been trying since then, too, but it's not going too well.\Here, if you'd like.\Thanks! response:	Um... Just for me?
context: Did you make those, Yukinon?\Y-Yes.\I just made them last night...\I see!\I've kinda been trying since then, too, but it's not going too well.\Here, if you'd like.\Thanks!\Um... Just for me? response:	Why am I averting my eyes?
context: Y-Yes.\I just made them last night...\I see!\I've kinda been trying since then, too, but it's not going too well.\Here, if you'd like.\Thanks!\Um... Just for me?\Why am I averting my eyes? response:	What about Hikki's?
context: I just made them last night...\I see!\I've kinda been trying since then, too, but it's not going too well.\Here, if you'd like.\Thanks!\Um... Just for me?\Why am I averting my eyes?\What about Hikki's? response:	If you'd like...
context: I see!\I've kinda been trying since then, too, but it's not going too well.\Here, if you'd like.\Thanks!\Um... Just for me?\Why am I averting my eyes?\What about Hikki's?\If you'd like... response:	S-Sure...
context: I've kinda been trying since then, too, but it's not going too well.\Here, if you'd like.\Thanks!\Um... Just for me?\Why am I averting my eyes?\What about Hikki's?\If you'd like...\S-Sure... response:	My Teen Romantic Comedy SNAFU TOO!
context: Here, if you'd like.\Thanks!\Um... Just for me?\Why am I averting my eyes?\What about Hikki's?\If you'd like...\S-Sure...\My Teen Romantic Comedy SNAFU TOO! response:	Later.
context: Thanks!\Um... Just for me?\Why am I averting my eyes?\What about Hikki's?\If you'd like...\S-Sure...\My Teen Romantic Comedy SNAFU TOO!\Later. response:	Okay, see ya!
context: Um... Just for me?\Why am I averting my eyes?\What about Hikki's?\If you'd like...\S-Sure...\My Teen Romantic Comedy SNAFU TOO!\Later.\Okay, see ya! response:	Ah...
context: Why am I averting my eyes?\What about Hikki's?\If you'd like...\S-Sure...\My Teen Romantic Comedy SNAFU TOO!\Later.\Okay, see ya!\Ah... response:	Um...
context: What about Hikki's?\If you'd like...\S-Sure...\My Teen Romantic Comedy SNAFU TOO!\Later.\Okay, see ya!\Ah...\Um... response:	Uh... I'm gonna go on ahead.
context: If you'd like...\S-Sure...\My Teen Romantic Comedy SNAFU TOO!\Later.\Okay, see ya!\Ah...\Um...\Uh... I'm gonna go on ahead. response:	Uh...
context: S-Sure...\My Teen Romantic Comedy SNAFU TOO!\Later.\Okay, see ya!\Ah...\Um...\Uh... I'm gonna go on ahead.\Uh... response:	What should I do?
context: My Teen Romantic Comedy SNAFU TOO!\Later.\Okay, see ya!\Ah...\Um...\Uh... I'm gonna go on ahead.\Uh...\What should I do? response:	Yukino-chan, I'm here to pick you up.
context: Later.\Okay, see ya!\Ah...\Um...\Uh... I'm gonna go on ahead.\Uh...\What should I do?\Yukino-chan, I'm here to pick you up. response:	Nee-san...
context: Okay, see ya!\Ah...\Um...\Uh... I'm gonna go on ahead.\Uh...\What should I do?\Yukino-chan, I'm here to pick you up.\Nee-san... response:	I see no reason for you to pick me up.
context: Ah...\Um...\Uh... I'm gonna go on ahead.\Uh...\What should I do?\Yukino-chan, I'm here to pick you up.\Nee-san...\I see no reason for you to pick me up. response:	Mom told me to.
context: Um...\Uh... I'm gonna go on ahead.\Uh...\What should I do?\Yukino-chan, I'm here to pick you up.\Nee-san...\I see no reason for you to pick me up.\Mom told me to. response:	She said I should live with you for a while.
context: Uh... I'm gonna go on ahead.\Uh...\What should I do?\Yukino-chan, I'm here to pick you up.\Nee-san...\I see no reason for you to pick me up.\Mom told me to.\She said I should live with you for a while. response:	Why would she say that now?
context: Uh...\What should I do?\Yukino-chan, I'm here to pick you up.\Nee-san...\I see no reason for you to pick me up.\Mom told me to.\She said I should live with you for a while.\Why would she say that now? response:	I think you have an idea why.
context: What should I do?\Yukino-chan, I'm here to pick you up.\Nee-san...\I see no reason for you to pick me up.\Mom told me to.\She said I should live with you for a while.\Why would she say that now?\I think you have an idea why. response:	That's something for me to do myself.
context: Yukino-chan, I'm here to pick you up.\Nee-san...\I see no reason for you to pick me up.\Mom told me to.\She said I should live with you for a while.\Why would she say that now?\I think you have an idea why.\That's something for me to do myself. response:	It has nothing to do with you.
context: Nee-san...\I see no reason for you to pick me up.\Mom told me to.\She said I should live with you for a while.\Why would she say that now?\I think you have an idea why.\That's something for me to do myself.\It has nothing to do with you. response:	Do you even have your own self?
context: I see no reason for you to pick me up.\Mom told me to.\She said I should live with you for a while.\Why would she say that now?\I think you have an idea why.\That's something for me to do myself.\It has nothing to do with you.\Do you even have your own self? response:	I've watched you all this time to decide what should be done.
context: Mom told me to.\She said I should live with you for a while.\Why would she say that now?\I think you have an idea why.\That's something for me to do myself.\It has nothing to do with you.\Do you even have your own self?\I've watched you all this time to decide what should be done. response:	Can you really talk about your own ideas?
context: She said I should live with you for a while.\Why would she say that now?\I think you have an idea why.\That's something for me to do myself.\It has nothing to do with you.\Do you even have your own self?\I've watched you all this time to decide what should be done.\Can you really talk about your own ideas? response:	You've always been allowed to live as you please, haven't you?
context: Why would she say that now?\I think you have an idea why.\That's something for me to do myself.\It has nothing to do with you.\Do you even have your own self?\I've watched you all this time to decide what should be done.\Can you really talk about your own ideas?\You've always been allowed to live as you please, haven't you? response:	But you haven't made any decisions on your own.
context: I think you have an idea why.\That's something for me to do myself.\It has nothing to do with you.\Do you even have your own self?\I've watched you all this time to decide what should be done.\Can you really talk about your own ideas?\You've always been allowed to live as you please, haven't you?\But you haven't made any decisions on your own. response:	Even now, you don't know how to act, do you?
context: That's something for me to do myself.\It has nothing to do with you.\Do you even have your own self?\I've watched you all this time to decide what should be done.\Can you really talk about your own ideas?\You've always been allowed to live as you please, haven't you?\But you haven't made any decisions on your own.\Even now, you don't know how to act, do you? response:	What is it you want to do, Yukino-chan?
context: It has nothing to do with you.\Do you even have your own self?\I've watched you all this time to decide what should be done.\Can you really talk about your own ideas?\You've always been allowed to live as you please, haven't you?\But you haven't made any decisions on your own.\Even now, you don't know how to act, do you?\What is it you want to do, Yukino-chan? response:	If you sisters are going to fight, could you do it elsewhere?
context: Do you even have your own self?\I've watched you all this time to decide what should be done.\Can you really talk about your own ideas?\You've always been allowed to live as you please, haven't you?\But you haven't made any decisions on your own.\Even now, you don't know how to act, do you?\What is it you want to do, Yukino-chan?\If you sisters are going to fight, could you do it elsewhere? response:	This can't even be called a fight.
context: I've watched you all this time to decide what should be done.\Can you really talk about your own ideas?\You've always been allowed to live as you please, haven't you?\But you haven't made any decisions on your own.\Even now, you don't know how to act, do you?\What is it you want to do, Yukino-chan?\If you sisters are going to fight, could you do it elsewhere?\This can't even be called a fight. response:	We've never fought once, you know.
context: Can you really talk about your own ideas?\You've always been allowed to live as you please, haven't you?\But you haven't made any decisions on your own.\Even now, you don't know how to act, do you?\What is it you want to do, Yukino-chan?\If you sisters are going to fight, could you do it elsewhere?\This can't even be called a fight.\We've never fought once, you know. response:	Whatever it is, this isn't the place for it.
context: You've always been allowed to live as you please, haven't you?\But you haven't made any decisions on your own.\Even now, you don't know how to act, do you?\What is it you want to do, Yukino-chan?\If you sisters are going to fight, could you do it elsewhere?\This can't even be called a fight.\We've never fought once, you know.\Whatever it is, this isn't the place for it. response:	U-Um...
context: But you haven't made any decisions on your own.\Even now, you don't know how to act, do you?\What is it you want to do, Yukino-chan?\If you sisters are going to fight, could you do it elsewhere?\This can't even be called a fight.\We've never fought once, you know.\Whatever it is, this isn't the place for it.\U-Um... response:	We... We have thought on our own.
context: Even now, you don't know how to act, do you?\What is it you want to do, Yukino-chan?\If you sisters are going to fight, could you do it elsewhere?\This can't even be called a fight.\We've never fought once, you know.\Whatever it is, this isn't the place for it.\U-Um...\We... We have thought on our own. response:	Yukinon and I both have.
context: What is it you want to do, Yukino-chan?\If you sisters are going to fight, could you do it elsewhere?\This can't even be called a fight.\We've never fought once, you know.\Whatever it is, this isn't the place for it.\U-Um...\We... We have thought on our own.\Yukinon and I both have. response:	Oh?
context: If you sisters are going to fight, could you do it elsewhere?\This can't even be called a fight.\We've never fought once, you know.\Whatever it is, this isn't the place for it.\U-Um...\We... We have thought on our own.\Yukinon and I both have.\Oh? response:	Then tell me all about it when you get home.
context: This can't even be called a fight.\We've never fought once, you know.\Whatever it is, this isn't the place for it.\U-Um...\We... We have thought on our own.\Yukinon and I both have.\Oh?\Then tell me all about it when you get home. response:	You only have one home you can come back to, after all.
context: We've never fought once, you know.\Whatever it is, this isn't the place for it.\U-Um...\We... We have thought on our own.\Yukinon and I both have.\Oh?\Then tell me all about it when you get home.\You only have one home you can come back to, after all. response:	U-Um...
context: Whatever it is, this isn't the place for it.\U-Um...\We... We have thought on our own.\Yukinon and I both have.\Oh?\Then tell me all about it when you get home.\You only have one home you can come back to, after all.\U-Um... response:	Oh, I know!
context: U-Um...\We... We have thought on our own.\Yukinon and I both have.\Oh?\Then tell me all about it when you get home.\You only have one home you can come back to, after all.\U-Um...\Oh, I know! response:	Wanna come to my place?
context: We... We have thought on our own.\Yukinon and I both have.\Oh?\Then tell me all about it when you get home.\You only have one home you can come back to, after all.\U-Um...\Oh, I know!\Wanna come to my place? response:	She told me to come,
context: Yukinon and I both have.\Oh?\Then tell me all about it when you get home.\You only have one home you can come back to, after all.\U-Um...\Oh, I know!\Wanna come to my place?\She told me to come, response:	so I did, but now...
context: Oh?\Then tell me all about it when you get home.\You only have one home you can come back to, after all.\U-Um...\Oh, I know!\Wanna come to my place?\She told me to come,\so I did, but now... response:	I'm sorry to trouble you.
context: Then tell me all about it when you get home.\You only have one home you can come back to, after all.\U-Um...\Oh, I know!\Wanna come to my place?\She told me to come,\so I did, but now...\I'm sorry to trouble you. response:	Don't worry! It's no trouble!
context: You only have one home you can come back to, after all.\U-Um...\Oh, I know!\Wanna come to my place?\She told me to come,\so I did, but now...\I'm sorry to trouble you.\Don't worry! It's no trouble! response:	That's right! You don't have to worry at all!
context: U-Um...\Oh, I know!\Wanna come to my place?\She told me to come,\so I did, but now...\I'm sorry to trouble you.\Don't worry! It's no trouble!\That's right! You don't have to worry at all! response:	You're Hikki-kun, right?
context: Oh, I know!\Wanna come to my place?\She told me to come,\so I did, but now...\I'm sorry to trouble you.\Don't worry! It's no trouble!\That's right! You don't have to worry at all!\You're Hikki-kun, right? response:	Uh... Yeah...
context: Wanna come to my place?\She told me to come,\so I did, but now...\I'm sorry to trouble you.\Don't worry! It's no trouble!\That's right! You don't have to worry at all!\You're Hikki-kun, right?\Uh... Yeah... response:	Yui talks about you all the time.
context: She told me to come,\so I did, but now...\I'm sorry to trouble you.\Don't worry! It's no trouble!\That's right! You don't have to worry at all!\You're Hikki-kun, right?\Uh... Yeah...\Yui talks about you all the time. response:	Mom! You don't have to tell him that!
context: so I did, but now...\I'm sorry to trouble you.\Don't worry! It's no trouble!\That's right! You don't have to worry at all!\You're Hikki-kun, right?\Uh... Yeah...\Yui talks about you all the time.\Mom! You don't have to tell him that! response:	Aww, I want to talk to Hikki-kun, too!
context: I'm sorry to trouble you.\Don't worry! It's no trouble!\That's right! You don't have to worry at all!\You're Hikki-kun, right?\Uh... Yeah...\Yui talks about you all the time.\Mom! You don't have to tell him that!\Aww, I want to talk to Hikki-kun, too! response:	That's enough!
context: Don't worry! It's no trouble!\That's right! You don't have to worry at all!\You're Hikki-kun, right?\Uh... Yeah...\Yui talks about you all the time.\Mom! You don't have to tell him that!\Aww, I want to talk to Hikki-kun, too!\That's enough! response:	Oh, Yukinon-chan is spending the night, right?
context: That's right! You don't have to worry at all!\You're Hikki-kun, right?\Uh... Yeah...\Yui talks about you all the time.\Mom! You don't have to tell him that!\Aww, I want to talk to Hikki-kun, too!\That's enough!\Oh, Yukinon-chan is spending the night, right? response:	I'll have to get out a futon.
context: You're Hikki-kun, right?\Uh... Yeah...\Yui talks about you all the time.\Mom! You don't have to tell him that!\Aww, I want to talk to Hikki-kun, too!\That's enough!\Oh, Yukinon-chan is spending the night, right?\I'll have to get out a futon. response:	I'll handle that!
context: Uh... Yeah...\Yui talks about you all the time.\Mom! You don't have to tell him that!\Aww, I want to talk to Hikki-kun, too!\That's enough!\Oh, Yukinon-chan is spending the night, right?\I'll have to get out a futon.\I'll handle that! response:	Sorry about that.
context: Yui talks about you all the time.\Mom! You don't have to tell him that!\Aww, I want to talk to Hikki-kun, too!\That's enough!\Oh, Yukinon-chan is spending the night, right?\I'll have to get out a futon.\I'll handle that!\Sorry about that. response:	I guess Mom's a little too excited to have you here, Yukinon.
context: Mom! You don't have to tell him that!\Aww, I want to talk to Hikki-kun, too!\That's enough!\Oh, Yukinon-chan is spending the night, right?\I'll have to get out a futon.\I'll handle that!\Sorry about that.\I guess Mom's a little too excited to have you here, Yukinon. response:	How embarrassing...
context: Aww, I want to talk to Hikki-kun, too!\That's enough!\Oh, Yukinon-chan is spending the night, right?\I'll have to get out a futon.\I'll handle that!\Sorry about that.\I guess Mom's a little too excited to have you here, Yukinon.\How embarrassing... response:	Not at all.
context: That's enough!\Oh, Yukinon-chan is spending the night, right?\I'll have to get out a futon.\I'll handle that!\Sorry about that.\I guess Mom's a little too excited to have you here, Yukinon.\How embarrassing...\Not at all. response:	You two are very close. I'm a bit jealous.
context: Oh, Yukinon-chan is spending the night, right?\I'll have to get out a futon.\I'll handle that!\Sorry about that.\I guess Mom's a little too excited to have you here, Yukinon.\How embarrassing...\Not at all.\You two are very close. I'm a bit jealous. response:	With the mother and sister she has,
context: I'll have to get out a futon.\I'll handle that!\Sorry about that.\I guess Mom's a little too excited to have you here, Yukinon.\How embarrassing...\Not at all.\You two are very close. I'm a bit jealous.\With the mother and sister she has, response:	I think anyone would have trouble, Yukinoshita or otherwise.
context: I'll handle that!\Sorry about that.\I guess Mom's a little too excited to have you here, Yukinon.\How embarrassing...\Not at all.\You two are very close. I'm a bit jealous.\With the mother and sister she has,\I think anyone would have trouble, Yukinoshita or otherwise. response:	I'm sorry. That was an awkward thing to bring up.
context: Sorry about that.\I guess Mom's a little too excited to have you here, Yukinon.\How embarrassing...\Not at all.\You two are very close. I'm a bit jealous.\With the mother and sister she has,\I think anyone would have trouble, Yukinoshita or otherwise.\I'm sorry. That was an awkward thing to bring up. response:	I'll head home now.
context: I guess Mom's a little too excited to have you here, Yukinon.\How embarrassing...\Not at all.\You two are very close. I'm a bit jealous.\With the mother and sister she has,\I think anyone would have trouble, Yukinoshita or otherwise.\I'm sorry. That was an awkward thing to bring up.\I'll head home now. response:	Hey, about that...
context: How embarrassing...\Not at all.\You two are very close. I'm a bit jealous.\With the mother and sister she has,\I think anyone would have trouble, Yukinoshita or otherwise.\I'm sorry. That was an awkward thing to bring up.\I'll head home now.\Hey, about that... response:	Why don't you stay over?
context: Not at all.\You two are very close. I'm a bit jealous.\With the mother and sister she has,\I think anyone would have trouble, Yukinoshita or otherwise.\I'm sorry. That was an awkward thing to bring up.\I'll head home now.\Hey, about that...\Why don't you stay over? response:	But...
context: You two are very close. I'm a bit jealous.\With the mother and sister she has,\I think anyone would have trouble, Yukinoshita or otherwise.\I'm sorry. That was an awkward thing to bring up.\I'll head home now.\Hey, about that...\Why don't you stay over?\But... response:	You let me stay over all the time.
context: With the mother and sister she has,\I think anyone would have trouble, Yukinoshita or otherwise.\I'm sorry. That was an awkward thing to bring up.\I'll head home now.\Hey, about that...\Why don't you stay over?\But...\You let me stay over all the time. response:	And I know sometimes it's hard to go home.
context: I think anyone would have trouble, Yukinoshita or otherwise.\I'm sorry. That was an awkward thing to bring up.\I'll head home now.\Hey, about that...\Why don't you stay over?\But...\You let me stay over all the time.\And I know sometimes it's hard to go home. response:	Well, neither you nor your sister are thinking clearly right now.
context: I'm sorry. That was an awkward thing to bring up.\I'll head home now.\Hey, about that...\Why don't you stay over?\But...\You let me stay over all the time.\And I know sometimes it's hard to go home.\Well, neither you nor your sister are thinking clearly right now. response:	I don't see a problem with taking a night to think things over.
context: I'll head home now.\Hey, about that...\Why don't you stay over?\But...\You let me stay over all the time.\And I know sometimes it's hard to go home.\Well, neither you nor your sister are thinking clearly right now.\I don't see a problem with taking a night to think things over. response:	Just give them a call first.
context: Hey, about that...\Why don't you stay over?\But...\You let me stay over all the time.\And I know sometimes it's hard to go home.\Well, neither you nor your sister are thinking clearly right now.\I don't see a problem with taking a night to think things over.\Just give them a call first. response:	Yeah, I think that's a good idea.
context: Why don't you stay over?\But...\You let me stay over all the time.\And I know sometimes it's hard to go home.\Well, neither you nor your sister are thinking clearly right now.\I don't see a problem with taking a night to think things over.\Just give them a call first.\Yeah, I think that's a good idea. response:	Yes... You're right.
context: But...\You let me stay over all the time.\And I know sometimes it's hard to go home.\Well, neither you nor your sister are thinking clearly right now.\I don't see a problem with taking a night to think things over.\Just give them a call first.\Yeah, I think that's a good idea.\Yes... You're right. response:	Haruno
context: You let me stay over all the time.\And I know sometimes it's hard to go home.\Well, neither you nor your sister are thinking clearly right now.\I don't see a problem with taking a night to think things over.\Just give them a call first.\Yeah, I think that's a good idea.\Yes... You're right.\Haruno response:	Hello...
context: And I know sometimes it's hard to go home.\Well, neither you nor your sister are thinking clearly right now.\I don't see a problem with taking a night to think things over.\Just give them a call first.\Yeah, I think that's a good idea.\Yes... You're right.\Haruno\Hello... response:	Neither of us is thinking clearly right now.
context: Well, neither you nor your sister are thinking clearly right now.\I don't see a problem with taking a night to think things over.\Just give them a call first.\Yeah, I think that's a good idea.\Yes... You're right.\Haruno\Hello...\Neither of us is thinking clearly right now. response:	I'm going to take a night to think things over, and then I'll talk to you.
context: I don't see a problem with taking a night to think things over.\Just give them a call first.\Yeah, I think that's a good idea.\Yes... You're right.\Haruno\Hello...\Neither of us is thinking clearly right now.\I'm going to take a night to think things over, and then I'll talk to you. response:	I just called to let you know.
context: Just give them a call first.\Yeah, I think that's a good idea.\Yes... You're right.\Haruno\Hello...\Neither of us is thinking clearly right now.\I'm going to take a night to think things over, and then I'll talk to you.\I just called to let you know. response:	She just...
context: Yeah, I think that's a good idea.\Yes... You're right.\Haruno\Hello...\Neither of us is thinking clearly right now.\I'm going to take a night to think things over, and then I'll talk to you.\I just called to let you know.\She just... response:	Hmm... All right.
context: Yes... You're right.\Haruno\Hello...\Neither of us is thinking clearly right now.\I'm going to take a night to think things over, and then I'll talk to you.\I just called to let you know.\She just...\Hmm... All right. response:	Hikigaya-kun's there, isn't he?
context: Haruno\Hello...\Neither of us is thinking clearly right now.\I'm going to take a night to think things over, and then I'll talk to you.\I just called to let you know.\She just...\Hmm... All right.\Hikigaya-kun's there, isn't he? response:	Put him on.
context: Hello...\Neither of us is thinking clearly right now.\I'm going to take a night to think things over, and then I'll talk to you.\I just called to let you know.\She just...\Hmm... All right.\Hikigaya-kun's there, isn't he?\Put him on. response:	My sister wants to talk to you.
context: Neither of us is thinking clearly right now.\I'm going to take a night to think things over, and then I'll talk to you.\I just called to let you know.\She just...\Hmm... All right.\Hikigaya-kun's there, isn't he?\Put him on.\My sister wants to talk to you. response:	What is it?
context: I'm going to take a night to think things over, and then I'll talk to you.\I just called to let you know.\She just...\Hmm... All right.\Hikigaya-kun's there, isn't he?\Put him on.\My sister wants to talk to you.\What is it? response:	You're such a nice guy, Hikigaya-kun.
context: I just called to let you know.\She just...\Hmm... All right.\Hikigaya-kun's there, isn't he?\Put him on.\My sister wants to talk to you.\What is it?\You're such a nice guy, Hikigaya-kun. response:	Are you still awake?
context: She just...\Hmm... All right.\Hikigaya-kun's there, isn't he?\Put him on.\My sister wants to talk to you.\What is it?\You're such a nice guy, Hikigaya-kun.\Are you still awake? response:	Yes.
context: Hmm... All right.\Hikigaya-kun's there, isn't he?\Put him on.\My sister wants to talk to you.\What is it?\You're such a nice guy, Hikigaya-kun.\Are you still awake?\Yes. response:	What do you want to do, Yukinon?
context: Hikigaya-kun's there, isn't he?\Put him on.\My sister wants to talk to you.\What is it?\You're such a nice guy, Hikigaya-kun.\Are you still awake?\Yes.\What do you want to do, Yukinon? response:	I have something I want to do.
context: Put him on.\My sister wants to talk to you.\What is it?\You're such a nice guy, Hikigaya-kun.\Are you still awake?\Yes.\What do you want to do, Yukinon?\I have something I want to do. response:	I decided on it.
context: My sister wants to talk to you.\What is it?\You're such a nice guy, Hikigaya-kun.\Are you still awake?\Yes.\What do you want to do, Yukinon?\I have something I want to do.\I decided on it. response:	Tomorrow...
context: What is it?\You're such a nice guy, Hikigaya-kun.\Are you still awake?\Yes.\What do you want to do, Yukinon?\I have something I want to do.\I decided on it.\Tomorrow... response:	Want to go on a date?
context: You're such a nice guy, Hikigaya-kun.\Are you still awake?\Yes.\What do you want to do, Yukinon?\I have something I want to do.\I decided on it.\Tomorrow...\Want to go on a date? response:	Pardon?
context: Are you still awake?\Yes.\What do you want to do, Yukinon?\I have something I want to do.\I decided on it.\Tomorrow...\Want to go on a date?\Pardon? response:	Brr, it's cold...
context: Yes.\What do you want to do, Yukinon?\I have something I want to do.\I decided on it.\Tomorrow...\Want to go on a date?\Pardon?\Brr, it's cold... response:	Got your exam admission slip?
context: What do you want to do, Yukinon?\I have something I want to do.\I decided on it.\Tomorrow...\Want to go on a date?\Pardon?\Brr, it's cold...\Got your exam admission slip? response:	And your eraser and handkerchief?
context: I have something I want to do.\I decided on it.\Tomorrow...\Want to go on a date?\Pardon?\Brr, it's cold...\Got your exam admission slip?\And your eraser and handkerchief? response:	Spare pencil?
context: I decided on it.\Tomorrow...\Want to go on a date?\Pardon?\Brr, it's cold...\Got your exam admission slip?\And your eraser and handkerchief?\Spare pencil? response:	I'm all set!
context: Tomorrow...\Want to go on a date?\Pardon?\Brr, it's cold...\Got your exam admission slip?\And your eraser and handkerchief?\Spare pencil?\I'm all set! response:	I'm going now!
