context: How long are you gonna stay here, Dad? response:	I dunno. You'd be sad if I left, right, Sota?
context: I've already filled the bath. Feel free to jump in.\It'll be a while before dinner is ready.\Oh, no thank you.\You don't wanna bathe with me?\Huh? No, that's not it.\Really? Sweet, let's hop in!\-Aww, don't be shy, it'll be fun!\-Aww, c'mon. Don't be shy. -Aww, don't be shy, it'll be fun! response:	-U-Umm, sir, could I...? -Aww, don't be shy, it'll be fun!
context: It'll be a while before dinner is ready.\Oh, no thank you.\You don't wanna bathe with me?\Huh? No, that's not it.\Really? Sweet, let's hop in!\-Aww, don't be shy, it'll be fun!\-Aww, c'mon. Don't be shy. -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...? -Aww, don't be shy, it'll be fun! response:	-U-Umm, sir, could I...?
context: Oh, no thank you.\You don't wanna bathe with me?\Huh? No, that's not it.\Really? Sweet, let's hop in!\-Aww, don't be shy, it'll be fun!\-Aww, c'mon. Don't be shy. -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...? -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...? response:	K-Kyosuke-san! Please don't freak out!
context: You don't wanna bathe with me?\Huh? No, that's not it.\Really? Sweet, let's hop in!\-Aww, don't be shy, it'll be fun!\-Aww, c'mon. Don't be shy. -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...? -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...?\K-Kyosuke-san! Please don't freak out! response:	These aren't yakuza tattoos, I swear!
context: Huh? No, that's not it.\Really? Sweet, let's hop in!\-Aww, don't be shy, it'll be fun!\-Aww, c'mon. Don't be shy. -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...? -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...?\K-Kyosuke-san! Please don't freak out!\These aren't yakuza tattoos, I swear! response:	Oh, right.
context: Really? Sweet, let's hop in!\-Aww, don't be shy, it'll be fun!\-Aww, c'mon. Don't be shy. -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...? -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...?\K-Kyosuke-san! Please don't freak out!\These aren't yakuza tattoos, I swear!\Oh, right. response:	I know this is gonna be a dumb question,
context: -Aww, don't be shy, it'll be fun!\-Aww, c'mon. Don't be shy. -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...? -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...?\K-Kyosuke-san! Please don't freak out!\These aren't yakuza tattoos, I swear!\Oh, right.\I know this is gonna be a dumb question, response:	but these are disposable chopsticks, right?
context: -Aww, c'mon. Don't be shy. -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...? -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...?\K-Kyosuke-san! Please don't freak out!\These aren't yakuza tattoos, I swear!\Oh, right.\I know this is gonna be a dumb question,\but these are disposable chopsticks, right? response:	You ate dinner with them and you just noticed?
context: -U-Umm, sir, could I...? -Aww, don't be shy, it'll be fun!\-U-Umm, sir, could I...?\K-Kyosuke-san! Please don't freak out!\These aren't yakuza tattoos, I swear!\Oh, right.\I know this is gonna be a dumb question,\but these are disposable chopsticks, right?\You ate dinner with them and you just noticed? response:	But Miyamura-kun's got part of a matching set.
context: -U-Umm, sir, could I...?\K-Kyosuke-san! Please don't freak out!\These aren't yakuza tattoos, I swear!\Oh, right.\I know this is gonna be a dumb question,\but these are disposable chopsticks, right?\You ate dinner with them and you just noticed?\But Miyamura-kun's got part of a matching set. response:	I'm so sorry.
context: K-Kyosuke-san! Please don't freak out!\These aren't yakuza tattoos, I swear!\Oh, right.\I know this is gonna be a dumb question,\but these are disposable chopsticks, right?\You ate dinner with them and you just noticed?\But Miyamura-kun's got part of a matching set.\I'm so sorry. response:	Might as well just stay the night.
context: These aren't yakuza tattoos, I swear!\Oh, right.\I know this is gonna be a dumb question,\but these are disposable chopsticks, right?\You ate dinner with them and you just noticed?\But Miyamura-kun's got part of a matching set.\I'm so sorry.\Might as well just stay the night. response:	Huh?! Thanks for the offer, but I shouldn't...
context: Oh, right.\I know this is gonna be a dumb question,\but these are disposable chopsticks, right?\You ate dinner with them and you just noticed?\But Miyamura-kun's got part of a matching set.\I'm so sorry.\Might as well just stay the night.\Huh?! Thanks for the offer, but I shouldn't... response:	If Izumi-kun sleeps over, we won't have a futon for you, sweetheart!
context: I know this is gonna be a dumb question,\but these are disposable chopsticks, right?\You ate dinner with them and you just noticed?\But Miyamura-kun's got part of a matching set.\I'm so sorry.\Might as well just stay the night.\Huh?! Thanks for the offer, but I shouldn't...\If Izumi-kun sleeps over, we won't have a futon for you, sweetheart! response:	Why's it his?! And why does he get priority over me?!
context: but these are disposable chopsticks, right?\You ate dinner with them and you just noticed?\But Miyamura-kun's got part of a matching set.\I'm so sorry.\Might as well just stay the night.\Huh?! Thanks for the offer, but I shouldn't...\If Izumi-kun sleeps over, we won't have a futon for you, sweetheart!\Why's it his?! And why does he get priority over me?! response:	Are you gonna sleep over?!
context: You ate dinner with them and you just noticed?\But Miyamura-kun's got part of a matching set.\I'm so sorry.\Might as well just stay the night.\Huh?! Thanks for the offer, but I shouldn't...\If Izumi-kun sleeps over, we won't have a futon for you, sweetheart!\Why's it his?! And why does he get priority over me?!\Are you gonna sleep over?! response:	I wouldn't want to impose...
context: But Miyamura-kun's got part of a matching set.\I'm so sorry.\Might as well just stay the night.\Huh?! Thanks for the offer, but I shouldn't...\If Izumi-kun sleeps over, we won't have a futon for you, sweetheart!\Why's it his?! And why does he get priority over me?!\Are you gonna sleep over?!\I wouldn't want to impose... response:	Ooh, ooh! You can sleep in my room!
context: I'm so sorry.\Might as well just stay the night.\Huh?! Thanks for the offer, but I shouldn't...\If Izumi-kun sleeps over, we won't have a futon for you, sweetheart!\Why's it his?! And why does he get priority over me?!\Are you gonna sleep over?!\I wouldn't want to impose...\Ooh, ooh! You can sleep in my room! response:	No! Miyamura-kun's gonna sleep with Daddy!
context: Might as well just stay the night.\Huh?! Thanks for the offer, but I shouldn't...\If Izumi-kun sleeps over, we won't have a futon for you, sweetheart!\Why's it his?! And why does he get priority over me?!\Are you gonna sleep over?!\I wouldn't want to impose...\Ooh, ooh! You can sleep in my room!\No! Miyamura-kun's gonna sleep with Daddy! response:	Awww!
context: Huh?! Thanks for the offer, but I shouldn't...\If Izumi-kun sleeps over, we won't have a futon for you, sweetheart!\Why's it his?! And why does he get priority over me?!\Are you gonna sleep over?!\I wouldn't want to impose...\Ooh, ooh! You can sleep in my room!\No! Miyamura-kun's gonna sleep with Daddy!\Awww! response:	Mmkay, goodnight.
context: If Izumi-kun sleeps over, we won't have a futon for you, sweetheart!\Why's it his?! And why does he get priority over me?!\Are you gonna sleep over?!\I wouldn't want to impose...\Ooh, ooh! You can sleep in my room!\No! Miyamura-kun's gonna sleep with Daddy!\Awww!\Mmkay, goodnight. response:	Sorry you've gotta share a room with this old fart.
context: Why's it his?! And why does he get priority over me?!\Are you gonna sleep over?!\I wouldn't want to impose...\Ooh, ooh! You can sleep in my room!\No! Miyamura-kun's gonna sleep with Daddy!\Awww!\Mmkay, goodnight.\Sorry you've gotta share a room with this old fart. response:	It's all right.
context: Are you gonna sleep over?!\I wouldn't want to impose...\Ooh, ooh! You can sleep in my room!\No! Miyamura-kun's gonna sleep with Daddy!\Awww!\Mmkay, goodnight.\Sorry you've gotta share a room with this old fart.\It's all right. response:	Bet you wish you were in Kyoko's room.
context: I wouldn't want to impose...\Ooh, ooh! You can sleep in my room!\No! Miyamura-kun's gonna sleep with Daddy!\Awww!\Mmkay, goodnight.\Sorry you've gotta share a room with this old fart.\It's all right.\Bet you wish you were in Kyoko's room. response:	Oh, no, no, no!
context: Ooh, ooh! You can sleep in my room!\No! Miyamura-kun's gonna sleep with Daddy!\Awww!\Mmkay, goodnight.\Sorry you've gotta share a room with this old fart.\It's all right.\Bet you wish you were in Kyoko's room.\Oh, no, no, no! response:	So, Miyamura-kun. What do you like about my daughter?
context: No! Miyamura-kun's gonna sleep with Daddy!\Awww!\Mmkay, goodnight.\Sorry you've gotta share a room with this old fart.\It's all right.\Bet you wish you were in Kyoko's room.\Oh, no, no, no!\So, Miyamura-kun. What do you like about my daughter? response:	I like...
context: Awww!\Mmkay, goodnight.\Sorry you've gotta share a room with this old fart.\It's all right.\Bet you wish you were in Kyoko's room.\Oh, no, no, no!\So, Miyamura-kun. What do you like about my daughter?\I like... response:	K-Kyosuke-san?
context: Mmkay, goodnight.\Sorry you've gotta share a room with this old fart.\It's all right.\Bet you wish you were in Kyoko's room.\Oh, no, no, no!\So, Miyamura-kun. What do you like about my daughter?\I like...\K-Kyosuke-san? response:	He passed out!
context: Sorry you've gotta share a room with this old fart.\It's all right.\Bet you wish you were in Kyoko's room.\Oh, no, no, no!\So, Miyamura-kun. What do you like about my daughter?\I like...\K-Kyosuke-san?\He passed out! response:	Horimiya
context: It's all right.\Bet you wish you were in Kyoko's room.\Oh, no, no, no!\So, Miyamura-kun. What do you like about my daughter?\I like...\K-Kyosuke-san?\He passed out!\Horimiya response:	This Summer's Going to Be a Hot One
context: Bet you wish you were in Kyoko's room.\Oh, no, no, no!\So, Miyamura-kun. What do you like about my daughter?\I like...\K-Kyosuke-san?\He passed out!\Horimiya\This Summer's Going to Be a Hot One response:	This Summer's Going to Be a Hot One
context: Oh, no, no, no!\So, Miyamura-kun. What do you like about my daughter?\I like...\K-Kyosuke-san?\He passed out!\Horimiya\This Summer's Going to Be a Hot One\This Summer's Going to Be a Hot One response:	Feels like I barely got any sleep.
context: So, Miyamura-kun. What do you like about my daughter?\I like...\K-Kyosuke-san?\He passed out!\Horimiya\This Summer's Going to Be a Hot One\This Summer's Going to Be a Hot One\Feels like I barely got any sleep. response:	Feels like I barely got any sleep.
context: I like...\K-Kyosuke-san?\He passed out!\Horimiya\This Summer's Going to Be a Hot One\This Summer's Going to Be a Hot One\Feels like I barely got any sleep.\Feels like I barely got any sleep. response:	Morning.
context: K-Kyosuke-san?\He passed out!\Horimiya\This Summer's Going to Be a Hot One\This Summer's Going to Be a Hot One\Feels like I barely got any sleep.\Feels like I barely got any sleep.\Morning. response:	Hey, g'morning.
context: He passed out!\Horimiya\This Summer's Going to Be a Hot One\This Summer's Going to Be a Hot One\Feels like I barely got any sleep.\Feels like I barely got any sleep.\Morning.\Hey, g'morning. response:	She's wearing her middle-school gym clothes.
context: Horimiya\This Summer's Going to Be a Hot One\This Summer's Going to Be a Hot One\Feels like I barely got any sleep.\Feels like I barely got any sleep.\Morning.\Hey, g'morning.\She's wearing her middle-school gym clothes. response:	See you later!
context: This Summer's Going to Be a Hot One\This Summer's Going to Be a Hot One\Feels like I barely got any sleep.\Feels like I barely got any sleep.\Morning.\Hey, g'morning.\She's wearing her middle-school gym clothes.\See you later! response:	Have a good day at school!
context: This Summer's Going to Be a Hot One\Feels like I barely got any sleep.\Feels like I barely got any sleep.\Morning.\Hey, g'morning.\She's wearing her middle-school gym clothes.\See you later!\Have a good day at school! response:	Want me to walk you there?
context: Feels like I barely got any sleep.\Feels like I barely got any sleep.\Morning.\Hey, g'morning.\She's wearing her middle-school gym clothes.\See you later!\Have a good day at school!\Want me to walk you there? response:	Follow me and you're dead.
context: Feels like I barely got any sleep.\Morning.\Hey, g'morning.\She's wearing her middle-school gym clothes.\See you later!\Have a good day at school!\Want me to walk you there?\Follow me and you're dead. response:	See you later!
context: Morning.\Hey, g'morning.\She's wearing her middle-school gym clothes.\See you later!\Have a good day at school!\Want me to walk you there?\Follow me and you're dead.\See you later! response:	Thank you again.
context: Hey, g'morning.\She's wearing her middle-school gym clothes.\See you later!\Have a good day at school!\Want me to walk you there?\Follow me and you're dead.\See you later!\Thank you again. response:	Izumi-kun.
context: She's wearing her middle-school gym clothes.\See you later!\Have a good day at school!\Want me to walk you there?\Follow me and you're dead.\See you later!\Thank you again.\Izumi-kun. response:	When you leave home in the morning, you should say see you later.
context: See you later!\Have a good day at school!\Want me to walk you there?\Follow me and you're dead.\See you later!\Thank you again.\Izumi-kun.\When you leave home in the morning, you should say see you later. response:	S-See you later!
context: Have a good day at school!\Want me to walk you there?\Follow me and you're dead.\See you later!\Thank you again.\Izumi-kun.\When you leave home in the morning, you should say see you later.\S-See you later! response:	I hope we do.
context: Want me to walk you there?\Follow me and you're dead.\See you later!\Thank you again.\Izumi-kun.\When you leave home in the morning, you should say see you later.\S-See you later!\I hope we do. response:	Hold up... Did they just come out of the same house?
context: Follow me and you're dead.\See you later!\Thank you again.\Izumi-kun.\When you leave home in the morning, you should say see you later.\S-See you later!\I hope we do.\Hold up... Did they just come out of the same house? response:	Holy shit, Hori from Class 1?! I thought she was single!
context: See you later!\Thank you again.\Izumi-kun.\When you leave home in the morning, you should say see you later.\S-See you later!\I hope we do.\Hold up... Did they just come out of the same house?\Holy shit, Hori from Class 1?! I thought she was single! response:	Hori? You have elective with her, right?
context: Thank you again.\Izumi-kun.\When you leave home in the morning, you should say see you later.\S-See you later!\I hope we do.\Hold up... Did they just come out of the same house?\Holy shit, Hori from Class 1?! I thought she was single!\Hori? You have elective with her, right? response:	She's super smart, and pretty cute, too.
context: Izumi-kun.\When you leave home in the morning, you should say see you later.\S-See you later!\I hope we do.\Hold up... Did they just come out of the same house?\Holy shit, Hori from Class 1?! I thought she was single!\Hori? You have elective with her, right?\She's super smart, and pretty cute, too. response:	Yeah?
context: When you leave home in the morning, you should say see you later.\S-See you later!\I hope we do.\Hold up... Did they just come out of the same house?\Holy shit, Hori from Class 1?! I thought she was single!\Hori? You have elective with her, right?\She's super smart, and pretty cute, too.\Yeah? response:	Why the hell is she dating Miyamura?
context: S-See you later!\I hope we do.\Hold up... Did they just come out of the same house?\Holy shit, Hori from Class 1?! I thought she was single!\Hori? You have elective with her, right?\She's super smart, and pretty cute, too.\Yeah?\Why the hell is she dating Miyamura? response:	It's crazy! Hell, I'd be a way better match for her!
context: I hope we do.\Hold up... Did they just come out of the same house?\Holy shit, Hori from Class 1?! I thought she was single!\Hori? You have elective with her, right?\She's super smart, and pretty cute, too.\Yeah?\Why the hell is she dating Miyamura?\It's crazy! Hell, I'd be a way better match for her! response:	I hear Hori-san's dating Miyamura-kun!
context: Hold up... Did they just come out of the same house?\Holy shit, Hori from Class 1?! I thought she was single!\Hori? You have elective with her, right?\She's super smart, and pretty cute, too.\Yeah?\Why the hell is she dating Miyamura?\It's crazy! Hell, I'd be a way better match for her!\I hear Hori-san's dating Miyamura-kun! response:	For real?!
context: Holy shit, Hori from Class 1?! I thought she was single!\Hori? You have elective with her, right?\She's super smart, and pretty cute, too.\Yeah?\Why the hell is she dating Miyamura?\It's crazy! Hell, I'd be a way better match for her!\I hear Hori-san's dating Miyamura-kun!\For real?! response:	That emo-looking guy?! Oh my God, what's wrong with her?!
context: Hori? You have elective with her, right?\She's super smart, and pretty cute, too.\Yeah?\Why the hell is she dating Miyamura?\It's crazy! Hell, I'd be a way better match for her!\I hear Hori-san's dating Miyamura-kun!\For real?!\That emo-looking guy?! Oh my God, what's wrong with her?! response:	Talk about terrible taste!
context: She's super smart, and pretty cute, too.\Yeah?\Why the hell is she dating Miyamura?\It's crazy! Hell, I'd be a way better match for her!\I hear Hori-san's dating Miyamura-kun!\For real?!\That emo-looking guy?! Oh my God, what's wrong with her?!\Talk about terrible taste! response:	They're all talking shit about them behind their backs!
context: Yeah?\Why the hell is she dating Miyamura?\It's crazy! Hell, I'd be a way better match for her!\I hear Hori-san's dating Miyamura-kun!\For real?!\That emo-looking guy?! Oh my God, what's wrong with her?!\Talk about terrible taste!\They're all talking shit about them behind their backs! response:	And they're probably hearing it, too.
context: Why the hell is she dating Miyamura?\It's crazy! Hell, I'd be a way better match for her!\I hear Hori-san's dating Miyamura-kun!\For real?!\That emo-looking guy?! Oh my God, what's wrong with her?!\Talk about terrible taste!\They're all talking shit about them behind their backs!\And they're probably hearing it, too. response:	Well, yeah! They were yapping about it in the same damn room!
context: It's crazy! Hell, I'd be a way better match for her!\I hear Hori-san's dating Miyamura-kun!\For real?!\That emo-looking guy?! Oh my God, what's wrong with her?!\Talk about terrible taste!\They're all talking shit about them behind their backs!\And they're probably hearing it, too.\Well, yeah! They were yapping about it in the same damn room! response:	Even people from other classes are joining in on it, too. Assholes!
context: I hear Hori-san's dating Miyamura-kun!\For real?!\That emo-looking guy?! Oh my God, what's wrong with her?!\Talk about terrible taste!\They're all talking shit about them behind their backs!\And they're probably hearing it, too.\Well, yeah! They were yapping about it in the same damn room!\Even people from other classes are joining in on it, too. Assholes! response:	I know. Just when Miyamura had finally gotten there...
context: For real?!\That emo-looking guy?! Oh my God, what's wrong with her?!\Talk about terrible taste!\They're all talking shit about them behind their backs!\And they're probably hearing it, too.\Well, yeah! They were yapping about it in the same damn room!\Even people from other classes are joining in on it, too. Assholes!\I know. Just when Miyamura had finally gotten there... response:	What?! Why are you crying, Yoshikawa?!
context: That emo-looking guy?! Oh my God, what's wrong with her?!\Talk about terrible taste!\They're all talking shit about them behind their backs!\And they're probably hearing it, too.\Well, yeah! They were yapping about it in the same damn room!\Even people from other classes are joining in on it, too. Assholes!\I know. Just when Miyamura had finally gotten there...\What?! Why are you crying, Yoshikawa?! response:	There, there, it's okay.
context: Talk about terrible taste!\They're all talking shit about them behind their backs!\And they're probably hearing it, too.\Well, yeah! They were yapping about it in the same damn room!\Even people from other classes are joining in on it, too. Assholes!\I know. Just when Miyamura had finally gotten there...\What?! Why are you crying, Yoshikawa?!\There, there, it's okay. response:	Hey, Hori. Are you really dating Miyamura?
context: They're all talking shit about them behind their backs!\And they're probably hearing it, too.\Well, yeah! They were yapping about it in the same damn room!\Even people from other classes are joining in on it, too. Assholes!\I know. Just when Miyamura had finally gotten there...\What?! Why are you crying, Yoshikawa?!\There, there, it's okay.\Hey, Hori. Are you really dating Miyamura? response:	Yeah, why?
context: And they're probably hearing it, too.\Well, yeah! They were yapping about it in the same damn room!\Even people from other classes are joining in on it, too. Assholes!\I know. Just when Miyamura had finally gotten there...\What?! Why are you crying, Yoshikawa?!\There, there, it's okay.\Hey, Hori. Are you really dating Miyamura?\Yeah, why? response:	No way! Bet all the guys you rejected are crying about that right now!
context: Well, yeah! They were yapping about it in the same damn room!\Even people from other classes are joining in on it, too. Assholes!\I know. Just when Miyamura had finally gotten there...\What?! Why are you crying, Yoshikawa?!\There, there, it's okay.\Hey, Hori. Are you really dating Miyamura?\Yeah, why?\No way! Bet all the guys you rejected are crying about that right now! response:	I didn't turn down that many, you know.
context: Even people from other classes are joining in on it, too. Assholes!\I know. Just when Miyamura had finally gotten there...\What?! Why are you crying, Yoshikawa?!\There, there, it's okay.\Hey, Hori. Are you really dating Miyamura?\Yeah, why?\No way! Bet all the guys you rejected are crying about that right now!\I didn't turn down that many, you know. response:	C'mon, don't get all humble on us, Hori-san.
context: I know. Just when Miyamura had finally gotten there...\What?! Why are you crying, Yoshikawa?!\There, there, it's okay.\Hey, Hori. Are you really dating Miyamura?\Yeah, why?\No way! Bet all the guys you rejected are crying about that right now!\I didn't turn down that many, you know.\C'mon, don't get all humble on us, Hori-san. response:	Don't pay attention to them, Miyamura. They're all idiots.
context: What?! Why are you crying, Yoshikawa?!\There, there, it's okay.\Hey, Hori. Are you really dating Miyamura?\Yeah, why?\No way! Bet all the guys you rejected are crying about that right now!\I didn't turn down that many, you know.\C'mon, don't get all humble on us, Hori-san.\Don't pay attention to them, Miyamura. They're all idiots. response:	I told Hori this, too, but keep your chin up!
context: There, there, it's okay.\Hey, Hori. Are you really dating Miyamura?\Yeah, why?\No way! Bet all the guys you rejected are crying about that right now!\I didn't turn down that many, you know.\C'mon, don't get all humble on us, Hori-san.\Don't pay attention to them, Miyamura. They're all idiots.\I told Hori this, too, but keep your chin up! response:	It's fine, Miyamura. I don't really care.
context: Hey, Hori. Are you really dating Miyamura?\Yeah, why?\No way! Bet all the guys you rejected are crying about that right now!\I didn't turn down that many, you know.\C'mon, don't get all humble on us, Hori-san.\Don't pay attention to them, Miyamura. They're all idiots.\I told Hori this, too, but keep your chin up!\It's fine, Miyamura. I don't really care. response:	Aww, where's your hubby?
