context: The Deucalion? Why would they... response:	They had no choice but to make a frontal assault?
context: Control to Mustang Platoon, do you copy?\Lt. Marito!\Amifumi?\Is the Deucalion okay? Is everyone on the bridge okay?\What about Nina and Calm? Are they okay?\Somehow.\Well, maybe We're all okay isn't quite honest...\This might be more of a Don't worry, go on without us! kind of situation. response:	Inko, sorry...
context: Lt. Marito!\Amifumi?\Is the Deucalion okay? Is everyone on the bridge okay?\What about Nina and Calm? Are they okay?\Somehow.\Well, maybe We're all okay isn't quite honest...\This might be more of a Don't worry, go on without us! kind of situation.\Inko, sorry... response:	Warrant Officer Kaizuka... Princess 1, continue your mission.
context: Amifumi?\Is the Deucalion okay? Is everyone on the bridge okay?\What about Nina and Calm? Are they okay?\Somehow.\Well, maybe We're all okay isn't quite honest...\This might be more of a Don't worry, go on without us! kind of situation.\Inko, sorry...\Warrant Officer Kaizuka... Princess 1, continue your mission. response:	Can you do that?
context: Is the Deucalion okay? Is everyone on the bridge okay?\What about Nina and Calm? Are they okay?\Somehow.\Well, maybe We're all okay isn't quite honest...\This might be more of a Don't worry, go on without us! kind of situation.\Inko, sorry...\Warrant Officer Kaizuka... Princess 1, continue your mission.\Can you do that? response:	Yes, ma'am!
context: What about Nina and Calm? Are they okay?\Somehow.\Well, maybe We're all okay isn't quite honest...\This might be more of a Don't worry, go on without us! kind of situation.\Inko, sorry...\Warrant Officer Kaizuka... Princess 1, continue your mission.\Can you do that?\Yes, ma'am! response:	Amifumi. Kaizuka Junior. I want you to cover Warrant Officer Kaizuka.
context: Somehow.\Well, maybe We're all okay isn't quite honest...\This might be more of a Don't worry, go on without us! kind of situation.\Inko, sorry...\Warrant Officer Kaizuka... Princess 1, continue your mission.\Can you do that?\Yes, ma'am!\Amifumi. Kaizuka Junior. I want you to cover Warrant Officer Kaizuka. response:	Acknowledged.
context: Well, maybe We're all okay isn't quite honest...\This might be more of a Don't worry, go on without us! kind of situation.\Inko, sorry...\Warrant Officer Kaizuka... Princess 1, continue your mission.\Can you do that?\Yes, ma'am!\Amifumi. Kaizuka Junior. I want you to cover Warrant Officer Kaizuka.\Acknowledged. response:	Roger that.
context: This might be more of a Don't worry, go on without us! kind of situation.\Inko, sorry...\Warrant Officer Kaizuka... Princess 1, continue your mission.\Can you do that?\Yes, ma'am!\Amifumi. Kaizuka Junior. I want you to cover Warrant Officer Kaizuka.\Acknowledged.\Roger that. response:	Warrant Officer Kaizuka taking over as pilot. Princess 1, continuing mission.
context: Inko, sorry...\Warrant Officer Kaizuka... Princess 1, continue your mission.\Can you do that?\Yes, ma'am!\Amifumi. Kaizuka Junior. I want you to cover Warrant Officer Kaizuka.\Acknowledged.\Roger that.\Warrant Officer Kaizuka taking over as pilot. Princess 1, continuing mission. response:	Kick their asses for us!
context: Warrant Officer Kaizuka... Princess 1, continue your mission.\Can you do that?\Yes, ma'am!\Amifumi. Kaizuka Junior. I want you to cover Warrant Officer Kaizuka.\Acknowledged.\Roger that.\Warrant Officer Kaizuka taking over as pilot. Princess 1, continuing mission.\Kick their asses for us! response:	Mustang 22, roger!
context: Can you do that?\Yes, ma'am!\Amifumi. Kaizuka Junior. I want you to cover Warrant Officer Kaizuka.\Acknowledged.\Roger that.\Warrant Officer Kaizuka taking over as pilot. Princess 1, continuing mission.\Kick their asses for us!\Mustang 22, roger! response:	You awake?
context: Yes, ma'am!\Amifumi. Kaizuka Junior. I want you to cover Warrant Officer Kaizuka.\Acknowledged.\Roger that.\Warrant Officer Kaizuka taking over as pilot. Princess 1, continuing mission.\Kick their asses for us!\Mustang 22, roger!\You awake? response:	This is going to get a little rough. Hold on tight, Highness.
context: Amifumi. Kaizuka Junior. I want you to cover Warrant Officer Kaizuka.\Acknowledged.\Roger that.\Warrant Officer Kaizuka taking over as pilot. Princess 1, continuing mission.\Kick their asses for us!\Mustang 22, roger!\You awake?\This is going to get a little rough. Hold on tight, Highness. response:	You are... Inaho's older sister?
context: Acknowledged.\Roger that.\Warrant Officer Kaizuka taking over as pilot. Princess 1, continuing mission.\Kick their asses for us!\Mustang 22, roger!\You awake?\This is going to get a little rough. Hold on tight, Highness.\You are... Inaho's older sister? response:	You didn't seem to be hurt, but if I missed something, speak up.
context: Roger that.\Warrant Officer Kaizuka taking over as pilot. Princess 1, continuing mission.\Kick their asses for us!\Mustang 22, roger!\You awake?\This is going to get a little rough. Hold on tight, Highness.\You are... Inaho's older sister?\You didn't seem to be hurt, but if I missed something, speak up. response:	Why...?
context: Warrant Officer Kaizuka taking over as pilot. Princess 1, continuing mission.\Kick their asses for us!\Mustang 22, roger!\You awake?\This is going to get a little rough. Hold on tight, Highness.\You are... Inaho's older sister?\You didn't seem to be hurt, but if I missed something, speak up.\Why...? response:	You hate us... Don't you?
context: Kick their asses for us!\Mustang 22, roger!\You awake?\This is going to get a little rough. Hold on tight, Highness.\You are... Inaho's older sister?\You didn't seem to be hurt, but if I missed something, speak up.\Why...?\You hate us... Don't you? response:	The Versians who did this to Earth and took so many lives...
context: Mustang 22, roger!\You awake?\This is going to get a little rough. Hold on tight, Highness.\You are... Inaho's older sister?\You didn't seem to be hurt, but if I missed something, speak up.\Why...?\You hate us... Don't you?\The Versians who did this to Earth and took so many lives... response:	You hate us, don't you?
context: You awake?\This is going to get a little rough. Hold on tight, Highness.\You are... Inaho's older sister?\You didn't seem to be hurt, but if I missed something, speak up.\Why...?\You hate us... Don't you?\The Versians who did this to Earth and took so many lives...\You hate us, don't you? response:	Seylum.
context: This is going to get a little rough. Hold on tight, Highness.\You are... Inaho's older sister?\You didn't seem to be hurt, but if I missed something, speak up.\Why...?\You hate us... Don't you?\The Versians who did this to Earth and took so many lives...\You hate us, don't you?\Seylum. response:	What does it take to end a war?
context: You are... Inaho's older sister?\You didn't seem to be hurt, but if I missed something, speak up.\Why...?\You hate us... Don't you?\The Versians who did this to Earth and took so many lives...\You hate us, don't you?\Seylum.\What does it take to end a war? response:	Do you know?
context: You didn't seem to be hurt, but if I missed something, speak up.\Why...?\You hate us... Don't you?\The Versians who did this to Earth and took so many lives...\You hate us, don't you?\Seylum.\What does it take to end a war?\Do you know? response:	Well, if both sides wish for peace and set aside their hatred...
context: Why...?\You hate us... Don't you?\The Versians who did this to Earth and took so many lives...\You hate us, don't you?\Seylum.\What does it take to end a war?\Do you know?\Well, if both sides wish for peace and set aside their hatred... response:	No.
context: You hate us... Don't you?\The Versians who did this to Earth and took so many lives...\You hate us, don't you?\Seylum.\What does it take to end a war?\Do you know?\Well, if both sides wish for peace and set aside their hatred...\No. response:	Warfare is nothing but a means of negotiation between states.
context: The Versians who did this to Earth and took so many lives...\You hate us, don't you?\Seylum.\What does it take to end a war?\Do you know?\Well, if both sides wish for peace and set aside their hatred...\No.\Warfare is nothing but a means of negotiation between states. response:	Wars break out even when there is no hatred.
context: You hate us, don't you?\Seylum.\What does it take to end a war?\Do you know?\Well, if both sides wish for peace and set aside their hatred...\No.\Warfare is nothing but a means of negotiation between states.\Wars break out even when there is no hatred. response:	Territory, resources, or interests that you are determined to own.
context: Seylum.\What does it take to end a war?\Do you know?\Well, if both sides wish for peace and set aside their hatred...\No.\Warfare is nothing but a means of negotiation between states.\Wars break out even when there is no hatred.\Territory, resources, or interests that you are determined to own. response:	Ideology, religion, pride.
context: What does it take to end a war?\Do you know?\Well, if both sides wish for peace and set aside their hatred...\No.\Warfare is nothing but a means of negotiation between states.\Wars break out even when there is no hatred.\Territory, resources, or interests that you are determined to own.\Ideology, religion, pride. response:	Wars are fought over those objectives all the time.
context: Do you know?\Well, if both sides wish for peace and set aside their hatred...\No.\Warfare is nothing but a means of negotiation between states.\Wars break out even when there is no hatred.\Territory, resources, or interests that you are determined to own.\Ideology, religion, pride.\Wars are fought over those objectives all the time. response:	Meaning that when those objectives are met, the war will end.
context: Well, if both sides wish for peace and set aside their hatred...\No.\Warfare is nothing but a means of negotiation between states.\Wars break out even when there is no hatred.\Territory, resources, or interests that you are determined to own.\Ideology, religion, pride.\Wars are fought over those objectives all the time.\Meaning that when those objectives are met, the war will end. response:	That, or...
context: No.\Warfare is nothing but a means of negotiation between states.\Wars break out even when there is no hatred.\Territory, resources, or interests that you are determined to own.\Ideology, religion, pride.\Wars are fought over those objectives all the time.\Meaning that when those objectives are met, the war will end.\That, or... response:	Anger and hatred, those are nothing more than tools to tilt a war in your favor.
context: Warfare is nothing but a means of negotiation between states.\Wars break out even when there is no hatred.\Territory, resources, or interests that you are determined to own.\Ideology, religion, pride.\Wars are fought over those objectives all the time.\Meaning that when those objectives are met, the war will end.\That, or...\Anger and hatred, those are nothing more than tools to tilt a war in your favor. response:	I'm not interested in those emotions.
context: Wars break out even when there is no hatred.\Territory, resources, or interests that you are determined to own.\Ideology, religion, pride.\Wars are fought over those objectives all the time.\Meaning that when those objectives are met, the war will end.\That, or...\Anger and hatred, those are nothing more than tools to tilt a war in your favor.\I'm not interested in those emotions. response:	Inaho...
context: Territory, resources, or interests that you are determined to own.\Ideology, religion, pride.\Wars are fought over those objectives all the time.\Meaning that when those objectives are met, the war will end.\That, or...\Anger and hatred, those are nothing more than tools to tilt a war in your favor.\I'm not interested in those emotions.\Inaho... response:	So I wouldn't hate anyone just because they're Martian.
context: Ideology, religion, pride.\Wars are fought over those objectives all the time.\Meaning that when those objectives are met, the war will end.\That, or...\Anger and hatred, those are nothing more than tools to tilt a war in your favor.\I'm not interested in those emotions.\Inaho...\So I wouldn't hate anyone just because they're Martian. response:	Oh? I would gladly hate a Terran for that fact alone.
context: Wars are fought over those objectives all the time.\Meaning that when those objectives are met, the war will end.\That, or...\Anger and hatred, those are nothing more than tools to tilt a war in your favor.\I'm not interested in those emotions.\Inaho...\So I wouldn't hate anyone just because they're Martian.\Oh? I would gladly hate a Terran for that fact alone. response:	All units, scatter!
context: Meaning that when those objectives are met, the war will end.\That, or...\Anger and hatred, those are nothing more than tools to tilt a war in your favor.\I'm not interested in those emotions.\Inaho...\So I wouldn't hate anyone just because they're Martian.\Oh? I would gladly hate a Terran for that fact alone.\All units, scatter! response:	Saazbaum of the Vers Orbital Knights' 37 Clans has arrived.
context: That, or...\Anger and hatred, those are nothing more than tools to tilt a war in your favor.\I'm not interested in those emotions.\Inaho...\So I wouldn't hate anyone just because they're Martian.\Oh? I would gladly hate a Terran for that fact alone.\All units, scatter!\Saazbaum of the Vers Orbital Knights' 37 Clans has arrived. response:	Please make your peace, Your Highness.
context: Anger and hatred, those are nothing more than tools to tilt a war in your favor.\I'm not interested in those emotions.\Inaho...\So I wouldn't hate anyone just because they're Martian.\Oh? I would gladly hate a Terran for that fact alone.\All units, scatter!\Saazbaum of the Vers Orbital Knights' 37 Clans has arrived.\Please make your peace, Your Highness. response:	Count Saazbaum? It was you?!
context: I'm not interested in those emotions.\Inaho...\So I wouldn't hate anyone just because they're Martian.\Oh? I would gladly hate a Terran for that fact alone.\All units, scatter!\Saazbaum of the Vers Orbital Knights' 37 Clans has arrived.\Please make your peace, Your Highness.\Count Saazbaum? It was you?! response:	How did he tap our encrypted comms?
context: Inaho...\So I wouldn't hate anyone just because they're Martian.\Oh? I would gladly hate a Terran for that fact alone.\All units, scatter!\Saazbaum of the Vers Orbital Knights' 37 Clans has arrived.\Please make your peace, Your Highness.\Count Saazbaum? It was you?!\How did he tap our encrypted comms? response:	All units, restrict further communications to laser comms!
context: So I wouldn't hate anyone just because they're Martian.\Oh? I would gladly hate a Terran for that fact alone.\All units, scatter!\Saazbaum of the Vers Orbital Knights' 37 Clans has arrived.\Please make your peace, Your Highness.\Count Saazbaum? It was you?!\How did he tap our encrypted comms?\All units, restrict further communications to laser comms! response:	Yuki.
context: Oh? I would gladly hate a Terran for that fact alone.\All units, scatter!\Saazbaum of the Vers Orbital Knights' 37 Clans has arrived.\Please make your peace, Your Highness.\Count Saazbaum? It was you?!\How did he tap our encrypted comms?\All units, restrict further communications to laser comms!\Yuki. response:	Continue the mission. Inko, you provide support for Yuki.
context: All units, scatter!\Saazbaum of the Vers Orbital Knights' 37 Clans has arrived.\Please make your peace, Your Highness.\Count Saazbaum? It was you?!\How did he tap our encrypted comms?\All units, restrict further communications to laser comms!\Yuki.\Continue the mission. Inko, you provide support for Yuki. response:	I'll hold him off.
context: Saazbaum of the Vers Orbital Knights' 37 Clans has arrived.\Please make your peace, Your Highness.\Count Saazbaum? It was you?!\How did he tap our encrypted comms?\All units, restrict further communications to laser comms!\Yuki.\Continue the mission. Inko, you provide support for Yuki.\I'll hold him off. response:	Don't be stupid! You don't know what his combat capability is!
context: Please make your peace, Your Highness.\Count Saazbaum? It was you?!\How did he tap our encrypted comms?\All units, restrict further communications to laser comms!\Yuki.\Continue the mission. Inko, you provide support for Yuki.\I'll hold him off.\Don't be stupid! You don't know what his combat capability is! response:	You can't win alone!
context: Count Saazbaum? It was you?!\How did he tap our encrypted comms?\All units, restrict further communications to laser comms!\Yuki.\Continue the mission. Inko, you provide support for Yuki.\I'll hold him off.\Don't be stupid! You don't know what his combat capability is!\You can't win alone! response:	I don't need to win. I only need to slow him down.
context: How did he tap our encrypted comms?\All units, restrict further communications to laser comms!\Yuki.\Continue the mission. Inko, you provide support for Yuki.\I'll hold him off.\Don't be stupid! You don't know what his combat capability is!\You can't win alone!\I don't need to win. I only need to slow him down. response:	Inaho...!
context: All units, restrict further communications to laser comms!\Yuki.\Continue the mission. Inko, you provide support for Yuki.\I'll hold him off.\Don't be stupid! You don't know what his combat capability is!\You can't win alone!\I don't need to win. I only need to slow him down.\Inaho...! response:	You aren't planning to act as a human shield, are you?
context: Yuki.\Continue the mission. Inko, you provide support for Yuki.\I'll hold him off.\Don't be stupid! You don't know what his combat capability is!\You can't win alone!\I don't need to win. I only need to slow him down.\Inaho...!\You aren't planning to act as a human shield, are you? response:	That's an ineffective means of buying time. Go, hurry.
context: Continue the mission. Inko, you provide support for Yuki.\I'll hold him off.\Don't be stupid! You don't know what his combat capability is!\You can't win alone!\I don't need to win. I only need to slow him down.\Inaho...!\You aren't planning to act as a human shield, are you?\That's an ineffective means of buying time. Go, hurry. response:	Inaho...
context: I'll hold him off.\Don't be stupid! You don't know what his combat capability is!\You can't win alone!\I don't need to win. I only need to slow him down.\Inaho...!\You aren't planning to act as a human shield, are you?\That's an ineffective means of buying time. Go, hurry.\Inaho... response:	Good hunting.
context: Don't be stupid! You don't know what his combat capability is!\You can't win alone!\I don't need to win. I only need to slow him down.\Inaho...!\You aren't planning to act as a human shield, are you?\That's an ineffective means of buying time. Go, hurry.\Inaho...\Good hunting. response:	Thanks.
context: You can't win alone!\I don't need to win. I only need to slow him down.\Inaho...!\You aren't planning to act as a human shield, are you?\That's an ineffective means of buying time. Go, hurry.\Inaho...\Good hunting.\Thanks. response:	Let's go!
context: I don't need to win. I only need to slow him down.\Inaho...!\You aren't planning to act as a human shield, are you?\That's an ineffective means of buying time. Go, hurry.\Inaho...\Good hunting.\Thanks.\Let's go! response:	Yes, ma'am!
context: Inaho...!\You aren't planning to act as a human shield, are you?\That's an ineffective means of buying time. Go, hurry.\Inaho...\Good hunting.\Thanks.\Let's go!\Yes, ma'am! response:	Inaho!
context: You aren't planning to act as a human shield, are you?\That's an ineffective means of buying time. Go, hurry.\Inaho...\Good hunting.\Thanks.\Let's go!\Yes, ma'am!\Inaho! response:	I like your reckless courage, warrior of Earth.
context: That's an ineffective means of buying time. Go, hurry.\Inaho...\Good hunting.\Thanks.\Let's go!\Yes, ma'am!\Inaho!\I like your reckless courage, warrior of Earth. response:	But you will have no mercy from me!
context: Inaho...\Good hunting.\Thanks.\Let's go!\Yes, ma'am!\Inaho!\I like your reckless courage, warrior of Earth.\But you will have no mercy from me! response:	Decoys confuse guided missiles. But unguided rockets are unaffected.
context: Good hunting.\Thanks.\Let's go!\Yes, ma'am!\Inaho!\I like your reckless courage, warrior of Earth.\But you will have no mercy from me!\Decoys confuse guided missiles. But unguided rockets are unaffected. response:	Mustang 11, path secured.
context: Thanks.\Let's go!\Yes, ma'am!\Inaho!\I like your reckless courage, warrior of Earth.\But you will have no mercy from me!\Decoys confuse guided missiles. But unguided rockets are unaffected.\Mustang 11, path secured. response:	Don't get too full of yourself, Terran!
context: Let's go!\Yes, ma'am!\Inaho!\I like your reckless courage, warrior of Earth.\But you will have no mercy from me!\Decoys confuse guided missiles. But unguided rockets are unaffected.\Mustang 11, path secured.\Don't get too full of yourself, Terran! response:	Light of Aldnoah!
context: Yes, ma'am!\Inaho!\I like your reckless courage, warrior of Earth.\But you will have no mercy from me!\Decoys confuse guided missiles. But unguided rockets are unaffected.\Mustang 11, path secured.\Don't get too full of yourself, Terran!\Light of Aldnoah! response:	What?
context: Inaho!\I like your reckless courage, warrior of Earth.\But you will have no mercy from me!\Decoys confuse guided missiles. But unguided rockets are unaffected.\Mustang 11, path secured.\Don't get too full of yourself, Terran!\Light of Aldnoah!\What? response:	Milady...
context: I like your reckless courage, warrior of Earth.\But you will have no mercy from me!\Decoys confuse guided missiles. But unguided rockets are unaffected.\Mustang 11, path secured.\Don't get too full of yourself, Terran!\Light of Aldnoah!\What?\Milady... response:	Give me your strength!
context: But you will have no mercy from me!\Decoys confuse guided missiles. But unguided rockets are unaffected.\Mustang 11, path secured.\Don't get too full of yourself, Terran!\Light of Aldnoah!\What?\Milady...\Give me your strength! response:	Behold...
context: Decoys confuse guided missiles. But unguided rockets are unaffected.\Mustang 11, path secured.\Don't get too full of yourself, Terran!\Light of Aldnoah!\What?\Milady...\Give me your strength!\Behold... response:	My rounds, they're...
context: Mustang 11, path secured.\Don't get too full of yourself, Terran!\Light of Aldnoah!\What?\Milady...\Give me your strength!\Behold...\My rounds, they're... response:	Dimensional barrier, activated!
context: Don't get too full of yourself, Terran!\Light of Aldnoah!\What?\Milady...\Give me your strength!\Behold...\My rounds, they're...\Dimensional barrier, activated! response:	Energy joints, linked. Field generator, active.
context: Light of Aldnoah!\What?\Milady...\Give me your strength!\Behold...\My rounds, they're...\Dimensional barrier, activated!\Energy joints, linked. Field generator, active. response:	Blade field, engaged.
context: What?\Milady...\Give me your strength!\Behold...\My rounds, they're...\Dimensional barrier, activated!\Energy joints, linked. Field generator, active.\Blade field, engaged. response:	Sword drawn.
context: Milady...\Give me your strength!\Behold...\My rounds, they're...\Dimensional barrier, activated!\Energy joints, linked. Field generator, active.\Blade field, engaged.\Sword drawn. response:	That weapon, it's...
context: Give me your strength!\Behold...\My rounds, they're...\Dimensional barrier, activated!\Energy joints, linked. Field generator, active.\Blade field, engaged.\Sword drawn.\That weapon, it's... response:	Is the princess on that ship? No...
context: Behold...\My rounds, they're...\Dimensional barrier, activated!\Energy joints, linked. Field generator, active.\Blade field, engaged.\Sword drawn.\That weapon, it's...\Is the princess on that ship? No... response:	This is Oldenburg Leader.
context: My rounds, they're...\Dimensional barrier, activated!\Energy joints, linked. Field generator, active.\Blade field, engaged.\Sword drawn.\That weapon, it's...\Is the princess on that ship? No...\This is Oldenburg Leader. response:	Stand by for assist, Mustang 22.
context: Dimensional barrier, activated!\Energy joints, linked. Field generator, active.\Blade field, engaged.\Sword drawn.\That weapon, it's...\Is the princess on that ship? No...\This is Oldenburg Leader.\Stand by for assist, Mustang 22. response:	No! Fall back!
context: Energy joints, linked. Field generator, active.\Blade field, engaged.\Sword drawn.\That weapon, it's...\Is the princess on that ship? No...\This is Oldenburg Leader.\Stand by for assist, Mustang 22.\No! Fall back! response:	Fools.
context: Blade field, engaged.\Sword drawn.\That weapon, it's...\Is the princess on that ship? No...\This is Oldenburg Leader.\Stand by for assist, Mustang 22.\No! Fall back!\Fools. response:	Fly, my servant!
context: Sword drawn.\That weapon, it's...\Is the princess on that ship? No...\This is Oldenburg Leader.\Stand by for assist, Mustang 22.\No! Fall back!\Fools.\Fly, my servant! response:	Count...
context: That weapon, it's...\Is the princess on that ship? No...\This is Oldenburg Leader.\Stand by for assist, Mustang 22.\No! Fall back!\Fools.\Fly, my servant!\Count... response:	Surrender, Martian! Put your hands above your head!
context: Is the princess on that ship? No...\This is Oldenburg Leader.\Stand by for assist, Mustang 22.\No! Fall back!\Fools.\Fly, my servant!\Count...\Surrender, Martian! Put your hands above your head! response:	Come on!
context: This is Oldenburg Leader.\Stand by for assist, Mustang 22.\No! Fall back!\Fools.\Fly, my servant!\Count...\Surrender, Martian! Put your hands above your head!\Come on! response:	Terran forces have entered the castle! We need to shore up our defenses!
context: Stand by for assist, Mustang 22.\No! Fall back!\Fools.\Fly, my servant!\Count...\Surrender, Martian! Put your hands above your head!\Come on!\Terran forces have entered the castle! We need to shore up our defenses! response:	You saved me?
context: No! Fall back!\Fools.\Fly, my servant!\Count...\Surrender, Martian! Put your hands above your head!\Come on!\Terran forces have entered the castle! We need to shore up our defenses!\You saved me? response:	Even though I'm a Terran?
context: Fools.\Fly, my servant!\Count...\Surrender, Martian! Put your hands above your head!\Come on!\Terran forces have entered the castle! We need to shore up our defenses!\You saved me?\Even though I'm a Terran? response:	Who are you fighting against?!
context: Fly, my servant!\Count...\Surrender, Martian! Put your hands above your head!\Come on!\Terran forces have entered the castle! We need to shore up our defenses!\You saved me?\Even though I'm a Terran?\Who are you fighting against?! response:	Who were you pointing your gun at?!
context: Count...\Surrender, Martian! Put your hands above your head!\Come on!\Terran forces have entered the castle! We need to shore up our defenses!\You saved me?\Even though I'm a Terran?\Who are you fighting against?!\Who were you pointing your gun at?! response:	I don't see anyone here who turned his gun on his own!
context: Surrender, Martian! Put your hands above your head!\Come on!\Terran forces have entered the castle! We need to shore up our defenses!\You saved me?\Even though I'm a Terran?\Who are you fighting against?!\Who were you pointing your gun at?!\I don't see anyone here who turned his gun on his own! response:	So stop asking stupid questions!
context: Come on!\Terran forces have entered the castle! We need to shore up our defenses!\You saved me?\Even though I'm a Terran?\Who are you fighting against?!\Who were you pointing your gun at?!\I don't see anyone here who turned his gun on his own!\So stop asking stupid questions! response:	Damn, one of'em got in...
context: Terran forces have entered the castle! We need to shore up our defenses!\You saved me?\Even though I'm a Terran?\Who are you fighting against?!\Who were you pointing your gun at?!\I don't see anyone here who turned his gun on his own!\So stop asking stupid questions!\Damn, one of'em got in... response:	It's powering up! Contact the Kataphrakt platoon inside the castle!
context: You saved me?\Even though I'm a Terran?\Who are you fighting against?!\Who were you pointing your gun at?!\I don't see anyone here who turned his gun on his own!\So stop asking stupid questions!\Damn, one of'em got in...\It's powering up! Contact the Kataphrakt platoon inside the castle! response:	Auxiliary power system, start. Will it work?
context: Even though I'm a Terran?\Who are you fighting against?!\Who were you pointing your gun at?!\I don't see anyone here who turned his gun on his own!\So stop asking stupid questions!\Damn, one of'em got in...\It's powering up! Contact the Kataphrakt platoon inside the castle!\Auxiliary power system, start. Will it work? response:	No luck, huh? Its Aldnoah drive is shut down.
context: Who are you fighting against?!\Who were you pointing your gun at?!\I don't see anyone here who turned his gun on his own!\So stop asking stupid questions!\Damn, one of'em got in...\It's powering up! Contact the Kataphrakt platoon inside the castle!\Auxiliary power system, start. Will it work?\No luck, huh? Its Aldnoah drive is shut down. response:	It will never move again without someone who has been granted activation rights.
context: Who were you pointing your gun at?!\I don't see anyone here who turned his gun on his own!\So stop asking stupid questions!\Damn, one of'em got in...\It's powering up! Contact the Kataphrakt platoon inside the castle!\Auxiliary power system, start. Will it work?\No luck, huh? Its Aldnoah drive is shut down.\It will never move again without someone who has been granted activation rights. response:	What do I do?
context: I don't see anyone here who turned his gun on his own!\So stop asking stupid questions!\Damn, one of'em got in...\It's powering up! Contact the Kataphrakt platoon inside the castle!\Auxiliary power system, start. Will it work?\No luck, huh? Its Aldnoah drive is shut down.\It will never move again without someone who has been granted activation rights.\What do I do? response:	It- The Aldnoah drive powered up?
context: So stop asking stupid questions!\Damn, one of'em got in...\It's powering up! Contact the Kataphrakt platoon inside the castle!\Auxiliary power system, start. Will it work?\No luck, huh? Its Aldnoah drive is shut down.\It will never move again without someone who has been granted activation rights.\What do I do?\It- The Aldnoah drive powered up? response:	But how?
context: Damn, one of'em got in...\It's powering up! Contact the Kataphrakt platoon inside the castle!\Auxiliary power system, start. Will it work?\No luck, huh? Its Aldnoah drive is shut down.\It will never move again without someone who has been granted activation rights.\What do I do?\It- The Aldnoah drive powered up?\But how? response:	I really wish they'd give it a rest with those things!
context: It's powering up! Contact the Kataphrakt platoon inside the castle!\Auxiliary power system, start. Will it work?\No luck, huh? Its Aldnoah drive is shut down.\It will never move again without someone who has been granted activation rights.\What do I do?\It- The Aldnoah drive powered up?\But how?\I really wish they'd give it a rest with those things! response:	There is an inspection passageway.
context: Auxiliary power system, start. Will it work?\No luck, huh? Its Aldnoah drive is shut down.\It will never move again without someone who has been granted activation rights.\What do I do?\It- The Aldnoah drive powered up?\But how?\I really wish they'd give it a rest with those things!\There is an inspection passageway. response:	It is a detour. It will take us to the Aldnoah chamber.
context: No luck, huh? Its Aldnoah drive is shut down.\It will never move again without someone who has been granted activation rights.\What do I do?\It- The Aldnoah drive powered up?\But how?\I really wish they'd give it a rest with those things!\There is an inspection passageway.\It is a detour. It will take us to the Aldnoah chamber. response:	It is not designed for equipment access, so we will have to
