context: - Ryuko! response:	Are you all right?!
context: He used me as a springboard?!\Let's go, Ryuko!\Life Fiber Synchronize!\EPISODE 22 TELL ME HOW YOU FEEL\Harime!\She's cowing Harime through sheer intimidation, eh?\You stay put right there.\Aw, but I'd tailored Junketsu just for you! response:	I won't let you wear that lame getup!
context: Let's go, Ryuko!\Life Fiber Synchronize!\EPISODE 22 TELL ME HOW YOU FEEL\Harime!\She's cowing Harime through sheer intimidation, eh?\You stay put right there.\Aw, but I'd tailored Junketsu just for you!\I won't let you wear that lame getup! response:	Quit while you're ahead. I'm never taking Senketsu off.
context: Life Fiber Synchronize!\EPISODE 22 TELL ME HOW YOU FEEL\Harime!\She's cowing Harime through sheer intimidation, eh?\You stay put right there.\Aw, but I'd tailored Junketsu just for you!\I won't let you wear that lame getup!\Quit while you're ahead. I'm never taking Senketsu off. response:	Mako and Satsuki's blood is flowing through Senketsu now.
context: EPISODE 22 TELL ME HOW YOU FEEL\Harime!\She's cowing Harime through sheer intimidation, eh?\You stay put right there.\Aw, but I'd tailored Junketsu just for you!\I won't let you wear that lame getup!\Quit while you're ahead. I'm never taking Senketsu off.\Mako and Satsuki's blood is flowing through Senketsu now. response:	He's way warmer and feels better on me than that monster, Junketsu!
context: Harime!\She's cowing Harime through sheer intimidation, eh?\You stay put right there.\Aw, but I'd tailored Junketsu just for you!\I won't let you wear that lame getup!\Quit while you're ahead. I'm never taking Senketsu off.\Mako and Satsuki's blood is flowing through Senketsu now.\He's way warmer and feels better on me than that monster, Junketsu! response:	- Ryuko! Thank you for saying that!
context: She's cowing Harime through sheer intimidation, eh?\You stay put right there.\Aw, but I'd tailored Junketsu just for you!\I won't let you wear that lame getup!\Quit while you're ahead. I'm never taking Senketsu off.\Mako and Satsuki's blood is flowing through Senketsu now.\He's way warmer and feels better on me than that monster, Junketsu!\- Ryuko! Thank you for saying that! response:	Dummy, clothes don't cry!
context: You stay put right there.\Aw, but I'd tailored Junketsu just for you!\I won't let you wear that lame getup!\Quit while you're ahead. I'm never taking Senketsu off.\Mako and Satsuki's blood is flowing through Senketsu now.\He's way warmer and feels better on me than that monster, Junketsu!\- Ryuko! Thank you for saying that!\Dummy, clothes don't cry! response:	You're getting all damp and gross! You were so comfy, damn it!
context: Aw, but I'd tailored Junketsu just for you!\I won't let you wear that lame getup!\Quit while you're ahead. I'm never taking Senketsu off.\Mako and Satsuki's blood is flowing through Senketsu now.\He's way warmer and feels better on me than that monster, Junketsu!\- Ryuko! Thank you for saying that!\Dummy, clothes don't cry!\You're getting all damp and gross! You were so comfy, damn it! response:	I'm so sorry!
context: I won't let you wear that lame getup!\Quit while you're ahead. I'm never taking Senketsu off.\Mako and Satsuki's blood is flowing through Senketsu now.\He's way warmer and feels better on me than that monster, Junketsu!\- Ryuko! Thank you for saying that!\Dummy, clothes don't cry!\You're getting all damp and gross! You were so comfy, damn it!\I'm so sorry! response:	What's with this friends garbage? It's so gross I'm gonna barf!
context: Quit while you're ahead. I'm never taking Senketsu off.\Mako and Satsuki's blood is flowing through Senketsu now.\He's way warmer and feels better on me than that monster, Junketsu!\- Ryuko! Thank you for saying that!\Dummy, clothes don't cry!\You're getting all damp and gross! You were so comfy, damn it!\I'm so sorry!\What's with this friends garbage? It's so gross I'm gonna barf! response:	Don't talk crap about it!
context: Mako and Satsuki's blood is flowing through Senketsu now.\He's way warmer and feels better on me than that monster, Junketsu!\- Ryuko! Thank you for saying that!\Dummy, clothes don't cry!\You're getting all damp and gross! You were so comfy, damn it!\I'm so sorry!\What's with this friends garbage? It's so gross I'm gonna barf!\Don't talk crap about it! response:	The word friends don't come close to covering it!
context: He's way warmer and feels better on me than that monster, Junketsu!\- Ryuko! Thank you for saying that!\Dummy, clothes don't cry!\You're getting all damp and gross! You were so comfy, damn it!\I'm so sorry!\What's with this friends garbage? It's so gross I'm gonna barf!\Don't talk crap about it!\The word friends don't come close to covering it! response:	They're something more, something I can't explain!
context: - Ryuko! Thank you for saying that!\Dummy, clothes don't cry!\You're getting all damp and gross! You were so comfy, damn it!\I'm so sorry!\What's with this friends garbage? It's so gross I'm gonna barf!\Don't talk crap about it!\The word friends don't come close to covering it!\They're something more, something I can't explain! response:	That's what Mako Mankanshoku and Senketsu are to me!
context: Dummy, clothes don't cry!\You're getting all damp and gross! You were so comfy, damn it!\I'm so sorry!\What's with this friends garbage? It's so gross I'm gonna barf!\Don't talk crap about it!\The word friends don't come close to covering it!\They're something more, something I can't explain!\That's what Mako Mankanshoku and Senketsu are to me! response:	What, me?!
context: You're getting all damp and gross! You were so comfy, damn it!\I'm so sorry!\What's with this friends garbage? It's so gross I'm gonna barf!\Don't talk crap about it!\The word friends don't come close to covering it!\They're something more, something I can't explain!\That's what Mako Mankanshoku and Senketsu are to me!\What, me?! response:	Yeah, you. I can't tell if you're weak or strong!
context: I'm so sorry!\What's with this friends garbage? It's so gross I'm gonna barf!\Don't talk crap about it!\The word friends don't come close to covering it!\They're something more, something I can't explain!\That's what Mako Mankanshoku and Senketsu are to me!\What, me?!\Yeah, you. I can't tell if you're weak or strong! response:	Like a woman who barges into your heart when you're not looking!
context: What's with this friends garbage? It's so gross I'm gonna barf!\Don't talk crap about it!\The word friends don't come close to covering it!\They're something more, something I can't explain!\That's what Mako Mankanshoku and Senketsu are to me!\What, me?!\Yeah, you. I can't tell if you're weak or strong!\Like a woman who barges into your heart when you're not looking! response:	Or someone who cries, laughs and genuinely
context: Don't talk crap about it!\The word friends don't come close to covering it!\They're something more, something I can't explain!\That's what Mako Mankanshoku and Senketsu are to me!\What, me?!\Yeah, you. I can't tell if you're weak or strong!\Like a woman who barges into your heart when you're not looking!\Or someone who cries, laughs and genuinely response:	worries about me even though he's clothing!
context: The word friends don't come close to covering it!\They're something more, something I can't explain!\That's what Mako Mankanshoku and Senketsu are to me!\What, me?!\Yeah, you. I can't tell if you're weak or strong!\Like a woman who barges into your heart when you're not looking!\Or someone who cries, laughs and genuinely\worries about me even though he's clothing! response:	Bat-crap crazy people like that try their damndest to help me!
context: They're something more, something I can't explain!\That's what Mako Mankanshoku and Senketsu are to me!\What, me?!\Yeah, you. I can't tell if you're weak or strong!\Like a woman who barges into your heart when you're not looking!\Or someone who cries, laughs and genuinely\worries about me even though he's clothing!\Bat-crap crazy people like that try their damndest to help me! response:	And I have to live up to that craziness!
context: That's what Mako Mankanshoku and Senketsu are to me!\What, me?!\Yeah, you. I can't tell if you're weak or strong!\Like a woman who barges into your heart when you're not looking!\Or someone who cries, laughs and genuinely\worries about me even though he's clothing!\Bat-crap crazy people like that try their damndest to help me!\And I have to live up to that craziness! response:	You people only see one thing.
context: What, me?!\Yeah, you. I can't tell if you're weak or strong!\Like a woman who barges into your heart when you're not looking!\Or someone who cries, laughs and genuinely\worries about me even though he's clothing!\Bat-crap crazy people like that try their damndest to help me!\And I have to live up to that craziness!\You people only see one thing. response:	To make it so the whole world is cut from the same cloth Life Fibers.
context: Yeah, you. I can't tell if you're weak or strong!\Like a woman who barges into your heart when you're not looking!\Or someone who cries, laughs and genuinely\worries about me even though he's clothing!\Bat-crap crazy people like that try their damndest to help me!\And I have to live up to that craziness!\You people only see one thing.\To make it so the whole world is cut from the same cloth Life Fibers. response:	But you see, I'm never gonna let that happen.
context: Like a woman who barges into your heart when you're not looking!\Or someone who cries, laughs and genuinely\worries about me even though he's clothing!\Bat-crap crazy people like that try their damndest to help me!\And I have to live up to that craziness!\You people only see one thing.\To make it so the whole world is cut from the same cloth Life Fibers.\But you see, I'm never gonna let that happen. response:	The world's better off having bat-crap crazy people wandering around it!
context: Or someone who cries, laughs and genuinely\worries about me even though he's clothing!\Bat-crap crazy people like that try their damndest to help me!\And I have to live up to that craziness!\You people only see one thing.\To make it so the whole world is cut from the same cloth Life Fibers.\But you see, I'm never gonna let that happen.\The world's better off having bat-crap crazy people wandering around it! response:	I didn't understand a word of that, but you're so totally right, Ryuko!
context: worries about me even though he's clothing!\Bat-crap crazy people like that try their damndest to help me!\And I have to live up to that craziness!\You people only see one thing.\To make it so the whole world is cut from the same cloth Life Fibers.\But you see, I'm never gonna let that happen.\The world's better off having bat-crap crazy people wandering around it!\I didn't understand a word of that, but you're so totally right, Ryuko! response:	If you don't understand, hush!
context: Bat-crap crazy people like that try their damndest to help me!\And I have to live up to that craziness!\You people only see one thing.\To make it so the whole world is cut from the same cloth Life Fibers.\But you see, I'm never gonna let that happen.\The world's better off having bat-crap crazy people wandering around it!\I didn't understand a word of that, but you're so totally right, Ryuko!\If you don't understand, hush! response:	Darn it, that's why I hate humans!
context: And I have to live up to that craziness!\You people only see one thing.\To make it so the whole world is cut from the same cloth Life Fibers.\But you see, I'm never gonna let that happen.\The world's better off having bat-crap crazy people wandering around it!\I didn't understand a word of that, but you're so totally right, Ryuko!\If you don't understand, hush!\Darn it, that's why I hate humans! response:	If that's how you want it, go ahead and die without being understood ever!
context: You people only see one thing.\To make it so the whole world is cut from the same cloth Life Fibers.\But you see, I'm never gonna let that happen.\The world's better off having bat-crap crazy people wandering around it!\I didn't understand a word of that, but you're so totally right, Ryuko!\If you don't understand, hush!\Darn it, that's why I hate humans!\If that's how you want it, go ahead and die without being understood ever! response:	Dad's Scissor Blade... I finally have it back!
context: To make it so the whole world is cut from the same cloth Life Fibers.\But you see, I'm never gonna let that happen.\The world's better off having bat-crap crazy people wandering around it!\I didn't understand a word of that, but you're so totally right, Ryuko!\If you don't understand, hush!\Darn it, that's why I hate humans!\If that's how you want it, go ahead and die without being understood ever!\Dad's Scissor Blade... I finally have it back! response:	In that case, maybe I'll make the people you're trying to protect attack you!
context: But you see, I'm never gonna let that happen.\The world's better off having bat-crap crazy people wandering around it!\I didn't understand a word of that, but you're so totally right, Ryuko!\If you don't understand, hush!\Darn it, that's why I hate humans!\If that's how you want it, go ahead and die without being understood ever!\Dad's Scissor Blade... I finally have it back!\In that case, maybe I'll make the people you're trying to protect attack you! response:	Have a taste of Mind Stitching!
context: The world's better off having bat-crap crazy people wandering around it!\I didn't understand a word of that, but you're so totally right, Ryuko!\If you don't understand, hush!\Darn it, that's why I hate humans!\If that's how you want it, go ahead and die without being understood ever!\Dad's Scissor Blade... I finally have it back!\In that case, maybe I'll make the people you're trying to protect attack you!\Have a taste of Mind Stitching! response:	It's no use!
context: I didn't understand a word of that, but you're so totally right, Ryuko!\If you don't understand, hush!\Darn it, that's why I hate humans!\If that's how you want it, go ahead and die without being understood ever!\Dad's Scissor Blade... I finally have it back!\In that case, maybe I'll make the people you're trying to protect attack you!\Have a taste of Mind Stitching!\It's no use! response:	Oops, sorry about that! That was a decoy!
context: If you don't understand, hush!\Darn it, that's why I hate humans!\If that's how you want it, go ahead and die without being understood ever!\Dad's Scissor Blade... I finally have it back!\In that case, maybe I'll make the people you're trying to protect attack you!\Have a taste of Mind Stitching!\It's no use!\Oops, sorry about that! That was a decoy! response:	It's all over, Ryuko!
context: Darn it, that's why I hate humans!\If that's how you want it, go ahead and die without being understood ever!\Dad's Scissor Blade... I finally have it back!\In that case, maybe I'll make the people you're trying to protect attack you!\Have a taste of Mind Stitching!\It's no use!\Oops, sorry about that! That was a decoy!\It's all over, Ryuko! response:	Yeah, for you.
context: If that's how you want it, go ahead and die without being understood ever!\Dad's Scissor Blade... I finally have it back!\In that case, maybe I'll make the people you're trying to protect attack you!\Have a taste of Mind Stitching!\It's no use!\Oops, sorry about that! That was a decoy!\It's all over, Ryuko!\Yeah, for you. response:	MY ARMS!
context: Dad's Scissor Blade... I finally have it back!\In that case, maybe I'll make the people you're trying to protect attack you!\Have a taste of Mind Stitching!\It's no use!\Oops, sorry about that! That was a decoy!\It's all over, Ryuko!\Yeah, for you.\MY ARMS! response:	My arms, my arms, my arms, my arms, my arms, my arms, my arms!
context: In that case, maybe I'll make the people you're trying to protect attack you!\Have a taste of Mind Stitching!\It's no use!\Oops, sorry about that! That was a decoy!\It's all over, Ryuko!\Yeah, for you.\MY ARMS!\My arms, my arms, my arms, my arms, my arms, my arms, my arms! response:	MY ARMS!
context: Have a taste of Mind Stitching!\It's no use!\Oops, sorry about that! That was a decoy!\It's all over, Ryuko!\Yeah, for you.\MY ARMS!\My arms, my arms, my arms, my arms, my arms, my arms, my arms!\MY ARMS! response:	Do you have any idea how valuable my arms are?!
context: It's no use!\Oops, sorry about that! That was a decoy!\It's all over, Ryuko!\Yeah, for you.\MY ARMS!\My arms, my arms, my arms, my arms, my arms, my arms, my arms!\MY ARMS!\Do you have any idea how valuable my arms are?! response:	They're the arms of the Grand Couturier!
context: Oops, sorry about that! That was a decoy!\It's all over, Ryuko!\Yeah, for you.\MY ARMS!\My arms, my arms, my arms, my arms, my arms, my arms, my arms!\MY ARMS!\Do you have any idea how valuable my arms are?!\They're the arms of the Grand Couturier! response:	That's why I chopped'em off.
context: It's all over, Ryuko!\Yeah, for you.\MY ARMS!\My arms, my arms, my arms, my arms, my arms, my arms, my arms!\MY ARMS!\Do you have any idea how valuable my arms are?!\They're the arms of the Grand Couturier!\That's why I chopped'em off. response:	Kidding! Even if you chop them off, they'll pop right back, good as new!
context: Yeah, for you.\MY ARMS!\My arms, my arms, my arms, my arms, my arms, my arms, my arms!\MY ARMS!\Do you have any idea how valuable my arms are?!\They're the arms of the Grand Couturier!\That's why I chopped'em off.\Kidding! Even if you chop them off, they'll pop right back, good as new! response:	Oops.
context: MY ARMS!\My arms, my arms, my arms, my arms, my arms, my arms, my arms!\MY ARMS!\Do you have any idea how valuable my arms are?!\They're the arms of the Grand Couturier!\That's why I chopped'em off.\Kidding! Even if you chop them off, they'll pop right back, good as new!\Oops. response:	Clumsy me.
context: My arms, my arms, my arms, my arms, my arms, my arms, my arms!\MY ARMS!\Do you have any idea how valuable my arms are?!\They're the arms of the Grand Couturier!\That's why I chopped'em off.\Kidding! Even if you chop them off, they'll pop right back, good as new!\Oops.\Clumsy me. response:	They can halt Life Fiber regeneration? Those scissors can do even that?
context: MY ARMS!\Do you have any idea how valuable my arms are?!\They're the arms of the Grand Couturier!\That's why I chopped'em off.\Kidding! Even if you chop them off, they'll pop right back, good as new!\Oops.\Clumsy me.\They can halt Life Fiber regeneration? Those scissors can do even that? response:	Just give it up, Nui Harime!
context: Do you have any idea how valuable my arms are?!\They're the arms of the Grand Couturier!\That's why I chopped'em off.\Kidding! Even if you chop them off, they'll pop right back, good as new!\Oops.\Clumsy me.\They can halt Life Fiber regeneration? Those scissors can do even that?\Just give it up, Nui Harime! response:	This can't be happening!
context: They're the arms of the Grand Couturier!\That's why I chopped'em off.\Kidding! Even if you chop them off, they'll pop right back, good as new!\Oops.\Clumsy me.\They can halt Life Fiber regeneration? Those scissors can do even that?\Just give it up, Nui Harime!\This can't be happening! response:	You're really making me angry! Every last one of you!
context: That's why I chopped'em off.\Kidding! Even if you chop them off, they'll pop right back, good as new!\Oops.\Clumsy me.\They can halt Life Fiber regeneration? Those scissors can do even that?\Just give it up, Nui Harime!\This can't be happening!\You're really making me angry! Every last one of you! response:	I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed,
context: Kidding! Even if you chop them off, they'll pop right back, good as new!\Oops.\Clumsy me.\They can halt Life Fiber regeneration? Those scissors can do even that?\Just give it up, Nui Harime!\This can't be happening!\You're really making me angry! Every last one of you!\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed, response:	I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed!
context: Oops.\Clumsy me.\They can halt Life Fiber regeneration? Those scissors can do even that?\Just give it up, Nui Harime!\This can't be happening!\You're really making me angry! Every last one of you!\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed,\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed! response:	Hououmaru!
context: Clumsy me.\They can halt Life Fiber regeneration? Those scissors can do even that?\Just give it up, Nui Harime!\This can't be happening!\You're really making me angry! Every last one of you!\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed,\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed!\Hououmaru! response:	You're not getting away! Senketsu Shippu!
context: They can halt Life Fiber regeneration? Those scissors can do even that?\Just give it up, Nui Harime!\This can't be happening!\You're really making me angry! Every last one of you!\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed,\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed!\Hououmaru!\You're not getting away! Senketsu Shippu! response:	What the? Ow!
context: Just give it up, Nui Harime!\This can't be happening!\You're really making me angry! Every last one of you!\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed,\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed!\Hououmaru!\You're not getting away! Senketsu Shippu!\What the? Ow! response:	I'd better not do it, Ryuko. You've lost a great deal of blood.
context: This can't be happening!\You're really making me angry! Every last one of you!\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed,\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed!\Hououmaru!\You're not getting away! Senketsu Shippu!\What the? Ow!\I'd better not do it, Ryuko. You've lost a great deal of blood. response:	Chasing after them would be dangerous.
context: You're really making me angry! Every last one of you!\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed,\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed!\Hououmaru!\You're not getting away! Senketsu Shippu!\What the? Ow!\I'd better not do it, Ryuko. You've lost a great deal of blood.\Chasing after them would be dangerous. response:	But we've still got these guys to deal with!
context: I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed,\I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed!\Hououmaru!\You're not getting away! Senketsu Shippu!\What the? Ow!\I'd better not do it, Ryuko. You've lost a great deal of blood.\Chasing after them would be dangerous.\But we've still got these guys to deal with! response:	Hououmaru made a mistake because she was desperate to rescue Harime.
context: I'm pissed, I'm pissed, I'm pissed, I'm pissed, I'm pissed!\Hououmaru!\You're not getting away! Senketsu Shippu!\What the? Ow!\I'd better not do it, Ryuko. You've lost a great deal of blood.\Chasing after them would be dangerous.\But we've still got these guys to deal with!\Hououmaru made a mistake because she was desperate to rescue Harime. response:	She's right! Which makes this a golden opportunity!
context: Hououmaru!\You're not getting away! Senketsu Shippu!\What the? Ow!\I'd better not do it, Ryuko. You've lost a great deal of blood.\Chasing after them would be dangerous.\But we've still got these guys to deal with!\Hououmaru made a mistake because she was desperate to rescue Harime.\She's right! Which makes this a golden opportunity! response:	It was nice of them to bring us both Life Fibers
context: You're not getting away! Senketsu Shippu!\What the? Ow!\I'd better not do it, Ryuko. You've lost a great deal of blood.\Chasing after them would be dangerous.\But we've still got these guys to deal with!\Hououmaru made a mistake because she was desperate to rescue Harime.\She's right! Which makes this a golden opportunity!\It was nice of them to bring us both Life Fibers response:	and new members for the cause!
context: What the? Ow!\I'd better not do it, Ryuko. You've lost a great deal of blood.\Chasing after them would be dangerous.\But we've still got these guys to deal with!\Hououmaru made a mistake because she was desperate to rescue Harime.\She's right! Which makes this a golden opportunity!\It was nice of them to bring us both Life Fibers\and new members for the cause! response:	Exactly. Don't just stand around doing nothing, Elite Four, get to work!
context: I'd better not do it, Ryuko. You've lost a great deal of blood.\Chasing after them would be dangerous.\But we've still got these guys to deal with!\Hououmaru made a mistake because she was desperate to rescue Harime.\She's right! Which makes this a golden opportunity!\It was nice of them to bring us both Life Fibers\and new members for the cause!\Exactly. Don't just stand around doing nothing, Elite Four, get to work! response:	Give me those!
context: Chasing after them would be dangerous.\But we've still got these guys to deal with!\Hououmaru made a mistake because she was desperate to rescue Harime.\She's right! Which makes this a golden opportunity!\It was nice of them to bring us both Life Fibers\and new members for the cause!\Exactly. Don't just stand around doing nothing, Elite Four, get to work!\Give me those! response:	Nonuple-mount Emergency Rescue Suction Device!
context: But we've still got these guys to deal with!\Hououmaru made a mistake because she was desperate to rescue Harime.\She's right! Which makes this a golden opportunity!\It was nice of them to bring us both Life Fibers\and new members for the cause!\Exactly. Don't just stand around doing nothing, Elite Four, get to work!\Give me those!\Nonuple-mount Emergency Rescue Suction Device! response:	NONUPLE-MOUNT EMERGENCY RESCUE SUCTION DEVICE
context: Hououmaru made a mistake because she was desperate to rescue Harime.\She's right! Which makes this a golden opportunity!\It was nice of them to bring us both Life Fibers\and new members for the cause!\Exactly. Don't just stand around doing nothing, Elite Four, get to work!\Give me those!\Nonuple-mount Emergency Rescue Suction Device!\NONUPLE-MOUNT EMERGENCY RESCUE SUCTION DEVICE response:	You!
context: She's right! Which makes this a golden opportunity!\It was nice of them to bring us both Life Fibers\and new members for the cause!\Exactly. Don't just stand around doing nothing, Elite Four, get to work!\Give me those!\Nonuple-mount Emergency Rescue Suction Device!\NONUPLE-MOUNT EMERGENCY RESCUE SUCTION DEVICE\You! response:	You're Hakodate of the Tennis Club...
context: It was nice of them to bring us both Life Fibers\and new members for the cause!\Exactly. Don't just stand around doing nothing, Elite Four, get to work!\Give me those!\Nonuple-mount Emergency Rescue Suction Device!\NONUPLE-MOUNT EMERGENCY RESCUE SUCTION DEVICE\You!\You're Hakodate of the Tennis Club... response:	TENNIS CLUB PRESIDENT OMIKO HAKODATE
context: and new members for the cause!\Exactly. Don't just stand around doing nothing, Elite Four, get to work!\Give me those!\Nonuple-mount Emergency Rescue Suction Device!\NONUPLE-MOUNT EMERGENCY RESCUE SUCTION DEVICE\You!\You're Hakodate of the Tennis Club...\TENNIS CLUB PRESIDENT OMIKO HAKODATE response:	BOXING CLUB PRESIDENT TAKAHARU FUKURODA
context: Exactly. Don't just stand around doing nothing, Elite Four, get to work!\Give me those!\Nonuple-mount Emergency Rescue Suction Device!\NONUPLE-MOUNT EMERGENCY RESCUE SUCTION DEVICE\You!\You're Hakodate of the Tennis Club...\TENNIS CLUB PRESIDENT OMIKO HAKODATE\BOXING CLUB PRESIDENT TAKAHARU FUKURODA response:	KUSANOSUKE YAGURUMA
context: Give me those!\Nonuple-mount Emergency Rescue Suction Device!\NONUPLE-MOUNT EMERGENCY RESCUE SUCTION DEVICE\You!\You're Hakodate of the Tennis Club...\TENNIS CLUB PRESIDENT OMIKO HAKODATE\BOXING CLUB PRESIDENT TAKAHARU FUKURODA\KUSANOSUKE YAGURUMA response:	And there's more!
context: Nonuple-mount Emergency Rescue Suction Device!\NONUPLE-MOUNT EMERGENCY RESCUE SUCTION DEVICE\You!\You're Hakodate of the Tennis Club...\TENNIS CLUB PRESIDENT OMIKO HAKODATE\BOXING CLUB PRESIDENT TAKAHARU FUKURODA\KUSANOSUKE YAGURUMA\And there's more! response:	TATAMU OTTE
