context: Is it possible to have a happy marriage to a human woman? response:	I certainly don't believe so.
context: All that's left is the left hand.\Okay. I found a girl who I think will meet your conditions.\I'll tell you about her.\You're certain?\As near as I can tell.\It's for your help earlier.\Storage 1\Morn response:	G-Good morning...
context: Okay. I found a girl who I think will meet your conditions.\I'll tell you about her.\You're certain?\As near as I can tell.\It's for your help earlier.\Storage 1\Morn\G-Good morning... response:	Morning.
context: I'll tell you about her.\You're certain?\As near as I can tell.\It's for your help earlier.\Storage 1\Morn\G-Good morning...\Morning. response:	Well, see you later.
context: You're certain?\As near as I can tell.\It's for your help earlier.\Storage 1\Morn\G-Good morning...\Morning.\Well, see you later. response:	Senda-san, are you going somewhere?
context: As near as I can tell.\It's for your help earlier.\Storage 1\Morn\G-Good morning...\Morning.\Well, see you later.\Senda-san, are you going somewhere? response:	I didn't tell you?
context: It's for your help earlier.\Storage 1\Morn\G-Good morning...\Morning.\Well, see you later.\Senda-san, are you going somewhere?\I didn't tell you? response:	I'm on a work trip to Romania for the next two weeks.
context: Storage 1\Morn\G-Good morning...\Morning.\Well, see you later.\Senda-san, are you going somewhere?\I didn't tell you?\I'm on a work trip to Romania for the next two weeks. response:	Romania?!
context: Morn\G-Good morning...\Morning.\Well, see you later.\Senda-san, are you going somewhere?\I didn't tell you?\I'm on a work trip to Romania for the next two weeks.\Romania?! response:	You're going overseas?
context: G-Good morning...\Morning.\Well, see you later.\Senda-san, are you going somewhere?\I didn't tell you?\I'm on a work trip to Romania for the next two weeks.\Romania?!\You're going overseas? response:	Lucky...
context: Morning.\Well, see you later.\Senda-san, are you going somewhere?\I didn't tell you?\I'm on a work trip to Romania for the next two weeks.\Romania?!\You're going overseas?\Lucky... response:	I would be, if it weren't for work.
context: Well, see you later.\Senda-san, are you going somewhere?\I didn't tell you?\I'm on a work trip to Romania for the next two weeks.\Romania?!\You're going overseas?\Lucky...\I would be, if it weren't for work. response:	You guys hold down the fort for the next two weeks.
context: Senda-san, are you going somewhere?\I didn't tell you?\I'm on a work trip to Romania for the next two weeks.\Romania?!\You're going overseas?\Lucky...\I would be, if it weren't for work.\You guys hold down the fort for the next two weeks. response:	Bye.
context: I didn't tell you?\I'm on a work trip to Romania for the next two weeks.\Romania?!\You're going overseas?\Lucky...\I would be, if it weren't for work.\You guys hold down the fort for the next two weeks.\Bye. response:	So, let's get to work.
context: I'm on a work trip to Romania for the next two weeks.\Romania?!\You're going overseas?\Lucky...\I would be, if it weren't for work.\You guys hold down the fort for the next two weeks.\Bye.\So, let's get to work. response:	Head out on patrol.
context: Romania?!\You're going overseas?\Lucky...\I would be, if it weren't for work.\You guys hold down the fort for the next two weeks.\Bye.\So, let's get to work.\Head out on patrol. response:	Okay.
context: You're going overseas?\Lucky...\I would be, if it weren't for work.\You guys hold down the fort for the next two weeks.\Bye.\So, let's get to work.\Head out on patrol.\Okay. response:	Do you remember what happened at Toyama Park?
context: Lucky...\I would be, if it weren't for work.\You guys hold down the fort for the next two weeks.\Bye.\So, let's get to work.\Head out on patrol.\Okay.\Do you remember what happened at Toyama Park? response:	Of course...
context: I would be, if it weren't for work.\You guys hold down the fort for the next two weeks.\Bye.\So, let's get to work.\Head out on patrol.\Okay.\Do you remember what happened at Toyama Park?\Of course... response:	One of the female victims woke up.
context: You guys hold down the fort for the next two weeks.\Bye.\So, let's get to work.\Head out on patrol.\Okay.\Do you remember what happened at Toyama Park?\Of course...\One of the female victims woke up. response:	Really?
context: Bye.\So, let's get to work.\Head out on patrol.\Okay.\Do you remember what happened at Toyama Park?\Of course...\One of the female victims woke up.\Really? response:	So you need to go talk to her.
context: So, let's get to work.\Head out on patrol.\Okay.\Do you remember what happened at Toyama Park?\Of course...\One of the female victims woke up.\Really?\So you need to go talk to her. response:	Kyoichi's on the way there already.
context: Head out on patrol.\Okay.\Do you remember what happened at Toyama Park?\Of course...\One of the female victims woke up.\Really?\So you need to go talk to her.\Kyoichi's on the way there already. response:	Huh? What about you?
context: Okay.\Do you remember what happened at Toyama Park?\Of course...\One of the female victims woke up.\Really?\So you need to go talk to her.\Kyoichi's on the way there already.\Huh? What about you? response:	I've got analysis work to do. You two handle it.
context: Do you remember what happened at Toyama Park?\Of course...\One of the female victims woke up.\Really?\So you need to go talk to her.\Kyoichi's on the way there already.\Huh? What about you?\I've got analysis work to do. You two handle it. response:	Visiting hours are almost over, so hurry.
context: Of course...\One of the female victims woke up.\Really?\So you need to go talk to her.\Kyoichi's on the way there already.\Huh? What about you?\I've got analysis work to do. You two handle it.\Visiting hours are almost over, so hurry. response:	Got it.
context: One of the female victims woke up.\Really?\So you need to go talk to her.\Kyoichi's on the way there already.\Huh? What about you?\I've got analysis work to do. You two handle it.\Visiting hours are almost over, so hurry.\Got it. response:	July 16th
context: Really?\So you need to go talk to her.\Kyoichi's on the way there already.\Huh? What about you?\I've got analysis work to do. You two handle it.\Visiting hours are almost over, so hurry.\Got it.\July 16th response:	Sorry I'm late.
context: So you need to go talk to her.\Kyoichi's on the way there already.\Huh? What about you?\I've got analysis work to do. You two handle it.\Visiting hours are almost over, so hurry.\Got it.\July 16th\Sorry I'm late. response:	This is the information from the police.
context: Kyoichi's on the way there already.\Huh? What about you?\I've got analysis work to do. You two handle it.\Visiting hours are almost over, so hurry.\Got it.\July 16th\Sorry I'm late.\This is the information from the police. response:	Her name is Shiba Yuko.
context: Huh? What about you?\I've got analysis work to do. You two handle it.\Visiting hours are almost over, so hurry.\Got it.\July 16th\Sorry I'm late.\This is the information from the police.\Her name is Shiba Yuko. response:	She's fully conscious and remembers everything,
context: I've got analysis work to do. You two handle it.\Visiting hours are almost over, so hurry.\Got it.\July 16th\Sorry I'm late.\This is the information from the police.\Her name is Shiba Yuko.\She's fully conscious and remembers everything, response:	so we were able to find out her address and her family information.
context: Visiting hours are almost over, so hurry.\Got it.\July 16th\Sorry I'm late.\This is the information from the police.\Her name is Shiba Yuko.\She's fully conscious and remembers everything,\so we were able to find out her address and her family information. response:	The issue is right here.
context: Got it.\July 16th\Sorry I'm late.\This is the information from the police.\Her name is Shiba Yuko.\She's fully conscious and remembers everything,\so we were able to find out her address and her family information.\The issue is right here. response:	Birthdate: 11/10/1965
context: July 16th\Sorry I'm late.\This is the information from the police.\Her name is Shiba Yuko.\She's fully conscious and remembers everything,\so we were able to find out her address and her family information.\The issue is right here.\Birthdate: 11/10/1965 response:	Born in 1965?
context: Sorry I'm late.\This is the information from the police.\Her name is Shiba Yuko.\She's fully conscious and remembers everything,\so we were able to find out her address and her family information.\The issue is right here.\Birthdate: 11/10/1965\Born in 1965? response:	If this is true, she's in her 50s.
context: This is the information from the police.\Her name is Shiba Yuko.\She's fully conscious and remembers everything,\so we were able to find out her address and her family information.\The issue is right here.\Birthdate: 11/10/1965\Born in 1965?\If this is true, she's in her 50s. response:	But she doesn't look that way.
context: Her name is Shiba Yuko.\She's fully conscious and remembers everything,\so we were able to find out her address and her family information.\The issue is right here.\Birthdate: 11/10/1965\Born in 1965?\If this is true, she's in her 50s.\But she doesn't look that way. response:	She seems to think she's a teenager, too.
context: She's fully conscious and remembers everything,\so we were able to find out her address and her family information.\The issue is right here.\Birthdate: 11/10/1965\Born in 1965?\If this is true, she's in her 50s.\But she doesn't look that way.\She seems to think she's a teenager, too. response:	Um, does that mean she was a teenager when she was kidnapped,
context: so we were able to find out her address and her family information.\The issue is right here.\Birthdate: 11/10/1965\Born in 1965?\If this is true, she's in her 50s.\But she doesn't look that way.\She seems to think she's a teenager, too.\Um, does that mean she was a teenager when she was kidnapped, response:	and then she came back without aging?
context: The issue is right here.\Birthdate: 11/10/1965\Born in 1965?\If this is true, she's in her 50s.\But she doesn't look that way.\She seems to think she's a teenager, too.\Um, does that mean she was a teenager when she was kidnapped,\and then she came back without aging? response:	Yes.
context: Birthdate: 11/10/1965\Born in 1965?\If this is true, she's in her 50s.\But she doesn't look that way.\She seems to think she's a teenager, too.\Um, does that mean she was a teenager when she was kidnapped,\and then she came back without aging?\Yes. response:	Typical of a supernatural disappearance.
context: Born in 1965?\If this is true, she's in her 50s.\But she doesn't look that way.\She seems to think she's a teenager, too.\Um, does that mean she was a teenager when she was kidnapped,\and then she came back without aging?\Yes.\Typical of a supernatural disappearance. response:	Shiba Yuko-san, right?
context: If this is true, she's in her 50s.\But she doesn't look that way.\She seems to think she's a teenager, too.\Um, does that mean she was a teenager when she was kidnapped,\and then she came back without aging?\Yes.\Typical of a supernatural disappearance.\Shiba Yuko-san, right? response:	Yes...
context: But she doesn't look that way.\She seems to think she's a teenager, too.\Um, does that mean she was a teenager when she was kidnapped,\and then she came back without aging?\Yes.\Typical of a supernatural disappearance.\Shiba Yuko-san, right?\Yes... response:	I'm Sakaki Kyoichi.
context: She seems to think she's a teenager, too.\Um, does that mean she was a teenager when she was kidnapped,\and then she came back without aging?\Yes.\Typical of a supernatural disappearance.\Shiba Yuko-san, right?\Yes...\I'm Sakaki Kyoichi. response:	I'm with the Shinjuku Ward Office.
context: Um, does that mean she was a teenager when she was kidnapped,\and then she came back without aging?\Yes.\Typical of a supernatural disappearance.\Shiba Yuko-san, right?\Yes...\I'm Sakaki Kyoichi.\I'm with the Shinjuku Ward Office. response:	Okay...
context: and then she came back without aging?\Yes.\Typical of a supernatural disappearance.\Shiba Yuko-san, right?\Yes...\I'm Sakaki Kyoichi.\I'm with the Shinjuku Ward Office.\Okay... response:	Can you tell me what happened to you?
context: Yes.\Typical of a supernatural disappearance.\Shiba Yuko-san, right?\Yes...\I'm Sakaki Kyoichi.\I'm with the Shinjuku Ward Office.\Okay...\Can you tell me what happened to you? response:	Sure.
context: Typical of a supernatural disappearance.\Shiba Yuko-san, right?\Yes...\I'm Sakaki Kyoichi.\I'm with the Shinjuku Ward Office.\Okay...\Can you tell me what happened to you?\Sure. response:	I really don't remember much, though.
context: Shiba Yuko-san, right?\Yes...\I'm Sakaki Kyoichi.\I'm with the Shinjuku Ward Office.\Okay...\Can you tell me what happened to you?\Sure.\I really don't remember much, though. response:	It's okay. Don't worry about it.
context: Yes...\I'm Sakaki Kyoichi.\I'm with the Shinjuku Ward Office.\Okay...\Can you tell me what happened to you?\Sure.\I really don't remember much, though.\It's okay. Don't worry about it. response:	How are you feeling? Does it hurt anywhere?
context: I'm Sakaki Kyoichi.\I'm with the Shinjuku Ward Office.\Okay...\Can you tell me what happened to you?\Sure.\I really don't remember much, though.\It's okay. Don't worry about it.\How are you feeling? Does it hurt anywhere? response:	No, not really.
context: I'm with the Shinjuku Ward Office.\Okay...\Can you tell me what happened to you?\Sure.\I really don't remember much, though.\It's okay. Don't worry about it.\How are you feeling? Does it hurt anywhere?\No, not really. response:	Good to hear.
context: Okay...\Can you tell me what happened to you?\Sure.\I really don't remember much, though.\It's okay. Don't worry about it.\How are you feeling? Does it hurt anywhere?\No, not really.\Good to hear. response:	First, can you tell me what school you go to?
context: Can you tell me what happened to you?\Sure.\I really don't remember much, though.\It's okay. Don't worry about it.\How are you feeling? Does it hurt anywhere?\No, not really.\Good to hear.\First, can you tell me what school you go to? response:	I'm a second year student at Shirakoma Girls Academy.
context: Sure.\I really don't remember much, though.\It's okay. Don't worry about it.\How are you feeling? Does it hurt anywhere?\No, not really.\Good to hear.\First, can you tell me what school you go to?\I'm a second year student at Shirakoma Girls Academy. response:	Oh, my childhood friend goes there, too.
context: I really don't remember much, though.\It's okay. Don't worry about it.\How are you feeling? Does it hurt anywhere?\No, not really.\Good to hear.\First, can you tell me what school you go to?\I'm a second year student at Shirakoma Girls Academy.\Oh, my childhood friend goes there, too. response:	I've heard they have a good choir.
context: It's okay. Don't worry about it.\How are you feeling? Does it hurt anywhere?\No, not really.\Good to hear.\First, can you tell me what school you go to?\I'm a second year student at Shirakoma Girls Academy.\Oh, my childhood friend goes there, too.\I've heard they have a good choir. response:	They go to national tournaments all the time.
context: How are you feeling? Does it hurt anywhere?\No, not really.\Good to hear.\First, can you tell me what school you go to?\I'm a second year student at Shirakoma Girls Academy.\Oh, my childhood friend goes there, too.\I've heard they have a good choir.\They go to national tournaments all the time. response:	Me, too.
context: No, not really.\Good to hear.\First, can you tell me what school you go to?\I'm a second year student at Shirakoma Girls Academy.\Oh, my childhood friend goes there, too.\I've heard they have a good choir.\They go to national tournaments all the time.\Me, too. response:	I joined to be part of the choir.
context: Good to hear.\First, can you tell me what school you go to?\I'm a second year student at Shirakoma Girls Academy.\Oh, my childhood friend goes there, too.\I've heard they have a good choir.\They go to national tournaments all the time.\Me, too.\I joined to be part of the choir. response:	We were all looking forward to going to nationals this year.
context: First, can you tell me what school you go to?\I'm a second year student at Shirakoma Girls Academy.\Oh, my childhood friend goes there, too.\I've heard they have a good choir.\They go to national tournaments all the time.\Me, too.\I joined to be part of the choir.\We were all looking forward to going to nationals this year. response:	But now...
context: I'm a second year student at Shirakoma Girls Academy.\Oh, my childhood friend goes there, too.\I've heard they have a good choir.\They go to national tournaments all the time.\Me, too.\I joined to be part of the choir.\We were all looking forward to going to nationals this year.\But now... response:	What happened?
context: Oh, my childhood friend goes there, too.\I've heard they have a good choir.\They go to national tournaments all the time.\Me, too.\I joined to be part of the choir.\We were all looking forward to going to nationals this year.\But now...\What happened? response:	I really don't know.
context: I've heard they have a good choir.\They go to national tournaments all the time.\Me, too.\I joined to be part of the choir.\We were all looking forward to going to nationals this year.\But now...\What happened?\I really don't know. response:	After practice ended...
context: They go to national tournaments all the time.\Me, too.\I joined to be part of the choir.\We were all looking forward to going to nationals this year.\But now...\What happened?\I really don't know.\After practice ended... response:	Everything just went black,
context: Me, too.\I joined to be part of the choir.\We were all looking forward to going to nationals this year.\But now...\What happened?\I really don't know.\After practice ended...\Everything just went black, response:	and it was dark for so long after that.
context: I joined to be part of the choir.\We were all looking forward to going to nationals this year.\But now...\What happened?\I really don't know.\After practice ended...\Everything just went black,\and it was dark for so long after that. response:	So long?
context: We were all looking forward to going to nationals this year.\But now...\What happened?\I really don't know.\After practice ended...\Everything just went black,\and it was dark for so long after that.\So long? response:	Was there light?
context: But now...\What happened?\I really don't know.\After practice ended...\Everything just went black,\and it was dark for so long after that.\So long?\Was there light? response:	No.
context: What happened?\I really don't know.\After practice ended...\Everything just went black,\and it was dark for so long after that.\So long?\Was there light?\No. response:	But I could see my hands and stuff, somehow.
context: I really don't know.\After practice ended...\Everything just went black,\and it was dark for so long after that.\So long?\Was there light?\No.\But I could see my hands and stuff, somehow. response:	And blackness... it was like ash.
context: After practice ended...\Everything just went black,\and it was dark for so long after that.\So long?\Was there light?\No.\But I could see my hands and stuff, somehow.\And blackness... it was like ash. response:	Or fine sand. Falling from above.
context: Everything just went black,\and it was dark for so long after that.\So long?\Was there light?\No.\But I could see my hands and stuff, somehow.\And blackness... it was like ash.\Or fine sand. Falling from above. response:	Black sand?
context: and it was dark for so long after that.\So long?\Was there light?\No.\But I could see my hands and stuff, somehow.\And blackness... it was like ash.\Or fine sand. Falling from above.\Black sand? response:	Thanks. Anything else?
context: So long?\Was there light?\No.\But I could see my hands and stuff, somehow.\And blackness... it was like ash.\Or fine sand. Falling from above.\Black sand?\Thanks. Anything else? response:	Actually... my throat would sometimes feel cold.
context: Was there light?\No.\But I could see my hands and stuff, somehow.\And blackness... it was like ash.\Or fine sand. Falling from above.\Black sand?\Thanks. Anything else?\Actually... my throat would sometimes feel cold. response:	Like someone put a knife to it.
context: No.\But I could see my hands and stuff, somehow.\And blackness... it was like ash.\Or fine sand. Falling from above.\Black sand?\Thanks. Anything else?\Actually... my throat would sometimes feel cold.\Like someone put a knife to it. response:	Your throat?
context: But I could see my hands and stuff, somehow.\And blackness... it was like ash.\Or fine sand. Falling from above.\Black sand?\Thanks. Anything else?\Actually... my throat would sometimes feel cold.\Like someone put a knife to it.\Your throat? response:	Does it hurt right now?
context: And blackness... it was like ash.\Or fine sand. Falling from above.\Black sand?\Thanks. Anything else?\Actually... my throat would sometimes feel cold.\Like someone put a knife to it.\Your throat?\Does it hurt right now? response:	No... but when I remembered, I suddenly got scared.
context: Or fine sand. Falling from above.\Black sand?\Thanks. Anything else?\Actually... my throat would sometimes feel cold.\Like someone put a knife to it.\Your throat?\Does it hurt right now?\No... but when I remembered, I suddenly got scared. response:	Your voice sounds normal.
context: Black sand?\Thanks. Anything else?\Actually... my throat would sometimes feel cold.\Like someone put a knife to it.\Your throat?\Does it hurt right now?\No... but when I remembered, I suddenly got scared.\Your voice sounds normal. response:	It's a little husky.
