context: 'Hey, hey.' response:	This fish over here is cute.
context: That guy'\Brother?\Sakura-chan, You drowned?\That's not it Kero-chan\You weren't listening.\Oh, sorry.\I was able to come out of your room for the first time\In a while with everybody gone response:	So I just can't calm down.
context: Brother?\Sakura-chan, You drowned?\That's not it Kero-chan\You weren't listening.\Oh, sorry.\I was able to come out of your room for the first time\In a while with everybody gone\So I just can't calm down. response:	I see, so that's what happened?
context: Sakura-chan, You drowned?\That's not it Kero-chan\You weren't listening.\Oh, sorry.\I was able to come out of your room for the first time\In a while with everybody gone\So I just can't calm down.\I see, so that's what happened? response:	I guess there is no way you would drown.
context: That's not it Kero-chan\You weren't listening.\Oh, sorry.\I was able to come out of your room for the first time\In a while with everybody gone\So I just can't calm down.\I see, so that's what happened?\I guess there is no way you would drown. response:	Your athletic ability is the only good thing you have.
context: You weren't listening.\Oh, sorry.\I was able to come out of your room for the first time\In a while with everybody gone\So I just can't calm down.\I see, so that's what happened?\I guess there is no way you would drown.\Your athletic ability is the only good thing you have. response:	What do you mean by only?
context: Oh, sorry.\I was able to come out of your room for the first time\In a while with everybody gone\So I just can't calm down.\I see, so that's what happened?\I guess there is no way you would drown.\Your athletic ability is the only good thing you have.\What do you mean by only? response:	I won't give you any hot cakes.
context: I was able to come out of your room for the first time\In a while with everybody gone\So I just can't calm down.\I see, so that's what happened?\I guess there is no way you would drown.\Your athletic ability is the only good thing you have.\What do you mean by only?\I won't give you any hot cakes. response:	Ah, Sakura-sama.
context: In a while with everybody gone\So I just can't calm down.\I see, so that's what happened?\I guess there is no way you would drown.\Your athletic ability is the only good thing you have.\What do you mean by only?\I won't give you any hot cakes.\Ah, Sakura-sama. response:	But it being a penguin that drowned
context: So I just can't calm down.\I see, so that's what happened?\I guess there is no way you would drown.\Your athletic ability is the only good thing you have.\What do you mean by only?\I won't give you any hot cakes.\Ah, Sakura-sama.\But it being a penguin that drowned response:	Makes it even stranger.
context: I see, so that's what happened?\I guess there is no way you would drown.\Your athletic ability is the only good thing you have.\What do you mean by only?\I won't give you any hot cakes.\Ah, Sakura-sama.\But it being a penguin that drowned\Makes it even stranger. response:	The adults were saying that
context: I guess there is no way you would drown.\Your athletic ability is the only good thing you have.\What do you mean by only?\I won't give you any hot cakes.\Ah, Sakura-sama.\But it being a penguin that drowned\Makes it even stranger.\The adults were saying that response:	It might because the drain in the pool was open.
context: Your athletic ability is the only good thing you have.\What do you mean by only?\I won't give you any hot cakes.\Ah, Sakura-sama.\But it being a penguin that drowned\Makes it even stranger.\The adults were saying that\It might because the drain in the pool was open. response:	But that doesn't quite seem right.
context: What do you mean by only?\I won't give you any hot cakes.\Ah, Sakura-sama.\But it being a penguin that drowned\Makes it even stranger.\The adults were saying that\It might because the drain in the pool was open.\But that doesn't quite seem right. response:	Here.
context: I won't give you any hot cakes.\Ah, Sakura-sama.\But it being a penguin that drowned\Makes it even stranger.\The adults were saying that\It might because the drain in the pool was open.\But that doesn't quite seem right.\Here. response:	It was that kind of accident.
context: Ah, Sakura-sama.\But it being a penguin that drowned\Makes it even stranger.\The adults were saying that\It might because the drain in the pool was open.\But that doesn't quite seem right.\Here.\It was that kind of accident. response:	It was more'
context: But it being a penguin that drowned\Makes it even stranger.\The adults were saying that\It might because the drain in the pool was open.\But that doesn't quite seem right.\Here.\It was that kind of accident.\It was more' response:	more like something was doing it.
context: Makes it even stranger.\The adults were saying that\It might because the drain in the pool was open.\But that doesn't quite seem right.\Here.\It was that kind of accident.\It was more'\more like something was doing it. response:	Like when you saw the Clow Card?
context: The adults were saying that\It might because the drain in the pool was open.\But that doesn't quite seem right.\Here.\It was that kind of accident.\It was more'\more like something was doing it.\Like when you saw the Clow Card? response:	I'm home.
context: It might because the drain in the pool was open.\But that doesn't quite seem right.\Here.\It was that kind of accident.\It was more'\more like something was doing it.\Like when you saw the Clow Card?\I'm home. response:	Oh, no!
context: But that doesn't quite seem right.\Here.\It was that kind of accident.\It was more'\more like something was doing it.\Like when you saw the Clow Card?\I'm home.\Oh, no! response:	Kero-chan, room. Go to my room.
context: Here.\It was that kind of accident.\It was more'\more like something was doing it.\Like when you saw the Clow Card?\I'm home.\Oh, no!\Kero-chan, room. Go to my room. response:	Hide.
context: It was that kind of accident.\It was more'\more like something was doing it.\Like when you saw the Clow Card?\I'm home.\Oh, no!\Kero-chan, room. Go to my room.\Hide. response:	Come home.
context: It was more'\more like something was doing it.\Like when you saw the Clow Card?\I'm home.\Oh, no!\Kero-chan, room. Go to my room.\Hide.\Come home. response:	Yeah.
context: more like something was doing it.\Like when you saw the Clow Card?\I'm home.\Oh, no!\Kero-chan, room. Go to my room.\Hide.\Come home.\Yeah. response:	Hey big brother, you were at the aquarium today right?
context: Like when you saw the Clow Card?\I'm home.\Oh, no!\Kero-chan, room. Go to my room.\Hide.\Come home.\Yeah.\Hey big brother, you were at the aquarium today right? response:	It's written right here.
context: I'm home.\Oh, no!\Kero-chan, room. Go to my room.\Hide.\Come home.\Yeah.\Hey big brother, you were at the aquarium today right?\It's written right here. response:	Hey
context: Oh, no!\Kero-chan, room. Go to my room.\Hide.\Come home.\Yeah.\Hey big brother, you were at the aquarium today right?\It's written right here.\Hey response:	Why were you at the penguin show?
context: Kero-chan, room. Go to my room.\Hide.\Come home.\Yeah.\Hey big brother, you were at the aquarium today right?\It's written right here.\Hey\Why were you at the penguin show? response:	What kind of part-time job?
context: Hide.\Come home.\Yeah.\Hey big brother, you were at the aquarium today right?\It's written right here.\Hey\Why were you at the penguin show?\What kind of part-time job? response:	Feeding the penguins.
context: Come home.\Yeah.\Hey big brother, you were at the aquarium today right?\It's written right here.\Hey\Why were you at the penguin show?\What kind of part-time job?\Feeding the penguins. response:	Eh? How cool.
context: Yeah.\Hey big brother, you were at the aquarium today right?\It's written right here.\Hey\Why were you at the penguin show?\What kind of part-time job?\Feeding the penguins.\Eh? How cool. response:	Not cool.
context: Hey big brother, you were at the aquarium today right?\It's written right here.\Hey\Why were you at the penguin show?\What kind of part-time job?\Feeding the penguins.\Eh? How cool.\Not cool. response:	Why not?
context: It's written right here.\Hey\Why were you at the penguin show?\What kind of part-time job?\Feeding the penguins.\Eh? How cool.\Not cool.\Why not? response:	Just because.
context: Hey\Why were you at the penguin show?\What kind of part-time job?\Feeding the penguins.\Eh? How cool.\Not cool.\Why not?\Just because. response:	You're terrible
context: Why were you at the penguin show?\What kind of part-time job?\Feeding the penguins.\Eh? How cool.\Not cool.\Why not?\Just because.\You're terrible response:	Eating it without asking.
context: What kind of part-time job?\Feeding the penguins.\Eh? How cool.\Not cool.\Why not?\Just because.\You're terrible\Eating it without asking. response:	Those are the hot cakes I bought with my allowance.
context: Feeding the penguins.\Eh? How cool.\Not cool.\Why not?\Just because.\You're terrible\Eating it without asking.\Those are the hot cakes I bought with my allowance. response:	Hey, what are you doing? Hurry and come in.
context: Eh? How cool.\Not cool.\Why not?\Just because.\You're terrible\Eating it without asking.\Those are the hot cakes I bought with my allowance.\Hey, what are you doing? Hurry and come in. response:	Sorry. Sorry.
context: Not cool.\Why not?\Just because.\You're terrible\Eating it without asking.\Those are the hot cakes I bought with my allowance.\Hey, what are you doing? Hurry and come in.\Sorry. Sorry. response:	It took me some time to get my shoes off.
context: Why not?\Just because.\You're terrible\Eating it without asking.\Those are the hot cakes I bought with my allowance.\Hey, what are you doing? Hurry and come in.\Sorry. Sorry.\It took me some time to get my shoes off. response:	Hello, Sakura-chan.
context: Just because.\You're terrible\Eating it without asking.\Those are the hot cakes I bought with my allowance.\Hey, what are you doing? Hurry and come in.\Sorry. Sorry.\It took me some time to get my shoes off.\Hello, Sakura-chan. response:	Yu' Yukito-san.
context: You're terrible\Eating it without asking.\Those are the hot cakes I bought with my allowance.\Hey, what are you doing? Hurry and come in.\Sorry. Sorry.\It took me some time to get my shoes off.\Hello, Sakura-chan.\Yu' Yukito-san. response:	Hello.
context: Eating it without asking.\Those are the hot cakes I bought with my allowance.\Hey, what are you doing? Hurry and come in.\Sorry. Sorry.\It took me some time to get my shoes off.\Hello, Sakura-chan.\Yu' Yukito-san.\Hello. response:	That looks good.
context: Those are the hot cakes I bought with my allowance.\Hey, what are you doing? Hurry and come in.\Sorry. Sorry.\It took me some time to get my shoes off.\Hello, Sakura-chan.\Yu' Yukito-san.\Hello.\That looks good. response:	Sakura, you're a good cook right?
context: Hey, what are you doing? Hurry and come in.\Sorry. Sorry.\It took me some time to get my shoes off.\Hello, Sakura-chan.\Yu' Yukito-san.\Hello.\That looks good.\Sakura, you're a good cook right? response:	That's not true.
context: Sorry. Sorry.\It took me some time to get my shoes off.\Hello, Sakura-chan.\Yu' Yukito-san.\Hello.\That looks good.\Sakura, you're a good cook right?\That's not true. response:	Yeah. That really isn't true.
context: It took me some time to get my shoes off.\Hello, Sakura-chan.\Yu' Yukito-san.\Hello.\That looks good.\Sakura, you're a good cook right?\That's not true.\Yeah. That really isn't true. response:	Umm'
context: Hello, Sakura-chan.\Yu' Yukito-san.\Hello.\That looks good.\Sakura, you're a good cook right?\That's not true.\Yeah. That really isn't true.\Umm' response:	Yes?
context: Yu' Yukito-san.\Hello.\That looks good.\Sakura, you're a good cook right?\That's not true.\Yeah. That really isn't true.\Umm'\Yes? response:	Would you like
context: Hello.\That looks good.\Sakura, you're a good cook right?\That's not true.\Yeah. That really isn't true.\Umm'\Yes?\Would you like response:	Some hot cakes?
context: That looks good.\Sakura, you're a good cook right?\That's not true.\Yeah. That really isn't true.\Umm'\Yes?\Would you like\Some hot cakes? response:	Is it OK?
context: Sakura, you're a good cook right?\That's not true.\Yeah. That really isn't true.\Umm'\Yes?\Would you like\Some hot cakes?\Is it OK? response:	Didn't you buy it with your allowance?
context: That's not true.\Yeah. That really isn't true.\Umm'\Yes?\Would you like\Some hot cakes?\Is it OK?\Didn't you buy it with your allowance? response:	It's fine.
context: Yeah. That really isn't true.\Umm'\Yes?\Would you like\Some hot cakes?\Is it OK?\Didn't you buy it with your allowance?\It's fine. response:	I'll bring it to my brother's room later.
context: Umm'\Yes?\Would you like\Some hot cakes?\Is it OK?\Didn't you buy it with your allowance?\It's fine.\I'll bring it to my brother's room later. response:	Thank you.
context: Yes?\Would you like\Some hot cakes?\Is it OK?\Didn't you buy it with your allowance?\It's fine.\I'll bring it to my brother's room later.\Thank you. response:	I can't knock.
context: Would you like\Some hot cakes?\Is it OK?\Didn't you buy it with your allowance?\It's fine.\I'll bring it to my brother's room later.\Thank you.\I can't knock. response:	What should I do?
context: Some hot cakes?\Is it OK?\Didn't you buy it with your allowance?\It's fine.\I'll bring it to my brother's room later.\Thank you.\I can't knock.\What should I do? response:	Thank you, Sakura-chan.
context: Is it OK?\Didn't you buy it with your allowance?\It's fine.\I'll bring it to my brother's room later.\Thank you.\I can't knock.\What should I do?\Thank you, Sakura-chan. response:	No problem.
context: Didn't you buy it with your allowance?\It's fine.\I'll bring it to my brother's room later.\Thank you.\I can't knock.\What should I do?\Thank you, Sakura-chan.\No problem. response:	What Sakura? You were there?
context: It's fine.\I'll bring it to my brother's room later.\Thank you.\I can't knock.\What should I do?\Thank you, Sakura-chan.\No problem.\What Sakura? You were there? response:	Umm.
context: I'll bring it to my brother's room later.\Thank you.\I can't knock.\What should I do?\Thank you, Sakura-chan.\No problem.\What Sakura? You were there?\Umm. response:	How did you know I was there when I didn't knock?
context: Thank you.\I can't knock.\What should I do?\Thank you, Sakura-chan.\No problem.\What Sakura? You were there?\Umm.\How did you know I was there when I didn't knock? response:	I just got the feeling
context: I can't knock.\What should I do?\Thank you, Sakura-chan.\No problem.\What Sakura? You were there?\Umm.\How did you know I was there when I didn't knock?\I just got the feeling response:	You had brought them up.
context: What should I do?\Thank you, Sakura-chan.\No problem.\What Sakura? You were there?\Umm.\How did you know I was there when I didn't knock?\I just got the feeling\You had brought them up. response:	Aquarium. Water.
context: Thank you, Sakura-chan.\No problem.\What Sakura? You were there?\Umm.\How did you know I was there when I didn't knock?\I just got the feeling\You had brought them up.\Aquarium. Water. response:	Sakura.
context: No problem.\What Sakura? You were there?\Umm.\How did you know I was there when I didn't knock?\I just got the feeling\You had brought them up.\Aquarium. Water.\Sakura. response:	Hey Sakura.
context: What Sakura? You were there?\Umm.\How did you know I was there when I didn't knock?\I just got the feeling\You had brought them up.\Aquarium. Water.\Sakura.\Hey Sakura. response:	What's going on?
context: Umm.\How did you know I was there when I didn't knock?\I just got the feeling\You had brought them up.\Aquarium. Water.\Sakura.\Hey Sakura.\What's going on? response:	I'm so happy.
context: How did you know I was there when I didn't knock?\I just got the feeling\You had brought them up.\Aquarium. Water.\Sakura.\Hey Sakura.\What's going on?\I'm so happy. response:	Ah, Yukito-san.
context: I just got the feeling\You had brought them up.\Aquarium. Water.\Sakura.\Hey Sakura.\What's going on?\I'm so happy.\Ah, Yukito-san. response:	Hey!
context: You had brought them up.\Aquarium. Water.\Sakura.\Hey Sakura.\What's going on?\I'm so happy.\Ah, Yukito-san.\Hey! response:	What are you going to do so spaced out?
context: Aquarium. Water.\Sakura.\Hey Sakura.\What's going on?\I'm so happy.\Ah, Yukito-san.\Hey!\What are you going to do so spaced out? response:	What happened to your duty as Card Captor?
context: Sakura.\Hey Sakura.\What's going on?\I'm so happy.\Ah, Yukito-san.\Hey!\What are you going to do so spaced out?\What happened to your duty as Card Captor? response:	Yukito-san is more important than the cards.
context: Hey Sakura.\What's going on?\I'm so happy.\Ah, Yukito-san.\Hey!\What are you going to do so spaced out?\What happened to your duty as Card Captor?\Yukito-san is more important than the cards. response:	Hey, hey. Don't you care of the penguin drowns again?
context: What's going on?\I'm so happy.\Ah, Yukito-san.\Hey!\What are you going to do so spaced out?\What happened to your duty as Card Captor?\Yukito-san is more important than the cards.\Hey, hey. Don't you care of the penguin drowns again? response:	I don't want that.
context: I'm so happy.\Ah, Yukito-san.\Hey!\What are you going to do so spaced out?\What happened to your duty as Card Captor?\Yukito-san is more important than the cards.\Hey, hey. Don't you care of the penguin drowns again?\I don't want that. response:	The poor things.
context: Ah, Yukito-san.\Hey!\What are you going to do so spaced out?\What happened to your duty as Card Captor?\Yukito-san is more important than the cards.\Hey, hey. Don't you care of the penguin drowns again?\I don't want that.\The poor things. response:	I thought I would die.
context: Hey!\What are you going to do so spaced out?\What happened to your duty as Card Captor?\Yukito-san is more important than the cards.\Hey, hey. Don't you care of the penguin drowns again?\I don't want that.\The poor things.\I thought I would die. response:	But this time might be a little bit bad.
context: What are you going to do so spaced out?\What happened to your duty as Card Captor?\Yukito-san is more important than the cards.\Hey, hey. Don't you care of the penguin drowns again?\I don't want that.\The poor things.\I thought I would die.\But this time might be a little bit bad. response:	If was obviously in the water that the trainer woman
context: What happened to your duty as Card Captor?\Yukito-san is more important than the cards.\Hey, hey. Don't you care of the penguin drowns again?\I don't want that.\The poor things.\I thought I would die.\But this time might be a little bit bad.\If was obviously in the water that the trainer woman response:	And the penguin were about the drown.
context: Yukito-san is more important than the cards.\Hey, hey. Don't you care of the penguin drowns again?\I don't want that.\The poor things.\I thought I would die.\But this time might be a little bit bad.\If was obviously in the water that the trainer woman\And the penguin were about the drown. response:	Yeah.
context: Hey, hey. Don't you care of the penguin drowns again?\I don't want that.\The poor things.\I thought I would die.\But this time might be a little bit bad.\If was obviously in the water that the trainer woman\And the penguin were about the drown.\Yeah. response:	Did you see who it was that tried to drown them?
context: I don't want that.\The poor things.\I thought I would die.\But this time might be a little bit bad.\If was obviously in the water that the trainer woman\And the penguin were about the drown.\Yeah.\Did you see who it was that tried to drown them? response:	No, not at all. The water was just swirling around.
context: The poor things.\I thought I would die.\But this time might be a little bit bad.\If was obviously in the water that the trainer woman\And the penguin were about the drown.\Yeah.\Did you see who it was that tried to drown them?\No, not at all. The water was just swirling around. response:	That was probably water, the Watery card.
context: I thought I would die.\But this time might be a little bit bad.\If was obviously in the water that the trainer woman\And the penguin were about the drown.\Yeah.\Did you see who it was that tried to drown them?\No, not at all. The water was just swirling around.\That was probably water, the Watery card. response:	So that's it.
context: But this time might be a little bit bad.\If was obviously in the water that the trainer woman\And the penguin were about the drown.\Yeah.\Did you see who it was that tried to drown them?\No, not at all. The water was just swirling around.\That was probably water, the Watery card.\So that's it. response:	So we just need to catch it and return it to a card.
context: If was obviously in the water that the trainer woman\And the penguin were about the drown.\Yeah.\Did you see who it was that tried to drown them?\No, not at all. The water was just swirling around.\That was probably water, the Watery card.\So that's it.\So we just need to catch it and return it to a card. response:	It won't be so easy.
context: And the penguin were about the drown.\Yeah.\Did you see who it was that tried to drown them?\No, not at all. The water was just swirling around.\That was probably water, the Watery card.\So that's it.\So we just need to catch it and return it to a card.\It won't be so easy. response:	You can't see Watery when she is in the water.
context: Yeah.\Did you see who it was that tried to drown them?\No, not at all. The water was just swirling around.\That was probably water, the Watery card.\So that's it.\So we just need to catch it and return it to a card.\It won't be so easy.\You can't see Watery when she is in the water. response:	Even if you manage to draw her out of the water'
context: Did you see who it was that tried to drown them?\No, not at all. The water was just swirling around.\That was probably water, the Watery card.\So that's it.\So we just need to catch it and return it to a card.\It won't be so easy.\You can't see Watery when she is in the water.\Even if you manage to draw her out of the water' response:	If she splits up all over the place you can't finish her off.
context: No, not at all. The water was just swirling around.\That was probably water, the Watery card.\So that's it.\So we just need to catch it and return it to a card.\It won't be so easy.\You can't see Watery when she is in the water.\Even if you manage to draw her out of the water'\If she splits up all over the place you can't finish her off. response:	Something as shapeless
context: That was probably water, the Watery card.\So that's it.\So we just need to catch it and return it to a card.\It won't be so easy.\You can't see Watery when she is in the water.\Even if you manage to draw her out of the water'\If she splits up all over the place you can't finish her off.\Something as shapeless response:	As water is tough to catch.
context: So that's it.\So we just need to catch it and return it to a card.\It won't be so easy.\You can't see Watery when she is in the water.\Even if you manage to draw her out of the water'\If she splits up all over the place you can't finish her off.\Something as shapeless\As water is tough to catch. response:	Watery is a high level magic
context: So we just need to catch it and return it to a card.\It won't be so easy.\You can't see Watery when she is in the water.\Even if you manage to draw her out of the water'\If she splits up all over the place you can't finish her off.\Something as shapeless\As water is tough to catch.\Watery is a high level magic response:	Amongst the Clow Cards.
context: It won't be so easy.\You can't see Watery when she is in the water.\Even if you manage to draw her out of the water'\If she splits up all over the place you can't finish her off.\Something as shapeless\As water is tough to catch.\Watery is a high level magic\Amongst the Clow Cards. response:	The four basic elements
context: You can't see Watery when she is in the water.\Even if you manage to draw her out of the water'\If she splits up all over the place you can't finish her off.\Something as shapeless\As water is tough to catch.\Watery is a high level magic\Amongst the Clow Cards.\The four basic elements response:	'Earth, water, fire, and wind'
context: Even if you manage to draw her out of the water'\If she splits up all over the place you can't finish her off.\Something as shapeless\As water is tough to catch.\Watery is a high level magic\Amongst the Clow Cards.\The four basic elements\'Earth, water, fire, and wind' response:	Those are very difficult to use.
context: If she splits up all over the place you can't finish her off.\Something as shapeless\As water is tough to catch.\Watery is a high level magic\Amongst the Clow Cards.\The four basic elements\'Earth, water, fire, and wind'\Those are very difficult to use. response:	Above that, Watery is an attack magic card.
context: Something as shapeless\As water is tough to catch.\Watery is a high level magic\Amongst the Clow Cards.\The four basic elements\'Earth, water, fire, and wind'\Those are very difficult to use.\Above that, Watery is an attack magic card. response:	She is very aggressive.
context: As water is tough to catch.\Watery is a high level magic\Amongst the Clow Cards.\The four basic elements\'Earth, water, fire, and wind'\Those are very difficult to use.\Above that, Watery is an attack magic card.\She is very aggressive. response:	The cards you have are
context: Watery is a high level magic\Amongst the Clow Cards.\The four basic elements\'Earth, water, fire, and wind'\Those are very difficult to use.\Above that, Watery is an attack magic card.\She is very aggressive.\The cards you have are response:	'Windy, Fly, and Shadow.'
context: Amongst the Clow Cards.\The four basic elements\'Earth, water, fire, and wind'\Those are very difficult to use.\Above that, Watery is an attack magic card.\She is very aggressive.\The cards you have are\'Windy, Fly, and Shadow.' response:	That won't be able to do it.
context: The four basic elements\'Earth, water, fire, and wind'\Those are very difficult to use.\Above that, Watery is an attack magic card.\She is very aggressive.\The cards you have are\'Windy, Fly, and Shadow.'\That won't be able to do it. response:	Even if
