context: Once upon a time, there was a man who died. response:	The prince and the raven from the man's story escaped from the story and fought.
context: That's...\The mime for death!\Fakir?\Fakir!\Don't... don't die!\The Raven\Quack.\Oh, good, that was just a dream. response:	A dream of Fakir...
context: The mime for death!\Fakir?\Fakir!\Don't... don't die!\The Raven\Quack.\Oh, good, that was just a dream.\A dream of Fakir... response:	Fakir...
context: Fakir?\Fakir!\Don't... don't die!\The Raven\Quack.\Oh, good, that was just a dream.\A dream of Fakir...\Fakir... response:	Quack!
context: Fakir!\Don't... don't die!\The Raven\Quack.\Oh, good, that was just a dream.\A dream of Fakir...\Fakir...\Quack! response:	Sheesh, what the heck am I thinking about?!
context: Don't... don't die!\The Raven\Quack.\Oh, good, that was just a dream.\A dream of Fakir...\Fakir...\Quack!\Sheesh, what the heck am I thinking about?! response:	All right!
context: The Raven\Quack.\Oh, good, that was just a dream.\A dream of Fakir...\Fakir...\Quack!\Sheesh, what the heck am I thinking about?!\All right! response:	It was a dream, right? Right. Just a dream.
context: Quack.\Oh, good, that was just a dream.\A dream of Fakir...\Fakir...\Quack!\Sheesh, what the heck am I thinking about?!\All right!\It was a dream, right? Right. Just a dream. response:	Sorry to keep you waiting!
context: Oh, good, that was just a dream.\A dream of Fakir...\Fakir...\Quack!\Sheesh, what the heck am I thinking about?!\All right!\It was a dream, right? Right. Just a dream.\Sorry to keep you waiting! response:	Really, all you guys ever think about is food.
context: A dream of Fakir...\Fakir...\Quack!\Sheesh, what the heck am I thinking about?!\All right!\It was a dream, right? Right. Just a dream.\Sorry to keep you waiting!\Really, all you guys ever think about is food. response:	You guys have no worries.
context: Fakir...\Quack!\Sheesh, what the heck am I thinking about?!\All right!\It was a dream, right? Right. Just a dream.\Sorry to keep you waiting!\Really, all you guys ever think about is food.\You guys have no worries. response:	Hey, did you know I'm Princess Tutu?
context: Quack!\Sheesh, what the heck am I thinking about?!\All right!\It was a dream, right? Right. Just a dream.\Sorry to keep you waiting!\Really, all you guys ever think about is food.\You guys have no worries.\Hey, did you know I'm Princess Tutu? response:	I'm a prima donna who rescues the prince.
context: Sheesh, what the heck am I thinking about?!\All right!\It was a dream, right? Right. Just a dream.\Sorry to keep you waiting!\Really, all you guys ever think about is food.\You guys have no worries.\Hey, did you know I'm Princess Tutu?\I'm a prima donna who rescues the prince. response:	Well, not that it really matters.
context: All right!\It was a dream, right? Right. Just a dream.\Sorry to keep you waiting!\Really, all you guys ever think about is food.\You guys have no worries.\Hey, did you know I'm Princess Tutu?\I'm a prima donna who rescues the prince.\Well, not that it really matters. response:	It's been a week since then. I wonder if his wounds have healed.
context: It was a dream, right? Right. Just a dream.\Sorry to keep you waiting!\Really, all you guys ever think about is food.\You guys have no worries.\Hey, did you know I'm Princess Tutu?\I'm a prima donna who rescues the prince.\Well, not that it really matters.\It's been a week since then. I wonder if his wounds have healed. response:	He must be okay, right?
context: Sorry to keep you waiting!\Really, all you guys ever think about is food.\You guys have no worries.\Hey, did you know I'm Princess Tutu?\I'm a prima donna who rescues the prince.\Well, not that it really matters.\It's been a week since then. I wonder if his wounds have healed.\He must be okay, right? response:	Ahiru! Are you awake?
context: Really, all you guys ever think about is food.\You guys have no worries.\Hey, did you know I'm Princess Tutu?\I'm a prima donna who rescues the prince.\Well, not that it really matters.\It's been a week since then. I wonder if his wounds have healed.\He must be okay, right?\Ahiru! Are you awake? response:	Hurry! Panic! Move really fast! Seriously rush!
context: You guys have no worries.\Hey, did you know I'm Princess Tutu?\I'm a prima donna who rescues the prince.\Well, not that it really matters.\It's been a week since then. I wonder if his wounds have healed.\He must be okay, right?\Ahiru! Are you awake?\Hurry! Panic! Move really fast! Seriously rush! response:	Huh?
context: Hey, did you know I'm Princess Tutu?\I'm a prima donna who rescues the prince.\Well, not that it really matters.\It's been a week since then. I wonder if his wounds have healed.\He must be okay, right?\Ahiru! Are you awake?\Hurry! Panic! Move really fast! Seriously rush!\Huh? response:	No way! It's that late already?!
context: I'm a prima donna who rescues the prince.\Well, not that it really matters.\It's been a week since then. I wonder if his wounds have healed.\He must be okay, right?\Ahiru! Are you awake?\Hurry! Panic! Move really fast! Seriously rush!\Huh?\No way! It's that late already?! response:	What a great sound!
context: Well, not that it really matters.\It's been a week since then. I wonder if his wounds have healed.\He must be okay, right?\Ahiru! Are you awake?\Hurry! Panic! Move really fast! Seriously rush!\Huh?\No way! It's that late already?!\What a great sound! response:	You don't have to panic THAT much.
context: It's been a week since then. I wonder if his wounds have healed.\He must be okay, right?\Ahiru! Are you awake?\Hurry! Panic! Move really fast! Seriously rush!\Huh?\No way! It's that late already?!\What a great sound!\You don't have to panic THAT much. response:	But anyway, we're going on ahead!
context: He must be okay, right?\Ahiru! Are you awake?\Hurry! Panic! Move really fast! Seriously rush!\Huh?\No way! It's that late already?!\What a great sound!\You don't have to panic THAT much.\But anyway, we're going on ahead! response:	Okay!
context: Ahiru! Are you awake?\Hurry! Panic! Move really fast! Seriously rush!\Huh?\No way! It's that late already?!\What a great sound!\You don't have to panic THAT much.\But anyway, we're going on ahead!\Okay! response:	It really does feel like I'm still just Ahiru. Nothing's changed!
context: Hurry! Panic! Move really fast! Seriously rush!\Huh?\No way! It's that late already?!\What a great sound!\You don't have to panic THAT much.\But anyway, we're going on ahead!\Okay!\It really does feel like I'm still just Ahiru. Nothing's changed! response:	Rue-chan...
context: Huh?\No way! It's that late already?!\What a great sound!\You don't have to panic THAT much.\But anyway, we're going on ahead!\Okay!\It really does feel like I'm still just Ahiru. Nothing's changed!\Rue-chan... response:	She'll come back, right?
context: No way! It's that late already?!\What a great sound!\You don't have to panic THAT much.\But anyway, we're going on ahead!\Okay!\It really does feel like I'm still just Ahiru. Nothing's changed!\Rue-chan...\She'll come back, right? response:	Rue-chan is Rue-chan, right?
context: What a great sound!\You don't have to panic THAT much.\But anyway, we're going on ahead!\Okay!\It really does feel like I'm still just Ahiru. Nothing's changed!\Rue-chan...\She'll come back, right?\Rue-chan is Rue-chan, right? response:	She's definitely not Princess Kraehe, right?
context: You don't have to panic THAT much.\But anyway, we're going on ahead!\Okay!\It really does feel like I'm still just Ahiru. Nothing's changed!\Rue-chan...\She'll come back, right?\Rue-chan is Rue-chan, right?\She's definitely not Princess Kraehe, right? response:	Oof...
context: But anyway, we're going on ahead!\Okay!\It really does feel like I'm still just Ahiru. Nothing's changed!\Rue-chan...\She'll come back, right?\Rue-chan is Rue-chan, right?\She's definitely not Princess Kraehe, right?\Oof... response:	Good morning, Ahiru.
context: Okay!\It really does feel like I'm still just Ahiru. Nothing's changed!\Rue-chan...\She'll come back, right?\Rue-chan is Rue-chan, right?\She's definitely not Princess Kraehe, right?\Oof...\Good morning, Ahiru. response:	What?
context: It really does feel like I'm still just Ahiru. Nothing's changed!\Rue-chan...\She'll come back, right?\Rue-chan is Rue-chan, right?\She's definitely not Princess Kraehe, right?\Oof...\Good morning, Ahiru.\What? response:	Good morning, Mytho.
context: Rue-chan...\She'll come back, right?\Rue-chan is Rue-chan, right?\She's definitely not Princess Kraehe, right?\Oof...\Good morning, Ahiru.\What?\Good morning, Mytho. response:	Oh, Fakir...
context: She'll come back, right?\Rue-chan is Rue-chan, right?\She's definitely not Princess Kraehe, right?\Oof...\Good morning, Ahiru.\What?\Good morning, Mytho.\Oh, Fakir... response:	Is your wound healed?
context: Rue-chan is Rue-chan, right?\She's definitely not Princess Kraehe, right?\Oof...\Good morning, Ahiru.\What?\Good morning, Mytho.\Oh, Fakir...\Is your wound healed? response:	It was finally getting better, but seeing your face has made it start throbbing with pain.
context: She's definitely not Princess Kraehe, right?\Oof...\Good morning, Ahiru.\What?\Good morning, Mytho.\Oh, Fakir...\Is your wound healed?\It was finally getting better, but seeing your face has made it start throbbing with pain. response:	Grrr...
context: Oof...\Good morning, Ahiru.\What?\Good morning, Mytho.\Oh, Fakir...\Is your wound healed?\It was finally getting better, but seeing your face has made it start throbbing with pain.\Grrr... response:	She was worried because you weren't in school for a whole week.
context: Good morning, Ahiru.\What?\Good morning, Mytho.\Oh, Fakir...\Is your wound healed?\It was finally getting better, but seeing your face has made it start throbbing with pain.\Grrr...\She was worried because you weren't in school for a whole week. response:	That's not a nice way to talk to her, Fakir.
context: What?\Good morning, Mytho.\Oh, Fakir...\Is your wound healed?\It was finally getting better, but seeing your face has made it start throbbing with pain.\Grrr...\She was worried because you weren't in school for a whole week.\That's not a nice way to talk to her, Fakir. response:	Don't mind him, Ahiru. Will you keep being friendly with me?
context: Good morning, Mytho.\Oh, Fakir...\Is your wound healed?\It was finally getting better, but seeing your face has made it start throbbing with pain.\Grrr...\She was worried because you weren't in school for a whole week.\That's not a nice way to talk to her, Fakir.\Don't mind him, Ahiru. Will you keep being friendly with me? response:	You're the only friend I have that I can tell everything to.
context: Oh, Fakir...\Is your wound healed?\It was finally getting better, but seeing your face has made it start throbbing with pain.\Grrr...\She was worried because you weren't in school for a whole week.\That's not a nice way to talk to her, Fakir.\Don't mind him, Ahiru. Will you keep being friendly with me?\You're the only friend I have that I can tell everything to. response:	Sure.
context: Is your wound healed?\It was finally getting better, but seeing your face has made it start throbbing with pain.\Grrr...\She was worried because you weren't in school for a whole week.\That's not a nice way to talk to her, Fakir.\Don't mind him, Ahiru. Will you keep being friendly with me?\You're the only friend I have that I can tell everything to.\Sure. response:	Tell everything to...
context: It was finally getting better, but seeing your face has made it start throbbing with pain.\Grrr...\She was worried because you weren't in school for a whole week.\That's not a nice way to talk to her, Fakir.\Don't mind him, Ahiru. Will you keep being friendly with me?\You're the only friend I have that I can tell everything to.\Sure.\Tell everything to... response:	I'm hiding the fact that I'm Princess Tutu from Mytho.
context: Grrr...\She was worried because you weren't in school for a whole week.\That's not a nice way to talk to her, Fakir.\Don't mind him, Ahiru. Will you keep being friendly with me?\You're the only friend I have that I can tell everything to.\Sure.\Tell everything to...\I'm hiding the fact that I'm Princess Tutu from Mytho. response:	And that I'm a duck too.
context: She was worried because you weren't in school for a whole week.\That's not a nice way to talk to her, Fakir.\Don't mind him, Ahiru. Will you keep being friendly with me?\You're the only friend I have that I can tell everything to.\Sure.\Tell everything to...\I'm hiding the fact that I'm Princess Tutu from Mytho.\And that I'm a duck too. response:	Am I unfair?
context: That's not a nice way to talk to her, Fakir.\Don't mind him, Ahiru. Will you keep being friendly with me?\You're the only friend I have that I can tell everything to.\Sure.\Tell everything to...\I'm hiding the fact that I'm Princess Tutu from Mytho.\And that I'm a duck too.\Am I unfair? response:	I have to tell him, don't I? But...
context: Don't mind him, Ahiru. Will you keep being friendly with me?\You're the only friend I have that I can tell everything to.\Sure.\Tell everything to...\I'm hiding the fact that I'm Princess Tutu from Mytho.\And that I'm a duck too.\Am I unfair?\I have to tell him, don't I? But... response:	Ahiru?
context: You're the only friend I have that I can tell everything to.\Sure.\Tell everything to...\I'm hiding the fact that I'm Princess Tutu from Mytho.\And that I'm a duck too.\Am I unfair?\I have to tell him, don't I? But...\Ahiru? response:	Um, I... Well, the truth is... The truth is...
context: Sure.\Tell everything to...\I'm hiding the fact that I'm Princess Tutu from Mytho.\And that I'm a duck too.\Am I unfair?\I have to tell him, don't I? But...\Ahiru?\Um, I... Well, the truth is... The truth is... response:	Princess Tutu.
context: Tell everything to...\I'm hiding the fact that I'm Princess Tutu from Mytho.\And that I'm a duck too.\Am I unfair?\I have to tell him, don't I? But...\Ahiru?\Um, I... Well, the truth is... The truth is...\Princess Tutu. response:	Quack!
context: I'm hiding the fact that I'm Princess Tutu from Mytho.\And that I'm a duck too.\Am I unfair?\I have to tell him, don't I? But...\Ahiru?\Um, I... Well, the truth is... The truth is...\Princess Tutu.\Quack! response:	Oh, no!
context: And that I'm a duck too.\Am I unfair?\I have to tell him, don't I? But...\Ahiru?\Um, I... Well, the truth is... The truth is...\Princess Tutu.\Quack!\Oh, no! response:	Is flying over there.
context: Am I unfair?\I have to tell him, don't I? But...\Ahiru?\Um, I... Well, the truth is... The truth is...\Princess Tutu.\Quack!\Oh, no!\Is flying over there. response:	No, maybe it's a crocodile? Which do you think, Mytho?
context: I have to tell him, don't I? But...\Ahiru?\Um, I... Well, the truth is... The truth is...\Princess Tutu.\Quack!\Oh, no!\Is flying over there.\No, maybe it's a crocodile? Which do you think, Mytho? response:	Quack...
context: Ahiru?\Um, I... Well, the truth is... The truth is...\Princess Tutu.\Quack!\Oh, no!\Is flying over there.\No, maybe it's a crocodile? Which do you think, Mytho?\Quack... response:	There's nothing there.
context: Um, I... Well, the truth is... The truth is...\Princess Tutu.\Quack!\Oh, no!\Is flying over there.\No, maybe it's a crocodile? Which do you think, Mytho?\Quack...\There's nothing there. response:	And Princess Tutu and a crocodile are totally different anyway, Fakir.
context: Princess Tutu.\Quack!\Oh, no!\Is flying over there.\No, maybe it's a crocodile? Which do you think, Mytho?\Quack...\There's nothing there.\And Princess Tutu and a crocodile are totally different anyway, Fakir. response:	Fakir?
context: Quack!\Oh, no!\Is flying over there.\No, maybe it's a crocodile? Which do you think, Mytho?\Quack...\There's nothing there.\And Princess Tutu and a crocodile are totally different anyway, Fakir.\Fakir? response:	Oh? Right. Maybe I was just imagining things.
context: Oh, no!\Is flying over there.\No, maybe it's a crocodile? Which do you think, Mytho?\Quack...\There's nothing there.\And Princess Tutu and a crocodile are totally different anyway, Fakir.\Fakir?\Oh? Right. Maybe I was just imagining things. response:	I really thought I saw a flying cow, but...
context: Is flying over there.\No, maybe it's a crocodile? Which do you think, Mytho?\Quack...\There's nothing there.\And Princess Tutu and a crocodile are totally different anyway, Fakir.\Fakir?\Oh? Right. Maybe I was just imagining things.\I really thought I saw a flying cow, but... response:	A cow?
context: No, maybe it's a crocodile? Which do you think, Mytho?\Quack...\There's nothing there.\And Princess Tutu and a crocodile are totally different anyway, Fakir.\Fakir?\Oh? Right. Maybe I was just imagining things.\I really thought I saw a flying cow, but...\A cow? response:	It's nothing. Don't worry about it.
context: Quack...\There's nothing there.\And Princess Tutu and a crocodile are totally different anyway, Fakir.\Fakir?\Oh? Right. Maybe I was just imagining things.\I really thought I saw a flying cow, but...\A cow?\It's nothing. Don't worry about it. response:	You're being weird, Fakir.
context: There's nothing there.\And Princess Tutu and a crocodile are totally different anyway, Fakir.\Fakir?\Oh? Right. Maybe I was just imagining things.\I really thought I saw a flying cow, but...\A cow?\It's nothing. Don't worry about it.\You're being weird, Fakir. response:	Huh? Where's Ahiru?
context: And Princess Tutu and a crocodile are totally different anyway, Fakir.\Fakir?\Oh? Right. Maybe I was just imagining things.\I really thought I saw a flying cow, but...\A cow?\It's nothing. Don't worry about it.\You're being weird, Fakir.\Huh? Where's Ahiru? response:	No idea.
context: Fakir?\Oh? Right. Maybe I was just imagining things.\I really thought I saw a flying cow, but...\A cow?\It's nothing. Don't worry about it.\You're being weird, Fakir.\Huh? Where's Ahiru?\No idea. response:	She probably didn't like the way I talked to her and went on ahead.
context: Oh? Right. Maybe I was just imagining things.\I really thought I saw a flying cow, but...\A cow?\It's nothing. Don't worry about it.\You're being weird, Fakir.\Huh? Where's Ahiru?\No idea.\She probably didn't like the way I talked to her and went on ahead. response:	I see.
context: I really thought I saw a flying cow, but...\A cow?\It's nothing. Don't worry about it.\You're being weird, Fakir.\Huh? Where's Ahiru?\No idea.\She probably didn't like the way I talked to her and went on ahead.\I see. response:	You have to be nicer to girls, Fakir.
context: A cow?\It's nothing. Don't worry about it.\You're being weird, Fakir.\Huh? Where's Ahiru?\No idea.\She probably didn't like the way I talked to her and went on ahead.\I see.\You have to be nicer to girls, Fakir. response:	What do you think of Princess Tutu?
context: It's nothing. Don't worry about it.\You're being weird, Fakir.\Huh? Where's Ahiru?\No idea.\She probably didn't like the way I talked to her and went on ahead.\I see.\You have to be nicer to girls, Fakir.\What do you think of Princess Tutu? response:	Why are you asking me so suddenly?
context: You're being weird, Fakir.\Huh? Where's Ahiru?\No idea.\She probably didn't like the way I talked to her and went on ahead.\I see.\You have to be nicer to girls, Fakir.\What do you think of Princess Tutu?\Why are you asking me so suddenly? response:	She always disappears after she returns a piece of your heart.
context: Huh? Where's Ahiru?\No idea.\She probably didn't like the way I talked to her and went on ahead.\I see.\You have to be nicer to girls, Fakir.\What do you think of Princess Tutu?\Why are you asking me so suddenly?\She always disappears after she returns a piece of your heart. response:	Do you want to know who she really is?
context: No idea.\She probably didn't like the way I talked to her and went on ahead.\I see.\You have to be nicer to girls, Fakir.\What do you think of Princess Tutu?\Why are you asking me so suddenly?\She always disappears after she returns a piece of your heart.\Do you want to know who she really is? response:	Of course, I do.
context: She probably didn't like the way I talked to her and went on ahead.\I see.\You have to be nicer to girls, Fakir.\What do you think of Princess Tutu?\Why are you asking me so suddenly?\She always disappears after she returns a piece of your heart.\Do you want to know who she really is?\Of course, I do. response:	Oh...
context: I see.\You have to be nicer to girls, Fakir.\What do you think of Princess Tutu?\Why are you asking me so suddenly?\She always disappears after she returns a piece of your heart.\Do you want to know who she really is?\Of course, I do.\Oh... response:	But maybe right now it's best for me not to know.
context: You have to be nicer to girls, Fakir.\What do you think of Princess Tutu?\Why are you asking me so suddenly?\She always disappears after she returns a piece of your heart.\Do you want to know who she really is?\Of course, I do.\Oh...\But maybe right now it's best for me not to know. response:	Because I'm sure she'll tell me someday.
context: What do you think of Princess Tutu?\Why are you asking me so suddenly?\She always disappears after she returns a piece of your heart.\Do you want to know who she really is?\Of course, I do.\Oh...\But maybe right now it's best for me not to know.\Because I'm sure she'll tell me someday. response:	Right now, I think it's more important to get all of my feelings back as soon as possible,
context: Why are you asking me so suddenly?\She always disappears after she returns a piece of your heart.\Do you want to know who she really is?\Of course, I do.\Oh...\But maybe right now it's best for me not to know.\Because I'm sure she'll tell me someday.\Right now, I think it's more important to get all of my feelings back as soon as possible, response:	with help from Princess Tutu.
context: She always disappears after she returns a piece of your heart.\Do you want to know who she really is?\Of course, I do.\Oh...\But maybe right now it's best for me not to know.\Because I'm sure she'll tell me someday.\Right now, I think it's more important to get all of my feelings back as soon as possible,\with help from Princess Tutu. response:	Mytho...
context: Do you want to know who she really is?\Of course, I do.\Oh...\But maybe right now it's best for me not to know.\Because I'm sure she'll tell me someday.\Right now, I think it's more important to get all of my feelings back as soon as possible,\with help from Princess Tutu.\Mytho... response:	You'll help me too, won't you, Fakir?
context: Of course, I do.\Oh...\But maybe right now it's best for me not to know.\Because I'm sure she'll tell me someday.\Right now, I think it's more important to get all of my feelings back as soon as possible,\with help from Princess Tutu.\Mytho...\You'll help me too, won't you, Fakir? response:	Well, I am technically a knight, after all.
context: Oh...\But maybe right now it's best for me not to know.\Because I'm sure she'll tell me someday.\Right now, I think it's more important to get all of my feelings back as soon as possible,\with help from Princess Tutu.\Mytho...\You'll help me too, won't you, Fakir?\Well, I am technically a knight, after all. response:	I was sure you'd say that, Fakir.
context: But maybe right now it's best for me not to know.\Because I'm sure she'll tell me someday.\Right now, I think it's more important to get all of my feelings back as soon as possible,\with help from Princess Tutu.\Mytho...\You'll help me too, won't you, Fakir?\Well, I am technically a knight, after all.\I was sure you'd say that, Fakir. response:	And then, I'll go back into the story.
context: Because I'm sure she'll tell me someday.\Right now, I think it's more important to get all of my feelings back as soon as possible,\with help from Princess Tutu.\Mytho...\You'll help me too, won't you, Fakir?\Well, I am technically a knight, after all.\I was sure you'd say that, Fakir.\And then, I'll go back into the story. response:	Mytho...
context: Right now, I think it's more important to get all of my feelings back as soon as possible,\with help from Princess Tutu.\Mytho...\You'll help me too, won't you, Fakir?\Well, I am technically a knight, after all.\I was sure you'd say that, Fakir.\And then, I'll go back into the story.\Mytho... response:	That's what you want, then?
context: with help from Princess Tutu.\Mytho...\You'll help me too, won't you, Fakir?\Well, I am technically a knight, after all.\I was sure you'd say that, Fakir.\And then, I'll go back into the story.\Mytho...\That's what you want, then? response:	Yes, because I'm the prince in the story.
context: Mytho...\You'll help me too, won't you, Fakir?\Well, I am technically a knight, after all.\I was sure you'd say that, Fakir.\And then, I'll go back into the story.\Mytho...\That's what you want, then?\Yes, because I'm the prince in the story. response:	I see.
context: You'll help me too, won't you, Fakir?\Well, I am technically a knight, after all.\I was sure you'd say that, Fakir.\And then, I'll go back into the story.\Mytho...\That's what you want, then?\Yes, because I'm the prince in the story.\I see. response:	Shall we go? Cat-sensei will be angry at us if we're late.
context: Well, I am technically a knight, after all.\I was sure you'd say that, Fakir.\And then, I'll go back into the story.\Mytho...\That's what you want, then?\Yes, because I'm the prince in the story.\I see.\Shall we go? Cat-sensei will be angry at us if we're late. response:	Okay.
context: I was sure you'd say that, Fakir.\And then, I'll go back into the story.\Mytho...\That's what you want, then?\Yes, because I'm the prince in the story.\I see.\Shall we go? Cat-sensei will be angry at us if we're late.\Okay. response:	You give me a lot of trouble.
context: And then, I'll go back into the story.\Mytho...\That's what you want, then?\Yes, because I'm the prince in the story.\I see.\Shall we go? Cat-sensei will be angry at us if we're late.\Okay.\You give me a lot of trouble. response:	Quack! What are you talking about?! It's your fault!
context: Mytho...\That's what you want, then?\Yes, because I'm the prince in the story.\I see.\Shall we go? Cat-sensei will be angry at us if we're late.\Okay.\You give me a lot of trouble.\Quack! What are you talking about?! It's your fault! response:	You can just be late and have Cat-sensei get mad at you!
context: That's what you want, then?\Yes, because I'm the prince in the story.\I see.\Shall we go? Cat-sensei will be angry at us if we're late.\Okay.\You give me a lot of trouble.\Quack! What are you talking about?! It's your fault!\You can just be late and have Cat-sensei get mad at you! response:	But wait...
