context: Again, huh? response:	Episode 10 Slight Fever
context: What?!\First, the Madam Manager, and now, one of the waitresses?!\What's wrong with this inn?!\Listen, Saturday is an important day for the Kissuiso!\Taking care of your own body is a part of being a professional!\Well, umm...\Yes?\Ohana was working hard for the sake of Kissuiso... response:	What?
context: First, the Madam Manager, and now, one of the waitresses?!\What's wrong with this inn?!\Listen, Saturday is an important day for the Kissuiso!\Taking care of your own body is a part of being a professional!\Well, umm...\Yes?\Ohana was working hard for the sake of Kissuiso...\What? response:	Even though this inn is small,
context: What's wrong with this inn?!\Listen, Saturday is an important day for the Kissuiso!\Taking care of your own body is a part of being a professional!\Well, umm...\Yes?\Ohana was working hard for the sake of Kissuiso...\What?\Even though this inn is small, response:	you need to put effort into risk management-
context: Listen, Saturday is an important day for the Kissuiso!\Taking care of your own body is a part of being a professional!\Well, umm...\Yes?\Ohana was working hard for the sake of Kissuiso...\What?\Even though this inn is small,\you need to put effort into risk management- response:	Right, risk management.
context: Taking care of your own body is a part of being a professional!\Well, umm...\Yes?\Ohana was working hard for the sake of Kissuiso...\What?\Even though this inn is small,\you need to put effort into risk management-\Right, risk management. response:	Risk management is a very important skill.
context: Well, umm...\Yes?\Ohana was working hard for the sake of Kissuiso...\What?\Even though this inn is small,\you need to put effort into risk management-\Right, risk management.\Risk management is a very important skill. response:	Thankfully, the Madam Manager was ill the other day,
context: Yes?\Ohana was working hard for the sake of Kissuiso...\What?\Even though this inn is small,\you need to put effort into risk management-\Right, risk management.\Risk management is a very important skill.\Thankfully, the Madam Manager was ill the other day, response:	which led to a good experi-
context: Ohana was working hard for the sake of Kissuiso...\What?\Even though this inn is small,\you need to put effort into risk management-\Right, risk management.\Risk management is a very important skill.\Thankfully, the Madam Manager was ill the other day,\which led to a good experi- response:	I mean, a very unfortunate event.
context: What?\Even though this inn is small,\you need to put effort into risk management-\Right, risk management.\Risk management is a very important skill.\Thankfully, the Madam Manager was ill the other day,\which led to a good experi-\I mean, a very unfortunate event. response:	So even you have something
context: Even though this inn is small,\you need to put effort into risk management-\Right, risk management.\Risk management is a very important skill.\Thankfully, the Madam Manager was ill the other day,\which led to a good experi-\I mean, a very unfortunate event.\So even you have something response:	good to say every once in a while, Miss Kawajiri.
context: you need to put effort into risk management-\Right, risk management.\Risk management is a very important skill.\Thankfully, the Madam Manager was ill the other day,\which led to a good experi-\I mean, a very unfortunate event.\So even you have something\good to say every once in a while, Miss Kawajiri. response:	So you were listening, Mom?
context: Right, risk management.\Risk management is a very important skill.\Thankfully, the Madam Manager was ill the other day,\which led to a good experi-\I mean, a very unfortunate event.\So even you have something\good to say every once in a while, Miss Kawajiri.\So you were listening, Mom? response:	Madam Manager.
context: Risk management is a very important skill.\Thankfully, the Madam Manager was ill the other day,\which led to a good experi-\I mean, a very unfortunate event.\So even you have something\good to say every once in a while, Miss Kawajiri.\So you were listening, Mom?\Madam Manager. response:	I have no hidden agenda.
context: Thankfully, the Madam Manager was ill the other day,\which led to a good experi-\I mean, a very unfortunate event.\So even you have something\good to say every once in a while, Miss Kawajiri.\So you were listening, Mom?\Madam Manager.\I have no hidden agenda. response:	That's right.
context: which led to a good experi-\I mean, a very unfortunate event.\So even you have something\good to say every once in a while, Miss Kawajiri.\So you were listening, Mom?\Madam Manager.\I have no hidden agenda.\That's right. response:	We shouldn't let what we learned the
context: I mean, a very unfortunate event.\So even you have something\good to say every once in a while, Miss Kawajiri.\So you were listening, Mom?\Madam Manager.\I have no hidden agenda.\That's right.\We shouldn't let what we learned the response:	other day go to waste.
context: So even you have something\good to say every once in a while, Miss Kawajiri.\So you were listening, Mom?\Madam Manager.\I have no hidden agenda.\That's right.\We shouldn't let what we learned the\other day go to waste. response:	What we learned the other day?
context: good to say every once in a while, Miss Kawajiri.\So you were listening, Mom?\Madam Manager.\I have no hidden agenda.\That's right.\We shouldn't let what we learned the\other day go to waste.\What we learned the other day? response:	To do your job accurately.
context: So you were listening, Mom?\Madam Manager.\I have no hidden agenda.\That's right.\We shouldn't let what we learned the\other day go to waste.\What we learned the other day?\To do your job accurately. response:	Oh.
context: Madam Manager.\I have no hidden agenda.\That's right.\We shouldn't let what we learned the\other day go to waste.\What we learned the other day?\To do your job accurately.\Oh. response:	Yup.
context: I have no hidden agenda.\That's right.\We shouldn't let what we learned the\other day go to waste.\What we learned the other day?\To do your job accurately.\Oh.\Yup. response:	Serial TV Drama The Hotel King
context: That's right.\We shouldn't let what we learned the\other day go to waste.\What we learned the other day?\To do your job accurately.\Oh.\Yup.\Serial TV Drama The Hotel King response:	That's for the Moon Room, right?
context: We shouldn't let what we learned the\other day go to waste.\What we learned the other day?\To do your job accurately.\Oh.\Yup.\Serial TV Drama The Hotel King\That's for the Moon Room, right? response:	Could you bring two bottles
context: other day go to waste.\What we learned the other day?\To do your job accurately.\Oh.\Yup.\Serial TV Drama The Hotel King\That's for the Moon Room, right?\Could you bring two bottles response:	of oolong tea and two cups to the Wave Room?
context: What we learned the other day?\To do your job accurately.\Oh.\Yup.\Serial TV Drama The Hotel King\That's for the Moon Room, right?\Could you bring two bottles\of oolong tea and two cups to the Wave Room? response:	Even though it's your first time doing it yourself,
context: To do your job accurately.\Oh.\Yup.\Serial TV Drama The Hotel King\That's for the Moon Room, right?\Could you bring two bottles\of oolong tea and two cups to the Wave Room?\Even though it's your first time doing it yourself, response:	you've watched me broil fish before, right?
context: Oh.\Yup.\Serial TV Drama The Hotel King\That's for the Moon Room, right?\Could you bring two bottles\of oolong tea and two cups to the Wave Room?\Even though it's your first time doing it yourself,\you've watched me broil fish before, right? response:	Yes.
context: Yup.\Serial TV Drama The Hotel King\That's for the Moon Room, right?\Could you bring two bottles\of oolong tea and two cups to the Wave Room?\Even though it's your first time doing it yourself,\you've watched me broil fish before, right?\Yes. response:	Then go for it.
context: Serial TV Drama The Hotel King\That's for the Moon Room, right?\Could you bring two bottles\of oolong tea and two cups to the Wave Room?\Even though it's your first time doing it yourself,\you've watched me broil fish before, right?\Yes.\Then go for it. response:	Yes.
context: That's for the Moon Room, right?\Could you bring two bottles\of oolong tea and two cups to the Wave Room?\Even though it's your first time doing it yourself,\you've watched me broil fish before, right?\Yes.\Then go for it.\Yes. response:	Yo.
context: Could you bring two bottles\of oolong tea and two cups to the Wave Room?\Even though it's your first time doing it yourself,\you've watched me broil fish before, right?\Yes.\Then go for it.\Yes.\Yo. response:	The customers in the
context: of oolong tea and two cups to the Wave Room?\Even though it's your first time doing it yourself,\you've watched me broil fish before, right?\Yes.\Then go for it.\Yes.\Yo.\The customers in the response:	Camellia Room don't need chicken, right?
context: Even though it's your first time doing it yourself,\you've watched me broil fish before, right?\Yes.\Then go for it.\Yes.\Yo.\The customers in the\Camellia Room don't need chicken, right? response:	Yup, that's right.
context: you've watched me broil fish before, right?\Yes.\Then go for it.\Yes.\Yo.\The customers in the\Camellia Room don't need chicken, right?\Yup, that's right. response:	Hey, we don't need that much fire!
context: Yes.\Then go for it.\Yes.\Yo.\The customers in the\Camellia Room don't need chicken, right?\Yup, that's right.\Hey, we don't need that much fire! response:	I'm sorry.
context: Then go for it.\Yes.\Yo.\The customers in the\Camellia Room don't need chicken, right?\Yup, that's right.\Hey, we don't need that much fire!\I'm sorry. response:	This is how it's done.
context: Yes.\Yo.\The customers in the\Camellia Room don't need chicken, right?\Yup, that's right.\Hey, we don't need that much fire!\I'm sorry.\This is how it's done. response:	Demon Disturbance?
context: Yo.\The customers in the\Camellia Room don't need chicken, right?\Yup, that's right.\Hey, we don't need that much fire!\I'm sorry.\This is how it's done.\Demon Disturbance? response:	What?
context: The customers in the\Camellia Room don't need chicken, right?\Yup, that's right.\Hey, we don't need that much fire!\I'm sorry.\This is how it's done.\Demon Disturbance?\What? response:	Nothing.
context: Camellia Room don't need chicken, right?\Yup, that's right.\Hey, we don't need that much fire!\I'm sorry.\This is how it's done.\Demon Disturbance?\What?\Nothing. response:	I'm glad you're feeling better.
context: Yup, that's right.\Hey, we don't need that much fire!\I'm sorry.\This is how it's done.\Demon Disturbance?\What?\Nothing.\I'm glad you're feeling better. response:	Anyway, I'm sorry to ask you of this
context: Hey, we don't need that much fire!\I'm sorry.\This is how it's done.\Demon Disturbance?\What?\Nothing.\I'm glad you're feeling better.\Anyway, I'm sorry to ask you of this response:	when you're still a bit sick,
context: I'm sorry.\This is how it's done.\Demon Disturbance?\What?\Nothing.\I'm glad you're feeling better.\Anyway, I'm sorry to ask you of this\when you're still a bit sick, response:	but I was hoping you might be willing to listen to my new work.
context: This is how it's done.\Demon Disturbance?\What?\Nothing.\I'm glad you're feeling better.\Anyway, I'm sorry to ask you of this\when you're still a bit sick,\but I was hoping you might be willing to listen to my new work. response:	Did you know that there's a theory that
context: Demon Disturbance?\What?\Nothing.\I'm glad you're feeling better.\Anyway, I'm sorry to ask you of this\when you're still a bit sick,\but I was hoping you might be willing to listen to my new work.\Did you know that there's a theory that response:	hearing sexual words
context: What?\Nothing.\I'm glad you're feeling better.\Anyway, I'm sorry to ask you of this\when you're still a bit sick,\but I was hoping you might be willing to listen to my new work.\Did you know that there's a theory that\hearing sexual words response:	invigorates your brain and makes you livelier?
context: Nothing.\I'm glad you're feeling better.\Anyway, I'm sorry to ask you of this\when you're still a bit sick,\but I was hoping you might be willing to listen to my new work.\Did you know that there's a theory that\hearing sexual words\invigorates your brain and makes you livelier? response:	Okay, here we go.
context: I'm glad you're feeling better.\Anyway, I'm sorry to ask you of this\when you're still a bit sick,\but I was hoping you might be willing to listen to my new work.\Did you know that there's a theory that\hearing sexual words\invigorates your brain and makes you livelier?\Okay, here we go. response:	The Wet Madam Manager at the Gambling Den.
context: Anyway, I'm sorry to ask you of this\when you're still a bit sick,\but I was hoping you might be willing to listen to my new work.\Did you know that there's a theory that\hearing sexual words\invigorates your brain and makes you livelier?\Okay, here we go.\The Wet Madam Manager at the Gambling Den. response:	This is how it begins, but...
context: when you're still a bit sick,\but I was hoping you might be willing to listen to my new work.\Did you know that there's a theory that\hearing sexual words\invigorates your brain and makes you livelier?\Okay, here we go.\The Wet Madam Manager at the Gambling Den.\This is how it begins, but... response:	Is this supposed to be a get-well visit
context: but I was hoping you might be willing to listen to my new work.\Did you know that there's a theory that\hearing sexual words\invigorates your brain and makes you livelier?\Okay, here we go.\The Wet Madam Manager at the Gambling Den.\This is how it begins, but...\Is this supposed to be a get-well visit response:	to a sick person's room, Mr. Jiromaru?
context: Did you know that there's a theory that\hearing sexual words\invigorates your brain and makes you livelier?\Okay, here we go.\The Wet Madam Manager at the Gambling Den.\This is how it begins, but...\Is this supposed to be a get-well visit\to a sick person's room, Mr. Jiromaru? response:	The red lanterns reflect upon the lustrous canal.
context: hearing sexual words\invigorates your brain and makes you livelier?\Okay, here we go.\The Wet Madam Manager at the Gambling Den.\This is how it begins, but...\Is this supposed to be a get-well visit\to a sick person's room, Mr. Jiromaru?\The red lanterns reflect upon the lustrous canal. response:	On the back of the woman who held
context: invigorates your brain and makes you livelier?\Okay, here we go.\The Wet Madam Manager at the Gambling Den.\This is how it begins, but...\Is this supposed to be a get-well visit\to a sick person's room, Mr. Jiromaru?\The red lanterns reflect upon the lustrous canal.\On the back of the woman who held response:	two dice and a jar in her hand
context: Okay, here we go.\The Wet Madam Manager at the Gambling Den.\This is how it begins, but...\Is this supposed to be a get-well visit\to a sick person's room, Mr. Jiromaru?\The red lanterns reflect upon the lustrous canal.\On the back of the woman who held\two dice and a jar in her hand response:	were two more dice. Snake eyes.
context: The Wet Madam Manager at the Gambling Den.\This is how it begins, but...\Is this supposed to be a get-well visit\to a sick person's room, Mr. Jiromaru?\The red lanterns reflect upon the lustrous canal.\On the back of the woman who held\two dice and a jar in her hand\were two more dice. Snake eyes. response:	The shades and stray hair that go
context: This is how it begins, but...\Is this supposed to be a get-well visit\to a sick person's room, Mr. Jiromaru?\The red lanterns reflect upon the lustrous canal.\On the back of the woman who held\two dice and a jar in her hand\were two more dice. Snake eyes.\The shades and stray hair that go response:	from those pink shoulders to her nape.
context: Is this supposed to be a get-well visit\to a sick person's room, Mr. Jiromaru?\The red lanterns reflect upon the lustrous canal.\On the back of the woman who held\two dice and a jar in her hand\were two more dice. Snake eyes.\The shades and stray hair that go\from those pink shoulders to her nape. response:	The portion between the bottom of her kimono
context: to a sick person's room, Mr. Jiromaru?\The red lanterns reflect upon the lustrous canal.\On the back of the woman who held\two dice and a jar in her hand\were two more dice. Snake eyes.\The shades and stray hair that go\from those pink shoulders to her nape.\The portion between the bottom of her kimono response:	and her white socks caught the attention of the men.
context: The red lanterns reflect upon the lustrous canal.\On the back of the woman who held\two dice and a jar in her hand\were two more dice. Snake eyes.\The shades and stray hair that go\from those pink shoulders to her nape.\The portion between the bottom of her kimono\and her white socks caught the attention of the men. response:	Excuse me...
context: On the back of the woman who held\two dice and a jar in her hand\were two more dice. Snake eyes.\The shades and stray hair that go\from those pink shoulders to her nape.\The portion between the bottom of her kimono\and her white socks caught the attention of the men.\Excuse me... response:	Is the Madam Manager supposed to be the model for this?
context: two dice and a jar in her hand\were two more dice. Snake eyes.\The shades and stray hair that go\from those pink shoulders to her nape.\The portion between the bottom of her kimono\and her white socks caught the attention of the men.\Excuse me...\Is the Madam Manager supposed to be the model for this? response:	Crane Room... sandwich... with ham...
context: were two more dice. Snake eyes.\The shades and stray hair that go\from those pink shoulders to her nape.\The portion between the bottom of her kimono\and her white socks caught the attention of the men.\Excuse me...\Is the Madam Manager supposed to be the model for this?\Crane Room... sandwich... with ham... response:	Yes...?
context: The shades and stray hair that go\from those pink shoulders to her nape.\The portion between the bottom of her kimono\and her white socks caught the attention of the men.\Excuse me...\Is the Madam Manager supposed to be the model for this?\Crane Room... sandwich... with ham...\Yes...? response:	Oh, you can get up now?
context: from those pink shoulders to her nape.\The portion between the bottom of her kimono\and her white socks caught the attention of the men.\Excuse me...\Is the Madam Manager supposed to be the model for this?\Crane Room... sandwich... with ham...\Yes...?\Oh, you can get up now? response:	Making me cook food for sick people...
context: The portion between the bottom of her kimono\and her white socks caught the attention of the men.\Excuse me...\Is the Madam Manager supposed to be the model for this?\Crane Room... sandwich... with ham...\Yes...?\Oh, you can get up now?\Making me cook food for sick people... response:	It might still be hot, so be careful.
context: and her white socks caught the attention of the men.\Excuse me...\Is the Madam Manager supposed to be the model for this?\Crane Room... sandwich... with ham...\Yes...?\Oh, you can get up now?\Making me cook food for sick people...\It might still be hot, so be careful. response:	It's delicious...
context: Excuse me...\Is the Madam Manager supposed to be the model for this?\Crane Room... sandwich... with ham...\Yes...?\Oh, you can get up now?\Making me cook food for sick people...\It might still be hot, so be careful.\It's delicious... response:	Of course it is.
context: Is the Madam Manager supposed to be the model for this?\Crane Room... sandwich... with ham...\Yes...?\Oh, you can get up now?\Making me cook food for sick people...\It might still be hot, so be careful.\It's delicious...\Of course it is. response:	There's no other sick person food in
context: Crane Room... sandwich... with ham...\Yes...?\Oh, you can get up now?\Making me cook food for sick people...\It might still be hot, so be careful.\It's delicious...\Of course it is.\There's no other sick person food in response:	the world with such good broth.
context: Yes...?\Oh, you can get up now?\Making me cook food for sick people...\It might still be hot, so be careful.\It's delicious...\Of course it is.\There's no other sick person food in\the world with such good broth. response:	Yeah.
context: Oh, you can get up now?\Making me cook food for sick people...\It might still be hot, so be careful.\It's delicious...\Of course it is.\There's no other sick person food in\the world with such good broth.\Yeah. response:	Wow, strawberries...
context: Making me cook food for sick people...\It might still be hot, so be careful.\It's delicious...\Of course it is.\There's no other sick person food in\the world with such good broth.\Yeah.\Wow, strawberries... response:	Oh, those are from Minko.
context: It might still be hot, so be careful.\It's delicious...\Of course it is.\There's no other sick person food in\the world with such good broth.\Yeah.\Wow, strawberries...\Oh, those are from Minko. response:	You've still got a fever, right?
context: It's delicious...\Of course it is.\There's no other sick person food in\the world with such good broth.\Yeah.\Wow, strawberries...\Oh, those are from Minko.\You've still got a fever, right? response:	Let me feel your forehead.
context: Of course it is.\There's no other sick person food in\the world with such good broth.\Yeah.\Wow, strawberries...\Oh, those are from Minko.\You've still got a fever, right?\Let me feel your forehead. response:	I-I'm not really sure.
context: There's no other sick person food in\the world with such good broth.\Yeah.\Wow, strawberries...\Oh, those are from Minko.\You've still got a fever, right?\Let me feel your forehead.\I-I'm not really sure. response:	Maybe I'm also a bit feverish.
context: the world with such good broth.\Yeah.\Wow, strawberries...\Oh, those are from Minko.\You've still got a fever, right?\Let me feel your forehead.\I-I'm not really sure.\Maybe I'm also a bit feverish. response:	I added ham for the sandwiches for the Crane Room.
context: Yeah.\Wow, strawberries...\Oh, those are from Minko.\You've still got a fever, right?\Let me feel your forehead.\I-I'm not really sure.\Maybe I'm also a bit feverish.\I added ham for the sandwiches for the Crane Room. response:	That's what you'd asked for, right?
context: Wow, strawberries...\Oh, those are from Minko.\You've still got a fever, right?\Let me feel your forehead.\I-I'm not really sure.\Maybe I'm also a bit feverish.\I added ham for the sandwiches for the Crane Room.\That's what you'd asked for, right? response:	Oh well.
context: Oh, those are from Minko.\You've still got a fever, right?\Let me feel your forehead.\I-I'm not really sure.\Maybe I'm also a bit feverish.\I added ham for the sandwiches for the Crane Room.\That's what you'd asked for, right?\Oh well. response:	You're okay now, Ohana?!
context: You've still got a fever, right?\Let me feel your forehead.\I-I'm not really sure.\Maybe I'm also a bit feverish.\I added ham for the sandwiches for the Crane Room.\That's what you'd asked for, right?\Oh well.\You're okay now, Ohana?! response:	Nakochi.
context: Let me feel your forehead.\I-I'm not really sure.\Maybe I'm also a bit feverish.\I added ham for the sandwiches for the Crane Room.\That's what you'd asked for, right?\Oh well.\You're okay now, Ohana?!\Nakochi. response:	Well, I need to be getting to work.
context: I-I'm not really sure.\Maybe I'm also a bit feverish.\I added ham for the sandwiches for the Crane Room.\That's what you'd asked for, right?\Oh well.\You're okay now, Ohana?!\Nakochi.\Well, I need to be getting to work. response:	Sick people don't need to think of such things!
context: Maybe I'm also a bit feverish.\I added ham for the sandwiches for the Crane Room.\That's what you'd asked for, right?\Oh well.\You're okay now, Ohana?!\Nakochi.\Well, I need to be getting to work.\Sick people don't need to think of such things! response:	What?
context: I added ham for the sandwiches for the Crane Room.\That's what you'd asked for, right?\Oh well.\You're okay now, Ohana?!\Nakochi.\Well, I need to be getting to work.\Sick people don't need to think of such things!\What? response:	What do you mean, what?
context: That's what you'd asked for, right?\Oh well.\You're okay now, Ohana?!\Nakochi.\Well, I need to be getting to work.\Sick people don't need to think of such things!\What?\What do you mean, what? response:	See?
context: Oh well.\You're okay now, Ohana?!\Nakochi.\Well, I need to be getting to work.\Sick people don't need to think of such things!\What?\What do you mean, what?\See? response:	You're still not well enough to work.
context: You're okay now, Ohana?!\Nakochi.\Well, I need to be getting to work.\Sick people don't need to think of such things!\What?\What do you mean, what?\See?\You're still not well enough to work. response:	You need to sleep.
context: Nakochi.\Well, I need to be getting to work.\Sick people don't need to think of such things!\What?\What do you mean, what?\See?\You're still not well enough to work.\You need to sleep. response:	It's cold and good.
context: Well, I need to be getting to work.\Sick people don't need to think of such things!\What?\What do you mean, what?\See?\You're still not well enough to work.\You need to sleep.\It's cold and good. response:	Right?
context: Sick people don't need to think of such things!\What?\What do you mean, what?\See?\You're still not well enough to work.\You need to sleep.\It's cold and good.\Right? response:	This is what we always feed my brothers
