context: Alarm - tap to snooze > slide to stop alarm response:	Morning.
context: Can it be that you caught a cold? Maybe you should stay home from school?\It's not that bad. I'm sorry I'm making you worry...\Are you really all right?\I'm totally fine!\Thank you for this meal.\You really do look pale! You should take the day off today!\No, no, there are no real issues with my condition.\How should I seal away that pizza sauce... response:	Hoshinoumi Academy
context: It's not that bad. I'm sorry I'm making you worry...\Are you really all right?\I'm totally fine!\Thank you for this meal.\You really do look pale! You should take the day off today!\No, no, there are no real issues with my condition.\How should I seal away that pizza sauce...\Hoshinoumi Academy response:	Episode 4 Moment of Earnest
context: Are you really all right?\I'm totally fine!\Thank you for this meal.\You really do look pale! You should take the day off today!\No, no, there are no real issues with my condition.\How should I seal away that pizza sauce...\Hoshinoumi Academy\Episode 4 Moment of Earnest response:	Hey, hey, I got amazing news!
context: I'm totally fine!\Thank you for this meal.\You really do look pale! You should take the day off today!\No, no, there are no real issues with my condition.\How should I seal away that pizza sauce...\Hoshinoumi Academy\Episode 4 Moment of Earnest\Hey, hey, I got amazing news! response:	Apparently Yusa Nishimori is transferring into our school!
context: Thank you for this meal.\You really do look pale! You should take the day off today!\No, no, there are no real issues with my condition.\How should I seal away that pizza sauce...\Hoshinoumi Academy\Episode 4 Moment of Earnest\Hey, hey, I got amazing news!\Apparently Yusa Nishimori is transferring into our school! response:	Eh? You mean THE Yusarin?
context: You really do look pale! You should take the day off today!\No, no, there are no real issues with my condition.\How should I seal away that pizza sauce...\Hoshinoumi Academy\Episode 4 Moment of Earnest\Hey, hey, I got amazing news!\Apparently Yusa Nishimori is transferring into our school!\Eh? You mean THE Yusarin? response:	That can't be. This isn't an art school or anything...
context: No, no, there are no real issues with my condition.\How should I seal away that pizza sauce...\Hoshinoumi Academy\Episode 4 Moment of Earnest\Hey, hey, I got amazing news!\Apparently Yusa Nishimori is transferring into our school!\Eh? You mean THE Yusarin?\That can't be. This isn't an art school or anything... response:	But, if she's the real thing, I'd be so happy!
context: How should I seal away that pizza sauce...\Hoshinoumi Academy\Episode 4 Moment of Earnest\Hey, hey, I got amazing news!\Apparently Yusa Nishimori is transferring into our school!\Eh? You mean THE Yusarin?\That can't be. This isn't an art school or anything...\But, if she's the real thing, I'd be so happy! response:	Nothing less from our Yusarin! Everyone is so worked up about this already!
context: Hoshinoumi Academy\Episode 4 Moment of Earnest\Hey, hey, I got amazing news!\Apparently Yusa Nishimori is transferring into our school!\Eh? You mean THE Yusarin?\That can't be. This isn't an art school or anything...\But, if she's the real thing, I'd be so happy!\Nothing less from our Yusarin! Everyone is so worked up about this already! response:	When she actually shows up, how much of a riot will there be?
context: Episode 4 Moment of Earnest\Hey, hey, I got amazing news!\Apparently Yusa Nishimori is transferring into our school!\Eh? You mean THE Yusarin?\That can't be. This isn't an art school or anything...\But, if she's the real thing, I'd be so happy!\Nothing less from our Yusarin! Everyone is so worked up about this already!\When she actually shows up, how much of a riot will there be? response:	I'm troubled just thinking about it...
context: Hey, hey, I got amazing news!\Apparently Yusa Nishimori is transferring into our school!\Eh? You mean THE Yusarin?\That can't be. This isn't an art school or anything...\But, if she's the real thing, I'd be so happy!\Nothing less from our Yusarin! Everyone is so worked up about this already!\When she actually shows up, how much of a riot will there be?\I'm troubled just thinking about it... response:	Quiet!
context: Apparently Yusa Nishimori is transferring into our school!\Eh? You mean THE Yusarin?\That can't be. This isn't an art school or anything...\But, if she's the real thing, I'd be so happy!\Nothing less from our Yusarin! Everyone is so worked up about this already!\When she actually shows up, how much of a riot will there be?\I'm troubled just thinking about it...\Quiet! response:	-You there! Sit down! -Hey, is that...
context: Eh? You mean THE Yusarin?\That can't be. This isn't an art school or anything...\But, if she's the real thing, I'd be so happy!\Nothing less from our Yusarin! Everyone is so worked up about this already!\When she actually shows up, how much of a riot will there be?\I'm troubled just thinking about it...\Quiet!\-You there! Sit down! -Hey, is that... response:	Over here.
context: That can't be. This isn't an art school or anything...\But, if she's the real thing, I'd be so happy!\Nothing less from our Yusarin! Everyone is so worked up about this already!\When she actually shows up, how much of a riot will there be?\I'm troubled just thinking about it...\Quiet!\-You there! Sit down! -Hey, is that...\Over here. response:	Now, she is a transfer student who will be your classmate starting today.
context: But, if she's the real thing, I'd be so happy!\Nothing less from our Yusarin! Everyone is so worked up about this already!\When she actually shows up, how much of a riot will there be?\I'm troubled just thinking about it...\Quiet!\-You there! Sit down! -Hey, is that...\Over here.\Now, she is a transfer student who will be your classmate starting today. response:	Go introduce yourself.
context: Nothing less from our Yusarin! Everyone is so worked up about this already!\When she actually shows up, how much of a riot will there be?\I'm troubled just thinking about it...\Quiet!\-You there! Sit down! -Hey, is that...\Over here.\Now, she is a transfer student who will be your classmate starting today.\Go introduce yourself. response:	I'm Yusa Kurobane, known as Yusarin!
context: When she actually shows up, how much of a riot will there be?\I'm troubled just thinking about it...\Quiet!\-You there! Sit down! -Hey, is that...\Over here.\Now, she is a transfer student who will be your classmate starting today.\Go introduce yourself.\I'm Yusa Kurobane, known as Yusarin! response:	Quiet! Quiet!
context: I'm troubled just thinking about it...\Quiet!\-You there! Sit down! -Hey, is that...\Over here.\Now, she is a transfer student who will be your classmate starting today.\Go introduce yourself.\I'm Yusa Kurobane, known as Yusarin!\Quiet! Quiet! response:	You there! Sit down!
context: Quiet!\-You there! Sit down! -Hey, is that...\Over here.\Now, she is a transfer student who will be your classmate starting today.\Go introduce yourself.\I'm Yusa Kurobane, known as Yusarin!\Quiet! Quiet!\You there! Sit down! response:	And you there, stop dancing!
context: -You there! Sit down! -Hey, is that...\Over here.\Now, she is a transfer student who will be your classmate starting today.\Go introduce yourself.\I'm Yusa Kurobane, known as Yusarin!\Quiet! Quiet!\You there! Sit down!\And you there, stop dancing! response:	Even in a place like this, she calls herself Yusarin?
context: Over here.\Now, she is a transfer student who will be your classmate starting today.\Go introduce yourself.\I'm Yusa Kurobane, known as Yusarin!\Quiet! Quiet!\You there! Sit down!\And you there, stop dancing!\Even in a place like this, she calls herself Yusarin? response:	So your real name is Kurobane?
context: Now, she is a transfer student who will be your classmate starting today.\Go introduce yourself.\I'm Yusa Kurobane, known as Yusarin!\Quiet! Quiet!\You there! Sit down!\And you there, stop dancing!\Even in a place like this, she calls herself Yusarin?\So your real name is Kurobane? response:	Heh, you didn't even know that?
context: Go introduce yourself.\I'm Yusa Kurobane, known as Yusarin!\Quiet! Quiet!\You there! Sit down!\And you there, stop dancing!\Even in a place like this, she calls herself Yusarin?\So your real name is Kurobane?\Heh, you didn't even know that? response:	I may not be able to attend school on some days due to work,
context: I'm Yusa Kurobane, known as Yusarin!\Quiet! Quiet!\You there! Sit down!\And you there, stop dancing!\Even in a place like this, she calls herself Yusarin?\So your real name is Kurobane?\Heh, you didn't even know that?\I may not be able to attend school on some days due to work, response:	but I'd like to really enjoy high school life with all of you!
context: Quiet! Quiet!\You there! Sit down!\And you there, stop dancing!\Even in a place like this, she calls herself Yusarin?\So your real name is Kurobane?\Heh, you didn't even know that?\I may not be able to attend school on some days due to work,\but I'd like to really enjoy high school life with all of you! response:	It's a pleasure to meet all of you!
context: You there! Sit down!\And you there, stop dancing!\Even in a place like this, she calls herself Yusarin?\So your real name is Kurobane?\Heh, you didn't even know that?\I may not be able to attend school on some days due to work,\but I'd like to really enjoy high school life with all of you!\It's a pleasure to meet all of you! response:	Yusarin! Yusarin! Yusarin! Yusarin!
context: And you there, stop dancing!\Even in a place like this, she calls herself Yusarin?\So your real name is Kurobane?\Heh, you didn't even know that?\I may not be able to attend school on some days due to work,\but I'd like to really enjoy high school life with all of you!\It's a pleasure to meet all of you!\Yusarin! Yusarin! Yusarin! Yusarin! response:	-Quiet down! -Yusarin! Yusarin! Yusarin! Yusarin!
context: Even in a place like this, she calls herself Yusarin?\So your real name is Kurobane?\Heh, you didn't even know that?\I may not be able to attend school on some days due to work,\but I'd like to really enjoy high school life with all of you!\It's a pleasure to meet all of you!\Yusarin! Yusarin! Yusarin! Yusarin!\-Quiet down! -Yusarin! Yusarin! Yusarin! Yusarin! response:	-Oh, brother...
context: So your real name is Kurobane?\Heh, you didn't even know that?\I may not be able to attend school on some days due to work,\but I'd like to really enjoy high school life with all of you!\It's a pleasure to meet all of you!\Yusarin! Yusarin! Yusarin! Yusarin!\-Quiet down! -Yusarin! Yusarin! Yusarin! Yusarin!\-Oh, brother... response:	-Yusarin! Yusarin! Yusarin! Yusarin!
context: Heh, you didn't even know that?\I may not be able to attend school on some days due to work,\but I'd like to really enjoy high school life with all of you!\It's a pleasure to meet all of you!\Yusarin! Yusarin! Yusarin! Yusarin!\-Quiet down! -Yusarin! Yusarin! Yusarin! Yusarin!\-Oh, brother...\-Yusarin! Yusarin! Yusarin! Yusarin! response:	-Kurobane, your seat is right there. Go sit down.
context: I may not be able to attend school on some days due to work,\but I'd like to really enjoy high school life with all of you!\It's a pleasure to meet all of you!\Yusarin! Yusarin! Yusarin! Yusarin!\-Quiet down! -Yusarin! Yusarin! Yusarin! Yusarin!\-Oh, brother...\-Yusarin! Yusarin! Yusarin! Yusarin!\-Kurobane, your seat is right there. Go sit down. response:	Nice to meet you.
context: but I'd like to really enjoy high school life with all of you!\It's a pleasure to meet all of you!\Yusarin! Yusarin! Yusarin! Yusarin!\-Quiet down! -Yusarin! Yusarin! Yusarin! Yusarin!\-Oh, brother...\-Yusarin! Yusarin! Yusarin! Yusarin!\-Kurobane, your seat is right there. Go sit down.\Nice to meet you. response:	Yes! I'm sure I will trouble you a lot, but it's nice to meet you!
context: It's a pleasure to meet all of you!\Yusarin! Yusarin! Yusarin! Yusarin!\-Quiet down! -Yusarin! Yusarin! Yusarin! Yusarin!\-Oh, brother...\-Yusarin! Yusarin! Yusarin! Yusarin!\-Kurobane, your seat is right there. Go sit down.\Nice to meet you.\Yes! I'm sure I will trouble you a lot, but it's nice to meet you! response:	What's with her?
context: Yusarin! Yusarin! Yusarin! Yusarin!\-Quiet down! -Yusarin! Yusarin! Yusarin! Yusarin!\-Oh, brother...\-Yusarin! Yusarin! Yusarin! Yusarin!\-Kurobane, your seat is right there. Go sit down.\Nice to meet you.\Yes! I'm sure I will trouble you a lot, but it's nice to meet you!\What's with her? response:	She's so rude.
context: -Quiet down! -Yusarin! Yusarin! Yusarin! Yusarin!\-Oh, brother...\-Yusarin! Yusarin! Yusarin! Yusarin!\-Kurobane, your seat is right there. Go sit down.\Nice to meet you.\Yes! I'm sure I will trouble you a lot, but it's nice to meet you!\What's with her?\She's so rude. response:	She's so not friendly.
context: -Oh, brother...\-Yusarin! Yusarin! Yusarin! Yusarin!\-Kurobane, your seat is right there. Go sit down.\Nice to meet you.\Yes! I'm sure I will trouble you a lot, but it's nice to meet you!\What's with her?\She's so rude.\She's so not friendly. response:	Why did you transfer here?
context: -Yusarin! Yusarin! Yusarin! Yusarin!\-Kurobane, your seat is right there. Go sit down.\Nice to meet you.\Yes! I'm sure I will trouble you a lot, but it's nice to meet you!\What's with her?\She's so rude.\She's so not friendly.\Why did you transfer here? response:	I pre-ordered your new single!
context: -Kurobane, your seat is right there. Go sit down.\Nice to meet you.\Yes! I'm sure I will trouble you a lot, but it's nice to meet you!\What's with her?\She's so rude.\She's so not friendly.\Why did you transfer here?\I pre-ordered your new single! response:	Me, too! It's such a great song!
context: Nice to meet you.\Yes! I'm sure I will trouble you a lot, but it's nice to meet you!\What's with her?\She's so rude.\She's so not friendly.\Why did you transfer here?\I pre-ordered your new single!\Me, too! It's such a great song! response:	I always watched Move Asa!
context: Yes! I'm sure I will trouble you a lot, but it's nice to meet you!\What's with her?\She's so rude.\She's so not friendly.\Why did you transfer here?\I pre-ordered your new single!\Me, too! It's such a great song!\I always watched Move Asa! response:	Me, too! Me, too!
context: What's with her?\She's so rude.\She's so not friendly.\Why did you transfer here?\I pre-ordered your new single!\Me, too! It's such a great song!\I always watched Move Asa!\Me, too! Me, too! response:	Will you be my friend? Can we start by exchanging mail addresses-
context: She's so rude.\She's so not friendly.\Why did you transfer here?\I pre-ordered your new single!\Me, too! It's such a great song!\I always watched Move Asa!\Me, too! Me, too!\Will you be my friend? Can we start by exchanging mail addresses- response:	You bastard, what are you saying so suddenly? Don't leave us out of this!
context: She's so not friendly.\Why did you transfer here?\I pre-ordered your new single!\Me, too! It's such a great song!\I always watched Move Asa!\Me, too! Me, too!\Will you be my friend? Can we start by exchanging mail addresses-\You bastard, what are you saying so suddenly? Don't leave us out of this! response:	This much can't hurt!
context: Why did you transfer here?\I pre-ordered your new single!\Me, too! It's such a great song!\I always watched Move Asa!\Me, too! Me, too!\Will you be my friend? Can we start by exchanging mail addresses-\You bastard, what are you saying so suddenly? Don't leave us out of this!\This much can't hurt! response:	Now, now, both of you, be nice to each other!
context: I pre-ordered your new single!\Me, too! It's such a great song!\I always watched Move Asa!\Me, too! Me, too!\Will you be my friend? Can we start by exchanging mail addresses-\You bastard, what are you saying so suddenly? Don't leave us out of this!\This much can't hurt!\Now, now, both of you, be nice to each other! response:	Can it be? Is she really going to do that?
context: Me, too! It's such a great song!\I always watched Move Asa!\Me, too! Me, too!\Will you be my friend? Can we start by exchanging mail addresses-\You bastard, what are you saying so suddenly? Don't leave us out of this!\This much can't hurt!\Now, now, both of you, be nice to each other!\Can it be? Is she really going to do that? response:	Eh? Do what?
context: I always watched Move Asa!\Me, too! Me, too!\Will you be my friend? Can we start by exchanging mail addresses-\You bastard, what are you saying so suddenly? Don't leave us out of this!\This much can't hurt!\Now, now, both of you, be nice to each other!\Can it be? Is she really going to do that?\Eh? Do what? response:	Making up! Making up! Making up with a magic spell!
context: Me, too! Me, too!\Will you be my friend? Can we start by exchanging mail addresses-\You bastard, what are you saying so suddenly? Don't leave us out of this!\This much can't hurt!\Now, now, both of you, be nice to each other!\Can it be? Is she really going to do that?\Eh? Do what?\Making up! Making up! Making up with a magic spell! response:	There it is! Yusarin's magic spell series, 13! The spell for making up!
context: Will you be my friend? Can we start by exchanging mail addresses-\You bastard, what are you saying so suddenly? Don't leave us out of this!\This much can't hurt!\Now, now, both of you, be nice to each other!\Can it be? Is she really going to do that?\Eh? Do what?\Making up! Making up! Making up with a magic spell!\There it is! Yusarin's magic spell series, 13! The spell for making up! response:	There. The two of you have made up now!
context: You bastard, what are you saying so suddenly? Don't leave us out of this!\This much can't hurt!\Now, now, both of you, be nice to each other!\Can it be? Is she really going to do that?\Eh? Do what?\Making up! Making up! Making up with a magic spell!\There it is! Yusarin's magic spell series, 13! The spell for making up!\There. The two of you have made up now! response:	Yeah, sorry about that.
context: This much can't hurt!\Now, now, both of you, be nice to each other!\Can it be? Is she really going to do that?\Eh? Do what?\Making up! Making up! Making up with a magic spell!\There it is! Yusarin's magic spell series, 13! The spell for making up!\There. The two of you have made up now!\Yeah, sorry about that. response:	No, I was in the wrong...
context: Now, now, both of you, be nice to each other!\Can it be? Is she really going to do that?\Eh? Do what?\Making up! Making up! Making up with a magic spell!\There it is! Yusarin's magic spell series, 13! The spell for making up!\There. The two of you have made up now!\Yeah, sorry about that.\No, I was in the wrong... response:	What is that so-called magic spell series?
context: Can it be? Is she really going to do that?\Eh? Do what?\Making up! Making up! Making up with a magic spell!\There it is! Yusarin's magic spell series, 13! The spell for making up!\There. The two of you have made up now!\Yeah, sorry about that.\No, I was in the wrong...\What is that so-called magic spell series? response:	Yusa had been a regular cast member of the morning information show Movement Asa!
context: Eh? Do what?\Making up! Making up! Making up with a magic spell!\There it is! Yusarin's magic spell series, 13! The spell for making up!\There. The two of you have made up now!\Yeah, sorry about that.\No, I was in the wrong...\What is that so-called magic spell series?\Yusa had been a regular cast member of the morning information show Movement Asa! response:	also known as Move Asa.
context: Making up! Making up! Making up with a magic spell!\There it is! Yusarin's magic spell series, 13! The spell for making up!\There. The two of you have made up now!\Yeah, sorry about that.\No, I was in the wrong...\What is that so-called magic spell series?\Yusa had been a regular cast member of the morning information show Movement Asa!\also known as Move Asa. response:	After the day's fortunes, towards the viewers who had bad luck,
context: There it is! Yusarin's magic spell series, 13! The spell for making up!\There. The two of you have made up now!\Yeah, sorry about that.\No, I was in the wrong...\What is that so-called magic spell series?\Yusa had been a regular cast member of the morning information show Movement Asa!\also known as Move Asa.\After the day's fortunes, towards the viewers who had bad luck, response:	Yusa sent various magic spells.
context: There. The two of you have made up now!\Yeah, sorry about that.\No, I was in the wrong...\What is that so-called magic spell series?\Yusa had been a regular cast member of the morning information show Movement Asa!\also known as Move Asa.\After the day's fortunes, towards the viewers who had bad luck,\Yusa sent various magic spells. response:	Series 13? Just how many are there?
context: Yeah, sorry about that.\No, I was in the wrong...\What is that so-called magic spell series?\Yusa had been a regular cast member of the morning information show Movement Asa!\also known as Move Asa.\After the day's fortunes, towards the viewers who had bad luck,\Yusa sent various magic spells.\Series 13? Just how many are there? response:	There are 64! But, two of them actually overlap, so there really are only 63...
context: No, I was in the wrong...\What is that so-called magic spell series?\Yusa had been a regular cast member of the morning information show Movement Asa!\also known as Move Asa.\After the day's fortunes, towards the viewers who had bad luck,\Yusa sent various magic spells.\Series 13? Just how many are there?\There are 64! But, two of them actually overlap, so there really are only 63... response:	Such a turn-off!
context: What is that so-called magic spell series?\Yusa had been a regular cast member of the morning information show Movement Asa!\also known as Move Asa.\After the day's fortunes, towards the viewers who had bad luck,\Yusa sent various magic spells.\Series 13? Just how many are there?\There are 64! But, two of them actually overlap, so there really are only 63...\Such a turn-off! response:	Oh, will the helper appear before us again?
context: Yusa had been a regular cast member of the morning information show Movement Asa!\also known as Move Asa.\After the day's fortunes, towards the viewers who had bad luck,\Yusa sent various magic spells.\Series 13? Just how many are there?\There are 64! But, two of them actually overlap, so there really are only 63...\Such a turn-off!\Oh, will the helper appear before us again? response:	Yes.
context: also known as Move Asa.\After the day's fortunes, towards the viewers who had bad luck,\Yusa sent various magic spells.\Series 13? Just how many are there?\There are 64! But, two of them actually overlap, so there really are only 63...\Such a turn-off!\Oh, will the helper appear before us again?\Yes. response:	Ouch! What's up with that, student council president?
context: After the day's fortunes, towards the viewers who had bad luck,\Yusa sent various magic spells.\Series 13? Just how many are there?\There are 64! But, two of them actually overlap, so there really are only 63...\Such a turn-off!\Oh, will the helper appear before us again?\Yes.\Ouch! What's up with that, student council president? response:	Kurobane, I'd like you to come with us immediately to the student council room.
context: Yusa sent various magic spells.\Series 13? Just how many are there?\There are 64! But, two of them actually overlap, so there really are only 63...\Such a turn-off!\Oh, will the helper appear before us again?\Yes.\Ouch! What's up with that, student council president?\Kurobane, I'd like you to come with us immediately to the student council room. response:	That's too cruel, student council president!
context: Series 13? Just how many are there?\There are 64! But, two of them actually overlap, so there really are only 63...\Such a turn-off!\Oh, will the helper appear before us again?\Yes.\Ouch! What's up with that, student council president?\Kurobane, I'd like you to come with us immediately to the student council room.\That's too cruel, student council president! response:	Let's go!
context: There are 64! But, two of them actually overlap, so there really are only 63...\Such a turn-off!\Oh, will the helper appear before us again?\Yes.\Ouch! What's up with that, student council president?\Kurobane, I'd like you to come with us immediately to the student council room.\That's too cruel, student council president!\Let's go! response:	Sure!
context: Such a turn-off!\Oh, will the helper appear before us again?\Yes.\Ouch! What's up with that, student council president?\Kurobane, I'd like you to come with us immediately to the student council room.\That's too cruel, student council president!\Let's go!\Sure! response:	Yusa, that magic spell earlier - series 13, the spell for making up... it was marvelous!
context: Oh, will the helper appear before us again?\Yes.\Ouch! What's up with that, student council president?\Kurobane, I'd like you to come with us immediately to the student council room.\That's too cruel, student council president!\Let's go!\Sure!\Yusa, that magic spell earlier - series 13, the spell for making up... it was marvelous! response:	Amazing! You knew about it in that much detail?
context: Yes.\Ouch! What's up with that, student council president?\Kurobane, I'd like you to come with us immediately to the student council room.\That's too cruel, student council president!\Let's go!\Sure!\Yusa, that magic spell earlier - series 13, the spell for making up... it was marvelous!\Amazing! You knew about it in that much detail? response:	Yes. I checked out the show the whole time while you were a part of it.
context: Ouch! What's up with that, student council president?\Kurobane, I'd like you to come with us immediately to the student council room.\That's too cruel, student council president!\Let's go!\Sure!\Yusa, that magic spell earlier - series 13, the spell for making up... it was marvelous!\Amazing! You knew about it in that much detail?\Yes. I checked out the show the whole time while you were a part of it. response:	Wow! Thank you so much!
context: Kurobane, I'd like you to come with us immediately to the student council room.\That's too cruel, student council president!\Let's go!\Sure!\Yusa, that magic spell earlier - series 13, the spell for making up... it was marvelous!\Amazing! You knew about it in that much detail?\Yes. I checked out the show the whole time while you were a part of it.\Wow! Thank you so much! response:	You're such a fanboy... such a turn-off, Takajo.
context: That's too cruel, student council president!\Let's go!\Sure!\Yusa, that magic spell earlier - series 13, the spell for making up... it was marvelous!\Amazing! You knew about it in that much detail?\Yes. I checked out the show the whole time while you were a part of it.\Wow! Thank you so much!\You're such a fanboy... such a turn-off, Takajo. response:	And, well... what are we going to do here?
context: Let's go!\Sure!\Yusa, that magic spell earlier - series 13, the spell for making up... it was marvelous!\Amazing! You knew about it in that much detail?\Yes. I checked out the show the whole time while you were a part of it.\Wow! Thank you so much!\You're such a fanboy... such a turn-off, Takajo.\And, well... what are we going to do here? response:	A helper will show up.
context: Sure!\Yusa, that magic spell earlier - series 13, the spell for making up... it was marvelous!\Amazing! You knew about it in that much detail?\Yes. I checked out the show the whole time while you were a part of it.\Wow! Thank you so much!\You're such a fanboy... such a turn-off, Takajo.\And, well... what are we going to do here?\A helper will show up. response:	However, we need you to prepare mentally so you aren't
context: Yusa, that magic spell earlier - series 13, the spell for making up... it was marvelous!\Amazing! You knew about it in that much detail?\Yes. I checked out the show the whole time while you were a part of it.\Wow! Thank you so much!\You're such a fanboy... such a turn-off, Takajo.\And, well... what are we going to do here?\A helper will show up.\However, we need you to prepare mentally so you aren't response:	surprised by his unusual guise.
context: Amazing! You knew about it in that much detail?\Yes. I checked out the show the whole time while you were a part of it.\Wow! Thank you so much!\You're such a fanboy... such a turn-off, Takajo.\And, well... what are we going to do here?\A helper will show up.\However, we need you to prepare mentally so you aren't\surprised by his unusual guise. response:	Rest assured, he's one of us. He will never harm you.
context: Yes. I checked out the show the whole time while you were a part of it.\Wow! Thank you so much!\You're such a fanboy... such a turn-off, Takajo.\And, well... what are we going to do here?\A helper will show up.\However, we need you to prepare mentally so you aren't\surprised by his unusual guise.\Rest assured, he's one of us. He will never harm you. response:	The ability is... telekinesis.
context: Wow! Thank you so much!\You're such a fanboy... such a turn-off, Takajo.\And, well... what are we going to do here?\A helper will show up.\However, we need you to prepare mentally so you aren't\surprised by his unusual guise.\Rest assured, he's one of us. He will never harm you.\The ability is... telekinesis. response:	Um, so in the end, what just went on here?
context: You're such a fanboy... such a turn-off, Takajo.\And, well... what are we going to do here?\A helper will show up.\However, we need you to prepare mentally so you aren't\surprised by his unusual guise.\Rest assured, he's one of us. He will never harm you.\The ability is... telekinesis.\Um, so in the end, what just went on here? response:	A guy with a special ability is there, and his power is telekinesis.
context: And, well... what are we going to do here?\A helper will show up.\However, we need you to prepare mentally so you aren't\surprised by his unusual guise.\Rest assured, he's one of us. He will never harm you.\The ability is... telekinesis.\Um, so in the end, what just went on here?\A guy with a special ability is there, and his power is telekinesis. response:	That guy found you in the same manner.
