context: I'm coming! response:	Who are you?
context: Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	11 The story of Banmon, part 1
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\11 The story of Banmon, part 1 response:	Who are you? And those arms...
context: Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\11 The story of Banmon, part 1\Who are you? And those arms... response:	Hey, aren't you gonna thank us?
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\11 The story of Banmon, part 1\Who are you? And those arms...\Hey, aren't you gonna thank us? response:	If it weren't for him, that samurai there would be monster meat by now.
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\11 The story of Banmon, part 1\Who are you? And those arms...\Hey, aren't you gonna thank us?\If it weren't for him, that samurai there would be monster meat by now. response:	I know not who you are, but thank you for saving him.
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\11 The story of Banmon, part 1\Who are you? And those arms...\Hey, aren't you gonna thank us?\If it weren't for him, that samurai there would be monster meat by now.\I know not who you are, but thank you for saving him. response:	Don't mention it.
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\11 The story of Banmon, part 1\Who are you? And those arms...\Hey, aren't you gonna thank us?\If it weren't for him, that samurai there would be monster meat by now.\I know not who you are, but thank you for saving him.\Don't mention it. response:	The villagers can live in peace now.
context: Light it up, baby. I'm gonna burn it up, yeah\11 The story of Banmon, part 1\Who are you? And those arms...\Hey, aren't you gonna thank us?\If it weren't for him, that samurai there would be monster meat by now.\I know not who you are, but thank you for saving him.\Don't mention it.\The villagers can live in peace now. response:	What's wrong, bro?
context: 11 The story of Banmon, part 1\Who are you? And those arms...\Hey, aren't you gonna thank us?\If it weren't for him, that samurai there would be monster meat by now.\I know not who you are, but thank you for saving him.\Don't mention it.\The villagers can live in peace now.\What's wrong, bro? response:	-He's blind so he sees with his soul. -He's blind?
context: Who are you? And those arms...\Hey, aren't you gonna thank us?\If it weren't for him, that samurai there would be monster meat by now.\I know not who you are, but thank you for saving him.\Don't mention it.\The villagers can live in peace now.\What's wrong, bro?\-He's blind so he sees with his soul. -He's blind? response:	He can fight like that with no sight or arms?
context: Hey, aren't you gonna thank us?\If it weren't for him, that samurai there would be monster meat by now.\I know not who you are, but thank you for saving him.\Don't mention it.\The villagers can live in peace now.\What's wrong, bro?\-He's blind so he sees with his soul. -He's blind?\He can fight like that with no sight or arms? response:	That's how amazing he is.
context: If it weren't for him, that samurai there would be monster meat by now.\I know not who you are, but thank you for saving him.\Don't mention it.\The villagers can live in peace now.\What's wrong, bro?\-He's blind so he sees with his soul. -He's blind?\He can fight like that with no sight or arms?\That's how amazing he is. response:	He's beaten monsters left and right traveling this land.
context: I know not who you are, but thank you for saving him.\Don't mention it.\The villagers can live in peace now.\What's wrong, bro?\-He's blind so he sees with his soul. -He's blind?\He can fight like that with no sight or arms?\That's how amazing he is.\He's beaten monsters left and right traveling this land. response:	And not some tiny little ghouls, either.
context: Don't mention it.\The villagers can live in peace now.\What's wrong, bro?\-He's blind so he sees with his soul. -He's blind?\He can fight like that with no sight or arms?\That's how amazing he is.\He's beaten monsters left and right traveling this land.\And not some tiny little ghouls, either. response:	We only go after the real deal, demons and monsters.
context: The villagers can live in peace now.\What's wrong, bro?\-He's blind so he sees with his soul. -He's blind?\He can fight like that with no sight or arms?\That's how amazing he is.\He's beaten monsters left and right traveling this land.\And not some tiny little ghouls, either.\We only go after the real deal, demons and monsters. response:	So, pay up.
context: What's wrong, bro?\-He's blind so he sees with his soul. -He's blind?\He can fight like that with no sight or arms?\That's how amazing he is.\He's beaten monsters left and right traveling this land.\And not some tiny little ghouls, either.\We only go after the real deal, demons and monsters.\So, pay up. response:	Thanks.
context: -He's blind so he sees with his soul. -He's blind?\He can fight like that with no sight or arms?\That's how amazing he is.\He's beaten monsters left and right traveling this land.\And not some tiny little ghouls, either.\We only go after the real deal, demons and monsters.\So, pay up.\Thanks. response:	By the way, we heard there's a rich province nearby. Know where it is?
context: He can fight like that with no sight or arms?\That's how amazing he is.\He's beaten monsters left and right traveling this land.\And not some tiny little ghouls, either.\We only go after the real deal, demons and monsters.\So, pay up.\Thanks.\By the way, we heard there's a rich province nearby. Know where it is? response:	Must be our Lord Daigo's land.
context: That's how amazing he is.\He's beaten monsters left and right traveling this land.\And not some tiny little ghouls, either.\We only go after the real deal, demons and monsters.\So, pay up.\Thanks.\By the way, we heard there's a rich province nearby. Know where it is?\Must be our Lord Daigo's land. response:	You'll reach the city limits in half a day.
context: He's beaten monsters left and right traveling this land.\And not some tiny little ghouls, either.\We only go after the real deal, demons and monsters.\So, pay up.\Thanks.\By the way, we heard there's a rich province nearby. Know where it is?\Must be our Lord Daigo's land.\You'll reach the city limits in half a day. response:	Thanks. Let's go.
context: And not some tiny little ghouls, either.\We only go after the real deal, demons and monsters.\So, pay up.\Thanks.\By the way, we heard there's a rich province nearby. Know where it is?\Must be our Lord Daigo's land.\You'll reach the city limits in half a day.\Thanks. Let's go. response:	Tell me your name.
context: We only go after the real deal, demons and monsters.\So, pay up.\Thanks.\By the way, we heard there's a rich province nearby. Know where it is?\Must be our Lord Daigo's land.\You'll reach the city limits in half a day.\Thanks. Let's go.\Tell me your name. response:	Hyakkimaru.
context: So, pay up.\Thanks.\By the way, we heard there's a rich province nearby. Know where it is?\Must be our Lord Daigo's land.\You'll reach the city limits in half a day.\Thanks. Let's go.\Tell me your name.\Hyakkimaru. response:	Hyakkimaru...
context: Thanks.\By the way, we heard there's a rich province nearby. Know where it is?\Must be our Lord Daigo's land.\You'll reach the city limits in half a day.\Thanks. Let's go.\Tell me your name.\Hyakkimaru.\Hyakkimaru... response:	Lord Daigo's land, huh?
context: By the way, we heard there's a rich province nearby. Know where it is?\Must be our Lord Daigo's land.\You'll reach the city limits in half a day.\Thanks. Let's go.\Tell me your name.\Hyakkimaru.\Hyakkimaru...\Lord Daigo's land, huh? response:	He was dressed well, so he might be some important guy there.
context: Must be our Lord Daigo's land.\You'll reach the city limits in half a day.\Thanks. Let's go.\Tell me your name.\Hyakkimaru.\Hyakkimaru...\Lord Daigo's land, huh?\He was dressed well, so he might be some important guy there. response:	Hey come on, let's go.
context: You'll reach the city limits in half a day.\Thanks. Let's go.\Tell me your name.\Hyakkimaru.\Hyakkimaru...\Lord Daigo's land, huh?\He was dressed well, so he might be some important guy there.\Hey come on, let's go. response:	Forgive me, sir. I...
context: Thanks. Let's go.\Tell me your name.\Hyakkimaru.\Hyakkimaru...\Lord Daigo's land, huh?\He was dressed well, so he might be some important guy there.\Hey come on, let's go.\Forgive me, sir. I... response:	No, it is my fault for underestimating that monster.
context: Tell me your name.\Hyakkimaru.\Hyakkimaru...\Lord Daigo's land, huh?\He was dressed well, so he might be some important guy there.\Hey come on, let's go.\Forgive me, sir. I...\No, it is my fault for underestimating that monster. response:	I wouldn't lose to anybody in the dojo.
context: Hyakkimaru.\Hyakkimaru...\Lord Daigo's land, huh?\He was dressed well, so he might be some important guy there.\Hey come on, let's go.\Forgive me, sir. I...\No, it is my fault for underestimating that monster.\I wouldn't lose to anybody in the dojo. response:	But a real fight is a different matter.
context: Hyakkimaru...\Lord Daigo's land, huh?\He was dressed well, so he might be some important guy there.\Hey come on, let's go.\Forgive me, sir. I...\No, it is my fault for underestimating that monster.\I wouldn't lose to anybody in the dojo.\But a real fight is a different matter. response:	That in itself is a futile argument.
context: Lord Daigo's land, huh?\He was dressed well, so he might be some important guy there.\Hey come on, let's go.\Forgive me, sir. I...\No, it is my fault for underestimating that monster.\I wouldn't lose to anybody in the dojo.\But a real fight is a different matter.\That in itself is a futile argument. response:	A vagabond and the heir to this land cannot be compared.
context: He was dressed well, so he might be some important guy there.\Hey come on, let's go.\Forgive me, sir. I...\No, it is my fault for underestimating that monster.\I wouldn't lose to anybody in the dojo.\But a real fight is a different matter.\That in itself is a futile argument.\A vagabond and the heir to this land cannot be compared. response:	How about some fresh vegetables?
context: Hey come on, let's go.\Forgive me, sir. I...\No, it is my fault for underestimating that monster.\I wouldn't lose to anybody in the dojo.\But a real fight is a different matter.\That in itself is a futile argument.\A vagabond and the heir to this land cannot be compared.\How about some fresh vegetables? response:	They're all fine goods. Take a look.
context: Forgive me, sir. I...\No, it is my fault for underestimating that monster.\I wouldn't lose to anybody in the dojo.\But a real fight is a different matter.\That in itself is a futile argument.\A vagabond and the heir to this land cannot be compared.\How about some fresh vegetables?\They're all fine goods. Take a look. response:	A baby demon has been born, red all over
context: No, it is my fault for underestimating that monster.\I wouldn't lose to anybody in the dojo.\But a real fight is a different matter.\That in itself is a futile argument.\A vagabond and the heir to this land cannot be compared.\How about some fresh vegetables?\They're all fine goods. Take a look.\A baby demon has been born, red all over response:	Should we feed it to the mountain beasts?
context: I wouldn't lose to anybody in the dojo.\But a real fight is a different matter.\That in itself is a futile argument.\A vagabond and the heir to this land cannot be compared.\How about some fresh vegetables?\They're all fine goods. Take a look.\A baby demon has been born, red all over\Should we feed it to the mountain beasts? response:	Should we feed it to the ocean creatures?
context: But a real fight is a different matter.\That in itself is a futile argument.\A vagabond and the heir to this land cannot be compared.\How about some fresh vegetables?\They're all fine goods. Take a look.\A baby demon has been born, red all over\Should we feed it to the mountain beasts?\Should we feed it to the ocean creatures? response:	Wrap it up, send it adrift, now it's out of sight
context: That in itself is a futile argument.\A vagabond and the heir to this land cannot be compared.\How about some fresh vegetables?\They're all fine goods. Take a look.\A baby demon has been born, red all over\Should we feed it to the mountain beasts?\Should we feed it to the ocean creatures?\Wrap it up, send it adrift, now it's out of sight response:	It's the demon! The demon child!
context: A vagabond and the heir to this land cannot be compared.\How about some fresh vegetables?\They're all fine goods. Take a look.\A baby demon has been born, red all over\Should we feed it to the mountain beasts?\Should we feed it to the ocean creatures?\Wrap it up, send it adrift, now it's out of sight\It's the demon! The demon child! response:	The demon child has come!
context: How about some fresh vegetables?\They're all fine goods. Take a look.\A baby demon has been born, red all over\Should we feed it to the mountain beasts?\Should we feed it to the ocean creatures?\Wrap it up, send it adrift, now it's out of sight\It's the demon! The demon child!\The demon child has come! response:	Look Hyakkimaru, rice balls! And made with white rice, too.
context: They're all fine goods. Take a look.\A baby demon has been born, red all over\Should we feed it to the mountain beasts?\Should we feed it to the ocean creatures?\Wrap it up, send it adrift, now it's out of sight\It's the demon! The demon child!\The demon child has come!\Look Hyakkimaru, rice balls! And made with white rice, too. response:	And that, what is that?
context: A baby demon has been born, red all over\Should we feed it to the mountain beasts?\Should we feed it to the ocean creatures?\Wrap it up, send it adrift, now it's out of sight\It's the demon! The demon child!\The demon child has come!\Look Hyakkimaru, rice balls! And made with white rice, too.\And that, what is that? response:	We'll need more than one day to see all this.
context: Should we feed it to the mountain beasts?\Should we feed it to the ocean creatures?\Wrap it up, send it adrift, now it's out of sight\It's the demon! The demon child!\The demon child has come!\Look Hyakkimaru, rice balls! And made with white rice, too.\And that, what is that?\We'll need more than one day to see all this. response:	Let's eat something first.
context: Should we feed it to the ocean creatures?\Wrap it up, send it adrift, now it's out of sight\It's the demon! The demon child!\The demon child has come!\Look Hyakkimaru, rice balls! And made with white rice, too.\And that, what is that?\We'll need more than one day to see all this.\Let's eat something first. response:	Look, they're putting on a play over there!
context: Wrap it up, send it adrift, now it's out of sight\It's the demon! The demon child!\The demon child has come!\Look Hyakkimaru, rice balls! And made with white rice, too.\And that, what is that?\We'll need more than one day to see all this.\Let's eat something first.\Look, they're putting on a play over there! response:	For years on end,
context: It's the demon! The demon child!\The demon child has come!\Look Hyakkimaru, rice balls! And made with white rice, too.\And that, what is that?\We'll need more than one day to see all this.\Let's eat something first.\Look, they're putting on a play over there!\For years on end, response:	demons have tortured our people.
context: The demon child has come!\Look Hyakkimaru, rice balls! And made with white rice, too.\And that, what is that?\We'll need more than one day to see all this.\Let's eat something first.\Look, they're putting on a play over there!\For years on end,\demons have tortured our people. response:	As the lord of this land
context: Look Hyakkimaru, rice balls! And made with white rice, too.\And that, what is that?\We'll need more than one day to see all this.\Let's eat something first.\Look, they're putting on a play over there!\For years on end,\demons have tortured our people.\As the lord of this land response:	I, Daigo Kagemitsu, shall now slay this demon!
context: And that, what is that?\We'll need more than one day to see all this.\Let's eat something first.\Look, they're putting on a play over there!\For years on end,\demons have tortured our people.\As the lord of this land\I, Daigo Kagemitsu, shall now slay this demon! response:	Oh great Goddess of Mercy.
context: We'll need more than one day to see all this.\Let's eat something first.\Look, they're putting on a play over there!\For years on end,\demons have tortured our people.\As the lord of this land\I, Daigo Kagemitsu, shall now slay this demon!\Oh great Goddess of Mercy. response:	Please save Daigo's people with your benevolence.
context: Let's eat something first.\Look, they're putting on a play over there!\For years on end,\demons have tortured our people.\As the lord of this land\I, Daigo Kagemitsu, shall now slay this demon!\Oh great Goddess of Mercy.\Please save Daigo's people with your benevolence. response:	Do protect our lord.
context: Look, they're putting on a play over there!\For years on end,\demons have tortured our people.\As the lord of this land\I, Daigo Kagemitsu, shall now slay this demon!\Oh great Goddess of Mercy.\Please save Daigo's people with your benevolence.\Do protect our lord. response:	That guy's pretty awesome, huh.
context: For years on end,\demons have tortured our people.\As the lord of this land\I, Daigo Kagemitsu, shall now slay this demon!\Oh great Goddess of Mercy.\Please save Daigo's people with your benevolence.\Do protect our lord.\That guy's pretty awesome, huh. response:	That guy? How dare you!
context: demons have tortured our people.\As the lord of this land\I, Daigo Kagemitsu, shall now slay this demon!\Oh great Goddess of Mercy.\Please save Daigo's people with your benevolence.\Do protect our lord.\That guy's pretty awesome, huh.\That guy? How dare you! response:	He's Lord Daigo Kagemitsu, the man who made our land so rich.
context: As the lord of this land\I, Daigo Kagemitsu, shall now slay this demon!\Oh great Goddess of Mercy.\Please save Daigo's people with your benevolence.\Do protect our lord.\That guy's pretty awesome, huh.\That guy? How dare you!\He's Lord Daigo Kagemitsu, the man who made our land so rich. response:	Well, you don't say.
context: I, Daigo Kagemitsu, shall now slay this demon!\Oh great Goddess of Mercy.\Please save Daigo's people with your benevolence.\Do protect our lord.\That guy's pretty awesome, huh.\That guy? How dare you!\He's Lord Daigo Kagemitsu, the man who made our land so rich.\Well, you don't say. response:	He's just like you, bro.
context: Oh great Goddess of Mercy.\Please save Daigo's people with your benevolence.\Do protect our lord.\That guy's pretty awesome, huh.\That guy? How dare you!\He's Lord Daigo Kagemitsu, the man who made our land so rich.\Well, you don't say.\He's just like you, bro. response:	The demon has been defeated!
context: Please save Daigo's people with your benevolence.\Do protect our lord.\That guy's pretty awesome, huh.\That guy? How dare you!\He's Lord Daigo Kagemitsu, the man who made our land so rich.\Well, you don't say.\He's just like you, bro.\The demon has been defeated! response:	All foes who defy me will be vanquished.
context: Do protect our lord.\That guy's pretty awesome, huh.\That guy? How dare you!\He's Lord Daigo Kagemitsu, the man who made our land so rich.\Well, you don't say.\He's just like you, bro.\The demon has been defeated!\All foes who defy me will be vanquished. response:	And my domain will be protected for eternity!
context: That guy's pretty awesome, huh.\That guy? How dare you!\He's Lord Daigo Kagemitsu, the man who made our land so rich.\Well, you don't say.\He's just like you, bro.\The demon has been defeated!\All foes who defy me will be vanquished.\And my domain will be protected for eternity! response:	I see. I'm sorry for what happened to them.
context: That guy? How dare you!\He's Lord Daigo Kagemitsu, the man who made our land so rich.\Well, you don't say.\He's just like you, bro.\The demon has been defeated!\All foes who defy me will be vanquished.\And my domain will be protected for eternity!\I see. I'm sorry for what happened to them. response:	Did you come here because of the rumors, too?
context: He's Lord Daigo Kagemitsu, the man who made our land so rich.\Well, you don't say.\He's just like you, bro.\The demon has been defeated!\All foes who defy me will be vanquished.\And my domain will be protected for eternity!\I see. I'm sorry for what happened to them.\Did you come here because of the rumors, too? response:	In a way.
context: Well, you don't say.\He's just like you, bro.\The demon has been defeated!\All foes who defy me will be vanquished.\And my domain will be protected for eternity!\I see. I'm sorry for what happened to them.\Did you come here because of the rumors, too?\In a way. response:	This land is like none other in these hard times.
context: He's just like you, bro.\The demon has been defeated!\All foes who defy me will be vanquished.\And my domain will be protected for eternity!\I see. I'm sorry for what happened to them.\Did you come here because of the rumors, too?\In a way.\This land is like none other in these hard times. response:	I was curious as to what was blessing this country.
context: The demon has been defeated!\All foes who defy me will be vanquished.\And my domain will be protected for eternity!\I see. I'm sorry for what happened to them.\Did you come here because of the rumors, too?\In a way.\This land is like none other in these hard times.\I was curious as to what was blessing this country. response:	I heard the demons that Daigo defeated are enshrined up there.
context: All foes who defy me will be vanquished.\And my domain will be protected for eternity!\I see. I'm sorry for what happened to them.\Did you come here because of the rumors, too?\In a way.\This land is like none other in these hard times.\I was curious as to what was blessing this country.\I heard the demons that Daigo defeated are enshrined up there. response:	I'm going up there to check on it.
context: And my domain will be protected for eternity!\I see. I'm sorry for what happened to them.\Did you come here because of the rumors, too?\In a way.\This land is like none other in these hard times.\I was curious as to what was blessing this country.\I heard the demons that Daigo defeated are enshrined up there.\I'm going up there to check on it. response:	We got no business for some long dead monsters.
context: I see. I'm sorry for what happened to them.\Did you come here because of the rumors, too?\In a way.\This land is like none other in these hard times.\I was curious as to what was blessing this country.\I heard the demons that Daigo defeated are enshrined up there.\I'm going up there to check on it.\We got no business for some long dead monsters. response:	We're only after the live ones, the raging ones.
context: Did you come here because of the rumors, too?\In a way.\This land is like none other in these hard times.\I was curious as to what was blessing this country.\I heard the demons that Daigo defeated are enshrined up there.\I'm going up there to check on it.\We got no business for some long dead monsters.\We're only after the live ones, the raging ones. response:	Well, well.
context: In a way.\This land is like none other in these hard times.\I was curious as to what was blessing this country.\I heard the demons that Daigo defeated are enshrined up there.\I'm going up there to check on it.\We got no business for some long dead monsters.\We're only after the live ones, the raging ones.\Well, well. response:	Now then.
context: This land is like none other in these hard times.\I was curious as to what was blessing this country.\I heard the demons that Daigo defeated are enshrined up there.\I'm going up there to check on it.\We got no business for some long dead monsters.\We're only after the live ones, the raging ones.\Well, well.\Now then. response:	I see you've killed humans as well.
context: I was curious as to what was blessing this country.\I heard the demons that Daigo defeated are enshrined up there.\I'm going up there to check on it.\We got no business for some long dead monsters.\We're only after the live ones, the raging ones.\Well, well.\Now then.\I see you've killed humans as well. response:	You'd better be careful.
context: I heard the demons that Daigo defeated are enshrined up there.\I'm going up there to check on it.\We got no business for some long dead monsters.\We're only after the live ones, the raging ones.\Well, well.\Now then.\I see you've killed humans as well.\You'd better be careful. response:	You gotta be kidding me.
context: I'm going up there to check on it.\We got no business for some long dead monsters.\We're only after the live ones, the raging ones.\Well, well.\Now then.\I see you've killed humans as well.\You'd better be careful.\You gotta be kidding me. response:	But dang.
context: We got no business for some long dead monsters.\We're only after the live ones, the raging ones.\Well, well.\Now then.\I see you've killed humans as well.\You'd better be careful.\You gotta be kidding me.\But dang. response:	Maybe there's nothing for us to do here.
context: We're only after the live ones, the raging ones.\Well, well.\Now then.\I see you've killed humans as well.\You'd better be careful.\You gotta be kidding me.\But dang.\Maybe there's nothing for us to do here. response:	Let's have a bit more fun here and then go on to the next town.
context: Well, well.\Now then.\I see you've killed humans as well.\You'd better be careful.\You gotta be kidding me.\But dang.\Maybe there's nothing for us to do here.\Let's have a bit more fun here and then go on to the next town. response:	Hey, bro?
context: Now then.\I see you've killed humans as well.\You'd better be careful.\You gotta be kidding me.\But dang.\Maybe there's nothing for us to do here.\Let's have a bit more fun here and then go on to the next town.\Hey, bro? response:	I say it's the curse of Banmon.
context: I see you've killed humans as well.\You'd better be careful.\You gotta be kidding me.\But dang.\Maybe there's nothing for us to do here.\Let's have a bit more fun here and then go on to the next town.\Hey, bro?\I say it's the curse of Banmon. response:	I bet that's why it hasn't rained at all.
context: You'd better be careful.\You gotta be kidding me.\But dang.\Maybe there's nothing for us to do here.\Let's have a bit more fun here and then go on to the next town.\Hey, bro?\I say it's the curse of Banmon.\I bet that's why it hasn't rained at all. response:	Shh, you shouldn't say that.
context: You gotta be kidding me.\But dang.\Maybe there's nothing for us to do here.\Let's have a bit more fun here and then go on to the next town.\Hey, bro?\I say it's the curse of Banmon.\I bet that's why it hasn't rained at all.\Shh, you shouldn't say that. response:	The villages I passed through were all dry, too.
context: But dang.\Maybe there's nothing for us to do here.\Let's have a bit more fun here and then go on to the next town.\Hey, bro?\I say it's the curse of Banmon.\I bet that's why it hasn't rained at all.\Shh, you shouldn't say that.\The villages I passed through were all dry, too. response:	If this continues, then this fall...
context: Maybe there's nothing for us to do here.\Let's have a bit more fun here and then go on to the next town.\Hey, bro?\I say it's the curse of Banmon.\I bet that's why it hasn't rained at all.\Shh, you shouldn't say that.\The villages I passed through were all dry, too.\If this continues, then this fall... response:	What's wrong?
context: Let's have a bit more fun here and then go on to the next town.\Hey, bro?\I say it's the curse of Banmon.\I bet that's why it hasn't rained at all.\Shh, you shouldn't say that.\The villages I passed through were all dry, too.\If this continues, then this fall...\What's wrong? response:	Impossible. Lord Daigo's land is protected by the Goddess of Mercy.
context: Hey, bro?\I say it's the curse of Banmon.\I bet that's why it hasn't rained at all.\Shh, you shouldn't say that.\The villages I passed through were all dry, too.\If this continues, then this fall...\What's wrong?\Impossible. Lord Daigo's land is protected by the Goddess of Mercy. response:	Yeah, but ever since those things started up at Banmon.
context: I say it's the curse of Banmon.\I bet that's why it hasn't rained at all.\Shh, you shouldn't say that.\The villages I passed through were all dry, too.\If this continues, then this fall...\What's wrong?\Impossible. Lord Daigo's land is protected by the Goddess of Mercy.\Yeah, but ever since those things started up at Banmon. response:	Asakura's been acting suspicious, too.
context: I bet that's why it hasn't rained at all.\Shh, you shouldn't say that.\The villages I passed through were all dry, too.\If this continues, then this fall...\What's wrong?\Impossible. Lord Daigo's land is protected by the Goddess of Mercy.\Yeah, but ever since those things started up at Banmon.\Asakura's been acting suspicious, too. response:	Hey.
context: Shh, you shouldn't say that.\The villages I passed through were all dry, too.\If this continues, then this fall...\What's wrong?\Impossible. Lord Daigo's land is protected by the Goddess of Mercy.\Yeah, but ever since those things started up at Banmon.\Asakura's been acting suspicious, too.\Hey. response:	What is that Banmon thing?
context: The villages I passed through were all dry, too.\If this continues, then this fall...\What's wrong?\Impossible. Lord Daigo's land is protected by the Goddess of Mercy.\Yeah, but ever since those things started up at Banmon.\Asakura's been acting suspicious, too.\Hey.\What is that Banmon thing? response:	-What? A blind boy with no arms? -Yes.
context: If this continues, then this fall...\What's wrong?\Impossible. Lord Daigo's land is protected by the Goddess of Mercy.\Yeah, but ever since those things started up at Banmon.\Asakura's been acting suspicious, too.\Hey.\What is that Banmon thing?\-What? A blind boy with no arms? -Yes. response:	I believe one of his legs is a prosthetic, too.
context: What's wrong?\Impossible. Lord Daigo's land is protected by the Goddess of Mercy.\Yeah, but ever since those things started up at Banmon.\Asakura's been acting suspicious, too.\Hey.\What is that Banmon thing?\-What? A blind boy with no arms? -Yes.\I believe one of his legs is a prosthetic, too. response:	They said they travel, defeating monsters.
context: Impossible. Lord Daigo's land is protected by the Goddess of Mercy.\Yeah, but ever since those things started up at Banmon.\Asakura's been acting suspicious, too.\Hey.\What is that Banmon thing?\-What? A blind boy with no arms? -Yes.\I believe one of his legs is a prosthetic, too.\They said they travel, defeating monsters. response:	I would've died if he had not saved me.
context: Yeah, but ever since those things started up at Banmon.\Asakura's been acting suspicious, too.\Hey.\What is that Banmon thing?\-What? A blind boy with no arms? -Yes.\I believe one of his legs is a prosthetic, too.\They said they travel, defeating monsters.\I would've died if he had not saved me. response:	They bragged that they were only after strong demon gods.
