context: Start of the Rainy Season response:	Um, hello.
context: But maybe ice cream would've been better.\Peaches are good. I like peaches.\I see. That's good.\The cat's heavy! Can you move it?\Oh, okay.\LONG\No, I'm gonna stay here!\Rei... response:	Yes?
context: Peaches are good. I like peaches.\I see. That's good.\The cat's heavy! Can you move it?\Oh, okay.\LONG\No, I'm gonna stay here!\Rei...\Yes? response:	Thank you.
context: I see. That's good.\The cat's heavy! Can you move it?\Oh, okay.\LONG\No, I'm gonna stay here!\Rei...\Yes?\Thank you. response:	Sure.
context: The cat's heavy! Can you move it?\Oh, okay.\LONG\No, I'm gonna stay here!\Rei...\Yes?\Thank you.\Sure. response:	Well, we're going to the supermarket for the sale.
context: Oh, okay.\LONG\No, I'm gonna stay here!\Rei...\Yes?\Thank you.\Sure.\Well, we're going to the supermarket for the sale. response:	Keep lying down for another 20 minutes.
context: LONG\No, I'm gonna stay here!\Rei...\Yes?\Thank you.\Sure.\Well, we're going to the supermarket for the sale.\Keep lying down for another 20 minutes. response:	Okay!
context: No, I'm gonna stay here!\Rei...\Yes?\Thank you.\Sure.\Well, we're going to the supermarket for the sale.\Keep lying down for another 20 minutes.\Okay! response:	STAMPS MAIL
context: Rei...\Yes?\Thank you.\Sure.\Well, we're going to the supermarket for the sale.\Keep lying down for another 20 minutes.\Okay!\STAMPS MAIL response:	About Hina...
context: Yes?\Thank you.\Sure.\Well, we're going to the supermarket for the sale.\Keep lying down for another 20 minutes.\Okay!\STAMPS MAIL\About Hina... response:	Apparently her homeroom teacher talked to her after school.
context: Thank you.\Sure.\Well, we're going to the supermarket for the sale.\Keep lying down for another 20 minutes.\Okay!\STAMPS MAIL\About Hina...\Apparently her homeroom teacher talked to her after school. response:	Why? Why is this happening?
context: Sure.\Well, we're going to the supermarket for the sale.\Keep lying down for another 20 minutes.\Okay!\STAMPS MAIL\About Hina...\Apparently her homeroom teacher talked to her after school.\Why? Why is this happening? response:	Ms. Kawamoto, why aren't you getting along with everyone?
context: Well, we're going to the supermarket for the sale.\Keep lying down for another 20 minutes.\Okay!\STAMPS MAIL\About Hina...\Apparently her homeroom teacher talked to her after school.\Why? Why is this happening?\Ms. Kawamoto, why aren't you getting along with everyone? response:	Why aren't I?
context: Keep lying down for another 20 minutes.\Okay!\STAMPS MAIL\About Hina...\Apparently her homeroom teacher talked to her after school.\Why? Why is this happening?\Ms. Kawamoto, why aren't you getting along with everyone?\Why aren't I? response:	It's always been like this. I told you then, about Sakura!
context: Okay!\STAMPS MAIL\About Hina...\Apparently her homeroom teacher talked to her after school.\Why? Why is this happening?\Ms. Kawamoto, why aren't you getting along with everyone?\Why aren't I?\It's always been like this. I told you then, about Sakura! response:	Don't raise your voice to me.
context: STAMPS MAIL\About Hina...\Apparently her homeroom teacher talked to her after school.\Why? Why is this happening?\Ms. Kawamoto, why aren't you getting along with everyone?\Why aren't I?\It's always been like this. I told you then, about Sakura!\Don't raise your voice to me. response:	Honestly, Ms. Kawamoto, why can't you be more cooperative?
context: About Hina...\Apparently her homeroom teacher talked to her after school.\Why? Why is this happening?\Ms. Kawamoto, why aren't you getting along with everyone?\Why aren't I?\It's always been like this. I told you then, about Sakura!\Don't raise your voice to me.\Honestly, Ms. Kawamoto, why can't you be more cooperative? response:	Suddenly, everything went red.
context: Apparently her homeroom teacher talked to her after school.\Why? Why is this happening?\Ms. Kawamoto, why aren't you getting along with everyone?\Why aren't I?\It's always been like this. I told you then, about Sakura!\Don't raise your voice to me.\Honestly, Ms. Kawamoto, why can't you be more cooperative?\Suddenly, everything went red. response:	It wasn't just because of the sunset.
context: Why? Why is this happening?\Ms. Kawamoto, why aren't you getting along with everyone?\Why aren't I?\It's always been like this. I told you then, about Sakura!\Don't raise your voice to me.\Honestly, Ms. Kawamoto, why can't you be more cooperative?\Suddenly, everything went red.\It wasn't just because of the sunset. response:	So until just a little while ago, she was furious and crying hysterically.
context: Ms. Kawamoto, why aren't you getting along with everyone?\Why aren't I?\It's always been like this. I told you then, about Sakura!\Don't raise your voice to me.\Honestly, Ms. Kawamoto, why can't you be more cooperative?\Suddenly, everything went red.\It wasn't just because of the sunset.\So until just a little while ago, she was furious and crying hysterically. response:	She must have been frustrated.
context: Why aren't I?\It's always been like this. I told you then, about Sakura!\Don't raise your voice to me.\Honestly, Ms. Kawamoto, why can't you be more cooperative?\Suddenly, everything went red.\It wasn't just because of the sunset.\So until just a little while ago, she was furious and crying hysterically.\She must have been frustrated. response:	My mind went blank too when I heard.
context: It's always been like this. I told you then, about Sakura!\Don't raise your voice to me.\Honestly, Ms. Kawamoto, why can't you be more cooperative?\Suddenly, everything went red.\It wasn't just because of the sunset.\So until just a little while ago, she was furious and crying hysterically.\She must have been frustrated.\My mind went blank too when I heard. response:	I thought, How terrible.
context: Don't raise your voice to me.\Honestly, Ms. Kawamoto, why can't you be more cooperative?\Suddenly, everything went red.\It wasn't just because of the sunset.\So until just a little while ago, she was furious and crying hysterically.\She must have been frustrated.\My mind went blank too when I heard.\I thought, How terrible. response:	Hina...
context: Honestly, Ms. Kawamoto, why can't you be more cooperative?\Suddenly, everything went red.\It wasn't just because of the sunset.\So until just a little while ago, she was furious and crying hysterically.\She must have been frustrated.\My mind went blank too when I heard.\I thought, How terrible.\Hina... response:	Maybe I'll get called in for a talk soon, too.
context: Suddenly, everything went red.\It wasn't just because of the sunset.\So until just a little while ago, she was furious and crying hysterically.\She must have been frustrated.\My mind went blank too when I heard.\I thought, How terrible.\Hina...\Maybe I'll get called in for a talk soon, too. response:	I'm the only one at our house who can go.
context: It wasn't just because of the sunset.\So until just a little while ago, she was furious and crying hysterically.\She must have been frustrated.\My mind went blank too when I heard.\I thought, How terrible.\Hina...\Maybe I'll get called in for a talk soon, too.\I'm the only one at our house who can go. response:	I wonder if the other girl's parents will come, too.
context: So until just a little while ago, she was furious and crying hysterically.\She must have been frustrated.\My mind went blank too when I heard.\I thought, How terrible.\Hina...\Maybe I'll get called in for a talk soon, too.\I'm the only one at our house who can go.\I wonder if the other girl's parents will come, too. response:	Can I hold my own against them?
context: She must have been frustrated.\My mind went blank too when I heard.\I thought, How terrible.\Hina...\Maybe I'll get called in for a talk soon, too.\I'm the only one at our house who can go.\I wonder if the other girl's parents will come, too.\Can I hold my own against them? response:	I'm so worried.
context: My mind went blank too when I heard.\I thought, How terrible.\Hina...\Maybe I'll get called in for a talk soon, too.\I'm the only one at our house who can go.\I wonder if the other girl's parents will come, too.\Can I hold my own against them?\I'm so worried. response:	What'll I do if they turn out to be those monster parents you hear about?
context: I thought, How terrible.\Hina...\Maybe I'll get called in for a talk soon, too.\I'm the only one at our house who can go.\I wonder if the other girl's parents will come, too.\Can I hold my own against them?\I'm so worried.\What'll I do if they turn out to be those monster parents you hear about? response:	*Sending to you via imaginative video
context: Hina...\Maybe I'll get called in for a talk soon, too.\I'm the only one at our house who can go.\I wonder if the other girl's parents will come, too.\Can I hold my own against them?\I'm so worried.\What'll I do if they turn out to be those monster parents you hear about?\*Sending to you via imaginative video response:	How dare your kid accuse our cute daughter like that?
context: Maybe I'll get called in for a talk soon, too.\I'm the only one at our house who can go.\I wonder if the other girl's parents will come, too.\Can I hold my own against them?\I'm so worried.\What'll I do if they turn out to be those monster parents you hear about?\*Sending to you via imaginative video\How dare your kid accuse our cute daughter like that? response:	And if that happens...
context: I'm the only one at our house who can go.\I wonder if the other girl's parents will come, too.\Can I hold my own against them?\I'm so worried.\What'll I do if they turn out to be those monster parents you hear about?\*Sending to you via imaginative video\How dare your kid accuse our cute daughter like that?\And if that happens... response:	What have you done to my granddaughter, damn it?!
context: I wonder if the other girl's parents will come, too.\Can I hold my own against them?\I'm so worried.\What'll I do if they turn out to be those monster parents you hear about?\*Sending to you via imaginative video\How dare your kid accuse our cute daughter like that?\And if that happens...\What have you done to my granddaughter, damn it?! response:	And if that doesn't work...
context: Can I hold my own against them?\I'm so worried.\What'll I do if they turn out to be those monster parents you hear about?\*Sending to you via imaginative video\How dare your kid accuse our cute daughter like that?\And if that happens...\What have you done to my granddaughter, damn it?!\And if that doesn't work... response:	Aunt Misaki!
context: I'm so worried.\What'll I do if they turn out to be those monster parents you hear about?\*Sending to you via imaginative video\How dare your kid accuse our cute daughter like that?\And if that happens...\What have you done to my granddaughter, damn it?!\And if that doesn't work...\Aunt Misaki! response:	Shall we come to an amicable resolution?
context: What'll I do if they turn out to be those monster parents you hear about?\*Sending to you via imaginative video\How dare your kid accuse our cute daughter like that?\And if that happens...\What have you done to my granddaughter, damn it?!\And if that doesn't work...\Aunt Misaki!\Shall we come to an amicable resolution? response:	The Shadowy Monster of Ginza *** Street
context: *Sending to you via imaginative video\How dare your kid accuse our cute daughter like that?\And if that happens...\What have you done to my granddaughter, damn it?!\And if that doesn't work...\Aunt Misaki!\Shall we come to an amicable resolution?\The Shadowy Monster of Ginza *** Street response:	One way or another!
context: How dare your kid accuse our cute daughter like that?\And if that happens...\What have you done to my granddaughter, damn it?!\And if that doesn't work...\Aunt Misaki!\Shall we come to an amicable resolution?\The Shadowy Monster of Ginza *** Street\One way or another! response:	What should I do? My alma mater will be engulfed in a sea of flames!
context: And if that happens...\What have you done to my granddaughter, damn it?!\And if that doesn't work...\Aunt Misaki!\Shall we come to an amicable resolution?\The Shadowy Monster of Ginza *** Street\One way or another!\What should I do? My alma mater will be engulfed in a sea of flames! response:	AAAhhh
context: What have you done to my granddaughter, damn it?!\And if that doesn't work...\Aunt Misaki!\Shall we come to an amicable resolution?\The Shadowy Monster of Ginza *** Street\One way or another!\What should I do? My alma mater will be engulfed in a sea of flames!\AAAhhh response:	U-Um, Akari?
context: And if that doesn't work...\Aunt Misaki!\Shall we come to an amicable resolution?\The Shadowy Monster of Ginza *** Street\One way or another!\What should I do? My alma mater will be engulfed in a sea of flames!\AAAhhh\U-Um, Akari? response:	It'll be fine.
context: Aunt Misaki!\Shall we come to an amicable resolution?\The Shadowy Monster of Ginza *** Street\One way or another!\What should I do? My alma mater will be engulfed in a sea of flames!\AAAhhh\U-Um, Akari?\It'll be fine. response:	It'll be fine. Hina didn't do anything wrong.
context: Shall we come to an amicable resolution?\The Shadowy Monster of Ginza *** Street\One way or another!\What should I do? My alma mater will be engulfed in a sea of flames!\AAAhhh\U-Um, Akari?\It'll be fine.\It'll be fine. Hina didn't do anything wrong. response:	Besides, there are so many people I can rely on.
context: The Shadowy Monster of Ginza *** Street\One way or another!\What should I do? My alma mater will be engulfed in a sea of flames!\AAAhhh\U-Um, Akari?\It'll be fine.\It'll be fine. Hina didn't do anything wrong.\Besides, there are so many people I can rely on. response:	I'm sure it'll work out.
context: One way or another!\What should I do? My alma mater will be engulfed in a sea of flames!\AAAhhh\U-Um, Akari?\It'll be fine.\It'll be fine. Hina didn't do anything wrong.\Besides, there are so many people I can rely on.\I'm sure it'll work out. response:	Her hands...
context: What should I do? My alma mater will be engulfed in a sea of flames!\AAAhhh\U-Um, Akari?\It'll be fine.\It'll be fine. Hina didn't do anything wrong.\Besides, there are so many people I can rely on.\I'm sure it'll work out.\Her hands... response:	I'm here too!
context: AAAhhh\U-Um, Akari?\It'll be fine.\It'll be fine. Hina didn't do anything wrong.\Besides, there are so many people I can rely on.\I'm sure it'll work out.\Her hands...\I'm here too! response:	HERE TOO
context: U-Um, Akari?\It'll be fine.\It'll be fine. Hina didn't do anything wrong.\Besides, there are so many people I can rely on.\I'm sure it'll work out.\Her hands...\I'm here too!\HERE TOO response:	He yelled!
context: It'll be fine.\It'll be fine. Hina didn't do anything wrong.\Besides, there are so many people I can rely on.\I'm sure it'll work out.\Her hands...\I'm here too!\HERE TOO\He yelled! response:	Dangerous! You're dangerous!
context: It'll be fine. Hina didn't do anything wrong.\Besides, there are so many people I can rely on.\I'm sure it'll work out.\Her hands...\I'm here too!\HERE TOO\He yelled!\Dangerous! You're dangerous! response:	Hey! Who are you?!
context: Besides, there are so many people I can rely on.\I'm sure it'll work out.\Her hands...\I'm here too!\HERE TOO\He yelled!\Dangerous! You're dangerous!\Hey! Who are you?! response:	GASP
context: I'm sure it'll work out.\Her hands...\I'm here too!\HERE TOO\He yelled!\Dangerous! You're dangerous!\Hey! Who are you?!\GASP response:	Sorry about this! Quiet, Chibi and Meg! Sorry to bother you!
context: Her hands...\I'm here too!\HERE TOO\He yelled!\Dangerous! You're dangerous!\Hey! Who are you?!\GASP\Sorry about this! Quiet, Chibi and Meg! Sorry to bother you! response:	Be quiet, Pochi! These people are in the middle of something!
context: I'm here too!\HERE TOO\He yelled!\Dangerous! You're dangerous!\Hey! Who are you?!\GASP\Sorry about this! Quiet, Chibi and Meg! Sorry to bother you!\Be quiet, Pochi! These people are in the middle of something! response:	HERE TOO
context: HERE TOO\He yelled!\Dangerous! You're dangerous!\Hey! Who are you?!\GASP\Sorry about this! Quiet, Chibi and Meg! Sorry to bother you!\Be quiet, Pochi! These people are in the middle of something!\HERE TOO response:	PFFT
context: He yelled!\Dangerous! You're dangerous!\Hey! Who are you?!\GASP\Sorry about this! Quiet, Chibi and Meg! Sorry to bother you!\Be quiet, Pochi! These people are in the middle of something!\HERE TOO\PFFT response:	A-Akari? Are you laughing at me?
context: Dangerous! You're dangerous!\Hey! Who are you?!\GASP\Sorry about this! Quiet, Chibi and Meg! Sorry to bother you!\Be quiet, Pochi! These people are in the middle of something!\HERE TOO\PFFT\A-Akari? Are you laughing at me? response:	WUFF WUFF
context: Hey! Who are you?!\GASP\Sorry about this! Quiet, Chibi and Meg! Sorry to bother you!\Be quiet, Pochi! These people are in the middle of something!\HERE TOO\PFFT\A-Akari? Are you laughing at me?\WUFF WUFF response:	BARK BARK
context: GASP\Sorry about this! Quiet, Chibi and Meg! Sorry to bother you!\Be quiet, Pochi! These people are in the middle of something!\HERE TOO\PFFT\A-Akari? Are you laughing at me?\WUFF WUFF\BARK BARK response:	RAR RAR
context: Sorry about this! Quiet, Chibi and Meg! Sorry to bother you!\Be quiet, Pochi! These people are in the middle of something!\HERE TOO\PFFT\A-Akari? Are you laughing at me?\WUFF WUFF\BARK BARK\RAR RAR response:	That was loud.
context: Be quiet, Pochi! These people are in the middle of something!\HERE TOO\PFFT\A-Akari? Are you laughing at me?\WUFF WUFF\BARK BARK\RAR RAR\That was loud. response:	But...
context: HERE TOO\PFFT\A-Akari? Are you laughing at me?\WUFF WUFF\BARK BARK\RAR RAR\That was loud.\But... response:	If something happens...
context: PFFT\A-Akari? Are you laughing at me?\WUFF WUFF\BARK BARK\RAR RAR\That was loud.\But...\If something happens... response:	I'll be counting on you.
context: A-Akari? Are you laughing at me?\WUFF WUFF\BARK BARK\RAR RAR\That was loud.\But...\If something happens...\I'll be counting on you. response:	Okay?
context: WUFF WUFF\BARK BARK\RAR RAR\That was loud.\But...\If something happens...\I'll be counting on you.\Okay? response:	Yes. Of course.
context: BARK BARK\RAR RAR\That was loud.\But...\If something happens...\I'll be counting on you.\Okay?\Yes. Of course. response:	I'm ready for anything!
context: RAR RAR\That was loud.\But...\If something happens...\I'll be counting on you.\Okay?\Yes. Of course.\I'm ready for anything! response:	At last! At last, we made it this far.
context: That was loud.\But...\If something happens...\I'll be counting on you.\Okay?\Yes. Of course.\I'm ready for anything!\At last! At last, we made it this far. response:	One more win for both of us and we'll make it to the finals!
context: But...\If something happens...\I'll be counting on you.\Okay?\Yes. Of course.\I'm ready for anything!\At last! At last, we made it this far.\One more win for both of us and we'll make it to the finals! response:	But a powerful enemy is lying in wait for me.
context: If something happens...\I'll be counting on you.\Okay?\Yes. Of course.\I'm ready for anything!\At last! At last, we made it this far.\One more win for both of us and we'll make it to the finals!\But a powerful enemy is lying in wait for me. response:	Last year's...
context: I'll be counting on you.\Okay?\Yes. Of course.\I'm ready for anything!\At last! At last, we made it this far.\One more win for both of us and we'll make it to the finals!\But a powerful enemy is lying in wait for me.\Last year's... response:	No, the Newcomer King among Newcomer Kings! That man!
context: Okay?\Yes. Of course.\I'm ready for anything!\At last! At last, we made it this far.\One more win for both of us and we'll make it to the finals!\But a powerful enemy is lying in wait for me.\Last year's...\No, the Newcomer King among Newcomer Kings! That man! response:	NEWCOMER
context: Yes. Of course.\I'm ready for anything!\At last! At last, we made it this far.\One more win for both of us and we'll make it to the finals!\But a powerful enemy is lying in wait for me.\Last year's...\No, the Newcomer King among Newcomer Kings! That man!\NEWCOMER response:	Because of that regulation for participants being 5th dan or lower and under 26 years old,
context: I'm ready for anything!\At last! At last, we made it this far.\One more win for both of us and we'll make it to the finals!\But a powerful enemy is lying in wait for me.\Last year's...\No, the Newcomer King among Newcomer Kings! That man!\NEWCOMER\Because of that regulation for participants being 5th dan or lower and under 26 years old, response:	that Junkei Yamazaki has been the Newcomer King for the last four years!
context: At last! At last, we made it this far.\One more win for both of us and we'll make it to the finals!\But a powerful enemy is lying in wait for me.\Last year's...\No, the Newcomer King among Newcomer Kings! That man!\NEWCOMER\Because of that regulation for participants being 5th dan or lower and under 26 years old,\that Junkei Yamazaki has been the Newcomer King for the last four years! response:	*Sending to you via imaginative video
context: One more win for both of us and we'll make it to the finals!\But a powerful enemy is lying in wait for me.\Last year's...\No, the Newcomer King among Newcomer Kings! That man!\NEWCOMER\Because of that regulation for participants being 5th dan or lower and under 26 years old,\that Junkei Yamazaki has been the Newcomer King for the last four years!\*Sending to you via imaginative video response:	If this keeps up, he'll be the eternal Newcomer King!
context: But a powerful enemy is lying in wait for me.\Last year's...\No, the Newcomer King among Newcomer Kings! That man!\NEWCOMER\Because of that regulation for participants being 5th dan or lower and under 26 years old,\that Junkei Yamazaki has been the Newcomer King for the last four years!\*Sending to you via imaginative video\If this keeps up, he'll be the eternal Newcomer King! response:	Eternal Newcomer King Celebration
context: Last year's...\No, the Newcomer King among Newcomer Kings! That man!\NEWCOMER\Because of that regulation for participants being 5th dan or lower and under 26 years old,\that Junkei Yamazaki has been the Newcomer King for the last four years!\*Sending to you via imaginative video\If this keeps up, he'll be the eternal Newcomer King!\Eternal Newcomer King Celebration response:	I don't know if that title would be an honor or dishonor.
context: No, the Newcomer King among Newcomer Kings! That man!\NEWCOMER\Because of that regulation for participants being 5th dan or lower and under 26 years old,\that Junkei Yamazaki has been the Newcomer King for the last four years!\*Sending to you via imaginative video\If this keeps up, he'll be the eternal Newcomer King!\Eternal Newcomer King Celebration\I don't know if that title would be an honor or dishonor. response:	It's a dishonor, of course.
context: NEWCOMER\Because of that regulation for participants being 5th dan or lower and under 26 years old,\that Junkei Yamazaki has been the Newcomer King for the last four years!\*Sending to you via imaginative video\If this keeps up, he'll be the eternal Newcomer King!\Eternal Newcomer King Celebration\I don't know if that title would be an honor or dishonor.\It's a dishonor, of course. response:	To all of us newcomers!
context: Because of that regulation for participants being 5th dan or lower and under 26 years old,\that Junkei Yamazaki has been the Newcomer King for the last four years!\*Sending to you via imaginative video\If this keeps up, he'll be the eternal Newcomer King!\Eternal Newcomer King Celebration\I don't know if that title would be an honor or dishonor.\It's a dishonor, of course.\To all of us newcomers! response:	Yeah. Sorry.
context: that Junkei Yamazaki has been the Newcomer King for the last four years!\*Sending to you via imaginative video\If this keeps up, he'll be the eternal Newcomer King!\Eternal Newcomer King Celebration\I don't know if that title would be an honor or dishonor.\It's a dishonor, of course.\To all of us newcomers!\Yeah. Sorry. response:	You're right... for once.
context: *Sending to you via imaginative video\If this keeps up, he'll be the eternal Newcomer King!\Eternal Newcomer King Celebration\I don't know if that title would be an honor or dishonor.\It's a dishonor, of course.\To all of us newcomers!\Yeah. Sorry.\You're right... for once. response:	Don't say for once!
context: If this keeps up, he'll be the eternal Newcomer King!\Eternal Newcomer King Celebration\I don't know if that title would be an honor or dishonor.\It's a dishonor, of course.\To all of us newcomers!\Yeah. Sorry.\You're right... for once.\Don't say for once! response:	You better not lose either, to the Irritated Prince of the East!
context: Eternal Newcomer King Celebration\I don't know if that title would be an honor or dishonor.\It's a dishonor, of course.\To all of us newcomers!\Yeah. Sorry.\You're right... for once.\Don't say for once!\You better not lose either, to the Irritated Prince of the East! response:	Break him into pieces!
