context: I've brought Daichi Manatsu. response:	Come in.
context: I'll leave the Machine Goodfellow trials to you.\I've informed Technology and Research Division 3.\I can't understand why Kube wouldn't be in his office\in the middle of the day, either.\And the way he's acting is strange.\What are you talking about?\Why did Kube's attitude suddenly change?\Did losing Legacy drive him nuts? response:	No, he has other stock satellites.
context: I've informed Technology and Research Division 3.\I can't understand why Kube wouldn't be in his office\in the middle of the day, either.\And the way he's acting is strange.\What are you talking about?\Why did Kube's attitude suddenly change?\Did losing Legacy drive him nuts?\No, he has other stock satellites. response:	It was a nice way to irritate him, but...
context: I can't understand why Kube wouldn't be in his office\in the middle of the day, either.\And the way he's acting is strange.\What are you talking about?\Why did Kube's attitude suddenly change?\Did losing Legacy drive him nuts?\No, he has other stock satellites.\It was a nice way to irritate him, but... response:	Did you do something?
context: in the middle of the day, either.\And the way he's acting is strange.\What are you talking about?\Why did Kube's attitude suddenly change?\Did losing Legacy drive him nuts?\No, he has other stock satellites.\It was a nice way to irritate him, but...\Did you do something? response:	I used subliminal messages to make him fall in love with Hitomi Makino.
context: And the way he's acting is strange.\What are you talking about?\Why did Kube's attitude suddenly change?\Did losing Legacy drive him nuts?\No, he has other stock satellites.\It was a nice way to irritate him, but...\Did you do something?\I used subliminal messages to make him fall in love with Hitomi Makino. response:	He was so focused on being humanity's next leader,
context: What are you talking about?\Why did Kube's attitude suddenly change?\Did losing Legacy drive him nuts?\No, he has other stock satellites.\It was a nice way to irritate him, but...\Did you do something?\I used subliminal messages to make him fall in love with Hitomi Makino.\He was so focused on being humanity's next leader, response:	he was in a constant state of tension.
context: Why did Kube's attitude suddenly change?\Did losing Legacy drive him nuts?\No, he has other stock satellites.\It was a nice way to irritate him, but...\Did you do something?\I used subliminal messages to make him fall in love with Hitomi Makino.\He was so focused on being humanity's next leader,\he was in a constant state of tension. response:	His time with Hitomi Makino has released that tension,
context: Did losing Legacy drive him nuts?\No, he has other stock satellites.\It was a nice way to irritate him, but...\Did you do something?\I used subliminal messages to make him fall in love with Hitomi Makino.\He was so focused on being humanity's next leader,\he was in a constant state of tension.\His time with Hitomi Makino has released that tension, response:	stabilizing his psyche.
context: No, he has other stock satellites.\It was a nice way to irritate him, but...\Did you do something?\I used subliminal messages to make him fall in love with Hitomi Makino.\He was so focused on being humanity's next leader,\he was in a constant state of tension.\His time with Hitomi Makino has released that tension,\stabilizing his psyche. response:	He got suckered into dating someone, and it improved his mood?
context: It was a nice way to irritate him, but...\Did you do something?\I used subliminal messages to make him fall in love with Hitomi Makino.\He was so focused on being humanity's next leader,\he was in a constant state of tension.\His time with Hitomi Makino has released that tension,\stabilizing his psyche.\He got suckered into dating someone, and it improved his mood? response:	So that's all the man he was.
context: Did you do something?\I used subliminal messages to make him fall in love with Hitomi Makino.\He was so focused on being humanity's next leader,\he was in a constant state of tension.\His time with Hitomi Makino has released that tension,\stabilizing his psyche.\He got suckered into dating someone, and it improved his mood?\So that's all the man he was. response:	Well, if it doesn't interfere with our activities, that's fine.
context: I used subliminal messages to make him fall in love with Hitomi Makino.\He was so focused on being humanity's next leader,\he was in a constant state of tension.\His time with Hitomi Makino has released that tension,\stabilizing his psyche.\He got suckered into dating someone, and it improved his mood?\So that's all the man he was.\Well, if it doesn't interfere with our activities, that's fine. response:	Leave it to me.
context: He was so focused on being humanity's next leader,\he was in a constant state of tension.\His time with Hitomi Makino has released that tension,\stabilizing his psyche.\He got suckered into dating someone, and it improved his mood?\So that's all the man he was.\Well, if it doesn't interfere with our activities, that's fine.\Leave it to me. response:	Puck does not lie.
context: he was in a constant state of tension.\His time with Hitomi Makino has released that tension,\stabilizing his psyche.\He got suckered into dating someone, and it improved his mood?\So that's all the man he was.\Well, if it doesn't interfere with our activities, that's fine.\Leave it to me.\Puck does not lie. response:	The security cameras are watching.
context: His time with Hitomi Makino has released that tension,\stabilizing his psyche.\He got suckered into dating someone, and it improved his mood?\So that's all the man he was.\Well, if it doesn't interfere with our activities, that's fine.\Leave it to me.\Puck does not lie.\The security cameras are watching. response:	I'm enjoying giving them a show.
context: stabilizing his psyche.\He got suckered into dating someone, and it improved his mood?\So that's all the man he was.\Well, if it doesn't interfere with our activities, that's fine.\Leave it to me.\Puck does not lie.\The security cameras are watching.\I'm enjoying giving them a show. response:	You're so mean.
context: He got suckered into dating someone, and it improved his mood?\So that's all the man he was.\Well, if it doesn't interfere with our activities, that's fine.\Leave it to me.\Puck does not lie.\The security cameras are watching.\I'm enjoying giving them a show.\You're so mean. response:	I had no idea having a body was so much fun.
context: So that's all the man he was.\Well, if it doesn't interfere with our activities, that's fine.\Leave it to me.\Puck does not lie.\The security cameras are watching.\I'm enjoying giving them a show.\You're so mean.\I had no idea having a body was so much fun. response:	If it doesn't interfere with our activities, that's fine.
context: Well, if it doesn't interfere with our activities, that's fine.\Leave it to me.\Puck does not lie.\The security cameras are watching.\I'm enjoying giving them a show.\You're so mean.\I had no idea having a body was so much fun.\If it doesn't interfere with our activities, that's fine. response:	That self-confidence makes manipulating
context: Leave it to me.\Puck does not lie.\The security cameras are watching.\I'm enjoying giving them a show.\You're so mean.\I had no idea having a body was so much fun.\If it doesn't interfere with our activities, that's fine.\That self-confidence makes manipulating response:	both Earthlings and Planetary Gears simple.
context: Puck does not lie.\The security cameras are watching.\I'm enjoying giving them a show.\You're so mean.\I had no idea having a body was so much fun.\If it doesn't interfere with our activities, that's fine.\That self-confidence makes manipulating\both Earthlings and Planetary Gears simple. response:	Cheerful!
context: The security cameras are watching.\I'm enjoying giving them a show.\You're so mean.\I had no idea having a body was so much fun.\If it doesn't interfere with our activities, that's fine.\That self-confidence makes manipulating\both Earthlings and Planetary Gears simple.\Cheerful! response:	Pounding!
context: I'm enjoying giving them a show.\You're so mean.\I had no idea having a body was so much fun.\If it doesn't interfere with our activities, that's fine.\That self-confidence makes manipulating\both Earthlings and Planetary Gears simple.\Cheerful!\Pounding! response:	Heart!
context: You're so mean.\I had no idea having a body was so much fun.\If it doesn't interfere with our activities, that's fine.\That self-confidence makes manipulating\both Earthlings and Planetary Gears simple.\Cheerful!\Pounding!\Heart! response:	Here I am, everyone!
context: I had no idea having a body was so much fun.\If it doesn't interfere with our activities, that's fine.\That self-confidence makes manipulating\both Earthlings and Planetary Gears simple.\Cheerful!\Pounding!\Heart!\Here I am, everyone! response:	It's me, Ai!
context: If it doesn't interfere with our activities, that's fine.\That self-confidence makes manipulating\both Earthlings and Planetary Gears simple.\Cheerful!\Pounding!\Heart!\Here I am, everyone!\It's me, Ai! response:	I love you!
context: That self-confidence makes manipulating\both Earthlings and Planetary Gears simple.\Cheerful!\Pounding!\Heart!\Here I am, everyone!\It's me, Ai!\I love you! response:	I love you all so much, I could eat you!
context: both Earthlings and Planetary Gears simple.\Cheerful!\Pounding!\Heart!\Here I am, everyone!\It's me, Ai!\I love you!\I love you all so much, I could eat you! response:	And someday, I really will!
context: Cheerful!\Pounding!\Heart!\Here I am, everyone!\It's me, Ai!\I love you!\I love you all so much, I could eat you!\And someday, I really will! response:	Ai! Ai! Ai!
context: Pounding!\Heart!\Here I am, everyone!\It's me, Ai!\I love you!\I love you all so much, I could eat you!\And someday, I really will!\Ai! Ai! Ai! response:	Ai's really changed...
context: Heart!\Here I am, everyone!\It's me, Ai!\I love you!\I love you all so much, I could eat you!\And someday, I really will!\Ai! Ai! Ai!\Ai's really changed... response:	What happened?
context: Here I am, everyone!\It's me, Ai!\I love you!\I love you all so much, I could eat you!\And someday, I really will!\Ai! Ai! Ai!\Ai's really changed...\What happened? response:	With a flower in my hand, held up to the sun,
context: It's me, Ai!\I love you!\I love you all so much, I could eat you!\And someday, I really will!\Ai! Ai! Ai!\Ai's really changed...\What happened?\With a flower in my hand, held up to the sun, response:	like a dancing butterfly...
context: I love you!\I love you all so much, I could eat you!\And someday, I really will!\Ai! Ai! Ai!\Ai's really changed...\What happened?\With a flower in my hand, held up to the sun,\like a dancing butterfly... response:	I want to see you.
context: I love you all so much, I could eat you!\And someday, I really will!\Ai! Ai! Ai!\Ai's really changed...\What happened?\With a flower in my hand, held up to the sun,\like a dancing butterfly...\I want to see you. response:	Let us go on a journey
context: And someday, I really will!\Ai! Ai! Ai!\Ai's really changed...\What happened?\With a flower in my hand, held up to the sun,\like a dancing butterfly...\I want to see you.\Let us go on a journey response:	toward gentleness, toward warmth.
context: Ai! Ai! Ai!\Ai's really changed...\What happened?\With a flower in my hand, held up to the sun,\like a dancing butterfly...\I want to see you.\Let us go on a journey\toward gentleness, toward warmth. response:	That we can't just get it whenever we want is inconvenient.
context: Ai's really changed...\What happened?\With a flower in my hand, held up to the sun,\like a dancing butterfly...\I want to see you.\Let us go on a journey\toward gentleness, toward warmth.\That we can't just get it whenever we want is inconvenient. response:	It's just until we turn into Kiltgangs again.
context: What happened?\With a flower in my hand, held up to the sun,\like a dancing butterfly...\I want to see you.\Let us go on a journey\toward gentleness, toward warmth.\That we can't just get it whenever we want is inconvenient.\It's just until we turn into Kiltgangs again. response:	We can analyze internet posts to find
context: With a flower in my hand, held up to the sun,\like a dancing butterfly...\I want to see you.\Let us go on a journey\toward gentleness, toward warmth.\That we can't just get it whenever we want is inconvenient.\It's just until we turn into Kiltgangs again.\We can analyze internet posts to find response:	areas with strong destructive impulses.
context: like a dancing butterfly...\I want to see you.\Let us go on a journey\toward gentleness, toward warmth.\That we can't just get it whenever we want is inconvenient.\It's just until we turn into Kiltgangs again.\We can analyze internet posts to find\areas with strong destructive impulses. response:	It's easy.
context: I want to see you.\Let us go on a journey\toward gentleness, toward warmth.\That we can't just get it whenever we want is inconvenient.\It's just until we turn into Kiltgangs again.\We can analyze internet posts to find\areas with strong destructive impulses.\It's easy. response:	Is the fluctuation index high for people around here?
context: Let us go on a journey\toward gentleness, toward warmth.\That we can't just get it whenever we want is inconvenient.\It's just until we turn into Kiltgangs again.\We can analyze internet posts to find\areas with strong destructive impulses.\It's easy.\Is the fluctuation index high for people around here? response:	I can't believe you're calling a top idol somewhere
context: toward gentleness, toward warmth.\That we can't just get it whenever we want is inconvenient.\It's just until we turn into Kiltgangs again.\We can analyze internet posts to find\areas with strong destructive impulses.\It's easy.\Is the fluctuation index high for people around here?\I can't believe you're calling a top idol somewhere response:	hard to reach like this.
context: That we can't just get it whenever we want is inconvenient.\It's just until we turn into Kiltgangs again.\We can analyze internet posts to find\areas with strong destructive impulses.\It's easy.\Is the fluctuation index high for people around here?\I can't believe you're calling a top idol somewhere\hard to reach like this. response:	We're all finally here.
context: It's just until we turn into Kiltgangs again.\We can analyze internet posts to find\areas with strong destructive impulses.\It's easy.\Is the fluctuation index high for people around here?\I can't believe you're calling a top idol somewhere\hard to reach like this.\We're all finally here. response:	Siren-sama, please forgive us for failing to conquer the Earth.
context: We can analyze internet posts to find\areas with strong destructive impulses.\It's easy.\Is the fluctuation index high for people around here?\I can't believe you're calling a top idol somewhere\hard to reach like this.\We're all finally here.\Siren-sama, please forgive us for failing to conquer the Earth. response:	I never thought we would all see each other as avatars.
context: areas with strong destructive impulses.\It's easy.\Is the fluctuation index high for people around here?\I can't believe you're calling a top idol somewhere\hard to reach like this.\We're all finally here.\Siren-sama, please forgive us for failing to conquer the Earth.\I never thought we would all see each other as avatars. response:	Not everyone is here.
context: It's easy.\Is the fluctuation index high for people around here?\I can't believe you're calling a top idol somewhere\hard to reach like this.\We're all finally here.\Siren-sama, please forgive us for failing to conquer the Earth.\I never thought we would all see each other as avatars.\Not everyone is here. response:	Now that you mention it, where is Albion?
context: Is the fluctuation index high for people around here?\I can't believe you're calling a top idol somewhere\hard to reach like this.\We're all finally here.\Siren-sama, please forgive us for failing to conquer the Earth.\I never thought we would all see each other as avatars.\Not everyone is here.\Now that you mention it, where is Albion? response:	He's gone.
context: I can't believe you're calling a top idol somewhere\hard to reach like this.\We're all finally here.\Siren-sama, please forgive us for failing to conquer the Earth.\I never thought we would all see each other as avatars.\Not everyone is here.\Now that you mention it, where is Albion?\He's gone. response:	Gone?
context: hard to reach like this.\We're all finally here.\Siren-sama, please forgive us for failing to conquer the Earth.\I never thought we would all see each other as avatars.\Not everyone is here.\Now that you mention it, where is Albion?\He's gone.\Gone? response:	What happened to him?
context: We're all finally here.\Siren-sama, please forgive us for failing to conquer the Earth.\I never thought we would all see each other as avatars.\Not everyone is here.\Now that you mention it, where is Albion?\He's gone.\Gone?\What happened to him? response:	Albion destroyed his own Ego Block,
context: Siren-sama, please forgive us for failing to conquer the Earth.\I never thought we would all see each other as avatars.\Not everyone is here.\Now that you mention it, where is Albion?\He's gone.\Gone?\What happened to him?\Albion destroyed his own Ego Block, response:	and ceased to be a Planetary Gear.
context: I never thought we would all see each other as avatars.\Not everyone is here.\Now that you mention it, where is Albion?\He's gone.\Gone?\What happened to him?\Albion destroyed his own Ego Block,\and ceased to be a Planetary Gear. response:	I hadn't heard that.
context: Not everyone is here.\Now that you mention it, where is Albion?\He's gone.\Gone?\What happened to him?\Albion destroyed his own Ego Block,\and ceased to be a Planetary Gear.\I hadn't heard that. response:	He has become a soldier for Earth, who resists our invasion.
context: Now that you mention it, where is Albion?\He's gone.\Gone?\What happened to him?\Albion destroyed his own Ego Block,\and ceased to be a Planetary Gear.\I hadn't heard that.\He has become a soldier for Earth, who resists our invasion. response:	And he also uses a Livlaster.
context: He's gone.\Gone?\What happened to him?\Albion destroyed his own Ego Block,\and ceased to be a Planetary Gear.\I hadn't heard that.\He has become a soldier for Earth, who resists our invasion.\And he also uses a Livlaster. response:	He may be our greatest threat.
context: Gone?\What happened to him?\Albion destroyed his own Ego Block,\and ceased to be a Planetary Gear.\I hadn't heard that.\He has become a soldier for Earth, who resists our invasion.\And he also uses a Livlaster.\He may be our greatest threat. response:	He destroyed his Ego Block, and became a Neoteny?
context: What happened to him?\Albion destroyed his own Ego Block,\and ceased to be a Planetary Gear.\I hadn't heard that.\He has become a soldier for Earth, who resists our invasion.\And he also uses a Livlaster.\He may be our greatest threat.\He destroyed his Ego Block, and became a Neoteny? response:	That isn't all.
context: Albion destroyed his own Ego Block,\and ceased to be a Planetary Gear.\I hadn't heard that.\He has become a soldier for Earth, who resists our invasion.\And he also uses a Livlaster.\He may be our greatest threat.\He destroyed his Ego Block, and became a Neoteny?\That isn't all. response:	The Princess of Blume has become a Neoteny, as well.
context: and ceased to be a Planetary Gear.\I hadn't heard that.\He has become a soldier for Earth, who resists our invasion.\And he also uses a Livlaster.\He may be our greatest threat.\He destroyed his Ego Block, and became a Neoteny?\That isn't all.\The Princess of Blume has become a Neoteny, as well. response:	Our plan originally called for her to be able to fire a Livlaster, but...
context: I hadn't heard that.\He has become a soldier for Earth, who resists our invasion.\And he also uses a Livlaster.\He may be our greatest threat.\He destroyed his Ego Block, and became a Neoteny?\That isn't all.\The Princess of Blume has become a Neoteny, as well.\Our plan originally called for her to be able to fire a Livlaster, but... response:	I can't believe the Blume is now an enemy weapon.
context: He has become a soldier for Earth, who resists our invasion.\And he also uses a Livlaster.\He may be our greatest threat.\He destroyed his Ego Block, and became a Neoteny?\That isn't all.\The Princess of Blume has become a Neoteny, as well.\Our plan originally called for her to be able to fire a Livlaster, but...\I can't believe the Blume is now an enemy weapon. response:	It feels like there are many problems.
context: And he also uses a Livlaster.\He may be our greatest threat.\He destroyed his Ego Block, and became a Neoteny?\That isn't all.\The Princess of Blume has become a Neoteny, as well.\Our plan originally called for her to be able to fire a Livlaster, but...\I can't believe the Blume is now an enemy weapon.\It feels like there are many problems. response:	Siren-sama, do we have the energy gathered?
context: He may be our greatest threat.\He destroyed his Ego Block, and became a Neoteny?\That isn't all.\The Princess of Blume has become a Neoteny, as well.\Our plan originally called for her to be able to fire a Livlaster, but...\I can't believe the Blume is now an enemy weapon.\It feels like there are many problems.\Siren-sama, do we have the energy gathered? response:	This time, it will only be one.
context: He destroyed his Ego Block, and became a Neoteny?\That isn't all.\The Princess of Blume has become a Neoteny, as well.\Our plan originally called for her to be able to fire a Livlaster, but...\I can't believe the Blume is now an enemy weapon.\It feels like there are many problems.\Siren-sama, do we have the energy gathered?\This time, it will only be one. response:	Let me do it.
context: That isn't all.\The Princess of Blume has become a Neoteny, as well.\Our plan originally called for her to be able to fire a Livlaster, but...\I can't believe the Blume is now an enemy weapon.\It feels like there are many problems.\Siren-sama, do we have the energy gathered?\This time, it will only be one.\Let me do it. response:	I'll break past them.
context: The Princess of Blume has become a Neoteny, as well.\Our plan originally called for her to be able to fire a Livlaster, but...\I can't believe the Blume is now an enemy weapon.\It feels like there are many problems.\Siren-sama, do we have the energy gathered?\This time, it will only be one.\Let me do it.\I'll break past them. response:	Very well.
context: Our plan originally called for her to be able to fire a Livlaster, but...\I can't believe the Blume is now an enemy weapon.\It feels like there are many problems.\Siren-sama, do we have the energy gathered?\This time, it will only be one.\Let me do it.\I'll break past them.\Very well. response:	We are the Planetary Gears.
context: I can't believe the Blume is now an enemy weapon.\It feels like there are many problems.\Siren-sama, do we have the energy gathered?\This time, it will only be one.\Let me do it.\I'll break past them.\Very well.\We are the Planetary Gears. response:	We reveal the dream of the world.
context: It feels like there are many problems.\Siren-sama, do we have the energy gathered?\This time, it will only be one.\Let me do it.\I'll break past them.\Very well.\We are the Planetary Gears.\We reveal the dream of the world. response:	They say Pitz's condition is stable.
context: Siren-sama, do we have the energy gathered?\This time, it will only be one.\Let me do it.\I'll break past them.\Very well.\We are the Planetary Gears.\We reveal the dream of the world.\They say Pitz's condition is stable. response:	What did the commander say?
context: This time, it will only be one.\Let me do it.\I'll break past them.\Very well.\We are the Planetary Gears.\We reveal the dream of the world.\They say Pitz's condition is stable.\What did the commander say? response:	It's my fault that Pitz got hurt,
context: Let me do it.\I'll break past them.\Very well.\We are the Planetary Gears.\We reveal the dream of the world.\They say Pitz's condition is stable.\What did the commander say?\It's my fault that Pitz got hurt, response:	and we can't predict the enemy's actions.
context: I'll break past them.\Very well.\We are the Planetary Gears.\We reveal the dream of the world.\They say Pitz's condition is stable.\What did the commander say?\It's my fault that Pitz got hurt,\and we can't predict the enemy's actions. response:	Did he yell at you for that?
context: Very well.\We are the Planetary Gears.\We reveal the dream of the world.\They say Pitz's condition is stable.\What did the commander say?\It's my fault that Pitz got hurt,\and we can't predict the enemy's actions.\Did he yell at you for that? response:	It's okay. That wasn't it.
context: We are the Planetary Gears.\We reveal the dream of the world.\They say Pitz's condition is stable.\What did the commander say?\It's my fault that Pitz got hurt,\and we can't predict the enemy's actions.\Did he yell at you for that?\It's okay. That wasn't it. response:	Then what was it?
context: We reveal the dream of the world.\They say Pitz's condition is stable.\What did the commander say?\It's my fault that Pitz got hurt,\and we can't predict the enemy's actions.\Did he yell at you for that?\It's okay. That wasn't it.\Then what was it? response:	Well...
context: They say Pitz's condition is stable.\What did the commander say?\It's my fault that Pitz got hurt,\and we can't predict the enemy's actions.\Did he yell at you for that?\It's okay. That wasn't it.\Then what was it?\Well... response:	It seems that after Pitz got hurt,
context: What did the commander say?\It's my fault that Pitz got hurt,\and we can't predict the enemy's actions.\Did he yell at you for that?\It's okay. That wasn't it.\Then what was it?\Well...\It seems that after Pitz got hurt, response:	we can no longer use Hana's singularity
context: It's my fault that Pitz got hurt,\and we can't predict the enemy's actions.\Did he yell at you for that?\It's okay. That wasn't it.\Then what was it?\Well...\It seems that after Pitz got hurt,\we can no longer use Hana's singularity response:	to predict where the enemy will use Orgone energy.
context: and we can't predict the enemy's actions.\Did he yell at you for that?\It's okay. That wasn't it.\Then what was it?\Well...\It seems that after Pitz got hurt,\we can no longer use Hana's singularity\to predict where the enemy will use Orgone energy. response:	We cannot predict it like we have been any longer.
context: Did he yell at you for that?\It's okay. That wasn't it.\Then what was it?\Well...\It seems that after Pitz got hurt,\we can no longer use Hana's singularity\to predict where the enemy will use Orgone energy.\We cannot predict it like we have been any longer. response:	I'm sorry.
context: It's okay. That wasn't it.\Then what was it?\Well...\It seems that after Pitz got hurt,\we can no longer use Hana's singularity\to predict where the enemy will use Orgone energy.\We cannot predict it like we have been any longer.\I'm sorry. response:	It's my fault.
context: Then what was it?\Well...\It seems that after Pitz got hurt,\we can no longer use Hana's singularity\to predict where the enemy will use Orgone energy.\We cannot predict it like we have been any longer.\I'm sorry.\It's my fault. response:	I'm not interested in blaming you for that.
context: Well...\It seems that after Pitz got hurt,\we can no longer use Hana's singularity\to predict where the enemy will use Orgone energy.\We cannot predict it like we have been any longer.\I'm sorry.\It's my fault.\I'm not interested in blaming you for that. response:	I'm sorry to call you here from the hospital.
context: It seems that after Pitz got hurt,\we can no longer use Hana's singularity\to predict where the enemy will use Orgone energy.\We cannot predict it like we have been any longer.\I'm sorry.\It's my fault.\I'm not interested in blaming you for that.\I'm sorry to call you here from the hospital. response:	In regard to Hana Mutou,
context: we can no longer use Hana's singularity\to predict where the enemy will use Orgone energy.\We cannot predict it like we have been any longer.\I'm sorry.\It's my fault.\I'm not interested in blaming you for that.\I'm sorry to call you here from the hospital.\In regard to Hana Mutou, response:	it's less critical to our position that she's lost her predictive power
context: to predict where the enemy will use Orgone energy.\We cannot predict it like we have been any longer.\I'm sorry.\It's my fault.\I'm not interested in blaming you for that.\I'm sorry to call you here from the hospital.\In regard to Hana Mutou,\it's less critical to our position that she's lost her predictive power response:	than it that she can fire a Livlaster, and that she used the Blume.
context: We cannot predict it like we have been any longer.\I'm sorry.\It's my fault.\I'm not interested in blaming you for that.\I'm sorry to call you here from the hospital.\In regard to Hana Mutou,\it's less critical to our position that she's lost her predictive power\than it that she can fire a Livlaster, and that she used the Blume. response:	And every group that realizes Blume has been activated...
context: I'm sorry.\It's my fault.\I'm not interested in blaming you for that.\I'm sorry to call you here from the hospital.\In regard to Hana Mutou,\it's less critical to our position that she's lost her predictive power\than it that she can fire a Livlaster, and that she used the Blume.\And every group that realizes Blume has been activated... response:	Will come after Hana, right?
context: It's my fault.\I'm not interested in blaming you for that.\I'm sorry to call you here from the hospital.\In regard to Hana Mutou,\it's less critical to our position that she's lost her predictive power\than it that she can fire a Livlaster, and that she used the Blume.\And every group that realizes Blume has been activated...\Will come after Hana, right? response:	The Midsummer's Knights
context: I'm not interested in blaming you for that.\I'm sorry to call you here from the hospital.\In regard to Hana Mutou,\it's less critical to our position that she's lost her predictive power\than it that she can fire a Livlaster, and that she used the Blume.\And every group that realizes Blume has been activated...\Will come after Hana, right?\The Midsummer's Knights response:	have achieved their greatest goal as an independent attack group.
context: I'm sorry to call you here from the hospital.\In regard to Hana Mutou,\it's less critical to our position that she's lost her predictive power\than it that she can fire a Livlaster, and that she used the Blume.\And every group that realizes Blume has been activated...\Will come after Hana, right?\The Midsummer's Knights\have achieved their greatest goal as an independent attack group. response:	You will now proceed to the next stage.
context: In regard to Hana Mutou,\it's less critical to our position that she's lost her predictive power\than it that she can fire a Livlaster, and that she used the Blume.\And every group that realizes Blume has been activated...\Will come after Hana, right?\The Midsummer's Knights\have achieved their greatest goal as an independent attack group.\You will now proceed to the next stage. response:	The next stage?
context: it's less critical to our position that she's lost her predictive power\than it that she can fire a Livlaster, and that she used the Blume.\And every group that realizes Blume has been activated...\Will come after Hana, right?\The Midsummer's Knights\have achieved their greatest goal as an independent attack group.\You will now proceed to the next stage.\The next stage? response:	You'll go back to what the Intercept Faction is meant to be doing.
context: than it that she can fire a Livlaster, and that she used the Blume.\And every group that realizes Blume has been activated...\Will come after Hana, right?\The Midsummer's Knights\have achieved their greatest goal as an independent attack group.\You will now proceed to the next stage.\The next stage?\You'll go back to what the Intercept Faction is meant to be doing. response:	We will put Operation Summer into effect.
context: And every group that realizes Blume has been activated...\Will come after Hana, right?\The Midsummer's Knights\have achieved their greatest goal as an independent attack group.\You will now proceed to the next stage.\The next stage?\You'll go back to what the Intercept Faction is meant to be doing.\We will put Operation Summer into effect. response:	Operation Summer?
context: Will come after Hana, right?\The Midsummer's Knights\have achieved their greatest goal as an independent attack group.\You will now proceed to the next stage.\The next stage?\You'll go back to what the Intercept Faction is meant to be doing.\We will put Operation Summer into effect.\Operation Summer? response:	Our next mission.
context: The Midsummer's Knights\have achieved their greatest goal as an independent attack group.\You will now proceed to the next stage.\The next stage?\You'll go back to what the Intercept Faction is meant to be doing.\We will put Operation Summer into effect.\Operation Summer?\Our next mission. response:	What is it?
context: have achieved their greatest goal as an independent attack group.\You will now proceed to the next stage.\The next stage?\You'll go back to what the Intercept Faction is meant to be doing.\We will put Operation Summer into effect.\Operation Summer?\Our next mission.\What is it? response:	How are you doing?
context: You will now proceed to the next stage.\The next stage?\You'll go back to what the Intercept Faction is meant to be doing.\We will put Operation Summer into effect.\Operation Summer?\Our next mission.\What is it?\How are you doing? response:	I brought you a watermelon.
context: The next stage?\You'll go back to what the Intercept Faction is meant to be doing.\We will put Operation Summer into effect.\Operation Summer?\Our next mission.\What is it?\How are you doing?\I brought you a watermelon. response:	Hey, you already have one!
context: You'll go back to what the Intercept Faction is meant to be doing.\We will put Operation Summer into effect.\Operation Summer?\Our next mission.\What is it?\How are you doing?\I brought you a watermelon.\Hey, you already have one! response:	I bought one!
context: We will put Operation Summer into effect.\Operation Summer?\Our next mission.\What is it?\How are you doing?\I brought you a watermelon.\Hey, you already have one!\I bought one! response:	Way to go.
