context: Hey, all you viewers out there! response:	When you're watching Fairy Tail keep the room nice and bright,
context: which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right? response:	Tell me! S. O. W.
context: This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W. response:	Living itself will be our training!
context: It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training! response:	So, we can make it!
context: Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it! response:	Let's search for even more who-knows-what!
context: What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what! response:	We can't be satisfied with just the normal answers
context: Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers response:	This magical wonder life
context: The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life response:	Our future is wondering!!!
context: We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!! response:	We'll do our best living our life
context: Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life response:	the way we want to!
context: Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to! response:	Let's wondering!!!
context: So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!! response:	We are going to destroy that moon right now!
context: Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\We are going to destroy that moon right now! response:	We'll destroy the moon, and everyone will return to their original forms!
context: We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\We are going to destroy that moon right now!\We'll destroy the moon, and everyone will return to their original forms! response:	Will we get to see the moon destroyed right before our eyes?
context: This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\We are going to destroy that moon right now!\We'll destroy the moon, and everyone will return to their original forms!\Will we get to see the moon destroyed right before our eyes? response:	We'll finally be back to our old selves!
context: Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\We are going to destroy that moon right now!\We'll destroy the moon, and everyone will return to their original forms!\Will we get to see the moon destroyed right before our eyes?\We'll finally be back to our old selves! response:	If we're gonna destroy the moon, wouldn't being on top of the ruins help?
context: We'll do our best living our life\the way we want to!\Let's wondering!!!\We are going to destroy that moon right now!\We'll destroy the moon, and everyone will return to their original forms!\Will we get to see the moon destroyed right before our eyes?\We'll finally be back to our old selves!\If we're gonna destroy the moon, wouldn't being on top of the ruins help? response:	It's higher up than here.
context: the way we want to!\Let's wondering!!!\We are going to destroy that moon right now!\We'll destroy the moon, and everyone will return to their original forms!\Will we get to see the moon destroyed right before our eyes?\We'll finally be back to our old selves!\If we're gonna destroy the moon, wouldn't being on top of the ruins help?\It's higher up than here. response:	No, this will do.
context: Let's wondering!!!\We are going to destroy that moon right now!\We'll destroy the moon, and everyone will return to their original forms!\Will we get to see the moon destroyed right before our eyes?\We'll finally be back to our old selves!\If we're gonna destroy the moon, wouldn't being on top of the ruins help?\It's higher up than here.\No, this will do. response:	And the villagers can't get near the ruins.
context: We are going to destroy that moon right now!\We'll destroy the moon, and everyone will return to their original forms!\Will we get to see the moon destroyed right before our eyes?\We'll finally be back to our old selves!\If we're gonna destroy the moon, wouldn't being on top of the ruins help?\It's higher up than here.\No, this will do.\And the villagers can't get near the ruins. response:	Destroy the moon?
context: We'll destroy the moon, and everyone will return to their original forms!\Will we get to see the moon destroyed right before our eyes?\We'll finally be back to our old selves!\If we're gonna destroy the moon, wouldn't being on top of the ruins help?\It's higher up than here.\No, this will do.\And the villagers can't get near the ruins.\Destroy the moon? response:	Well, this is Erza we're talking about, but still...
context: Will we get to see the moon destroyed right before our eyes?\We'll finally be back to our old selves!\If we're gonna destroy the moon, wouldn't being on top of the ruins help?\It's higher up than here.\No, this will do.\And the villagers can't get near the ruins.\Destroy the moon?\Well, this is Erza we're talking about, but still... response:	W-What does she plan on doing?
context: We'll finally be back to our old selves!\If we're gonna destroy the moon, wouldn't being on top of the ruins help?\It's higher up than here.\No, this will do.\And the villagers can't get near the ruins.\Destroy the moon?\Well, this is Erza we're talking about, but still...\W-What does she plan on doing? response:	Quite heart-racing, don't you think?
context: If we're gonna destroy the moon, wouldn't being on top of the ruins help?\It's higher up than here.\No, this will do.\And the villagers can't get near the ruins.\Destroy the moon?\Well, this is Erza we're talking about, but still...\W-What does she plan on doing?\Quite heart-racing, don't you think? response:	In a lot of ways...
context: It's higher up than here.\No, this will do.\And the villagers can't get near the ruins.\Destroy the moon?\Well, this is Erza we're talking about, but still...\W-What does she plan on doing?\Quite heart-racing, don't you think?\In a lot of ways... response:	This is the Giant Armor.
context: No, this will do.\And the villagers can't get near the ruins.\Destroy the moon?\Well, this is Erza we're talking about, but still...\W-What does she plan on doing?\Quite heart-racing, don't you think?\In a lot of ways...\This is the Giant Armor. response:	It powers up my ability to throw.
context: And the villagers can't get near the ruins.\Destroy the moon?\Well, this is Erza we're talking about, but still...\W-What does she plan on doing?\Quite heart-racing, don't you think?\In a lot of ways...\This is the Giant Armor.\It powers up my ability to throw. response:	And...
context: Destroy the moon?\Well, this is Erza we're talking about, but still...\W-What does she plan on doing?\Quite heart-racing, don't you think?\In a lot of ways...\This is the Giant Armor.\It powers up my ability to throw.\And... response:	The Lance of Haja, which repels the darkness.
context: Well, this is Erza we're talking about, but still...\W-What does she plan on doing?\Quite heart-racing, don't you think?\In a lot of ways...\This is the Giant Armor.\It powers up my ability to throw.\And...\The Lance of Haja, which repels the darkness. response:	Awesome!
context: W-What does she plan on doing?\Quite heart-racing, don't you think?\In a lot of ways...\This is the Giant Armor.\It powers up my ability to throw.\And...\The Lance of Haja, which repels the darkness.\Awesome! response:	So you'll chuck that at the moon and blow it up?
context: Quite heart-racing, don't you think?\In a lot of ways...\This is the Giant Armor.\It powers up my ability to throw.\And...\The Lance of Haja, which repels the darkness.\Awesome!\So you'll chuck that at the moon and blow it up? response:	Seriously, that's not gonna work...
context: In a lot of ways...\This is the Giant Armor.\It powers up my ability to throw.\And...\The Lance of Haja, which repels the darkness.\Awesome!\So you'll chuck that at the moon and blow it up?\Seriously, that's not gonna work... response:	However I do not think it will reach the moon with only this.
context: This is the Giant Armor.\It powers up my ability to throw.\And...\The Lance of Haja, which repels the darkness.\Awesome!\So you'll chuck that at the moon and blow it up?\Seriously, that's not gonna work...\However I do not think it will reach the moon with only this. response:	That's why I want you to give me a boost with your flame's power.
context: It powers up my ability to throw.\And...\The Lance of Haja, which repels the darkness.\Awesome!\So you'll chuck that at the moon and blow it up?\Seriously, that's not gonna work...\However I do not think it will reach the moon with only this.\That's why I want you to give me a boost with your flame's power. response:	When I throw the spear, hit the back-end of the lance as hard as you can.
context: And...\The Lance of Haja, which repels the darkness.\Awesome!\So you'll chuck that at the moon and blow it up?\Seriously, that's not gonna work...\However I do not think it will reach the moon with only this.\That's why I want you to give me a boost with your flame's power.\When I throw the spear, hit the back-end of the lance as hard as you can. response:	By combining the throwing power of the Giant Armor and your flames, we will destroy that moon!
context: The Lance of Haja, which repels the darkness.\Awesome!\So you'll chuck that at the moon and blow it up?\Seriously, that's not gonna work...\However I do not think it will reach the moon with only this.\That's why I want you to give me a boost with your flame's power.\When I throw the spear, hit the back-end of the lance as hard as you can.\By combining the throwing power of the Giant Armor and your flames, we will destroy that moon! response:	All right! Got ya!
context: Awesome!\So you'll chuck that at the moon and blow it up?\Seriously, that's not gonna work...\However I do not think it will reach the moon with only this.\That's why I want you to give me a boost with your flame's power.\When I throw the spear, hit the back-end of the lance as hard as you can.\By combining the throwing power of the Giant Armor and your flames, we will destroy that moon!\All right! Got ya! response:	Let's go!
context: So you'll chuck that at the moon and blow it up?\Seriously, that's not gonna work...\However I do not think it will reach the moon with only this.\That's why I want you to give me a boost with your flame's power.\When I throw the spear, hit the back-end of the lance as hard as you can.\By combining the throwing power of the Giant Armor and your flames, we will destroy that moon!\All right! Got ya!\Let's go! response:	Why are the two of them so into this?
context: Seriously, that's not gonna work...\However I do not think it will reach the moon with only this.\That's why I want you to give me a boost with your flame's power.\When I throw the spear, hit the back-end of the lance as hard as you can.\By combining the throwing power of the Giant Armor and your flames, we will destroy that moon!\All right! Got ya!\Let's go!\Why are the two of them so into this? response:	They're not actually going to destroy the moon, right?
context: However I do not think it will reach the moon with only this.\That's why I want you to give me a boost with your flame's power.\When I throw the spear, hit the back-end of the lance as hard as you can.\By combining the throwing power of the Giant Armor and your flames, we will destroy that moon!\All right! Got ya!\Let's go!\Why are the two of them so into this?\They're not actually going to destroy the moon, right? response:	Reach it! To that Sky!
context: That's why I want you to give me a boost with your flame's power.\When I throw the spear, hit the back-end of the lance as hard as you can.\By combining the throwing power of the Giant Armor and your flames, we will destroy that moon!\All right! Got ya!\Let's go!\Why are the two of them so into this?\They're not actually going to destroy the moon, right?\Reach it! To that Sky! response:	Natsu!
context: When I throw the spear, hit the back-end of the lance as hard as you can.\By combining the throwing power of the Giant Armor and your flames, we will destroy that moon!\All right! Got ya!\Let's go!\Why are the two of them so into this?\They're not actually going to destroy the moon, right?\Reach it! To that Sky!\Natsu! response:	Whoa!
context: By combining the throwing power of the Giant Armor and your flames, we will destroy that moon!\All right! Got ya!\Let's go!\Why are the two of them so into this?\They're not actually going to destroy the moon, right?\Reach it! To that Sky!\Natsu!\Whoa! response:	Holy...
context: All right! Got ya!\Let's go!\Why are the two of them so into this?\They're not actually going to destroy the moon, right?\Reach it! To that Sky!\Natsu!\Whoa!\Holy... response:	They're destroyin' stuff again!
context: Let's go!\Why are the two of them so into this?\They're not actually going to destroy the moon, right?\Reach it! To that Sky!\Natsu!\Whoa!\Holy...\They're destroyin' stuff again! response:	Reach it!
context: Why are the two of them so into this?\They're not actually going to destroy the moon, right?\Reach it! To that Sky!\Natsu!\Whoa!\Holy...\They're destroyin' stuff again!\Reach it! response:	You've got to be kidding me!
context: They're not actually going to destroy the moon, right?\Reach it! To that Sky!\Natsu!\Whoa!\Holy...\They're destroyin' stuff again!\Reach it!\You've got to be kidding me! response:	The moon?
context: Reach it! To that Sky!\Natsu!\Whoa!\Holy...\They're destroyin' stuff again!\Reach it!\You've got to be kidding me!\The moon? response:	That's...
context: Natsu!\Whoa!\Holy...\They're destroyin' stuff again!\Reach it!\You've got to be kidding me!\The moon?\That's... response:	It wasn't the moon that she broke...
context: Whoa!\Holy...\They're destroyin' stuff again!\Reach it!\You've got to be kidding me!\The moon?\That's...\It wasn't the moon that she broke... response:	It was the sky?
context: Holy...\They're destroyin' stuff again!\Reach it!\You've got to be kidding me!\The moon?\That's...\It wasn't the moon that she broke...\It was the sky? response:	What's goin' on?
context: They're destroyin' stuff again!\Reach it!\You've got to be kidding me!\The moon?\That's...\It wasn't the moon that she broke...\It was the sky?\What's goin' on? response:	This island was covered by an evil lens.
context: Reach it!\You've got to be kidding me!\The moon?\That's...\It wasn't the moon that she broke...\It was the sky?\What's goin' on?\This island was covered by an evil lens. response:	A lens?
context: You've got to be kidding me!\The moon?\That's...\It wasn't the moon that she broke...\It was the sky?\What's goin' on?\This island was covered by an evil lens.\A lens? response:	A gas was released during the creation of the moon drip.
context: The moon?\That's...\It wasn't the moon that she broke...\It was the sky?\What's goin' on?\This island was covered by an evil lens.\A lens?\A gas was released during the creation of the moon drip. response:	That gas crystallized and became a lens covering the sky.
context: That's...\It wasn't the moon that she broke...\It was the sky?\What's goin' on?\This island was covered by an evil lens.\A lens?\A gas was released during the creation of the moon drip.\That gas crystallized and became a lens covering the sky. response:	It's thanks to the lens that the moon looked purple.
context: It wasn't the moon that she broke...\It was the sky?\What's goin' on?\This island was covered by an evil lens.\A lens?\A gas was released during the creation of the moon drip.\That gas crystallized and became a lens covering the sky.\It's thanks to the lens that the moon looked purple. response:	With the evil lens broken, this island's true radiance should return.
context: It was the sky?\What's goin' on?\This island was covered by an evil lens.\A lens?\A gas was released during the creation of the moon drip.\That gas crystallized and became a lens covering the sky.\It's thanks to the lens that the moon looked purple.\With the evil lens broken, this island's true radiance should return. response:	Huh?
context: What's goin' on?\This island was covered by an evil lens.\A lens?\A gas was released during the creation of the moon drip.\That gas crystallized and became a lens covering the sky.\It's thanks to the lens that the moon looked purple.\With the evil lens broken, this island's true radiance should return.\Huh? response:	They're not... going back to normal?
context: This island was covered by an evil lens.\A lens?\A gas was released during the creation of the moon drip.\That gas crystallized and became a lens covering the sky.\It's thanks to the lens that the moon looked purple.\With the evil lens broken, this island's true radiance should return.\Huh?\They're not... going back to normal? response:	Oh, no...
context: A lens?\A gas was released during the creation of the moon drip.\That gas crystallized and became a lens covering the sky.\It's thanks to the lens that the moon looked purple.\With the evil lens broken, this island's true radiance should return.\Huh?\They're not... going back to normal?\Oh, no... response:	No. Everything is the way it should be.
context: A gas was released during the creation of the moon drip.\That gas crystallized and became a lens covering the sky.\It's thanks to the lens that the moon looked purple.\With the evil lens broken, this island's true radiance should return.\Huh?\They're not... going back to normal?\Oh, no...\No. Everything is the way it should be. response:	The evil lens didn't affect their bodies,
context: That gas crystallized and became a lens covering the sky.\It's thanks to the lens that the moon looked purple.\With the evil lens broken, this island's true radiance should return.\Huh?\They're not... going back to normal?\Oh, no...\No. Everything is the way it should be.\The evil lens didn't affect their bodies, response:	it affected their memories.
context: It's thanks to the lens that the moon looked purple.\With the evil lens broken, this island's true radiance should return.\Huh?\They're not... going back to normal?\Oh, no...\No. Everything is the way it should be.\The evil lens didn't affect their bodies,\it affected their memories. response:	Their memories?
context: With the evil lens broken, this island's true radiance should return.\Huh?\They're not... going back to normal?\Oh, no...\No. Everything is the way it should be.\The evil lens didn't affect their bodies,\it affected their memories.\Their memories? response:	The false memory that they became demons during the night.
context: Huh?\They're not... going back to normal?\Oh, no...\No. Everything is the way it should be.\The evil lens didn't affect their bodies,\it affected their memories.\Their memories?\The false memory that they became demons during the night. response:	What is the meaning of this?
context: They're not... going back to normal?\Oh, no...\No. Everything is the way it should be.\The evil lens didn't affect their bodies,\it affected their memories.\Their memories?\The false memory that they became demons during the night.\What is the meaning of this? response:	You don't mean...
context: Oh, no...\No. Everything is the way it should be.\The evil lens didn't affect their bodies,\it affected their memories.\Their memories?\The false memory that they became demons during the night.\What is the meaning of this?\You don't mean... response:	That's how it is.
context: No. Everything is the way it should be.\The evil lens didn't affect their bodies,\it affected their memories.\Their memories?\The false memory that they became demons during the night.\What is the meaning of this?\You don't mean...\That's how it is. response:	They were demons from the start.
context: The evil lens didn't affect their bodies,\it affected their memories.\Their memories?\The false memory that they became demons during the night.\What is the meaning of this?\You don't mean...\That's how it is.\They were demons from the start. response:	Seriously?
context: it affected their memories.\Their memories?\The false memory that they became demons during the night.\What is the meaning of this?\You don't mean...\That's how it is.\They were demons from the start.\Seriously? response:	Yeah... Now that you mention it.
context: Their memories?\The false memory that they became demons during the night.\What is the meaning of this?\You don't mean...\That's how it is.\They were demons from the start.\Seriously?\Yeah... Now that you mention it. response:	I'm still a bit confused...
context: The false memory that they became demons during the night.\What is the meaning of this?\You don't mean...\That's how it is.\They were demons from the start.\Seriously?\Yeah... Now that you mention it.\I'm still a bit confused... response:	They all have the power to change into humans.
context: What is the meaning of this?\You don't mean...\That's how it is.\They were demons from the start.\Seriously?\Yeah... Now that you mention it.\I'm still a bit confused...\They all have the power to change into humans. response:	They ended up thinking that their human forms were who they really were.
context: You don't mean...\That's how it is.\They were demons from the start.\Seriously?\Yeah... Now that you mention it.\I'm still a bit confused...\They all have the power to change into humans.\They ended up thinking that their human forms were who they really were. response:	That was the false memory that the moon drip caused in them.
context: That's how it is.\They were demons from the start.\Seriously?\Yeah... Now that you mention it.\I'm still a bit confused...\They all have the power to change into humans.\They ended up thinking that their human forms were who they really were.\That was the false memory that the moon drip caused in them. response:	But why were Lyon and the others okay?
context: They were demons from the start.\Seriously?\Yeah... Now that you mention it.\I'm still a bit confused...\They all have the power to change into humans.\They ended up thinking that their human forms were who they really were.\That was the false memory that the moon drip caused in them.\But why were Lyon and the others okay? response:	Because they are human.
context: Seriously?\Yeah... Now that you mention it.\I'm still a bit confused...\They all have the power to change into humans.\They ended up thinking that their human forms were who they really were.\That was the false memory that the moon drip caused in them.\But why were Lyon and the others okay?\Because they are human. response:	It seems like it only affects the memories of demons.
context: Yeah... Now that you mention it.\I'm still a bit confused...\They all have the power to change into humans.\They ended up thinking that their human forms were who they really were.\That was the false memory that the moon drip caused in them.\But why were Lyon and the others okay?\Because they are human.\It seems like it only affects the memories of demons. response:	It's also because they are demons that they can't get near those ruins.
context: I'm still a bit confused...\They all have the power to change into humans.\They ended up thinking that their human forms were who they really were.\That was the false memory that the moon drip caused in them.\But why were Lyon and the others okay?\Because they are human.\It seems like it only affects the memories of demons.\It's also because they are demons that they can't get near those ruins. response:	Beings of darkness could never get near ruins that have absorbed so much holy light.
context: They all have the power to change into humans.\They ended up thinking that their human forms were who they really were.\That was the false memory that the moon drip caused in them.\But why were Lyon and the others okay?\Because they are human.\It seems like it only affects the memories of demons.\It's also because they are demons that they can't get near those ruins.\Beings of darkness could never get near ruins that have absorbed so much holy light. response:	Impressive!
context: They ended up thinking that their human forms were who they really were.\That was the false memory that the moon drip caused in them.\But why were Lyon and the others okay?\Because they are human.\It seems like it only affects the memories of demons.\It's also because they are demons that they can't get near those ruins.\Beings of darkness could never get near ruins that have absorbed so much holy light.\Impressive! response:	I'm glad I trusted this to you.
context: That was the false memory that the moon drip caused in them.\But why were Lyon and the others okay?\Because they are human.\It seems like it only affects the memories of demons.\It's also because they are demons that they can't get near those ruins.\Beings of darkness could never get near ruins that have absorbed so much holy light.\Impressive!\I'm glad I trusted this to you. response:	Wizards... Thank you!
context: But why were Lyon and the others okay?\Because they are human.\It seems like it only affects the memories of demons.\It's also because they are demons that they can't get near those ruins.\Beings of darkness could never get near ruins that have absorbed so much holy light.\Impressive!\I'm glad I trusted this to you.\Wizards... Thank you! response:	It's the ghost!
context: Because they are human.\It seems like it only affects the memories of demons.\It's also because they are demons that they can't get near those ruins.\Beings of darkness could never get near ruins that have absorbed so much holy light.\Impressive!\I'm glad I trusted this to you.\Wizards... Thank you!\It's the ghost! response:	The dude from the boat?!
context: It seems like it only affects the memories of demons.\It's also because they are demons that they can't get near those ruins.\Beings of darkness could never get near ruins that have absorbed so much holy light.\Impressive!\I'm glad I trusted this to you.\Wizards... Thank you!\It's the ghost!\The dude from the boat?! response:	Bobo...
context: It's also because they are demons that they can't get near those ruins.\Beings of darkness could never get near ruins that have absorbed so much holy light.\Impressive!\I'm glad I trusted this to you.\Wizards... Thank you!\It's the ghost!\The dude from the boat?!\Bobo... response:	But, you're...
context: Beings of darkness could never get near ruins that have absorbed so much holy light.\Impressive!\I'm glad I trusted this to you.\Wizards... Thank you!\It's the ghost!\The dude from the boat?!\Bobo...\But, you're... response:	We don't die from being stabbed in the chest!
context: Impressive!\I'm glad I trusted this to you.\Wizards... Thank you!\It's the ghost!\The dude from the boat?!\Bobo...\But, you're...\We don't die from being stabbed in the chest! response:	You disappeared from the boat...
context: I'm glad I trusted this to you.\Wizards... Thank you!\It's the ghost!\The dude from the boat?!\Bobo...\But, you're...\We don't die from being stabbed in the chest!\You disappeared from the boat... response:	I'm sorry I didn't tell you the truth back then.
context: Wizards... Thank you!\It's the ghost!\The dude from the boat?!\Bobo...\But, you're...\We don't die from being stabbed in the chest!\You disappeared from the boat...\I'm sorry I didn't tell you the truth back then. response:	I was the only one who gained back my memories,
context: It's the ghost!\The dude from the boat?!\Bobo...\But, you're...\We don't die from being stabbed in the chest!\You disappeared from the boat...\I'm sorry I didn't tell you the truth back then.\I was the only one who gained back my memories, response:	so I left this island.
context: The dude from the boat?!\Bobo...\But, you're...\We don't die from being stabbed in the chest!\You disappeared from the boat...\I'm sorry I didn't tell you the truth back then.\I was the only one who gained back my memories,\so I left this island. response:	Since all the people of the village thought they were humans, they were all scared of me!
context: Bobo...\But, you're...\We don't die from being stabbed in the chest!\You disappeared from the boat...\I'm sorry I didn't tell you the truth back then.\I was the only one who gained back my memories,\so I left this island.\Since all the people of the village thought they were humans, they were all scared of me! response:	Bobo...
context: But, you're...\We don't die from being stabbed in the chest!\You disappeared from the boat...\I'm sorry I didn't tell you the truth back then.\I was the only one who gained back my memories,\so I left this island.\Since all the people of the village thought they were humans, they were all scared of me!\Bobo... response:	Bobo!
context: We don't die from being stabbed in the chest!\You disappeared from the boat...\I'm sorry I didn't tell you the truth back then.\I was the only one who gained back my memories,\so I left this island.\Since all the people of the village thought they were humans, they were all scared of me!\Bobo...\Bobo! response:	Finally back to normal, huh, pops?
context: You disappeared from the boat...\I'm sorry I didn't tell you the truth back then.\I was the only one who gained back my memories,\so I left this island.\Since all the people of the village thought they were humans, they were all scared of me!\Bobo...\Bobo!\Finally back to normal, huh, pops? response:	He's alive!
context: I'm sorry I didn't tell you the truth back then.\I was the only one who gained back my memories,\so I left this island.\Since all the people of the village thought they were humans, they were all scared of me!\Bobo...\Bobo!\Finally back to normal, huh, pops?\He's alive! response:	Bobo's still alive!
context: I was the only one who gained back my memories,\so I left this island.\Since all the people of the village thought they were humans, they were all scared of me!\Bobo...\Bobo!\Finally back to normal, huh, pops?\He's alive!\Bobo's still alive! response:	All right!
context: so I left this island.\Since all the people of the village thought they were humans, they were all scared of me!\Bobo...\Bobo!\Finally back to normal, huh, pops?\He's alive!\Bobo's still alive!\All right! response:	A Demon Island, indeed...
context: Since all the people of the village thought they were humans, they were all scared of me!\Bobo...\Bobo!\Finally back to normal, huh, pops?\He's alive!\Bobo's still alive!\All right!\A Demon Island, indeed... response:	But, you know... Just looking at all their faces...
context: Bobo...\Bobo!\Finally back to normal, huh, pops?\He's alive!\Bobo's still alive!\All right!\A Demon Island, indeed...\But, you know... Just looking at all their faces... response:	They look less like devils...
context: Bobo!\Finally back to normal, huh, pops?\He's alive!\Bobo's still alive!\All right!\A Demon Island, indeed...\But, you know... Just looking at all their faces...\They look less like devils... response:	Tonight we're having a feast! A demon's feast!
