context: Shortly after a month had passed since entering school... response:	But then, as if being dealt the final blow...
context: Hey, Kyon.\What else do you think we need?\For what?\I really want to get my hands on a mysterious transfer student, don't you think?\I'm begging you.\Establish the context before you start talking.\What the SOS Brigade needs!\I at least want a mysterious transfer student. response:	I'd like you to define mysterious first.
context: What else do you think we need?\For what?\I really want to get my hands on a mysterious transfer student, don't you think?\I'm begging you.\Establish the context before you start talking.\What the SOS Brigade needs!\I at least want a mysterious transfer student.\I'd like you to define mysterious first. response:	It hasn't even been two months since the new term began.
context: For what?\I really want to get my hands on a mysterious transfer student, don't you think?\I'm begging you.\Establish the context before you start talking.\What the SOS Brigade needs!\I at least want a mysterious transfer student.\I'd like you to define mysterious first.\It hasn't even been two months since the new term began. response:	Anyone who transfers in at this point must qualify as mysterious, right?
context: I really want to get my hands on a mysterious transfer student, don't you think?\I'm begging you.\Establish the context before you start talking.\What the SOS Brigade needs!\I at least want a mysterious transfer student.\I'd like you to define mysterious first.\It hasn't even been two months since the new term began.\Anyone who transfers in at this point must qualify as mysterious, right? response:	You agree, right?
context: I'm begging you.\Establish the context before you start talking.\What the SOS Brigade needs!\I at least want a mysterious transfer student.\I'd like you to define mysterious first.\It hasn't even been two months since the new term began.\Anyone who transfers in at this point must qualify as mysterious, right?\You agree, right? response:	Maybe the student's dad was suddenly transferred.
context: Establish the context before you start talking.\What the SOS Brigade needs!\I at least want a mysterious transfer student.\I'd like you to define mysterious first.\It hasn't even been two months since the new term began.\Anyone who transfers in at this point must qualify as mysterious, right?\You agree, right?\Maybe the student's dad was suddenly transferred. response:	No!
context: What the SOS Brigade needs!\I at least want a mysterious transfer student.\I'd like you to define mysterious first.\It hasn't even been two months since the new term began.\Anyone who transfers in at this point must qualify as mysterious, right?\You agree, right?\Maybe the student's dad was suddenly transferred.\No! response:	That's abnormal.
context: I at least want a mysterious transfer student.\I'd like you to define mysterious first.\It hasn't even been two months since the new term began.\Anyone who transfers in at this point must qualify as mysterious, right?\You agree, right?\Maybe the student's dad was suddenly transferred.\No!\That's abnormal. response:	What would you consider normal?
context: I'd like you to define mysterious first.\It hasn't even been two months since the new term began.\Anyone who transfers in at this point must qualify as mysterious, right?\You agree, right?\Maybe the student's dad was suddenly transferred.\No!\That's abnormal.\What would you consider normal? response:	I'd like to know that.
context: It hasn't even been two months since the new term began.\Anyone who transfers in at this point must qualify as mysterious, right?\You agree, right?\Maybe the student's dad was suddenly transferred.\No!\That's abnormal.\What would you consider normal?\I'd like to know that. response:	I wonder if a mysterious transfer student will show up.
context: Anyone who transfers in at this point must qualify as mysterious, right?\You agree, right?\Maybe the student's dad was suddenly transferred.\No!\That's abnormal.\What would you consider normal?\I'd like to know that.\I wonder if a mysterious transfer student will show up. response:	In other words, you don't give a damn what I think...
context: You agree, right?\Maybe the student's dad was suddenly transferred.\No!\That's abnormal.\What would you consider normal?\I'd like to know that.\I wonder if a mysterious transfer student will show up.\In other words, you don't give a damn what I think... response:	Do you...
context: Maybe the student's dad was suddenly transferred.\No!\That's abnormal.\What would you consider normal?\I'd like to know that.\I wonder if a mysterious transfer student will show up.\In other words, you don't give a damn what I think...\Do you... response:	It would appear that a rumor had spread that Haruhi and I were plotting something.
context: No!\That's abnormal.\What would you consider normal?\I'd like to know that.\I wonder if a mysterious transfer student will show up.\In other words, you don't give a damn what I think...\Do you...\It would appear that a rumor had spread that Haruhi and I were plotting something. response:	The Melancholy of Haruhi Suzumiya II
context: That's abnormal.\What would you consider normal?\I'd like to know that.\I wonder if a mysterious transfer student will show up.\In other words, you don't give a damn what I think...\Do you...\It would appear that a rumor had spread that Haruhi and I were plotting something.\The Melancholy of Haruhi Suzumiya II response:	Say.
context: What would you consider normal?\I'd like to know that.\I wonder if a mysterious transfer student will show up.\In other words, you don't give a damn what I think...\Do you...\It would appear that a rumor had spread that Haruhi and I were plotting something.\The Melancholy of Haruhi Suzumiya II\Say. response:	What are you and Suzumiya up to?
context: I'd like to know that.\I wonder if a mysterious transfer student will show up.\In other words, you don't give a damn what I think...\Do you...\It would appear that a rumor had spread that Haruhi and I were plotting something.\The Melancholy of Haruhi Suzumiya II\Say.\What are you and Suzumiya up to? response:	Don't tell me you're going out.
context: I wonder if a mysterious transfer student will show up.\In other words, you don't give a damn what I think...\Do you...\It would appear that a rumor had spread that Haruhi and I were plotting something.\The Melancholy of Haruhi Suzumiya II\Say.\What are you and Suzumiya up to?\Don't tell me you're going out. response:	Absolutely not.
context: In other words, you don't give a damn what I think...\Do you...\It would appear that a rumor had spread that Haruhi and I were plotting something.\The Melancholy of Haruhi Suzumiya II\Say.\What are you and Suzumiya up to?\Don't tell me you're going out.\Absolutely not. response:	I'm the one who would like to know exactly what the hell we're doing.
context: Do you...\It would appear that a rumor had spread that Haruhi and I were plotting something.\The Melancholy of Haruhi Suzumiya II\Say.\What are you and Suzumiya up to?\Don't tell me you're going out.\Absolutely not.\I'm the one who would like to know exactly what the hell we're doing. response:	Don't overdo it.
context: It would appear that a rumor had spread that Haruhi and I were plotting something.\The Melancholy of Haruhi Suzumiya II\Say.\What are you and Suzumiya up to?\Don't tell me you're going out.\Absolutely not.\I'm the one who would like to know exactly what the hell we're doing.\Don't overdo it. response:	We're not in middle school anymore.
context: The Melancholy of Haruhi Suzumiya II\Say.\What are you and Suzumiya up to?\Don't tell me you're going out.\Absolutely not.\I'm the one who would like to know exactly what the hell we're doing.\Don't overdo it.\We're not in middle school anymore. response:	If you render the grounds unusable...
context: Say.\What are you and Suzumiya up to?\Don't tell me you're going out.\Absolutely not.\I'm the one who would like to know exactly what the hell we're doing.\Don't overdo it.\We're not in middle school anymore.\If you render the grounds unusable... response:	I have to at least prevent Yuki Nagato and Mikuru Asahina-san from coming to any harm.
context: What are you and Suzumiya up to?\Don't tell me you're going out.\Absolutely not.\I'm the one who would like to know exactly what the hell we're doing.\Don't overdo it.\We're not in middle school anymore.\If you render the grounds unusable...\I have to at least prevent Yuki Nagato and Mikuru Asahina-san from coming to any harm. response:	CHIEF
context: Don't tell me you're going out.\Absolutely not.\I'm the one who would like to know exactly what the hell we're doing.\Don't overdo it.\We're not in middle school anymore.\If you render the grounds unusable...\I have to at least prevent Yuki Nagato and Mikuru Asahina-san from coming to any harm.\CHIEF response:	After the SOS Brigade was founded...
context: Absolutely not.\I'm the one who would like to know exactly what the hell we're doing.\Don't overdo it.\We're not in middle school anymore.\If you render the grounds unusable...\I have to at least prevent Yuki Nagato and Mikuru Asahina-san from coming to any harm.\CHIEF\After the SOS Brigade was founded... response:	CHIEF
context: I'm the one who would like to know exactly what the hell we're doing.\Don't overdo it.\We're not in middle school anymore.\If you render the grounds unusable...\I have to at least prevent Yuki Nagato and Mikuru Asahina-san from coming to any harm.\CHIEF\After the SOS Brigade was founded...\CHIEF response:	I mean. Is she planning on living here?
context: Don't overdo it.\We're not in middle school anymore.\If you render the grounds unusable...\I have to at least prevent Yuki Nagato and Mikuru Asahina-san from coming to any harm.\CHIEF\After the SOS Brigade was founded...\CHIEF\I mean. Is she planning on living here? response:	A computer would be nice, too.
context: We're not in middle school anymore.\If you render the grounds unusable...\I have to at least prevent Yuki Nagato and Mikuru Asahina-san from coming to any harm.\CHIEF\After the SOS Brigade was founded...\CHIEF\I mean. Is she planning on living here?\A computer would be nice, too. response:	We're living in the information age and yet we don't have a single computer...
context: If you render the grounds unusable...\I have to at least prevent Yuki Nagato and Mikuru Asahina-san from coming to any harm.\CHIEF\After the SOS Brigade was founded...\CHIEF\I mean. Is she planning on living here?\A computer would be nice, too.\We're living in the information age and yet we don't have a single computer... response:	I can't forgive them!
context: I have to at least prevent Yuki Nagato and Mikuru Asahina-san from coming to any harm.\CHIEF\After the SOS Brigade was founded...\CHIEF\I mean. Is she planning on living here?\A computer would be nice, too.\We're living in the information age and yet we don't have a single computer...\I can't forgive them! response:	Can't forgive who?
context: CHIEF\After the SOS Brigade was founded...\CHIEF\I mean. Is she planning on living here?\A computer would be nice, too.\We're living in the information age and yet we don't have a single computer...\I can't forgive them!\Can't forgive who? response:	Then.
context: After the SOS Brigade was founded...\CHIEF\I mean. Is she planning on living here?\A computer would be nice, too.\We're living in the information age and yet we don't have a single computer...\I can't forgive them!\Can't forgive who?\Then. response:	Let's go scrounge one up.
context: CHIEF\I mean. Is she planning on living here?\A computer would be nice, too.\We're living in the information age and yet we don't have a single computer...\I can't forgive them!\Can't forgive who?\Then.\Let's go scrounge one up. response:	Hey, now.
context: I mean. Is she planning on living here?\A computer would be nice, too.\We're living in the information age and yet we don't have a single computer...\I can't forgive them!\Can't forgive who?\Then.\Let's go scrounge one up.\Hey, now. response:	Do you actually have any leads?
context: A computer would be nice, too.\We're living in the information age and yet we don't have a single computer...\I can't forgive them!\Can't forgive who?\Then.\Let's go scrounge one up.\Hey, now.\Do you actually have any leads? response:	Are you planning on raiding an electronics store?
context: We're living in the information age and yet we don't have a single computer...\I can't forgive them!\Can't forgive who?\Then.\Let's go scrounge one up.\Hey, now.\Do you actually have any leads?\Are you planning on raiding an electronics store? response:	Of course not.
context: I can't forgive them!\Can't forgive who?\Then.\Let's go scrounge one up.\Hey, now.\Do you actually have any leads?\Are you planning on raiding an electronics store?\Of course not. response:	Computer Research Society
context: Can't forgive who?\Then.\Let's go scrounge one up.\Hey, now.\Do you actually have any leads?\Are you planning on raiding an electronics store?\Of course not.\Computer Research Society response:	There's one much closer.
context: Then.\Let's go scrounge one up.\Hey, now.\Do you actually have any leads?\Are you planning on raiding an electronics store?\Of course not.\Computer Research Society\There's one much closer. response:	Hello!
context: Let's go scrounge one up.\Hey, now.\Do you actually have any leads?\Are you planning on raiding an electronics store?\Of course not.\Computer Research Society\There's one much closer.\Hello! response:	We're here to take one set of computer and peripherals!
context: Hey, now.\Do you actually have any leads?\Are you planning on raiding an electronics store?\Of course not.\Computer Research Society\There's one much closer.\Hello!\We're here to take one set of computer and peripherals! response:	Who's the leader?
context: Do you actually have any leads?\Are you planning on raiding an electronics store?\Of course not.\Computer Research Society\There's one much closer.\Hello!\We're here to take one set of computer and peripherals!\Who's the leader? response:	Do you need something?
context: Are you planning on raiding an electronics store?\Of course not.\Computer Research Society\There's one much closer.\Hello!\We're here to take one set of computer and peripherals!\Who's the leader?\Do you need something? response:	There's only one reason I would come in person to the Computer Research Society.
context: Of course not.\Computer Research Society\There's one much closer.\Hello!\We're here to take one set of computer and peripherals!\Who's the leader?\Do you need something?\There's only one reason I would come in person to the Computer Research Society. response:	I only need one...
context: Computer Research Society\There's one much closer.\Hello!\We're here to take one set of computer and peripherals!\Who's the leader?\Do you need something?\There's only one reason I would come in person to the Computer Research Society.\I only need one... response:	What are you talking about?
context: There's one much closer.\Hello!\We're here to take one set of computer and peripherals!\Who's the leader?\Do you need something?\There's only one reason I would come in person to the Computer Research Society.\I only need one...\What are you talking about? response:	One can't hurt.
context: Hello!\We're here to take one set of computer and peripherals!\Who's the leader?\Do you need something?\There's only one reason I would come in person to the Computer Research Society.\I only need one...\What are you talking about?\One can't hurt. response:	You've got so many!
context: We're here to take one set of computer and peripherals!\Who's the leader?\Do you need something?\There's only one reason I would come in person to the Computer Research Society.\I only need one...\What are you talking about?\One can't hurt.\You've got so many! response:	Now look here.
context: Who's the leader?\Do you need something?\There's only one reason I would come in person to the Computer Research Society.\I only need one...\What are you talking about?\One can't hurt.\You've got so many!\Now look here. response:	Wait. Who are you people?
context: Do you need something?\There's only one reason I would come in person to the Computer Research Society.\I only need one...\What are you talking about?\One can't hurt.\You've got so many!\Now look here.\Wait. Who are you people? response:	The SOS Brigade Chief, Haruhi Suzumiya.
context: There's only one reason I would come in person to the Computer Research Society.\I only need one...\What are you talking about?\One can't hurt.\You've got so many!\Now look here.\Wait. Who are you people?\The SOS Brigade Chief, Haruhi Suzumiya. response:	These two are subordinates 1 and 2.
context: I only need one...\What are you talking about?\One can't hurt.\You've got so many!\Now look here.\Wait. Who are you people?\The SOS Brigade Chief, Haruhi Suzumiya.\These two are subordinates 1 and 2. response:	There you have it.
context: What are you talking about?\One can't hurt.\You've got so many!\Now look here.\Wait. Who are you people?\The SOS Brigade Chief, Haruhi Suzumiya.\These two are subordinates 1 and 2.\There you have it. response:	Stop your grumbling and hand one over.
context: One can't hurt.\You've got so many!\Now look here.\Wait. Who are you people?\The SOS Brigade Chief, Haruhi Suzumiya.\These two are subordinates 1 and 2.\There you have it.\Stop your grumbling and hand one over. response:	For what reason!?
context: You've got so many!\Now look here.\Wait. Who are you people?\The SOS Brigade Chief, Haruhi Suzumiya.\These two are subordinates 1 and 2.\There you have it.\Stop your grumbling and hand one over.\For what reason!? response:	There's no way I would ever do that!
context: Now look here.\Wait. Who are you people?\The SOS Brigade Chief, Haruhi Suzumiya.\These two are subordinates 1 and 2.\There you have it.\Stop your grumbling and hand one over.\For what reason!?\There's no way I would ever do that! response:	I see.
context: Wait. Who are you people?\The SOS Brigade Chief, Haruhi Suzumiya.\These two are subordinates 1 and 2.\There you have it.\Stop your grumbling and hand one over.\For what reason!?\There's no way I would ever do that!\I see. response:	Well, I have my own ideas about that.
context: The SOS Brigade Chief, Haruhi Suzumiya.\These two are subordinates 1 and 2.\There you have it.\Stop your grumbling and hand one over.\For what reason!?\There's no way I would ever do that!\I see.\Well, I have my own ideas about that. response:	What's this!?
context: These two are subordinates 1 and 2.\There you have it.\Stop your grumbling and hand one over.\For what reason!?\There's no way I would ever do that!\I see.\Well, I have my own ideas about that.\What's this!? response:	Wh-What are you trying to do!?
context: There you have it.\Stop your grumbling and hand one over.\For what reason!?\There's no way I would ever do that!\I see.\Well, I have my own ideas about that.\What's this!?\Wh-What are you trying to do!? response:	Okay!
context: Stop your grumbling and hand one over.\For what reason!?\There's no way I would ever do that!\I see.\Well, I have my own ideas about that.\What's this!?\Wh-What are you trying to do!?\Okay! response:	One more shot!
context: For what reason!?\There's no way I would ever do that!\I see.\Well, I have my own ideas about that.\What's this!?\Wh-What are you trying to do!?\Okay!\One more shot! response:	What are you doing!?
context: There's no way I would ever do that!\I see.\Well, I have my own ideas about that.\What's this!?\Wh-What are you trying to do!?\Okay!\One more shot!\What are you doing!? response:	Tsk. Tsk. Tsk.
context: I see.\Well, I have my own ideas about that.\What's this!?\Wh-What are you trying to do!?\Okay!\One more shot!\What are you doing!?\Tsk. Tsk. Tsk. response:	I've got pictures of your sexual harassment now.
context: Well, I have my own ideas about that.\What's this!?\Wh-What are you trying to do!?\Okay!\One more shot!\What are you doing!?\Tsk. Tsk. Tsk.\I've got pictures of your sexual harassment now. response:	If you don't want me to spread these pictures around school...
context: What's this!?\Wh-What are you trying to do!?\Okay!\One more shot!\What are you doing!?\Tsk. Tsk. Tsk.\I've got pictures of your sexual harassment now.\If you don't want me to spread these pictures around school... response:	That's ridiculous!
context: Wh-What are you trying to do!?\Okay!\One more shot!\What are you doing!?\Tsk. Tsk. Tsk.\I've got pictures of your sexual harassment now.\If you don't want me to spread these pictures around school...\That's ridiculous! response:	You forced me to do it!
context: Okay!\One more shot!\What are you doing!?\Tsk. Tsk. Tsk.\I've got pictures of your sexual harassment now.\If you don't want me to spread these pictures around school...\That's ridiculous!\You forced me to do it! response:	I'm innocent!
context: One more shot!\What are you doing!?\Tsk. Tsk. Tsk.\I've got pictures of your sexual harassment now.\If you don't want me to spread these pictures around school...\That's ridiculous!\You forced me to do it!\I'm innocent! response:	And how many people do you think will believe your words?
context: What are you doing!?\Tsk. Tsk. Tsk.\I've got pictures of your sexual harassment now.\If you don't want me to spread these pictures around school...\That's ridiculous!\You forced me to do it!\I'm innocent!\And how many people do you think will believe your words? response:	A-All the members here are witnesses!
context: Tsk. Tsk. Tsk.\I've got pictures of your sexual harassment now.\If you don't want me to spread these pictures around school...\That's ridiculous!\You forced me to do it!\I'm innocent!\And how many people do you think will believe your words?\A-All the members here are witnesses! response:	That's right!
context: I've got pictures of your sexual harassment now.\If you don't want me to spread these pictures around school...\That's ridiculous!\You forced me to do it!\I'm innocent!\And how many people do you think will believe your words?\A-All the members here are witnesses!\That's right! response:	It wasn't the prez's fault!
context: If you don't want me to spread these pictures around school...\That's ridiculous!\You forced me to do it!\I'm innocent!\And how many people do you think will believe your words?\A-All the members here are witnesses!\That's right!\It wasn't the prez's fault! response:	I'll say that the whole club was planning on ***-*** her!
context: That's ridiculous!\You forced me to do it!\I'm innocent!\And how many people do you think will believe your words?\A-All the members here are witnesses!\That's right!\It wasn't the prez's fault!\I'll say that the whole club was planning on ***-*** her! response:	That's taking it too far...
context: You forced me to do it!\I'm innocent!\And how many people do you think will believe your words?\A-All the members here are witnesses!\That's right!\It wasn't the prez's fault!\I'll say that the whole club was planning on ***-*** her!\That's taking it too far... response:	What will it be?
context: I'm innocent!\And how many people do you think will believe your words?\A-All the members here are witnesses!\That's right!\It wasn't the prez's fault!\I'll say that the whole club was planning on ***-*** her!\That's taking it too far...\What will it be? response:	Are you going to hand it over?
context: And how many people do you think will believe your words?\A-All the members here are witnesses!\That's right!\It wasn't the prez's fault!\I'll say that the whole club was planning on ***-*** her!\That's taking it too far...\What will it be?\Are you going to hand it over? response:	Or not?
context: A-All the members here are witnesses!\That's right!\It wasn't the prez's fault!\I'll say that the whole club was planning on ***-*** her!\That's taking it too far...\What will it be?\Are you going to hand it over?\Or not? response:	Su-Suzumiya-san...
context: That's right!\It wasn't the prez's fault!\I'll say that the whole club was planning on ***-*** her!\That's taking it too far...\What will it be?\Are you going to hand it over?\Or not?\Su-Suzumiya-san... response:	That's...
context: It wasn't the prez's fault!\I'll say that the whole club was planning on ***-*** her!\That's taking it too far...\What will it be?\Are you going to hand it over?\Or not?\Su-Suzumiya-san...\That's... response:	Take whichever one you want...
context: I'll say that the whole club was planning on ***-*** her!\That's taking it too far...\What will it be?\Are you going to hand it over?\Or not?\Su-Suzumiya-san...\That's...\Take whichever one you want... response:	Prez!
context: That's taking it too far...\What will it be?\Are you going to hand it over?\Or not?\Su-Suzumiya-san...\That's...\Take whichever one you want...\Prez! response:	Hang in there!
context: What will it be?\Are you going to hand it over?\Or not?\Su-Suzumiya-san...\That's...\Take whichever one you want...\Prez!\Hang in there! response:	Get a hold of yourself!
context: Are you going to hand it over?\Or not?\Su-Suzumiya-san...\That's...\Take whichever one you want...\Prez!\Hang in there!\Get a hold of yourself! response:	It wasn't your fault!
context: Or not?\Su-Suzumiya-san...\That's...\Take whichever one you want...\Prez!\Hang in there!\Get a hold of yourself!\It wasn't your fault! response:	Is this supposed to be a comedy?
context: Su-Suzumiya-san...\That's...\Take whichever one you want...\Prez!\Hang in there!\Get a hold of yourself!\It wasn't your fault!\Is this supposed to be a comedy? response:	But!
context: That's...\Take whichever one you want...\Prez!\Hang in there!\Get a hold of yourself!\It wasn't your fault!\Is this supposed to be a comedy?\But! response:	Which one's the newest?
context: Take whichever one you want...\Prez!\Hang in there!\Get a hold of yourself!\It wasn't your fault!\Is this supposed to be a comedy?\But!\Which one's the newest? response:	Why do I have to tell you that!?
context: Prez!\Hang in there!\Get a hold of yourself!\It wasn't your fault!\Is this supposed to be a comedy?\But!\Which one's the newest?\Why do I have to tell you that!? response:	Damn it.
context: Hang in there!\Get a hold of yourself!\It wasn't your fault!\Is this supposed to be a comedy?\But!\Which one's the newest?\Why do I have to tell you that!?\Damn it. response:	That one.
context: Get a hold of yourself!\It wasn't your fault!\Is this supposed to be a comedy?\But!\Which one's the newest?\Why do I have to tell you that!?\Damn it.\That one. response:	I looked over all the newest models at the computer shop yesterday.
context: It wasn't your fault!\Is this supposed to be a comedy?\But!\Which one's the newest?\Why do I have to tell you that!?\Damn it.\That one.\I looked over all the newest models at the computer shop yesterday. response:	This wasn't one of them.
context: Is this supposed to be a comedy?\But!\Which one's the newest?\Why do I have to tell you that!?\Damn it.\That one.\I looked over all the newest models at the computer shop yesterday.\This wasn't one of them. response:	W-Wait!
context: But!\Which one's the newest?\Why do I have to tell you that!?\Damn it.\That one.\I looked over all the newest models at the computer shop yesterday.\This wasn't one of them.\W-Wait! response:	Give me this one!
context: Which one's the newest?\Why do I have to tell you that!?\Damn it.\That one.\I looked over all the newest models at the computer shop yesterday.\This wasn't one of them.\W-Wait!\Give me this one! response:	H-Hold on!
context: Why do I have to tell you that!?\Damn it.\That one.\I looked over all the newest models at the computer shop yesterday.\This wasn't one of them.\W-Wait!\Give me this one!\H-Hold on! response:	We just bought that last month!
context: Damn it.\That one.\I looked over all the newest models at the computer shop yesterday.\This wasn't one of them.\W-Wait!\Give me this one!\H-Hold on!\We just bought that last month! response:	Take it, you thief.
context: That one.\I looked over all the newest models at the computer shop yesterday.\This wasn't one of them.\W-Wait!\Give me this one!\H-Hold on!\We just bought that last month!\Take it, you thief. response:	It's as you say.
context: I looked over all the newest models at the computer shop yesterday.\This wasn't one of them.\W-Wait!\Give me this one!\H-Hold on!\We just bought that last month!\Take it, you thief.\It's as you say. response:	We're thieves.
context: This wasn't one of them.\W-Wait!\Give me this one!\H-Hold on!\We just bought that last month!\Take it, you thief.\It's as you say.\We're thieves. response:	Come on, Kyon.
context: W-Wait!\Give me this one!\H-Hold on!\We just bought that last month!\Take it, you thief.\It's as you say.\We're thieves.\Come on, Kyon. response:	Carry this.
context: Give me this one!\H-Hold on!\We just bought that last month!\Take it, you thief.\It's as you say.\We're thieves.\Come on, Kyon.\Carry this. response:	And so, just like that...
context: H-Hold on!\We just bought that last month!\Take it, you thief.\It's as you say.\We're thieves.\Come on, Kyon.\Carry this.\And so, just like that... response:	She even had him set it up so we could connect through the school's domain.
context: We just bought that last month!\Take it, you thief.\It's as you say.\We're thieves.\Come on, Kyon.\Carry this.\And so, just like that...\She even had him set it up so we could connect through the school's domain. response:	This is what you call an extortionist.
context: Take it, you thief.\It's as you say.\We're thieves.\Come on, Kyon.\Carry this.\And so, just like that...\She even had him set it up so we could connect through the school's domain.\This is what you call an extortionist. response:	Let's go back for now.
context: It's as you say.\We're thieves.\Come on, Kyon.\Carry this.\And so, just like that...\She even had him set it up so we could connect through the school's domain.\This is what you call an extortionist.\Let's go back for now. response:	Asahina-san.
context: We're thieves.\Come on, Kyon.\Carry this.\And so, just like that...\She even had him set it up so we could connect through the school's domain.\This is what you call an extortionist.\Let's go back for now.\Asahina-san. response:	You shouldn't get involved with such a weird group.
context: Come on, Kyon.\Carry this.\And so, just like that...\She even had him set it up so we could connect through the school's domain.\This is what you call an extortionist.\Let's go back for now.\Asahina-san.\You shouldn't get involved with such a weird group. response:	Who knows what else she'll do to you.
context: Carry this.\And so, just like that...\She even had him set it up so we could connect through the school's domain.\This is what you call an extortionist.\Let's go back for now.\Asahina-san.\You shouldn't get involved with such a weird group.\Who knows what else she'll do to you. response:	No.
context: And so, just like that...\She even had him set it up so we could connect through the school's domain.\This is what you call an extortionist.\Let's go back for now.\Asahina-san.\You shouldn't get involved with such a weird group.\Who knows what else she'll do to you.\No. response:	It's okay.
context: She even had him set it up so we could connect through the school's domain.\This is what you call an extortionist.\Let's go back for now.\Asahina-san.\You shouldn't get involved with such a weird group.\Who knows what else she'll do to you.\No.\It's okay. response:	You're also here, aren't you?
context: This is what you call an extortionist.\Let's go back for now.\Asahina-san.\You shouldn't get involved with such a weird group.\Who knows what else she'll do to you.\No.\It's okay.\You're also here, aren't you? response:	This was probably an inevitability on this time plane.
