context: Well, you might think number three's the weirdest one. response:	Oh, enough already.
context: Yeah. It is sick.\No matter what happened...\I'll accept it.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: No matter what happened...\I'll accept it.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: I'll accept it.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 12 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 12 ... response:	It's already been three days since I last spoke to Yano.
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 12 ...\It's already been three days since I last spoke to Yano. response:	Yamamoto and I had sex.
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 12 ...\It's already been three days since I last spoke to Yano.\Yamamoto and I had sex. response:	I know Yano was hiding it because he was being kind, not because he was being fair.
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 12 ...\It's already been three days since I last spoke to Yano.\Yamamoto and I had sex.\I know Yano was hiding it because he was being kind, not because he was being fair. response:	But... she's Nana-san's little sister.
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 12 ...\It's already been three days since I last spoke to Yano.\Yamamoto and I had sex.\I know Yano was hiding it because he was being kind, not because he was being fair.\But... she's Nana-san's little sister. response:	Were you lonely?
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 12 ...\It's already been three days since I last spoke to Yano.\Yamamoto and I had sex.\I know Yano was hiding it because he was being kind, not because he was being fair.\But... she's Nana-san's little sister.\Were you lonely? response:	Or did you just see Nana-san in her?
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 12 ...\It's already been three days since I last spoke to Yano.\Yamamoto and I had sex.\I know Yano was hiding it because he was being kind, not because he was being fair.\But... she's Nana-san's little sister.\Were you lonely?\Or did you just see Nana-san in her? response:	Either way...
context: Episode 12 ...\It's already been three days since I last spoke to Yano.\Yamamoto and I had sex.\I know Yano was hiding it because he was being kind, not because he was being fair.\But... she's Nana-san's little sister.\Were you lonely?\Or did you just see Nana-san in her?\Either way... response:	Whoa, Yano couldn't make a single basket.
context: It's already been three days since I last spoke to Yano.\Yamamoto and I had sex.\I know Yano was hiding it because he was being kind, not because he was being fair.\But... she's Nana-san's little sister.\Were you lonely?\Or did you just see Nana-san in her?\Either way...\Whoa, Yano couldn't make a single basket. response:	No way, that's so unusual.
context: Yamamoto and I had sex.\I know Yano was hiding it because he was being kind, not because he was being fair.\But... she's Nana-san's little sister.\Were you lonely?\Or did you just see Nana-san in her?\Either way...\Whoa, Yano couldn't make a single basket.\No way, that's so unusual. response:	Oh, the boys are being tested right now.
context: I know Yano was hiding it because he was being kind, not because he was being fair.\But... she's Nana-san's little sister.\Were you lonely?\Or did you just see Nana-san in her?\Either way...\Whoa, Yano couldn't make a single basket.\No way, that's so unusual.\Oh, the boys are being tested right now. response:	Ah, goddamn it.
context: But... she's Nana-san's little sister.\Were you lonely?\Or did you just see Nana-san in her?\Either way...\Whoa, Yano couldn't make a single basket.\No way, that's so unusual.\Oh, the boys are being tested right now.\Ah, goddamn it. response:	My record of making all five shots since I was in 4th grade...
context: Were you lonely?\Or did you just see Nana-san in her?\Either way...\Whoa, Yano couldn't make a single basket.\No way, that's so unusual.\Oh, the boys are being tested right now.\Ah, goddamn it.\My record of making all five shots since I was in 4th grade... response:	It's easy to tell when you've got something on your mind.
context: Or did you just see Nana-san in her?\Either way...\Whoa, Yano couldn't make a single basket.\No way, that's so unusual.\Oh, the boys are being tested right now.\Ah, goddamn it.\My record of making all five shots since I was in 4th grade...\It's easy to tell when you've got something on your mind. response:	It's a good thing you're not going to be a pro athlete.
context: Either way...\Whoa, Yano couldn't make a single basket.\No way, that's so unusual.\Oh, the boys are being tested right now.\Ah, goddamn it.\My record of making all five shots since I was in 4th grade...\It's easy to tell when you've got something on your mind.\It's a good thing you're not going to be a pro athlete. response:	That's fine, since I'm going to become a romance novelist.
context: Whoa, Yano couldn't make a single basket.\No way, that's so unusual.\Oh, the boys are being tested right now.\Ah, goddamn it.\My record of making all five shots since I was in 4th grade...\It's easy to tell when you've got something on your mind.\It's a good thing you're not going to be a pro athlete.\That's fine, since I'm going to become a romance novelist. response:	Even with your B- essays?
context: No way, that's so unusual.\Oh, the boys are being tested right now.\Ah, goddamn it.\My record of making all five shots since I was in 4th grade...\It's easy to tell when you've got something on your mind.\It's a good thing you're not going to be a pro athlete.\That's fine, since I'm going to become a romance novelist.\Even with your B- essays? response:	That's out of the question.
context: Oh, the boys are being tested right now.\Ah, goddamn it.\My record of making all five shots since I was in 4th grade...\It's easy to tell when you've got something on your mind.\It's a good thing you're not going to be a pro athlete.\That's fine, since I'm going to become a romance novelist.\Even with your B- essays?\That's out of the question. response:	I'll use my own story as the plot. I'll have a ton of material.
context: Ah, goddamn it.\My record of making all five shots since I was in 4th grade...\It's easy to tell when you've got something on your mind.\It's a good thing you're not going to be a pro athlete.\That's fine, since I'm going to become a romance novelist.\Even with your B- essays?\That's out of the question.\I'll use my own story as the plot. I'll have a ton of material. response:	Am I a moron?
context: My record of making all five shots since I was in 4th grade...\It's easy to tell when you've got something on your mind.\It's a good thing you're not going to be a pro athlete.\That's fine, since I'm going to become a romance novelist.\Even with your B- essays?\That's out of the question.\I'll use my own story as the plot. I'll have a ton of material.\Am I a moron? response:	Maybe a little. You can be unexpectedly clumsy sometimes.
context: It's easy to tell when you've got something on your mind.\It's a good thing you're not going to be a pro athlete.\That's fine, since I'm going to become a romance novelist.\Even with your B- essays?\That's out of the question.\I'll use my own story as the plot. I'll have a ton of material.\Am I a moron?\Maybe a little. You can be unexpectedly clumsy sometimes. response:	But I guess that'd be a compliment for a guy, huh?
context: It's a good thing you're not going to be a pro athlete.\That's fine, since I'm going to become a romance novelist.\Even with your B- essays?\That's out of the question.\I'll use my own story as the plot. I'll have a ton of material.\Am I a moron?\Maybe a little. You can be unexpectedly clumsy sometimes.\But I guess that'd be a compliment for a guy, huh? response:	It sounds a hundred times better than saying you're graceful.
context: That's fine, since I'm going to become a romance novelist.\Even with your B- essays?\That's out of the question.\I'll use my own story as the plot. I'll have a ton of material.\Am I a moron?\Maybe a little. You can be unexpectedly clumsy sometimes.\But I guess that'd be a compliment for a guy, huh?\It sounds a hundred times better than saying you're graceful. response:	But I can't really approve of that.
context: Even with your B- essays?\That's out of the question.\I'll use my own story as the plot. I'll have a ton of material.\Am I a moron?\Maybe a little. You can be unexpectedly clumsy sometimes.\But I guess that'd be a compliment for a guy, huh?\It sounds a hundred times better than saying you're graceful.\But I can't really approve of that. response:	You're just a moron.
context: That's out of the question.\I'll use my own story as the plot. I'll have a ton of material.\Am I a moron?\Maybe a little. You can be unexpectedly clumsy sometimes.\But I guess that'd be a compliment for a guy, huh?\It sounds a hundred times better than saying you're graceful.\But I can't really approve of that.\You're just a moron. response:	No matter how much I call her cellphone, she won't pick up.
context: I'll use my own story as the plot. I'll have a ton of material.\Am I a moron?\Maybe a little. You can be unexpectedly clumsy sometimes.\But I guess that'd be a compliment for a guy, huh?\It sounds a hundred times better than saying you're graceful.\But I can't really approve of that.\You're just a moron.\No matter how much I call her cellphone, she won't pick up. response:	She won't even look at me.
context: Am I a moron?\Maybe a little. You can be unexpectedly clumsy sometimes.\But I guess that'd be a compliment for a guy, huh?\It sounds a hundred times better than saying you're graceful.\But I can't really approve of that.\You're just a moron.\No matter how much I call her cellphone, she won't pick up.\She won't even look at me. response:	Keep calling her.
context: Maybe a little. You can be unexpectedly clumsy sometimes.\But I guess that'd be a compliment for a guy, huh?\It sounds a hundred times better than saying you're graceful.\But I can't really approve of that.\You're just a moron.\No matter how much I call her cellphone, she won't pick up.\She won't even look at me.\Keep calling her. response:	I've already called her fifty times.
context: But I guess that'd be a compliment for a guy, huh?\It sounds a hundred times better than saying you're graceful.\But I can't really approve of that.\You're just a moron.\No matter how much I call her cellphone, she won't pick up.\She won't even look at me.\Keep calling her.\I've already called her fifty times. response:	Then call her a hundred times.
context: It sounds a hundred times better than saying you're graceful.\But I can't really approve of that.\You're just a moron.\No matter how much I call her cellphone, she won't pick up.\She won't even look at me.\Keep calling her.\I've already called her fifty times.\Then call her a hundred times. response:	I'll be right there!
context: But I can't really approve of that.\You're just a moron.\No matter how much I call her cellphone, she won't pick up.\She won't even look at me.\Keep calling her.\I've already called her fifty times.\Then call her a hundred times.\I'll be right there! response:	My.
context: You're just a moron.\No matter how much I call her cellphone, she won't pick up.\She won't even look at me.\Keep calling her.\I've already called her fifty times.\Then call her a hundred times.\I'll be right there!\My. response:	Oh, my. Oh, my.
context: No matter how much I call her cellphone, she won't pick up.\She won't even look at me.\Keep calling her.\I've already called her fifty times.\Then call her a hundred times.\I'll be right there!\My.\Oh, my. Oh, my. response:	Tell him I'm asleep!
context: She won't even look at me.\Keep calling her.\I've already called her fifty times.\Then call her a hundred times.\I'll be right there!\My.\Oh, my. Oh, my.\Tell him I'm asleep! response:	Even after he's come all the way out here?
context: Keep calling her.\I've already called her fifty times.\Then call her a hundred times.\I'll be right there!\My.\Oh, my. Oh, my.\Tell him I'm asleep!\Even after he's come all the way out here? response:	I don't care! I don't want to see him right now!
context: I've already called her fifty times.\Then call her a hundred times.\I'll be right there!\My.\Oh, my. Oh, my.\Tell him I'm asleep!\Even after he's come all the way out here?\I don't care! I don't want to see him right now! response:	I'm really sorry. Nanami's in the bath right now...
context: Then call her a hundred times.\I'll be right there!\My.\Oh, my. Oh, my.\Tell him I'm asleep!\Even after he's come all the way out here?\I don't care! I don't want to see him right now!\I'm really sorry. Nanami's in the bath right now... response:	Don't tell him I'm in the bath! Tell him I'm asleep!
context: I'll be right there!\My.\Oh, my. Oh, my.\Tell him I'm asleep!\Even after he's come all the way out here?\I don't care! I don't want to see him right now!\I'm really sorry. Nanami's in the bath right now...\Don't tell him I'm in the bath! Tell him I'm asleep! response:	If I spoke with him now, I'd only be able to say cruel things.
context: My.\Oh, my. Oh, my.\Tell him I'm asleep!\Even after he's come all the way out here?\I don't care! I don't want to see him right now!\I'm really sorry. Nanami's in the bath right now...\Don't tell him I'm in the bath! Tell him I'm asleep!\If I spoke with him now, I'd only be able to say cruel things. response:	I'll wait.
context: Oh, my. Oh, my.\Tell him I'm asleep!\Even after he's come all the way out here?\I don't care! I don't want to see him right now!\I'm really sorry. Nanami's in the bath right now...\Don't tell him I'm in the bath! Tell him I'm asleep!\If I spoke with him now, I'd only be able to say cruel things.\I'll wait. response:	Umm... I understand how you feel, but... I think it might be best to leave her alone right now.
context: Tell him I'm asleep!\Even after he's come all the way out here?\I don't care! I don't want to see him right now!\I'm really sorry. Nanami's in the bath right now...\Don't tell him I'm in the bath! Tell him I'm asleep!\If I spoke with him now, I'd only be able to say cruel things.\I'll wait.\Umm... I understand how you feel, but... I think it might be best to leave her alone right now. response:	Sometimes it's easier to talk about things after everyone's calmed down a little.
context: Even after he's come all the way out here?\I don't care! I don't want to see him right now!\I'm really sorry. Nanami's in the bath right now...\Don't tell him I'm in the bath! Tell him I'm asleep!\If I spoke with him now, I'd only be able to say cruel things.\I'll wait.\Umm... I understand how you feel, but... I think it might be best to leave her alone right now.\Sometimes it's easier to talk about things after everyone's calmed down a little. response:	By tomorrow, I'm sure Nanami will-
context: I don't care! I don't want to see him right now!\I'm really sorry. Nanami's in the bath right now...\Don't tell him I'm in the bath! Tell him I'm asleep!\If I spoke with him now, I'd only be able to say cruel things.\I'll wait.\Umm... I understand how you feel, but... I think it might be best to leave her alone right now.\Sometimes it's easier to talk about things after everyone's calmed down a little.\By tomorrow, I'm sure Nanami will- response:	Can you really guarantee that things will be better by tomorrow?
context: I'm really sorry. Nanami's in the bath right now...\Don't tell him I'm in the bath! Tell him I'm asleep!\If I spoke with him now, I'd only be able to say cruel things.\I'll wait.\Umm... I understand how you feel, but... I think it might be best to leave her alone right now.\Sometimes it's easier to talk about things after everyone's calmed down a little.\By tomorrow, I'm sure Nanami will-\Can you really guarantee that things will be better by tomorrow? response:	I understand.
context: Don't tell him I'm in the bath! Tell him I'm asleep!\If I spoke with him now, I'd only be able to say cruel things.\I'll wait.\Umm... I understand how you feel, but... I think it might be best to leave her alone right now.\Sometimes it's easier to talk about things after everyone's calmed down a little.\By tomorrow, I'm sure Nanami will-\Can you really guarantee that things will be better by tomorrow?\I understand. response:	Please give those to her.
context: If I spoke with him now, I'd only be able to say cruel things.\I'll wait.\Umm... I understand how you feel, but... I think it might be best to leave her alone right now.\Sometimes it's easier to talk about things after everyone's calmed down a little.\By tomorrow, I'm sure Nanami will-\Can you really guarantee that things will be better by tomorrow?\I understand.\Please give those to her. response:	Oh my, oh my!
context: I'll wait.\Umm... I understand how you feel, but... I think it might be best to leave her alone right now.\Sometimes it's easier to talk about things after everyone's calmed down a little.\By tomorrow, I'm sure Nanami will-\Can you really guarantee that things will be better by tomorrow?\I understand.\Please give those to her.\Oh my, oh my! response:	What beautiful flowers!
context: Umm... I understand how you feel, but... I think it might be best to leave her alone right now.\Sometimes it's easier to talk about things after everyone's calmed down a little.\By tomorrow, I'm sure Nanami will-\Can you really guarantee that things will be better by tomorrow?\I understand.\Please give those to her.\Oh my, oh my!\What beautiful flowers! response:	Please tell her I'll see you tomorrow at school for me.
context: Sometimes it's easier to talk about things after everyone's calmed down a little.\By tomorrow, I'm sure Nanami will-\Can you really guarantee that things will be better by tomorrow?\I understand.\Please give those to her.\Oh my, oh my!\What beautiful flowers!\Please tell her I'll see you tomorrow at school for me. response:	Be careful on your way home!
context: By tomorrow, I'm sure Nanami will-\Can you really guarantee that things will be better by tomorrow?\I understand.\Please give those to her.\Oh my, oh my!\What beautiful flowers!\Please tell her I'll see you tomorrow at school for me.\Be careful on your way home! response:	Aren't these flowers wonderful?
context: Can you really guarantee that things will be better by tomorrow?\I understand.\Please give those to her.\Oh my, oh my!\What beautiful flowers!\Please tell her I'll see you tomorrow at school for me.\Be careful on your way home!\Aren't these flowers wonderful? response:	Even after he came all this way to give you these...
context: I understand.\Please give those to her.\Oh my, oh my!\What beautiful flowers!\Please tell her I'll see you tomorrow at school for me.\Be careful on your way home!\Aren't these flowers wonderful?\Even after he came all this way to give you these... response:	I've raised an ogre as a daughter. Really.
context: Please give those to her.\Oh my, oh my!\What beautiful flowers!\Please tell her I'll see you tomorrow at school for me.\Be careful on your way home!\Aren't these flowers wonderful?\Even after he came all this way to give you these...\I've raised an ogre as a daughter. Really. response:	D-Does he really think flowers will make everything better?
context: Oh my, oh my!\What beautiful flowers!\Please tell her I'll see you tomorrow at school for me.\Be careful on your way home!\Aren't these flowers wonderful?\Even after he came all this way to give you these...\I've raised an ogre as a daughter. Really.\D-Does he really think flowers will make everything better? response:	Who would fall for something like that?
context: What beautiful flowers!\Please tell her I'll see you tomorrow at school for me.\Be careful on your way home!\Aren't these flowers wonderful?\Even after he came all this way to give you these...\I've raised an ogre as a daughter. Really.\D-Does he really think flowers will make everything better?\Who would fall for something like that? response:	Don't mess with me, you jerk!
context: Please tell her I'll see you tomorrow at school for me.\Be careful on your way home!\Aren't these flowers wonderful?\Even after he came all this way to give you these...\I've raised an ogre as a daughter. Really.\D-Does he really think flowers will make everything better?\Who would fall for something like that?\Don't mess with me, you jerk! response:	Sometimes you really don't deserve him.
context: Be careful on your way home!\Aren't these flowers wonderful?\Even after he came all this way to give you these...\I've raised an ogre as a daughter. Really.\D-Does he really think flowers will make everything better?\Who would fall for something like that?\Don't mess with me, you jerk!\Sometimes you really don't deserve him. response:	That man I don't deserve had sex with his ex-girlfriend's little sister.
context: Aren't these flowers wonderful?\Even after he came all this way to give you these...\I've raised an ogre as a daughter. Really.\D-Does he really think flowers will make everything better?\Who would fall for something like that?\Don't mess with me, you jerk!\Sometimes you really don't deserve him.\That man I don't deserve had sex with his ex-girlfriend's little sister. response:	But aren't the flowers splendid?
context: Even after he came all this way to give you these...\I've raised an ogre as a daughter. Really.\D-Does he really think flowers will make everything better?\Who would fall for something like that?\Don't mess with me, you jerk!\Sometimes you really don't deserve him.\That man I don't deserve had sex with his ex-girlfriend's little sister.\But aren't the flowers splendid? response:	I wonder if his mother went through a lot of effort getting them to grow this beautifully?
context: I've raised an ogre as a daughter. Really.\D-Does he really think flowers will make everything better?\Who would fall for something like that?\Don't mess with me, you jerk!\Sometimes you really don't deserve him.\That man I don't deserve had sex with his ex-girlfriend's little sister.\But aren't the flowers splendid?\I wonder if his mother went through a lot of effort getting them to grow this beautifully? response:	Look at all of these roses.
context: D-Does he really think flowers will make everything better?\Who would fall for something like that?\Don't mess with me, you jerk!\Sometimes you really don't deserve him.\That man I don't deserve had sex with his ex-girlfriend's little sister.\But aren't the flowers splendid?\I wonder if his mother went through a lot of effort getting them to grow this beautifully?\Look at all of these roses. response:	You moron.
context: Who would fall for something like that?\Don't mess with me, you jerk!\Sometimes you really don't deserve him.\That man I don't deserve had sex with his ex-girlfriend's little sister.\But aren't the flowers splendid?\I wonder if his mother went through a lot of effort getting them to grow this beautifully?\Look at all of these roses.\You moron. response:	You moron...
context: Don't mess with me, you jerk!\Sometimes you really don't deserve him.\That man I don't deserve had sex with his ex-girlfriend's little sister.\But aren't the flowers splendid?\I wonder if his mother went through a lot of effort getting them to grow this beautifully?\Look at all of these roses.\You moron.\You moron... response:	You big moron...
context: Sometimes you really don't deserve him.\That man I don't deserve had sex with his ex-girlfriend's little sister.\But aren't the flowers splendid?\I wonder if his mother went through a lot of effort getting them to grow this beautifully?\Look at all of these roses.\You moron.\You moron...\You big moron... response:	This is so dumb...
context: That man I don't deserve had sex with his ex-girlfriend's little sister.\But aren't the flowers splendid?\I wonder if his mother went through a lot of effort getting them to grow this beautifully?\Look at all of these roses.\You moron.\You moron...\You big moron...\This is so dumb... response:	They smell really good.
context: But aren't the flowers splendid?\I wonder if his mother went through a lot of effort getting them to grow this beautifully?\Look at all of these roses.\You moron.\You moron...\You big moron...\This is so dumb...\They smell really good. response:	I'm sure he picked them all from his garden in a rush and wrapped them in a newspaper without thinking...
context: I wonder if his mother went through a lot of effort getting them to grow this beautifully?\Look at all of these roses.\You moron.\You moron...\You big moron...\This is so dumb...\They smell really good.\I'm sure he picked them all from his garden in a rush and wrapped them in a newspaper without thinking... response:	I wonder if he really rode a bus carrying this huge bouquet with him...
context: Look at all of these roses.\You moron.\You moron...\You big moron...\This is so dumb...\They smell really good.\I'm sure he picked them all from his garden in a rush and wrapped them in a newspaper without thinking...\I wonder if he really rode a bus carrying this huge bouquet with him... response:	I wish I could rewrite my past.
context: You moron.\You moron...\You big moron...\This is so dumb...\They smell really good.\I'm sure he picked them all from his garden in a rush and wrapped them in a newspaper without thinking...\I wonder if he really rode a bus carrying this huge bouquet with him...\I wish I could rewrite my past. response:	If I could, I'd do all I could...
context: You moron...\You big moron...\This is so dumb...\They smell really good.\I'm sure he picked them all from his garden in a rush and wrapped them in a newspaper without thinking...\I wonder if he really rode a bus carrying this huge bouquet with him...\I wish I could rewrite my past.\If I could, I'd do all I could... response:	He's got me...
context: You big moron...\This is so dumb...\They smell really good.\I'm sure he picked them all from his garden in a rush and wrapped them in a newspaper without thinking...\I wonder if he really rode a bus carrying this huge bouquet with him...\I wish I could rewrite my past.\If I could, I'd do all I could...\He's got me... response:	I'm going out for a bit!
context: This is so dumb...\They smell really good.\I'm sure he picked them all from his garden in a rush and wrapped them in a newspaper without thinking...\I wonder if he really rode a bus carrying this huge bouquet with him...\I wish I could rewrite my past.\If I could, I'd do all I could...\He's got me...\I'm going out for a bit! response:	Where are you going at this time of night?
