context: This being the first civilian Antarctic expedition, response:	some are saying that this brings Antarctica closer to the average person.
context: This is the expedition ship from Japan, the Penguin Manju!\This is the ship we're going to take to Antarctica!\Now, let's head inside the ship!\Now... take it, Shirase-chan!\High School Girl Yuzuki Shiraishi Challenge For Antarctic\Right! I am High School Girl Antarctic Expedition Member,\K-Kobuchizawa Shirase!\F-From here, I'll b-be making some c-c-catchy, witty, sensational reports response:	as I l-lead you all around Antarctica!
context: This is the ship we're going to take to Antarctica!\Now, let's head inside the ship!\Now... take it, Shirase-chan!\High School Girl Yuzuki Shiraishi Challenge For Antarctic\Right! I am High School Girl Antarctic Expedition Member,\K-Kobuchizawa Shirase!\F-From here, I'll b-be making some c-c-catchy, witty, sensational reports\as I l-lead you all around Antarctica! response:	Miserable.
context: Now, let's head inside the ship!\Now... take it, Shirase-chan!\High School Girl Yuzuki Shiraishi Challenge For Antarctic\Right! I am High School Girl Antarctic Expedition Member,\K-Kobuchizawa Shirase!\F-From here, I'll b-be making some c-c-catchy, witty, sensational reports\as I l-lead you all around Antarctica!\Miserable. response:	I told you I didn't want this stupid thing!
context: Now... take it, Shirase-chan!\High School Girl Yuzuki Shiraishi Challenge For Antarctic\Right! I am High School Girl Antarctic Expedition Member,\K-Kobuchizawa Shirase!\F-From here, I'll b-be making some c-c-catchy, witty, sensational reports\as I l-lead you all around Antarctica!\Miserable.\I told you I didn't want this stupid thing! response:	Stupid thing?! I wrote you a script because you said you wanted one!
context: High School Girl Yuzuki Shiraishi Challenge For Antarctic\Right! I am High School Girl Antarctic Expedition Member,\K-Kobuchizawa Shirase!\F-From here, I'll b-be making some c-c-catchy, witty, sensational reports\as I l-lead you all around Antarctica!\Miserable.\I told you I didn't want this stupid thing!\Stupid thing?! I wrote you a script because you said you wanted one! response:	Even so...
context: Right! I am High School Girl Antarctic Expedition Member,\K-Kobuchizawa Shirase!\F-From here, I'll b-be making some c-c-catchy, witty, sensational reports\as I l-lead you all around Antarctica!\Miserable.\I told you I didn't want this stupid thing!\Stupid thing?! I wrote you a script because you said you wanted one!\Even so... response:	it sure is big.
context: K-Kobuchizawa Shirase!\F-From here, I'll b-be making some c-c-catchy, witty, sensational reports\as I l-lead you all around Antarctica!\Miserable.\I told you I didn't want this stupid thing!\Stupid thing?! I wrote you a script because you said you wanted one!\Even so...\it sure is big. response:	It seems to go without saying,
context: F-From here, I'll b-be making some c-c-catchy, witty, sensational reports\as I l-lead you all around Antarctica!\Miserable.\I told you I didn't want this stupid thing!\Stupid thing?! I wrote you a script because you said you wanted one!\Even so...\it sure is big.\It seems to go without saying, response:	but it did come all the way from over the ocean...
context: as I l-lead you all around Antarctica!\Miserable.\I told you I didn't want this stupid thing!\Stupid thing?! I wrote you a script because you said you wanted one!\Even so...\it sure is big.\It seems to go without saying,\but it did come all the way from over the ocean... response:	From Japan...
context: Miserable.\I told you I didn't want this stupid thing!\Stupid thing?! I wrote you a script because you said you wanted one!\Even so...\it sure is big.\It seems to go without saying,\but it did come all the way from over the ocean...\From Japan... response:	Congratulations on your long journey!
context: I told you I didn't want this stupid thing!\Stupid thing?! I wrote you a script because you said you wanted one!\Even so...\it sure is big.\It seems to go without saying,\but it did come all the way from over the ocean...\From Japan...\Congratulations on your long journey! response:	Come on up!
context: Stupid thing?! I wrote you a script because you said you wanted one!\Even so...\it sure is big.\It seems to go without saying,\but it did come all the way from over the ocean...\From Japan...\Congratulations on your long journey!\Come on up! response:	Kanae-san!
context: Even so...\it sure is big.\It seems to go without saying,\but it did come all the way from over the ocean...\From Japan...\Congratulations on your long journey!\Come on up!\Kanae-san! response:	You've finally reached the starting line.
context: it sure is big.\It seems to go without saying,\but it did come all the way from over the ocean...\From Japan...\Congratulations on your long journey!\Come on up!\Kanae-san!\You've finally reached the starting line. response:	A lot of the rooms look the same,
context: It seems to go without saying,\but it did come all the way from over the ocean...\From Japan...\Congratulations on your long journey!\Come on up!\Kanae-san!\You've finally reached the starting line.\A lot of the rooms look the same, response:	so make sure you remember your number.
context: but it did come all the way from over the ocean...\From Japan...\Congratulations on your long journey!\Come on up!\Kanae-san!\You've finally reached the starting line.\A lot of the rooms look the same,\so make sure you remember your number. response:	Passenger: Passenger: Passenger: Passenger: Miyake Tamaki Shiraishi Kobuchizawa Hinata Mari Yuzuki Shirase
context: From Japan...\Congratulations on your long journey!\Come on up!\Kanae-san!\You've finally reached the starting line.\A lot of the rooms look the same,\so make sure you remember your number.\Passenger: Passenger: Passenger: Passenger: Miyake Tamaki Shiraishi Kobuchizawa Hinata Mari Yuzuki Shirase response:	Kanae-san!
context: Congratulations on your long journey!\Come on up!\Kanae-san!\You've finally reached the starting line.\A lot of the rooms look the same,\so make sure you remember your number.\Passenger: Passenger: Passenger: Passenger: Miyake Tamaki Shiraishi Kobuchizawa Hinata Mari Yuzuki Shirase\Kanae-san! response:	The packages we just brought on...
context: Come on up!\Kanae-san!\You've finally reached the starting line.\A lot of the rooms look the same,\so make sure you remember your number.\Passenger: Passenger: Passenger: Passenger: Miyake Tamaki Shiraishi Kobuchizawa Hinata Mari Yuzuki Shirase\Kanae-san!\The packages we just brought on... response:	I'll be there in a minute. Just wait.
context: Kanae-san!\You've finally reached the starting line.\A lot of the rooms look the same,\so make sure you remember your number.\Passenger: Passenger: Passenger: Passenger: Miyake Tamaki Shiraishi Kobuchizawa Hinata Mari Yuzuki Shirase\Kanae-san!\The packages we just brought on...\I'll be there in a minute. Just wait. response:	A four-person room, huh?
context: You've finally reached the starting line.\A lot of the rooms look the same,\so make sure you remember your number.\Passenger: Passenger: Passenger: Passenger: Miyake Tamaki Shiraishi Kobuchizawa Hinata Mari Yuzuki Shirase\Kanae-san!\The packages we just brought on...\I'll be there in a minute. Just wait.\A four-person room, huh? response:	Sounds fun, right?
context: A lot of the rooms look the same,\so make sure you remember your number.\Passenger: Passenger: Passenger: Passenger: Miyake Tamaki Shiraishi Kobuchizawa Hinata Mari Yuzuki Shirase\Kanae-san!\The packages we just brought on...\I'll be there in a minute. Just wait.\A four-person room, huh?\Sounds fun, right? response:	There will be fights here.
context: so make sure you remember your number.\Passenger: Passenger: Passenger: Passenger: Miyake Tamaki Shiraishi Kobuchizawa Hinata Mari Yuzuki Shirase\Kanae-san!\The packages we just brought on...\I'll be there in a minute. Just wait.\A four-person room, huh?\Sounds fun, right?\There will be fights here. response:	Why?
context: Passenger: Passenger: Passenger: Passenger: Miyake Tamaki Shiraishi Kobuchizawa Hinata Mari Yuzuki Shirase\Kanae-san!\The packages we just brought on...\I'll be there in a minute. Just wait.\A four-person room, huh?\Sounds fun, right?\There will be fights here.\Why? response:	Let's try to be optimistic.
context: Kanae-san!\The packages we just brought on...\I'll be there in a minute. Just wait.\A four-person room, huh?\Sounds fun, right?\There will be fights here.\Why?\Let's try to be optimistic. response:	But it does seem likely.
context: The packages we just brought on...\I'll be there in a minute. Just wait.\A four-person room, huh?\Sounds fun, right?\There will be fights here.\Why?\Let's try to be optimistic.\But it does seem likely. response:	Seriously, why?
context: I'll be there in a minute. Just wait.\A four-person room, huh?\Sounds fun, right?\There will be fights here.\Why?\Let's try to be optimistic.\But it does seem likely.\Seriously, why? response:	You have desks and lockers, so figure out who'll go where.
context: A four-person room, huh?\Sounds fun, right?\There will be fights here.\Why?\Let's try to be optimistic.\But it does seem likely.\Seriously, why?\You have desks and lockers, so figure out who'll go where. response:	And those are the belongings you had sent from Tokyo.
context: Sounds fun, right?\There will be fights here.\Why?\Let's try to be optimistic.\But it does seem likely.\Seriously, why?\You have desks and lockers, so figure out who'll go where.\And those are the belongings you had sent from Tokyo. response:	Don't open them all.
context: There will be fights here.\Why?\Let's try to be optimistic.\But it does seem likely.\Seriously, why?\You have desks and lockers, so figure out who'll go where.\And those are the belongings you had sent from Tokyo.\Don't open them all. response:	We'll be carrying them to the station after we arrive.
context: Why?\Let's try to be optimistic.\But it does seem likely.\Seriously, why?\You have desks and lockers, so figure out who'll go where.\And those are the belongings you had sent from Tokyo.\Don't open them all.\We'll be carrying them to the station after we arrive. response:	I see!
context: Let's try to be optimistic.\But it does seem likely.\Seriously, why?\You have desks and lockers, so figure out who'll go where.\And those are the belongings you had sent from Tokyo.\Don't open them all.\We'll be carrying them to the station after we arrive.\I see! response:	Huh?
context: But it does seem likely.\Seriously, why?\You have desks and lockers, so figure out who'll go where.\And those are the belongings you had sent from Tokyo.\Don't open them all.\We'll be carrying them to the station after we arrive.\I see!\Huh? response:	They're locked.
context: Seriously, why?\You have desks and lockers, so figure out who'll go where.\And those are the belongings you had sent from Tokyo.\Don't open them all.\We'll be carrying them to the station after we arrive.\I see!\Huh?\They're locked. response:	So they don't open by themselves when the boat sways...
context: You have desks and lockers, so figure out who'll go where.\And those are the belongings you had sent from Tokyo.\Don't open them all.\We'll be carrying them to the station after we arrive.\I see!\Huh?\They're locked.\So they don't open by themselves when the boat sways... response:	Vice commander!
context: And those are the belongings you had sent from Tokyo.\Don't open them all.\We'll be carrying them to the station after we arrive.\I see!\Huh?\They're locked.\So they don't open by themselves when the boat sways...\Vice commander! response:	Kanae-san!
context: Don't open them all.\We'll be carrying them to the station after we arrive.\I see!\Huh?\They're locked.\So they don't open by themselves when the boat sways...\Vice commander!\Kanae-san! response:	Yes, I'm coming!
context: We'll be carrying them to the station after we arrive.\I see!\Huh?\They're locked.\So they don't open by themselves when the boat sways...\Vice commander!\Kanae-san!\Yes, I'm coming! response:	But what should we do?
context: I see!\Huh?\They're locked.\So they don't open by themselves when the boat sways...\Vice commander!\Kanae-san!\Yes, I'm coming!\But what should we do? response:	Oh, there's also a rule: Don't step on the silver part here.
context: Huh?\They're locked.\So they don't open by themselves when the boat sways...\Vice commander!\Kanae-san!\Yes, I'm coming!\But what should we do?\Oh, there's also a rule: Don't step on the silver part here. response:	Just to warn you,
context: They're locked.\So they don't open by themselves when the boat sways...\Vice commander!\Kanae-san!\Yes, I'm coming!\But what should we do?\Oh, there's also a rule: Don't step on the silver part here.\Just to warn you, response:	we're going to treat you like adults from now on, okay?
context: So they don't open by themselves when the boat sways...\Vice commander!\Kanae-san!\Yes, I'm coming!\But what should we do?\Oh, there's also a rule: Don't step on the silver part here.\Just to warn you,\we're going to treat you like adults from now on, okay? response:	Figure things out for yourselves!
context: Vice commander!\Kanae-san!\Yes, I'm coming!\But what should we do?\Oh, there's also a rule: Don't step on the silver part here.\Just to warn you,\we're going to treat you like adults from now on, okay?\Figure things out for yourselves! response:	You know, if they see you like that, they're gonna kick you off.
context: Kanae-san!\Yes, I'm coming!\But what should we do?\Oh, there's also a rule: Don't step on the silver part here.\Just to warn you,\we're going to treat you like adults from now on, okay?\Figure things out for yourselves!\You know, if they see you like that, they're gonna kick you off. response:	It's going to sway a lot when the boat starts moving, I bet.
context: Yes, I'm coming!\But what should we do?\Oh, there's also a rule: Don't step on the silver part here.\Just to warn you,\we're going to treat you like adults from now on, okay?\Figure things out for yourselves!\You know, if they see you like that, they're gonna kick you off.\It's going to sway a lot when the boat starts moving, I bet. response:	Maybe we should do the boat report now, while we still can.
context: But what should we do?\Oh, there's also a rule: Don't step on the silver part here.\Just to warn you,\we're going to treat you like adults from now on, okay?\Figure things out for yourselves!\You know, if they see you like that, they're gonna kick you off.\It's going to sway a lot when the boat starts moving, I bet.\Maybe we should do the boat report now, while we still can. response:	Yeah!
context: Oh, there's also a rule: Don't step on the silver part here.\Just to warn you,\we're going to treat you like adults from now on, okay?\Figure things out for yourselves!\You know, if they see you like that, they're gonna kick you off.\It's going to sway a lot when the boat starts moving, I bet.\Maybe we should do the boat report now, while we still can.\Yeah! response:	Which way did we come from again?
context: Just to warn you,\we're going to treat you like adults from now on, okay?\Figure things out for yourselves!\You know, if they see you like that, they're gonna kick you off.\It's going to sway a lot when the boat starts moving, I bet.\Maybe we should do the boat report now, while we still can.\Yeah!\Which way did we come from again? response:	There was a map in the brochure, right?
context: we're going to treat you like adults from now on, okay?\Figure things out for yourselves!\You know, if they see you like that, they're gonna kick you off.\It's going to sway a lot when the boat starts moving, I bet.\Maybe we should do the boat report now, while we still can.\Yeah!\Which way did we come from again?\There was a map in the brochure, right? response:	Yeah...
context: Figure things out for yourselves!\You know, if they see you like that, they're gonna kick you off.\It's going to sway a lot when the boat starts moving, I bet.\Maybe we should do the boat report now, while we still can.\Yeah!\Which way did we come from again?\There was a map in the brochure, right?\Yeah... response:	And so we open this, and...
context: You know, if they see you like that, they're gonna kick you off.\It's going to sway a lot when the boat starts moving, I bet.\Maybe we should do the boat report now, while we still can.\Yeah!\Which way did we come from again?\There was a map in the brochure, right?\Yeah...\And so we open this, and... response:	We're outside!
context: It's going to sway a lot when the boat starts moving, I bet.\Maybe we should do the boat report now, while we still can.\Yeah!\Which way did we come from again?\There was a map in the brochure, right?\Yeah...\And so we open this, and...\We're outside! response:	We are up quite high...
context: Maybe we should do the boat report now, while we still can.\Yeah!\Which way did we come from again?\There was a map in the brochure, right?\Yeah...\And so we open this, and...\We're outside!\We are up quite high... response:	Oh? Yuzuki-chan, are you acrophobic?
context: Yeah!\Which way did we come from again?\There was a map in the brochure, right?\Yeah...\And so we open this, and...\We're outside!\We are up quite high...\Oh? Yuzuki-chan, are you acrophobic? response:	For real?
context: Which way did we come from again?\There was a map in the brochure, right?\Yeah...\And so we open this, and...\We're outside!\We are up quite high...\Oh? Yuzuki-chan, are you acrophobic?\For real? response:	Why does that make you so happy?
context: There was a map in the brochure, right?\Yeah...\And so we open this, and...\We're outside!\We are up quite high...\Oh? Yuzuki-chan, are you acrophobic?\For real?\Why does that make you so happy? response:	Okay, let's go up!
context: Yeah...\And so we open this, and...\We're outside!\We are up quite high...\Oh? Yuzuki-chan, are you acrophobic?\For real?\Why does that make you so happy?\Okay, let's go up! response:	Let's go over there!
context: And so we open this, and...\We're outside!\We are up quite high...\Oh? Yuzuki-chan, are you acrophobic?\For real?\Why does that make you so happy?\Okay, let's go up!\Let's go over there! response:	I would like to die.
context: We're outside!\We are up quite high...\Oh? Yuzuki-chan, are you acrophobic?\For real?\Why does that make you so happy?\Okay, let's go up!\Let's go over there!\I would like to die. response:	Let's go this way. This way.
context: We are up quite high...\Oh? Yuzuki-chan, are you acrophobic?\For real?\Why does that make you so happy?\Okay, let's go up!\Let's go over there!\I would like to die.\Let's go this way. This way. response:	It's the snow cat!
context: Oh? Yuzuki-chan, are you acrophobic?\For real?\Why does that make you so happy?\Okay, let's go up!\Let's go over there!\I would like to die.\Let's go this way. This way.\It's the snow cat! response:	Yeah! So they store it in there, huh?
context: For real?\Why does that make you so happy?\Okay, let's go up!\Let's go over there!\I would like to die.\Let's go this way. This way.\It's the snow cat!\Yeah! So they store it in there, huh? response:	Okay, we definitely gotta cover this!
context: Why does that make you so happy?\Okay, let's go up!\Let's go over there!\I would like to die.\Let's go this way. This way.\It's the snow cat!\Yeah! So they store it in there, huh?\Okay, we definitely gotta cover this! response:	Shirase!
context: Okay, let's go up!\Let's go over there!\I would like to die.\Let's go this way. This way.\It's the snow cat!\Yeah! So they store it in there, huh?\Okay, we definitely gotta cover this!\Shirase! response:	Is there a script?
context: Let's go over there!\I would like to die.\Let's go this way. This way.\It's the snow cat!\Yeah! So they store it in there, huh?\Okay, we definitely gotta cover this!\Shirase!\Is there a script? response:	Ad-libbing is a reporter's responsibility.
context: I would like to die.\Let's go this way. This way.\It's the snow cat!\Yeah! So they store it in there, huh?\Okay, we definitely gotta cover this!\Shirase!\Is there a script?\Ad-libbing is a reporter's responsibility. response:	Filming now!
context: Let's go this way. This way.\It's the snow cat!\Yeah! So they store it in there, huh?\Okay, we definitely gotta cover this!\Shirase!\Is there a script?\Ad-libbing is a reporter's responsibility.\Filming now! response:	Wait!
context: It's the snow cat!\Yeah! So they store it in there, huh?\Okay, we definitely gotta cover this!\Shirase!\Is there a script?\Ad-libbing is a reporter's responsibility.\Filming now!\Wait! response:	It's so old. Is it really going to move?
context: Yeah! So they store it in there, huh?\Okay, we definitely gotta cover this!\Shirase!\Is there a script?\Ad-libbing is a reporter's responsibility.\Filming now!\Wait!\It's so old. Is it really going to move? response:	They said it would be fine...
context: Okay, we definitely gotta cover this!\Shirase!\Is there a script?\Ad-libbing is a reporter's responsibility.\Filming now!\Wait!\It's so old. Is it really going to move?\They said it would be fine... response:	I have a feeling we don't have enough people down below, either.
context: Shirase!\Is there a script?\Ad-libbing is a reporter's responsibility.\Filming now!\Wait!\It's so old. Is it really going to move?\They said it would be fine...\I have a feeling we don't have enough people down below, either. response:	Do your best!!
context: Is there a script?\Ad-libbing is a reporter's responsibility.\Filming now!\Wait!\It's so old. Is it really going to move?\They said it would be fine...\I have a feeling we don't have enough people down below, either.\Do your best!! response:	Civilian Antarctic Expedition Members!!
context: Ad-libbing is a reporter's responsibility.\Filming now!\Wait!\It's so old. Is it really going to move?\They said it would be fine...\I have a feeling we don't have enough people down below, either.\Do your best!!\Civilian Antarctic Expedition Members!! response:	Maybe we should go help them later.
context: Filming now!\Wait!\It's so old. Is it really going to move?\They said it would be fine...\I have a feeling we don't have enough people down below, either.\Do your best!!\Civilian Antarctic Expedition Members!!\Maybe we should go help them later. response:	Yeah.
context: Wait!\It's so old. Is it really going to move?\They said it would be fine...\I have a feeling we don't have enough people down below, either.\Do your best!!\Civilian Antarctic Expedition Members!!\Maybe we should go help them later.\Yeah. response:	No rest for the wicked...
context: It's so old. Is it really going to move?\They said it would be fine...\I have a feeling we don't have enough people down below, either.\Do your best!!\Civilian Antarctic Expedition Members!!\Maybe we should go help them later.\Yeah.\No rest for the wicked... response:	Um...
context: They said it would be fine...\I have a feeling we don't have enough people down below, either.\Do your best!!\Civilian Antarctic Expedition Members!!\Maybe we should go help them later.\Yeah.\No rest for the wicked...\Um... response:	W-We're on the expedition ship.
context: I have a feeling we don't have enough people down below, either.\Do your best!!\Civilian Antarctic Expedition Members!!\Maybe we should go help them later.\Yeah.\No rest for the wicked...\Um...\W-We're on the expedition ship. response:	And... there's a snow cat over there!
context: Do your best!!\Civilian Antarctic Expedition Members!!\Maybe we should go help them later.\Yeah.\No rest for the wicked...\Um...\W-We're on the expedition ship.\And... there's a snow cat over there! response:	This is the ship's bridge.
context: Civilian Antarctic Expedition Members!!\Maybe we should go help them later.\Yeah.\No rest for the wicked...\Um...\W-We're on the expedition ship.\And... there's a snow cat over there!\This is the ship's bridge. response:	We haven't left yet, so they let us stop by to visit!
context: Maybe we should go help them later.\Yeah.\No rest for the wicked...\Um...\W-We're on the expedition ship.\And... there's a snow cat over there!\This is the ship's bridge.\We haven't left yet, so they let us stop by to visit! response:	This is the ship's captain, Mukai-san!
context: Yeah.\No rest for the wicked...\Um...\W-We're on the expedition ship.\And... there's a snow cat over there!\This is the ship's bridge.\We haven't left yet, so they let us stop by to visit!\This is the ship's captain, Mukai-san! response:	And the expedition's commander, Todo-san!
context: No rest for the wicked...\Um...\W-We're on the expedition ship.\And... there's a snow cat over there!\This is the ship's bridge.\We haven't left yet, so they let us stop by to visit!\This is the ship's captain, Mukai-san!\And the expedition's commander, Todo-san! response:	Worthless
context: Um...\W-We're on the expedition ship.\And... there's a snow cat over there!\This is the ship's bridge.\We haven't left yet, so they let us stop by to visit!\This is the ship's captain, Mukai-san!\And the expedition's commander, Todo-san!\Worthless response:	This is the first civilian expedition in three years.
context: W-We're on the expedition ship.\And... there's a snow cat over there!\This is the ship's bridge.\We haven't left yet, so they let us stop by to visit!\This is the ship's captain, Mukai-san!\And the expedition's commander, Todo-san!\Worthless\This is the first civilian expedition in three years. response:	Could you tell us what your goal is this time?
context: And... there's a snow cat over there!\This is the ship's bridge.\We haven't left yet, so they let us stop by to visit!\This is the ship's captain, Mukai-san!\And the expedition's commander, Todo-san!\Worthless\This is the first civilian expedition in three years.\Could you tell us what your goal is this time? response:	We have several.
context: This is the ship's bridge.\We haven't left yet, so they let us stop by to visit!\This is the ship's captain, Mukai-san!\And the expedition's commander, Todo-san!\Worthless\This is the first civilian expedition in three years.\Could you tell us what your goal is this time?\We have several. response:	Syowa Station has been unmanned since the winter team pulled out,
context: We haven't left yet, so they let us stop by to visit!\This is the ship's captain, Mukai-san!\And the expedition's commander, Todo-san!\Worthless\This is the first civilian expedition in three years.\Could you tell us what your goal is this time?\We have several.\Syowa Station has been unmanned since the winter team pulled out, response:	so restoring it to normal functionality is our primary motivation.
context: This is the ship's captain, Mukai-san!\And the expedition's commander, Todo-san!\Worthless\This is the first civilian expedition in three years.\Could you tell us what your goal is this time?\We have several.\Syowa Station has been unmanned since the winter team pulled out,\so restoring it to normal functionality is our primary motivation. response:	Ow.
context: And the expedition's commander, Todo-san!\Worthless\This is the first civilian expedition in three years.\Could you tell us what your goal is this time?\We have several.\Syowa Station has been unmanned since the winter team pulled out,\so restoring it to normal functionality is our primary motivation.\Ow. response:	Thank you very much!
