context: Here I am again. response:	Really? Are you sure?
context: Why? Let's stay here together!\Why? Why, why, why?\Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying. response:	Momo.
context: Why? Why, why, why?\Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo. response:	Then you have something to tell Rei.
context: Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei. response:	Tell him what?
context: I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei.\Tell him what? response:	Um, Rei says he has a test.
context: So I have to go home and study.\Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test. response:	Right. So what do you say at a time like this?
context: Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this? response:	You say, Do your best.
context: Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best. response:	Rei, do your best!
context: It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best! response:	I will.
context: Momo.\Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best!\I will. response:	I'll do my best.
context: Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best!\I will.\I'll do my best. response:	Black River (Part 2)
context: Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best!\I will.\I'll do my best.\Black River (Part 2) response:	All right...
context: Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best!\I will.\I'll do my best.\Black River (Part 2)\All right... response:	After that, I spotted Kiriyama just once at the Shogi Hall.
context: Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best!\I will.\I'll do my best.\Black River (Part 2)\All right...\After that, I spotted Kiriyama just once at the Shogi Hall. response:	He was looking at shogi game records and making copies of them.
context: You say, Do your best.\Rei, do your best!\I will.\I'll do my best.\Black River (Part 2)\All right...\After that, I spotted Kiriyama just once at the Shogi Hall.\He was looking at shogi game records and making copies of them. response:	I was going to talk to him, but...
context: Rei, do your best!\I will.\I'll do my best.\Black River (Part 2)\All right...\After that, I spotted Kiriyama just once at the Shogi Hall.\He was looking at shogi game records and making copies of them.\I was going to talk to him, but... response:	I saw that stern look on his face, and stopped.
context: I will.\I'll do my best.\Black River (Part 2)\All right...\After that, I spotted Kiriyama just once at the Shogi Hall.\He was looking at shogi game records and making copies of them.\I was going to talk to him, but...\I saw that stern look on his face, and stopped. response:	Kiriyama had been gathering the game records for Shimada 8th-Dan, and Gotou 9th-Dan.
context: I'll do my best.\Black River (Part 2)\All right...\After that, I spotted Kiriyama just once at the Shogi Hall.\He was looking at shogi game records and making copies of them.\I was going to talk to him, but...\I saw that stern look on his face, and stopped.\Kiriyama had been gathering the game records for Shimada 8th-Dan, and Gotou 9th-Dan. response:	Just those two.
context: Black River (Part 2)\All right...\After that, I spotted Kiriyama just once at the Shogi Hall.\He was looking at shogi game records and making copies of them.\I was going to talk to him, but...\I saw that stern look on his face, and stopped.\Kiriyama had been gathering the game records for Shimada 8th-Dan, and Gotou 9th-Dan.\Just those two. response:	Sheesh. The little punk.
context: All right...\After that, I spotted Kiriyama just once at the Shogi Hall.\He was looking at shogi game records and making copies of them.\I was going to talk to him, but...\I saw that stern look on his face, and stopped.\Kiriyama had been gathering the game records for Shimada 8th-Dan, and Gotou 9th-Dan.\Just those two.\Sheesh. The little punk. response:	Man, that pisses me off. What a jerk.
context: After that, I spotted Kiriyama just once at the Shogi Hall.\He was looking at shogi game records and making copies of them.\I was going to talk to him, but...\I saw that stern look on his face, and stopped.\Kiriyama had been gathering the game records for Shimada 8th-Dan, and Gotou 9th-Dan.\Just those two.\Sheesh. The little punk.\Man, that pisses me off. What a jerk. response:	He's totally ignoring the possibility that I could win?
context: He was looking at shogi game records and making copies of them.\I was going to talk to him, but...\I saw that stern look on his face, and stopped.\Kiriyama had been gathering the game records for Shimada 8th-Dan, and Gotou 9th-Dan.\Just those two.\Sheesh. The little punk.\Man, that pisses me off. What a jerk.\He's totally ignoring the possibility that I could win? response:	And he expects to crush Mr. Shimada, then move right on to Gotou?
context: I was going to talk to him, but...\I saw that stern look on his face, and stopped.\Kiriyama had been gathering the game records for Shimada 8th-Dan, and Gotou 9th-Dan.\Just those two.\Sheesh. The little punk.\Man, that pisses me off. What a jerk.\He's totally ignoring the possibility that I could win?\And he expects to crush Mr. Shimada, then move right on to Gotou? response:	Who does he think he is?
context: I saw that stern look on his face, and stopped.\Kiriyama had been gathering the game records for Shimada 8th-Dan, and Gotou 9th-Dan.\Just those two.\Sheesh. The little punk.\Man, that pisses me off. What a jerk.\He's totally ignoring the possibility that I could win?\And he expects to crush Mr. Shimada, then move right on to Gotou?\Who does he think he is? response:	I don't have it. A vision of me beating Gotou and then facing off against Mr. Shimada.
context: Kiriyama had been gathering the game records for Shimada 8th-Dan, and Gotou 9th-Dan.\Just those two.\Sheesh. The little punk.\Man, that pisses me off. What a jerk.\He's totally ignoring the possibility that I could win?\And he expects to crush Mr. Shimada, then move right on to Gotou?\Who does he think he is?\I don't have it. A vision of me beating Gotou and then facing off against Mr. Shimada. response:	But I understand.
context: Just those two.\Sheesh. The little punk.\Man, that pisses me off. What a jerk.\He's totally ignoring the possibility that I could win?\And he expects to crush Mr. Shimada, then move right on to Gotou?\Who does he think he is?\I don't have it. A vision of me beating Gotou and then facing off against Mr. Shimada.\But I understand. response:	That's right.
context: Sheesh. The little punk.\Man, that pisses me off. What a jerk.\He's totally ignoring the possibility that I could win?\And he expects to crush Mr. Shimada, then move right on to Gotou?\Who does he think he is?\I don't have it. A vision of me beating Gotou and then facing off against Mr. Shimada.\But I understand.\That's right. response:	That's what the problem is.
context: Man, that pisses me off. What a jerk.\He's totally ignoring the possibility that I could win?\And he expects to crush Mr. Shimada, then move right on to Gotou?\Who does he think he is?\I don't have it. A vision of me beating Gotou and then facing off against Mr. Shimada.\But I understand.\That's right.\That's what the problem is. response:	The vision Kiriyama sees isn't just a selfish figment of his imagination.
context: He's totally ignoring the possibility that I could win?\And he expects to crush Mr. Shimada, then move right on to Gotou?\Who does he think he is?\I don't have it. A vision of me beating Gotou and then facing off against Mr. Shimada.\But I understand.\That's right.\That's what the problem is.\The vision Kiriyama sees isn't just a selfish figment of his imagination. response:	We're professionals.
context: And he expects to crush Mr. Shimada, then move right on to Gotou?\Who does he think he is?\I don't have it. A vision of me beating Gotou and then facing off against Mr. Shimada.\But I understand.\That's right.\That's what the problem is.\The vision Kiriyama sees isn't just a selfish figment of his imagination.\We're professionals. response:	Whether I accept it or look away,
context: Who does he think he is?\I don't have it. A vision of me beating Gotou and then facing off against Mr. Shimada.\But I understand.\That's right.\That's what the problem is.\The vision Kiriyama sees isn't just a selfish figment of his imagination.\We're professionals.\Whether I accept it or look away, response:	deep down I measure my own ability with cruel precision.
context: I don't have it. A vision of me beating Gotou and then facing off against Mr. Shimada.\But I understand.\That's right.\That's what the problem is.\The vision Kiriyama sees isn't just a selfish figment of his imagination.\We're professionals.\Whether I accept it or look away,\deep down I measure my own ability with cruel precision. response:	Measuring that is what it means to be a professional.
context: But I understand.\That's right.\That's what the problem is.\The vision Kiriyama sees isn't just a selfish figment of his imagination.\We're professionals.\Whether I accept it or look away,\deep down I measure my own ability with cruel precision.\Measuring that is what it means to be a professional. response:	There are some people who think, I may win
context: That's right.\That's what the problem is.\The vision Kiriyama sees isn't just a selfish figment of his imagination.\We're professionals.\Whether I accept it or look away,\deep down I measure my own ability with cruel precision.\Measuring that is what it means to be a professional.\There are some people who think, I may win response:	and there is a possibility that they will win.
context: That's what the problem is.\The vision Kiriyama sees isn't just a selfish figment of his imagination.\We're professionals.\Whether I accept it or look away,\deep down I measure my own ability with cruel precision.\Measuring that is what it means to be a professional.\There are some people who think, I may win\and there is a possibility that they will win. response:	I don't have it.
context: The vision Kiriyama sees isn't just a selfish figment of his imagination.\We're professionals.\Whether I accept it or look away,\deep down I measure my own ability with cruel precision.\Measuring that is what it means to be a professional.\There are some people who think, I may win\and there is a possibility that they will win.\I don't have it. response:	A vision of me beating Gotou and then facing off against Mr. Shimada.
context: We're professionals.\Whether I accept it or look away,\deep down I measure my own ability with cruel precision.\Measuring that is what it means to be a professional.\There are some people who think, I may win\and there is a possibility that they will win.\I don't have it.\A vision of me beating Gotou and then facing off against Mr. Shimada. response:	And that's how it is.
context: Whether I accept it or look away,\deep down I measure my own ability with cruel precision.\Measuring that is what it means to be a professional.\There are some people who think, I may win\and there is a possibility that they will win.\I don't have it.\A vision of me beating Gotou and then facing off against Mr. Shimada.\And that's how it is. response:	But going from there, trudging on and sidling up to victory
context: deep down I measure my own ability with cruel precision.\Measuring that is what it means to be a professional.\There are some people who think, I may win\and there is a possibility that they will win.\I don't have it.\A vision of me beating Gotou and then facing off against Mr. Shimada.\And that's how it is.\But going from there, trudging on and sidling up to victory response:	is also part of a professional's job.
context: Measuring that is what it means to be a professional.\There are some people who think, I may win\and there is a possibility that they will win.\I don't have it.\A vision of me beating Gotou and then facing off against Mr. Shimada.\And that's how it is.\But going from there, trudging on and sidling up to victory\is also part of a professional's job. response:	Gotou often uses the forms of Static Rook and Bear in the Castle.
context: There are some people who think, I may win\and there is a possibility that they will win.\I don't have it.\A vision of me beating Gotou and then facing off against Mr. Shimada.\And that's how it is.\But going from there, trudging on and sidling up to victory\is also part of a professional's job.\Gotou often uses the forms of Static Rook and Bear in the Castle. response:	In response, I'll use the Windmill.
context: and there is a possibility that they will win.\I don't have it.\A vision of me beating Gotou and then facing off against Mr. Shimada.\And that's how it is.\But going from there, trudging on and sidling up to victory\is also part of a professional's job.\Gotou often uses the forms of Static Rook and Bear in the Castle.\In response, I'll use the Windmill. response:	If Gotou is heavy and stiff
context: I don't have it.\A vision of me beating Gotou and then facing off against Mr. Shimada.\And that's how it is.\But going from there, trudging on and sidling up to victory\is also part of a professional's job.\Gotou often uses the forms of Static Rook and Bear in the Castle.\In response, I'll use the Windmill.\If Gotou is heavy and stiff response:	I'll be light and expansive.
context: A vision of me beating Gotou and then facing off against Mr. Shimada.\And that's how it is.\But going from there, trudging on and sidling up to victory\is also part of a professional's job.\Gotou often uses the forms of Static Rook and Bear in the Castle.\In response, I'll use the Windmill.\If Gotou is heavy and stiff\I'll be light and expansive. response:	All right, please begin.
context: And that's how it is.\But going from there, trudging on and sidling up to victory\is also part of a professional's job.\Gotou often uses the forms of Static Rook and Bear in the Castle.\In response, I'll use the Windmill.\If Gotou is heavy and stiff\I'll be light and expansive.\All right, please begin. response:	Let's have a good game.
context: But going from there, trudging on and sidling up to victory\is also part of a professional's job.\Gotou often uses the forms of Static Rook and Bear in the Castle.\In response, I'll use the Windmill.\If Gotou is heavy and stiff\I'll be light and expansive.\All right, please begin.\Let's have a good game. response:	This is my second time playing against Gotou.
context: is also part of a professional's job.\Gotou often uses the forms of Static Rook and Bear in the Castle.\In response, I'll use the Windmill.\If Gotou is heavy and stiff\I'll be light and expansive.\All right, please begin.\Let's have a good game.\This is my second time playing against Gotou. response:	Last time, to prepare for a drawn-out battle from Gotou's heavy defensive position,
context: Gotou often uses the forms of Static Rook and Bear in the Castle.\In response, I'll use the Windmill.\If Gotou is heavy and stiff\I'll be light and expansive.\All right, please begin.\Let's have a good game.\This is my second time playing against Gotou.\Last time, to prepare for a drawn-out battle from Gotou's heavy defensive position, response:	I also strengthened the defense around my king,
context: In response, I'll use the Windmill.\If Gotou is heavy and stiff\I'll be light and expansive.\All right, please begin.\Let's have a good game.\This is my second time playing against Gotou.\Last time, to prepare for a drawn-out battle from Gotou's heavy defensive position,\I also strengthened the defense around my king, response:	but the nimbleness I always put my faith in was weakened by the armor it wasn't used to
context: If Gotou is heavy and stiff\I'll be light and expansive.\All right, please begin.\Let's have a good game.\This is my second time playing against Gotou.\Last time, to prepare for a drawn-out battle from Gotou's heavy defensive position,\I also strengthened the defense around my king,\but the nimbleness I always put my faith in was weakened by the armor it wasn't used to response:	and the result was a crushing defeat.
context: I'll be light and expansive.\All right, please begin.\Let's have a good game.\This is my second time playing against Gotou.\Last time, to prepare for a drawn-out battle from Gotou's heavy defensive position,\I also strengthened the defense around my king,\but the nimbleness I always put my faith in was weakened by the armor it wasn't used to\and the result was a crushing defeat. response:	Based on that, I've come up with a number of countermeasures.
context: All right, please begin.\Let's have a good game.\This is my second time playing against Gotou.\Last time, to prepare for a drawn-out battle from Gotou's heavy defensive position,\I also strengthened the defense around my king,\but the nimbleness I always put my faith in was weakened by the armor it wasn't used to\and the result was a crushing defeat.\Based on that, I've come up with a number of countermeasures. response:	This time, I've decided to face him with what I excel at.
context: Let's have a good game.\This is my second time playing against Gotou.\Last time, to prepare for a drawn-out battle from Gotou's heavy defensive position,\I also strengthened the defense around my king,\but the nimbleness I always put my faith in was weakened by the armor it wasn't used to\and the result was a crushing defeat.\Based on that, I've come up with a number of countermeasures.\This time, I've decided to face him with what I excel at. response:	I won't shield my king much, but I'll move the pieces around quickly,
context: This is my second time playing against Gotou.\Last time, to prepare for a drawn-out battle from Gotou's heavy defensive position,\I also strengthened the defense around my king,\but the nimbleness I always put my faith in was weakened by the armor it wasn't used to\and the result was a crushing defeat.\Based on that, I've come up with a number of countermeasures.\This time, I've decided to face him with what I excel at.\I won't shield my king much, but I'll move the pieces around quickly, response:	making countless small wounds, and stealing his vitality.
context: Last time, to prepare for a drawn-out battle from Gotou's heavy defensive position,\I also strengthened the defense around my king,\but the nimbleness I always put my faith in was weakened by the armor it wasn't used to\and the result was a crushing defeat.\Based on that, I've come up with a number of countermeasures.\This time, I've decided to face him with what I excel at.\I won't shield my king much, but I'll move the pieces around quickly,\making countless small wounds, and stealing his vitality. response:	Against that...
context: I also strengthened the defense around my king,\but the nimbleness I always put my faith in was weakened by the armor it wasn't used to\and the result was a crushing defeat.\Based on that, I've come up with a number of countermeasures.\This time, I've decided to face him with what I excel at.\I won't shield my king much, but I'll move the pieces around quickly,\making countless small wounds, and stealing his vitality.\Against that... response:	Gotou will make a firm, measured defense, and attack me with a single massive strike.
context: but the nimbleness I always put my faith in was weakened by the armor it wasn't used to\and the result was a crushing defeat.\Based on that, I've come up with a number of countermeasures.\This time, I've decided to face him with what I excel at.\I won't shield my king much, but I'll move the pieces around quickly,\making countless small wounds, and stealing his vitality.\Against that...\Gotou will make a firm, measured defense, and attack me with a single massive strike. response:	If that strike hits me, it's over.
context: and the result was a crushing defeat.\Based on that, I've come up with a number of countermeasures.\This time, I've decided to face him with what I excel at.\I won't shield my king much, but I'll move the pieces around quickly,\making countless small wounds, and stealing his vitality.\Against that...\Gotou will make a firm, measured defense, and attack me with a single massive strike.\If that strike hits me, it's over. response:	I can't let my concentration slip one millimeter.
context: Based on that, I've come up with a number of countermeasures.\This time, I've decided to face him with what I excel at.\I won't shield my king much, but I'll move the pieces around quickly,\making countless small wounds, and stealing his vitality.\Against that...\Gotou will make a firm, measured defense, and attack me with a single massive strike.\If that strike hits me, it's over.\I can't let my concentration slip one millimeter. response:	But I'm ready to do this.
context: This time, I've decided to face him with what I excel at.\I won't shield my king much, but I'll move the pieces around quickly,\making countless small wounds, and stealing his vitality.\Against that...\Gotou will make a firm, measured defense, and attack me with a single massive strike.\If that strike hits me, it's over.\I can't let my concentration slip one millimeter.\But I'm ready to do this. response:	A match in which victory and defeat is decided 100 beforehand
context: I won't shield my king much, but I'll move the pieces around quickly,\making countless small wounds, and stealing his vitality.\Against that...\Gotou will make a firm, measured defense, and attack me with a single massive strike.\If that strike hits me, it's over.\I can't let my concentration slip one millimeter.\But I'm ready to do this.\A match in which victory and defeat is decided 100 beforehand response:	doesn't exist between professionals.
context: making countless small wounds, and stealing his vitality.\Against that...\Gotou will make a firm, measured defense, and attack me with a single massive strike.\If that strike hits me, it's over.\I can't let my concentration slip one millimeter.\But I'm ready to do this.\A match in which victory and defeat is decided 100 beforehand\doesn't exist between professionals. response:	Such unpleasant clouds, like it'll rain.
context: Against that...\Gotou will make a firm, measured defense, and attack me with a single massive strike.\If that strike hits me, it's over.\I can't let my concentration slip one millimeter.\But I'm ready to do this.\A match in which victory and defeat is decided 100 beforehand\doesn't exist between professionals.\Such unpleasant clouds, like it'll rain. response:	Actually, on the news they were saying it'll snow tonight.
context: Gotou will make a firm, measured defense, and attack me with a single massive strike.\If that strike hits me, it's over.\I can't let my concentration slip one millimeter.\But I'm ready to do this.\A match in which victory and defeat is decided 100 beforehand\doesn't exist between professionals.\Such unpleasant clouds, like it'll rain.\Actually, on the news they were saying it'll snow tonight. response:	No wonder. I thought it was especially cold out.
context: If that strike hits me, it's over.\I can't let my concentration slip one millimeter.\But I'm ready to do this.\A match in which victory and defeat is decided 100 beforehand\doesn't exist between professionals.\Such unpleasant clouds, like it'll rain.\Actually, on the news they were saying it'll snow tonight.\No wonder. I thought it was especially cold out. response:	Just how much vitality does he have?
context: I can't let my concentration slip one millimeter.\But I'm ready to do this.\A match in which victory and defeat is decided 100 beforehand\doesn't exist between professionals.\Such unpleasant clouds, like it'll rain.\Actually, on the news they were saying it'll snow tonight.\No wonder. I thought it was especially cold out.\Just how much vitality does he have? response:	I keep wounding him, but he won't crumble.
context: But I'm ready to do this.\A match in which victory and defeat is decided 100 beforehand\doesn't exist between professionals.\Such unpleasant clouds, like it'll rain.\Actually, on the news they were saying it'll snow tonight.\No wonder. I thought it was especially cold out.\Just how much vitality does he have?\I keep wounding him, but he won't crumble. response:	There are no openings to attack.
context: A match in which victory and defeat is decided 100 beforehand\doesn't exist between professionals.\Such unpleasant clouds, like it'll rain.\Actually, on the news they were saying it'll snow tonight.\No wonder. I thought it was especially cold out.\Just how much vitality does he have?\I keep wounding him, but he won't crumble.\There are no openings to attack. response:	I've drawn a lot of blood, but he hasn't flinched.
context: doesn't exist between professionals.\Such unpleasant clouds, like it'll rain.\Actually, on the news they were saying it'll snow tonight.\No wonder. I thought it was especially cold out.\Just how much vitality does he have?\I keep wounding him, but he won't crumble.\There are no openings to attack.\I've drawn a lot of blood, but he hasn't flinched. response:	Conversely, my moves aren't getting very far right now.
context: Such unpleasant clouds, like it'll rain.\Actually, on the news they were saying it'll snow tonight.\No wonder. I thought it was especially cold out.\Just how much vitality does he have?\I keep wounding him, but he won't crumble.\There are no openings to attack.\I've drawn a lot of blood, but he hasn't flinched.\Conversely, my moves aren't getting very far right now. response:	And then...
context: Actually, on the news they were saying it'll snow tonight.\No wonder. I thought it was especially cold out.\Just how much vitality does he have?\I keep wounding him, but he won't crumble.\There are no openings to attack.\I've drawn a lot of blood, but he hasn't flinched.\Conversely, my moves aren't getting very far right now.\And then... response:	Sacrificing his Rook for my Silver?
context: No wonder. I thought it was especially cold out.\Just how much vitality does he have?\I keep wounding him, but he won't crumble.\There are no openings to attack.\I've drawn a lot of blood, but he hasn't flinched.\Conversely, my moves aren't getting very far right now.\And then...\Sacrificing his Rook for my Silver? response:	What the hell is he doing?
context: Just how much vitality does he have?\I keep wounding him, but he won't crumble.\There are no openings to attack.\I've drawn a lot of blood, but he hasn't flinched.\Conversely, my moves aren't getting very far right now.\And then...\Sacrificing his Rook for my Silver?\What the hell is he doing? response:	What is...
context: I keep wounding him, but he won't crumble.\There are no openings to attack.\I've drawn a lot of blood, but he hasn't flinched.\Conversely, my moves aren't getting very far right now.\And then...\Sacrificing his Rook for my Silver?\What the hell is he doing?\What is... response:	He's attacking me with tremendous force.
context: There are no openings to attack.\I've drawn a lot of blood, but he hasn't flinched.\Conversely, my moves aren't getting very far right now.\And then...\Sacrificing his Rook for my Silver?\What the hell is he doing?\What is...\He's attacking me with tremendous force. response:	He'll pry me open!
context: I've drawn a lot of blood, but he hasn't flinched.\Conversely, my moves aren't getting very far right now.\And then...\Sacrificing his Rook for my Silver?\What the hell is he doing?\What is...\He's attacking me with tremendous force.\He'll pry me open! response:	Pitch black water is rushing in.
context: Conversely, my moves aren't getting very far right now.\And then...\Sacrificing his Rook for my Silver?\What the hell is he doing?\What is...\He's attacking me with tremendous force.\He'll pry me open!\Pitch black water is rushing in. response:	I can't breathe...
context: And then...\Sacrificing his Rook for my Silver?\What the hell is he doing?\What is...\He's attacking me with tremendous force.\He'll pry me open!\Pitch black water is rushing in.\I can't breathe... response:	Just like that, I'm getting dragged down...
context: Sacrificing his Rook for my Silver?\What the hell is he doing?\What is...\He's attacking me with tremendous force.\He'll pry me open!\Pitch black water is rushing in.\I can't breathe...\Just like that, I'm getting dragged down... response:	There's nothing I can do.
context: What the hell is he doing?\What is...\He's attacking me with tremendous force.\He'll pry me open!\Pitch black water is rushing in.\I can't breathe...\Just like that, I'm getting dragged down...\There's nothing I can do. response:	I lost.
context: What is...\He's attacking me with tremendous force.\He'll pry me open!\Pitch black water is rushing in.\I can't breathe...\Just like that, I'm getting dragged down...\There's nothing I can do.\I lost. response:	You were light.
context: He's attacking me with tremendous force.\He'll pry me open!\Pitch black water is rushing in.\I can't breathe...\Just like that, I'm getting dragged down...\There's nothing I can do.\I lost.\You were light. response:	But still a little heavy.
context: He'll pry me open!\Pitch black water is rushing in.\I can't breathe...\Just like that, I'm getting dragged down...\There's nothing I can do.\I lost.\You were light.\But still a little heavy. response:	After I moved 2-f-Bishop, you defended with 5-b-Gold from the left.
context: Pitch black water is rushing in.\I can't breathe...\Just like that, I'm getting dragged down...\There's nothing I can do.\I lost.\You were light.\But still a little heavy.\After I moved 2-f-Bishop, you defended with 5-b-Gold from the left. response:	You should've gone up to 6-c-Gold instead.
context: I can't breathe...\Just like that, I'm getting dragged down...\There's nothing I can do.\I lost.\You were light.\But still a little heavy.\After I moved 2-f-Bishop, you defended with 5-b-Gold from the left.\You should've gone up to 6-c-Gold instead. response:	The way you did it, the heaviness came out.
context: Just like that, I'm getting dragged down...\There's nothing I can do.\I lost.\You were light.\But still a little heavy.\After I moved 2-f-Bishop, you defended with 5-b-Gold from the left.\You should've gone up to 6-c-Gold instead.\The way you did it, the heaviness came out. response:	Lightness is your creed, right?
context: There's nothing I can do.\I lost.\You were light.\But still a little heavy.\After I moved 2-f-Bishop, you defended with 5-b-Gold from the left.\You should've gone up to 6-c-Gold instead.\The way you did it, the heaviness came out.\Lightness is your creed, right? response:	If so...
