context: I shouldn't have given birth to you. response:	Who would you be sold to, you ask?
context: Hey, it's Ainsworth!\Who would have thought you'd ever come out of your hole?\You're no less of a hermit, Gem's Bee.\I'm running a business.\Chise.\Y-Yes!\I thought I'd have you gather the things this girl needs.\I made her my apprentice three days ago. response:	A-Apprentice?!
context: Who would have thought you'd ever come out of your hole?\You're no less of a hermit, Gem's Bee.\I'm running a business.\Chise.\Y-Yes!\I thought I'd have you gather the things this girl needs.\I made her my apprentice three days ago.\A-Apprentice?! response:	Yeah.
context: You're no less of a hermit, Gem's Bee.\I'm running a business.\Chise.\Y-Yes!\I thought I'd have you gather the things this girl needs.\I made her my apprentice three days ago.\A-Apprentice?!\Yeah. response:	Wow.
context: I'm running a business.\Chise.\Y-Yes!\I thought I'd have you gather the things this girl needs.\I made her my apprentice three days ago.\A-Apprentice?!\Yeah.\Wow. response:	From Japan, huh?
context: Chise.\Y-Yes!\I thought I'd have you gather the things this girl needs.\I made her my apprentice three days ago.\A-Apprentice?!\Yeah.\Wow.\From Japan, huh? response:	Chise, was it?
context: Y-Yes!\I thought I'd have you gather the things this girl needs.\I made her my apprentice three days ago.\A-Apprentice?!\Yeah.\Wow.\From Japan, huh?\Chise, was it? response:	Here you go.
context: I thought I'd have you gather the things this girl needs.\I made her my apprentice three days ago.\A-Apprentice?!\Yeah.\Wow.\From Japan, huh?\Chise, was it?\Here you go. response:	Thank you.
context: I made her my apprentice three days ago.\A-Apprentice?!\Yeah.\Wow.\From Japan, huh?\Chise, was it?\Here you go.\Thank you. response:	She's cute.
context: A-Apprentice?!\Yeah.\Wow.\From Japan, huh?\Chise, was it?\Here you go.\Thank you.\She's cute. response:	You better not have done anything shady to get her.
context: Yeah.\Wow.\From Japan, huh?\Chise, was it?\Here you go.\Thank you.\She's cute.\You better not have done anything shady to get her. response:	The money I bought her with was clean.
context: Wow.\From Japan, huh?\Chise, was it?\Here you go.\Thank you.\She's cute.\You better not have done anything shady to get her.\The money I bought her with was clean. response:	There's nothing proper about buying her!
context: From Japan, huh?\Chise, was it?\Here you go.\Thank you.\She's cute.\You better not have done anything shady to get her.\The money I bought her with was clean.\There's nothing proper about buying her! response:	He hasn't done anything weird to you, has he?
context: Chise, was it?\Here you go.\Thank you.\She's cute.\You better not have done anything shady to get her.\The money I bought her with was clean.\There's nothing proper about buying her!\He hasn't done anything weird to you, has he? response:	What do you think I am?
context: Here you go.\Thank you.\She's cute.\You better not have done anything shady to get her.\The money I bought her with was clean.\There's nothing proper about buying her!\He hasn't done anything weird to you, has he?\What do you think I am? response:	Anything weird?
context: Thank you.\She's cute.\You better not have done anything shady to get her.\The money I bought her with was clean.\There's nothing proper about buying her!\He hasn't done anything weird to you, has he?\What do you think I am?\Anything weird? response:	Chise, Chise, you need to be quicker to deny that.
context: She's cute.\You better not have done anything shady to get her.\The money I bought her with was clean.\There's nothing proper about buying her!\He hasn't done anything weird to you, has he?\What do you think I am?\Anything weird?\Chise, Chise, you need to be quicker to deny that. response:	He washed me after taking off my clothes, and he proposed to me... Does that count?
context: You better not have done anything shady to get her.\The money I bought her with was clean.\There's nothing proper about buying her!\He hasn't done anything weird to you, has he?\What do you think I am?\Anything weird?\Chise, Chise, you need to be quicker to deny that.\He washed me after taking off my clothes, and he proposed to me... Does that count? response:	Oh?
context: The money I bought her with was clean.\There's nothing proper about buying her!\He hasn't done anything weird to you, has he?\What do you think I am?\Anything weird?\Chise, Chise, you need to be quicker to deny that.\He washed me after taking off my clothes, and he proposed to me... Does that count?\Oh? response:	You perverted mage!
context: There's nothing proper about buying her!\He hasn't done anything weird to you, has he?\What do you think I am?\Anything weird?\Chise, Chise, you need to be quicker to deny that.\He washed me after taking off my clothes, and he proposed to me... Does that count?\Oh?\You perverted mage! response:	Go take a walk!
context: He hasn't done anything weird to you, has he?\What do you think I am?\Anything weird?\Chise, Chise, you need to be quicker to deny that.\He washed me after taking off my clothes, and he proposed to me... Does that count?\Oh?\You perverted mage!\Go take a walk! response:	He doesn't have a smidge of common sense.
context: What do you think I am?\Anything weird?\Chise, Chise, you need to be quicker to deny that.\He washed me after taking off my clothes, and he proposed to me... Does that count?\Oh?\You perverted mage!\Go take a walk!\He doesn't have a smidge of common sense. response:	Man, so that Ainsworth found an apprentice, huh?
context: Anything weird?\Chise, Chise, you need to be quicker to deny that.\He washed me after taking off my clothes, and he proposed to me... Does that count?\Oh?\You perverted mage!\Go take a walk!\He doesn't have a smidge of common sense.\Man, so that Ainsworth found an apprentice, huh? response:	Did he really propose?
context: Chise, Chise, you need to be quicker to deny that.\He washed me after taking off my clothes, and he proposed to me... Does that count?\Oh?\You perverted mage!\Go take a walk!\He doesn't have a smidge of common sense.\Man, so that Ainsworth found an apprentice, huh?\Did he really propose? response:	Um...
context: He washed me after taking off my clothes, and he proposed to me... Does that count?\Oh?\You perverted mage!\Go take a walk!\He doesn't have a smidge of common sense.\Man, so that Ainsworth found an apprentice, huh?\Did he really propose?\Um... response:	Oh, I forgot to introduce myself.
context: Oh?\You perverted mage!\Go take a walk!\He doesn't have a smidge of common sense.\Man, so that Ainsworth found an apprentice, huh?\Did he really propose?\Um...\Oh, I forgot to introduce myself. response:	I'm Angelica Burley.
context: You perverted mage!\Go take a walk!\He doesn't have a smidge of common sense.\Man, so that Ainsworth found an apprentice, huh?\Did he really propose?\Um...\Oh, I forgot to introduce myself.\I'm Angelica Burley. response:	I'm a mage, which are a dying breed.
context: Go take a walk!\He doesn't have a smidge of common sense.\Man, so that Ainsworth found an apprentice, huh?\Did he really propose?\Um...\Oh, I forgot to introduce myself.\I'm Angelica Burley.\I'm a mage, which are a dying breed. response:	I'm a magus craft artificer.
context: He doesn't have a smidge of common sense.\Man, so that Ainsworth found an apprentice, huh?\Did he really propose?\Um...\Oh, I forgot to introduce myself.\I'm Angelica Burley.\I'm a mage, which are a dying breed.\I'm a magus craft artificer. response:	Magus craft?
context: Man, so that Ainsworth found an apprentice, huh?\Did he really propose?\Um...\Oh, I forgot to introduce myself.\I'm Angelica Burley.\I'm a mage, which are a dying breed.\I'm a magus craft artificer.\Magus craft? response:	Tools and contraptions that run on magic instead of electricity.
context: Did he really propose?\Um...\Oh, I forgot to introduce myself.\I'm Angelica Burley.\I'm a mage, which are a dying breed.\I'm a magus craft artificer.\Magus craft?\Tools and contraptions that run on magic instead of electricity. response:	Processing gems, making knives...
context: Um...\Oh, I forgot to introduce myself.\I'm Angelica Burley.\I'm a mage, which are a dying breed.\I'm a magus craft artificer.\Magus craft?\Tools and contraptions that run on magic instead of electricity.\Processing gems, making knives... response:	I do it all.
context: Oh, I forgot to introduce myself.\I'm Angelica Burley.\I'm a mage, which are a dying breed.\I'm a magus craft artificer.\Magus craft?\Tools and contraptions that run on magic instead of electricity.\Processing gems, making knives...\I do it all. response:	Mom!
context: I'm Angelica Burley.\I'm a mage, which are a dying breed.\I'm a magus craft artificer.\Magus craft?\Tools and contraptions that run on magic instead of electricity.\Processing gems, making knives...\I do it all.\Mom! response:	A visitor?
context: I'm a mage, which are a dying breed.\I'm a magus craft artificer.\Magus craft?\Tools and contraptions that run on magic instead of electricity.\Processing gems, making knives...\I do it all.\Mom!\A visitor? response:	Althea.
context: I'm a magus craft artificer.\Magus craft?\Tools and contraptions that run on magic instead of electricity.\Processing gems, making knives...\I do it all.\Mom!\A visitor?\Althea. response:	Look!
context: Magus craft?\Tools and contraptions that run on magic instead of electricity.\Processing gems, making knives...\I do it all.\Mom!\A visitor?\Althea.\Look! response:	Sorry, but we're putting that off.
context: Tools and contraptions that run on magic instead of electricity.\Processing gems, making knives...\I do it all.\Mom!\A visitor?\Althea.\Look!\Sorry, but we're putting that off. response:	Stay quiet.
context: Processing gems, making knives...\I do it all.\Mom!\A visitor?\Althea.\Look!\Sorry, but we're putting that off.\Stay quiet. response:	You promised you'd watch my training!
context: I do it all.\Mom!\A visitor?\Althea.\Look!\Sorry, but we're putting that off.\Stay quiet.\You promised you'd watch my training! response:	All right, just scram!
context: Mom!\A visitor?\Althea.\Look!\Sorry, but we're putting that off.\Stay quiet.\You promised you'd watch my training!\All right, just scram! response:	Was that your daughter?
context: A visitor?\Althea.\Look!\Sorry, but we're putting that off.\Stay quiet.\You promised you'd watch my training!\All right, just scram!\Was that your daughter? response:	Yeah.
context: Althea.\Look!\Sorry, but we're putting that off.\Stay quiet.\You promised you'd watch my training!\All right, just scram!\Was that your daughter?\Yeah. response:	Sorry, she's not very well-behaved.
context: Look!\Sorry, but we're putting that off.\Stay quiet.\You promised you'd watch my training!\All right, just scram!\Was that your daughter?\Yeah.\Sorry, she's not very well-behaved. response:	For better or worse, she's got what it takes to become a mage.
context: Sorry, but we're putting that off.\Stay quiet.\You promised you'd watch my training!\All right, just scram!\Was that your daughter?\Yeah.\Sorry, she's not very well-behaved.\For better or worse, she's got what it takes to become a mage. response:	I'd prefer that she'd take up a proper job, especially in today's world.
context: Stay quiet.\You promised you'd watch my training!\All right, just scram!\Was that your daughter?\Yeah.\Sorry, she's not very well-behaved.\For better or worse, she's got what it takes to become a mage.\I'd prefer that she'd take up a proper job, especially in today's world. response:	Mage?
context: You promised you'd watch my training!\All right, just scram!\Was that your daughter?\Yeah.\Sorry, she's not very well-behaved.\For better or worse, she's got what it takes to become a mage.\I'd prefer that she'd take up a proper job, especially in today's world.\Mage? response:	Has Elias not told you yet?
context: All right, just scram!\Was that your daughter?\Yeah.\Sorry, she's not very well-behaved.\For better or worse, she's got what it takes to become a mage.\I'd prefer that she'd take up a proper job, especially in today's world.\Mage?\Has Elias not told you yet? response:	He hasn't.
context: Was that your daughter?\Yeah.\Sorry, she's not very well-behaved.\For better or worse, she's got what it takes to become a mage.\I'd prefer that she'd take up a proper job, especially in today's world.\Mage?\Has Elias not told you yet?\He hasn't. response:	There's magic and sorcery in this world.
context: Yeah.\Sorry, she's not very well-behaved.\For better or worse, she's got what it takes to become a mage.\I'd prefer that she'd take up a proper job, especially in today's world.\Mage?\Has Elias not told you yet?\He hasn't.\There's magic and sorcery in this world. response:	Do you know the difference between the two?
context: Sorry, she's not very well-behaved.\For better or worse, she's got what it takes to become a mage.\I'd prefer that she'd take up a proper job, especially in today's world.\Mage?\Has Elias not told you yet?\He hasn't.\There's magic and sorcery in this world.\Do you know the difference between the two? response:	To put it simply, sorcerers employ a science called sorcery.
context: For better or worse, she's got what it takes to become a mage.\I'd prefer that she'd take up a proper job, especially in today's world.\Mage?\Has Elias not told you yet?\He hasn't.\There's magic and sorcery in this world.\Do you know the difference between the two?\To put it simply, sorcerers employ a science called sorcery. response:	They have an understanding of reality,
context: I'd prefer that she'd take up a proper job, especially in today's world.\Mage?\Has Elias not told you yet?\He hasn't.\There's magic and sorcery in this world.\Do you know the difference between the two?\To put it simply, sorcerers employ a science called sorcery.\They have an understanding of reality, response:	and they use their own power to rewrite it and change it to their own ends.
context: Mage?\Has Elias not told you yet?\He hasn't.\There's magic and sorcery in this world.\Do you know the difference between the two?\To put it simply, sorcerers employ a science called sorcery.\They have an understanding of reality,\and they use their own power to rewrite it and change it to their own ends. response:	Meanwhile, the magic that we mages use refers to the miracles that are caused
context: Has Elias not told you yet?\He hasn't.\There's magic and sorcery in this world.\Do you know the difference between the two?\To put it simply, sorcerers employ a science called sorcery.\They have an understanding of reality,\and they use their own power to rewrite it and change it to their own ends.\Meanwhile, the magic that we mages use refers to the miracles that are caused response:	with the help of fairies and spirits, their powers bending said reality.
context: He hasn't.\There's magic and sorcery in this world.\Do you know the difference between the two?\To put it simply, sorcerers employ a science called sorcery.\They have an understanding of reality,\and they use their own power to rewrite it and change it to their own ends.\Meanwhile, the magic that we mages use refers to the miracles that are caused\with the help of fairies and spirits, their powers bending said reality. response:	Miracles?
context: There's magic and sorcery in this world.\Do you know the difference between the two?\To put it simply, sorcerers employ a science called sorcery.\They have an understanding of reality,\and they use their own power to rewrite it and change it to their own ends.\Meanwhile, the magic that we mages use refers to the miracles that are caused\with the help of fairies and spirits, their powers bending said reality.\Miracles? response:	Magic sounds easier, doesn't it?
context: Do you know the difference between the two?\To put it simply, sorcerers employ a science called sorcery.\They have an understanding of reality,\and they use their own power to rewrite it and change it to their own ends.\Meanwhile, the magic that we mages use refers to the miracles that are caused\with the help of fairies and spirits, their powers bending said reality.\Miracles?\Magic sounds easier, doesn't it? response:	But it's like having someone be your arms and legs, so it's hard to regulate and control.
context: To put it simply, sorcerers employ a science called sorcery.\They have an understanding of reality,\and they use their own power to rewrite it and change it to their own ends.\Meanwhile, the magic that we mages use refers to the miracles that are caused\with the help of fairies and spirits, their powers bending said reality.\Miracles?\Magic sounds easier, doesn't it?\But it's like having someone be your arms and legs, so it's hard to regulate and control. response:	Should you try to do more than what you're capable of...
context: They have an understanding of reality,\and they use their own power to rewrite it and change it to their own ends.\Meanwhile, the magic that we mages use refers to the miracles that are caused\with the help of fairies and spirits, their powers bending said reality.\Miracles?\Magic sounds easier, doesn't it?\But it's like having someone be your arms and legs, so it's hard to regulate and control.\Should you try to do more than what you're capable of... response:	I made a silly mistake during my training,
context: and they use their own power to rewrite it and change it to their own ends.\Meanwhile, the magic that we mages use refers to the miracles that are caused\with the help of fairies and spirits, their powers bending said reality.\Miracles?\Magic sounds easier, doesn't it?\But it's like having someone be your arms and legs, so it's hard to regulate and control.\Should you try to do more than what you're capable of...\I made a silly mistake during my training, response:	so that's what I got.
context: Meanwhile, the magic that we mages use refers to the miracles that are caused\with the help of fairies and spirits, their powers bending said reality.\Miracles?\Magic sounds easier, doesn't it?\But it's like having someone be your arms and legs, so it's hard to regulate and control.\Should you try to do more than what you're capable of...\I made a silly mistake during my training,\so that's what I got. response:	There's a lot to study when it comes to magic.
context: with the help of fairies and spirits, their powers bending said reality.\Miracles?\Magic sounds easier, doesn't it?\But it's like having someone be your arms and legs, so it's hard to regulate and control.\Should you try to do more than what you're capable of...\I made a silly mistake during my training,\so that's what I got.\There's a lot to study when it comes to magic. response:	You have to take it seriously, or this is what happens.
context: Miracles?\Magic sounds easier, doesn't it?\But it's like having someone be your arms and legs, so it's hard to regulate and control.\Should you try to do more than what you're capable of...\I made a silly mistake during my training,\so that's what I got.\There's a lot to study when it comes to magic.\You have to take it seriously, or this is what happens. response:	So make sure you study hard.
context: Magic sounds easier, doesn't it?\But it's like having someone be your arms and legs, so it's hard to regulate and control.\Should you try to do more than what you're capable of...\I made a silly mistake during my training,\so that's what I got.\There's a lot to study when it comes to magic.\You have to take it seriously, or this is what happens.\So make sure you study hard. response:	Can I use magic, too?
context: But it's like having someone be your arms and legs, so it's hard to regulate and control.\Should you try to do more than what you're capable of...\I made a silly mistake during my training,\so that's what I got.\There's a lot to study when it comes to magic.\You have to take it seriously, or this is what happens.\So make sure you study hard.\Can I use magic, too? response:	Why don't you give it a try?
context: Should you try to do more than what you're capable of...\I made a silly mistake during my training,\so that's what I got.\There's a lot to study when it comes to magic.\You have to take it seriously, or this is what happens.\So make sure you study hard.\Can I use magic, too?\Why don't you give it a try? response:	Hugo!
context: I made a silly mistake during my training,\so that's what I got.\There's a lot to study when it comes to magic.\You have to take it seriously, or this is what happens.\So make sure you study hard.\Can I use magic, too?\Why don't you give it a try?\Hugo! response:	Hey, robin.
