context: Lisanna, where are you? response:	Hey, answer me!
context: What are you doing making such an insinuating face in someone else's house?\Since you took the bed, I ended up sleeping on the floor!\Man, so noisy right when I wake up...\This, coming from someone who just had a sleepover at my house without permission?\I can't help it, man! I get the best sleep in this bed.\Aye!\Then why don't you buy your own?\Well, I'm hungry. response:	Aye.
context: Since you took the bed, I ended up sleeping on the floor!\Man, so noisy right when I wake up...\This, coming from someone who just had a sleepover at my house without permission?\I can't help it, man! I get the best sleep in this bed.\Aye!\Then why don't you buy your own?\Well, I'm hungry.\Aye. response:	So, what was the dream about?
context: Man, so noisy right when I wake up...\This, coming from someone who just had a sleepover at my house without permission?\I can't help it, man! I get the best sleep in this bed.\Aye!\Then why don't you buy your own?\Well, I'm hungry.\Aye.\So, what was the dream about? response:	You woke up from a dream, right?
context: This, coming from someone who just had a sleepover at my house without permission?\I can't help it, man! I get the best sleep in this bed.\Aye!\Then why don't you buy your own?\Well, I'm hungry.\Aye.\So, what was the dream about?\You woke up from a dream, right? response:	Right then, let's get some grub!
context: I can't help it, man! I get the best sleep in this bed.\Aye!\Then why don't you buy your own?\Well, I'm hungry.\Aye.\So, what was the dream about?\You woke up from a dream, right?\Right then, let's get some grub! response:	Aye, sir!
context: Aye!\Then why don't you buy your own?\Well, I'm hungry.\Aye.\So, what was the dream about?\You woke up from a dream, right?\Right then, let's get some grub!\Aye, sir! response:	Don't dodge the question!
context: Then why don't you buy your own?\Well, I'm hungry.\Aye.\So, what was the dream about?\You woke up from a dream, right?\Right then, let's get some grub!\Aye, sir!\Don't dodge the question! response:	Gildarts!
context: Well, I'm hungry.\Aye.\So, what was the dream about?\You woke up from a dream, right?\Right then, let's get some grub!\Aye, sir!\Don't dodge the question!\Gildarts! response:	Looks like both Carla and you, Wendy, have gotten used to the guild.
context: Aye.\So, what was the dream about?\You woke up from a dream, right?\Right then, let's get some grub!\Aye, sir!\Don't dodge the question!\Gildarts!\Looks like both Carla and you, Wendy, have gotten used to the guild. response:	Yes!
context: So, what was the dream about?\You woke up from a dream, right?\Right then, let's get some grub!\Aye, sir!\Don't dodge the question!\Gildarts!\Looks like both Carla and you, Wendy, have gotten used to the guild.\Yes! response:	She's especially glad about the women's dorm.
context: You woke up from a dream, right?\Right then, let's get some grub!\Aye, sir!\Don't dodge the question!\Gildarts!\Looks like both Carla and you, Wendy, have gotten used to the guild.\Yes!\She's especially glad about the women's dorm. response:	By the way, why aren't you in the dorm, Lucy-san?
context: Right then, let's get some grub!\Aye, sir!\Don't dodge the question!\Gildarts!\Looks like both Carla and you, Wendy, have gotten used to the guild.\Yes!\She's especially glad about the women's dorm.\By the way, why aren't you in the dorm, Lucy-san? response:	I only found out about the women's dorm recently.
context: Aye, sir!\Don't dodge the question!\Gildarts!\Looks like both Carla and you, Wendy, have gotten used to the guild.\Yes!\She's especially glad about the women's dorm.\By the way, why aren't you in the dorm, Lucy-san?\I only found out about the women's dorm recently. response:	And it turned out the rent in the dorm is 100,000 jewel...
context: Don't dodge the question!\Gildarts!\Looks like both Carla and you, Wendy, have gotten used to the guild.\Yes!\She's especially glad about the women's dorm.\By the way, why aren't you in the dorm, Lucy-san?\I only found out about the women's dorm recently.\And it turned out the rent in the dorm is 100,000 jewel... response:	If I'd gotten a place there, I wouldn't be able to pay that much lately.
context: Gildarts!\Looks like both Carla and you, Wendy, have gotten used to the guild.\Yes!\She's especially glad about the women's dorm.\By the way, why aren't you in the dorm, Lucy-san?\I only found out about the women's dorm recently.\And it turned out the rent in the dorm is 100,000 jewel...\If I'd gotten a place there, I wouldn't be able to pay that much lately. response:	Big news!
context: Looks like both Carla and you, Wendy, have gotten used to the guild.\Yes!\She's especially glad about the women's dorm.\By the way, why aren't you in the dorm, Lucy-san?\I only found out about the women's dorm recently.\And it turned out the rent in the dorm is 100,000 jewel...\If I'd gotten a place there, I wouldn't be able to pay that much lately.\Big news! response:	What is it?
context: Yes!\She's especially glad about the women's dorm.\By the way, why aren't you in the dorm, Lucy-san?\I only found out about the women's dorm recently.\And it turned out the rent in the dorm is 100,000 jewel...\If I'd gotten a place there, I wouldn't be able to pay that much lately.\Big news!\What is it? response:	The bells are ringing?
context: She's especially glad about the women's dorm.\By the way, why aren't you in the dorm, Lucy-san?\I only found out about the women's dorm recently.\And it turned out the rent in the dorm is 100,000 jewel...\If I'd gotten a place there, I wouldn't be able to pay that much lately.\Big news!\What is it?\The bells are ringing? response:	Them ringing like this means...
context: By the way, why aren't you in the dorm, Lucy-san?\I only found out about the women's dorm recently.\And it turned out the rent in the dorm is 100,000 jewel...\If I'd gotten a place there, I wouldn't be able to pay that much lately.\Big news!\What is it?\The bells are ringing?\Them ringing like this means... response:	Aye!
context: I only found out about the women's dorm recently.\And it turned out the rent in the dorm is 100,000 jewel...\If I'd gotten a place there, I wouldn't be able to pay that much lately.\Big news!\What is it?\The bells are ringing?\Them ringing like this means...\Aye! response:	Could it be?
context: And it turned out the rent in the dorm is 100,000 jewel...\If I'd gotten a place there, I wouldn't be able to pay that much lately.\Big news!\What is it?\The bells are ringing?\Them ringing like this means...\Aye!\Could it be? response:	Those bells...
context: If I'd gotten a place there, I wouldn't be able to pay that much lately.\Big news!\What is it?\The bells are ringing?\Them ringing like this means...\Aye!\Could it be?\Those bells... response:	Here we go!
context: Big news!\What is it?\The bells are ringing?\Them ringing like this means...\Aye!\Could it be?\Those bells...\Here we go! response:	It's him, right?
context: What is it?\The bells are ringing?\Them ringing like this means...\Aye!\Could it be?\Those bells...\Here we go!\It's him, right? response:	Gildarts has come back!
context: The bells are ringing?\Them ringing like this means...\Aye!\Could it be?\Those bells...\Here we go!\It's him, right?\Gildarts has come back! response:	Aye, sir!
context: Them ringing like this means...\Aye!\Could it be?\Those bells...\Here we go!\It's him, right?\Gildarts has come back!\Aye, sir! response:	Gildarts!
context: Aye!\Could it be?\Those bells...\Here we go!\It's him, right?\Gildarts has come back!\Aye, sir!\Gildarts! response:	Gildarts? I've never met him. Who is he?
context: Could it be?\Those bells...\Here we go!\It's him, right?\Gildarts has come back!\Aye, sir!\Gildarts!\Gildarts? I've never met him. Who is he? response:	He's Fairy Tail's strongest wizard.
context: Those bells...\Here we go!\It's him, right?\Gildarts has come back!\Aye, sir!\Gildarts!\Gildarts? I've never met him. Who is he?\He's Fairy Tail's strongest wizard. response:	Wait, even stronger than Erza?
context: Here we go!\It's him, right?\Gildarts has come back!\Aye, sir!\Gildarts!\Gildarts? I've never met him. Who is he?\He's Fairy Tail's strongest wizard.\Wait, even stronger than Erza? response:	I'm not even in his league.
context: It's him, right?\Gildarts has come back!\Aye, sir!\Gildarts!\Gildarts? I've never met him. Who is he?\He's Fairy Tail's strongest wizard.\Wait, even stronger than Erza?\I'm not even in his league. response:	How dangerous can this guy get?
context: Gildarts has come back!\Aye, sir!\Gildarts!\Gildarts? I've never met him. Who is he?\He's Fairy Tail's strongest wizard.\Wait, even stronger than Erza?\I'm not even in his league.\How dangerous can this guy get? response:	Not like I care, but what's the celebration about?
context: Aye, sir!\Gildarts!\Gildarts? I've never met him. Who is he?\He's Fairy Tail's strongest wizard.\Wait, even stronger than Erza?\I'm not even in his league.\How dangerous can this guy get?\Not like I care, but what's the celebration about? response:	It's like a festival, Carla!
context: Gildarts!\Gildarts? I've never met him. Who is he?\He's Fairy Tail's strongest wizard.\Wait, even stronger than Erza?\I'm not even in his league.\How dangerous can this guy get?\Not like I care, but what's the celebration about?\It's like a festival, Carla! response:	Definitely one festive guild...
context: Gildarts? I've never met him. Who is he?\He's Fairy Tail's strongest wizard.\Wait, even stronger than Erza?\I'm not even in his league.\How dangerous can this guy get?\Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild... response:	It's only natural for everyone to celebrate.
context: He's Fairy Tail's strongest wizard.\Wait, even stronger than Erza?\I'm not even in his league.\How dangerous can this guy get?\Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate. response:	It's been about three years since he came back.
context: Wait, even stronger than Erza?\I'm not even in his league.\How dangerous can this guy get?\Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back. response:	Three years? What was he doing?
context: I'm not even in his league.\How dangerous can this guy get?\Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back.\Three years? What was he doing? response:	There are quests more difficult than S class, called SS class.
context: How dangerous can this guy get?\Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back.\Three years? What was he doing?\There are quests more difficult than S class, called SS class. response:	But there are jobs even above those, called ten-year quests.
context: Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back.\Three years? What was he doing?\There are quests more difficult than S class, called SS class.\But there are jobs even above those, called ten-year quests. response:	Ten-year quests?
context: It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back.\Three years? What was he doing?\There are quests more difficult than S class, called SS class.\But there are jobs even above those, called ten-year quests.\Ten-year quests? response:	No one has completed them for more than ten years.
context: Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back.\Three years? What was he doing?\There are quests more difficult than S class, called SS class.\But there are jobs even above those, called ten-year quests.\Ten-year quests?\No one has completed them for more than ten years. response:	That's why they're called ten-year quests.
context: It's only natural for everyone to celebrate.\It's been about three years since he came back.\Three years? What was he doing?\There are quests more difficult than S class, called SS class.\But there are jobs even above those, called ten-year quests.\Ten-year quests?\No one has completed them for more than ten years.\That's why they're called ten-year quests. response:	Gildarts went on one even more difficult, a hundred-year quest.
context: It's been about three years since he came back.\Three years? What was he doing?\There are quests more difficult than S class, called SS class.\But there are jobs even above those, called ten-year quests.\Ten-year quests?\No one has completed them for more than ten years.\That's why they're called ten-year quests.\Gildarts went on one even more difficult, a hundred-year quest. response:	Hundred-year quest?
context: Three years? What was he doing?\There are quests more difficult than S class, called SS class.\But there are jobs even above those, called ten-year quests.\Ten-year quests?\No one has completed them for more than ten years.\That's why they're called ten-year quests.\Gildarts went on one even more difficult, a hundred-year quest.\Hundred-year quest? response:	No one has managed to complete it for a hundred years?!
context: There are quests more difficult than S class, called SS class.\But there are jobs even above those, called ten-year quests.\Ten-year quests?\No one has completed them for more than ten years.\That's why they're called ten-year quests.\Gildarts went on one even more difficult, a hundred-year quest.\Hundred-year quest?\No one has managed to complete it for a hundred years?! response:	Right.
context: But there are jobs even above those, called ten-year quests.\Ten-year quests?\No one has completed them for more than ten years.\That's why they're called ten-year quests.\Gildarts went on one even more difficult, a hundred-year quest.\Hundred-year quest?\No one has managed to complete it for a hundred years?!\Right. response:	It's Gildarts!
context: Ten-year quests?\No one has completed them for more than ten years.\That's why they're called ten-year quests.\Gildarts went on one even more difficult, a hundred-year quest.\Hundred-year quest?\No one has managed to complete it for a hundred years?!\Right.\It's Gildarts! response:	Gildarts has returned!
context: No one has completed them for more than ten years.\That's why they're called ten-year quests.\Gildarts went on one even more difficult, a hundred-year quest.\Hundred-year quest?\No one has managed to complete it for a hundred years?!\Right.\It's Gildarts!\Gildarts has returned! response:	Magnolia will now change to Gildarts Shift!
context: That's why they're called ten-year quests.\Gildarts went on one even more difficult, a hundred-year quest.\Hundred-year quest?\No one has managed to complete it for a hundred years?!\Right.\It's Gildarts!\Gildarts has returned!\Magnolia will now change to Gildarts Shift! response:	Residents, please move to the designated areas!
context: Gildarts went on one even more difficult, a hundred-year quest.\Hundred-year quest?\No one has managed to complete it for a hundred years?!\Right.\It's Gildarts!\Gildarts has returned!\Magnolia will now change to Gildarts Shift!\Residents, please move to the designated areas! response:	Even so, isn't this going a bit overboard?
context: Hundred-year quest?\No one has managed to complete it for a hundred years?!\Right.\It's Gildarts!\Gildarts has returned!\Magnolia will now change to Gildarts Shift!\Residents, please move to the designated areas!\Even so, isn't this going a bit overboard? response:	I wonder...
context: No one has managed to complete it for a hundred years?!\Right.\It's Gildarts!\Gildarts has returned!\Magnolia will now change to Gildarts Shift!\Residents, please move to the designated areas!\Even so, isn't this going a bit overboard?\I wonder... response:	What is Magnolia's Gildarts Shift?
context: Right.\It's Gildarts!\Gildarts has returned!\Magnolia will now change to Gildarts Shift!\Residents, please move to the designated areas!\Even so, isn't this going a bit overboard?\I wonder...\What is Magnolia's Gildarts Shift? response:	You'll know if you look outside.
context: It's Gildarts!\Gildarts has returned!\Magnolia will now change to Gildarts Shift!\Residents, please move to the designated areas!\Even so, isn't this going a bit overboard?\I wonder...\What is Magnolia's Gildarts Shift?\You'll know if you look outside. response:	Whoa!
context: Gildarts has returned!\Magnolia will now change to Gildarts Shift!\Residents, please move to the designated areas!\Even so, isn't this going a bit overboard?\I wonder...\What is Magnolia's Gildarts Shift?\You'll know if you look outside.\Whoa! response:	What is this?
context: Magnolia will now change to Gildarts Shift!\Residents, please move to the designated areas!\Even so, isn't this going a bit overboard?\I wonder...\What is Magnolia's Gildarts Shift?\You'll know if you look outside.\Whoa!\What is this? response:	The city is... splitting!
context: Residents, please move to the designated areas!\Even so, isn't this going a bit overboard?\I wonder...\What is Magnolia's Gildarts Shift?\You'll know if you look outside.\Whoa!\What is this?\The city is... splitting! response:	Gildarts uses Crash Magic.
context: Even so, isn't this going a bit overboard?\I wonder...\What is Magnolia's Gildarts Shift?\You'll know if you look outside.\Whoa!\What is this?\The city is... splitting!\Gildarts uses Crash Magic. response:	He'll turn anything he touches into bits...
context: I wonder...\What is Magnolia's Gildarts Shift?\You'll know if you look outside.\Whoa!\What is this?\The city is... splitting!\Gildarts uses Crash Magic.\He'll turn anything he touches into bits... response:	If his mind wanders, he'll just walk straight through people's houses.
context: What is Magnolia's Gildarts Shift?\You'll know if you look outside.\Whoa!\What is this?\The city is... splitting!\Gildarts uses Crash Magic.\He'll turn anything he touches into bits...\If his mind wanders, he'll just walk straight through people's houses. response:	How much of an idiot is he?
context: You'll know if you look outside.\Whoa!\What is this?\The city is... splitting!\Gildarts uses Crash Magic.\He'll turn anything he touches into bits...\If his mind wanders, he'll just walk straight through people's houses.\How much of an idiot is he? response:	So, the entire city was reconstructed with this in mind?!
context: Whoa!\What is this?\The city is... splitting!\Gildarts uses Crash Magic.\He'll turn anything he touches into bits...\If his mind wanders, he'll just walk straight through people's houses.\How much of an idiot is he?\So, the entire city was reconstructed with this in mind?! response:	That's amazing! Isn't it, Carla?
context: What is this?\The city is... splitting!\Gildarts uses Crash Magic.\He'll turn anything he touches into bits...\If his mind wanders, he'll just walk straight through people's houses.\How much of an idiot is he?\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla? response:	Yes. Amazingly stupid.
context: The city is... splitting!\Gildarts uses Crash Magic.\He'll turn anything he touches into bits...\If his mind wanders, he'll just walk straight through people's houses.\How much of an idiot is he?\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid. response:	He's coming!
context: Gildarts uses Crash Magic.\He'll turn anything he touches into bits...\If his mind wanders, he'll just walk straight through people's houses.\How much of an idiot is he?\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming! response:	Aye!
context: He'll turn anything he touches into bits...\If his mind wanders, he'll just walk straight through people's houses.\How much of an idiot is he?\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming!\Aye! response:	Gildarts, fight me!
context: If his mind wanders, he'll just walk straight through people's houses.\How much of an idiot is he?\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming!\Aye!\Gildarts, fight me! response:	Right off the bat with that?!
context: How much of an idiot is he?\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming!\Aye!\Gildarts, fight me!\Right off the bat with that?! response:	So, this person is Gildarts...
context: So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming!\Aye!\Gildarts, fight me!\Right off the bat with that?!\So, this person is Gildarts... response:	Miss, I was pretty sure there was a guild named Fairy Tail around here...
context: That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming!\Aye!\Gildarts, fight me!\Right off the bat with that?!\So, this person is Gildarts...\Miss, I was pretty sure there was a guild named Fairy Tail around here... response:	This is it. Oh, and I'm Mirajane.
context: Yes. Amazingly stupid.\He's coming!\Aye!\Gildarts, fight me!\Right off the bat with that?!\So, this person is Gildarts...\Miss, I was pretty sure there was a guild named Fairy Tail around here...\This is it. Oh, and I'm Mirajane. response:	Mira?
context: He's coming!\Aye!\Gildarts, fight me!\Right off the bat with that?!\So, this person is Gildarts...\Miss, I was pretty sure there was a guild named Fairy Tail around here...\This is it. Oh, and I'm Mirajane.\Mira? response:	Oh! You've really changed!
context: Aye!\Gildarts, fight me!\Right off the bat with that?!\So, this person is Gildarts...\Miss, I was pretty sure there was a guild named Fairy Tail around here...\This is it. Oh, and I'm Mirajane.\Mira?\Oh! You've really changed! response:	And wow, the guild is brand-new!
context: Gildarts, fight me!\Right off the bat with that?!\So, this person is Gildarts...\Miss, I was pretty sure there was a guild named Fairy Tail around here...\This is it. Oh, and I'm Mirajane.\Mira?\Oh! You've really changed!\And wow, the guild is brand-new! response:	He didn't notice from the outside?
context: Right off the bat with that?!\So, this person is Gildarts...\Miss, I was pretty sure there was a guild named Fairy Tail around here...\This is it. Oh, and I'm Mirajane.\Mira?\Oh! You've really changed!\And wow, the guild is brand-new!\He didn't notice from the outside? response:	Gildarts!
context: So, this person is Gildarts...\Miss, I was pretty sure there was a guild named Fairy Tail around here...\This is it. Oh, and I'm Mirajane.\Mira?\Oh! You've really changed!\And wow, the guild is brand-new!\He didn't notice from the outside?\Gildarts! response:	Natsu, is it? Been a while!
context: Miss, I was pretty sure there was a guild named Fairy Tail around here...\This is it. Oh, and I'm Mirajane.\Mira?\Oh! You've really changed!\And wow, the guild is brand-new!\He didn't notice from the outside?\Gildarts!\Natsu, is it? Been a while! response:	I told you to fight me!
context: This is it. Oh, and I'm Mirajane.\Mira?\Oh! You've really changed!\And wow, the guild is brand-new!\He didn't notice from the outside?\Gildarts!\Natsu, is it? Been a while!\I told you to fight me! response:	Maybe another time.
context: Mira?\Oh! You've really changed!\And wow, the guild is brand-new!\He didn't notice from the outside?\Gildarts!\Natsu, is it? Been a while!\I told you to fight me!\Maybe another time. response:	I knew it! He's crazy strong!
context: Oh! You've really changed!\And wow, the guild is brand-new!\He didn't notice from the outside?\Gildarts!\Natsu, is it? Been a while!\I told you to fight me!\Maybe another time.\I knew it! He's crazy strong! response:	You ain't changed a bit, Pops.
context: And wow, the guild is brand-new!\He didn't notice from the outside?\Gildarts!\Natsu, is it? Been a while!\I told you to fight me!\Maybe another time.\I knew it! He's crazy strong!\You ain't changed a bit, Pops. response:	A Man among Men!
context: He didn't notice from the outside?\Gildarts!\Natsu, is it? Been a while!\I told you to fight me!\Maybe another time.\I knew it! He's crazy strong!\You ain't changed a bit, Pops.\A Man among Men! response:	There are faces I never seen before...
context: Gildarts!\Natsu, is it? Been a while!\I told you to fight me!\Maybe another time.\I knew it! He's crazy strong!\You ain't changed a bit, Pops.\A Man among Men!\There are faces I never seen before... response:	Things sure have changed...
context: Natsu, is it? Been a while!\I told you to fight me!\Maybe another time.\I knew it! He's crazy strong!\You ain't changed a bit, Pops.\A Man among Men!\There are faces I never seen before...\Things sure have changed... response:	Gildarts!
context: I told you to fight me!\Maybe another time.\I knew it! He's crazy strong!\You ain't changed a bit, Pops.\A Man among Men!\There are faces I never seen before...\Things sure have changed...\Gildarts! response:	Oh, Master! Long time no see.
context: Maybe another time.\I knew it! He's crazy strong!\You ain't changed a bit, Pops.\A Man among Men!\There are faces I never seen before...\Things sure have changed...\Gildarts!\Oh, Master! Long time no see. response:	How did the job go?
context: I knew it! He's crazy strong!\You ain't changed a bit, Pops.\A Man among Men!\There are faces I never seen before...\Things sure have changed...\Gildarts!\Oh, Master! Long time no see.\How did the job go? response:	No good. It's impossible for me.
context: You ain't changed a bit, Pops.\A Man among Men!\There are faces I never seen before...\Things sure have changed...\Gildarts!\Oh, Master! Long time no see.\How did the job go?\No good. It's impossible for me. response:	You've got to be kidding me!
context: A Man among Men!\There are faces I never seen before...\Things sure have changed...\Gildarts!\Oh, Master! Long time no see.\How did the job go?\No good. It's impossible for me.\You've got to be kidding me! response:	The one and only Gildarts...
context: There are faces I never seen before...\Things sure have changed...\Gildarts!\Oh, Master! Long time no see.\How did the job go?\No good. It's impossible for me.\You've got to be kidding me!\The one and only Gildarts... response:	I can't believe it!
context: Things sure have changed...\Gildarts!\Oh, Master! Long time no see.\How did the job go?\No good. It's impossible for me.\You've got to be kidding me!\The one and only Gildarts...\I can't believe it! response:	Even Pops couldn't handle it?
context: Gildarts!\Oh, Master! Long time no see.\How did the job go?\No good. It's impossible for me.\You've got to be kidding me!\The one and only Gildarts...\I can't believe it!\Even Pops couldn't handle it? response:	Knowing when to withdraw is also being a Man!
context: Oh, Master! Long time no see.\How did the job go?\No good. It's impossible for me.\You've got to be kidding me!\The one and only Gildarts...\I can't believe it!\Even Pops couldn't handle it?\Knowing when to withdraw is also being a Man! response:	Impossible, even for Fairy Tail's strongest wizard?
context: How did the job go?\No good. It's impossible for me.\You've got to be kidding me!\The one and only Gildarts...\I can't believe it!\Even Pops couldn't handle it?\Knowing when to withdraw is also being a Man!\Impossible, even for Fairy Tail's strongest wizard? response:	What in the world is this hundred-year quest?
context: No good. It's impossible for me.\You've got to be kidding me!\The one and only Gildarts...\I can't believe it!\Even Pops couldn't handle it?\Knowing when to withdraw is also being a Man!\Impossible, even for Fairy Tail's strongest wizard?\What in the world is this hundred-year quest? response:	You aren't ready for a hundred-year quest.
context: You've got to be kidding me!\The one and only Gildarts...\I can't believe it!\Even Pops couldn't handle it?\Knowing when to withdraw is also being a Man!\Impossible, even for Fairy Tail's strongest wizard?\What in the world is this hundred-year quest?\You aren't ready for a hundred-year quest. response:	Don't even consider it.
context: The one and only Gildarts...\I can't believe it!\Even Pops couldn't handle it?\Knowing when to withdraw is also being a Man!\Impossible, even for Fairy Tail's strongest wizard?\What in the world is this hundred-year quest?\You aren't ready for a hundred-year quest.\Don't even consider it. response:	Do I look rarin' to go to you?
context: I can't believe it!\Even Pops couldn't handle it?\Knowing when to withdraw is also being a Man!\Impossible, even for Fairy Tail's strongest wizard?\What in the world is this hundred-year quest?\You aren't ready for a hundred-year quest.\Don't even consider it.\Do I look rarin' to go to you? response:	I see. Even you couldn't handle it?
context: Even Pops couldn't handle it?\Knowing when to withdraw is also being a Man!\Impossible, even for Fairy Tail's strongest wizard?\What in the world is this hundred-year quest?\You aren't ready for a hundred-year quest.\Don't even consider it.\Do I look rarin' to go to you?\I see. Even you couldn't handle it? response:	Sorry, this'll be bad for our reputation.
context: Knowing when to withdraw is also being a Man!\Impossible, even for Fairy Tail's strongest wizard?\What in the world is this hundred-year quest?\You aren't ready for a hundred-year quest.\Don't even consider it.\Do I look rarin' to go to you?\I see. Even you couldn't handle it?\Sorry, this'll be bad for our reputation. response:	No, I'm just happy you came back safe and sound.
context: Impossible, even for Fairy Tail's strongest wizard?\What in the world is this hundred-year quest?\You aren't ready for a hundred-year quest.\Don't even consider it.\Do I look rarin' to go to you?\I see. Even you couldn't handle it?\Sorry, this'll be bad for our reputation.\No, I'm just happy you came back safe and sound. response:	You're the first one I know that's ever come back from this quest alive.
context: What in the world is this hundred-year quest?\You aren't ready for a hundred-year quest.\Don't even consider it.\Do I look rarin' to go to you?\I see. Even you couldn't handle it?\Sorry, this'll be bad for our reputation.\No, I'm just happy you came back safe and sound.\You're the first one I know that's ever come back from this quest alive. response:	I wanna get some rest, so I'm heading home.
context: You aren't ready for a hundred-year quest.\Don't even consider it.\Do I look rarin' to go to you?\I see. Even you couldn't handle it?\Sorry, this'll be bad for our reputation.\No, I'm just happy you came back safe and sound.\You're the first one I know that's ever come back from this quest alive.\I wanna get some rest, so I'm heading home. response:	Man, I'm beat...
context: Don't even consider it.\Do I look rarin' to go to you?\I see. Even you couldn't handle it?\Sorry, this'll be bad for our reputation.\No, I'm just happy you came back safe and sound.\You're the first one I know that's ever come back from this quest alive.\I wanna get some rest, so I'm heading home.\Man, I'm beat... response:	Natsu!
context: Do I look rarin' to go to you?\I see. Even you couldn't handle it?\Sorry, this'll be bad for our reputation.\No, I'm just happy you came back safe and sound.\You're the first one I know that's ever come back from this quest alive.\I wanna get some rest, so I'm heading home.\Man, I'm beat...\Natsu! response:	Come to my place later. I've brought souvenirs!
context: I see. Even you couldn't handle it?\Sorry, this'll be bad for our reputation.\No, I'm just happy you came back safe and sound.\You're the first one I know that's ever come back from this quest alive.\I wanna get some rest, so I'm heading home.\Man, I'm beat...\Natsu!\Come to my place later. I've brought souvenirs! response:	Now, pardon me.
context: Sorry, this'll be bad for our reputation.\No, I'm just happy you came back safe and sound.\You're the first one I know that's ever come back from this quest alive.\I wanna get some rest, so I'm heading home.\Man, I'm beat...\Natsu!\Come to my place later. I've brought souvenirs!\Now, pardon me. response:	My, my...
