context: It's summer. response:	Summer means vacation.
context: The beach?\Yeah, I was just talking with my friends\about how it'd be great if we all went to the beach with your friends.\Sunakawa-kun... Invite Sunakawa-kun!\Would Sunakawa-kun come, too?\The beach sounds great!\Okay, let's go!\My Ocean response:	Huh?
context: Yeah, I was just talking with my friends\about how it'd be great if we all went to the beach with your friends.\Sunakawa-kun... Invite Sunakawa-kun!\Would Sunakawa-kun come, too?\The beach sounds great!\Okay, let's go!\My Ocean\Huh? response:	Go to the beach with Takeo's girlfriend and her friends?
context: about how it'd be great if we all went to the beach with your friends.\Sunakawa-kun... Invite Sunakawa-kun!\Would Sunakawa-kun come, too?\The beach sounds great!\Okay, let's go!\My Ocean\Huh?\Go to the beach with Takeo's girlfriend and her friends? response:	Sure, I'll go!
context: Sunakawa-kun... Invite Sunakawa-kun!\Would Sunakawa-kun come, too?\The beach sounds great!\Okay, let's go!\My Ocean\Huh?\Go to the beach with Takeo's girlfriend and her friends?\Sure, I'll go! response:	Me, too!
context: Would Sunakawa-kun come, too?\The beach sounds great!\Okay, let's go!\My Ocean\Huh?\Go to the beach with Takeo's girlfriend and her friends?\Sure, I'll go!\Me, too! response:	Let's go!
context: The beach sounds great!\Okay, let's go!\My Ocean\Huh?\Go to the beach with Takeo's girlfriend and her friends?\Sure, I'll go!\Me, too!\Let's go! response:	When is it?
context: Okay, let's go!\My Ocean\Huh?\Go to the beach with Takeo's girlfriend and her friends?\Sure, I'll go!\Me, too!\Let's go!\When is it? response:	The ocean, huh?
context: My Ocean\Huh?\Go to the beach with Takeo's girlfriend and her friends?\Sure, I'll go!\Me, too!\Let's go!\When is it?\The ocean, huh? response:	It's wide and vast.
context: Huh?\Go to the beach with Takeo's girlfriend and her friends?\Sure, I'll go!\Me, too!\Let's go!\When is it?\The ocean, huh?\It's wide and vast. response:	It's a nice place!
context: Go to the beach with Takeo's girlfriend and her friends?\Sure, I'll go!\Me, too!\Let's go!\When is it?\The ocean, huh?\It's wide and vast.\It's a nice place! response:	Suna, you're coming, whether you want to or not.
context: Sure, I'll go!\Me, too!\Let's go!\When is it?\The ocean, huh?\It's wide and vast.\It's a nice place!\Suna, you're coming, whether you want to or not. response:	Huh?
context: Me, too!\Let's go!\When is it?\The ocean, huh?\It's wide and vast.\It's a nice place!\Suna, you're coming, whether you want to or not.\Huh? response:	I'm so looking forward to seeing girls in swimsuits...
context: Let's go!\When is it?\The ocean, huh?\It's wide and vast.\It's a nice place!\Suna, you're coming, whether you want to or not.\Huh?\I'm so looking forward to seeing girls in swimsuits... response:	Don't come!
context: When is it?\The ocean, huh?\It's wide and vast.\It's a nice place!\Suna, you're coming, whether you want to or not.\Huh?\I'm so looking forward to seeing girls in swimsuits...\Don't come! response:	Huh?
context: The ocean, huh?\It's wide and vast.\It's a nice place!\Suna, you're coming, whether you want to or not.\Huh?\I'm so looking forward to seeing girls in swimsuits...\Don't come!\Huh? response:	You aren't coming!
context: It's wide and vast.\It's a nice place!\Suna, you're coming, whether you want to or not.\Huh?\I'm so looking forward to seeing girls in swimsuits...\Don't come!\Huh?\You aren't coming! response:	Why not?
context: It's a nice place!\Suna, you're coming, whether you want to or not.\Huh?\I'm so looking forward to seeing girls in swimsuits...\Don't come!\Huh?\You aren't coming!\Why not? response:	Congratulations Big Catch
context: Suna, you're coming, whether you want to or not.\Huh?\I'm so looking forward to seeing girls in swimsuits...\Don't come!\Huh?\You aren't coming!\Why not?\Congratulations Big Catch response:	Swimsuits are for swimming!
context: Huh?\I'm so looking forward to seeing girls in swimsuits...\Don't come!\Huh?\You aren't coming!\Why not?\Congratulations Big Catch\Swimsuits are for swimming! response:	Huh?
context: I'm so looking forward to seeing girls in swimsuits...\Don't come!\Huh?\You aren't coming!\Why not?\Congratulations Big Catch\Swimsuits are for swimming!\Huh? response:	What are you talking about?
context: Don't come!\Huh?\You aren't coming!\Why not?\Congratulations Big Catch\Swimsuits are for swimming!\Huh?\What are you talking about? response:	If you go to a beach, it's all about watching girls in swimsuits, of course.
context: Huh?\You aren't coming!\Why not?\Congratulations Big Catch\Swimsuits are for swimming!\Huh?\What are you talking about?\If you go to a beach, it's all about watching girls in swimsuits, of course. response:	Yeah, totally.
context: You aren't coming!\Why not?\Congratulations Big Catch\Swimsuits are for swimming!\Huh?\What are you talking about?\If you go to a beach, it's all about watching girls in swimsuits, of course.\Yeah, totally. response:	Aren't you looking forward to seeing your girlfriend in a swimsuit?
context: Why not?\Congratulations Big Catch\Swimsuits are for swimming!\Huh?\What are you talking about?\If you go to a beach, it's all about watching girls in swimsuits, of course.\Yeah, totally.\Aren't you looking forward to seeing your girlfriend in a swimsuit? response:	Yamato's coming in a swimsuit just to swim.
context: Congratulations Big Catch\Swimsuits are for swimming!\Huh?\What are you talking about?\If you go to a beach, it's all about watching girls in swimsuits, of course.\Yeah, totally.\Aren't you looking forward to seeing your girlfriend in a swimsuit?\Yamato's coming in a swimsuit just to swim. response:	I'll never turn into a scumbag that'd stare at her like a perv!
context: Swimsuits are for swimming!\Huh?\What are you talking about?\If you go to a beach, it's all about watching girls in swimsuits, of course.\Yeah, totally.\Aren't you looking forward to seeing your girlfriend in a swimsuit?\Yamato's coming in a swimsuit just to swim.\I'll never turn into a scumbag that'd stare at her like a perv! response:	Don't worry, Yamato.
context: Huh?\What are you talking about?\If you go to a beach, it's all about watching girls in swimsuits, of course.\Yeah, totally.\Aren't you looking forward to seeing your girlfriend in a swimsuit?\Yamato's coming in a swimsuit just to swim.\I'll never turn into a scumbag that'd stare at her like a perv!\Don't worry, Yamato. response:	It won't matter to me what you wear.
context: What are you talking about?\If you go to a beach, it's all about watching girls in swimsuits, of course.\Yeah, totally.\Aren't you looking forward to seeing your girlfriend in a swimsuit?\Yamato's coming in a swimsuit just to swim.\I'll never turn into a scumbag that'd stare at her like a perv!\Don't worry, Yamato.\It won't matter to me what you wear. response:	Which one are you gonna choose?
context: If you go to a beach, it's all about watching girls in swimsuits, of course.\Yeah, totally.\Aren't you looking forward to seeing your girlfriend in a swimsuit?\Yamato's coming in a swimsuit just to swim.\I'll never turn into a scumbag that'd stare at her like a perv!\Don't worry, Yamato.\It won't matter to me what you wear.\Which one are you gonna choose? response:	You're lucky! You have a big rack!
context: Yeah, totally.\Aren't you looking forward to seeing your girlfriend in a swimsuit?\Yamato's coming in a swimsuit just to swim.\I'll never turn into a scumbag that'd stare at her like a perv!\Don't worry, Yamato.\It won't matter to me what you wear.\Which one are you gonna choose?\You're lucky! You have a big rack! response:	You have nice legs, too.
context: Aren't you looking forward to seeing your girlfriend in a swimsuit?\Yamato's coming in a swimsuit just to swim.\I'll never turn into a scumbag that'd stare at her like a perv!\Don't worry, Yamato.\It won't matter to me what you wear.\Which one are you gonna choose?\You're lucky! You have a big rack!\You have nice legs, too. response:	You have a nice figure!
context: Yamato's coming in a swimsuit just to swim.\I'll never turn into a scumbag that'd stare at her like a perv!\Don't worry, Yamato.\It won't matter to me what you wear.\Which one are you gonna choose?\You're lucky! You have a big rack!\You have nice legs, too.\You have a nice figure! response:	Oh, this is cute.
context: I'll never turn into a scumbag that'd stare at her like a perv!\Don't worry, Yamato.\It won't matter to me what you wear.\Which one are you gonna choose?\You're lucky! You have a big rack!\You have nice legs, too.\You have a nice figure!\Oh, this is cute. response:	You're right.
context: Don't worry, Yamato.\It won't matter to me what you wear.\Which one are you gonna choose?\You're lucky! You have a big rack!\You have nice legs, too.\You have a nice figure!\Oh, this is cute.\You're right. response:	What about this one for me?
context: It won't matter to me what you wear.\Which one are you gonna choose?\You're lucky! You have a big rack!\You have nice legs, too.\You have a nice figure!\Oh, this is cute.\You're right.\What about this one for me? response:	A high-cut...
context: Which one are you gonna choose?\You're lucky! You have a big rack!\You have nice legs, too.\You have a nice figure!\Oh, this is cute.\You're right.\What about this one for me?\A high-cut... response:	Oh, I guess that's too much...
context: You're lucky! You have a big rack!\You have nice legs, too.\You have a nice figure!\Oh, this is cute.\You're right.\What about this one for me?\A high-cut...\Oh, I guess that's too much... response:	How about this one, then?
context: You have nice legs, too.\You have a nice figure!\Oh, this is cute.\You're right.\What about this one for me?\A high-cut...\Oh, I guess that's too much...\How about this one, then? response:	Oh, then... Maybe this?
context: You have a nice figure!\Oh, this is cute.\You're right.\What about this one for me?\A high-cut...\Oh, I guess that's too much...\How about this one, then?\Oh, then... Maybe this? response:	What's wrong, Rinko?
context: Oh, this is cute.\You're right.\What about this one for me?\A high-cut...\Oh, I guess that's too much...\How about this one, then?\Oh, then... Maybe this?\What's wrong, Rinko? response:	Huh?
context: You're right.\What about this one for me?\A high-cut...\Oh, I guess that's too much...\How about this one, then?\Oh, then... Maybe this?\What's wrong, Rinko?\Huh? response:	But I mean, Takeo-kun's so hot.
context: What about this one for me?\A high-cut...\Oh, I guess that's too much...\How about this one, then?\Oh, then... Maybe this?\What's wrong, Rinko?\Huh?\But I mean, Takeo-kun's so hot. response:	Huh?
context: A high-cut...\Oh, I guess that's too much...\How about this one, then?\Oh, then... Maybe this?\What's wrong, Rinko?\Huh?\But I mean, Takeo-kun's so hot.\Huh? response:	Yeah, he is...
context: Oh, I guess that's too much...\How about this one, then?\Oh, then... Maybe this?\What's wrong, Rinko?\Huh?\But I mean, Takeo-kun's so hot.\Huh?\Yeah, he is... response:	Of course he is to Rinko...
context: How about this one, then?\Oh, then... Maybe this?\What's wrong, Rinko?\Huh?\But I mean, Takeo-kun's so hot.\Huh?\Yeah, he is...\Of course he is to Rinko... response:	Compared to him, I'm like a stick.
context: Oh, then... Maybe this?\What's wrong, Rinko?\Huh?\But I mean, Takeo-kun's so hot.\Huh?\Yeah, he is...\Of course he is to Rinko...\Compared to him, I'm like a stick. response:	I wouldn't go that far.
context: What's wrong, Rinko?\Huh?\But I mean, Takeo-kun's so hot.\Huh?\Yeah, he is...\Of course he is to Rinko...\Compared to him, I'm like a stick.\I wouldn't go that far. response:	I don't have a good figure like him.
context: Huh?\But I mean, Takeo-kun's so hot.\Huh?\Yeah, he is...\Of course he is to Rinko...\Compared to him, I'm like a stick.\I wouldn't go that far.\I don't have a good figure like him. response:	Not sure you'd call him hot.
context: But I mean, Takeo-kun's so hot.\Huh?\Yeah, he is...\Of course he is to Rinko...\Compared to him, I'm like a stick.\I wouldn't go that far.\I don't have a good figure like him.\Not sure you'd call him hot. response:	First of all, he isn't built like a normal high school first-year.
context: Huh?\Yeah, he is...\Of course he is to Rinko...\Compared to him, I'm like a stick.\I wouldn't go that far.\I don't have a good figure like him.\Not sure you'd call him hot.\First of all, he isn't built like a normal high school first-year. response:	He has ridiculous muscles.
context: Yeah, he is...\Of course he is to Rinko...\Compared to him, I'm like a stick.\I wouldn't go that far.\I don't have a good figure like him.\Not sure you'd call him hot.\First of all, he isn't built like a normal high school first-year.\He has ridiculous muscles. response:	He's like a heavy weightlifter in the Olympics.
context: Of course he is to Rinko...\Compared to him, I'm like a stick.\I wouldn't go that far.\I don't have a good figure like him.\Not sure you'd call him hot.\First of all, he isn't built like a normal high school first-year.\He has ridiculous muscles.\He's like a heavy weightlifter in the Olympics. response:	But I wonder what your boyfriend's going to wear.
context: Compared to him, I'm like a stick.\I wouldn't go that far.\I don't have a good figure like him.\Not sure you'd call him hot.\First of all, he isn't built like a normal high school first-year.\He has ridiculous muscles.\He's like a heavy weightlifter in the Olympics.\But I wonder what your boyfriend's going to wear. response:	What if he brings a school swimsuit?
context: I wouldn't go that far.\I don't have a good figure like him.\Not sure you'd call him hot.\First of all, he isn't built like a normal high school first-year.\He has ridiculous muscles.\He's like a heavy weightlifter in the Olympics.\But I wonder what your boyfriend's going to wear.\What if he brings a school swimsuit? response:	Totally possible!
context: I don't have a good figure like him.\Not sure you'd call him hot.\First of all, he isn't built like a normal high school first-year.\He has ridiculous muscles.\He's like a heavy weightlifter in the Olympics.\But I wonder what your boyfriend's going to wear.\What if he brings a school swimsuit?\Totally possible! response:	What if it's like the competitive kind?
context: Not sure you'd call him hot.\First of all, he isn't built like a normal high school first-year.\He has ridiculous muscles.\He's like a heavy weightlifter in the Olympics.\But I wonder what your boyfriend's going to wear.\What if he brings a school swimsuit?\Totally possible!\What if it's like the competitive kind? response:	The really tiny ones!
context: First of all, he isn't built like a normal high school first-year.\He has ridiculous muscles.\He's like a heavy weightlifter in the Olympics.\But I wonder what your boyfriend's going to wear.\What if he brings a school swimsuit?\Totally possible!\What if it's like the competitive kind?\The really tiny ones! response:	I bet he'll swim a ton.
context: He has ridiculous muscles.\He's like a heavy weightlifter in the Olympics.\But I wonder what your boyfriend's going to wear.\What if he brings a school swimsuit?\Totally possible!\What if it's like the competitive kind?\The really tiny ones!\I bet he'll swim a ton. response:	So hot!
context: He's like a heavy weightlifter in the Olympics.\But I wonder what your boyfriend's going to wear.\What if he brings a school swimsuit?\Totally possible!\What if it's like the competitive kind?\The really tiny ones!\I bet he'll swim a ton.\So hot! response:	So, anyway...
context: But I wonder what your boyfriend's going to wear.\What if he brings a school swimsuit?\Totally possible!\What if it's like the competitive kind?\The really tiny ones!\I bet he'll swim a ton.\So hot!\So, anyway... response:	He always makes my heart skip a beat,
context: What if he brings a school swimsuit?\Totally possible!\What if it's like the competitive kind?\The really tiny ones!\I bet he'll swim a ton.\So hot!\So, anyway...\He always makes my heart skip a beat, response:	so I want to make his heart skip a beat!
context: Totally possible!\What if it's like the competitive kind?\The really tiny ones!\I bet he'll swim a ton.\So hot!\So, anyway...\He always makes my heart skip a beat,\so I want to make his heart skip a beat! response:	I'm going to give it my best shot!!
context: What if it's like the competitive kind?\The really tiny ones!\I bet he'll swim a ton.\So hot!\So, anyway...\He always makes my heart skip a beat,\so I want to make his heart skip a beat!\I'm going to give it my best shot!! response:	I get it now!
context: The really tiny ones!\I bet he'll swim a ton.\So hot!\So, anyway...\He always makes my heart skip a beat,\so I want to make his heart skip a beat!\I'm going to give it my best shot!!\I get it now! response:	Of course!
context: I bet he'll swim a ton.\So hot!\So, anyway...\He always makes my heart skip a beat,\so I want to make his heart skip a beat!\I'm going to give it my best shot!!\I get it now!\Of course! response:	Of course you want your boyfriend's heart to skip a beat.
context: So hot!\So, anyway...\He always makes my heart skip a beat,\so I want to make his heart skip a beat!\I'm going to give it my best shot!!\I get it now!\Of course!\Of course you want your boyfriend's heart to skip a beat. response:	You want him to think you're cute.
context: So, anyway...\He always makes my heart skip a beat,\so I want to make his heart skip a beat!\I'm going to give it my best shot!!\I get it now!\Of course!\Of course you want your boyfriend's heart to skip a beat.\You want him to think you're cute. response:	All right, let's help Rinko pick out her swimsuit!
context: He always makes my heart skip a beat,\so I want to make his heart skip a beat!\I'm going to give it my best shot!!\I get it now!\Of course!\Of course you want your boyfriend's heart to skip a beat.\You want him to think you're cute.\All right, let's help Rinko pick out her swimsuit! response:	Yeah!
context: so I want to make his heart skip a beat!\I'm going to give it my best shot!!\I get it now!\Of course!\Of course you want your boyfriend's heart to skip a beat.\You want him to think you're cute.\All right, let's help Rinko pick out her swimsuit!\Yeah! response:	This one's nice.
context: I'm going to give it my best shot!!\I get it now!\Of course!\Of course you want your boyfriend's heart to skip a beat.\You want him to think you're cute.\All right, let's help Rinko pick out her swimsuit!\Yeah!\This one's nice. response:	Nah!
context: I get it now!\Of course!\Of course you want your boyfriend's heart to skip a beat.\You want him to think you're cute.\All right, let's help Rinko pick out her swimsuit!\Yeah!\This one's nice.\Nah! response:	What about this one?
context: Of course!\Of course you want your boyfriend's heart to skip a beat.\You want him to think you're cute.\All right, let's help Rinko pick out her swimsuit!\Yeah!\This one's nice.\Nah!\What about this one? response:	Those bottom frills are definitely gonna turn up.
context: Of course you want your boyfriend's heart to skip a beat.\You want him to think you're cute.\All right, let's help Rinko pick out her swimsuit!\Yeah!\This one's nice.\Nah!\What about this one?\Those bottom frills are definitely gonna turn up. response:	What about this one?
context: You want him to think you're cute.\All right, let's help Rinko pick out her swimsuit!\Yeah!\This one's nice.\Nah!\What about this one?\Those bottom frills are definitely gonna turn up.\What about this one? response:	Nice, go for it!
context: All right, let's help Rinko pick out her swimsuit!\Yeah!\This one's nice.\Nah!\What about this one?\Those bottom frills are definitely gonna turn up.\What about this one?\Nice, go for it! response:	Suna, I'm coming in.
context: Yeah!\This one's nice.\Nah!\What about this one?\Those bottom frills are definitely gonna turn up.\What about this one?\Nice, go for it!\Suna, I'm coming in. response:	You're already in here, dude.
context: This one's nice.\Nah!\What about this one?\Those bottom frills are definitely gonna turn up.\What about this one?\Nice, go for it!\Suna, I'm coming in.\You're already in here, dude. response:	What, are you running away from home?
context: Nah!\What about this one?\Those bottom frills are definitely gonna turn up.\What about this one?\Nice, go for it!\Suna, I'm coming in.\You're already in here, dude.\What, are you running away from home? response:	I was packing up for tomorrow.
context: What about this one?\Those bottom frills are definitely gonna turn up.\What about this one?\Nice, go for it!\Suna, I'm coming in.\You're already in here, dude.\What, are you running away from home?\I was packing up for tomorrow. response:	I want to go over what I have, to avoid doubling up on things.
context: Those bottom frills are definitely gonna turn up.\What about this one?\Nice, go for it!\Suna, I'm coming in.\You're already in here, dude.\What, are you running away from home?\I was packing up for tomorrow.\I want to go over what I have, to avoid doubling up on things. response:	I have enough canteens to cook rice, and tents for everyone.
context: What about this one?\Nice, go for it!\Suna, I'm coming in.\You're already in here, dude.\What, are you running away from home?\I was packing up for tomorrow.\I want to go over what I have, to avoid doubling up on things.\I have enough canteens to cook rice, and tents for everyone. response:	Aren't we going to the beach to swim?
context: Nice, go for it!\Suna, I'm coming in.\You're already in here, dude.\What, are you running away from home?\I was packing up for tomorrow.\I want to go over what I have, to avoid doubling up on things.\I have enough canteens to cook rice, and tents for everyone.\Aren't we going to the beach to swim? response:	It's possible that we'll get stranded.
context: Suna, I'm coming in.\You're already in here, dude.\What, are you running away from home?\I was packing up for tomorrow.\I want to go over what I have, to avoid doubling up on things.\I have enough canteens to cook rice, and tents for everyone.\Aren't we going to the beach to swim?\It's possible that we'll get stranded. response:	There's nothing to lose by preparing for a rainy day.
context: You're already in here, dude.\What, are you running away from home?\I was packing up for tomorrow.\I want to go over what I have, to avoid doubling up on things.\I have enough canteens to cook rice, and tents for everyone.\Aren't we going to the beach to swim?\It's possible that we'll get stranded.\There's nothing to lose by preparing for a rainy day. response:	I don't think there'll be one.
context: What, are you running away from home?\I was packing up for tomorrow.\I want to go over what I have, to avoid doubling up on things.\I have enough canteens to cook rice, and tents for everyone.\Aren't we going to the beach to swim?\It's possible that we'll get stranded.\There's nothing to lose by preparing for a rainy day.\I don't think there'll be one. response:	It's Yamato.
context: I was packing up for tomorrow.\I want to go over what I have, to avoid doubling up on things.\I have enough canteens to cook rice, and tents for everyone.\Aren't we going to the beach to swim?\It's possible that we'll get stranded.\There's nothing to lose by preparing for a rainy day.\I don't think there'll be one.\It's Yamato. response:	Hello?
context: I want to go over what I have, to avoid doubling up on things.\I have enough canteens to cook rice, and tents for everyone.\Aren't we going to the beach to swim?\It's possible that we'll get stranded.\There's nothing to lose by preparing for a rainy day.\I don't think there'll be one.\It's Yamato.\Hello? response:	Oh, Takeo-kun? They're forecasting a typhoon.
context: I have enough canteens to cook rice, and tents for everyone.\Aren't we going to the beach to swim?\It's possible that we'll get stranded.\There's nothing to lose by preparing for a rainy day.\I don't think there'll be one.\It's Yamato.\Hello?\Oh, Takeo-kun? They're forecasting a typhoon. response:	Do you think we'll be okay tomorrow?
context: Aren't we going to the beach to swim?\It's possible that we'll get stranded.\There's nothing to lose by preparing for a rainy day.\I don't think there'll be one.\It's Yamato.\Hello?\Oh, Takeo-kun? They're forecasting a typhoon.\Do you think we'll be okay tomorrow? response:	A typhoon?
context: It's possible that we'll get stranded.\There's nothing to lose by preparing for a rainy day.\I don't think there'll be one.\It's Yamato.\Hello?\Oh, Takeo-kun? They're forecasting a typhoon.\Do you think we'll be okay tomorrow?\A typhoon? response:	You always bring good weather with you, so it should be fine.
context: There's nothing to lose by preparing for a rainy day.\I don't think there'll be one.\It's Yamato.\Hello?\Oh, Takeo-kun? They're forecasting a typhoon.\Do you think we'll be okay tomorrow?\A typhoon?\You always bring good weather with you, so it should be fine. response:	Suna says we don't need to worry, because I bring good weather.
context: I don't think there'll be one.\It's Yamato.\Hello?\Oh, Takeo-kun? They're forecasting a typhoon.\Do you think we'll be okay tomorrow?\A typhoon?\You always bring good weather with you, so it should be fine.\Suna says we don't need to worry, because I bring good weather. response:	Oh, I see!
context: It's Yamato.\Hello?\Oh, Takeo-kun? They're forecasting a typhoon.\Do you think we'll be okay tomorrow?\A typhoon?\You always bring good weather with you, so it should be fine.\Suna says we don't need to worry, because I bring good weather.\Oh, I see! response:	I'm at Suna's place getting ready for tomorrow.
context: Hello?\Oh, Takeo-kun? They're forecasting a typhoon.\Do you think we'll be okay tomorrow?\A typhoon?\You always bring good weather with you, so it should be fine.\Suna says we don't need to worry, because I bring good weather.\Oh, I see!\I'm at Suna's place getting ready for tomorrow. response:	I'm getting ready, too.
context: Oh, Takeo-kun? They're forecasting a typhoon.\Do you think we'll be okay tomorrow?\A typhoon?\You always bring good weather with you, so it should be fine.\Suna says we don't need to worry, because I bring good weather.\Oh, I see!\I'm at Suna's place getting ready for tomorrow.\I'm getting ready, too. response:	I'm really looking forward to tomorrow.
context: Do you think we'll be okay tomorrow?\A typhoon?\You always bring good weather with you, so it should be fine.\Suna says we don't need to worry, because I bring good weather.\Oh, I see!\I'm at Suna's place getting ready for tomorrow.\I'm getting ready, too.\I'm really looking forward to tomorrow. response:	Yeah, same here!
context: A typhoon?\You always bring good weather with you, so it should be fine.\Suna says we don't need to worry, because I bring good weather.\Oh, I see!\I'm at Suna's place getting ready for tomorrow.\I'm getting ready, too.\I'm really looking forward to tomorrow.\Yeah, same here! response:	See you tomorrow, then.
context: You always bring good weather with you, so it should be fine.\Suna says we don't need to worry, because I bring good weather.\Oh, I see!\I'm at Suna's place getting ready for tomorrow.\I'm getting ready, too.\I'm really looking forward to tomorrow.\Yeah, same here!\See you tomorrow, then. response:	Yeah, see you.
context: Suna says we don't need to worry, because I bring good weather.\Oh, I see!\I'm at Suna's place getting ready for tomorrow.\I'm getting ready, too.\I'm really looking forward to tomorrow.\Yeah, same here!\See you tomorrow, then.\Yeah, see you. response:	Takeo...
context: Oh, I see!\I'm at Suna's place getting ready for tomorrow.\I'm getting ready, too.\I'm really looking forward to tomorrow.\Yeah, same here!\See you tomorrow, then.\Yeah, see you.\Takeo... response:	Hmm?
context: I'm at Suna's place getting ready for tomorrow.\I'm getting ready, too.\I'm really looking forward to tomorrow.\Yeah, same here!\See you tomorrow, then.\Yeah, see you.\Takeo...\Hmm? response:	What's in that?
context: I'm getting ready, too.\I'm really looking forward to tomorrow.\Yeah, same here!\See you tomorrow, then.\Yeah, see you.\Takeo...\Hmm?\What's in that? response:	Watermelons.
context: I'm really looking forward to tomorrow.\Yeah, same here!\See you tomorrow, then.\Yeah, see you.\Takeo...\Hmm?\What's in that?\Watermelons. response:	We'll be doing the watermelon game, won't we?
context: Yeah, same here!\See you tomorrow, then.\Yeah, see you.\Takeo...\Hmm?\What's in that?\Watermelons.\We'll be doing the watermelon game, won't we? response:	But isn't that a bit much? How many did you pack?
context: See you tomorrow, then.\Yeah, see you.\Takeo...\Hmm?\What's in that?\Watermelons.\We'll be doing the watermelon game, won't we?\But isn't that a bit much? How many did you pack? response:	Also, shouldn't you wait till we get there to inflate the floats and stuff?
context: Yeah, see you.\Takeo...\Hmm?\What's in that?\Watermelons.\We'll be doing the watermelon game, won't we?\But isn't that a bit much? How many did you pack?\Also, shouldn't you wait till we get there to inflate the floats and stuff? response:	It takes up too much space.
