context: Coffee Shop Hitotose response:	I'm back.
context: When I think of a girl like you who can't speak becoming an actress,\it worries me so...\Mom...\So, to see you acting, I'll be coming to visit you soon!\Coming to... visit soon?\Visit?\Hina-chan?\What?! response:	We'll Have a Training Camp
context: it worries me so...\Mom...\So, to see you acting, I'll be coming to visit you soon!\Coming to... visit soon?\Visit?\Hina-chan?\What?!\We'll Have a Training Camp response:	I can't believe it... Mom is coming here?
context: Mom...\So, to see you acting, I'll be coming to visit you soon!\Coming to... visit soon?\Visit?\Hina-chan?\What?!\We'll Have a Training Camp\I can't believe it... Mom is coming here? response:	Hina-chan, what's wrong?
context: So, to see you acting, I'll be coming to visit you soon!\Coming to... visit soon?\Visit?\Hina-chan?\What?!\We'll Have a Training Camp\I can't believe it... Mom is coming here?\Hina-chan, what's wrong? response:	N-N-Nothing!
context: Coming to... visit soon?\Visit?\Hina-chan?\What?!\We'll Have a Training Camp\I can't believe it... Mom is coming here?\Hina-chan, what's wrong?\N-N-Nothing! response:	Wh-What do I do?
context: Visit?\Hina-chan?\What?!\We'll Have a Training Camp\I can't believe it... Mom is coming here?\Hina-chan, what's wrong?\N-N-Nothing!\Wh-What do I do? response:	Mom's coming to see me act?
context: Hina-chan?\What?!\We'll Have a Training Camp\I can't believe it... Mom is coming here?\Hina-chan, what's wrong?\N-N-Nothing!\Wh-What do I do?\Mom's coming to see me act? response:	I'll get nervous and turn into a scarecrow for sure!
context: What?!\We'll Have a Training Camp\I can't believe it... Mom is coming here?\Hina-chan, what's wrong?\N-N-Nothing!\Wh-What do I do?\Mom's coming to see me act?\I'll get nervous and turn into a scarecrow for sure! response:	I haven't even been in any real performances since the culture festival...
context: We'll Have a Training Camp\I can't believe it... Mom is coming here?\Hina-chan, what's wrong?\N-N-Nothing!\Wh-What do I do?\Mom's coming to see me act?\I'll get nervous and turn into a scarecrow for sure!\I haven't even been in any real performances since the culture festival... response:	Oh, I know!
context: I can't believe it... Mom is coming here?\Hina-chan, what's wrong?\N-N-Nothing!\Wh-What do I do?\Mom's coming to see me act?\I'll get nervous and turn into a scarecrow for sure!\I haven't even been in any real performances since the culture festival...\Oh, I know! response:	I'll just have to let her see me working in the coffee shop
context: Hina-chan, what's wrong?\N-N-Nothing!\Wh-What do I do?\Mom's coming to see me act?\I'll get nervous and turn into a scarecrow for sure!\I haven't even been in any real performances since the culture festival...\Oh, I know!\I'll just have to let her see me working in the coffee shop response:	to give her peace of mind...
context: N-N-Nothing!\Wh-What do I do?\Mom's coming to see me act?\I'll get nervous and turn into a scarecrow for sure!\I haven't even been in any real performances since the culture festival...\Oh, I know!\I'll just have to let her see me working in the coffee shop\to give her peace of mind... response:	My, what a stylish costume!
context: Wh-What do I do?\Mom's coming to see me act?\I'll get nervous and turn into a scarecrow for sure!\I haven't even been in any real performances since the culture festival...\Oh, I know!\I'll just have to let her see me working in the coffee shop\to give her peace of mind...\My, what a stylish costume! response:	Look this way!
context: Mom's coming to see me act?\I'll get nervous and turn into a scarecrow for sure!\I haven't even been in any real performances since the culture festival...\Oh, I know!\I'll just have to let her see me working in the coffee shop\to give her peace of mind...\My, what a stylish costume!\Look this way! response:	No way! That'd be even more embarrassing!
context: I'll get nervous and turn into a scarecrow for sure!\I haven't even been in any real performances since the culture festival...\Oh, I know!\I'll just have to let her see me working in the coffee shop\to give her peace of mind...\My, what a stylish costume!\Look this way!\No way! That'd be even more embarrassing! response:	Hina-chan?
context: I haven't even been in any real performances since the culture festival...\Oh, I know!\I'll just have to let her see me working in the coffee shop\to give her peace of mind...\My, what a stylish costume!\Look this way!\No way! That'd be even more embarrassing!\Hina-chan? response:	When I looked at the flowerbed at school today, there were some flowers that weren't there yesterday. I wondered if someone had planted them. I wonder if it looked like this. Or this.
context: Oh, I know!\I'll just have to let her see me working in the coffee shop\to give her peace of mind...\My, what a stylish costume!\Look this way!\No way! That'd be even more embarrassing!\Hina-chan?\When I looked at the flowerbed at school today, there were some flowers that weren't there yesterday. I wondered if someone had planted them. I wonder if it looked like this. Or this. response:	The next time I have a sketch assignment in class, I think I'll sketch some flowers from the flowerbed. I wonder if there will be different flowers then. How exciting. I hope there are sunflowers in the summer.
context: I'll just have to let her see me working in the coffee shop\to give her peace of mind...\My, what a stylish costume!\Look this way!\No way! That'd be even more embarrassing!\Hina-chan?\When I looked at the flowerbed at school today, there were some flowers that weren't there yesterday. I wondered if someone had planted them. I wonder if it looked like this. Or this.\The next time I have a sketch assignment in class, I think I'll sketch some flowers from the flowerbed. I wonder if there will be different flowers then. How exciting. I hope there are sunflowers in the summer. response:	You're working?
context: to give her peace of mind...\My, what a stylish costume!\Look this way!\No way! That'd be even more embarrassing!\Hina-chan?\When I looked at the flowerbed at school today, there were some flowers that weren't there yesterday. I wondered if someone had planted them. I wonder if it looked like this. Or this.\The next time I have a sketch assignment in class, I think I'll sketch some flowers from the flowerbed. I wonder if there will be different flowers then. How exciting. I hope there are sunflowers in the summer.\You're working? response:	Yeah, a bit.
context: My, what a stylish costume!\Look this way!\No way! That'd be even more embarrassing!\Hina-chan?\When I looked at the flowerbed at school today, there were some flowers that weren't there yesterday. I wondered if someone had planted them. I wonder if it looked like this. Or this.\The next time I have a sketch assignment in class, I think I'll sketch some flowers from the flowerbed. I wonder if there will be different flowers then. How exciting. I hope there are sunflowers in the summer.\You're working?\Yeah, a bit. response:	Oh, right... See this?
context: Look this way!\No way! That'd be even more embarrassing!\Hina-chan?\When I looked at the flowerbed at school today, there were some flowers that weren't there yesterday. I wondered if someone had planted them. I wonder if it looked like this. Or this.\The next time I have a sketch assignment in class, I think I'll sketch some flowers from the flowerbed. I wonder if there will be different flowers then. How exciting. I hope there are sunflowers in the summer.\You're working?\Yeah, a bit.\Oh, right... See this? response:	The Yokonyans Are Rooting for You!
context: No way! That'd be even more embarrassing!\Hina-chan?\When I looked at the flowerbed at school today, there were some flowers that weren't there yesterday. I wondered if someone had planted them. I wonder if it looked like this. Or this.\The next time I have a sketch assignment in class, I think I'll sketch some flowers from the flowerbed. I wonder if there will be different flowers then. How exciting. I hope there are sunflowers in the summer.\You're working?\Yeah, a bit.\Oh, right... See this?\The Yokonyans Are Rooting for You! response:	Yokomichi Street Shopping District Restoration Association
context: Hina-chan?\When I looked at the flowerbed at school today, there were some flowers that weren't there yesterday. I wondered if someone had planted them. I wonder if it looked like this. Or this.\The next time I have a sketch assignment in class, I think I'll sketch some flowers from the flowerbed. I wonder if there will be different flowers then. How exciting. I hope there are sunflowers in the summer.\You're working?\Yeah, a bit.\Oh, right... See this?\The Yokonyans Are Rooting for You!\Yokomichi Street Shopping District Restoration Association response:	There's going to be a stamp rally event in the shopping district soon.
context: When I looked at the flowerbed at school today, there were some flowers that weren't there yesterday. I wondered if someone had planted them. I wonder if it looked like this. Or this.\The next time I have a sketch assignment in class, I think I'll sketch some flowers from the flowerbed. I wonder if there will be different flowers then. How exciting. I hope there are sunflowers in the summer.\You're working?\Yeah, a bit.\Oh, right... See this?\The Yokonyans Are Rooting for You!\Yokomichi Street Shopping District Restoration Association\There's going to be a stamp rally event in the shopping district soon. response:	Stamp rally?
context: The next time I have a sketch assignment in class, I think I'll sketch some flowers from the flowerbed. I wonder if there will be different flowers then. How exciting. I hope there are sunflowers in the summer.\You're working?\Yeah, a bit.\Oh, right... See this?\The Yokonyans Are Rooting for You!\Yokomichi Street Shopping District Restoration Association\There's going to be a stamp rally event in the shopping district soon.\Stamp rally? response:	Yeah.
context: You're working?\Yeah, a bit.\Oh, right... See this?\The Yokonyans Are Rooting for You!\Yokomichi Street Shopping District Restoration Association\There's going to be a stamp rally event in the shopping district soon.\Stamp rally?\Yeah. response:	Bakery
context: Yeah, a bit.\Oh, right... See this?\The Yokonyans Are Rooting for You!\Yokomichi Street Shopping District Restoration Association\There's going to be a stamp rally event in the shopping district soon.\Stamp rally?\Yeah.\Bakery response:	Excuse me!
context: Oh, right... See this?\The Yokonyans Are Rooting for You!\Yokomichi Street Shopping District Restoration Association\There's going to be a stamp rally event in the shopping district soon.\Stamp rally?\Yeah.\Bakery\Excuse me! response:	Customers visit all the participating stores in turn
context: The Yokonyans Are Rooting for You!\Yokomichi Street Shopping District Restoration Association\There's going to be a stamp rally event in the shopping district soon.\Stamp rally?\Yeah.\Bakery\Excuse me!\Customers visit all the participating stores in turn response:	Greengrocer
context: Yokomichi Street Shopping District Restoration Association\There's going to be a stamp rally event in the shopping district soon.\Stamp rally?\Yeah.\Bakery\Excuse me!\Customers visit all the participating stores in turn\Greengrocer response:	I'd like a stamp, please!
context: There's going to be a stamp rally event in the shopping district soon.\Stamp rally?\Yeah.\Bakery\Excuse me!\Customers visit all the participating stores in turn\Greengrocer\I'd like a stamp, please! response:	and get a card stamped at each store.
context: Stamp rally?\Yeah.\Bakery\Excuse me!\Customers visit all the participating stores in turn\Greengrocer\I'd like a stamp, please!\and get a card stamped at each store. response:	Butcher
context: Yeah.\Bakery\Excuse me!\Customers visit all the participating stores in turn\Greengrocer\I'd like a stamp, please!\and get a card stamped at each store.\Butcher response:	Thank you!
context: Bakery\Excuse me!\Customers visit all the participating stores in turn\Greengrocer\I'd like a stamp, please!\and get a card stamped at each store.\Butcher\Thank you! response:	Then at the end, prizes are awarded.
context: Excuse me!\Customers visit all the participating stores in turn\Greengrocer\I'd like a stamp, please!\and get a card stamped at each store.\Butcher\Thank you!\Then at the end, prizes are awarded. response:	Yay!
context: Customers visit all the participating stores in turn\Greengrocer\I'd like a stamp, please!\and get a card stamped at each store.\Butcher\Thank you!\Then at the end, prizes are awarded.\Yay! response:	And our shop is going to be participating this year.
context: Greengrocer\I'd like a stamp, please!\and get a card stamped at each store.\Butcher\Thank you!\Then at the end, prizes are awarded.\Yay!\And our shop is going to be participating this year. response:	So I was thinking,
context: I'd like a stamp, please!\and get a card stamped at each store.\Butcher\Thank you!\Then at the end, prizes are awarded.\Yay!\And our shop is going to be participating this year.\So I was thinking, response:	what can we do to bring in lots of customers?
context: and get a card stamped at each store.\Butcher\Thank you!\Then at the end, prizes are awarded.\Yay!\And our shop is going to be participating this year.\So I was thinking,\what can we do to bring in lots of customers? response:	I-In that case, why don't we do a performance?
context: Butcher\Thank you!\Then at the end, prizes are awarded.\Yay!\And our shop is going to be participating this year.\So I was thinking,\what can we do to bring in lots of customers?\I-In that case, why don't we do a performance? response:	Huh?
context: Thank you!\Then at the end, prizes are awarded.\Yay!\And our shop is going to be participating this year.\So I was thinking,\what can we do to bring in lots of customers?\I-In that case, why don't we do a performance?\Huh? response:	I've been wanting the Hitotose Troupe to have its first performance!
context: Then at the end, prizes are awarded.\Yay!\And our shop is going to be participating this year.\So I was thinking,\what can we do to bring in lots of customers?\I-In that case, why don't we do a performance?\Huh?\I've been wanting the Hitotose Troupe to have its first performance! response:	And it would give my mom a chance to see me acting, too!
context: Yay!\And our shop is going to be participating this year.\So I was thinking,\what can we do to bring in lots of customers?\I-In that case, why don't we do a performance?\Huh?\I've been wanting the Hitotose Troupe to have its first performance!\And it would give my mom a chance to see me acting, too! response:	Hina-chan, you've been thinking of our troupe that much?
context: And our shop is going to be participating this year.\So I was thinking,\what can we do to bring in lots of customers?\I-In that case, why don't we do a performance?\Huh?\I've been wanting the Hitotose Troupe to have its first performance!\And it would give my mom a chance to see me acting, too!\Hina-chan, you've been thinking of our troupe that much? response:	Huh? Ah, no, I...
context: So I was thinking,\what can we do to bring in lots of customers?\I-In that case, why don't we do a performance?\Huh?\I've been wanting the Hitotose Troupe to have its first performance!\And it would give my mom a chance to see me acting, too!\Hina-chan, you've been thinking of our troupe that much?\Huh? Ah, no, I... response:	This month's class goals! Sleep earlier than usual! Wake up earlier than usual!
context: what can we do to bring in lots of customers?\I-In that case, why don't we do a performance?\Huh?\I've been wanting the Hitotose Troupe to have its first performance!\And it would give my mom a chance to see me acting, too!\Hina-chan, you've been thinking of our troupe that much?\Huh? Ah, no, I...\This month's class goals! Sleep earlier than usual! Wake up earlier than usual! response:	I see...
context: I-In that case, why don't we do a performance?\Huh?\I've been wanting the Hitotose Troupe to have its first performance!\And it would give my mom a chance to see me acting, too!\Hina-chan, you've been thinking of our troupe that much?\Huh? Ah, no, I...\This month's class goals! Sleep earlier than usual! Wake up earlier than usual!\I see... response:	If that's what you're planning, I'll write a script for us.
context: Huh?\I've been wanting the Hitotose Troupe to have its first performance!\And it would give my mom a chance to see me acting, too!\Hina-chan, you've been thinking of our troupe that much?\Huh? Ah, no, I...\This month's class goals! Sleep earlier than usual! Wake up earlier than usual!\I see...\If that's what you're planning, I'll write a script for us. response:	And I'll help with the props and wardrobe.
context: I've been wanting the Hitotose Troupe to have its first performance!\And it would give my mom a chance to see me acting, too!\Hina-chan, you've been thinking of our troupe that much?\Huh? Ah, no, I...\This month's class goals! Sleep earlier than usual! Wake up earlier than usual!\I see...\If that's what you're planning, I'll write a script for us.\And I'll help with the props and wardrobe. response:	Thank you, Kuu-chan, Mayu-chan!
context: And it would give my mom a chance to see me acting, too!\Hina-chan, you've been thinking of our troupe that much?\Huh? Ah, no, I...\This month's class goals! Sleep earlier than usual! Wake up earlier than usual!\I see...\If that's what you're planning, I'll write a script for us.\And I'll help with the props and wardrobe.\Thank you, Kuu-chan, Mayu-chan! response:	Mayu-chan, you should be in the play, too.
context: Hina-chan, you've been thinking of our troupe that much?\Huh? Ah, no, I...\This month's class goals! Sleep earlier than usual! Wake up earlier than usual!\I see...\If that's what you're planning, I'll write a script for us.\And I'll help with the props and wardrobe.\Thank you, Kuu-chan, Mayu-chan!\Mayu-chan, you should be in the play, too. response:	N-No way! I don't like being in the spotlight,
context: Huh? Ah, no, I...\This month's class goals! Sleep earlier than usual! Wake up earlier than usual!\I see...\If that's what you're planning, I'll write a script for us.\And I'll help with the props and wardrobe.\Thank you, Kuu-chan, Mayu-chan!\Mayu-chan, you should be in the play, too.\N-No way! I don't like being in the spotlight, response:	and I can't memorize lines!
context: This month's class goals! Sleep earlier than usual! Wake up earlier than usual!\I see...\If that's what you're planning, I'll write a script for us.\And I'll help with the props and wardrobe.\Thank you, Kuu-chan, Mayu-chan!\Mayu-chan, you should be in the play, too.\N-No way! I don't like being in the spotlight,\and I can't memorize lines! response:	But you did so well at the culture festival...
context: I see...\If that's what you're planning, I'll write a script for us.\And I'll help with the props and wardrobe.\Thank you, Kuu-chan, Mayu-chan!\Mayu-chan, you should be in the play, too.\N-No way! I don't like being in the spotlight,\and I can't memorize lines!\But you did so well at the culture festival... response:	Th-That was out of desperation to help Hina-chan!
context: If that's what you're planning, I'll write a script for us.\And I'll help with the props and wardrobe.\Thank you, Kuu-chan, Mayu-chan!\Mayu-chan, you should be in the play, too.\N-No way! I don't like being in the spotlight,\and I can't memorize lines!\But you did so well at the culture festival...\Th-That was out of desperation to help Hina-chan! response:	I thought you'd be perfect for an angel or child role.
context: And I'll help with the props and wardrobe.\Thank you, Kuu-chan, Mayu-chan!\Mayu-chan, you should be in the play, too.\N-No way! I don't like being in the spotlight,\and I can't memorize lines!\But you did so well at the culture festival...\Th-That was out of desperation to help Hina-chan!\I thought you'd be perfect for an angel or child role. response:	I'm not a child!
context: Thank you, Kuu-chan, Mayu-chan!\Mayu-chan, you should be in the play, too.\N-No way! I don't like being in the spotlight,\and I can't memorize lines!\But you did so well at the culture festival...\Th-That was out of desperation to help Hina-chan!\I thought you'd be perfect for an angel or child role.\I'm not a child! response:	Then how about a doll role?
context: Mayu-chan, you should be in the play, too.\N-No way! I don't like being in the spotlight,\and I can't memorize lines!\But you did so well at the culture festival...\Th-That was out of desperation to help Hina-chan!\I thought you'd be perfect for an angel or child role.\I'm not a child!\Then how about a doll role? response:	I'm not that small!
context: N-No way! I don't like being in the spotlight,\and I can't memorize lines!\But you did so well at the culture festival...\Th-That was out of desperation to help Hina-chan!\I thought you'd be perfect for an angel or child role.\I'm not a child!\Then how about a doll role?\I'm not that small! response:	What kind of play should it be?
context: and I can't memorize lines!\But you did so well at the culture festival...\Th-That was out of desperation to help Hina-chan!\I thought you'd be perfect for an angel or child role.\I'm not a child!\Then how about a doll role?\I'm not that small!\What kind of play should it be? response:	I think it should be one both adults and children can enjoy.
context: But you did so well at the culture festival...\Th-That was out of desperation to help Hina-chan!\I thought you'd be perfect for an angel or child role.\I'm not a child!\Then how about a doll role?\I'm not that small!\What kind of play should it be?\I think it should be one both adults and children can enjoy. response:	How about an adventure story, then?
context: Th-That was out of desperation to help Hina-chan!\I thought you'd be perfect for an angel or child role.\I'm not a child!\Then how about a doll role?\I'm not that small!\What kind of play should it be?\I think it should be one both adults and children can enjoy.\How about an adventure story, then? response:	The main character is a treasure hunter who's traveling the world.
context: I thought you'd be perfect for an angel or child role.\I'm not a child!\Then how about a doll role?\I'm not that small!\What kind of play should it be?\I think it should be one both adults and children can enjoy.\How about an adventure story, then?\The main character is a treasure hunter who's traveling the world. response:	That's an awfully large scale...
context: I'm not a child!\Then how about a doll role?\I'm not that small!\What kind of play should it be?\I think it should be one both adults and children can enjoy.\How about an adventure story, then?\The main character is a treasure hunter who's traveling the world.\That's an awfully large scale... response:	There it is!
context: Then how about a doll role?\I'm not that small!\What kind of play should it be?\I think it should be one both adults and children can enjoy.\How about an adventure story, then?\The main character is a treasure hunter who's traveling the world.\That's an awfully large scale...\There it is! response:	Cave
context: I'm not that small!\What kind of play should it be?\I think it should be one both adults and children can enjoy.\How about an adventure story, then?\The main character is a treasure hunter who's traveling the world.\That's an awfully large scale...\There it is!\Cave response:	She wanders into a dungeon,
context: What kind of play should it be?\I think it should be one both adults and children can enjoy.\How about an adventure story, then?\The main character is a treasure hunter who's traveling the world.\That's an awfully large scale...\There it is!\Cave\She wanders into a dungeon, response:	and enemies try to kill her...
context: I think it should be one both adults and children can enjoy.\How about an adventure story, then?\The main character is a treasure hunter who's traveling the world.\That's an awfully large scale...\There it is!\Cave\She wanders into a dungeon,\and enemies try to kill her... response:	Monster
context: How about an adventure story, then?\The main character is a treasure hunter who's traveling the world.\That's an awfully large scale...\There it is!\Cave\She wanders into a dungeon,\and enemies try to kill her...\Monster response:	Monsters attack her...
context: The main character is a treasure hunter who's traveling the world.\That's an awfully large scale...\There it is!\Cave\She wanders into a dungeon,\and enemies try to kill her...\Monster\Monsters attack her... response:	Script
context: That's an awfully large scale...\There it is!\Cave\She wanders into a dungeon,\and enemies try to kill her...\Monster\Monsters attack her...\Script response:	You want to blow up the shop?!
context: There it is!\Cave\She wanders into a dungeon,\and enemies try to kill her...\Monster\Monsters attack her...\Script\You want to blow up the shop?! response:	Let's play it safe and do our take on a fairy tale.
context: Cave\She wanders into a dungeon,\and enemies try to kill her...\Monster\Monsters attack her...\Script\You want to blow up the shop?!\Let's play it safe and do our take on a fairy tale. response:	Isn't that...
context: She wanders into a dungeon,\and enemies try to kill her...\Monster\Monsters attack her...\Script\You want to blow up the shop?!\Let's play it safe and do our take on a fairy tale.\Isn't that... response:	I can't wait whoops!
context: and enemies try to kill her...\Monster\Monsters attack her...\Script\You want to blow up the shop?!\Let's play it safe and do our take on a fairy tale.\Isn't that...\I can't wait whoops! response:	Hinako?
context: Monster\Monsters attack her...\Script\You want to blow up the shop?!\Let's play it safe and do our take on a fairy tale.\Isn't that...\I can't wait whoops!\Hinako? response:	Are you okay?
context: Monsters attack her...\Script\You want to blow up the shop?!\Let's play it safe and do our take on a fairy tale.\Isn't that...\I can't wait whoops!\Hinako?\Are you okay? response:	Yeah.
context: Script\You want to blow up the shop?!\Let's play it safe and do our take on a fairy tale.\Isn't that...\I can't wait whoops!\Hinako?\Are you okay?\Yeah. response:	Where will we practice?
context: You want to blow up the shop?!\Let's play it safe and do our take on a fairy tale.\Isn't that...\I can't wait whoops!\Hinako?\Are you okay?\Yeah.\Where will we practice? response:	In the usual park.
context: Let's play it safe and do our take on a fairy tale.\Isn't that...\I can't wait whoops!\Hinako?\Are you okay?\Yeah.\Where will we practice?\In the usual park. response:	She's being all friendly with Chiaki-senpai again!
context: Isn't that...\I can't wait whoops!\Hinako?\Are you okay?\Yeah.\Where will we practice?\In the usual park.\She's being all friendly with Chiaki-senpai again! response:	What are they talking about?
context: I can't wait whoops!\Hinako?\Are you okay?\Yeah.\Where will we practice?\In the usual park.\She's being all friendly with Chiaki-senpai again!\What are they talking about? response:	But the park will be really crowded on the weekend.
context: Hinako?\Are you okay?\Yeah.\Where will we practice?\In the usual park.\She's being all friendly with Chiaki-senpai again!\What are they talking about?\But the park will be really crowded on the weekend. response:	That's true...
context: Are you okay?\Yeah.\Where will we practice?\In the usual park.\She's being all friendly with Chiaki-senpai again!\What are they talking about?\But the park will be really crowded on the weekend.\That's true... response:	Then why don't we practice in my room?
context: Yeah.\Where will we practice?\In the usual park.\She's being all friendly with Chiaki-senpai again!\What are they talking about?\But the park will be really crowded on the weekend.\That's true...\Then why don't we practice in my room? response:	There's not much furniture, so it's roomy.
context: Where will we practice?\In the usual park.\She's being all friendly with Chiaki-senpai again!\What are they talking about?\But the park will be really crowded on the weekend.\That's true...\Then why don't we practice in my room?\There's not much furniture, so it's roomy. response:	Yeah, your room is always so tidy.
context: In the usual park.\She's being all friendly with Chiaki-senpai again!\What are they talking about?\But the park will be really crowded on the weekend.\That's true...\Then why don't we practice in my room?\There's not much furniture, so it's roomy.\Yeah, your room is always so tidy. response:	And you have lots of stuffed animals in yours.
context: She's being all friendly with Chiaki-senpai again!\What are they talking about?\But the park will be really crowded on the weekend.\That's true...\Then why don't we practice in my room?\There's not much furniture, so it's roomy.\Yeah, your room is always so tidy.\And you have lots of stuffed animals in yours. response:	After coming to Tokyo, I got into the habit of collecting stuffed animals...
context: What are they talking about?\But the park will be really crowded on the weekend.\That's true...\Then why don't we practice in my room?\There's not much furniture, so it's roomy.\Yeah, your room is always so tidy.\And you have lots of stuffed animals in yours.\After coming to Tokyo, I got into the habit of collecting stuffed animals... response:	They're all very cute.
context: But the park will be really crowded on the weekend.\That's true...\Then why don't we practice in my room?\There's not much furniture, so it's roomy.\Yeah, your room is always so tidy.\And you have lots of stuffed animals in yours.\After coming to Tokyo, I got into the habit of collecting stuffed animals...\They're all very cute. response:	No fair, Hinako!
context: That's true...\Then why don't we practice in my room?\There's not much furniture, so it's roomy.\Yeah, your room is always so tidy.\And you have lots of stuffed animals in yours.\After coming to Tokyo, I got into the habit of collecting stuffed animals...\They're all very cute.\No fair, Hinako! response:	I want to talk about that stuff, too!
context: Then why don't we practice in my room?\There's not much furniture, so it's roomy.\Yeah, your room is always so tidy.\And you have lots of stuffed animals in yours.\After coming to Tokyo, I got into the habit of collecting stuffed animals...\They're all very cute.\No fair, Hinako!\I want to talk about that stuff, too! response:	Merchandise for the new mascot comes out today! Some of it is seasonal exclusives, so I'll have to go straight over after school. It's only available during this season, after all!
context: There's not much furniture, so it's roomy.\Yeah, your room is always so tidy.\And you have lots of stuffed animals in yours.\After coming to Tokyo, I got into the habit of collecting stuffed animals...\They're all very cute.\No fair, Hinako!\I want to talk about that stuff, too!\Merchandise for the new mascot comes out today! Some of it is seasonal exclusives, so I'll have to go straight over after school. It's only available during this season, after all! response:	What's the matter, Yua-chan?
context: Yeah, your room is always so tidy.\And you have lots of stuffed animals in yours.\After coming to Tokyo, I got into the habit of collecting stuffed animals...\They're all very cute.\No fair, Hinako!\I want to talk about that stuff, too!\Merchandise for the new mascot comes out today! Some of it is seasonal exclusives, so I'll have to go straight over after school. It's only available during this season, after all!\What's the matter, Yua-chan? response:	The Hitotose Troupe's first performance?
context: And you have lots of stuffed animals in yours.\After coming to Tokyo, I got into the habit of collecting stuffed animals...\They're all very cute.\No fair, Hinako!\I want to talk about that stuff, too!\Merchandise for the new mascot comes out today! Some of it is seasonal exclusives, so I'll have to go straight over after school. It's only available during this season, after all!\What's the matter, Yua-chan?\The Hitotose Troupe's first performance? response:	You should have told me sooner.
context: After coming to Tokyo, I got into the habit of collecting stuffed animals...\They're all very cute.\No fair, Hinako!\I want to talk about that stuff, too!\Merchandise for the new mascot comes out today! Some of it is seasonal exclusives, so I'll have to go straight over after school. It's only available during this season, after all!\What's the matter, Yua-chan?\The Hitotose Troupe's first performance?\You should have told me sooner. response:	I'm a member of the troupe, you know!
