context: Without using my damn old man's Quirk... response:	No...
context: I want to be able to smile... and respond to them...\To be a cool hero...\That's what I want to be!\I will reject...\It's your power, isn't it?!\I want... to be a hero, too...!\Try to get close...\Midoriya... response:	Thanks.
context: To be a cool hero...\That's what I want to be!\I will reject...\It's your power, isn't it?!\I want... to be a hero, too...!\Try to get close...\Midoriya...\Thanks. response:	Midoriya is out of bounds...
context: That's what I want to be!\I will reject...\It's your power, isn't it?!\I want... to be a hero, too...!\Try to get close...\Midoriya...\Thanks.\Midoriya is out of bounds... response:	Todoroki advances to the third round!
context: I will reject...\It's your power, isn't it?!\I want... to be a hero, too...!\Try to get close...\Midoriya...\Thanks.\Midoriya is out of bounds...\Todoroki advances to the third round! response:	Midoriya was eliminated in the quarterfinals, huh?
context: It's your power, isn't it?!\I want... to be a hero, too...!\Try to get close...\Midoriya...\Thanks.\Midoriya is out of bounds...\Todoroki advances to the third round!\Midoriya was eliminated in the quarterfinals, huh? response:	He egged the other guy on only to be defeated...
context: I want... to be a hero, too...!\Try to get close...\Midoriya...\Thanks.\Midoriya is out of bounds...\Todoroki advances to the third round!\Midoriya was eliminated in the quarterfinals, huh?\He egged the other guy on only to be defeated... response:	You mean he didn't have a plan? He was just provoking him?
context: Try to get close...\Midoriya...\Thanks.\Midoriya is out of bounds...\Todoroki advances to the third round!\Midoriya was eliminated in the quarterfinals, huh?\He egged the other guy on only to be defeated...\You mean he didn't have a plan? He was just provoking him? response:	Did he want to beat Todoroki, or lose to him?
context: Midoriya...\Thanks.\Midoriya is out of bounds...\Todoroki advances to the third round!\Midoriya was eliminated in the quarterfinals, huh?\He egged the other guy on only to be defeated...\You mean he didn't have a plan? He was just provoking him?\Did he want to beat Todoroki, or lose to him? response:	Either way, that was some crazy power...
context: Thanks.\Midoriya is out of bounds...\Todoroki advances to the third round!\Midoriya was eliminated in the quarterfinals, huh?\He egged the other guy on only to be defeated...\You mean he didn't have a plan? He was just provoking him?\Did he want to beat Todoroki, or lose to him?\Either way, that was some crazy power... response:	But he can't be a pro hero if he's injured every time he attacks.
context: Midoriya is out of bounds...\Todoroki advances to the third round!\Midoriya was eliminated in the quarterfinals, huh?\He egged the other guy on only to be defeated...\You mean he didn't have a plan? He was just provoking him?\Did he want to beat Todoroki, or lose to him?\Either way, that was some crazy power...\But he can't be a pro hero if he's injured every time he attacks. response:	He attacked despite that, though.
context: Todoroki advances to the third round!\Midoriya was eliminated in the quarterfinals, huh?\He egged the other guy on only to be defeated...\You mean he didn't have a plan? He was just provoking him?\Did he want to beat Todoroki, or lose to him?\Either way, that was some crazy power...\But he can't be a pro hero if he's injured every time he attacks.\He attacked despite that, though. response:	He's got spirit.
context: Midoriya was eliminated in the quarterfinals, huh?\He egged the other guy on only to be defeated...\You mean he didn't have a plan? He was just provoking him?\Did he want to beat Todoroki, or lose to him?\Either way, that was some crazy power...\But he can't be a pro hero if he's injured every time he attacks.\He attacked despite that, though.\He's got spirit. response:	I thought he was an interesting kid until the cavalry battle, though...
context: He egged the other guy on only to be defeated...\You mean he didn't have a plan? He was just provoking him?\Did he want to beat Todoroki, or lose to him?\Either way, that was some crazy power...\But he can't be a pro hero if he's injured every time he attacks.\He attacked despite that, though.\He's got spirit.\I thought he was an interesting kid until the cavalry battle, though... response:	You're in my way.
context: You mean he didn't have a plan? He was just provoking him?\Did he want to beat Todoroki, or lose to him?\Either way, that was some crazy power...\But he can't be a pro hero if he's injured every time he attacks.\He attacked despite that, though.\He's got spirit.\I thought he was an interesting kid until the cavalry battle, though...\You're in my way. response:	You're not going to say that?
context: Did he want to beat Todoroki, or lose to him?\Either way, that was some crazy power...\But he can't be a pro hero if he's injured every time he attacks.\He attacked despite that, though.\He's got spirit.\I thought he was an interesting kid until the cavalry battle, though...\You're in my way.\You're not going to say that? response:	You need to control your left side...
context: Either way, that was some crazy power...\But he can't be a pro hero if he's injured every time he attacks.\He attacked despite that, though.\He's got spirit.\I thought he was an interesting kid until the cavalry battle, though...\You're in my way.\You're not going to say that?\You need to control your left side... response:	You're just letting it all out, and it's dangerous.
context: But he can't be a pro hero if he's injured every time he attacks.\He attacked despite that, though.\He's got spirit.\I thought he was an interesting kid until the cavalry battle, though...\You're in my way.\You're not going to say that?\You need to control your left side...\You're just letting it all out, and it's dangerous. response:	But you have abandoned your childish tantrum
context: He attacked despite that, though.\He's got spirit.\I thought he was an interesting kid until the cavalry battle, though...\You're in my way.\You're not going to say that?\You need to control your left side...\You're just letting it all out, and it's dangerous.\But you have abandoned your childish tantrum response:	and finally become a perfect upgrade of me.
context: He's got spirit.\I thought he was an interesting kid until the cavalry battle, though...\You're in my way.\You're not going to say that?\You need to control your left side...\You're just letting it all out, and it's dangerous.\But you have abandoned your childish tantrum\and finally become a perfect upgrade of me. response:	After you graduate, come work for me.
context: I thought he was an interesting kid until the cavalry battle, though...\You're in my way.\You're not going to say that?\You need to control your left side...\You're just letting it all out, and it's dangerous.\But you have abandoned your childish tantrum\and finally become a perfect upgrade of me.\After you graduate, come work for me. response:	I'll lead you down the path of the mighty.
context: You're in my way.\You're not going to say that?\You need to control your left side...\You're just letting it all out, and it's dangerous.\But you have abandoned your childish tantrum\and finally become a perfect upgrade of me.\After you graduate, come work for me.\I'll lead you down the path of the mighty. response:	There's no way I can abandon anything.
context: You're not going to say that?\You need to control your left side...\You're just letting it all out, and it's dangerous.\But you have abandoned your childish tantrum\and finally become a perfect upgrade of me.\After you graduate, come work for me.\I'll lead you down the path of the mighty.\There's no way I can abandon anything. response:	It's not something that can be so easily reversed.
context: You need to control your left side...\You're just letting it all out, and it's dangerous.\But you have abandoned your childish tantrum\and finally become a perfect upgrade of me.\After you graduate, come work for me.\I'll lead you down the path of the mighty.\There's no way I can abandon anything.\It's not something that can be so easily reversed. response:	It's just... back then...
context: You're just letting it all out, and it's dangerous.\But you have abandoned your childish tantrum\and finally become a perfect upgrade of me.\After you graduate, come work for me.\I'll lead you down the path of the mighty.\There's no way I can abandon anything.\It's not something that can be so easily reversed.\It's just... back then... response:	For that one moment...
context: But you have abandoned your childish tantrum\and finally become a perfect upgrade of me.\After you graduate, come work for me.\I'll lead you down the path of the mighty.\There's no way I can abandon anything.\It's not something that can be so easily reversed.\It's just... back then...\For that one moment... response:	Whether that is a good thing or a bad thing...
context: and finally become a perfect upgrade of me.\After you graduate, come work for me.\I'll lead you down the path of the mighty.\There's no way I can abandon anything.\It's not something that can be so easily reversed.\It's just... back then...\For that one moment...\Whether that is a good thing or a bad thing... response:	Whether it is correct or not...
context: After you graduate, come work for me.\I'll lead you down the path of the mighty.\There's no way I can abandon anything.\It's not something that can be so easily reversed.\It's just... back then...\For that one moment...\Whether that is a good thing or a bad thing...\Whether it is correct or not... response:	I need to think about it.
context: I'll lead you down the path of the mighty.\There's no way I can abandon anything.\It's not something that can be so easily reversed.\It's just... back then...\For that one moment...\Whether that is a good thing or a bad thing...\Whether it is correct or not...\I need to think about it. response:	Fight on, Iida
context: There's no way I can abandon anything.\It's not something that can be so easily reversed.\It's just... back then...\For that one moment...\Whether that is a good thing or a bad thing...\Whether it is correct or not...\I need to think about it.\Fight on, Iida response:	Recovery Girl's Temporary Nurse's Office
context: It's not something that can be so easily reversed.\It's just... back then...\For that one moment...\Whether that is a good thing or a bad thing...\Whether it is correct or not...\I need to think about it.\Fight on, Iida\Recovery Girl's Temporary Nurse's Office response:	The bones in your right arm were shattered...
context: It's just... back then...\For that one moment...\Whether that is a good thing or a bad thing...\Whether it is correct or not...\I need to think about it.\Fight on, Iida\Recovery Girl's Temporary Nurse's Office\The bones in your right arm were shattered... response:	It'll never be the same as it was before.
context: For that one moment...\Whether that is a good thing or a bad thing...\Whether it is correct or not...\I need to think about it.\Fight on, Iida\Recovery Girl's Temporary Nurse's Office\The bones in your right arm were shattered...\It'll never be the same as it was before. response:	I need to remove the pieces of bone to make sure they don't stay in your joints.
context: Whether that is a good thing or a bad thing...\Whether it is correct or not...\I need to think about it.\Fight on, Iida\Recovery Girl's Temporary Nurse's Office\The bones in your right arm were shattered...\It'll never be the same as it was before.\I need to remove the pieces of bone to make sure they don't stay in your joints. response:	I'll heal you after that.
context: Whether it is correct or not...\I need to think about it.\Fight on, Iida\Recovery Girl's Temporary Nurse's Office\The bones in your right arm were shattered...\It'll never be the same as it was before.\I need to remove the pieces of bone to make sure they don't stay in your joints.\I'll heal you after that. response:	To push and light a fire under a child
context: I need to think about it.\Fight on, Iida\Recovery Girl's Temporary Nurse's Office\The bones in your right arm were shattered...\It'll never be the same as it was before.\I need to remove the pieces of bone to make sure they don't stay in your joints.\I'll heal you after that.\To push and light a fire under a child response:	who would destroy his body this much for what he yearns for...
context: Fight on, Iida\Recovery Girl's Temporary Nurse's Office\The bones in your right arm were shattered...\It'll never be the same as it was before.\I need to remove the pieces of bone to make sure they don't stay in your joints.\I'll heal you after that.\To push and light a fire under a child\who would destroy his body this much for what he yearns for... response:	I don't like it.
context: Recovery Girl's Temporary Nurse's Office\The bones in your right arm were shattered...\It'll never be the same as it was before.\I need to remove the pieces of bone to make sure they don't stay in your joints.\I'll heal you after that.\To push and light a fire under a child\who would destroy his body this much for what he yearns for...\I don't like it. response:	You're going too far. You, and this boy.
context: The bones in your right arm were shattered...\It'll never be the same as it was before.\I need to remove the pieces of bone to make sure they don't stay in your joints.\I'll heal you after that.\To push and light a fire under a child\who would destroy his body this much for what he yearns for...\I don't like it.\You're going too far. You, and this boy. response:	You can't praise him for this.
context: It'll never be the same as it was before.\I need to remove the pieces of bone to make sure they don't stay in your joints.\I'll heal you after that.\To push and light a fire under a child\who would destroy his body this much for what he yearns for...\I don't like it.\You're going too far. You, and this boy.\You can't praise him for this. response:	-Midoriya! -Deku!
context: I need to remove the pieces of bone to make sure they don't stay in your joints.\I'll heal you after that.\To push and light a fire under a child\who would destroy his body this much for what he yearns for...\I don't like it.\You're going too far. You, and this boy.\You can't praise him for this.\-Midoriya! -Deku! response:	-You scared me... -Are you okay?!
context: I'll heal you after that.\To push and light a fire under a child\who would destroy his body this much for what he yearns for...\I don't like it.\You're going too far. You, and this boy.\You can't praise him for this.\-Midoriya! -Deku!\-You scared me... -Are you okay?! response:	Oh, nice to meet you...
context: To push and light a fire under a child\who would destroy his body this much for what he yearns for...\I don't like it.\You're going too far. You, and this boy.\You can't praise him for this.\-Midoriya! -Deku!\-You scared me... -Are you okay?!\Oh, nice to meet you... response:	Yeah...
context: who would destroy his body this much for what he yearns for...\I don't like it.\You're going too far. You, and this boy.\You can't praise him for this.\-Midoriya! -Deku!\-You scared me... -Are you okay?!\Oh, nice to meet you...\Yeah... response:	You're all so noisy.
context: I don't like it.\You're going too far. You, and this boy.\You can't praise him for this.\-Midoriya! -Deku!\-You scared me... -Are you okay?!\Oh, nice to meet you...\Yeah...\You're all so noisy. response:	Everyone... what about the next match?
context: You're going too far. You, and this boy.\You can't praise him for this.\-Midoriya! -Deku!\-You scared me... -Are you okay?!\Oh, nice to meet you...\Yeah...\You're all so noisy.\Everyone... what about the next match? response:	Since there was a lot of damage to the stage, they're taking a break to repair it.
context: You can't praise him for this.\-Midoriya! -Deku!\-You scared me... -Are you okay?!\Oh, nice to meet you...\Yeah...\You're all so noisy.\Everyone... what about the next match?\Since there was a lot of damage to the stage, they're taking a break to repair it. response:	That match earlier was scary, Midoriya...
context: -Midoriya! -Deku!\-You scared me... -Are you okay?!\Oh, nice to meet you...\Yeah...\You're all so noisy.\Everyone... what about the next match?\Since there was a lot of damage to the stage, they're taking a break to repair it.\That match earlier was scary, Midoriya... response:	What pro's gonna want that?
context: -You scared me... -Are you okay?!\Oh, nice to meet you...\Yeah...\You're all so noisy.\Everyone... what about the next match?\Since there was a lot of damage to the stage, they're taking a break to repair it.\That match earlier was scary, Midoriya...\What pro's gonna want that? response:	I don't like your style of rubbing salt into his wound.
context: Oh, nice to meet you...\Yeah...\You're all so noisy.\Everyone... what about the next match?\Since there was a lot of damage to the stage, they're taking a break to repair it.\That match earlier was scary, Midoriya...\What pro's gonna want that?\I don't like your style of rubbing salt into his wound. response:	But it's true!
context: Yeah...\You're all so noisy.\Everyone... what about the next match?\Since there was a lot of damage to the stage, they're taking a break to repair it.\That match earlier was scary, Midoriya...\What pro's gonna want that?\I don't like your style of rubbing salt into his wound.\But it's true! response:	Be quiet, now!
context: You're all so noisy.\Everyone... what about the next match?\Since there was a lot of damage to the stage, they're taking a break to repair it.\That match earlier was scary, Midoriya...\What pro's gonna want that?\I don't like your style of rubbing salt into his wound.\But it's true!\Be quiet, now! response:	I know you're worried, but I've got to do surgery now.
context: Everyone... what about the next match?\Since there was a lot of damage to the stage, they're taking a break to repair it.\That match earlier was scary, Midoriya...\What pro's gonna want that?\I don't like your style of rubbing salt into his wound.\But it's true!\Be quiet, now!\I know you're worried, but I've got to do surgery now. response:	Surgery?!
context: Since there was a lot of damage to the stage, they're taking a break to repair it.\That match earlier was scary, Midoriya...\What pro's gonna want that?\I don't like your style of rubbing salt into his wound.\But it's true!\Be quiet, now!\I know you're worried, but I've got to do surgery now.\Surgery?! response:	Go on now, get out of here.
context: That match earlier was scary, Midoriya...\What pro's gonna want that?\I don't like your style of rubbing salt into his wound.\But it's true!\Be quiet, now!\I know you're worried, but I've got to do surgery now.\Surgery?!\Go on now, get out of here. response:	-B-But- -Surgery's a big deal, isn't it?
context: What pro's gonna want that?\I don't like your style of rubbing salt into his wound.\But it's true!\Be quiet, now!\I know you're worried, but I've got to do surgery now.\Surgery?!\Go on now, get out of here.\-B-But- -Surgery's a big deal, isn't it? response:	-Will his injuries be completely healed? -Don't worry about that. Just leave it to me!
context: I don't like your style of rubbing salt into his wound.\But it's true!\Be quiet, now!\I know you're worried, but I've got to do surgery now.\Surgery?!\Go on now, get out of here.\-B-But- -Surgery's a big deal, isn't it?\-Will his injuries be completely healed? -Don't worry about that. Just leave it to me! response:	Ribbit...
context: But it's true!\Be quiet, now!\I know you're worried, but I've got to do surgery now.\Surgery?!\Go on now, get out of here.\-B-But- -Surgery's a big deal, isn't it?\-Will his injuries be completely healed? -Don't worry about that. Just leave it to me!\Ribbit... response:	I'm sorry...
context: Be quiet, now!\I know you're worried, but I've got to do surgery now.\Surgery?!\Go on now, get out of here.\-B-But- -Surgery's a big deal, isn't it?\-Will his injuries be completely healed? -Don't worry about that. Just leave it to me!\Ribbit...\I'm sorry... response:	I couldn't do what you asked...
context: I know you're worried, but I've got to do surgery now.\Surgery?!\Go on now, get out of here.\-B-But- -Surgery's a big deal, isn't it?\-Will his injuries be completely healed? -Don't worry about that. Just leave it to me!\Ribbit...\I'm sorry...\I couldn't do what you asked... response:	I want you to tell the world I am here!
context: Surgery?!\Go on now, get out of here.\-B-But- -Surgery's a big deal, isn't it?\-Will his injuries be completely healed? -Don't worry about that. Just leave it to me!\Ribbit...\I'm sorry...\I couldn't do what you asked...\I want you to tell the world I am here! response:	If only I hadn't said anything...
context: Go on now, get out of here.\-B-But- -Surgery's a big deal, isn't it?\-Will his injuries be completely healed? -Don't worry about that. Just leave it to me!\Ribbit...\I'm sorry...\I couldn't do what you asked...\I want you to tell the world I am here!\If only I hadn't said anything... response:	It's because I said that to Todoroki...
context: -B-But- -Surgery's a big deal, isn't it?\-Will his injuries be completely healed? -Don't worry about that. Just leave it to me!\Ribbit...\I'm sorry...\I couldn't do what you asked...\I want you to tell the world I am here!\If only I hadn't said anything...\It's because I said that to Todoroki... response:	You were trying to get him to realize something...
context: -Will his injuries be completely healed? -Don't worry about that. Just leave it to me!\Ribbit...\I'm sorry...\I couldn't do what you asked...\I want you to tell the world I am here!\If only I hadn't said anything...\It's because I said that to Todoroki...\You were trying to get him to realize something... response:	It's true... Todoroki looked so sad...
context: Ribbit...\I'm sorry...\I couldn't do what you asked...\I want you to tell the world I am here!\If only I hadn't said anything...\It's because I said that to Todoroki...\You were trying to get him to realize something...\It's true... Todoroki looked so sad... response:	But that's not it.
context: I'm sorry...\I couldn't do what you asked...\I want you to tell the world I am here!\If only I hadn't said anything...\It's because I said that to Todoroki...\You were trying to get him to realize something...\It's true... Todoroki looked so sad...\But that's not it. response:	More importantly, back then, I was just...
context: I couldn't do what you asked...\I want you to tell the world I am here!\If only I hadn't said anything...\It's because I said that to Todoroki...\You were trying to get him to realize something...\It's true... Todoroki looked so sad...\But that's not it.\More importantly, back then, I was just... response:	I couldn't see in front or around me...
context: I want you to tell the world I am here!\If only I hadn't said anything...\It's because I said that to Todoroki...\You were trying to get him to realize something...\It's true... Todoroki looked so sad...\But that's not it.\More importantly, back then, I was just...\I couldn't see in front or around me... response:	I'm sorry...
context: If only I hadn't said anything...\It's because I said that to Todoroki...\You were trying to get him to realize something...\It's true... Todoroki looked so sad...\But that's not it.\More importantly, back then, I was just...\I couldn't see in front or around me...\I'm sorry... response:	It's true that it is a regrettable result.
context: It's because I said that to Todoroki...\You were trying to get him to realize something...\It's true... Todoroki looked so sad...\But that's not it.\More importantly, back then, I was just...\I couldn't see in front or around me...\I'm sorry...\It's true that it is a regrettable result. response:	Saying what you did was foolish won't change that.
context: You were trying to get him to realize something...\It's true... Todoroki looked so sad...\But that's not it.\More importantly, back then, I was just...\I couldn't see in front or around me...\I'm sorry...\It's true that it is a regrettable result.\Saying what you did was foolish won't change that. response:	But you know, meddling when you don't need to...
context: It's true... Todoroki looked so sad...\But that's not it.\More importantly, back then, I was just...\I couldn't see in front or around me...\I'm sorry...\It's true that it is a regrettable result.\Saying what you did was foolish won't change that.\But you know, meddling when you don't need to... response:	Recipro... burst!
context: But that's not it.\More importantly, back then, I was just...\I couldn't see in front or around me...\I'm sorry...\It's true that it is a regrettable result.\Saying what you did was foolish won't change that.\But you know, meddling when you don't need to...\Recipro... burst! response:	Shiozaki, out of bounds!
context: More importantly, back then, I was just...\I couldn't see in front or around me...\I'm sorry...\It's true that it is a regrettable result.\Saying what you did was foolish won't change that.\But you know, meddling when you don't need to...\Recipro... burst!\Shiozaki, out of bounds! response:	Iida wins!
context: I couldn't see in front or around me...\I'm sorry...\It's true that it is a regrettable result.\Saying what you did was foolish won't change that.\But you know, meddling when you don't need to...\Recipro... burst!\Shiozaki, out of bounds!\Iida wins! response:	Dark Shadow!
context: I'm sorry...\It's true that it is a regrettable result.\Saying what you did was foolish won't change that.\But you know, meddling when you don't need to...\Recipro... burst!\Shiozaki, out of bounds!\Iida wins!\Dark Shadow! response:	Got it!
context: It's true that it is a regrettable result.\Saying what you did was foolish won't change that.\But you know, meddling when you don't need to...\Recipro... burst!\Shiozaki, out of bounds!\Iida wins!\Dark Shadow!\Got it! response:	Ashido is out of bounds!
context: Saying what you did was foolish won't change that.\But you know, meddling when you don't need to...\Recipro... burst!\Shiozaki, out of bounds!\Iida wins!\Dark Shadow!\Got it!\Ashido is out of bounds! response:	Tokoyami wins!
context: But you know, meddling when you don't need to...\Recipro... burst!\Shiozaki, out of bounds!\Iida wins!\Dark Shadow!\Got it!\Ashido is out of bounds!\Tokoyami wins! response:	He won in an instant, too?
context: Recipro... burst!\Shiozaki, out of bounds!\Iida wins!\Dark Shadow!\Got it!\Ashido is out of bounds!\Tokoyami wins!\He won in an instant, too? response:	Tokoyami's Dark Shadow is amazing.
context: Shiozaki, out of bounds!\Iida wins!\Dark Shadow!\Got it!\Ashido is out of bounds!\Tokoyami wins!\He won in an instant, too?\Tokoyami's Dark Shadow is amazing. response:	Ribbit?
context: Iida wins!\Dark Shadow!\Got it!\Ashido is out of bounds!\Tokoyami wins!\He won in an instant, too?\Tokoyami's Dark Shadow is amazing.\Ribbit? response:	Are you worried about Midoriya?
context: Dark Shadow!\Got it!\Ashido is out of bounds!\Tokoyami wins!\He won in an instant, too?\Tokoyami's Dark Shadow is amazing.\Ribbit?\Are you worried about Midoriya? response:	She said she had to do surgery...
context: Got it!\Ashido is out of bounds!\Tokoyami wins!\He won in an instant, too?\Tokoyami's Dark Shadow is amazing.\Ribbit?\Are you worried about Midoriya?\She said she had to do surgery... response:	Recovery Girl's taking care of it, so you've got nothing to worry about!
context: Ashido is out of bounds!\Tokoyami wins!\He won in an instant, too?\Tokoyami's Dark Shadow is amazing.\Ribbit?\Are you worried about Midoriya?\She said she had to do surgery...\Recovery Girl's taking care of it, so you've got nothing to worry about! response:	He's right.
context: Tokoyami wins!\He won in an instant, too?\Tokoyami's Dark Shadow is amazing.\Ribbit?\Are you worried about Midoriya?\She said she had to do surgery...\Recovery Girl's taking care of it, so you've got nothing to worry about!\He's right. response:	Yeah.
context: He won in an instant, too?\Tokoyami's Dark Shadow is amazing.\Ribbit?\Are you worried about Midoriya?\She said she had to do surgery...\Recovery Girl's taking care of it, so you've got nothing to worry about!\He's right.\Yeah. response:	Recovery Girl's Temporary Nurse's Office Surgery in Progress
context: Tokoyami's Dark Shadow is amazing.\Ribbit?\Are you worried about Midoriya?\She said she had to do surgery...\Recovery Girl's taking care of it, so you've got nothing to worry about!\He's right.\Yeah.\Recovery Girl's Temporary Nurse's Office Surgery in Progress response:	Kiss...!
context: Ribbit?\Are you worried about Midoriya?\She said she had to do surgery...\Recovery Girl's taking care of it, so you've got nothing to worry about!\He's right.\Yeah.\Recovery Girl's Temporary Nurse's Office Surgery in Progress\Kiss...! response:	I've healed you enough to allow you to walk for now.
context: Are you worried about Midoriya?\She said she had to do surgery...\Recovery Girl's taking care of it, so you've got nothing to worry about!\He's right.\Yeah.\Recovery Girl's Temporary Nurse's Office Surgery in Progress\Kiss...!\I've healed you enough to allow you to walk for now. response:	Thank you very much...
context: She said she had to do surgery...\Recovery Girl's taking care of it, so you've got nothing to worry about!\He's right.\Yeah.\Recovery Girl's Temporary Nurse's Office Surgery in Progress\Kiss...!\I've healed you enough to allow you to walk for now.\Thank you very much... response:	That's what you get for overusing it so much in a short period of time.
context: Recovery Girl's taking care of it, so you've got nothing to worry about!\He's right.\Yeah.\Recovery Girl's Temporary Nurse's Office Surgery in Progress\Kiss...!\I've healed you enough to allow you to walk for now.\Thank you very much...\That's what you get for overusing it so much in a short period of time. response:	You should think of that crooked right hand as a warning.
context: He's right.\Yeah.\Recovery Girl's Temporary Nurse's Office Surgery in Progress\Kiss...!\I've healed you enough to allow you to walk for now.\Thank you very much...\That's what you get for overusing it so much in a short period of time.\You should think of that crooked right hand as a warning. response:	In addition, I will not heal injuries like this anymore.
context: Yeah.\Recovery Girl's Temporary Nurse's Office Surgery in Progress\Kiss...!\I've healed you enough to allow you to walk for now.\Thank you very much...\That's what you get for overusing it so much in a short period of time.\You should think of that crooked right hand as a warning.\In addition, I will not heal injuries like this anymore. response:	You must find a way for him to use his power
context: Recovery Girl's Temporary Nurse's Office Surgery in Progress\Kiss...!\I've healed you enough to allow you to walk for now.\Thank you very much...\That's what you get for overusing it so much in a short period of time.\You should think of that crooked right hand as a warning.\In addition, I will not heal injuries like this anymore.\You must find a way for him to use his power response:	in a way that is not so self-destructive.
context: Kiss...!\I've healed you enough to allow you to walk for now.\Thank you very much...\That's what you get for overusing it so much in a short period of time.\You should think of that crooked right hand as a warning.\In addition, I will not heal injuries like this anymore.\You must find a way for him to use his power\in a way that is not so self-destructive. response:	A different way, huh...?
context: I've healed you enough to allow you to walk for now.\Thank you very much...\That's what you get for overusing it so much in a short period of time.\You should think of that crooked right hand as a warning.\In addition, I will not heal injuries like this anymore.\You must find a way for him to use his power\in a way that is not so self-destructive.\A different way, huh...? response:	All Might.
context: Thank you very much...\That's what you get for overusing it so much in a short period of time.\You should think of that crooked right hand as a warning.\In addition, I will not heal injuries like this anymore.\You must find a way for him to use his power\in a way that is not so self-destructive.\A different way, huh...?\All Might. response:	You originally became a teacher at U.A. to find a successor, right?
context: That's what you get for overusing it so much in a short period of time.\You should think of that crooked right hand as a warning.\In addition, I will not heal injuries like this anymore.\You must find a way for him to use his power\in a way that is not so self-destructive.\A different way, huh...?\All Might.\You originally became a teacher at U.A. to find a successor, right? response:	Yeah.
context: You should think of that crooked right hand as a warning.\In addition, I will not heal injuries like this anymore.\You must find a way for him to use his power\in a way that is not so self-destructive.\A different way, huh...?\All Might.\You originally became a teacher at U.A. to find a successor, right?\Yeah. response:	Putting everything I had into the U.A. sports festival,
context: In addition, I will not heal injuries like this anymore.\You must find a way for him to use his power\in a way that is not so self-destructive.\A different way, huh...?\All Might.\You originally became a teacher at U.A. to find a successor, right?\Yeah.\Putting everything I had into the U.A. sports festival, response:	I could physically feel everyone's strong emotions of not wanting to give in.
context: You must find a way for him to use his power\in a way that is not so self-destructive.\A different way, huh...?\All Might.\You originally became a teacher at U.A. to find a successor, right?\Yeah.\Putting everything I had into the U.A. sports festival,\I could physically feel everyone's strong emotions of not wanting to give in. response:	So I...
context: in a way that is not so self-destructive.\A different way, huh...?\All Might.\You originally became a teacher at U.A. to find a successor, right?\Yeah.\Putting everything I had into the U.A. sports festival,\I could physically feel everyone's strong emotions of not wanting to give in.\So I... response:	Yes.
