context: To my father and mother back at home... response:	To my father and mother back at home...
context: It's in your qualities as a leader.\Devising strategies under your orders\is the only way I become a powerful giant.\So please give me orders,\with your strong words.\I can't.\But you said you'd grant my wish.\I said I'd hear your wish, response:	not that I'd grant it.
context: Devising strategies under your orders\is the only way I become a powerful giant.\So please give me orders,\with your strong words.\I can't.\But you said you'd grant my wish.\I said I'd hear your wish,\not that I'd grant it. response:	I'll be waiting.
context: is the only way I become a powerful giant.\So please give me orders,\with your strong words.\I can't.\But you said you'd grant my wish.\I said I'd hear your wish,\not that I'd grant it.\I'll be waiting. response:	So will your wife, I'm sure.
context: So please give me orders,\with your strong words.\I can't.\But you said you'd grant my wish.\I said I'd hear your wish,\not that I'd grant it.\I'll be waiting.\So will your wife, I'm sure. response:	My wife...
context: with your strong words.\I can't.\But you said you'd grant my wish.\I said I'd hear your wish,\not that I'd grant it.\I'll be waiting.\So will your wife, I'm sure.\My wife... response:	My wife saved me.
context: I can't.\But you said you'd grant my wish.\I said I'd hear your wish,\not that I'd grant it.\I'll be waiting.\So will your wife, I'm sure.\My wife...\My wife saved me. response:	My S500,000 wedding ring,
context: But you said you'd grant my wish.\I said I'd hear your wish,\not that I'd grant it.\I'll be waiting.\So will your wife, I'm sure.\My wife...\My wife saved me.\My S500,000 wedding ring, response:	which hadn't been consumed even when I spent my entire fortune,
context: I said I'd hear your wish,\not that I'd grant it.\I'll be waiting.\So will your wife, I'm sure.\My wife...\My wife saved me.\My S500,000 wedding ring,\which hadn't been consumed even when I spent my entire fortune, response:	was used up for some reason when I fell from the Moby Dick.
context: not that I'd grant it.\I'll be waiting.\So will your wife, I'm sure.\My wife...\My wife saved me.\My S500,000 wedding ring,\which hadn't been consumed even when I spent my entire fortune,\was used up for some reason when I fell from the Moby Dick. response:	It fortified my body, and I managed to survive.
context: I'll be waiting.\So will your wife, I'm sure.\My wife...\My wife saved me.\My S500,000 wedding ring,\which hadn't been consumed even when I spent my entire fortune,\was used up for some reason when I fell from the Moby Dick.\It fortified my body, and I managed to survive. response:	You said you wanted orders?
context: So will your wife, I'm sure.\My wife...\My wife saved me.\My S500,000 wedding ring,\which hadn't been consumed even when I spent my entire fortune,\was used up for some reason when I fell from the Moby Dick.\It fortified my body, and I managed to survive.\You said you wanted orders? response:	I'll give you one, then.
context: My wife...\My wife saved me.\My S500,000 wedding ring,\which hadn't been consumed even when I spent my entire fortune,\was used up for some reason when I fell from the Moby Dick.\It fortified my body, and I managed to survive.\You said you wanted orders?\I'll give you one, then. response:	Never show yourself to me again.
context: My wife saved me.\My S500,000 wedding ring,\which hadn't been consumed even when I spent my entire fortune,\was used up for some reason when I fell from the Moby Dick.\It fortified my body, and I managed to survive.\You said you wanted orders?\I'll give you one, then.\Never show yourself to me again. response:	Please don't make me any more miserable.
context: My S500,000 wedding ring,\which hadn't been consumed even when I spent my entire fortune,\was used up for some reason when I fell from the Moby Dick.\It fortified my body, and I managed to survive.\You said you wanted orders?\I'll give you one, then.\Never show yourself to me again.\Please don't make me any more miserable. response:	I got shot down by the Detective Agency and fled to the slums,
context: which hadn't been consumed even when I spent my entire fortune,\was used up for some reason when I fell from the Moby Dick.\It fortified my body, and I managed to survive.\You said you wanted orders?\I'll give you one, then.\Never show yourself to me again.\Please don't make me any more miserable.\I got shot down by the Detective Agency and fled to the slums, response:	only to hear that the Guild strategist was wandering around on her own.
context: was used up for some reason when I fell from the Moby Dick.\It fortified my body, and I managed to survive.\You said you wanted orders?\I'll give you one, then.\Never show yourself to me again.\Please don't make me any more miserable.\I got shot down by the Detective Agency and fled to the slums,\only to hear that the Guild strategist was wandering around on her own. response:	I doubted my own ears.
context: It fortified my body, and I managed to survive.\You said you wanted orders?\I'll give you one, then.\Never show yourself to me again.\Please don't make me any more miserable.\I got shot down by the Detective Agency and fled to the slums,\only to hear that the Guild strategist was wandering around on her own.\I doubted my own ears. response:	Now then, lady, let's talk about the Guild's properties.
context: You said you wanted orders?\I'll give you one, then.\Never show yourself to me again.\Please don't make me any more miserable.\I got shot down by the Detective Agency and fled to the slums,\only to hear that the Guild strategist was wandering around on her own.\I doubted my own ears.\Now then, lady, let's talk about the Guild's properties. response:	The Guild hasn't left any behind.
context: I'll give you one, then.\Never show yourself to me again.\Please don't make me any more miserable.\I got shot down by the Detective Agency and fled to the slums,\only to hear that the Guild strategist was wandering around on her own.\I doubted my own ears.\Now then, lady, let's talk about the Guild's properties.\The Guild hasn't left any behind. response:	Oh, yeah?
context: Never show yourself to me again.\Please don't make me any more miserable.\I got shot down by the Detective Agency and fled to the slums,\only to hear that the Guild strategist was wandering around on her own.\I doubted my own ears.\Now then, lady, let's talk about the Guild's properties.\The Guild hasn't left any behind.\Oh, yeah? response:	You might not know about it, but maybe your boss does.
context: Please don't make me any more miserable.\I got shot down by the Detective Agency and fled to the slums,\only to hear that the Guild strategist was wandering around on her own.\I doubted my own ears.\Now then, lady, let's talk about the Guild's properties.\The Guild hasn't left any behind.\Oh, yeah?\You might not know about it, but maybe your boss does. response:	You seem to know where the boss is.
context: I got shot down by the Detective Agency and fled to the slums,\only to hear that the Guild strategist was wandering around on her own.\I doubted my own ears.\Now then, lady, let's talk about the Guild's properties.\The Guild hasn't left any behind.\Oh, yeah?\You might not know about it, but maybe your boss does.\You seem to know where the boss is. response:	I don't know.
context: only to hear that the Guild strategist was wandering around on her own.\I doubted my own ears.\Now then, lady, let's talk about the Guild's properties.\The Guild hasn't left any behind.\Oh, yeah?\You might not know about it, but maybe your boss does.\You seem to know where the boss is.\I don't know. response:	Even if I did, I'd never tell you.
context: I doubted my own ears.\Now then, lady, let's talk about the Guild's properties.\The Guild hasn't left any behind.\Oh, yeah?\You might not know about it, but maybe your boss does.\You seem to know where the boss is.\I don't know.\Even if I did, I'd never tell you. response:	Are you sure?
context: Now then, lady, let's talk about the Guild's properties.\The Guild hasn't left any behind.\Oh, yeah?\You might not know about it, but maybe your boss does.\You seem to know where the boss is.\I don't know.\Even if I did, I'd never tell you.\Are you sure? response:	I take pleasure in tearing people's nails off.
context: The Guild hasn't left any behind.\Oh, yeah?\You might not know about it, but maybe your boss does.\You seem to know where the boss is.\I don't know.\Even if I did, I'd never tell you.\Are you sure?\I take pleasure in tearing people's nails off. response:	I don't care.
context: Oh, yeah?\You might not know about it, but maybe your boss does.\You seem to know where the boss is.\I don't know.\Even if I did, I'd never tell you.\Are you sure?\I take pleasure in tearing people's nails off.\I don't care. response:	All my goals in life vanished just a moment ago.
context: You might not know about it, but maybe your boss does.\You seem to know where the boss is.\I don't know.\Even if I did, I'd never tell you.\Are you sure?\I take pleasure in tearing people's nails off.\I don't care.\All my goals in life vanished just a moment ago. response:	Hey, hand me the gun.
context: You seem to know where the boss is.\I don't know.\Even if I did, I'd never tell you.\Are you sure?\I take pleasure in tearing people's nails off.\I don't care.\All my goals in life vanished just a moment ago.\Hey, hand me the gun. response:	This kid's useless.
context: I don't know.\Even if I did, I'd never tell you.\Are you sure?\I take pleasure in tearing people's nails off.\I don't care.\All my goals in life vanished just a moment ago.\Hey, hand me the gun.\This kid's useless. response:	She's not going to tell us anything.
context: Even if I did, I'd never tell you.\Are you sure?\I take pleasure in tearing people's nails off.\I don't care.\All my goals in life vanished just a moment ago.\Hey, hand me the gun.\This kid's useless.\She's not going to tell us anything. response:	Let's get rid of her and move on.
context: Are you sure?\I take pleasure in tearing people's nails off.\I don't care.\All my goals in life vanished just a moment ago.\Hey, hand me the gun.\This kid's useless.\She's not going to tell us anything.\Let's get rid of her and move on. response:	Fifty cents.
context: I take pleasure in tearing people's nails off.\I don't care.\All my goals in life vanished just a moment ago.\Hey, hand me the gun.\This kid's useless.\She's not going to tell us anything.\Let's get rid of her and move on.\Fifty cents. response:	Francis-sama!
context: I don't care.\All my goals in life vanished just a moment ago.\Hey, hand me the gun.\This kid's useless.\She's not going to tell us anything.\Let's get rid of her and move on.\Fifty cents.\Francis-sama! response:	Bastard...
context: All my goals in life vanished just a moment ago.\Hey, hand me the gun.\This kid's useless.\She's not going to tell us anything.\Let's get rid of her and move on.\Fifty cents.\Francis-sama!\Bastard... response:	Get him, boys!
context: Hey, hand me the gun.\This kid's useless.\She's not going to tell us anything.\Let's get rid of her and move on.\Fifty cents.\Francis-sama!\Bastard...\Get him, boys! response:	Louisa-kun,
context: This kid's useless.\She's not going to tell us anything.\Let's get rid of her and move on.\Fifty cents.\Francis-sama!\Bastard...\Get him, boys!\Louisa-kun, response:	give me the most valuable thing in your possession right now.
context: She's not going to tell us anything.\Let's get rid of her and move on.\Fifty cents.\Francis-sama!\Bastard...\Get him, boys!\Louisa-kun,\give me the most valuable thing in your possession right now. response:	I'm going to need a good sum of money to deal with these people.
context: Let's get rid of her and move on.\Fifty cents.\Francis-sama!\Bastard...\Get him, boys!\Louisa-kun,\give me the most valuable thing in your possession right now.\I'm going to need a good sum of money to deal with these people. response:	If I do, will you grant my wish this time?
context: Fifty cents.\Francis-sama!\Bastard...\Get him, boys!\Louisa-kun,\give me the most valuable thing in your possession right now.\I'm going to need a good sum of money to deal with these people.\If I do, will you grant my wish this time? response:	Yeah.
context: Francis-sama!\Bastard...\Get him, boys!\Louisa-kun,\give me the most valuable thing in your possession right now.\I'm going to need a good sum of money to deal with these people.\If I do, will you grant my wish this time?\Yeah. response:	I'll grant your wish.
context: Bastard...\Get him, boys!\Louisa-kun,\give me the most valuable thing in your possession right now.\I'm going to need a good sum of money to deal with these people.\If I do, will you grant my wish this time?\Yeah.\I'll grant your wish. response:	Then...
context: Get him, boys!\Louisa-kun,\give me the most valuable thing in your possession right now.\I'm going to need a good sum of money to deal with these people.\If I do, will you grant my wish this time?\Yeah.\I'll grant your wish.\Then... response:	I'll give you everything I have.
context: Louisa-kun,\give me the most valuable thing in your possession right now.\I'm going to need a good sum of money to deal with these people.\If I do, will you grant my wish this time?\Yeah.\I'll grant your wish.\Then...\I'll give you everything I have. response:	What is this power?
context: give me the most valuable thing in your possession right now.\I'm going to need a good sum of money to deal with these people.\If I do, will you grant my wish this time?\Yeah.\I'll grant your wish.\Then...\I'll give you everything I have.\What is this power? response:	The power of money.
context: I'm going to need a good sum of money to deal with these people.\If I do, will you grant my wish this time?\Yeah.\I'll grant your wish.\Then...\I'll give you everything I have.\What is this power?\The power of money. response:	I didn't get much of a boost.
context: If I do, will you grant my wish this time?\Yeah.\I'll grant your wish.\Then...\I'll give you everything I have.\What is this power?\The power of money.\I didn't get much of a boost. response:	It seems your value is limited.
context: Yeah.\I'll grant your wish.\Then...\I'll give you everything I have.\What is this power?\The power of money.\I didn't get much of a boost.\It seems your value is limited. response:	Of course.
context: I'll grant your wish.\Then...\I'll give you everything I have.\What is this power?\The power of money.\I didn't get much of a boost.\It seems your value is limited.\Of course. response:	I was going to give it to you for free, after all.
context: Then...\I'll give you everything I have.\What is this power?\The power of money.\I didn't get much of a boost.\It seems your value is limited.\Of course.\I was going to give it to you for free, after all. response:	Now that we have a deal, it seems I won't be living here anymore.
context: I'll give you everything I have.\What is this power?\The power of money.\I didn't get much of a boost.\It seems your value is limited.\Of course.\I was going to give it to you for free, after all.\Now that we have a deal, it seems I won't be living here anymore. response:	Okay.
context: What is this power?\The power of money.\I didn't get much of a boost.\It seems your value is limited.\Of course.\I was going to give it to you for free, after all.\Now that we have a deal, it seems I won't be living here anymore.\Okay. response:	My goal was to obtain the book that is sealed away in this area
context: The power of money.\I didn't get much of a boost.\It seems your value is limited.\Of course.\I was going to give it to you for free, after all.\Now that we have a deal, it seems I won't be living here anymore.\Okay.\My goal was to obtain the book that is sealed away in this area response:	and save my wife back home.
context: I didn't get much of a boost.\It seems your value is limited.\Of course.\I was going to give it to you for free, after all.\Now that we have a deal, it seems I won't be living here anymore.\Okay.\My goal was to obtain the book that is sealed away in this area\and save my wife back home. response:	Let's do it.
context: It seems your value is limited.\Of course.\I was going to give it to you for free, after all.\Now that we have a deal, it seems I won't be living here anymore.\Okay.\My goal was to obtain the book that is sealed away in this area\and save my wife back home.\Let's do it. response:	Again.
context: Of course.\I was going to give it to you for free, after all.\Now that we have a deal, it seems I won't be living here anymore.\Okay.\My goal was to obtain the book that is sealed away in this area\and save my wife back home.\Let's do it.\Again. response:	But to find the book and break the seals,
context: I was going to give it to you for free, after all.\Now that we have a deal, it seems I won't be living here anymore.\Okay.\My goal was to obtain the book that is sealed away in this area\and save my wife back home.\Let's do it.\Again.\But to find the book and break the seals, response:	I'm going to need a large-scale special ability investigation.
context: Now that we have a deal, it seems I won't be living here anymore.\Okay.\My goal was to obtain the book that is sealed away in this area\and save my wife back home.\Let's do it.\Again.\But to find the book and break the seals,\I'm going to need a large-scale special ability investigation. response:	For that, our use of the Supernatural Special Operations Division will be key.
