context: No one here is running half-assed! response:	Excuse me.
context: No way!\He said that?\That kind of talk is ineffective.\I told you.\Is he serious?\It's true that he went too far, though.\Well, he is fast.\He also said that because he's taking running at Hakone seriously. response:	Prince, you don't need to worry about it,
context: He said that?\That kind of talk is ineffective.\I told you.\Is he serious?\It's true that he went too far, though.\Well, he is fast.\He also said that because he's taking running at Hakone seriously.\Prince, you don't need to worry about it, response:	and I don't want the two of you to have any weird biases.
context: That kind of talk is ineffective.\I told you.\Is he serious?\It's true that he went too far, though.\Well, he is fast.\He also said that because he's taking running at Hakone seriously.\Prince, you don't need to worry about it,\and I don't want the two of you to have any weird biases. response:	Don't tell anyone else.
context: I told you.\Is he serious?\It's true that he went too far, though.\Well, he is fast.\He also said that because he's taking running at Hakone seriously.\Prince, you don't need to worry about it,\and I don't want the two of you to have any weird biases.\Don't tell anyone else. response:	Okay.
context: Is he serious?\It's true that he went too far, though.\Well, he is fast.\He also said that because he's taking running at Hakone seriously.\Prince, you don't need to worry about it,\and I don't want the two of you to have any weird biases.\Don't tell anyone else.\Okay. response:	We know he's not a bad guy.
context: It's true that he went too far, though.\Well, he is fast.\He also said that because he's taking running at Hakone seriously.\Prince, you don't need to worry about it,\and I don't want the two of you to have any weird biases.\Don't tell anyone else.\Okay.\We know he's not a bad guy. response:	But he can be really irritable.
context: Well, he is fast.\He also said that because he's taking running at Hakone seriously.\Prince, you don't need to worry about it,\and I don't want the two of you to have any weird biases.\Don't tell anyone else.\Okay.\We know he's not a bad guy.\But he can be really irritable. response:	I was so upset, I was up all night reading.
context: He also said that because he's taking running at Hakone seriously.\Prince, you don't need to worry about it,\and I don't want the two of you to have any weird biases.\Don't tell anyone else.\Okay.\We know he's not a bad guy.\But he can be really irritable.\I was so upset, I was up all night reading. response:	You mean comics, right.
context: Prince, you don't need to worry about it,\and I don't want the two of you to have any weird biases.\Don't tell anyone else.\Okay.\We know he's not a bad guy.\But he can be really irritable.\I was so upset, I was up all night reading.\You mean comics, right. response:	Yes, I mean comics.
context: and I don't want the two of you to have any weird biases.\Don't tell anyone else.\Okay.\We know he's not a bad guy.\But he can be really irritable.\I was so upset, I was up all night reading.\You mean comics, right.\Yes, I mean comics. response:	Mismatched Runners
context: Don't tell anyone else.\Okay.\We know he's not a bad guy.\But he can be really irritable.\I was so upset, I was up all night reading.\You mean comics, right.\Yes, I mean comics.\Mismatched Runners response:	There's rice left over.
context: Okay.\We know he's not a bad guy.\But he can be really irritable.\I was so upset, I was up all night reading.\You mean comics, right.\Yes, I mean comics.\Mismatched Runners\There's rice left over. response:	Someone besides Kakeru isn't eating.
context: We know he's not a bad guy.\But he can be really irritable.\I was so upset, I was up all night reading.\You mean comics, right.\Yes, I mean comics.\Mismatched Runners\There's rice left over.\Someone besides Kakeru isn't eating. response:	I wonder how it'll actually go.
context: But he can be really irritable.\I was so upset, I was up all night reading.\You mean comics, right.\Yes, I mean comics.\Mismatched Runners\There's rice left over.\Someone besides Kakeru isn't eating.\I wonder how it'll actually go. response:	Do you think I can achieve the required official record?
context: I was so upset, I was up all night reading.\You mean comics, right.\Yes, I mean comics.\Mismatched Runners\There's rice left over.\Someone besides Kakeru isn't eating.\I wonder how it'll actually go.\Do you think I can achieve the required official record? response:	Your time is improving.
context: You mean comics, right.\Yes, I mean comics.\Mismatched Runners\There's rice left over.\Someone besides Kakeru isn't eating.\I wonder how it'll actually go.\Do you think I can achieve the required official record?\Your time is improving. response:	I enjoy running with you. I really do.
context: Yes, I mean comics.\Mismatched Runners\There's rice left over.\Someone besides Kakeru isn't eating.\I wonder how it'll actually go.\Do you think I can achieve the required official record?\Your time is improving.\I enjoy running with you. I really do. response:	Running next to you makes me feel like I can reconsider what it means to run.
context: Mismatched Runners\There's rice left over.\Someone besides Kakeru isn't eating.\I wonder how it'll actually go.\Do you think I can achieve the required official record?\Your time is improving.\I enjoy running with you. I really do.\Running next to you makes me feel like I can reconsider what it means to run. response:	Right foot forward, left foot forward.
context: There's rice left over.\Someone besides Kakeru isn't eating.\I wonder how it'll actually go.\Do you think I can achieve the required official record?\Your time is improving.\I enjoy running with you. I really do.\Running next to you makes me feel like I can reconsider what it means to run.\Right foot forward, left foot forward. response:	Slowly increasing your speed.
context: Someone besides Kakeru isn't eating.\I wonder how it'll actually go.\Do you think I can achieve the required official record?\Your time is improving.\I enjoy running with you. I really do.\Running next to you makes me feel like I can reconsider what it means to run.\Right foot forward, left foot forward.\Slowly increasing your speed. response:	You used to walk,
context: I wonder how it'll actually go.\Do you think I can achieve the required official record?\Your time is improving.\I enjoy running with you. I really do.\Running next to you makes me feel like I can reconsider what it means to run.\Right foot forward, left foot forward.\Slowly increasing your speed.\You used to walk, response:	but before you know it, it looks like you're running.
context: Do you think I can achieve the required official record?\Your time is improving.\I enjoy running with you. I really do.\Running next to you makes me feel like I can reconsider what it means to run.\Right foot forward, left foot forward.\Slowly increasing your speed.\You used to walk,\but before you know it, it looks like you're running. response:	I'm re-experiencing the excitement of running.
context: Your time is improving.\I enjoy running with you. I really do.\Running next to you makes me feel like I can reconsider what it means to run.\Right foot forward, left foot forward.\Slowly increasing your speed.\You used to walk,\but before you know it, it looks like you're running.\I'm re-experiencing the excitement of running. response:	I don't think I understand.
context: I enjoy running with you. I really do.\Running next to you makes me feel like I can reconsider what it means to run.\Right foot forward, left foot forward.\Slowly increasing your speed.\You used to walk,\but before you know it, it looks like you're running.\I'm re-experiencing the excitement of running.\I don't think I understand. response:	But I think I understand what it means to do something together.
context: Running next to you makes me feel like I can reconsider what it means to run.\Right foot forward, left foot forward.\Slowly increasing your speed.\You used to walk,\but before you know it, it looks like you're running.\I'm re-experiencing the excitement of running.\I don't think I understand.\But I think I understand what it means to do something together. response:	We read the same comics together at the same time.
context: Right foot forward, left foot forward.\Slowly increasing your speed.\You used to walk,\but before you know it, it looks like you're running.\I'm re-experiencing the excitement of running.\I don't think I understand.\But I think I understand what it means to do something together.\We read the same comics together at the same time. response:	We count down to start reading.
context: Slowly increasing your speed.\You used to walk,\but before you know it, it looks like you're running.\I'm re-experiencing the excitement of running.\I don't think I understand.\But I think I understand what it means to do something together.\We read the same comics together at the same time.\We count down to start reading. response:	There's a moment our waves become synchronized.
context: You used to walk,\but before you know it, it looks like you're running.\I'm re-experiencing the excitement of running.\I don't think I understand.\But I think I understand what it means to do something together.\We read the same comics together at the same time.\We count down to start reading.\There's a moment our waves become synchronized. response:	We start turning the page simultaneously.
context: but before you know it, it looks like you're running.\I'm re-experiencing the excitement of running.\I don't think I understand.\But I think I understand what it means to do something together.\We read the same comics together at the same time.\We count down to start reading.\There's a moment our waves become synchronized.\We start turning the page simultaneously. response:	The temperature in our rooms definitely increases by oneno, two degrees.
context: I'm re-experiencing the excitement of running.\I don't think I understand.\But I think I understand what it means to do something together.\We read the same comics together at the same time.\We count down to start reading.\There's a moment our waves become synchronized.\We start turning the page simultaneously.\The temperature in our rooms definitely increases by oneno, two degrees. response:	Even if we don't share our thoughts,
context: I don't think I understand.\But I think I understand what it means to do something together.\We read the same comics together at the same time.\We count down to start reading.\There's a moment our waves become synchronized.\We start turning the page simultaneously.\The temperature in our rooms definitely increases by oneno, two degrees.\Even if we don't share our thoughts, response:	it feels like we've thoroughly discussed the content.
context: But I think I understand what it means to do something together.\We read the same comics together at the same time.\We count down to start reading.\There's a moment our waves become synchronized.\We start turning the page simultaneously.\The temperature in our rooms definitely increases by oneno, two degrees.\Even if we don't share our thoughts,\it feels like we've thoroughly discussed the content. response:	I see.
context: We read the same comics together at the same time.\We count down to start reading.\There's a moment our waves become synchronized.\We start turning the page simultaneously.\The temperature in our rooms definitely increases by oneno, two degrees.\Even if we don't share our thoughts,\it feels like we've thoroughly discussed the content.\I see. response:	I don't think I understand.
context: We count down to start reading.\There's a moment our waves become synchronized.\We start turning the page simultaneously.\The temperature in our rooms definitely increases by oneno, two degrees.\Even if we don't share our thoughts,\it feels like we've thoroughly discussed the content.\I see.\I don't think I understand. response:	Of course you don't.
context: There's a moment our waves become synchronized.\We start turning the page simultaneously.\The temperature in our rooms definitely increases by oneno, two degrees.\Even if we don't share our thoughts,\it feels like we've thoroughly discussed the content.\I see.\I don't think I understand.\Of course you don't. response:	Kansei University
context: We start turning the page simultaneously.\The temperature in our rooms definitely increases by oneno, two degrees.\Even if we don't share our thoughts,\it feels like we've thoroughly discussed the content.\I see.\I don't think I understand.\Of course you don't.\Kansei University response:	What?
context: The temperature in our rooms definitely increases by oneno, two degrees.\Even if we don't share our thoughts,\it feels like we've thoroughly discussed the content.\I see.\I don't think I understand.\Of course you don't.\Kansei University\What? response:	Did he really say that?
context: Even if we don't share our thoughts,\it feels like we've thoroughly discussed the content.\I see.\I don't think I understand.\Of course you don't.\Kansei University\What?\Did he really say that? response:	Didn't he say that to Prince?
context: it feels like we've thoroughly discussed the content.\I see.\I don't think I understand.\Of course you don't.\Kansei University\What?\Did he really say that?\Didn't he say that to Prince? response:	Yeah. He asked Prince to quit the team.
context: I see.\I don't think I understand.\Of course you don't.\Kansei University\What?\Did he really say that?\Didn't he say that to Prince?\Yeah. He asked Prince to quit the team. response:	Yeah.
context: I don't think I understand.\Of course you don't.\Kansei University\What?\Did he really say that?\Didn't he say that to Prince?\Yeah. He asked Prince to quit the team.\Yeah. response:	Quit the team?
context: Of course you don't.\Kansei University\What?\Did he really say that?\Didn't he say that to Prince?\Yeah. He asked Prince to quit the team.\Yeah.\Quit the team? response:	He can't suddenly achieve an official record.
context: Kansei University\What?\Did he really say that?\Didn't he say that to Prince?\Yeah. He asked Prince to quit the team.\Yeah.\Quit the team?\He can't suddenly achieve an official record. response:	Right?
context: What?\Did he really say that?\Didn't he say that to Prince?\Yeah. He asked Prince to quit the team.\Yeah.\Quit the team?\He can't suddenly achieve an official record.\Right? response:	Then it's decided.
context: Did he really say that?\Didn't he say that to Prince?\Yeah. He asked Prince to quit the team.\Yeah.\Quit the team?\He can't suddenly achieve an official record.\Right?\Then it's decided. response:	Prince is the first dropout.
context: Didn't he say that to Prince?\Yeah. He asked Prince to quit the team.\Yeah.\Quit the team?\He can't suddenly achieve an official record.\Right?\Then it's decided.\Prince is the first dropout. response:	No, wait. Nothing's been decided yet.
context: Yeah. He asked Prince to quit the team.\Yeah.\Quit the team?\He can't suddenly achieve an official record.\Right?\Then it's decided.\Prince is the first dropout.\No, wait. Nothing's been decided yet. response:	Haiji would never accept that.
context: Yeah.\Quit the team?\He can't suddenly achieve an official record.\Right?\Then it's decided.\Prince is the first dropout.\No, wait. Nothing's been decided yet.\Haiji would never accept that. response:	What did Haiji have to say about it?
context: Quit the team?\He can't suddenly achieve an official record.\Right?\Then it's decided.\Prince is the first dropout.\No, wait. Nothing's been decided yet.\Haiji would never accept that.\What did Haiji have to say about it? response:	Uh...
context: He can't suddenly achieve an official record.\Right?\Then it's decided.\Prince is the first dropout.\No, wait. Nothing's been decided yet.\Haiji would never accept that.\What did Haiji have to say about it?\Uh... response:	Don't worry about it.
context: Right?\Then it's decided.\Prince is the first dropout.\No, wait. Nothing's been decided yet.\Haiji would never accept that.\What did Haiji have to say about it?\Uh...\Don't worry about it. response:	Don't have any weird biases.
context: Then it's decided.\Prince is the first dropout.\No, wait. Nothing's been decided yet.\Haiji would never accept that.\What did Haiji have to say about it?\Uh...\Don't worry about it.\Don't have any weird biases. response:	Don't tell anyone else.
context: Prince is the first dropout.\No, wait. Nothing's been decided yet.\Haiji would never accept that.\What did Haiji have to say about it?\Uh...\Don't worry about it.\Don't have any weird biases.\Don't tell anyone else. response:	Wait, wait, wait!
context: No, wait. Nothing's been decided yet.\Haiji would never accept that.\What did Haiji have to say about it?\Uh...\Don't worry about it.\Don't have any weird biases.\Don't tell anyone else.\Wait, wait, wait! response:	Joji, you mentioned it first!
context: Haiji would never accept that.\What did Haiji have to say about it?\Uh...\Don't worry about it.\Don't have any weird biases.\Don't tell anyone else.\Wait, wait, wait!\Joji, you mentioned it first! response:	It wasn't me! It was you!
context: What did Haiji have to say about it?\Uh...\Don't worry about it.\Don't have any weird biases.\Don't tell anyone else.\Wait, wait, wait!\Joji, you mentioned it first!\It wasn't me! It was you! response:	You guys are such idiots.
context: Uh...\Don't worry about it.\Don't have any weird biases.\Don't tell anyone else.\Wait, wait, wait!\Joji, you mentioned it first!\It wasn't me! It was you!\You guys are such idiots. response:	You don't have to do anything to get hungry, huh?
context: Don't worry about it.\Don't have any weird biases.\Don't tell anyone else.\Wait, wait, wait!\Joji, you mentioned it first!\It wasn't me! It was you!\You guys are such idiots.\You don't have to do anything to get hungry, huh? response:	There you are.
context: Don't have any weird biases.\Don't tell anyone else.\Wait, wait, wait!\Joji, you mentioned it first!\It wasn't me! It was you!\You guys are such idiots.\You don't have to do anything to get hungry, huh?\There you are. response:	Stop following me!
context: Don't tell anyone else.\Wait, wait, wait!\Joji, you mentioned it first!\It wasn't me! It was you!\You guys are such idiots.\You don't have to do anything to get hungry, huh?\There you are.\Stop following me! response:	You tried to hide in the last place I'd look for you.
context: Wait, wait, wait!\Joji, you mentioned it first!\It wasn't me! It was you!\You guys are such idiots.\You don't have to do anything to get hungry, huh?\There you are.\Stop following me!\You tried to hide in the last place I'd look for you. response:	It got a little cold during the time it took to find you.
context: Joji, you mentioned it first!\It wasn't me! It was you!\You guys are such idiots.\You don't have to do anything to get hungry, huh?\There you are.\Stop following me!\You tried to hide in the last place I'd look for you.\It got a little cold during the time it took to find you. response:	Come on. Eat up.
context: It wasn't me! It was you!\You guys are such idiots.\You don't have to do anything to get hungry, huh?\There you are.\Stop following me!\You tried to hide in the last place I'd look for you.\It got a little cold during the time it took to find you.\Come on. Eat up. response:	I don't want it!
context: You guys are such idiots.\You don't have to do anything to get hungry, huh?\There you are.\Stop following me!\You tried to hide in the last place I'd look for you.\It got a little cold during the time it took to find you.\Come on. Eat up.\I don't want it! response:	It doesn't look good for a grown-ass man to accept a lunch from another grown-ass man!
context: You don't have to do anything to get hungry, huh?\There you are.\Stop following me!\You tried to hide in the last place I'd look for you.\It got a little cold during the time it took to find you.\Come on. Eat up.\I don't want it!\It doesn't look good for a grown-ass man to accept a lunch from another grown-ass man! response:	Don't worry about how it looks. My presentation is perfect.
context: There you are.\Stop following me!\You tried to hide in the last place I'd look for you.\It got a little cold during the time it took to find you.\Come on. Eat up.\I don't want it!\It doesn't look good for a grown-ass man to accept a lunch from another grown-ass man!\Don't worry about how it looks. My presentation is perfect. response:	That's not what I meant!
context: Stop following me!\You tried to hide in the last place I'd look for you.\It got a little cold during the time it took to find you.\Come on. Eat up.\I don't want it!\It doesn't look good for a grown-ass man to accept a lunch from another grown-ass man!\Don't worry about how it looks. My presentation is perfect.\That's not what I meant! response:	I knew something was off.
context: You tried to hide in the last place I'd look for you.\It got a little cold during the time it took to find you.\Come on. Eat up.\I don't want it!\It doesn't look good for a grown-ass man to accept a lunch from another grown-ass man!\Don't worry about how it looks. My presentation is perfect.\That's not what I meant!\I knew something was off. response:	I could tell not enough rice was missing.
context: It got a little cold during the time it took to find you.\Come on. Eat up.\I don't want it!\It doesn't look good for a grown-ass man to accept a lunch from another grown-ass man!\Don't worry about how it looks. My presentation is perfect.\That's not what I meant!\I knew something was off.\I could tell not enough rice was missing. response:	When I checked, I found exactly one serving hadn't been eaten.
context: Come on. Eat up.\I don't want it!\It doesn't look good for a grown-ass man to accept a lunch from another grown-ass man!\Don't worry about how it looks. My presentation is perfect.\That's not what I meant!\I knew something was off.\I could tell not enough rice was missing.\When I checked, I found exactly one serving hadn't been eaten. response:	You sure are looking closely.
context: I don't want it!\It doesn't look good for a grown-ass man to accept a lunch from another grown-ass man!\Don't worry about how it looks. My presentation is perfect.\That's not what I meant!\I knew something was off.\I could tell not enough rice was missing.\When I checked, I found exactly one serving hadn't been eaten.\You sure are looking closely. response:	Of course I am.
context: It doesn't look good for a grown-ass man to accept a lunch from another grown-ass man!\Don't worry about how it looks. My presentation is perfect.\That's not what I meant!\I knew something was off.\I could tell not enough rice was missing.\When I checked, I found exactly one serving hadn't been eaten.\You sure are looking closely.\Of course I am. response:	I consider the volume and nutrition everyone needs when preparing meals everyday.
context: Don't worry about how it looks. My presentation is perfect.\That's not what I meant!\I knew something was off.\I could tell not enough rice was missing.\When I checked, I found exactly one serving hadn't been eaten.\You sure are looking closely.\Of course I am.\I consider the volume and nutrition everyone needs when preparing meals everyday. response:	Seriously?
context: That's not what I meant!\I knew something was off.\I could tell not enough rice was missing.\When I checked, I found exactly one serving hadn't been eaten.\You sure are looking closely.\Of course I am.\I consider the volume and nutrition everyone needs when preparing meals everyday.\Seriously? response:	Seriously.
context: I knew something was off.\I could tell not enough rice was missing.\When I checked, I found exactly one serving hadn't been eaten.\You sure are looking closely.\Of course I am.\I consider the volume and nutrition everyone needs when preparing meals everyday.\Seriously?\Seriously. response:	Since when?
context: I could tell not enough rice was missing.\When I checked, I found exactly one serving hadn't been eaten.\You sure are looking closely.\Of course I am.\I consider the volume and nutrition everyone needs when preparing meals everyday.\Seriously?\Seriously.\Since when? response:	Since I started cooking all our meals.
context: When I checked, I found exactly one serving hadn't been eaten.\You sure are looking closely.\Of course I am.\I consider the volume and nutrition everyone needs when preparing meals everyday.\Seriously?\Seriously.\Since when?\Since I started cooking all our meals. response:	That was four years ago.
context: You sure are looking closely.\Of course I am.\I consider the volume and nutrition everyone needs when preparing meals everyday.\Seriously?\Seriously.\Since when?\Since I started cooking all our meals.\That was four years ago. response:	Has it been that long?
context: Of course I am.\I consider the volume and nutrition everyone needs when preparing meals everyday.\Seriously?\Seriously.\Since when?\Since I started cooking all our meals.\That was four years ago.\Has it been that long? response:	Don't panic.
context: I consider the volume and nutrition everyone needs when preparing meals everyday.\Seriously?\Seriously.\Since when?\Since I started cooking all our meals.\That was four years ago.\Has it been that long?\Don't panic. response:	You don't have to push yourself so hard.
context: Seriously?\Seriously.\Since when?\Since I started cooking all our meals.\That was four years ago.\Has it been that long?\Don't panic.\You don't have to push yourself so hard. response:	You'll probably get it eventually.
context: Seriously.\Since when?\Since I started cooking all our meals.\That was four years ago.\Has it been that long?\Don't panic.\You don't have to push yourself so hard.\You'll probably get it eventually. response:	You won't say I definitely will, huh?
context: Since when?\Since I started cooking all our meals.\That was four years ago.\Has it been that long?\Don't panic.\You don't have to push yourself so hard.\You'll probably get it eventually.\You won't say I definitely will, huh? response:	Eating this will change my point of view.
context: Since I started cooking all our meals.\That was four years ago.\Has it been that long?\Don't panic.\You don't have to push yourself so hard.\You'll probably get it eventually.\You won't say I definitely will, huh?\Eating this will change my point of view. response:	Come on. At least take your mind off it with this.
context: That was four years ago.\Has it been that long?\Don't panic.\You don't have to push yourself so hard.\You'll probably get it eventually.\You won't say I definitely will, huh?\Eating this will change my point of view.\Come on. At least take your mind off it with this. response:	You're making it worse.
context: Has it been that long?\Don't panic.\You don't have to push yourself so hard.\You'll probably get it eventually.\You won't say I definitely will, huh?\Eating this will change my point of view.\Come on. At least take your mind off it with this.\You're making it worse. response:	Go, go!
context: Don't panic.\You don't have to push yourself so hard.\You'll probably get it eventually.\You won't say I definitely will, huh?\Eating this will change my point of view.\Come on. At least take your mind off it with this.\You're making it worse.\Go, go! response:	You can do it!
context: You don't have to push yourself so hard.\You'll probably get it eventually.\You won't say I definitely will, huh?\Eating this will change my point of view.\Come on. At least take your mind off it with this.\You're making it worse.\Go, go!\You can do it! response:	That's it!
context: You'll probably get it eventually.\You won't say I definitely will, huh?\Eating this will change my point of view.\Come on. At least take your mind off it with this.\You're making it worse.\Go, go!\You can do it!\That's it! response:	You can do it!
context: You won't say I definitely will, huh?\Eating this will change my point of view.\Come on. At least take your mind off it with this.\You're making it worse.\Go, go!\You can do it!\That's it!\You can do it! response:	Oh, wow!
context: Eating this will change my point of view.\Come on. At least take your mind off it with this.\You're making it worse.\Go, go!\You can do it!\That's it!\You can do it!\Oh, wow! response:	Yuki's time has improved a ton.
context: Come on. At least take your mind off it with this.\You're making it worse.\Go, go!\You can do it!\That's it!\You can do it!\Oh, wow!\Yuki's time has improved a ton. response:	Everyone's time might improve.
context: You're making it worse.\Go, go!\You can do it!\That's it!\You can do it!\Oh, wow!\Yuki's time has improved a ton.\Everyone's time might improve. response:	Yeah.
context: Go, go!\You can do it!\That's it!\You can do it!\Oh, wow!\Yuki's time has improved a ton.\Everyone's time might improve.\Yeah. response:	Bring it home!
context: You can do it!\That's it!\You can do it!\Oh, wow!\Yuki's time has improved a ton.\Everyone's time might improve.\Yeah.\Bring it home! response:	A little more!
context: That's it!\You can do it!\Oh, wow!\Yuki's time has improved a ton.\Everyone's time might improve.\Yeah.\Bring it home!\A little more! response:	You can do it!
context: You can do it!\Oh, wow!\Yuki's time has improved a ton.\Everyone's time might improve.\Yeah.\Bring it home!\A little more!\You can do it! response:	Yuki, final spurt!
context: Oh, wow!\Yuki's time has improved a ton.\Everyone's time might improve.\Yeah.\Bring it home!\A little more!\You can do it!\Yuki, final spurt! response:	Kurahara Kakeru 5000m Time
context: Yuki's time has improved a ton.\Everyone's time might improve.\Yeah.\Bring it home!\A little more!\You can do it!\Yuki, final spurt!\Kurahara Kakeru 5000m Time response:	It's going well.
context: Everyone's time might improve.\Yeah.\Bring it home!\A little more!\You can do it!\Yuki, final spurt!\Kurahara Kakeru 5000m Time\It's going well. response:	It's only been three weeks,
context: Yeah.\Bring it home!\A little more!\You can do it!\Yuki, final spurt!\Kurahara Kakeru 5000m Time\It's going well.\It's only been three weeks, response:	but because you all stuck to the training schedule,
context: Bring it home!\A little more!\You can do it!\Yuki, final spurt!\Kurahara Kakeru 5000m Time\It's going well.\It's only been three weeks,\but because you all stuck to the training schedule, response:	we're starting to see results.
context: A little more!\You can do it!\Yuki, final spurt!\Kurahara Kakeru 5000m Time\It's going well.\It's only been three weeks,\but because you all stuck to the training schedule,\we're starting to see results. response:	Tomorrow's track meet will be a good opportunity for a second chance.
context: You can do it!\Yuki, final spurt!\Kurahara Kakeru 5000m Time\It's going well.\It's only been three weeks,\but because you all stuck to the training schedule,\we're starting to see results.\Tomorrow's track meet will be a good opportunity for a second chance. response:	Right now, we're working hard to get into the Hakone Ekiden.
context: Yuki, final spurt!\Kurahara Kakeru 5000m Time\It's going well.\It's only been three weeks,\but because you all stuck to the training schedule,\we're starting to see results.\Tomorrow's track meet will be a good opportunity for a second chance.\Right now, we're working hard to get into the Hakone Ekiden. response:	Without even one of us, we can't get there.
context: Kurahara Kakeru 5000m Time\It's going well.\It's only been three weeks,\but because you all stuck to the training schedule,\we're starting to see results.\Tomorrow's track meet will be a good opportunity for a second chance.\Right now, we're working hard to get into the Hakone Ekiden.\Without even one of us, we can't get there. response:	We don't have any substitutes.
context: It's going well.\It's only been three weeks,\but because you all stuck to the training schedule,\we're starting to see results.\Tomorrow's track meet will be a good opportunity for a second chance.\Right now, we're working hard to get into the Hakone Ekiden.\Without even one of us, we can't get there.\We don't have any substitutes. response:	Let's all attend tomorrow's track meet, so we can all participate together.
context: It's only been three weeks,\but because you all stuck to the training schedule,\we're starting to see results.\Tomorrow's track meet will be a good opportunity for a second chance.\Right now, we're working hard to get into the Hakone Ekiden.\Without even one of us, we can't get there.\We don't have any substitutes.\Let's all attend tomorrow's track meet, so we can all participate together. response:	I'll now announce the members who will be participating in tomorrow's track meet.
context: but because you all stuck to the training schedule,\we're starting to see results.\Tomorrow's track meet will be a good opportunity for a second chance.\Right now, we're working hard to get into the Hakone Ekiden.\Without even one of us, we can't get there.\We don't have any substitutes.\Let's all attend tomorrow's track meet, so we can all participate together.\I'll now announce the members who will be participating in tomorrow's track meet. response:	What?
context: we're starting to see results.\Tomorrow's track meet will be a good opportunity for a second chance.\Right now, we're working hard to get into the Hakone Ekiden.\Without even one of us, we can't get there.\We don't have any substitutes.\Let's all attend tomorrow's track meet, so we can all participate together.\I'll now announce the members who will be participating in tomorrow's track meet.\What? response:	Huh? What? It's not everyone?
context: Tomorrow's track meet will be a good opportunity for a second chance.\Right now, we're working hard to get into the Hakone Ekiden.\Without even one of us, we can't get there.\We don't have any substitutes.\Let's all attend tomorrow's track meet, so we can all participate together.\I'll now announce the members who will be participating in tomorrow's track meet.\What?\Huh? What? It's not everyone? response:	It's everyone. We'll all go.
context: Right now, we're working hard to get into the Hakone Ekiden.\Without even one of us, we can't get there.\We don't have any substitutes.\Let's all attend tomorrow's track meet, so we can all participate together.\I'll now announce the members who will be participating in tomorrow's track meet.\What?\Huh? What? It's not everyone?\It's everyone. We'll all go. response:	Running isn't everything.
context: Without even one of us, we can't get there.\We don't have any substitutes.\Let's all attend tomorrow's track meet, so we can all participate together.\I'll now announce the members who will be participating in tomorrow's track meet.\What?\Huh? What? It's not everyone?\It's everyone. We'll all go.\Running isn't everything. response:	Running in tomorrow's track meet will be Musa,
context: We don't have any substitutes.\Let's all attend tomorrow's track meet, so we can all participate together.\I'll now announce the members who will be participating in tomorrow's track meet.\What?\Huh? What? It's not everyone?\It's everyone. We'll all go.\Running isn't everything.\Running in tomorrow's track meet will be Musa, response:	Shindo,
context: Let's all attend tomorrow's track meet, so we can all participate together.\I'll now announce the members who will be participating in tomorrow's track meet.\What?\Huh? What? It's not everyone?\It's everyone. We'll all go.\Running isn't everything.\Running in tomorrow's track meet will be Musa,\Shindo, response:	Jota, Joji,
context: I'll now announce the members who will be participating in tomorrow's track meet.\What?\Huh? What? It's not everyone?\It's everyone. We'll all go.\Running isn't everything.\Running in tomorrow's track meet will be Musa,\Shindo,\Jota, Joji, response:	and Yuki.
context: What?\Huh? What? It's not everyone?\It's everyone. We'll all go.\Running isn't everything.\Running in tomorrow's track meet will be Musa,\Shindo,\Jota, Joji,\and Yuki. response:	Those five.
