context: Akemi-san has a kind of mysterious aura about her. response:	The reality of the destruction around us fills our mind
context: Someone help me...\Hello?\Yes.\The student body is on the verge of collapse.\Yes, Ouma's keeping them in check with his power for now...\Criticizing President Ouma isn't allowed, even for a Rank S like you.\Who were you talking to?\If you don't want to tell me, that's fine. response:	I can easily find out just by looking at your call history.
context: Hello?\Yes.\The student body is on the verge of collapse.\Yes, Ouma's keeping them in check with his power for now...\Criticizing President Ouma isn't allowed, even for a Rank S like you.\Who were you talking to?\If you don't want to tell me, that's fine.\I can easily find out just by looking at your call history. response:	All right.
context: Yes.\The student body is on the verge of collapse.\Yes, Ouma's keeping them in check with his power for now...\Criticizing President Ouma isn't allowed, even for a Rank S like you.\Who were you talking to?\If you don't want to tell me, that's fine.\I can easily find out just by looking at your call history.\All right. response:	Will you draw it out, then?
context: The student body is on the verge of collapse.\Yes, Ouma's keeping them in check with his power for now...\Criticizing President Ouma isn't allowed, even for a Rank S like you.\Who were you talking to?\If you don't want to tell me, that's fine.\I can easily find out just by looking at your call history.\All right.\Will you draw it out, then? response:	My...
context: Yes, Ouma's keeping them in check with his power for now...\Criticizing President Ouma isn't allowed, even for a Rank S like you.\Who were you talking to?\If you don't want to tell me, that's fine.\I can easily find out just by looking at your call history.\All right.\Will you draw it out, then?\My... response:	Void...
context: Criticizing President Ouma isn't allowed, even for a Rank S like you.\Who were you talking to?\If you don't want to tell me, that's fine.\I can easily find out just by looking at your call history.\All right.\Will you draw it out, then?\My...\Void... response:	You sure about this, Nanba?
context: Who were you talking to?\If you don't want to tell me, that's fine.\I can easily find out just by looking at your call history.\All right.\Will you draw it out, then?\My...\Void...\You sure about this, Nanba? response:	Yeah.
context: If you don't want to tell me, that's fine.\I can easily find out just by looking at your call history.\All right.\Will you draw it out, then?\My...\Void...\You sure about this, Nanba?\Yeah. response:	I already received an advance payment, after all.
context: I can easily find out just by looking at your call history.\All right.\Will you draw it out, then?\My...\Void...\You sure about this, Nanba?\Yeah.\I already received an advance payment, after all. response:	Well, I guess this means it's about time.
context: All right.\Will you draw it out, then?\My...\Void...\You sure about this, Nanba?\Yeah.\I already received an advance payment, after all.\Well, I guess this means it's about time. response:	Here goes.
context: Will you draw it out, then?\My...\Void...\You sure about this, Nanba?\Yeah.\I already received an advance payment, after all.\Well, I guess this means it's about time.\Here goes. response:	Hey, what's this about?!
context: My...\Void...\You sure about this, Nanba?\Yeah.\I already received an advance payment, after all.\Well, I guess this means it's about time.\Here goes.\Hey, what's this about?! response:	Ouma Shu's hiding it,
context: Void...\You sure about this, Nanba?\Yeah.\I already received an advance payment, after all.\Well, I guess this means it's about time.\Here goes.\Hey, what's this about?!\Ouma Shu's hiding it, response:	but if your Void breaks...
context: You sure about this, Nanba?\Yeah.\I already received an advance payment, after all.\Well, I guess this means it's about time.\Here goes.\Hey, what's this about?!\Ouma Shu's hiding it,\but if your Void breaks... response:	What the hell? He's hidden that from us to use our Voids?!
context: Yeah.\I already received an advance payment, after all.\Well, I guess this means it's about time.\Here goes.\Hey, what's this about?!\Ouma Shu's hiding it,\but if your Void breaks...\What the hell? He's hidden that from us to use our Voids?! response:	This is unforgivable... He's going to pay for this!
context: I already received an advance payment, after all.\Well, I guess this means it's about time.\Here goes.\Hey, what's this about?!\Ouma Shu's hiding it,\but if your Void breaks...\What the hell? He's hidden that from us to use our Voids?!\This is unforgivable... He's going to pay for this! response:	Drop dead, Shu!
context: Well, I guess this means it's about time.\Here goes.\Hey, what's this about?!\Ouma Shu's hiding it,\but if your Void breaks...\What the hell? He's hidden that from us to use our Voids?!\This is unforgivable... He's going to pay for this!\Drop dead, Shu! response:	Go to hell!
context: Here goes.\Hey, what's this about?!\Ouma Shu's hiding it,\but if your Void breaks...\What the hell? He's hidden that from us to use our Voids?!\This is unforgivable... He's going to pay for this!\Drop dead, Shu!\Go to hell! response:	A total of ninety-eight cover-ups and fabrications have been unearthed
context: Hey, what's this about?!\Ouma Shu's hiding it,\but if your Void breaks...\What the hell? He's hidden that from us to use our Voids?!\This is unforgivable... He's going to pay for this!\Drop dead, Shu!\Go to hell!\A total of ninety-eight cover-ups and fabrications have been unearthed response:	in the reports from the Japanese government.
context: Ouma Shu's hiding it,\but if your Void breaks...\What the hell? He's hidden that from us to use our Voids?!\This is unforgivable... He's going to pay for this!\Drop dead, Shu!\Go to hell!\A total of ninety-eight cover-ups and fabrications have been unearthed\in the reports from the Japanese government. response:	I knew it was a mistake to entrust this to Keido.
context: but if your Void breaks...\What the hell? He's hidden that from us to use our Voids?!\This is unforgivable... He's going to pay for this!\Drop dead, Shu!\Go to hell!\A total of ninety-eight cover-ups and fabrications have been unearthed\in the reports from the Japanese government.\I knew it was a mistake to entrust this to Keido. response:	We've been reaching out to them for almost a decade now...
context: What the hell? He's hidden that from us to use our Voids?!\This is unforgivable... He's going to pay for this!\Drop dead, Shu!\Go to hell!\A total of ninety-eight cover-ups and fabrications have been unearthed\in the reports from the Japanese government.\I knew it was a mistake to entrust this to Keido.\We've been reaching out to them for almost a decade now... response:	Don't you think we've done enough?
context: This is unforgivable... He's going to pay for this!\Drop dead, Shu!\Go to hell!\A total of ninety-eight cover-ups and fabrications have been unearthed\in the reports from the Japanese government.\I knew it was a mistake to entrust this to Keido.\We've been reaching out to them for almost a decade now...\Don't you think we've done enough? response:	You want to abandon them?
context: Drop dead, Shu!\Go to hell!\A total of ninety-eight cover-ups and fabrications have been unearthed\in the reports from the Japanese government.\I knew it was a mistake to entrust this to Keido.\We've been reaching out to them for almost a decade now...\Don't you think we've done enough?\You want to abandon them? response:	The U.N. would exchange the defunct Japanese yen at a fixed rate.
context: Go to hell!\A total of ninety-eight cover-ups and fabrications have been unearthed\in the reports from the Japanese government.\I knew it was a mistake to entrust this to Keido.\We've been reaching out to them for almost a decade now...\Don't you think we've done enough?\You want to abandon them?\The U.N. would exchange the defunct Japanese yen at a fixed rate. response:	In that case...
context: A total of ninety-eight cover-ups and fabrications have been unearthed\in the reports from the Japanese government.\I knew it was a mistake to entrust this to Keido.\We've been reaching out to them for almost a decade now...\Don't you think we've done enough?\You want to abandon them?\The U.N. would exchange the defunct Japanese yen at a fixed rate.\In that case... response:	Now that your representatives have reached an accord,
context: in the reports from the Japanese government.\I knew it was a mistake to entrust this to Keido.\We've been reaching out to them for almost a decade now...\Don't you think we've done enough?\You want to abandon them?\The U.N. would exchange the defunct Japanese yen at a fixed rate.\In that case...\Now that your representatives have reached an accord, response:	let's hear the details of your plan.
context: I knew it was a mistake to entrust this to Keido.\We've been reaching out to them for almost a decade now...\Don't you think we've done enough?\You want to abandon them?\The U.N. would exchange the defunct Japanese yen at a fixed rate.\In that case...\Now that your representatives have reached an accord,\let's hear the details of your plan. response:	It's not very nice to spread idle rumors.
context: We've been reaching out to them for almost a decade now...\Don't you think we've done enough?\You want to abandon them?\The U.N. would exchange the defunct Japanese yen at a fixed rate.\In that case...\Now that your representatives have reached an accord,\let's hear the details of your plan.\It's not very nice to spread idle rumors. response:	Rumors?
context: Don't you think we've done enough?\You want to abandon them?\The U.N. would exchange the defunct Japanese yen at a fixed rate.\In that case...\Now that your representatives have reached an accord,\let's hear the details of your plan.\It's not very nice to spread idle rumors.\Rumors? response:	The rumor that if your Void breaks, you die.
context: You want to abandon them?\The U.N. would exchange the defunct Japanese yen at a fixed rate.\In that case...\Now that your representatives have reached an accord,\let's hear the details of your plan.\It's not very nice to spread idle rumors.\Rumors?\The rumor that if your Void breaks, you die. response:	Are you sure that's not the truth, rather than a just a rumor?
context: The U.N. would exchange the defunct Japanese yen at a fixed rate.\In that case...\Now that your representatives have reached an accord,\let's hear the details of your plan.\It's not very nice to spread idle rumors.\Rumors?\The rumor that if your Void breaks, you die.\Are you sure that's not the truth, rather than a just a rumor? response:	It's a rumor. If it wasn't, our whole establishment would break down.
context: In that case...\Now that your representatives have reached an accord,\let's hear the details of your plan.\It's not very nice to spread idle rumors.\Rumors?\The rumor that if your Void breaks, you die.\Are you sure that's not the truth, rather than a just a rumor?\It's a rumor. If it wasn't, our whole establishment would break down. response:	So you've come to silence me this time?
context: Now that your representatives have reached an accord,\let's hear the details of your plan.\It's not very nice to spread idle rumors.\Rumors?\The rumor that if your Void breaks, you die.\Are you sure that's not the truth, rather than a just a rumor?\It's a rumor. If it wasn't, our whole establishment would break down.\So you've come to silence me this time? response:	This time?
context: let's hear the details of your plan.\It's not very nice to spread idle rumors.\Rumors?\The rumor that if your Void breaks, you die.\Are you sure that's not the truth, rather than a just a rumor?\It's a rumor. If it wasn't, our whole establishment would break down.\So you've come to silence me this time?\This time? response:	Anyone who defies your establishment is punished.
context: It's not very nice to spread idle rumors.\Rumors?\The rumor that if your Void breaks, you die.\Are you sure that's not the truth, rather than a just a rumor?\It's a rumor. If it wasn't, our whole establishment would break down.\So you've come to silence me this time?\This time?\Anyone who defies your establishment is punished. response:	Isn't that what you've come to say?
context: Rumors?\The rumor that if your Void breaks, you die.\Are you sure that's not the truth, rather than a just a rumor?\It's a rumor. If it wasn't, our whole establishment would break down.\So you've come to silence me this time?\This time?\Anyone who defies your establishment is punished.\Isn't that what you've come to say? response:	We would never order something like that.
context: The rumor that if your Void breaks, you die.\Are you sure that's not the truth, rather than a just a rumor?\It's a rumor. If it wasn't, our whole establishment would break down.\So you've come to silence me this time?\This time?\Anyone who defies your establishment is punished.\Isn't that what you've come to say?\We would never order something like that. response:	I see. Let me tell you who did it, then.
context: Are you sure that's not the truth, rather than a just a rumor?\It's a rumor. If it wasn't, our whole establishment would break down.\So you've come to silence me this time?\This time?\Anyone who defies your establishment is punished.\Isn't that what you've come to say?\We would never order something like that.\I see. Let me tell you who did it, then. response:	Penalty?
context: It's a rumor. If it wasn't, our whole establishment would break down.\So you've come to silence me this time?\This time?\Anyone who defies your establishment is punished.\Isn't that what you've come to say?\We would never order something like that.\I see. Let me tell you who did it, then.\Penalty? response:	For the sin of trampling all over people's hearts...
context: So you've come to silence me this time?\This time?\Anyone who defies your establishment is punished.\Isn't that what you've come to say?\We would never order something like that.\I see. Let me tell you who did it, then.\Penalty?\For the sin of trampling all over people's hearts... response:	Then I would pay for it, too.
context: This time?\Anyone who defies your establishment is punished.\Isn't that what you've come to say?\We would never order something like that.\I see. Let me tell you who did it, then.\Penalty?\For the sin of trampling all over people's hearts...\Then I would pay for it, too. response:	Why would you say that?
context: Anyone who defies your establishment is punished.\Isn't that what you've come to say?\We would never order something like that.\I see. Let me tell you who did it, then.\Penalty?\For the sin of trampling all over people's hearts...\Then I would pay for it, too.\Why would you say that? response:	I'm probably the one who hurt Kuhouin.
context: Isn't that what you've come to say?\We would never order something like that.\I see. Let me tell you who did it, then.\Penalty?\For the sin of trampling all over people's hearts...\Then I would pay for it, too.\Why would you say that?\I'm probably the one who hurt Kuhouin. response:	What are you talking about?
context: We would never order something like that.\I see. Let me tell you who did it, then.\Penalty?\For the sin of trampling all over people's hearts...\Then I would pay for it, too.\Why would you say that?\I'm probably the one who hurt Kuhouin.\What are you talking about? response:	I thought she was about to cause trouble for you, Shu.
context: I see. Let me tell you who did it, then.\Penalty?\For the sin of trampling all over people's hearts...\Then I would pay for it, too.\Why would you say that?\I'm probably the one who hurt Kuhouin.\What are you talking about?\I thought she was about to cause trouble for you, Shu. response:	It made me shudder inside...
context: Penalty?\For the sin of trampling all over people's hearts...\Then I would pay for it, too.\Why would you say that?\I'm probably the one who hurt Kuhouin.\What are you talking about?\I thought she was about to cause trouble for you, Shu.\It made me shudder inside... response:	and I probably...
context: For the sin of trampling all over people's hearts...\Then I would pay for it, too.\Why would you say that?\I'm probably the one who hurt Kuhouin.\What are you talking about?\I thought she was about to cause trouble for you, Shu.\It made me shudder inside...\and I probably... response:	I'm afraid of myself.
context: Then I would pay for it, too.\Why would you say that?\I'm probably the one who hurt Kuhouin.\What are you talking about?\I thought she was about to cause trouble for you, Shu.\It made me shudder inside...\and I probably...\I'm afraid of myself. response:	Because I'm a monster...
context: Why would you say that?\I'm probably the one who hurt Kuhouin.\What are you talking about?\I thought she was about to cause trouble for you, Shu.\It made me shudder inside...\and I probably...\I'm afraid of myself.\Because I'm a monster... response:	It's okay.
context: I'm probably the one who hurt Kuhouin.\What are you talking about?\I thought she was about to cause trouble for you, Shu.\It made me shudder inside...\and I probably...\I'm afraid of myself.\Because I'm a monster...\It's okay. response:	Don't worry.
context: What are you talking about?\I thought she was about to cause trouble for you, Shu.\It made me shudder inside...\and I probably...\I'm afraid of myself.\Because I'm a monster...\It's okay.\Don't worry. response:	In this school, I'm the king.
context: I thought she was about to cause trouble for you, Shu.\It made me shudder inside...\and I probably...\I'm afraid of myself.\Because I'm a monster...\It's okay.\Don't worry.\In this school, I'm the king. response:	I'll never let anyone hurt you.
context: It made me shudder inside...\and I probably...\I'm afraid of myself.\Because I'm a monster...\It's okay.\Don't worry.\In this school, I'm the king.\I'll never let anyone hurt you. response:	Shu.
context: and I probably...\I'm afraid of myself.\Because I'm a monster...\It's okay.\Don't worry.\In this school, I'm the king.\I'll never let anyone hurt you.\Shu. response:	I found out who attacked Kuhouin Arisa.
context: I'm afraid of myself.\Because I'm a monster...\It's okay.\Don't worry.\In this school, I'm the king.\I'll never let anyone hurt you.\Shu.\I found out who attacked Kuhouin Arisa. response:	Who was it?
context: Because I'm a monster...\It's okay.\Don't worry.\In this school, I'm the king.\I'll never let anyone hurt you.\Shu.\I found out who attacked Kuhouin Arisa.\Who was it? response:	Yuzuriha Inori. I have testimony from an eyewitness.
context: It's okay.\Don't worry.\In this school, I'm the king.\I'll never let anyone hurt you.\Shu.\I found out who attacked Kuhouin Arisa.\Who was it?\Yuzuriha Inori. I have testimony from an eyewitness. response:	I see. So?
context: Don't worry.\In this school, I'm the king.\I'll never let anyone hurt you.\Shu.\I found out who attacked Kuhouin Arisa.\Who was it?\Yuzuriha Inori. I have testimony from an eyewitness.\I see. So? response:	You're too hung up on Yuzuriha, Shu.
context: In this school, I'm the king.\I'll never let anyone hurt you.\Shu.\I found out who attacked Kuhouin Arisa.\Who was it?\Yuzuriha Inori. I have testimony from an eyewitness.\I see. So?\You're too hung up on Yuzuriha, Shu. response:	If we allow special treatment, we'll lose control of the students.
context: I'll never let anyone hurt you.\Shu.\I found out who attacked Kuhouin Arisa.\Who was it?\Yuzuriha Inori. I have testimony from an eyewitness.\I see. So?\You're too hung up on Yuzuriha, Shu.\If we allow special treatment, we'll lose control of the students. response:	If an enforcer of the rules breaks them
context: Shu.\I found out who attacked Kuhouin Arisa.\Who was it?\Yuzuriha Inori. I have testimony from an eyewitness.\I see. So?\You're too hung up on Yuzuriha, Shu.\If we allow special treatment, we'll lose control of the students.\If an enforcer of the rules breaks them response:	Shut up!
