context: eye catch response:	H!
context: S-Sorry.\It's okay!\As long as you understand, it's...\I'm glad that he understands it when I tell him.\Tell them...\What do you mean, delicious?!\Suddenly shouting in the middle of the hallway?!\You should think about your surroundings for a bit! response:	U-Um, you can't take something like that to school...
context: It's okay!\As long as you understand, it's...\I'm glad that he understands it when I tell him.\Tell them...\What do you mean, delicious?!\Suddenly shouting in the middle of the hallway?!\You should think about your surroundings for a bit!\U-Um, you can't take something like that to school... response:	Misato, let's go.
context: As long as you understand, it's...\I'm glad that he understands it when I tell him.\Tell them...\What do you mean, delicious?!\Suddenly shouting in the middle of the hallway?!\You should think about your surroundings for a bit!\U-Um, you can't take something like that to school...\Misato, let's go. response:	Ah, okay.
context: I'm glad that he understands it when I tell him.\Tell them...\What do you mean, delicious?!\Suddenly shouting in the middle of the hallway?!\You should think about your surroundings for a bit!\U-Um, you can't take something like that to school...\Misato, let's go.\Ah, okay. response:	Sasahara, I have something to talk to you about during lunch, so...
context: Tell them...\What do you mean, delicious?!\Suddenly shouting in the middle of the hallway?!\You should think about your surroundings for a bit!\U-Um, you can't take something like that to school...\Misato, let's go.\Ah, okay.\Sasahara, I have something to talk to you about during lunch, so... response:	This school might really be lacking discipline.
context: What do you mean, delicious?!\Suddenly shouting in the middle of the hallway?!\You should think about your surroundings for a bit!\U-Um, you can't take something like that to school...\Misato, let's go.\Ah, okay.\Sasahara, I have something to talk to you about during lunch, so...\This school might really be lacking discipline. response:	That was rude.
context: Suddenly shouting in the middle of the hallway?!\You should think about your surroundings for a bit!\U-Um, you can't take something like that to school...\Misato, let's go.\Ah, okay.\Sasahara, I have something to talk to you about during lunch, so...\This school might really be lacking discipline.\That was rude. response:	Tachibana Misato didn't mean any harm either.
context: You should think about your surroundings for a bit!\U-Um, you can't take something like that to school...\Misato, let's go.\Ah, okay.\Sasahara, I have something to talk to you about during lunch, so...\This school might really be lacking discipline.\That was rude.\Tachibana Misato didn't mean any harm either. response:	Please forgive her.
context: U-Um, you can't take something like that to school...\Misato, let's go.\Ah, okay.\Sasahara, I have something to talk to you about during lunch, so...\This school might really be lacking discipline.\That was rude.\Tachibana Misato didn't mean any harm either.\Please forgive her. response:	Ah, yes.
context: Misato, let's go.\Ah, okay.\Sasahara, I have something to talk to you about during lunch, so...\This school might really be lacking discipline.\That was rude.\Tachibana Misato didn't mean any harm either.\Please forgive her.\Ah, yes. response:	Sorry about that.
context: Ah, okay.\Sasahara, I have something to talk to you about during lunch, so...\This school might really be lacking discipline.\That was rude.\Tachibana Misato didn't mean any harm either.\Please forgive her.\Ah, yes.\Sorry about that. response:	E-Excuse me!
context: Sasahara, I have something to talk to you about during lunch, so...\This school might really be lacking discipline.\That was rude.\Tachibana Misato didn't mean any harm either.\Please forgive her.\Ah, yes.\Sorry about that.\E-Excuse me! response:	What is that?
context: This school might really be lacking discipline.\That was rude.\Tachibana Misato didn't mean any harm either.\Please forgive her.\Ah, yes.\Sorry about that.\E-Excuse me!\What is that? response:	That frilly thing around your neck...
context: That was rude.\Tachibana Misato didn't mean any harm either.\Please forgive her.\Ah, yes.\Sorry about that.\E-Excuse me!\What is that?\That frilly thing around your neck... response:	Ah, this?
context: Tachibana Misato didn't mean any harm either.\Please forgive her.\Ah, yes.\Sorry about that.\E-Excuse me!\What is that?\That frilly thing around your neck...\Ah, this? response:	Yes.
context: Please forgive her.\Ah, yes.\Sorry about that.\E-Excuse me!\What is that?\That frilly thing around your neck...\Ah, this?\Yes. response:	I was thinking it's kinda cute.
context: Ah, yes.\Sorry about that.\E-Excuse me!\What is that?\That frilly thing around your neck...\Ah, this?\Yes.\I was thinking it's kinda cute. response:	The ordinary days that we have been living might actually be a chain of miracles.
context: Sorry about that.\E-Excuse me!\What is that?\That frilly thing around your neck...\Ah, this?\Yes.\I was thinking it's kinda cute.\The ordinary days that we have been living might actually be a chain of miracles. response:	As it were, it might be something like that.
context: E-Excuse me!\What is that?\That frilly thing around your neck...\Ah, this?\Yes.\I was thinking it's kinda cute.\The ordinary days that we have been living might actually be a chain of miracles.\As it were, it might be something like that. response:	Ah, hm, so in other words, what is that frilly thing...
context: What is that?\That frilly thing around your neck...\Ah, this?\Yes.\I was thinking it's kinda cute.\The ordinary days that we have been living might actually be a chain of miracles.\As it were, it might be something like that.\Ah, hm, so in other words, what is that frilly thing... response:	It's ***, I say.
context: That frilly thing around your neck...\Ah, this?\Yes.\I was thinking it's kinda cute.\The ordinary days that we have been living might actually be a chain of miracles.\As it were, it might be something like that.\Ah, hm, so in other words, what is that frilly thing...\It's ***, I say. response:	Well then, Miss, we shall meet again in class.
context: Ah, this?\Yes.\I was thinking it's kinda cute.\The ordinary days that we have been living might actually be a chain of miracles.\As it were, it might be something like that.\Ah, hm, so in other words, what is that frilly thing...\It's ***, I say.\Well then, Miss, we shall meet again in class. response:	Hmm...
context: Yes.\I was thinking it's kinda cute.\The ordinary days that we have been living might actually be a chain of miracles.\As it were, it might be something like that.\Ah, hm, so in other words, what is that frilly thing...\It's ***, I say.\Well then, Miss, we shall meet again in class.\Hmm... response:	Thank you... very much.
context: I was thinking it's kinda cute.\The ordinary days that we have been living might actually be a chain of miracles.\As it were, it might be something like that.\Ah, hm, so in other words, what is that frilly thing...\It's ***, I say.\Well then, Miss, we shall meet again in class.\Hmm...\Thank you... very much. response:	Wanna try it?
context: The ordinary days that we have been living might actually be a chain of miracles.\As it were, it might be something like that.\Ah, hm, so in other words, what is that frilly thing...\It's ***, I say.\Well then, Miss, we shall meet again in class.\Hmm...\Thank you... very much.\Wanna try it? response:	Sure, it looks fun.
context: As it were, it might be something like that.\Ah, hm, so in other words, what is that frilly thing...\It's ***, I say.\Well then, Miss, we shall meet again in class.\Hmm...\Thank you... very much.\Wanna try it?\Sure, it looks fun. response:	Excuse me, Nakanojou-kun!
context: Ah, hm, so in other words, what is that frilly thing...\It's ***, I say.\Well then, Miss, we shall meet again in class.\Hmm...\Thank you... very much.\Wanna try it?\Sure, it looks fun.\Excuse me, Nakanojou-kun! response:	Yes, what is it?
