context: These days you love me no more response:	nor am I still treasured by you
context: and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\Guys, we've got trouble! response:	What's wrong?
context: even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\Guys, we've got trouble!\What's wrong? response:	The Leukocyte was just fired at Point Delta!
context: and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\Guys, we've got trouble!\What's wrong?\The Leukocyte was just fired at Point Delta! response:	At the place where Gai is?
context: I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\Guys, we've got trouble!\What's wrong?\The Leukocyte was just fired at Point Delta!\At the place where Gai is? response:	The Leukocyte is a constellation of Quasi-Zenith Satellites.
context: I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\Guys, we've got trouble!\What's wrong?\The Leukocyte was just fired at Point Delta!\At the place where Gai is?\The Leukocyte is a constellation of Quasi-Zenith Satellites. response:	When it's completed, it will have full 24-hour coverage directly over Japan
context: So everything that makes me whole\I'll give that to you now\Guys, we've got trouble!\What's wrong?\The Leukocyte was just fired at Point Delta!\At the place where Gai is?\The Leukocyte is a constellation of Quasi-Zenith Satellites.\When it's completed, it will have full 24-hour coverage directly over Japan response:	and be able to strike at any target in our country at any time.
context: I'll give that to you now\Guys, we've got trouble!\What's wrong?\The Leukocyte was just fired at Point Delta!\At the place where Gai is?\The Leukocyte is a constellation of Quasi-Zenith Satellites.\When it's completed, it will have full 24-hour coverage directly over Japan\and be able to strike at any target in our country at any time. response:	Why would they build something like that?
context: Guys, we've got trouble!\What's wrong?\The Leukocyte was just fired at Point Delta!\At the place where Gai is?\The Leukocyte is a constellation of Quasi-Zenith Satellites.\When it's completed, it will have full 24-hour coverage directly over Japan\and be able to strike at any target in our country at any time.\Why would they build something like that? response:	To exterminate the Japanese people.
context: What's wrong?\The Leukocyte was just fired at Point Delta!\At the place where Gai is?\The Leukocyte is a constellation of Quasi-Zenith Satellites.\When it's completed, it will have full 24-hour coverage directly over Japan\and be able to strike at any target in our country at any time.\Why would they build something like that?\To exterminate the Japanese people. response:	Gai?!
context: The Leukocyte was just fired at Point Delta!\At the place where Gai is?\The Leukocyte is a constellation of Quasi-Zenith Satellites.\When it's completed, it will have full 24-hour coverage directly over Japan\and be able to strike at any target in our country at any time.\Why would they build something like that?\To exterminate the Japanese people.\Gai?! response:	Are you all right? Are you injured?
context: At the place where Gai is?\The Leukocyte is a constellation of Quasi-Zenith Satellites.\When it's completed, it will have full 24-hour coverage directly over Japan\and be able to strike at any target in our country at any time.\Why would they build something like that?\To exterminate the Japanese people.\Gai?!\Are you all right? Are you injured? response:	Just a few scratches.
context: The Leukocyte is a constellation of Quasi-Zenith Satellites.\When it's completed, it will have full 24-hour coverage directly over Japan\and be able to strike at any target in our country at any time.\Why would they build something like that?\To exterminate the Japanese people.\Gai?!\Are you all right? Are you injured?\Just a few scratches. response:	And Kyo and the others?
context: When it's completed, it will have full 24-hour coverage directly over Japan\and be able to strike at any target in our country at any time.\Why would they build something like that?\To exterminate the Japanese people.\Gai?!\Are you all right? Are you injured?\Just a few scratches.\And Kyo and the others? response:	They were less fortunate.
context: and be able to strike at any target in our country at any time.\Why would they build something like that?\To exterminate the Japanese people.\Gai?!\Are you all right? Are you injured?\Just a few scratches.\And Kyo and the others?\They were less fortunate. response:	All our reinforcements were annihilated,
context: Why would they build something like that?\To exterminate the Japanese people.\Gai?!\Are you all right? Are you injured?\Just a few scratches.\And Kyo and the others?\They were less fortunate.\All our reinforcements were annihilated, response:	and the supplies are unrecoverable.
context: To exterminate the Japanese people.\Gai?!\Are you all right? Are you injured?\Just a few scratches.\And Kyo and the others?\They were less fortunate.\All our reinforcements were annihilated,\and the supplies are unrecoverable. response:	Shall we take a moment to regroup?
context: Gai?!\Are you all right? Are you injured?\Just a few scratches.\And Kyo and the others?\They were less fortunate.\All our reinforcements were annihilated,\and the supplies are unrecoverable.\Shall we take a moment to regroup? response:	No. There's no time to waste now.
context: Are you all right? Are you injured?\Just a few scratches.\And Kyo and the others?\They were less fortunate.\All our reinforcements were annihilated,\and the supplies are unrecoverable.\Shall we take a moment to regroup?\No. There's no time to waste now. response:	We'll begin our operation.
context: Just a few scratches.\And Kyo and the others?\They were less fortunate.\All our reinforcements were annihilated,\and the supplies are unrecoverable.\Shall we take a moment to regroup?\No. There's no time to waste now.\We'll begin our operation. response:	Are you ready, Gai?
context: And Kyo and the others?\They were less fortunate.\All our reinforcements were annihilated,\and the supplies are unrecoverable.\Shall we take a moment to regroup?\No. There's no time to waste now.\We'll begin our operation.\Are you ready, Gai? response:	Yes.
context: They were less fortunate.\All our reinforcements were annihilated,\and the supplies are unrecoverable.\Shall we take a moment to regroup?\No. There's no time to waste now.\We'll begin our operation.\Are you ready, Gai?\Yes. response:	It looks like we're all here.
context: All our reinforcements were annihilated,\and the supplies are unrecoverable.\Shall we take a moment to regroup?\No. There's no time to waste now.\We'll begin our operation.\Are you ready, Gai?\Yes.\It looks like we're all here. response:	The target of this operation is the Leukocyte control facility at the base of the Tsukigase Dam.
context: and the supplies are unrecoverable.\Shall we take a moment to regroup?\No. There's no time to waste now.\We'll begin our operation.\Are you ready, Gai?\Yes.\It looks like we're all here.\The target of this operation is the Leukocyte control facility at the base of the Tsukigase Dam. response:	We're going to sneak into its bottom floor and stop the control cores.
context: Shall we take a moment to regroup?\No. There's no time to waste now.\We'll begin our operation.\Are you ready, Gai?\Yes.\It looks like we're all here.\The target of this operation is the Leukocyte control facility at the base of the Tsukigase Dam.\We're going to sneak into its bottom floor and stop the control cores. response:	Are we gonna smash'em up?
context: No. There's no time to waste now.\We'll begin our operation.\Are you ready, Gai?\Yes.\It looks like we're all here.\The target of this operation is the Leukocyte control facility at the base of the Tsukigase Dam.\We're going to sneak into its bottom floor and stop the control cores.\Are we gonna smash'em up? response:	Kenji.
context: We'll begin our operation.\Are you ready, Gai?\Yes.\It looks like we're all here.\The target of this operation is the Leukocyte control facility at the base of the Tsukigase Dam.\We're going to sneak into its bottom floor and stop the control cores.\Are we gonna smash'em up?\Kenji. response:	Yessir.
context: Are you ready, Gai?\Yes.\It looks like we're all here.\The target of this operation is the Leukocyte control facility at the base of the Tsukigase Dam.\We're going to sneak into its bottom floor and stop the control cores.\Are we gonna smash'em up?\Kenji.\Yessir. response:	This is the Leukocyte.
context: Yes.\It looks like we're all here.\The target of this operation is the Leukocyte control facility at the base of the Tsukigase Dam.\We're going to sneak into its bottom floor and stop the control cores.\Are we gonna smash'em up?\Kenji.\Yessir.\This is the Leukocyte. response:	See, it's controlled through a quantum cryptography system on the ground.
context: It looks like we're all here.\The target of this operation is the Leukocyte control facility at the base of the Tsukigase Dam.\We're going to sneak into its bottom floor and stop the control cores.\Are we gonna smash'em up?\Kenji.\Yessir.\This is the Leukocyte.\See, it's controlled through a quantum cryptography system on the ground. response:	And 200 meters below the dam, voila!
context: The target of this operation is the Leukocyte control facility at the base of the Tsukigase Dam.\We're going to sneak into its bottom floor and stop the control cores.\Are we gonna smash'em up?\Kenji.\Yessir.\This is the Leukocyte.\See, it's controlled through a quantum cryptography system on the ground.\And 200 meters below the dam, voila! response:	This is the control device.
context: We're going to sneak into its bottom floor and stop the control cores.\Are we gonna smash'em up?\Kenji.\Yessir.\This is the Leukocyte.\See, it's controlled through a quantum cryptography system on the ground.\And 200 meters below the dam, voila!\This is the control device. response:	The cores are housed in a superconductive float cage,
context: Are we gonna smash'em up?\Kenji.\Yessir.\This is the Leukocyte.\See, it's controlled through a quantum cryptography system on the ground.\And 200 meters below the dam, voila!\This is the control device.\The cores are housed in a superconductive float cage, response:	and it switches to autistic mode in response to any physical stimulus.
context: Kenji.\Yessir.\This is the Leukocyte.\See, it's controlled through a quantum cryptography system on the ground.\And 200 meters below the dam, voila!\This is the control device.\The cores are housed in a superconductive float cage,\and it switches to autistic mode in response to any physical stimulus. response:	At that point it's game over.
context: Yessir.\This is the Leukocyte.\See, it's controlled through a quantum cryptography system on the ground.\And 200 meters below the dam, voila!\This is the control device.\The cores are housed in a superconductive float cage,\and it switches to autistic mode in response to any physical stimulus.\At that point it's game over. response:	You won't be able to manipulate it from the outside at all.
context: This is the Leukocyte.\See, it's controlled through a quantum cryptography system on the ground.\And 200 meters below the dam, voila!\This is the control device.\The cores are housed in a superconductive float cage,\and it switches to autistic mode in response to any physical stimulus.\At that point it's game over.\You won't be able to manipulate it from the outside at all. response:	In other words, in order to send this thing the signal to stop,
context: See, it's controlled through a quantum cryptography system on the ground.\And 200 meters below the dam, voila!\This is the control device.\The cores are housed in a superconductive float cage,\and it switches to autistic mode in response to any physical stimulus.\At that point it's game over.\You won't be able to manipulate it from the outside at all.\In other words, in order to send this thing the signal to stop, response:	you have to manipulate the cores without touching them.
context: And 200 meters below the dam, voila!\This is the control device.\The cores are housed in a superconductive float cage,\and it switches to autistic mode in response to any physical stimulus.\At that point it's game over.\You won't be able to manipulate it from the outside at all.\In other words, in order to send this thing the signal to stop,\you have to manipulate the cores without touching them. response:	Without touching them?
context: This is the control device.\The cores are housed in a superconductive float cage,\and it switches to autistic mode in response to any physical stimulus.\At that point it's game over.\You won't be able to manipulate it from the outside at all.\In other words, in order to send this thing the signal to stop,\you have to manipulate the cores without touching them.\Without touching them? response:	That's where Shu and Kenji come in.
context: The cores are housed in a superconductive float cage,\and it switches to autistic mode in response to any physical stimulus.\At that point it's game over.\You won't be able to manipulate it from the outside at all.\In other words, in order to send this thing the signal to stop,\you have to manipulate the cores without touching them.\Without touching them?\That's where Shu and Kenji come in. response:	Their abilities, the King's Right Hand and the gravity-controlling Void,
context: and it switches to autistic mode in response to any physical stimulus.\At that point it's game over.\You won't be able to manipulate it from the outside at all.\In other words, in order to send this thing the signal to stop,\you have to manipulate the cores without touching them.\Without touching them?\That's where Shu and Kenji come in.\Their abilities, the King's Right Hand and the gravity-controlling Void, response:	are the keys to this operation.
context: At that point it's game over.\You won't be able to manipulate it from the outside at all.\In other words, in order to send this thing the signal to stop,\you have to manipulate the cores without touching them.\Without touching them?\That's where Shu and Kenji come in.\Their abilities, the King's Right Hand and the gravity-controlling Void,\are the keys to this operation. response:	However, with our reinforcements wiped out...
context: You won't be able to manipulate it from the outside at all.\In other words, in order to send this thing the signal to stop,\you have to manipulate the cores without touching them.\Without touching them?\That's where Shu and Kenji come in.\Their abilities, the King's Right Hand and the gravity-controlling Void,\are the keys to this operation.\However, with our reinforcements wiped out... response:	I have a new proposed plan here.
context: In other words, in order to send this thing the signal to stop,\you have to manipulate the cores without touching them.\Without touching them?\That's where Shu and Kenji come in.\Their abilities, the King's Right Hand and the gravity-controlling Void,\are the keys to this operation.\However, with our reinforcements wiped out...\I have a new proposed plan here. response:	Our projected casualties are up from 5 to 35, but it's possible.
context: you have to manipulate the cores without touching them.\Without touching them?\That's where Shu and Kenji come in.\Their abilities, the King's Right Hand and the gravity-controlling Void,\are the keys to this operation.\However, with our reinforcements wiped out...\I have a new proposed plan here.\Our projected casualties are up from 5 to 35, but it's possible. response:	I'm asking you all to share this.
context: Without touching them?\That's where Shu and Kenji come in.\Their abilities, the King's Right Hand and the gravity-controlling Void,\are the keys to this operation.\However, with our reinforcements wiped out...\I have a new proposed plan here.\Our projected casualties are up from 5 to 35, but it's possible.\I'm asking you all to share this. response:	Are you saying one out of three of us will die?
context: That's where Shu and Kenji come in.\Their abilities, the King's Right Hand and the gravity-controlling Void,\are the keys to this operation.\However, with our reinforcements wiped out...\I have a new proposed plan here.\Our projected casualties are up from 5 to 35, but it's possible.\I'm asking you all to share this.\Are you saying one out of three of us will die? response:	That's...
context: Their abilities, the King's Right Hand and the gravity-controlling Void,\are the keys to this operation.\However, with our reinforcements wiped out...\I have a new proposed plan here.\Our projected casualties are up from 5 to 35, but it's possible.\I'm asking you all to share this.\Are you saying one out of three of us will die?\That's... response:	The danger will spread to this whole country soon.
context: are the keys to this operation.\However, with our reinforcements wiped out...\I have a new proposed plan here.\Our projected casualties are up from 5 to 35, but it's possible.\I'm asking you all to share this.\Are you saying one out of three of us will die?\That's...\The danger will spread to this whole country soon. response:	We have no choice but to contain it now.
context: However, with our reinforcements wiped out...\I have a new proposed plan here.\Our projected casualties are up from 5 to 35, but it's possible.\I'm asking you all to share this.\Are you saying one out of three of us will die?\That's...\The danger will spread to this whole country soon.\We have no choice but to contain it now. response:	I don't like it.
context: I have a new proposed plan here.\Our projected casualties are up from 5 to 35, but it's possible.\I'm asking you all to share this.\Are you saying one out of three of us will die?\That's...\The danger will spread to this whole country soon.\We have no choice but to contain it now.\I don't like it. response:	If someone dies because I screw up, won't they die for nothing?
context: Our projected casualties are up from 5 to 35, but it's possible.\I'm asking you all to share this.\Are you saying one out of three of us will die?\That's...\The danger will spread to this whole country soon.\We have no choice but to contain it now.\I don't like it.\If someone dies because I screw up, won't they die for nothing? response:	I'll take the blame.
context: I'm asking you all to share this.\Are you saying one out of three of us will die?\That's...\The danger will spread to this whole country soon.\We have no choice but to contain it now.\I don't like it.\If someone dies because I screw up, won't they die for nothing?\I'll take the blame. response:	For Kyo and the others, too?
context: Are you saying one out of three of us will die?\That's...\The danger will spread to this whole country soon.\We have no choice but to contain it now.\I don't like it.\If someone dies because I screw up, won't they die for nothing?\I'll take the blame.\For Kyo and the others, too? response:	Words are cheap.
context: That's...\The danger will spread to this whole country soon.\We have no choice but to contain it now.\I don't like it.\If someone dies because I screw up, won't they die for nothing?\I'll take the blame.\For Kyo and the others, too?\Words are cheap. response:	I'm pulling out of this one.
context: The danger will spread to this whole country soon.\We have no choice but to contain it now.\I don't like it.\If someone dies because I screw up, won't they die for nothing?\I'll take the blame.\For Kyo and the others, too?\Words are cheap.\I'm pulling out of this one. response:	Hey, Shu.
context: We have no choice but to contain it now.\I don't like it.\If someone dies because I screw up, won't they die for nothing?\I'll take the blame.\For Kyo and the others, too?\Words are cheap.\I'm pulling out of this one.\Hey, Shu. response:	Quit talking like a spoiled brat.
context: I don't like it.\If someone dies because I screw up, won't they die for nothing?\I'll take the blame.\For Kyo and the others, too?\Words are cheap.\I'm pulling out of this one.\Hey, Shu.\Quit talking like a spoiled brat. response:	I'm saying this for your sake.
context: If someone dies because I screw up, won't they die for nothing?\I'll take the blame.\For Kyo and the others, too?\Words are cheap.\I'm pulling out of this one.\Hey, Shu.\Quit talking like a spoiled brat.\I'm saying this for your sake. response:	It's just messed up to follow him!
context: I'll take the blame.\For Kyo and the others, too?\Words are cheap.\I'm pulling out of this one.\Hey, Shu.\Quit talking like a spoiled brat.\I'm saying this for your sake.\It's just messed up to follow him! response:	You little
context: For Kyo and the others, too?\Words are cheap.\I'm pulling out of this one.\Hey, Shu.\Quit talking like a spoiled brat.\I'm saying this for your sake.\It's just messed up to follow him!\You little response:	Hold on, hold on.
context: Words are cheap.\I'm pulling out of this one.\Hey, Shu.\Quit talking like a spoiled brat.\I'm saying this for your sake.\It's just messed up to follow him!\You little\Hold on, hold on. response:	Who's the bad guy here, you or Gai?
context: I'm pulling out of this one.\Hey, Shu.\Quit talking like a spoiled brat.\I'm saying this for your sake.\It's just messed up to follow him!\You little\Hold on, hold on.\Who's the bad guy here, you or Gai? response:	Read the social cues, man.
context: Hey, Shu.\Quit talking like a spoiled brat.\I'm saying this for your sake.\It's just messed up to follow him!\You little\Hold on, hold on.\Who's the bad guy here, you or Gai?\Read the social cues, man. response:	You heard the man.
context: Quit talking like a spoiled brat.\I'm saying this for your sake.\It's just messed up to follow him!\You little\Hold on, hold on.\Who's the bad guy here, you or Gai?\Read the social cues, man.\You heard the man. response:	What now?
context: I'm saying this for your sake.\It's just messed up to follow him!\You little\Hold on, hold on.\Who's the bad guy here, you or Gai?\Read the social cues, man.\You heard the man.\What now? response:	Hm...
context: It's just messed up to follow him!\You little\Hold on, hold on.\Who's the bad guy here, you or Gai?\Read the social cues, man.\You heard the man.\What now?\Hm... response:	There'll be no change of plans.
context: You little\Hold on, hold on.\Who's the bad guy here, you or Gai?\Read the social cues, man.\You heard the man.\What now?\Hm...\There'll be no change of plans. response:	Dismissed!
context: Hold on, hold on.\Who's the bad guy here, you or Gai?\Read the social cues, man.\You heard the man.\What now?\Hm...\There'll be no change of plans.\Dismissed! response:	Shu.
context: Who's the bad guy here, you or Gai?\Read the social cues, man.\You heard the man.\What now?\Hm...\There'll be no change of plans.\Dismissed!\Shu. response:	Oh, it's you, Inori.
context: Read the social cues, man.\You heard the man.\What now?\Hm...\There'll be no change of plans.\Dismissed!\Shu.\Oh, it's you, Inori. response:	I'm sorry for always causing you trouble.
context: You heard the man.\What now?\Hm...\There'll be no change of plans.\Dismissed!\Shu.\Oh, it's you, Inori.\I'm sorry for always causing you trouble. response:	But they don't listen to me eith
context: What now?\Hm...\There'll be no change of plans.\Dismissed!\Shu.\Oh, it's you, Inori.\I'm sorry for always causing you trouble.\But they don't listen to me eith response:	Stop talking like that. I hate it.
context: Hm...\There'll be no change of plans.\Dismissed!\Shu.\Oh, it's you, Inori.\I'm sorry for always causing you trouble.\But they don't listen to me eith\Stop talking like that. I hate it. response:	Sorry.
context: There'll be no change of plans.\Dismissed!\Shu.\Oh, it's you, Inori.\I'm sorry for always causing you trouble.\But they don't listen to me eith\Stop talking like that. I hate it.\Sorry. response:	Shu.
context: Dismissed!\Shu.\Oh, it's you, Inori.\I'm sorry for always causing you trouble.\But they don't listen to me eith\Stop talking like that. I hate it.\Sorry.\Shu. response:	Do exactly as I say.
context: Shu.\Oh, it's you, Inori.\I'm sorry for always causing you trouble.\But they don't listen to me eith\Stop talking like that. I hate it.\Sorry.\Shu.\Do exactly as I say. response:	Leukocyte 3 will transition into its planned orbit in another four hours, and the cage will be complete.
context: Oh, it's you, Inori.\I'm sorry for always causing you trouble.\But they don't listen to me eith\Stop talking like that. I hate it.\Sorry.\Shu.\Do exactly as I say.\Leukocyte 3 will transition into its planned orbit in another four hours, and the cage will be complete. response:	You're on standby until then.
context: I'm sorry for always causing you trouble.\But they don't listen to me eith\Stop talking like that. I hate it.\Sorry.\Shu.\Do exactly as I say.\Leukocyte 3 will transition into its planned orbit in another four hours, and the cage will be complete.\You're on standby until then. response:	I regret to say it won't be in time, then.
context: But they don't listen to me eith\Stop talking like that. I hate it.\Sorry.\Shu.\Do exactly as I say.\Leukocyte 3 will transition into its planned orbit in another four hours, and the cage will be complete.\You're on standby until then.\I regret to say it won't be in time, then. response:	The Undertakers will attack in two hours and seventeen minutes.
context: Stop talking like that. I hate it.\Sorry.\Shu.\Do exactly as I say.\Leukocyte 3 will transition into its planned orbit in another four hours, and the cage will be complete.\You're on standby until then.\I regret to say it won't be in time, then.\The Undertakers will attack in two hours and seventeen minutes. response:	Do you have a private source of information?
context: Sorry.\Shu.\Do exactly as I say.\Leukocyte 3 will transition into its planned orbit in another four hours, and the cage will be complete.\You're on standby until then.\I regret to say it won't be in time, then.\The Undertakers will attack in two hours and seventeen minutes.\Do you have a private source of information? response:	No, just gut feeling... or perhaps, it's more of a hope.
context: Shu.\Do exactly as I say.\Leukocyte 3 will transition into its planned orbit in another four hours, and the cage will be complete.\You're on standby until then.\I regret to say it won't be in time, then.\The Undertakers will attack in two hours and seventeen minutes.\Do you have a private source of information?\No, just gut feeling... or perhaps, it's more of a hope. response:	This is one time I hope your instincts are off, Segai.
context: Do exactly as I say.\Leukocyte 3 will transition into its planned orbit in another four hours, and the cage will be complete.\You're on standby until then.\I regret to say it won't be in time, then.\The Undertakers will attack in two hours and seventeen minutes.\Do you have a private source of information?\No, just gut feeling... or perhaps, it's more of a hope.\This is one time I hope your instincts are off, Segai. response:	Two hours and seventeen minutes?
context: Leukocyte 3 will transition into its planned orbit in another four hours, and the cage will be complete.\You're on standby until then.\I regret to say it won't be in time, then.\The Undertakers will attack in two hours and seventeen minutes.\Do you have a private source of information?\No, just gut feeling... or perhaps, it's more of a hope.\This is one time I hope your instincts are off, Segai.\Two hours and seventeen minutes? response:	Sounds like sundown.
context: You're on standby until then.\I regret to say it won't be in time, then.\The Undertakers will attack in two hours and seventeen minutes.\Do you have a private source of information?\No, just gut feeling... or perhaps, it's more of a hope.\This is one time I hope your instincts are off, Segai.\Two hours and seventeen minutes?\Sounds like sundown. response:	O-Oh, I see. They'll come at sundown!
context: I regret to say it won't be in time, then.\The Undertakers will attack in two hours and seventeen minutes.\Do you have a private source of information?\No, just gut feeling... or perhaps, it's more of a hope.\This is one time I hope your instincts are off, Segai.\Two hours and seventeen minutes?\Sounds like sundown.\O-Oh, I see. They'll come at sundown! response:	This will be your first battle since coming out of the hospital.
context: The Undertakers will attack in two hours and seventeen minutes.\Do you have a private source of information?\No, just gut feeling... or perhaps, it's more of a hope.\This is one time I hope your instincts are off, Segai.\Two hours and seventeen minutes?\Sounds like sundown.\O-Oh, I see. They'll come at sundown!\This will be your first battle since coming out of the hospital. response:	Will you be all right?
context: Do you have a private source of information?\No, just gut feeling... or perhaps, it's more of a hope.\This is one time I hope your instincts are off, Segai.\Two hours and seventeen minutes?\Sounds like sundown.\O-Oh, I see. They'll come at sundown!\This will be your first battle since coming out of the hospital.\Will you be all right? response:	What?!
context: No, just gut feeling... or perhaps, it's more of a hope.\This is one time I hope your instincts are off, Segai.\Two hours and seventeen minutes?\Sounds like sundown.\O-Oh, I see. They'll come at sundown!\This will be your first battle since coming out of the hospital.\Will you be all right?\What?! response:	Who do you think you're talking to?
context: This is one time I hope your instincts are off, Segai.\Two hours and seventeen minutes?\Sounds like sundown.\O-Oh, I see. They'll come at sundown!\This will be your first battle since coming out of the hospital.\Will you be all right?\What?!\Who do you think you're talking to? response:	Those little maggots took my Steiner...
context: Two hours and seventeen minutes?\Sounds like sundown.\O-Oh, I see. They'll come at sundown!\This will be your first battle since coming out of the hospital.\Will you be all right?\What?!\Who do you think you're talking to?\Those little maggots took my Steiner... response:	I'll make them pay.
