context: Fairy Tail 146 Trans response:	After the new Oracion Seis appeared before Natsu and the others,
context: All of the Celestial Spirit Wizards' biological links were broken\and the Infinity Clock's true nature was revealed.\Then, time itself began to fall into chaos...\You say the person who broke out the imprisoned new Oracion Seis was Cardinal Rapowant?!\Yes, sir. I believe it's indisputable.\Please let me investigate.\No. The time isn't right yet.\Chairman, why not? response:	You don't understand how big Zentopia is.
context: and the Infinity Clock's true nature was revealed.\Then, time itself began to fall into chaos...\You say the person who broke out the imprisoned new Oracion Seis was Cardinal Rapowant?!\Yes, sir. I believe it's indisputable.\Please let me investigate.\No. The time isn't right yet.\Chairman, why not?\You don't understand how big Zentopia is. response:	Sir, that's...
context: Then, time itself began to fall into chaos...\You say the person who broke out the imprisoned new Oracion Seis was Cardinal Rapowant?!\Yes, sir. I believe it's indisputable.\Please let me investigate.\No. The time isn't right yet.\Chairman, why not?\You don't understand how big Zentopia is.\Sir, that's... response:	Doranbolt, I'm sorry to say...
context: You say the person who broke out the imprisoned new Oracion Seis was Cardinal Rapowant?!\Yes, sir. I believe it's indisputable.\Please let me investigate.\No. The time isn't right yet.\Chairman, why not?\You don't understand how big Zentopia is.\Sir, that's...\Doranbolt, I'm sorry to say... response:	I heard.
context: Yes, sir. I believe it's indisputable.\Please let me investigate.\No. The time isn't right yet.\Chairman, why not?\You don't understand how big Zentopia is.\Sir, that's...\Doranbolt, I'm sorry to say...\I heard. response:	I see...
context: Please let me investigate.\No. The time isn't right yet.\Chairman, why not?\You don't understand how big Zentopia is.\Sir, that's...\Doranbolt, I'm sorry to say...\I heard.\I see... response:	Honestly, I'm disgusted with myself...
context: No. The time isn't right yet.\Chairman, why not?\You don't understand how big Zentopia is.\Sir, that's...\Doranbolt, I'm sorry to say...\I heard.\I see...\Honestly, I'm disgusted with myself... response:	There's no point in leading the Enforcement and Detention Corps
context: Chairman, why not?\You don't understand how big Zentopia is.\Sir, that's...\Doranbolt, I'm sorry to say...\I heard.\I see...\Honestly, I'm disgusted with myself...\There's no point in leading the Enforcement and Detention Corps response:	if I can't take action during a crisis.
context: You don't understand how big Zentopia is.\Sir, that's...\Doranbolt, I'm sorry to say...\I heard.\I see...\Honestly, I'm disgusted with myself...\There's no point in leading the Enforcement and Detention Corps\if I can't take action during a crisis. response:	Don't give up.
context: Sir, that's...\Doranbolt, I'm sorry to say...\I heard.\I see...\Honestly, I'm disgusted with myself...\There's no point in leading the Enforcement and Detention Corps\if I can't take action during a crisis.\Don't give up. response:	As long as we do everything that we can...
context: Doranbolt, I'm sorry to say...\I heard.\I see...\Honestly, I'm disgusted with myself...\There's no point in leading the Enforcement and Detention Corps\if I can't take action during a crisis.\Don't give up.\As long as we do everything that we can... response:	Doranbolt...
context: I heard.\I see...\Honestly, I'm disgusted with myself...\There's no point in leading the Enforcement and Detention Corps\if I can't take action during a crisis.\Don't give up.\As long as we do everything that we can...\Doranbolt... response:	His Grace!
context: I see...\Honestly, I'm disgusted with myself...\There's no point in leading the Enforcement and Detention Corps\if I can't take action during a crisis.\Don't give up.\As long as we do everything that we can...\Doranbolt...\His Grace! response:	Please tell us, Your Grace!
context: Honestly, I'm disgusted with myself...\There's no point in leading the Enforcement and Detention Corps\if I can't take action during a crisis.\Don't give up.\As long as we do everything that we can...\Doranbolt...\His Grace!\Please tell us, Your Grace! response:	Why is Time's Chaos upon us?!
context: There's no point in leading the Enforcement and Detention Corps\if I can't take action during a crisis.\Don't give up.\As long as we do everything that we can...\Doranbolt...\His Grace!\Please tell us, Your Grace!\Why is Time's Chaos upon us?! response:	Why has the Infinity Clock appeared?!
context: if I can't take action during a crisis.\Don't give up.\As long as we do everything that we can...\Doranbolt...\His Grace!\Please tell us, Your Grace!\Why is Time's Chaos upon us?!\Why has the Infinity Clock appeared?! response:	Does this mean the destruction of civilization?!
context: Don't give up.\As long as we do everything that we can...\Doranbolt...\His Grace!\Please tell us, Your Grace!\Why is Time's Chaos upon us?!\Why has the Infinity Clock appeared?!\Does this mean the destruction of civilization?! response:	Please tell us, Your Grace!
context: As long as we do everything that we can...\Doranbolt...\His Grace!\Please tell us, Your Grace!\Why is Time's Chaos upon us?!\Why has the Infinity Clock appeared?!\Does this mean the destruction of civilization?!\Please tell us, Your Grace! response:	There is nothing to worry about.
context: Doranbolt...\His Grace!\Please tell us, Your Grace!\Why is Time's Chaos upon us?!\Why has the Infinity Clock appeared?!\Does this mean the destruction of civilization?!\Please tell us, Your Grace!\There is nothing to worry about. response:	This is Zentopia's way of putting the world in order.
context: His Grace!\Please tell us, Your Grace!\Why is Time's Chaos upon us?!\Why has the Infinity Clock appeared?!\Does this mean the destruction of civilization?!\Please tell us, Your Grace!\There is nothing to worry about.\This is Zentopia's way of putting the world in order. response:	And after this purge is complete, the world will be reborn
context: Please tell us, Your Grace!\Why is Time's Chaos upon us?!\Why has the Infinity Clock appeared?!\Does this mean the destruction of civilization?!\Please tell us, Your Grace!\There is nothing to worry about.\This is Zentopia's way of putting the world in order.\And after this purge is complete, the world will be reborn response:	and we will begin to walk upon a new path.
context: Why is Time's Chaos upon us?!\Why has the Infinity Clock appeared?!\Does this mean the destruction of civilization?!\Please tell us, Your Grace!\There is nothing to worry about.\This is Zentopia's way of putting the world in order.\And after this purge is complete, the world will be reborn\and we will begin to walk upon a new path. response:	Putting the world in order...
context: Why has the Infinity Clock appeared?!\Does this mean the destruction of civilization?!\Please tell us, Your Grace!\There is nothing to worry about.\This is Zentopia's way of putting the world in order.\And after this purge is complete, the world will be reborn\and we will begin to walk upon a new path.\Putting the world in order... response:	Using the new Oracion Seis to destroy churches,
context: Does this mean the destruction of civilization?!\Please tell us, Your Grace!\There is nothing to worry about.\This is Zentopia's way of putting the world in order.\And after this purge is complete, the world will be reborn\and we will begin to walk upon a new path.\Putting the world in order...\Using the new Oracion Seis to destroy churches, response:	disrupting Celestial Spirit Wizards' biological links,
context: Please tell us, Your Grace!\There is nothing to worry about.\This is Zentopia's way of putting the world in order.\And after this purge is complete, the world will be reborn\and we will begin to walk upon a new path.\Putting the world in order...\Using the new Oracion Seis to destroy churches,\disrupting Celestial Spirit Wizards' biological links, response:	and throwing time into chaos...
context: There is nothing to worry about.\This is Zentopia's way of putting the world in order.\And after this purge is complete, the world will be reborn\and we will begin to walk upon a new path.\Putting the world in order...\Using the new Oracion Seis to destroy churches,\disrupting Celestial Spirit Wizards' biological links,\and throwing time into chaos... response:	Is that really putting the world in order?
context: This is Zentopia's way of putting the world in order.\And after this purge is complete, the world will be reborn\and we will begin to walk upon a new path.\Putting the world in order...\Using the new Oracion Seis to destroy churches,\disrupting Celestial Spirit Wizards' biological links,\and throwing time into chaos...\Is that really putting the world in order? response:	Without offering any answers, that girl Lucy is being sacrificed
context: And after this purge is complete, the world will be reborn\and we will begin to walk upon a new path.\Putting the world in order...\Using the new Oracion Seis to destroy churches,\disrupting Celestial Spirit Wizards' biological links,\and throwing time into chaos...\Is that really putting the world in order?\Without offering any answers, that girl Lucy is being sacrificed response:	and my duty to protect the Infinity Clock is...
context: and we will begin to walk upon a new path.\Putting the world in order...\Using the new Oracion Seis to destroy churches,\disrupting Celestial Spirit Wizards' biological links,\and throwing time into chaos...\Is that really putting the world in order?\Without offering any answers, that girl Lucy is being sacrificed\and my duty to protect the Infinity Clock is... response:	Spiral of Time!
context: Putting the world in order...\Using the new Oracion Seis to destroy churches,\disrupting Celestial Spirit Wizards' biological links,\and throwing time into chaos...\Is that really putting the world in order?\Without offering any answers, that girl Lucy is being sacrificed\and my duty to protect the Infinity Clock is...\Spiral of Time! response:	Men!
context: Using the new Oracion Seis to destroy churches,\disrupting Celestial Spirit Wizards' biological links,\and throwing time into chaos...\Is that really putting the world in order?\Without offering any answers, that girl Lucy is being sacrificed\and my duty to protect the Infinity Clock is...\Spiral of Time!\Men! response:	I, Ichiya, and this handpicked team of Fairy Tail members
context: disrupting Celestial Spirit Wizards' biological links,\and throwing time into chaos...\Is that really putting the world in order?\Without offering any answers, that girl Lucy is being sacrificed\and my duty to protect the Infinity Clock is...\Spiral of Time!\Men!\I, Ichiya, and this handpicked team of Fairy Tail members response:	will most definitely save Lucy-san and Natsu-kun!
context: and throwing time into chaos...\Is that really putting the world in order?\Without offering any answers, that girl Lucy is being sacrificed\and my duty to protect the Infinity Clock is...\Spiral of Time!\Men!\I, Ichiya, and this handpicked team of Fairy Tail members\will most definitely save Lucy-san and Natsu-kun! response:	That's a Man!
context: Is that really putting the world in order?\Without offering any answers, that girl Lucy is being sacrificed\and my duty to protect the Infinity Clock is...\Spiral of Time!\Men!\I, Ichiya, and this handpicked team of Fairy Tail members\will most definitely save Lucy-san and Natsu-kun!\That's a Man! response:	For the sake of my sister, too,
context: Without offering any answers, that girl Lucy is being sacrificed\and my duty to protect the Infinity Clock is...\Spiral of Time!\Men!\I, Ichiya, and this handpicked team of Fairy Tail members\will most definitely save Lucy-san and Natsu-kun!\That's a Man!\For the sake of my sister, too, response:	who pitted herself against Racer so we could charge ahead!
context: and my duty to protect the Infinity Clock is...\Spiral of Time!\Men!\I, Ichiya, and this handpicked team of Fairy Tail members\will most definitely save Lucy-san and Natsu-kun!\That's a Man!\For the sake of my sister, too,\who pitted herself against Racer so we could charge ahead! response:	We're on our way, Lucy and Natsu!
context: Spiral of Time!\Men!\I, Ichiya, and this handpicked team of Fairy Tail members\will most definitely save Lucy-san and Natsu-kun!\That's a Man!\For the sake of my sister, too,\who pitted herself against Racer so we could charge ahead!\We're on our way, Lucy and Natsu! response:	I hope those two are okay...
context: Men!\I, Ichiya, and this handpicked team of Fairy Tail members\will most definitely save Lucy-san and Natsu-kun!\That's a Man!\For the sake of my sister, too,\who pitted herself against Racer so we could charge ahead!\We're on our way, Lucy and Natsu!\I hope those two are okay... response:	I'm sure they're fine!
context: I, Ichiya, and this handpicked team of Fairy Tail members\will most definitely save Lucy-san and Natsu-kun!\That's a Man!\For the sake of my sister, too,\who pitted herself against Racer so we could charge ahead!\We're on our way, Lucy and Natsu!\I hope those two are okay...\I'm sure they're fine! response:	How can you be so certain?
context: will most definitely save Lucy-san and Natsu-kun!\That's a Man!\For the sake of my sister, too,\who pitted herself against Racer so we could charge ahead!\We're on our way, Lucy and Natsu!\I hope those two are okay...\I'm sure they're fine!\How can you be so certain? response:	I have faith!
context: That's a Man!\For the sake of my sister, too,\who pitted herself against Racer so we could charge ahead!\We're on our way, Lucy and Natsu!\I hope those two are okay...\I'm sure they're fine!\How can you be so certain?\I have faith! response:	Natsu promised it'd be okay!
context: For the sake of my sister, too,\who pitted herself against Racer so we could charge ahead!\We're on our way, Lucy and Natsu!\I hope those two are okay...\I'm sure they're fine!\How can you be so certain?\I have faith!\Natsu promised it'd be okay! response:	Then what about Lucy?
context: who pitted herself against Racer so we could charge ahead!\We're on our way, Lucy and Natsu!\I hope those two are okay...\I'm sure they're fine!\How can you be so certain?\I have faith!\Natsu promised it'd be okay!\Then what about Lucy? response:	If Natsu's okay, I'm positive Lucy's okay, too!
context: We're on our way, Lucy and Natsu!\I hope those two are okay...\I'm sure they're fine!\How can you be so certain?\I have faith!\Natsu promised it'd be okay!\Then what about Lucy?\If Natsu's okay, I'm positive Lucy's okay, too! response:	Yeah. I have the same feeling.
context: I hope those two are okay...\I'm sure they're fine!\How can you be so certain?\I have faith!\Natsu promised it'd be okay!\Then what about Lucy?\If Natsu's okay, I'm positive Lucy's okay, too!\Yeah. I have the same feeling. response:	Mira is gonna be okay, too!
context: I'm sure they're fine!\How can you be so certain?\I have faith!\Natsu promised it'd be okay!\Then what about Lucy?\If Natsu's okay, I'm positive Lucy's okay, too!\Yeah. I have the same feeling.\Mira is gonna be okay, too! response:	It's a Man to have faith like that!
context: How can you be so certain?\I have faith!\Natsu promised it'd be okay!\Then what about Lucy?\If Natsu's okay, I'm positive Lucy's okay, too!\Yeah. I have the same feeling.\Mira is gonna be okay, too!\It's a Man to have faith like that! response:	The whole bunch wears rose-colored glasses...
context: I have faith!\Natsu promised it'd be okay!\Then what about Lucy?\If Natsu's okay, I'm positive Lucy's okay, too!\Yeah. I have the same feeling.\Mira is gonna be okay, too!\It's a Man to have faith like that!\The whole bunch wears rose-colored glasses... response:	Redesigned Christina, magic bomber of my guild,
context: Natsu promised it'd be okay!\Then what about Lucy?\If Natsu's okay, I'm positive Lucy's okay, too!\Yeah. I have the same feeling.\Mira is gonna be okay, too!\It's a Man to have faith like that!\The whole bunch wears rose-colored glasses...\Redesigned Christina, magic bomber of my guild, response:	Blue Pegasus, the pride of the continent...
context: Then what about Lucy?\If Natsu's okay, I'm positive Lucy's okay, too!\Yeah. I have the same feeling.\Mira is gonna be okay, too!\It's a Man to have faith like that!\The whole bunch wears rose-colored glasses...\Redesigned Christina, magic bomber of my guild,\Blue Pegasus, the pride of the continent... response:	We're nearing Zentopia Cathedral!
context: If Natsu's okay, I'm positive Lucy's okay, too!\Yeah. I have the same feeling.\Mira is gonna be okay, too!\It's a Man to have faith like that!\The whole bunch wears rose-colored glasses...\Redesigned Christina, magic bomber of my guild,\Blue Pegasus, the pride of the continent...\We're nearing Zentopia Cathedral! response:	Men!
context: Yeah. I have the same feeling.\Mira is gonna be okay, too!\It's a Man to have faith like that!\The whole bunch wears rose-colored glasses...\Redesigned Christina, magic bomber of my guild,\Blue Pegasus, the pride of the continent...\We're nearing Zentopia Cathedral!\Men! response:	Where do you intend to go?
context: Mira is gonna be okay, too!\It's a Man to have faith like that!\The whole bunch wears rose-colored glasses...\Redesigned Christina, magic bomber of my guild,\Blue Pegasus, the pride of the continent...\We're nearing Zentopia Cathedral!\Men!\Where do you intend to go? response:	Where the archbishop is!
context: It's a Man to have faith like that!\The whole bunch wears rose-colored glasses...\Redesigned Christina, magic bomber of my guild,\Blue Pegasus, the pride of the continent...\We're nearing Zentopia Cathedral!\Men!\Where do you intend to go?\Where the archbishop is! response:	And what are you going to do?
context: The whole bunch wears rose-colored glasses...\Redesigned Christina, magic bomber of my guild,\Blue Pegasus, the pride of the continent...\We're nearing Zentopia Cathedral!\Men!\Where do you intend to go?\Where the archbishop is!\And what are you going to do? response:	Pay him back!
context: Redesigned Christina, magic bomber of my guild,\Blue Pegasus, the pride of the continent...\We're nearing Zentopia Cathedral!\Men!\Where do you intend to go?\Where the archbishop is!\And what are you going to do?\Pay him back! response:	If the archbishop's the guy who used Michelle and did all this mean-spirited crap,
context: Blue Pegasus, the pride of the continent...\We're nearing Zentopia Cathedral!\Men!\Where do you intend to go?\Where the archbishop is!\And what are you going to do?\Pay him back!\If the archbishop's the guy who used Michelle and did all this mean-spirited crap, response:	I'm gonna kick his ass!
context: We're nearing Zentopia Cathedral!\Men!\Where do you intend to go?\Where the archbishop is!\And what are you going to do?\Pay him back!\If the archbishop's the guy who used Michelle and did all this mean-spirited crap,\I'm gonna kick his ass! response:	His Grace?
context: Men!\Where do you intend to go?\Where the archbishop is!\And what are you going to do?\Pay him back!\If the archbishop's the guy who used Michelle and did all this mean-spirited crap,\I'm gonna kick his ass!\His Grace? response:	Are you alright?
context: Where do you intend to go?\Where the archbishop is!\And what are you going to do?\Pay him back!\If the archbishop's the guy who used Michelle and did all this mean-spirited crap,\I'm gonna kick his ass!\His Grace?\Are you alright? response:	Lackeys, get fired up!
context: Where the archbishop is!\And what are you going to do?\Pay him back!\If the archbishop's the guy who used Michelle and did all this mean-spirited crap,\I'm gonna kick his ass!\His Grace?\Are you alright?\Lackeys, get fired up! response:	Right!
context: And what are you going to do?\Pay him back!\If the archbishop's the guy who used Michelle and did all this mean-spirited crap,\I'm gonna kick his ass!\His Grace?\Are you alright?\Lackeys, get fired up!\Right! response:	You guys are still around?!
context: Pay him back!\If the archbishop's the guy who used Michelle and did all this mean-spirited crap,\I'm gonna kick his ass!\His Grace?\Are you alright?\Lackeys, get fired up!\Right!\You guys are still around?! response:	True evil never goes on the lam empty-handed!
context: If the archbishop's the guy who used Michelle and did all this mean-spirited crap,\I'm gonna kick his ass!\His Grace?\Are you alright?\Lackeys, get fired up!\Right!\You guys are still around?!\True evil never goes on the lam empty-handed! response:	Right, right!
context: I'm gonna kick his ass!\His Grace?\Are you alright?\Lackeys, get fired up!\Right!\You guys are still around?!\True evil never goes on the lam empty-handed!\Right, right! response:	If the Infinity Clock isn't doable, we'll make do with another treasure!
context: His Grace?\Are you alright?\Lackeys, get fired up!\Right!\You guys are still around?!\True evil never goes on the lam empty-handed!\Right, right!\If the Infinity Clock isn't doable, we'll make do with another treasure! response:	Right, right!
context: Are you alright?\Lackeys, get fired up!\Right!\You guys are still around?!\True evil never goes on the lam empty-handed!\Right, right!\If the Infinity Clock isn't doable, we'll make do with another treasure!\Right, right! response:	Well, knock yourselves out.
context: Lackeys, get fired up!\Right!\You guys are still around?!\True evil never goes on the lam empty-handed!\Right, right!\If the Infinity Clock isn't doable, we'll make do with another treasure!\Right, right!\Well, knock yourselves out. response:	We will, we will.
context: Right!\You guys are still around?!\True evil never goes on the lam empty-handed!\Right, right!\If the Infinity Clock isn't doable, we'll make do with another treasure!\Right, right!\Well, knock yourselves out.\We will, we will. response:	Lackeys, begin the treasure hunt!
context: You guys are still around?!\True evil never goes on the lam empty-handed!\Right, right!\If the Infinity Clock isn't doable, we'll make do with another treasure!\Right, right!\Well, knock yourselves out.\We will, we will.\Lackeys, begin the treasure hunt! response:	Right!
context: True evil never goes on the lam empty-handed!\Right, right!\If the Infinity Clock isn't doable, we'll make do with another treasure!\Right, right!\Well, knock yourselves out.\We will, we will.\Lackeys, begin the treasure hunt!\Right! response:	It wouldn't even be worth using Rupture Magic on you people.
context: Right, right!\If the Infinity Clock isn't doable, we'll make do with another treasure!\Right, right!\Well, knock yourselves out.\We will, we will.\Lackeys, begin the treasure hunt!\Right!\It wouldn't even be worth using Rupture Magic on you people. response:	We'll be ba...
context: If the Infinity Clock isn't doable, we'll make do with another treasure!\Right, right!\Well, knock yourselves out.\We will, we will.\Lackeys, begin the treasure hunt!\Right!\It wouldn't even be worth using Rupture Magic on you people.\We'll be ba... response:	What the hell is he?!
context: Right, right!\Well, knock yourselves out.\We will, we will.\Lackeys, begin the treasure hunt!\Right!\It wouldn't even be worth using Rupture Magic on you people.\We'll be ba...\What the hell is he?! response:	The Cleaner... Gatman.
context: Well, knock yourselves out.\We will, we will.\Lackeys, begin the treasure hunt!\Right!\It wouldn't even be worth using Rupture Magic on you people.\We'll be ba...\What the hell is he?!\The Cleaner... Gatman. response:	Gatman?
context: We will, we will.\Lackeys, begin the treasure hunt!\Right!\It wouldn't even be worth using Rupture Magic on you people.\We'll be ba...\What the hell is he?!\The Cleaner... Gatman.\Gatman? response:	It seems you've got quite a lot of magic in you.
context: Lackeys, begin the treasure hunt!\Right!\It wouldn't even be worth using Rupture Magic on you people.\We'll be ba...\What the hell is he?!\The Cleaner... Gatman.\Gatman?\It seems you've got quite a lot of magic in you. response:	Be careful. He's an extremely dangerous opponent.
context: Right!\It wouldn't even be worth using Rupture Magic on you people.\We'll be ba...\What the hell is he?!\The Cleaner... Gatman.\Gatman?\It seems you've got quite a lot of magic in you.\Be careful. He's an extremely dangerous opponent. response:	Is that so? Now I'm gettin' fired up.
context: It wouldn't even be worth using Rupture Magic on you people.\We'll be ba...\What the hell is he?!\The Cleaner... Gatman.\Gatman?\It seems you've got quite a lot of magic in you.\Be careful. He's an extremely dangerous opponent.\Is that so? Now I'm gettin' fired up. response:	Captain, deployments are complete!
context: We'll be ba...\What the hell is he?!\The Cleaner... Gatman.\Gatman?\It seems you've got quite a lot of magic in you.\Be careful. He's an extremely dangerous opponent.\Is that so? Now I'm gettin' fired up.\Captain, deployments are complete! response:	Alright! Aim...
context: What the hell is he?!\The Cleaner... Gatman.\Gatman?\It seems you've got quite a lot of magic in you.\Be careful. He's an extremely dangerous opponent.\Is that so? Now I'm gettin' fired up.\Captain, deployments are complete!\Alright! Aim... response:	Fire!
context: The Cleaner... Gatman.\Gatman?\It seems you've got quite a lot of magic in you.\Be careful. He's an extremely dangerous opponent.\Is that so? Now I'm gettin' fired up.\Captain, deployments are complete!\Alright! Aim...\Fire! response:	Captain!
context: Gatman?\It seems you've got quite a lot of magic in you.\Be careful. He's an extremely dangerous opponent.\Is that so? Now I'm gettin' fired up.\Captain, deployments are complete!\Alright! Aim...\Fire!\Captain! response:	What about confirming my order?
context: It seems you've got quite a lot of magic in you.\Be careful. He's an extremely dangerous opponent.\Is that so? Now I'm gettin' fired up.\Captain, deployments are complete!\Alright! Aim...\Fire!\Captain!\What about confirming my order? response:	Yes, sir...
context: Be careful. He's an extremely dangerous opponent.\Is that so? Now I'm gettin' fired up.\Captain, deployments are complete!\Alright! Aim...\Fire!\Captain!\What about confirming my order?\Yes, sir... response:	Begin firing!
context: Is that so? Now I'm gettin' fired up.\Captain, deployments are complete!\Alright! Aim...\Fire!\Captain!\What about confirming my order?\Yes, sir...\Begin firing! response:	The army is in disorder, too, men...
context: Captain, deployments are complete!\Alright! Aim...\Fire!\Captain!\What about confirming my order?\Yes, sir...\Begin firing!\The army is in disorder, too, men... response:	This is also an effect of Real Nightmare?
context: Alright! Aim...\Fire!\Captain!\What about confirming my order?\Yes, sir...\Begin firing!\The army is in disorder, too, men...\This is also an effect of Real Nightmare? response:	Don't give me that!
context: Fire!\Captain!\What about confirming my order?\Yes, sir...\Begin firing!\The army is in disorder, too, men...\This is also an effect of Real Nightmare?\Don't give me that! response:	This ain't... nothin'...
context: Captain!\What about confirming my order?\Yes, sir...\Begin firing!\The army is in disorder, too, men...\This is also an effect of Real Nightmare?\Don't give me that!\This ain't... nothin'... response:	Is this any time for clowning around?!
context: What about confirming my order?\Yes, sir...\Begin firing!\The army is in disorder, too, men...\This is also an effect of Real Nightmare?\Don't give me that!\This ain't... nothin'...\Is this any time for clowning around?! response:	Look who's talkin'!
context: Yes, sir...\Begin firing!\The army is in disorder, too, men...\This is also an effect of Real Nightmare?\Don't give me that!\This ain't... nothin'...\Is this any time for clowning around?!\Look who's talkin'! response:	And you call yourself a Man?!
context: Begin firing!\The army is in disorder, too, men...\This is also an effect of Real Nightmare?\Don't give me that!\This ain't... nothin'...\Is this any time for clowning around?!\Look who's talkin'!\And you call yourself a Man?! response:	W-What's happening?!
context: The army is in disorder, too, men...\This is also an effect of Real Nightmare?\Don't give me that!\This ain't... nothin'...\Is this any time for clowning around?!\Look who's talkin'!\And you call yourself a Man?!\W-What's happening?! response:	Wendy! You've become an adult!
context: This is also an effect of Real Nightmare?\Don't give me that!\This ain't... nothin'...\Is this any time for clowning around?!\Look who's talkin'!\And you call yourself a Man?!\W-What's happening?!\Wendy! You've become an adult! response:	And you've turned into a raccoon, Carla!
context: Don't give me that!\This ain't... nothin'...\Is this any time for clowning around?!\Look who's talkin'!\And you call yourself a Man?!\W-What's happening?!\Wendy! You've become an adult!\And you've turned into a raccoon, Carla! response:	While you're now a dog, Happy...
context: This ain't... nothin'...\Is this any time for clowning around?!\Look who's talkin'!\And you call yourself a Man?!\W-What's happening?!\Wendy! You've become an adult!\And you've turned into a raccoon, Carla!\While you're now a dog, Happy... response:	This is no good. Everyone's fallen under the influence of Real Nightmare...
context: Is this any time for clowning around?!\Look who's talkin'!\And you call yourself a Man?!\W-What's happening?!\Wendy! You've become an adult!\And you've turned into a raccoon, Carla!\While you're now a dog, Happy...\This is no good. Everyone's fallen under the influence of Real Nightmare... response:	Wait. Then why am I fine?
context: Look who's talkin'!\And you call yourself a Man?!\W-What's happening?!\Wendy! You've become an adult!\And you've turned into a raccoon, Carla!\While you're now a dog, Happy...\This is no good. Everyone's fallen under the influence of Real Nightmare...\Wait. Then why am I fine? response:	I see! Could it be...
context: And you call yourself a Man?!\W-What's happening?!\Wendy! You've become an adult!\And you've turned into a raccoon, Carla!\While you're now a dog, Happy...\This is no good. Everyone's fallen under the influence of Real Nightmare...\Wait. Then why am I fine?\I see! Could it be... response:	Requip!
context: W-What's happening?!\Wendy! You've become an adult!\And you've turned into a raccoon, Carla!\While you're now a dog, Happy...\This is no good. Everyone's fallen under the influence of Real Nightmare...\Wait. Then why am I fine?\I see! Could it be...\Requip! response:	I'll use this ancient weapon that's said to keep evil at bay
context: Wendy! You've become an adult!\And you've turned into a raccoon, Carla!\While you're now a dog, Happy...\This is no good. Everyone's fallen under the influence of Real Nightmare...\Wait. Then why am I fine?\I see! Could it be...\Requip!\I'll use this ancient weapon that's said to keep evil at bay response:	to cut through the Real Nightmare vibrations!
context: And you've turned into a raccoon, Carla!\While you're now a dog, Happy...\This is no good. Everyone's fallen under the influence of Real Nightmare...\Wait. Then why am I fine?\I see! Could it be...\Requip!\I'll use this ancient weapon that's said to keep evil at bay\to cut through the Real Nightmare vibrations! response:	Meaning you hit us?!
