context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, keep the room nice and bright,
context: Why do I have to go fishing with you when I'm busy writing my novel?\Well you were getting in a funk'cause you couldn't think of any good ideas, right?\Aye. When that happens you should go out for a change of pace.\But why fishing?\Because fish are my bread and butter.\And your point?\Why should I have to fish up your favorite food?\I hooked one! response:	It's a big one! Be careful!
context: Well you were getting in a funk'cause you couldn't think of any good ideas, right?\Aye. When that happens you should go out for a change of pace.\But why fishing?\Because fish are my bread and butter.\And your point?\Why should I have to fish up your favorite food?\I hooked one!\It's a big one! Be careful! response:	Leave it to me!
context: Aye. When that happens you should go out for a change of pace.\But why fishing?\Because fish are my bread and butter.\And your point?\Why should I have to fish up your favorite food?\I hooked one!\It's a big one! Be careful!\Leave it to me! response:	Whoa!
context: But why fishing?\Because fish are my bread and butter.\And your point?\Why should I have to fish up your favorite food?\I hooked one!\It's a big one! Be careful!\Leave it to me!\Whoa! response:	Upa!
context: Because fish are my bread and butter.\And your point?\Why should I have to fish up your favorite food?\I hooked one!\It's a big one! Be careful!\Leave it to me!\Whoa!\Upa! response:	What the heck does upa mean anyway?!
context: And your point?\Why should I have to fish up your favorite food?\I hooked one!\It's a big one! Be careful!\Leave it to me!\Whoa!\Upa!\What the heck does upa mean anyway?! response:	Enjoying themselves as usual, I see.
context: Why should I have to fish up your favorite food?\I hooked one!\It's a big one! Be careful!\Leave it to me!\Whoa!\Upa!\What the heck does upa mean anyway?!\Enjoying themselves as usual, I see. response:	That's right, we can do it!
context: I hooked one!\It's a big one! Be careful!\Leave it to me!\Whoa!\Upa!\What the heck does upa mean anyway?!\Enjoying themselves as usual, I see.\That's right, we can do it! response:	Let's go for even more who-knows-what!!
context: It's a big one! Be careful!\Leave it to me!\Whoa!\Upa!\What the heck does upa mean anyway?!\Enjoying themselves as usual, I see.\That's right, we can do it!\Let's go for even more who-knows-what!! response:	The door to mystery is right in front of us
context: Leave it to me!\Whoa!\Upa!\What the heck does upa mean anyway?!\Enjoying themselves as usual, I see.\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us response:	The whole world's a wonderland
context: Whoa!\Upa!\What the heck does upa mean anyway?!\Enjoying themselves as usual, I see.\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland response:	which we're already wondering!!!
context: Upa!\What the heck does upa mean anyway?!\Enjoying themselves as usual, I see.\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!! response:	This excitement gets my heart racing
context: What the heck does upa mean anyway?!\Enjoying themselves as usual, I see.\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing response:	It's wonderful!
context: Enjoying themselves as usual, I see.\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful! response:	Who am I, I wonder?
context: That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder? response:	What is real, I wonder?
context: Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder? response:	Why can't I see tomorrow, I wonder?
context: The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder? response:	The only part leveling up is my curiosity
context: The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity response:	We can't just throw away our daily life together, right?
context: which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right? response:	Tell me! S. O. W.
context: This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W. response:	Living itself will be our training!
context: It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training! response:	So, we can make it!
context: Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it! response:	Let's search for even more who-knows-what!
context: What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what! response:	We can't be satisfied with just the normal answers
context: Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers response:	This magical wonder life
context: The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life response:	Our future is wondering!!!
context: We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!! response:	We'll do our best living our life
context: Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life response:	the way we want to!
context: Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to! response:	Let's wondering!!!
context: So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!! response:	Fish! Fish!
context: Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Fish! Fish! response:	I'm so happy!
context: We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Fish! Fish!\I'm so happy! response:	Yum! Yum!
context: This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Fish! Fish!\I'm so happy!\Yum! Yum! response:	Um, you're not a little kid,'kay?
context: Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Fish! Fish!\I'm so happy!\Yum! Yum!\Um, you're not a little kid,'kay? response:	Looks delish!
context: We'll do our best living our life\the way we want to!\Let's wondering!!!\Fish! Fish!\I'm so happy!\Yum! Yum!\Um, you're not a little kid,'kay?\Looks delish! response:	How could you?!
context: the way we want to!\Let's wondering!!!\Fish! Fish!\I'm so happy!\Yum! Yum!\Um, you're not a little kid,'kay?\Looks delish!\How could you?! response:	Fish taste best raw!
context: Let's wondering!!!\Fish! Fish!\I'm so happy!\Yum! Yum!\Um, you're not a little kid,'kay?\Looks delish!\How could you?!\Fish taste best raw! response:	Why not? They taste good grilled, too.
context: Fish! Fish!\I'm so happy!\Yum! Yum!\Um, you're not a little kid,'kay?\Looks delish!\How could you?!\Fish taste best raw!\Why not? They taste good grilled, too. response:	No, no! I wanted to eat it raw!
context: I'm so happy!\Yum! Yum!\Um, you're not a little kid,'kay?\Looks delish!\How could you?!\Fish taste best raw!\Why not? They taste good grilled, too.\No, no! I wanted to eat it raw! response:	Well, I caught it.
context: Yum! Yum!\Um, you're not a little kid,'kay?\Looks delish!\How could you?!\Fish taste best raw!\Why not? They taste good grilled, too.\No, no! I wanted to eat it raw!\Well, I caught it. response:	You should catch your own big one.
context: Um, you're not a little kid,'kay?\Looks delish!\How could you?!\Fish taste best raw!\Why not? They taste good grilled, too.\No, no! I wanted to eat it raw!\Well, I caught it.\You should catch your own big one. response:	My fish!
context: Looks delish!\How could you?!\Fish taste best raw!\Why not? They taste good grilled, too.\No, no! I wanted to eat it raw!\Well, I caught it.\You should catch your own big one.\My fish! response:	Bones and all?
context: How could you?!\Fish taste best raw!\Why not? They taste good grilled, too.\No, no! I wanted to eat it raw!\Well, I caught it.\You should catch your own big one.\My fish!\Bones and all? response:	Oh, that hit the spot.
context: Fish taste best raw!\Why not? They taste good grilled, too.\No, no! I wanted to eat it raw!\Well, I caught it.\You should catch your own big one.\My fish!\Bones and all?\Oh, that hit the spot. response:	How could you?!
context: Why not? They taste good grilled, too.\No, no! I wanted to eat it raw!\Well, I caught it.\You should catch your own big one.\My fish!\Bones and all?\Oh, that hit the spot.\How could you?! response:	Our friendship is over!
context: No, no! I wanted to eat it raw!\Well, I caught it.\You should catch your own big one.\My fish!\Bones and all?\Oh, that hit the spot.\How could you?!\Our friendship is over! response:	This isn't a sports drama, you know.
context: Well, I caught it.\You should catch your own big one.\My fish!\Bones and all?\Oh, that hit the spot.\How could you?!\Our friendship is over!\This isn't a sports drama, you know. response:	Not going after him?
context: You should catch your own big one.\My fish!\Bones and all?\Oh, that hit the spot.\How could you?!\Our friendship is over!\This isn't a sports drama, you know.\Not going after him? response:	After who?
context: My fish!\Bones and all?\Oh, that hit the spot.\How could you?!\Our friendship is over!\This isn't a sports drama, you know.\Not going after him?\After who? response:	Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.
context: Bones and all?\Oh, that hit the spot.\How could you?!\Our friendship is over!\This isn't a sports drama, you know.\Not going after him?\After who?\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you. response:	Much better. Now hurry up and apologize.
context: Oh, that hit the spot.\How could you?!\Our friendship is over!\This isn't a sports drama, you know.\Not going after him?\After who?\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\Much better. Now hurry up and apologize. response:	Shut the hell up...
context: How could you?!\Our friendship is over!\This isn't a sports drama, you know.\Not going after him?\After who?\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\Much better. Now hurry up and apologize.\Shut the hell up... response:	What was that? Creepy!
context: Our friendship is over!\This isn't a sports drama, you know.\Not going after him?\After who?\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\Much better. Now hurry up and apologize.\Shut the hell up...\What was that? Creepy! response:	Natsu and the Dragon Egg!
context: This isn't a sports drama, you know.\Not going after him?\After who?\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\Much better. Now hurry up and apologize.\Shut the hell up...\What was that? Creepy!\Natsu and the Dragon Egg! response:	This is the Fairy Tail Archives.
context: Not going after him?\After who?\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\Much better. Now hurry up and apologize.\Shut the hell up...\What was that? Creepy!\Natsu and the Dragon Egg!\This is the Fairy Tail Archives. response:	Mira-san, what are you doing?
context: After who?\Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\Much better. Now hurry up and apologize.\Shut the hell up...\What was that? Creepy!\Natsu and the Dragon Egg!\This is the Fairy Tail Archives.\Mira-san, what are you doing? response:	I'm sorting some old materials.
context: Oh, honestly... You keep up that tough guy act, and you'll never get a girl to like you.\Much better. Now hurry up and apologize.\Shut the hell up...\What was that? Creepy!\Natsu and the Dragon Egg!\This is the Fairy Tail Archives.\Mira-san, what are you doing?\I'm sorting some old materials. response:	I'll help too!
context: Much better. Now hurry up and apologize.\Shut the hell up...\What was that? Creepy!\Natsu and the Dragon Egg!\This is the Fairy Tail Archives.\Mira-san, what are you doing?\I'm sorting some old materials.\I'll help too! response:	I'd be happy to have your help.
context: Shut the hell up...\What was that? Creepy!\Natsu and the Dragon Egg!\This is the Fairy Tail Archives.\Mira-san, what are you doing?\I'm sorting some old materials.\I'll help too!\I'd be happy to have your help. response:	Sure! Any time!
context: What was that? Creepy!\Natsu and the Dragon Egg!\This is the Fairy Tail Archives.\Mira-san, what are you doing?\I'm sorting some old materials.\I'll help too!\I'd be happy to have your help.\Sure! Any time! response:	So, don't you think Natsu was being a jerk?
context: Natsu and the Dragon Egg!\This is the Fairy Tail Archives.\Mira-san, what are you doing?\I'm sorting some old materials.\I'll help too!\I'd be happy to have your help.\Sure! Any time!\So, don't you think Natsu was being a jerk? response:	But that's what makes him cute.
context: This is the Fairy Tail Archives.\Mira-san, what are you doing?\I'm sorting some old materials.\I'll help too!\I'd be happy to have your help.\Sure! Any time!\So, don't you think Natsu was being a jerk?\But that's what makes him cute. response:	You think?
context: Mira-san, what are you doing?\I'm sorting some old materials.\I'll help too!\I'd be happy to have your help.\Sure! Any time!\So, don't you think Natsu was being a jerk?\But that's what makes him cute.\You think? response:	You also like Natsu's childlike side. Right, Lucy?
context: I'm sorting some old materials.\I'll help too!\I'd be happy to have your help.\Sure! Any time!\So, don't you think Natsu was being a jerk?\But that's what makes him cute.\You think?\You also like Natsu's childlike side. Right, Lucy? response:	Are you okay?
context: I'll help too!\I'd be happy to have your help.\Sure! Any time!\So, don't you think Natsu was being a jerk?\But that's what makes him cute.\You think?\You also like Natsu's childlike side. Right, Lucy?\Are you okay? response:	Sorry...
context: I'd be happy to have your help.\Sure! Any time!\So, don't you think Natsu was being a jerk?\But that's what makes him cute.\You think?\You also like Natsu's childlike side. Right, Lucy?\Are you okay?\Sorry... response:	I'm not really used to this.
context: Sure! Any time!\So, don't you think Natsu was being a jerk?\But that's what makes him cute.\You think?\You also like Natsu's childlike side. Right, Lucy?\Are you okay?\Sorry...\I'm not really used to this. response:	What's this drawing?
context: So, don't you think Natsu was being a jerk?\But that's what makes him cute.\You think?\You also like Natsu's childlike side. Right, Lucy?\Are you okay?\Sorry...\I'm not really used to this.\What's this drawing? response:	Oh, how nostalgic!
context: But that's what makes him cute.\You think?\You also like Natsu's childlike side. Right, Lucy?\Are you okay?\Sorry...\I'm not really used to this.\What's this drawing?\Oh, how nostalgic! response:	Is this everyone when they were kids?
context: You think?\You also like Natsu's childlike side. Right, Lucy?\Are you okay?\Sorry...\I'm not really used to this.\What's this drawing?\Oh, how nostalgic!\Is this everyone when they were kids? response:	That's right.
context: You also like Natsu's childlike side. Right, Lucy?\Are you okay?\Sorry...\I'm not really used to this.\What's this drawing?\Oh, how nostalgic!\Is this everyone when they were kids?\That's right. response:	So this is Gray, and next to him is Cana.
context: Are you okay?\Sorry...\I'm not really used to this.\What's this drawing?\Oh, how nostalgic!\Is this everyone when they were kids?\That's right.\So this is Gray, and next to him is Cana. response:	Macao and Wakaba?!
context: Sorry...\I'm not really used to this.\What's this drawing?\Oh, how nostalgic!\Is this everyone when they were kids?\That's right.\So this is Gray, and next to him is Cana.\Macao and Wakaba?! response:	They're so young!
context: I'm not really used to this.\What's this drawing?\Oh, how nostalgic!\Is this everyone when they were kids?\That's right.\So this is Gray, and next to him is Cana.\Macao and Wakaba?!\They're so young! response:	That kid with the spiky head's Natsu, right?
context: What's this drawing?\Oh, how nostalgic!\Is this everyone when they were kids?\That's right.\So this is Gray, and next to him is Cana.\Macao and Wakaba?!\They're so young!\That kid with the spiky head's Natsu, right? response:	He hasn't changed a bit.
context: Oh, how nostalgic!\Is this everyone when they were kids?\That's right.\So this is Gray, and next to him is Cana.\Macao and Wakaba?!\They're so young!\That kid with the spiky head's Natsu, right?\He hasn't changed a bit. response:	And... huh?
context: Is this everyone when they were kids?\That's right.\So this is Gray, and next to him is Cana.\Macao and Wakaba?!\They're so young!\That kid with the spiky head's Natsu, right?\He hasn't changed a bit.\And... huh? response:	What's that small dragon?
context: That's right.\So this is Gray, and next to him is Cana.\Macao and Wakaba?!\They're so young!\That kid with the spiky head's Natsu, right?\He hasn't changed a bit.\And... huh?\What's that small dragon? response:	Happy!
context: So this is Gray, and next to him is Cana.\Macao and Wakaba?!\They're so young!\That kid with the spiky head's Natsu, right?\He hasn't changed a bit.\And... huh?\What's that small dragon?\Happy! response:	How did Natsu and Happy meet in the first place anyway?
context: Macao and Wakaba?!\They're so young!\That kid with the spiky head's Natsu, right?\He hasn't changed a bit.\And... huh?\What's that small dragon?\Happy!\How did Natsu and Happy meet in the first place anyway? response:	Yes... That was right after I joined Fairy Tail...
context: They're so young!\That kid with the spiky head's Natsu, right?\He hasn't changed a bit.\And... huh?\What's that small dragon?\Happy!\How did Natsu and Happy meet in the first place anyway?\Yes... That was right after I joined Fairy Tail... response:	About 6 years ago.
context: That kid with the spiky head's Natsu, right?\He hasn't changed a bit.\And... huh?\What's that small dragon?\Happy!\How did Natsu and Happy meet in the first place anyway?\Yes... That was right after I joined Fairy Tail...\About 6 years ago. response:	Hey, Natsu!
context: He hasn't changed a bit.\And... huh?\What's that small dragon?\Happy!\How did Natsu and Happy meet in the first place anyway?\Yes... That was right after I joined Fairy Tail...\About 6 years ago.\Hey, Natsu! response:	Natsu is...
context: And... huh?\What's that small dragon?\Happy!\How did Natsu and Happy meet in the first place anyway?\Yes... That was right after I joined Fairy Tail...\About 6 years ago.\Hey, Natsu!\Natsu is... response:	Droopy eyes!
context: What's that small dragon?\Happy!\How did Natsu and Happy meet in the first place anyway?\Yes... That was right after I joined Fairy Tail...\About 6 years ago.\Hey, Natsu!\Natsu is...\Droopy eyes! response:	Squinty eyes!
context: Happy!\How did Natsu and Happy meet in the first place anyway?\Yes... That was right after I joined Fairy Tail...\About 6 years ago.\Hey, Natsu!\Natsu is...\Droopy eyes!\Squinty eyes! response:	Shut up!
context: How did Natsu and Happy meet in the first place anyway?\Yes... That was right after I joined Fairy Tail...\About 6 years ago.\Hey, Natsu!\Natsu is...\Droopy eyes!\Squinty eyes!\Shut up! response:	Back then Natsu and Gray would start fighting whenever they saw each other.
context: Yes... That was right after I joined Fairy Tail...\About 6 years ago.\Hey, Natsu!\Natsu is...\Droopy eyes!\Squinty eyes!\Shut up!\Back then Natsu and Gray would start fighting whenever they saw each other. response:	So... no different than now?
context: About 6 years ago.\Hey, Natsu!\Natsu is...\Droopy eyes!\Squinty eyes!\Shut up!\Back then Natsu and Gray would start fighting whenever they saw each other.\So... no different than now? response:	Flame-brain!
context: Hey, Natsu!\Natsu is...\Droopy eyes!\Squinty eyes!\Shut up!\Back then Natsu and Gray would start fighting whenever they saw each other.\So... no different than now?\Flame-brain! response:	Underwear-man!
context: Natsu is...\Droopy eyes!\Squinty eyes!\Shut up!\Back then Natsu and Gray would start fighting whenever they saw each other.\So... no different than now?\Flame-brain!\Underwear-man! response:	Stop it, you two!
context: Droopy eyes!\Squinty eyes!\Shut up!\Back then Natsu and Gray would start fighting whenever they saw each other.\So... no different than now?\Flame-brain!\Underwear-man!\Stop it, you two! response:	And the one who stopped them from fighting...
context: Squinty eyes!\Shut up!\Back then Natsu and Gray would start fighting whenever they saw each other.\So... no different than now?\Flame-brain!\Underwear-man!\Stop it, you two!\And the one who stopped them from fighting... response:	Shut up, you!
context: Shut up!\Back then Natsu and Gray would start fighting whenever they saw each other.\So... no different than now?\Flame-brain!\Underwear-man!\Stop it, you two!\And the one who stopped them from fighting...\Shut up, you! response:	You want a piece of me?!
context: Back then Natsu and Gray would start fighting whenever they saw each other.\So... no different than now?\Flame-brain!\Underwear-man!\Stop it, you two!\And the one who stopped them from fighting...\Shut up, you!\You want a piece of me?! response:	Why not?
context: So... no different than now?\Flame-brain!\Underwear-man!\Stop it, you two!\And the one who stopped them from fighting...\Shut up, you!\You want a piece of me?!\Why not? response:	Got it?
context: Flame-brain!\Underwear-man!\Stop it, you two!\And the one who stopped them from fighting...\Shut up, you!\You want a piece of me?!\Why not?\Got it? response:	Don't get in stupid fights again.
context: Underwear-man!\Stop it, you two!\And the one who stopped them from fighting...\Shut up, you!\You want a piece of me?!\Why not?\Got it?\Don't get in stupid fights again. response:	Shuddap...
context: Stop it, you two!\And the one who stopped them from fighting...\Shut up, you!\You want a piece of me?!\Why not?\Got it?\Don't get in stupid fights again.\Shuddap... response:	I'll get you next time.
context: And the one who stopped them from fighting...\Shut up, you!\You want a piece of me?!\Why not?\Got it?\Don't get in stupid fights again.\Shuddap...\I'll get you next time. response:	That's how Natsu was, but other than fighting, he didn't do much else.
context: Shut up, you!\You want a piece of me?!\Why not?\Got it?\Don't get in stupid fights again.\Shuddap...\I'll get you next time.\That's how Natsu was, but other than fighting, he didn't do much else. response:	Sometimes he'd get this really lonely look on his face.
context: You want a piece of me?!\Why not?\Got it?\Don't get in stupid fights again.\Shuddap...\I'll get you next time.\That's how Natsu was, but other than fighting, he didn't do much else.\Sometimes he'd get this really lonely look on his face. response:	Then, one day...
context: Why not?\Got it?\Don't get in stupid fights again.\Shuddap...\I'll get you next time.\That's how Natsu was, but other than fighting, he didn't do much else.\Sometimes he'd get this really lonely look on his face.\Then, one day... response:	Gray... Erza...
context: Got it?\Don't get in stupid fights again.\Shuddap...\I'll get you next time.\That's how Natsu was, but other than fighting, he didn't do much else.\Sometimes he'd get this really lonely look on his face.\Then, one day...\Gray... Erza... response:	One day I'll beat the crap outta you both!
context: Don't get in stupid fights again.\Shuddap...\I'll get you next time.\That's how Natsu was, but other than fighting, he didn't do much else.\Sometimes he'd get this really lonely look on his face.\Then, one day...\Gray... Erza...\One day I'll beat the crap outta you both! response:	T-That didn't hurt!
context: Shuddap...\I'll get you next time.\That's how Natsu was, but other than fighting, he didn't do much else.\Sometimes he'd get this really lonely look on his face.\Then, one day...\Gray... Erza...\One day I'll beat the crap outta you both!\T-That didn't hurt! response:	W-What's that?
context: I'll get you next time.\That's how Natsu was, but other than fighting, he didn't do much else.\Sometimes he'd get this really lonely look on his face.\Then, one day...\Gray... Erza...\One day I'll beat the crap outta you both!\T-That didn't hurt!\W-What's that? response:	It's an egg!
context: That's how Natsu was, but other than fighting, he didn't do much else.\Sometimes he'd get this really lonely look on his face.\Then, one day...\Gray... Erza...\One day I'll beat the crap outta you both!\T-That didn't hurt!\W-What's that?\It's an egg! response:	I found an egg!
context: Sometimes he'd get this really lonely look on his face.\Then, one day...\Gray... Erza...\One day I'll beat the crap outta you both!\T-That didn't hurt!\W-What's that?\It's an egg!\I found an egg! response:	Where in the world did you get that?
context: Then, one day...\Gray... Erza...\One day I'll beat the crap outta you both!\T-That didn't hurt!\W-What's that?\It's an egg!\I found an egg!\Where in the world did you get that? response:	I picked it up in the East Forest!
context: Gray... Erza...\One day I'll beat the crap outta you both!\T-That didn't hurt!\W-What's that?\It's an egg!\I found an egg!\Where in the world did you get that?\I picked it up in the East Forest! response:	The East Forest?
context: One day I'll beat the crap outta you both!\T-That didn't hurt!\W-What's that?\It's an egg!\I found an egg!\Where in the world did you get that?\I picked it up in the East Forest!\The East Forest? response:	Look at that... Natsu is good for somethin' after all.
context: T-That didn't hurt!\W-What's that?\It's an egg!\I found an egg!\Where in the world did you get that?\I picked it up in the East Forest!\The East Forest?\Look at that... Natsu is good for somethin' after all. response:	Everyone gonna eat it?
context: W-What's that?\It's an egg!\I found an egg!\Where in the world did you get that?\I picked it up in the East Forest!\The East Forest?\Look at that... Natsu is good for somethin' after all.\Everyone gonna eat it? response:	Gray, your clothes!
context: It's an egg!\I found an egg!\Where in the world did you get that?\I picked it up in the East Forest!\The East Forest?\Look at that... Natsu is good for somethin' after all.\Everyone gonna eat it?\Gray, your clothes! response:	You're kiddin' me!
context: I found an egg!\Where in the world did you get that?\I picked it up in the East Forest!\The East Forest?\Look at that... Natsu is good for somethin' after all.\Everyone gonna eat it?\Gray, your clothes!\You're kiddin' me! response:	This is a dragon egg!
context: Where in the world did you get that?\I picked it up in the East Forest!\The East Forest?\Look at that... Natsu is good for somethin' after all.\Everyone gonna eat it?\Gray, your clothes!\You're kiddin' me!\This is a dragon egg! response:	I'm gonna hatch it!
context: I picked it up in the East Forest!\The East Forest?\Look at that... Natsu is good for somethin' after all.\Everyone gonna eat it?\Gray, your clothes!\You're kiddin' me!\This is a dragon egg!\I'm gonna hatch it! response:	A dragon?
context: The East Forest?\Look at that... Natsu is good for somethin' after all.\Everyone gonna eat it?\Gray, your clothes!\You're kiddin' me!\This is a dragon egg!\I'm gonna hatch it!\A dragon? response:	Just look at the strange markings. They look like a dragon's talons!
context: Look at that... Natsu is good for somethin' after all.\Everyone gonna eat it?\Gray, your clothes!\You're kiddin' me!\This is a dragon egg!\I'm gonna hatch it!\A dragon?\Just look at the strange markings. They look like a dragon's talons! response:	You think?
