context: Half-demon Inuyasha... response:	born half demon and half human.
context: As if I'd fall for such a trick!\Trick, huh?\Do you not understand?\Bringing dead spirits from the netherworld...\is a simple task for someone as great as Lord Sesshomaru.\He was even so kind as to give her flesh!\Her own son won't believe that it's her.\How mortifying it must be for your mother! response:	I am returned from the dead...
context: Trick, huh?\Do you not understand?\Bringing dead spirits from the netherworld...\is a simple task for someone as great as Lord Sesshomaru.\He was even so kind as to give her flesh!\Her own son won't believe that it's her.\How mortifying it must be for your mother!\I am returned from the dead... response:	Iron Reaver Soul Stealer!
context: Do you not understand?\Bringing dead spirits from the netherworld...\is a simple task for someone as great as Lord Sesshomaru.\He was even so kind as to give her flesh!\Her own son won't believe that it's her.\How mortifying it must be for your mother!\I am returned from the dead...\Iron Reaver Soul Stealer! response:	You hopeless imbecile!
context: Bringing dead spirits from the netherworld...\is a simple task for someone as great as Lord Sesshomaru.\He was even so kind as to give her flesh!\Her own son won't believe that it's her.\How mortifying it must be for your mother!\I am returned from the dead...\Iron Reaver Soul Stealer!\You hopeless imbecile! response:	Mother!
context: is a simple task for someone as great as Lord Sesshomaru.\He was even so kind as to give her flesh!\Her own son won't believe that it's her.\How mortifying it must be for your mother!\I am returned from the dead...\Iron Reaver Soul Stealer!\You hopeless imbecile!\Mother! response:	Inuyasha!
context: He was even so kind as to give her flesh!\Her own son won't believe that it's her.\How mortifying it must be for your mother!\I am returned from the dead...\Iron Reaver Soul Stealer!\You hopeless imbecile!\Mother!\Inuyasha! response:	Miss Kagome!
context: Her own son won't believe that it's her.\How mortifying it must be for your mother!\I am returned from the dead...\Iron Reaver Soul Stealer!\You hopeless imbecile!\Mother!\Inuyasha!\Miss Kagome! response:	- Miss Kagome! - Miss Kagome!
context: How mortifying it must be for your mother!\I am returned from the dead...\Iron Reaver Soul Stealer!\You hopeless imbecile!\Mother!\Inuyasha!\Miss Kagome!\- Miss Kagome! - Miss Kagome! response:	Hey! Look!
context: I am returned from the dead...\Iron Reaver Soul Stealer!\You hopeless imbecile!\Mother!\Inuyasha!\Miss Kagome!\- Miss Kagome! - Miss Kagome!\Hey! Look! response:	Over here!
context: Iron Reaver Soul Stealer!\You hopeless imbecile!\Mother!\Inuyasha!\Miss Kagome!\- Miss Kagome! - Miss Kagome!\Hey! Look!\Over here! response:	What're you doing in the middle of the night?
context: You hopeless imbecile!\Mother!\Inuyasha!\Miss Kagome!\- Miss Kagome! - Miss Kagome!\Hey! Look!\Over here!\What're you doing in the middle of the night? response:	Did I wake you? I'm sorry.
context: Mother!\Inuyasha!\Miss Kagome!\- Miss Kagome! - Miss Kagome!\Hey! Look!\Over here!\What're you doing in the middle of the night?\Did I wake you? I'm sorry. response:	I was just lowering the bicycle seat to Kagome's height.
context: Inuyasha!\Miss Kagome!\- Miss Kagome! - Miss Kagome!\Hey! Look!\Over here!\What're you doing in the middle of the night?\Did I wake you? I'm sorry.\I was just lowering the bicycle seat to Kagome's height. response:	She took her own bike to the other dimension.
context: Miss Kagome!\- Miss Kagome! - Miss Kagome!\Hey! Look!\Over here!\What're you doing in the middle of the night?\Did I wake you? I'm sorry.\I was just lowering the bicycle seat to Kagome's height.\She took her own bike to the other dimension. response:	I thought she'd have a hard time using this one when she returns.
context: - Miss Kagome! - Miss Kagome!\Hey! Look!\Over here!\What're you doing in the middle of the night?\Did I wake you? I'm sorry.\I was just lowering the bicycle seat to Kagome's height.\She took her own bike to the other dimension.\I thought she'd have a hard time using this one when she returns. response:	Sis won't be back for two or three days.
context: Hey! Look!\Over here!\What're you doing in the middle of the night?\Did I wake you? I'm sorry.\I was just lowering the bicycle seat to Kagome's height.\She took her own bike to the other dimension.\I thought she'd have a hard time using this one when she returns.\Sis won't be back for two or three days. response:	She took so much clothes with her.
context: Over here!\What're you doing in the middle of the night?\Did I wake you? I'm sorry.\I was just lowering the bicycle seat to Kagome's height.\She took her own bike to the other dimension.\I thought she'd have a hard time using this one when she returns.\Sis won't be back for two or three days.\She took so much clothes with her. response:	I know.
context: What're you doing in the middle of the night?\Did I wake you? I'm sorry.\I was just lowering the bicycle seat to Kagome's height.\She took her own bike to the other dimension.\I thought she'd have a hard time using this one when she returns.\Sis won't be back for two or three days.\She took so much clothes with her.\I know. response:	But I just want to do what I can for her.
context: Did I wake you? I'm sorry.\I was just lowering the bicycle seat to Kagome's height.\She took her own bike to the other dimension.\I thought she'd have a hard time using this one when she returns.\Sis won't be back for two or three days.\She took so much clothes with her.\I know.\But I just want to do what I can for her. response:	Sis is so lucky! You're so concerned about her.
context: I was just lowering the bicycle seat to Kagome's height.\She took her own bike to the other dimension.\I thought she'd have a hard time using this one when she returns.\Sis won't be back for two or three days.\She took so much clothes with her.\I know.\But I just want to do what I can for her.\Sis is so lucky! You're so concerned about her. response:	Oh, but I'm just as concerned about you, Sota.
context: She took her own bike to the other dimension.\I thought she'd have a hard time using this one when she returns.\Sis won't be back for two or three days.\She took so much clothes with her.\I know.\But I just want to do what I can for her.\Sis is so lucky! You're so concerned about her.\Oh, but I'm just as concerned about you, Sota. response:	Concerned that you won't wet the bedding again.
context: I thought she'd have a hard time using this one when she returns.\Sis won't be back for two or three days.\She took so much clothes with her.\I know.\But I just want to do what I can for her.\Sis is so lucky! You're so concerned about her.\Oh, but I'm just as concerned about you, Sota.\Concerned that you won't wet the bedding again. response:	How can you say that?! I'm already in the third grade!
context: Sis won't be back for two or three days.\She took so much clothes with her.\I know.\But I just want to do what I can for her.\Sis is so lucky! You're so concerned about her.\Oh, but I'm just as concerned about you, Sota.\Concerned that you won't wet the bedding again.\How can you say that?! I'm already in the third grade! response:	I won't do that!
context: She took so much clothes with her.\I know.\But I just want to do what I can for her.\Sis is so lucky! You're so concerned about her.\Oh, but I'm just as concerned about you, Sota.\Concerned that you won't wet the bedding again.\How can you say that?! I'm already in the third grade!\I won't do that! response:	I want you to help Sister out too, okay?
context: I know.\But I just want to do what I can for her.\Sis is so lucky! You're so concerned about her.\Oh, but I'm just as concerned about you, Sota.\Concerned that you won't wet the bedding again.\How can you say that?! I'm already in the third grade!\I won't do that!\I want you to help Sister out too, okay? response:	I know.
context: But I just want to do what I can for her.\Sis is so lucky! You're so concerned about her.\Oh, but I'm just as concerned about you, Sota.\Concerned that you won't wet the bedding again.\How can you say that?! I'm already in the third grade!\I won't do that!\I want you to help Sister out too, okay?\I know. response:	A falling star!
context: Sis is so lucky! You're so concerned about her.\Oh, but I'm just as concerned about you, Sota.\Concerned that you won't wet the bedding again.\How can you say that?! I'm already in the third grade!\I won't do that!\I want you to help Sister out too, okay?\I know.\A falling star! response:	Oh! Please let me win the lottery!
context: Oh, but I'm just as concerned about you, Sota.\Concerned that you won't wet the bedding again.\How can you say that?! I'm already in the third grade!\I won't do that!\I want you to help Sister out too, okay?\I know.\A falling star!\Oh! Please let me win the lottery! response:	There's no face in the reflection! Inuyasha!
context: Concerned that you won't wet the bedding again.\How can you say that?! I'm already in the third grade!\I won't do that!\I want you to help Sister out too, okay?\I know.\A falling star!\Oh! Please let me win the lottery!\There's no face in the reflection! Inuyasha! response:	Inu... -
context: How can you say that?! I'm already in the third grade!\I won't do that!\I want you to help Sister out too, okay?\I know.\A falling star!\Oh! Please let me win the lottery!\There's no face in the reflection! Inuyasha!\Inu... - response:	My voice... I can't speak.
context: I won't do that!\I want you to help Sister out too, okay?\I know.\A falling star!\Oh! Please let me win the lottery!\There's no face in the reflection! Inuyasha!\Inu... -\My voice... I can't speak. response:	Please notice it, Inuyasha! She doesn't have a face!
context: I want you to help Sister out too, okay?\I know.\A falling star!\Oh! Please let me win the lottery!\There's no face in the reflection! Inuyasha!\Inu... -\My voice... I can't speak.\Please notice it, Inuyasha! She doesn't have a face! response:	She's...not your mother!
context: I know.\A falling star!\Oh! Please let me win the lottery!\There's no face in the reflection! Inuyasha!\Inu... -\My voice... I can't speak.\Please notice it, Inuyasha! She doesn't have a face!\She's...not your mother! response:	Inuyasha... I must return to the netherworld.
context: A falling star!\Oh! Please let me win the lottery!\There's no face in the reflection! Inuyasha!\Inu... -\My voice... I can't speak.\Please notice it, Inuyasha! She doesn't have a face!\She's...not your mother!\Inuyasha... I must return to the netherworld. response:	Oh... Must you go?
context: Oh! Please let me win the lottery!\There's no face in the reflection! Inuyasha!\Inu... -\My voice... I can't speak.\Please notice it, Inuyasha! She doesn't have a face!\She's...not your mother!\Inuyasha... I must return to the netherworld.\Oh... Must you go? response:	Inuyasha... Look at the surface of the water.
context: There's no face in the reflection! Inuyasha!\Inu... -\My voice... I can't speak.\Please notice it, Inuyasha! She doesn't have a face!\She's...not your mother!\Inuyasha... I must return to the netherworld.\Oh... Must you go?\Inuyasha... Look at the surface of the water. response:	That's back when I was a kid...
context: Inu... -\My voice... I can't speak.\Please notice it, Inuyasha! She doesn't have a face!\She's...not your mother!\Inuyasha... I must return to the netherworld.\Oh... Must you go?\Inuyasha... Look at the surface of the water.\That's back when I was a kid... response:	So you remember!
context: My voice... I can't speak.\Please notice it, Inuyasha! She doesn't have a face!\She's...not your mother!\Inuyasha... I must return to the netherworld.\Oh... Must you go?\Inuyasha... Look at the surface of the water.\That's back when I was a kid...\So you remember! response:	When you were a child...
context: Please notice it, Inuyasha! She doesn't have a face!\She's...not your mother!\Inuyasha... I must return to the netherworld.\Oh... Must you go?\Inuyasha... Look at the surface of the water.\That's back when I was a kid...\So you remember!\When you were a child... response:	I often embraced you like that.
context: She's...not your mother!\Inuyasha... I must return to the netherworld.\Oh... Must you go?\Inuyasha... Look at the surface of the water.\That's back when I was a kid...\So you remember!\When you were a child...\I often embraced you like that. response:	Good boy... Let me hold you tight.
context: Inuyasha... I must return to the netherworld.\Oh... Must you go?\Inuyasha... Look at the surface of the water.\That's back when I was a kid...\So you remember!\When you were a child...\I often embraced you like that.\Good boy... Let me hold you tight. response:	I won't let go.
context: Oh... Must you go?\Inuyasha... Look at the surface of the water.\That's back when I was a kid...\So you remember!\When you were a child...\I often embraced you like that.\Good boy... Let me hold you tight.\I won't let go. response:	Become one with me.
context: Inuyasha... Look at the surface of the water.\That's back when I was a kid...\So you remember!\When you were a child...\I often embraced you like that.\Good boy... Let me hold you tight.\I won't let go.\Become one with me. response:	Mother...
context: That's back when I was a kid...\So you remember!\When you were a child...\I often embraced you like that.\Good boy... Let me hold you tight.\I won't let go.\Become one with me.\Mother... response:	Inuyasha!
context: So you remember!\When you were a child...\I often embraced you like that.\Good boy... Let me hold you tight.\I won't let go.\Become one with me.\Mother...\Inuyasha! response:	Wh-Why can't I move?!
context: When you were a child...\I often embraced you like that.\Good boy... Let me hold you tight.\I won't let go.\Become one with me.\Mother...\Inuyasha!\Wh-Why can't I move?! response:	This is...all an illusion!
context: I often embraced you like that.\Good boy... Let me hold you tight.\I won't let go.\Become one with me.\Mother...\Inuyasha!\Wh-Why can't I move?!\This is...all an illusion! response:	Kagome!
context: Good boy... Let me hold you tight.\I won't let go.\Become one with me.\Mother...\Inuyasha!\Wh-Why can't I move?!\This is...all an illusion!\Kagome! response:	Snap out of it!
context: I won't let go.\Become one with me.\Mother...\Inuyasha!\Wh-Why can't I move?!\This is...all an illusion!\Kagome!\Snap out of it! response:	It's me, Myoga the Flea!
context: Become one with me.\Mother...\Inuyasha!\Wh-Why can't I move?!\This is...all an illusion!\Kagome!\Snap out of it!\It's me, Myoga the Flea! response:	Who would have thought that the one looking for the tomb...
context: Mother...\Inuyasha!\Wh-Why can't I move?!\This is...all an illusion!\Kagome!\Snap out of it!\It's me, Myoga the Flea!\Who would have thought that the one looking for the tomb... response:	would be Sesshomaru, Master Inuyasha's elder brother!!
context: Inuyasha!\Wh-Why can't I move?!\This is...all an illusion!\Kagome!\Snap out of it!\It's me, Myoga the Flea!\Who would have thought that the one looking for the tomb...\would be Sesshomaru, Master Inuyasha's elder brother!! response:	Such a formidable foe!
context: Wh-Why can't I move?!\This is...all an illusion!\Kagome!\Snap out of it!\It's me, Myoga the Flea!\Who would have thought that the one looking for the tomb...\would be Sesshomaru, Master Inuyasha's elder brother!!\Such a formidable foe! response:	Poor thing, you're chained up and unable to move.
context: This is...all an illusion!\Kagome!\Snap out of it!\It's me, Myoga the Flea!\Who would have thought that the one looking for the tomb...\would be Sesshomaru, Master Inuyasha's elder brother!!\Such a formidable foe!\Poor thing, you're chained up and unable to move. response:	I'll undo the spell in a moment.
context: Kagome!\Snap out of it!\It's me, Myoga the Flea!\Who would have thought that the one looking for the tomb...\would be Sesshomaru, Master Inuyasha's elder brother!!\Such a formidable foe!\Poor thing, you're chained up and unable to move.\I'll undo the spell in a moment. response:	Hmm?
context: Snap out of it!\It's me, Myoga the Flea!\Who would have thought that the one looking for the tomb...\would be Sesshomaru, Master Inuyasha's elder brother!!\Such a formidable foe!\Poor thing, you're chained up and unable to move.\I'll undo the spell in a moment.\Hmm? response:	Looks delicious!
context: It's me, Myoga the Flea!\Who would have thought that the one looking for the tomb...\would be Sesshomaru, Master Inuyasha's elder brother!!\Such a formidable foe!\Poor thing, you're chained up and unable to move.\I'll undo the spell in a moment.\Hmm?\Looks delicious! response:	Thank you!
context: Who would have thought that the one looking for the tomb...\would be Sesshomaru, Master Inuyasha's elder brother!!\Such a formidable foe!\Poor thing, you're chained up and unable to move.\I'll undo the spell in a moment.\Hmm?\Looks delicious!\Thank you! response:	I think I can move now.
context: would be Sesshomaru, Master Inuyasha's elder brother!!\Such a formidable foe!\Poor thing, you're chained up and unable to move.\I'll undo the spell in a moment.\Hmm?\Looks delicious!\Thank you!\I think I can move now. response:	My son... My dear son...
context: Such a formidable foe!\Poor thing, you're chained up and unable to move.\I'll undo the spell in a moment.\Hmm?\Looks delicious!\Thank you!\I think I can move now.\My son... My dear son... response:	Hey you! Un-Mother!
context: Poor thing, you're chained up and unable to move.\I'll undo the spell in a moment.\Hmm?\Looks delicious!\Thank you!\I think I can move now.\My son... My dear son...\Hey you! Un-Mother! response:	What's the use of sucking the breath out of him?!
context: I'll undo the spell in a moment.\Hmm?\Looks delicious!\Thank you!\I think I can move now.\My son... My dear son...\Hey you! Un-Mother!\What's the use of sucking the breath out of him?! response:	Master Jaken!
context: Hmm?\Looks delicious!\Thank you!\I think I can move now.\My son... My dear son...\Hey you! Un-Mother!\What's the use of sucking the breath out of him?!\Master Jaken! response:	What you do to him later is no concern to us!
context: Looks delicious!\Thank you!\I think I can move now.\My son... My dear son...\Hey you! Un-Mother!\What's the use of sucking the breath out of him?!\Master Jaken!\What you do to him later is no concern to us! response:	But first, you must get the information out of him!
context: Thank you!\I think I can move now.\My son... My dear son...\Hey you! Un-Mother!\What's the use of sucking the breath out of him?!\Master Jaken!\What you do to him later is no concern to us!\But first, you must get the information out of him! response:	The location of the tomb...
context: I think I can move now.\My son... My dear son...\Hey you! Un-Mother!\What's the use of sucking the breath out of him?!\Master Jaken!\What you do to him later is no concern to us!\But first, you must get the information out of him!\The location of the tomb... response:	of Inuyasha and Lord Sesshomaru's father!
context: My son... My dear son...\Hey you! Un-Mother!\What's the use of sucking the breath out of him?!\Master Jaken!\What you do to him later is no concern to us!\But first, you must get the information out of him!\The location of the tomb...\of Inuyasha and Lord Sesshomaru's father! response:	That Jaken fellow is Sesshomaru's henchman?
context: Hey you! Un-Mother!\What's the use of sucking the breath out of him?!\Master Jaken!\What you do to him later is no concern to us!\But first, you must get the information out of him!\The location of the tomb...\of Inuyasha and Lord Sesshomaru's father!\That Jaken fellow is Sesshomaru's henchman? response:	The Human Head Staff...
context: What's the use of sucking the breath out of him?!\Master Jaken!\What you do to him later is no concern to us!\But first, you must get the information out of him!\The location of the tomb...\of Inuyasha and Lord Sesshomaru's father!\That Jaken fellow is Sesshomaru's henchman?\The Human Head Staff... response:	You must watch out for that.
context: Master Jaken!\What you do to him later is no concern to us!\But first, you must get the information out of him!\The location of the tomb...\of Inuyasha and Lord Sesshomaru's father!\That Jaken fellow is Sesshomaru's henchman?\The Human Head Staff...\You must watch out for that. response:	'Kay!
context: What you do to him later is no concern to us!\But first, you must get the information out of him!\The location of the tomb...\of Inuyasha and Lord Sesshomaru's father!\That Jaken fellow is Sesshomaru's henchman?\The Human Head Staff...\You must watch out for that.\'Kay! response:	Inuyasha!
context: But first, you must get the information out of him!\The location of the tomb...\of Inuyasha and Lord Sesshomaru's father!\That Jaken fellow is Sesshomaru's henchman?\The Human Head Staff...\You must watch out for that.\'Kay!\Inuyasha! response:	Inuyasha!
context: The location of the tomb...\of Inuyasha and Lord Sesshomaru's father!\That Jaken fellow is Sesshomaru's henchman?\The Human Head Staff...\You must watch out for that.\'Kay!\Inuyasha!\Inuyasha! response:	Please remember...
context: of Inuyasha and Lord Sesshomaru's father!\That Jaken fellow is Sesshomaru's henchman?\The Human Head Staff...\You must watch out for that.\'Kay!\Inuyasha!\Inuyasha!\Please remember... response:	Where is your father's tomb?
context: That Jaken fellow is Sesshomaru's henchman?\The Human Head Staff...\You must watch out for that.\'Kay!\Inuyasha!\Inuyasha!\Please remember...\Where is your father's tomb? response:	I don't know...
context: The Human Head Staff...\You must watch out for that.\'Kay!\Inuyasha!\Inuyasha!\Please remember...\Where is your father's tomb?\I don't know... response:	Think harder!
context: You must watch out for that.\'Kay!\Inuyasha!\Inuyasha!\Please remember...\Where is your father's tomb?\I don't know...\Think harder! response:	Open up your heart to me.
context: 'Kay!\Inuyasha!\Inuyasha!\Please remember...\Where is your father's tomb?\I don't know...\Think harder!\Open up your heart to me. response:	What's that?!
context: Inuyasha!\Inuyasha!\Please remember...\Where is your father's tomb?\I don't know...\Think harder!\Open up your heart to me.\What's that?! response:	The black pearl in the right...
context: Inuyasha!\Please remember...\Where is your father's tomb?\I don't know...\Think harder!\Open up your heart to me.\What's that?!\The black pearl in the right... response:	The black pearl in the right? That's not enough to go on!
context: Please remember...\Where is your father's tomb?\I don't know...\Think harder!\Open up your heart to me.\What's that?!\The black pearl in the right...\The black pearl in the right? That's not enough to go on! response:	Find out more!
context: Where is your father's tomb?\I don't know...\Think harder!\Open up your heart to me.\What's that?!\The black pearl in the right...\The black pearl in the right? That's not enough to go on!\Find out more! response:	Master Jaken, if I delve any deeper...
context: I don't know...\Think harder!\Open up your heart to me.\What's that?!\The black pearl in the right...\The black pearl in the right? That's not enough to go on!\Find out more!\Master Jaken, if I delve any deeper... response:	this boy's spirit will be broken.
context: Think harder!\Open up your heart to me.\What's that?!\The black pearl in the right...\The black pearl in the right? That's not enough to go on!\Find out more!\Master Jaken, if I delve any deeper...\this boy's spirit will be broken. response:	So what? Just do it!
context: Open up your heart to me.\What's that?!\The black pearl in the right...\The black pearl in the right? That's not enough to go on!\Find out more!\Master Jaken, if I delve any deeper...\this boy's spirit will be broken.\So what? Just do it! response:	There, there... Inuyasha.
context: What's that?!\The black pearl in the right...\The black pearl in the right? That's not enough to go on!\Find out more!\Master Jaken, if I delve any deeper...\this boy's spirit will be broken.\So what? Just do it!\There, there... Inuyasha. response:	I can't breathe, Mother!
context: The black pearl in the right...\The black pearl in the right? That's not enough to go on!\Find out more!\Master Jaken, if I delve any deeper...\this boy's spirit will be broken.\So what? Just do it!\There, there... Inuyasha.\I can't breathe, Mother! response:	The face!
context: The black pearl in the right? That's not enough to go on!\Find out more!\Master Jaken, if I delve any deeper...\this boy's spirit will be broken.\So what? Just do it!\There, there... Inuyasha.\I can't breathe, Mother!\The face! response:	Hey! Not yet?
context: Find out more!\Master Jaken, if I delve any deeper...\this boy's spirit will be broken.\So what? Just do it!\There, there... Inuyasha.\I can't breathe, Mother!\The face!\Hey! Not yet? response:	Hurry, or I will face the wrath of Lord Sesshomaru!
context: Master Jaken, if I delve any deeper...\this boy's spirit will be broken.\So what? Just do it!\There, there... Inuyasha.\I can't breathe, Mother!\The face!\Hey! Not yet?\Hurry, or I will face the wrath of Lord Sesshomaru! response:	Huh?!
context: this boy's spirit will be broken.\So what? Just do it!\There, there... Inuyasha.\I can't breathe, Mother!\The face!\Hey! Not yet?\Hurry, or I will face the wrath of Lord Sesshomaru!\Huh?! response:	Why you... puny troublemaker!
context: So what? Just do it!\There, there... Inuyasha.\I can't breathe, Mother!\The face!\Hey! Not yet?\Hurry, or I will face the wrath of Lord Sesshomaru!\Huh?!\Why you... puny troublemaker! response:	Wait!
context: There, there... Inuyasha.\I can't breathe, Mother!\The face!\Hey! Not yet?\Hurry, or I will face the wrath of Lord Sesshomaru!\Huh?!\Why you... puny troublemaker!\Wait! response:	Let Inuyasha go!
context: I can't breathe, Mother!\The face!\Hey! Not yet?\Hurry, or I will face the wrath of Lord Sesshomaru!\Huh?!\Why you... puny troublemaker!\Wait!\Let Inuyasha go! response:	No!
context: The face!\Hey! Not yet?\Hurry, or I will face the wrath of Lord Sesshomaru!\Huh?!\Why you... puny troublemaker!\Wait!\Let Inuyasha go!\No! response:	Inuyasha!
context: Hey! Not yet?\Hurry, or I will face the wrath of Lord Sesshomaru!\Huh?!\Why you... puny troublemaker!\Wait!\Let Inuyasha go!\No!\Inuyasha! response:	Huh?!
context: Hurry, or I will face the wrath of Lord Sesshomaru!\Huh?!\Why you... puny troublemaker!\Wait!\Let Inuyasha go!\No!\Inuyasha!\Huh?! response:	He's being sucked in! What'll I do?
context: Huh?!\Why you... puny troublemaker!\Wait!\Let Inuyasha go!\No!\Inuyasha!\Huh?!\He's being sucked in! What'll I do? response:	Kagome!
context: Why you... puny troublemaker!\Wait!\Let Inuyasha go!\No!\Inuyasha!\Huh?!\He's being sucked in! What'll I do?\Kagome! response:	You must awaken Master Inuyasha's spirit!
context: Wait!\Let Inuyasha go!\No!\Inuyasha!\Huh?!\He's being sucked in! What'll I do?\Kagome!\You must awaken Master Inuyasha's spirit! response:	Spirit?!
context: Let Inuyasha go!\No!\Inuyasha!\Huh?!\He's being sucked in! What'll I do?\Kagome!\You must awaken Master Inuyasha's spirit!\Spirit?! response:	The demon is the Un-Mother.
context: No!\Inuyasha!\Huh?!\He's being sucked in! What'll I do?\Kagome!\You must awaken Master Inuyasha's spirit!\Spirit?!\The demon is the Un-Mother. response:	She was created by the forlorn spirits of mothers...
context: Inuyasha!\Huh?!\He's being sucked in! What'll I do?\Kagome!\You must awaken Master Inuyasha's spirit!\Spirit?!\The demon is the Un-Mother.\She was created by the forlorn spirits of mothers... response:	who lost children to famine or war.
context: Huh?!\He's being sucked in! What'll I do?\Kagome!\You must awaken Master Inuyasha's spirit!\Spirit?!\The demon is the Un-Mother.\She was created by the forlorn spirits of mothers...\who lost children to famine or war. response:	If you reawaken the spirit that's under the spell of the Un-Mother...
context: He's being sucked in! What'll I do?\Kagome!\You must awaken Master Inuyasha's spirit!\Spirit?!\The demon is the Un-Mother.\She was created by the forlorn spirits of mothers...\who lost children to famine or war.\If you reawaken the spirit that's under the spell of the Un-Mother... response:	his body will be released!
context: Kagome!\You must awaken Master Inuyasha's spirit!\Spirit?!\The demon is the Un-Mother.\She was created by the forlorn spirits of mothers...\who lost children to famine or war.\If you reawaken the spirit that's under the spell of the Un-Mother...\his body will be released! response:	Awaken the spirit?!
context: You must awaken Master Inuyasha's spirit!\Spirit?!\The demon is the Un-Mother.\She was created by the forlorn spirits of mothers...\who lost children to famine or war.\If you reawaken the spirit that's under the spell of the Un-Mother...\his body will be released!\Awaken the spirit?! response:	But how?
