context: Episode 9 Moon response:	To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store.
context: Because Mom wouldn't stay put, huh?\You're going overseas next, aren't you?\It looks like I'll be gone for a while this time.\I see.\I'm going back, now.\That boy said he liked it here,\so I thought he found something he wanted to do.\His girlfriend, I'm sure. response:	I want to see her just once.
context: You're going overseas next, aren't you?\It looks like I'll be gone for a while this time.\I see.\I'm going back, now.\That boy said he liked it here,\so I thought he found something he wanted to do.\His girlfriend, I'm sure.\I want to see her just once. response:	If you come back again during the summer break.
context: It looks like I'll be gone for a while this time.\I see.\I'm going back, now.\That boy said he liked it here,\so I thought he found something he wanted to do.\His girlfriend, I'm sure.\I want to see her just once.\If you come back again during the summer break. response:	Just don't get in their way, please.
context: I see.\I'm going back, now.\That boy said he liked it here,\so I thought he found something he wanted to do.\His girlfriend, I'm sure.\I want to see her just once.\If you come back again during the summer break.\Just don't get in their way, please. response:	My happiness is partly thanks to him.
context: I'm going back, now.\That boy said he liked it here,\so I thought he found something he wanted to do.\His girlfriend, I'm sure.\I want to see her just once.\If you come back again during the summer break.\Just don't get in their way, please.\My happiness is partly thanks to him. response:	If he asked me, I'd support him with everything I have.
context: That boy said he liked it here,\so I thought he found something he wanted to do.\His girlfriend, I'm sure.\I want to see her just once.\If you come back again during the summer break.\Just don't get in their way, please.\My happiness is partly thanks to him.\If he asked me, I'd support him with everything I have. response:	You're really just lonely, aren't you?
context: so I thought he found something he wanted to do.\His girlfriend, I'm sure.\I want to see her just once.\If you come back again during the summer break.\Just don't get in their way, please.\My happiness is partly thanks to him.\If he asked me, I'd support him with everything I have.\You're really just lonely, aren't you? response:	What are you talking about?
context: His girlfriend, I'm sure.\I want to see her just once.\If you come back again during the summer break.\Just don't get in their way, please.\My happiness is partly thanks to him.\If he asked me, I'd support him with everything I have.\You're really just lonely, aren't you?\What are you talking about? response:	Of course I am.
context: I want to see her just once.\If you come back again during the summer break.\Just don't get in their way, please.\My happiness is partly thanks to him.\If he asked me, I'd support him with everything I have.\You're really just lonely, aren't you?\What are you talking about?\Of course I am. response:	To: Yukinari Subject: Hinode-hama today Good weather today. Hinode Bridge, futon...
context: If you come back again during the summer break.\Just don't get in their way, please.\My happiness is partly thanks to him.\If he asked me, I'd support him with everything I have.\You're really just lonely, aren't you?\What are you talking about?\Of course I am.\To: Yukinari Subject: Hinode-hama today Good weather today. Hinode Bridge, futon... response:	New message
context: Just don't get in their way, please.\My happiness is partly thanks to him.\If he asked me, I'd support him with everything I have.\You're really just lonely, aren't you?\What are you talking about?\Of course I am.\To: Yukinari Subject: Hinode-hama today Good weather today. Hinode Bridge, futon...\New message response:	Yes?
context: My happiness is partly thanks to him.\If he asked me, I'd support him with everything I have.\You're really just lonely, aren't you?\What are you talking about?\Of course I am.\To: Yukinari Subject: Hinode-hama today Good weather today. Hinode Bridge, futon...\New message\Yes? response:	Hi, it's Hina.
context: If he asked me, I'd support him with everything I have.\You're really just lonely, aren't you?\What are you talking about?\Of course I am.\To: Yukinari Subject: Hinode-hama today Good weather today. Hinode Bridge, futon...\New message\Yes?\Hi, it's Hina. response:	Come in.
context: You're really just lonely, aren't you?\What are you talking about?\Of course I am.\To: Yukinari Subject: Hinode-hama today Good weather today. Hinode Bridge, futon...\New message\Yes?\Hi, it's Hina.\Come in. response:	Thanks!
context: What are you talking about?\Of course I am.\To: Yukinari Subject: Hinode-hama today Good weather today. Hinode Bridge, futon...\New message\Yes?\Hi, it's Hina.\Come in.\Thanks! response:	Oh, this.
context: Of course I am.\To: Yukinari Subject: Hinode-hama today Good weather today. Hinode Bridge, futon...\New message\Yes?\Hi, it's Hina.\Come in.\Thanks!\Oh, this. response:	Yeah, Touko gave me that.
context: To: Yukinari Subject: Hinode-hama today Good weather today. Hinode Bridge, futon...\New message\Yes?\Hi, it's Hina.\Come in.\Thanks!\Oh, this.\Yeah, Touko gave me that. response:	So, I was thinking,
context: New message\Yes?\Hi, it's Hina.\Come in.\Thanks!\Oh, this.\Yeah, Touko gave me that.\So, I was thinking, response:	I have a lot of clothes that I can't wear anymore.
context: Yes?\Hi, it's Hina.\Come in.\Thanks!\Oh, this.\Yeah, Touko gave me that.\So, I was thinking,\I have a lot of clothes that I can't wear anymore. response:	Do you want to try them on before we go shopping?
context: Hi, it's Hina.\Come in.\Thanks!\Oh, this.\Yeah, Touko gave me that.\So, I was thinking,\I have a lot of clothes that I can't wear anymore.\Do you want to try them on before we go shopping? response:	Yes, please!
context: Come in.\Thanks!\Oh, this.\Yeah, Touko gave me that.\So, I was thinking,\I have a lot of clothes that I can't wear anymore.\Do you want to try them on before we go shopping?\Yes, please! response:	It's perfect. So cute.
context: Thanks!\Oh, this.\Yeah, Touko gave me that.\So, I was thinking,\I have a lot of clothes that I can't wear anymore.\Do you want to try them on before we go shopping?\Yes, please!\It's perfect. So cute. response:	Maybe not that skirt. Something more frilly.
context: Oh, this.\Yeah, Touko gave me that.\So, I was thinking,\I have a lot of clothes that I can't wear anymore.\Do you want to try them on before we go shopping?\Yes, please!\It's perfect. So cute.\Maybe not that skirt. Something more frilly. response:	Hey, Yanagi-san...
context: Yeah, Touko gave me that.\So, I was thinking,\I have a lot of clothes that I can't wear anymore.\Do you want to try them on before we go shopping?\Yes, please!\It's perfect. So cute.\Maybe not that skirt. Something more frilly.\Hey, Yanagi-san... response:	Did you find something you want to wear?
context: So, I was thinking,\I have a lot of clothes that I can't wear anymore.\Do you want to try them on before we go shopping?\Yes, please!\It's perfect. So cute.\Maybe not that skirt. Something more frilly.\Hey, Yanagi-san...\Did you find something you want to wear? response:	About Onee-chan...
context: I have a lot of clothes that I can't wear anymore.\Do you want to try them on before we go shopping?\Yes, please!\It's perfect. So cute.\Maybe not that skirt. Something more frilly.\Hey, Yanagi-san...\Did you find something you want to wear?\About Onee-chan... response:	That's what you've been wanting to ask since yesterday, right?
context: Do you want to try them on before we go shopping?\Yes, please!\It's perfect. So cute.\Maybe not that skirt. Something more frilly.\Hey, Yanagi-san...\Did you find something you want to wear?\About Onee-chan...\That's what you've been wanting to ask since yesterday, right? response:	I think she's in love.
context: Yes, please!\It's perfect. So cute.\Maybe not that skirt. Something more frilly.\Hey, Yanagi-san...\Did you find something you want to wear?\About Onee-chan...\That's what you've been wanting to ask since yesterday, right?\I think she's in love. response:	You think so too, right?
context: It's perfect. So cute.\Maybe not that skirt. Something more frilly.\Hey, Yanagi-san...\Did you find something you want to wear?\About Onee-chan...\That's what you've been wanting to ask since yesterday, right?\I think she's in love.\You think so too, right? response:	But it's not a broken heart, is it?
context: Maybe not that skirt. Something more frilly.\Hey, Yanagi-san...\Did you find something you want to wear?\About Onee-chan...\That's what you've been wanting to ask since yesterday, right?\I think she's in love.\You think so too, right?\But it's not a broken heart, is it? response:	I don't think so.
context: Hey, Yanagi-san...\Did you find something you want to wear?\About Onee-chan...\That's what you've been wanting to ask since yesterday, right?\I think she's in love.\You think so too, right?\But it's not a broken heart, is it?\I don't think so. response:	But I don't think I know
context: Did you find something you want to wear?\About Onee-chan...\That's what you've been wanting to ask since yesterday, right?\I think she's in love.\You think so too, right?\But it's not a broken heart, is it?\I don't think so.\But I don't think I know response:	any more than you do.
context: About Onee-chan...\That's what you've been wanting to ask since yesterday, right?\I think she's in love.\You think so too, right?\But it's not a broken heart, is it?\I don't think so.\But I don't think I know\any more than you do. response:	Oh.
context: That's what you've been wanting to ask since yesterday, right?\I think she's in love.\You think so too, right?\But it's not a broken heart, is it?\I don't think so.\But I don't think I know\any more than you do.\Oh. response:	Oh, but I
context: I think she's in love.\You think so too, right?\But it's not a broken heart, is it?\I don't think so.\But I don't think I know\any more than you do.\Oh.\Oh, but I response:	have a one-sided promise to ask someone who probably
context: You think so too, right?\But it's not a broken heart, is it?\I don't think so.\But I don't think I know\any more than you do.\Oh.\Oh, but I\have a one-sided promise to ask someone who probably response:	knows a lot about it.
context: But it's not a broken heart, is it?\I don't think so.\But I don't think I know\any more than you do.\Oh.\Oh, but I\have a one-sided promise to ask someone who probably\knows a lot about it. response:	One-sided? That's not exactly a promise, then, is it?
context: I don't think so.\But I don't think I know\any more than you do.\Oh.\Oh, but I\have a one-sided promise to ask someone who probably\knows a lot about it.\One-sided? That's not exactly a promise, then, is it? response:	Maybe not.
context: But I don't think I know\any more than you do.\Oh.\Oh, but I\have a one-sided promise to ask someone who probably\knows a lot about it.\One-sided? That's not exactly a promise, then, is it?\Maybe not. response:	Don't worry,
context: any more than you do.\Oh.\Oh, but I\have a one-sided promise to ask someone who probably\knows a lot about it.\One-sided? That's not exactly a promise, then, is it?\Maybe not.\Don't worry, response:	Touko's really important to me.
context: Oh.\Oh, but I\have a one-sided promise to ask someone who probably\knows a lot about it.\One-sided? That's not exactly a promise, then, is it?\Maybe not.\Don't worry,\Touko's really important to me. response:	This is so cute.
context: Oh, but I\have a one-sided promise to ask someone who probably\knows a lot about it.\One-sided? That's not exactly a promise, then, is it?\Maybe not.\Don't worry,\Touko's really important to me.\This is so cute. response:	Right? Do you like it?
context: have a one-sided promise to ask someone who probably\knows a lot about it.\One-sided? That's not exactly a promise, then, is it?\Maybe not.\Don't worry,\Touko's really important to me.\This is so cute.\Right? Do you like it? response:	Yes.
context: knows a lot about it.\One-sided? That's not exactly a promise, then, is it?\Maybe not.\Don't worry,\Touko's really important to me.\This is so cute.\Right? Do you like it?\Yes. response:	You can have it, then.
context: One-sided? That's not exactly a promise, then, is it?\Maybe not.\Don't worry,\Touko's really important to me.\This is so cute.\Right? Do you like it?\Yes.\You can have it, then. response:	Sorry it's a hand-me-down.
context: Maybe not.\Don't worry,\Touko's really important to me.\This is so cute.\Right? Do you like it?\Yes.\You can have it, then.\Sorry it's a hand-me-down. response:	I'm so happy. Are you sure, though?
context: Don't worry,\Touko's really important to me.\This is so cute.\Right? Do you like it?\Yes.\You can have it, then.\Sorry it's a hand-me-down.\I'm so happy. Are you sure, though? response:	I can't wear it anymore, anyway.
context: Touko's really important to me.\This is so cute.\Right? Do you like it?\Yes.\You can have it, then.\Sorry it's a hand-me-down.\I'm so happy. Are you sure, though?\I can't wear it anymore, anyway. response:	That's an outfit Yuki complimented me for.
context: This is so cute.\Right? Do you like it?\Yes.\You can have it, then.\Sorry it's a hand-me-down.\I'm so happy. Are you sure, though?\I can't wear it anymore, anyway.\That's an outfit Yuki complimented me for. response:	He probably doesn't remember anymore, though.
context: Right? Do you like it?\Yes.\You can have it, then.\Sorry it's a hand-me-down.\I'm so happy. Are you sure, though?\I can't wear it anymore, anyway.\That's an outfit Yuki complimented me for.\He probably doesn't remember anymore, though. response:	I can't take it.
context: Yes.\You can have it, then.\Sorry it's a hand-me-down.\I'm so happy. Are you sure, though?\I can't wear it anymore, anyway.\That's an outfit Yuki complimented me for.\He probably doesn't remember anymore, though.\I can't take it. response:	I'm going to become a new me.
context: You can have it, then.\Sorry it's a hand-me-down.\I'm so happy. Are you sure, though?\I can't wear it anymore, anyway.\That's an outfit Yuki complimented me for.\He probably doesn't remember anymore, though.\I can't take it.\I'm going to become a new me. response:	Even though you're already cute?
context: Sorry it's a hand-me-down.\I'm so happy. Are you sure, though?\I can't wear it anymore, anyway.\That's an outfit Yuki complimented me for.\He probably doesn't remember anymore, though.\I can't take it.\I'm going to become a new me.\Even though you're already cute? response:	Even more.
context: I'm so happy. Are you sure, though?\I can't wear it anymore, anyway.\That's an outfit Yuki complimented me for.\He probably doesn't remember anymore, though.\I can't take it.\I'm going to become a new me.\Even though you're already cute?\Even more. response:	I'm pulling for you.
context: I can't wear it anymore, anyway.\That's an outfit Yuki complimented me for.\He probably doesn't remember anymore, though.\I can't take it.\I'm going to become a new me.\Even though you're already cute?\Even more.\I'm pulling for you. response:	Thanks.
context: That's an outfit Yuki complimented me for.\He probably doesn't remember anymore, though.\I can't take it.\I'm going to become a new me.\Even though you're already cute?\Even more.\I'm pulling for you.\Thanks. response:	Tada!
context: He probably doesn't remember anymore, though.\I can't take it.\I'm going to become a new me.\Even though you're already cute?\Even more.\I'm pulling for you.\Thanks.\Tada! response:	That's cute.
context: I can't take it.\I'm going to become a new me.\Even though you're already cute?\Even more.\I'm pulling for you.\Thanks.\Tada!\That's cute. response:	Yanagi-san gave it to me.
context: I'm going to become a new me.\Even though you're already cute?\Even more.\I'm pulling for you.\Thanks.\Tada!\That's cute.\Yanagi-san gave it to me. response:	But I think it might be...
context: Even though you're already cute?\Even more.\I'm pulling for you.\Thanks.\Tada!\That's cute.\Yanagi-san gave it to me.\But I think it might be... response:	Yanagi-san's got such good taste!
context: Even more.\I'm pulling for you.\Thanks.\Tada!\That's cute.\Yanagi-san gave it to me.\But I think it might be...\Yanagi-san's got such good taste! response:	How've you been doing lately, Touko?
context: I'm pulling for you.\Thanks.\Tada!\That's cute.\Yanagi-san gave it to me.\But I think it might be...\Yanagi-san's got such good taste!\How've you been doing lately, Touko? response:	I'm doing speed sketches and life drawings.
context: Thanks.\Tada!\That's cute.\Yanagi-san gave it to me.\But I think it might be...\Yanagi-san's got such good taste!\How've you been doing lately, Touko?\I'm doing speed sketches and life drawings. response:	You're lucky you have no written exams.
context: Tada!\That's cute.\Yanagi-san gave it to me.\But I think it might be...\Yanagi-san's got such good taste!\How've you been doing lately, Touko?\I'm doing speed sketches and life drawings.\You're lucky you have no written exams. response:	I kind of do.
context: That's cute.\Yanagi-san gave it to me.\But I think it might be...\Yanagi-san's got such good taste!\How've you been doing lately, Touko?\I'm doing speed sketches and life drawings.\You're lucky you have no written exams.\I kind of do. response:	Sorry, phone.
context: Yanagi-san gave it to me.\But I think it might be...\Yanagi-san's got such good taste!\How've you been doing lately, Touko?\I'm doing speed sketches and life drawings.\You're lucky you have no written exams.\I kind of do.\Sorry, phone. response:	Hello, Sacchan?
context: But I think it might be...\Yanagi-san's got such good taste!\How've you been doing lately, Touko?\I'm doing speed sketches and life drawings.\You're lucky you have no written exams.\I kind of do.\Sorry, phone.\Hello, Sacchan? response:	Sure, I'm fine.
context: Yanagi-san's got such good taste!\How've you been doing lately, Touko?\I'm doing speed sketches and life drawings.\You're lucky you have no written exams.\I kind of do.\Sorry, phone.\Hello, Sacchan?\Sure, I'm fine. response:	We ended up talking a lot
context: How've you been doing lately, Touko?\I'm doing speed sketches and life drawings.\You're lucky you have no written exams.\I kind of do.\Sorry, phone.\Hello, Sacchan?\Sure, I'm fine.\We ended up talking a lot response:	about Onee-chan today.
context: I'm doing speed sketches and life drawings.\You're lucky you have no written exams.\I kind of do.\Sorry, phone.\Hello, Sacchan?\Sure, I'm fine.\We ended up talking a lot\about Onee-chan today. response:	Yana-chan was being nice to you,
context: You're lucky you have no written exams.\I kind of do.\Sorry, phone.\Hello, Sacchan?\Sure, I'm fine.\We ended up talking a lot\about Onee-chan today.\Yana-chan was being nice to you, response:	because you're so worried about your sister.
context: I kind of do.\Sorry, phone.\Hello, Sacchan?\Sure, I'm fine.\We ended up talking a lot\about Onee-chan today.\Yana-chan was being nice to you,\because you're so worried about your sister. response:	Oh, yeah.
context: Sorry, phone.\Hello, Sacchan?\Sure, I'm fine.\We ended up talking a lot\about Onee-chan today.\Yana-chan was being nice to you,\because you're so worried about your sister.\Oh, yeah. response:	Sacchan, how were the tests?
context: Hello, Sacchan?\Sure, I'm fine.\We ended up talking a lot\about Onee-chan today.\Yana-chan was being nice to you,\because you're so worried about your sister.\Oh, yeah.\Sacchan, how were the tests? response:	I don't get the results for at least a week,
context: Sure, I'm fine.\We ended up talking a lot\about Onee-chan today.\Yana-chan was being nice to you,\because you're so worried about your sister.\Oh, yeah.\Sacchan, how were the tests?\I don't get the results for at least a week, response:	but I'm fine.
context: We ended up talking a lot\about Onee-chan today.\Yana-chan was being nice to you,\because you're so worried about your sister.\Oh, yeah.\Sacchan, how were the tests?\I don't get the results for at least a week,\but I'm fine. response:	Yeah?
context: about Onee-chan today.\Yana-chan was being nice to you,\because you're so worried about your sister.\Oh, yeah.\Sacchan, how were the tests?\I don't get the results for at least a week,\but I'm fine.\Yeah? response:	Hey...
context: Yana-chan was being nice to you,\because you're so worried about your sister.\Oh, yeah.\Sacchan, how were the tests?\I don't get the results for at least a week,\but I'm fine.\Yeah?\Hey... response:	I want to go to that place we promised to.
context: because you're so worried about your sister.\Oh, yeah.\Sacchan, how were the tests?\I don't get the results for at least a week,\but I'm fine.\Yeah?\Hey...\I want to go to that place we promised to. response:	The place we promised to go before?
