context: Hina-chan! response:	I wanted to ask you a little favor.
context: Thanks to you, the animals don't come close anymore,\so we can concentrate on working in the fields without worrying.\Take these to eat with your family.\Th-Th-Than...\Than?\Than...\Mom, I'm home.\You were out late again, huh? response:	Here, use these for dinner tonight.
context: so we can concentrate on working in the fields without worrying.\Take these to eat with your family.\Th-Th-Than...\Than?\Than...\Mom, I'm home.\You were out late again, huh?\Here, use these for dinner tonight. response:	Oh, thank you...
context: Take these to eat with your family.\Th-Th-Than...\Than?\Than...\Mom, I'm home.\You were out late again, huh?\Here, use these for dinner tonight.\Oh, thank you... response:	Lately, Hinako's been bringing vegetables from somewhere.
context: Th-Th-Than...\Than?\Than...\Mom, I'm home.\You were out late again, huh?\Here, use these for dinner tonight.\Oh, thank you...\Lately, Hinako's been bringing vegetables from somewhere. response:	And she's been getting home late.
context: Than?\Than...\Mom, I'm home.\You were out late again, huh?\Here, use these for dinner tonight.\Oh, thank you...\Lately, Hinako's been bringing vegetables from somewhere.\And she's been getting home late. response:	Sh-She couldn't be stealing from the fields, could she?!
context: Than...\Mom, I'm home.\You were out late again, huh?\Here, use these for dinner tonight.\Oh, thank you...\Lately, Hinako's been bringing vegetables from somewhere.\And she's been getting home late.\Sh-She couldn't be stealing from the fields, could she?! response:	No, no! That can't be it!
context: Mom, I'm home.\You were out late again, huh?\Here, use these for dinner tonight.\Oh, thank you...\Lately, Hinako's been bringing vegetables from somewhere.\And she's been getting home late.\Sh-She couldn't be stealing from the fields, could she?!\No, no! That can't be it! response:	I trust my little girl!
context: You were out late again, huh?\Here, use these for dinner tonight.\Oh, thank you...\Lately, Hinako's been bringing vegetables from somewhere.\And she's been getting home late.\Sh-She couldn't be stealing from the fields, could she?!\No, no! That can't be it!\I trust my little girl! response:	I'm sleepy...
context: Here, use these for dinner tonight.\Oh, thank you...\Lately, Hinako's been bringing vegetables from somewhere.\And she's been getting home late.\Sh-She couldn't be stealing from the fields, could she?!\No, no! That can't be it!\I trust my little girl!\I'm sleepy... response:	It's so warm out today.
context: Oh, thank you...\Lately, Hinako's been bringing vegetables from somewhere.\And she's been getting home late.\Sh-She couldn't be stealing from the fields, could she?!\No, no! That can't be it!\I trust my little girl!\I'm sleepy...\It's so warm out today. response:	It's making me sleepy.
context: Lately, Hinako's been bringing vegetables from somewhere.\And she's been getting home late.\Sh-She couldn't be stealing from the fields, could she?!\No, no! That can't be it!\I trust my little girl!\I'm sleepy...\It's so warm out today.\It's making me sleepy. response:	Oh, it's Hina-chan.
context: And she's been getting home late.\Sh-She couldn't be stealing from the fields, could she?!\No, no! That can't be it!\I trust my little girl!\I'm sleepy...\It's so warm out today.\It's making me sleepy.\Oh, it's Hina-chan. response:	Oh!
context: Sh-She couldn't be stealing from the fields, could she?!\No, no! That can't be it!\I trust my little girl!\I'm sleepy...\It's so warm out today.\It's making me sleepy.\Oh, it's Hina-chan.\Oh! response:	She's here to be our scarecrow again today?
context: No, no! That can't be it!\I trust my little girl!\I'm sleepy...\It's so warm out today.\It's making me sleepy.\Oh, it's Hina-chan.\Oh!\She's here to be our scarecrow again today? response:	What a big help she is!
context: I trust my little girl!\I'm sleepy...\It's so warm out today.\It's making me sleepy.\Oh, it's Hina-chan.\Oh!\She's here to be our scarecrow again today?\What a big help she is! response:	Oh, right. I'll get her vegetables for today.
context: I'm sleepy...\It's so warm out today.\It's making me sleepy.\Oh, it's Hina-chan.\Oh!\She's here to be our scarecrow again today?\What a big help she is!\Oh, right. I'll get her vegetables for today. response:	She'll catch a cold if she stays out here like this.
context: It's so warm out today.\It's making me sleepy.\Oh, it's Hina-chan.\Oh!\She's here to be our scarecrow again today?\What a big help she is!\Oh, right. I'll get her vegetables for today.\She'll catch a cold if she stays out here like this. response:	Wow! There are so many!
context: It's making me sleepy.\Oh, it's Hina-chan.\Oh!\She's here to be our scarecrow again today?\What a big help she is!\Oh, right. I'll get her vegetables for today.\She'll catch a cold if she stays out here like this.\Wow! There are so many! response:	H-Huh? What is this?
context: Oh, it's Hina-chan.\Oh!\She's here to be our scarecrow again today?\What a big help she is!\Oh, right. I'll get her vegetables for today.\She'll catch a cold if she stays out here like this.\Wow! There are so many!\H-Huh? What is this? response:	Am I a jizo statue now? When did this happen?
context: Oh!\She's here to be our scarecrow again today?\What a big help she is!\Oh, right. I'll get her vegetables for today.\She'll catch a cold if she stays out here like this.\Wow! There are so many!\H-Huh? What is this?\Am I a jizo statue now? When did this happen? response:	Oh!
context: She's here to be our scarecrow again today?\What a big help she is!\Oh, right. I'll get her vegetables for today.\She'll catch a cold if she stays out here like this.\Wow! There are so many!\H-Huh? What is this?\Am I a jizo statue now? When did this happen?\Oh! response:	Hey, Hina-chan!
context: What a big help she is!\Oh, right. I'll get her vegetables for today.\She'll catch a cold if she stays out here like this.\Wow! There are so many!\H-Huh? What is this?\Am I a jizo statue now? When did this happen?\Oh!\Hey, Hina-chan! response:	Thanks for being our scarecrow again today.
context: Oh, right. I'll get her vegetables for today.\She'll catch a cold if she stays out here like this.\Wow! There are so many!\H-Huh? What is this?\Am I a jizo statue now? When did this happen?\Oh!\Hey, Hina-chan!\Thanks for being our scarecrow again today. response:	You were a big help.
context: She'll catch a cold if she stays out here like this.\Wow! There are so many!\H-Huh? What is this?\Am I a jizo statue now? When did this happen?\Oh!\Hey, Hina-chan!\Thanks for being our scarecrow again today.\You were a big help. response:	U-Um... These... I... I should also... tha... than...
context: Wow! There are so many!\H-Huh? What is this?\Am I a jizo statue now? When did this happen?\Oh!\Hey, Hina-chan!\Thanks for being our scarecrow again today.\You were a big help.\U-Um... These... I... I should also... tha... than... response:	Hurry on home before it gets dark.
context: H-Huh? What is this?\Am I a jizo statue now? When did this happen?\Oh!\Hey, Hina-chan!\Thanks for being our scarecrow again today.\You were a big help.\U-Um... These... I... I should also... tha... than...\Hurry on home before it gets dark. response:	Come by again, okay?
context: Am I a jizo statue now? When did this happen?\Oh!\Hey, Hina-chan!\Thanks for being our scarecrow again today.\You were a big help.\U-Um... These... I... I should also... tha... than...\Hurry on home before it gets dark.\Come by again, okay? response:	Wow!
context: Oh!\Hey, Hina-chan!\Thanks for being our scarecrow again today.\You were a big help.\U-Um... These... I... I should also... tha... than...\Hurry on home before it gets dark.\Come by again, okay?\Wow! response:	This is great, Hinako! Thanks for always bringing these!
context: Hey, Hina-chan!\Thanks for being our scarecrow again today.\You were a big help.\U-Um... These... I... I should also... tha... than...\Hurry on home before it gets dark.\Come by again, okay?\Wow!\This is great, Hinako! Thanks for always bringing these! response:	I know. I still haven't been able to thank them for the vegetables.
context: Thanks for being our scarecrow again today.\You were a big help.\U-Um... These... I... I should also... tha... than...\Hurry on home before it gets dark.\Come by again, okay?\Wow!\This is great, Hinako! Thanks for always bringing these!\I know. I still haven't been able to thank them for the vegetables. response:	What should I do?
context: You were a big help.\U-Um... These... I... I should also... tha... than...\Hurry on home before it gets dark.\Come by again, okay?\Wow!\This is great, Hinako! Thanks for always bringing these!\I know. I still haven't been able to thank them for the vegetables.\What should I do? response:	Yeah, you're right. All I can do is practice.
context: U-Um... These... I... I should also... tha... than...\Hurry on home before it gets dark.\Come by again, okay?\Wow!\This is great, Hinako! Thanks for always bringing these!\I know. I still haven't been able to thank them for the vegetables.\What should I do?\Yeah, you're right. All I can do is practice. response:	I'll try my best.
context: Hurry on home before it gets dark.\Come by again, okay?\Wow!\This is great, Hinako! Thanks for always bringing these!\I know. I still haven't been able to thank them for the vegetables.\What should I do?\Yeah, you're right. All I can do is practice.\I'll try my best. response:	Hina Mama
context: Come by again, okay?\Wow!\This is great, Hinako! Thanks for always bringing these!\I know. I still haven't been able to thank them for the vegetables.\What should I do?\Yeah, you're right. All I can do is practice.\I'll try my best.\Hina Mama response:	My daughter is currently wearing a costume and talking to a bird...
context: Wow!\This is great, Hinako! Thanks for always bringing these!\I know. I still haven't been able to thank them for the vegetables.\What should I do?\Yeah, you're right. All I can do is practice.\I'll try my best.\Hina Mama\My daughter is currently wearing a costume and talking to a bird... response:	Tanuki-san, you can be the old man, okay?
context: This is great, Hinako! Thanks for always bringing these!\I know. I still haven't been able to thank them for the vegetables.\What should I do?\Yeah, you're right. All I can do is practice.\I'll try my best.\Hina Mama\My daughter is currently wearing a costume and talking to a bird...\Tanuki-san, you can be the old man, okay? response:	He and his wife are always very kind to me,
context: I know. I still haven't been able to thank them for the vegetables.\What should I do?\Yeah, you're right. All I can do is practice.\I'll try my best.\Hina Mama\My daughter is currently wearing a costume and talking to a bird...\Tanuki-san, you can be the old man, okay?\He and his wife are always very kind to me, response:	so I want to be able to thank them properly.
context: What should I do?\Yeah, you're right. All I can do is practice.\I'll try my best.\Hina Mama\My daughter is currently wearing a costume and talking to a bird...\Tanuki-san, you can be the old man, okay?\He and his wife are always very kind to me,\so I want to be able to thank them properly. response:	Help me out, okay?
context: Yeah, you're right. All I can do is practice.\I'll try my best.\Hina Mama\My daughter is currently wearing a costume and talking to a bird...\Tanuki-san, you can be the old man, okay?\He and his wife are always very kind to me,\so I want to be able to thank them properly.\Help me out, okay? response:	Here I go. Let's see...
context: I'll try my best.\Hina Mama\My daughter is currently wearing a costume and talking to a bird...\Tanuki-san, you can be the old man, okay?\He and his wife are always very kind to me,\so I want to be able to thank them properly.\Help me out, okay?\Here I go. Let's see... response:	Hey, Hina-chan! Working hard again today, eh?
context: Hina Mama\My daughter is currently wearing a costume and talking to a bird...\Tanuki-san, you can be the old man, okay?\He and his wife are always very kind to me,\so I want to be able to thank them properly.\Help me out, okay?\Here I go. Let's see...\Hey, Hina-chan! Working hard again today, eh? response:	Hello, sir. Thank you for all you've done for me.
context: My daughter is currently wearing a costume and talking to a bird...\Tanuki-san, you can be the old man, okay?\He and his wife are always very kind to me,\so I want to be able to thank them properly.\Help me out, okay?\Here I go. Let's see...\Hey, Hina-chan! Working hard again today, eh?\Hello, sir. Thank you for all you've done for me. response:	Here are your vegetables for today.
context: Tanuki-san, you can be the old man, okay?\He and his wife are always very kind to me,\so I want to be able to thank them properly.\Help me out, okay?\Here I go. Let's see...\Hey, Hina-chan! Working hard again today, eh?\Hello, sir. Thank you for all you've done for me.\Here are your vegetables for today. response:	Eat them all up.
context: He and his wife are always very kind to me,\so I want to be able to thank them properly.\Help me out, okay?\Here I go. Let's see...\Hey, Hina-chan! Working hard again today, eh?\Hello, sir. Thank you for all you've done for me.\Here are your vegetables for today.\Eat them all up. response:	Thank you very much, sir. I always enjoy your vegetables.
context: so I want to be able to thank them properly.\Help me out, okay?\Here I go. Let's see...\Hey, Hina-chan! Working hard again today, eh?\Hello, sir. Thank you for all you've done for me.\Here are your vegetables for today.\Eat them all up.\Thank you very much, sir. I always enjoy your vegetables. response:	Is that right?
context: Help me out, okay?\Here I go. Let's see...\Hey, Hina-chan! Working hard again today, eh?\Hello, sir. Thank you for all you've done for me.\Here are your vegetables for today.\Eat them all up.\Thank you very much, sir. I always enjoy your vegetables.\Is that right? response:	Yes. My mother always looks forward to them, too.
context: Here I go. Let's see...\Hey, Hina-chan! Working hard again today, eh?\Hello, sir. Thank you for all you've done for me.\Here are your vegetables for today.\Eat them all up.\Thank you very much, sir. I always enjoy your vegetables.\Is that right?\Yes. My mother always looks forward to them, too. response:	Recently, when she sees the vegetables I bring home,
context: Hey, Hina-chan! Working hard again today, eh?\Hello, sir. Thank you for all you've done for me.\Here are your vegetables for today.\Eat them all up.\Thank you very much, sir. I always enjoy your vegetables.\Is that right?\Yes. My mother always looks forward to them, too.\Recently, when she sees the vegetables I bring home, response:	she starts planning our meals for the week with them.
context: Hello, sir. Thank you for all you've done for me.\Here are your vegetables for today.\Eat them all up.\Thank you very much, sir. I always enjoy your vegetables.\Is that right?\Yes. My mother always looks forward to them, too.\Recently, when she sees the vegetables I bring home,\she starts planning our meals for the week with them. response:	Oh?
context: Here are your vegetables for today.\Eat them all up.\Thank you very much, sir. I always enjoy your vegetables.\Is that right?\Yes. My mother always looks forward to them, too.\Recently, when she sees the vegetables I bring home,\she starts planning our meals for the week with them.\Oh? response:	The vegetables from your fields are so delicious!
context: Eat them all up.\Thank you very much, sir. I always enjoy your vegetables.\Is that right?\Yes. My mother always looks forward to them, too.\Recently, when she sees the vegetables I bring home,\she starts planning our meals for the week with them.\Oh?\The vegetables from your fields are so delicious! response:	There! I practiced! I said everything perfectly!
context: Thank you very much, sir. I always enjoy your vegetables.\Is that right?\Yes. My mother always looks forward to them, too.\Recently, when she sees the vegetables I bring home,\she starts planning our meals for the week with them.\Oh?\The vegetables from your fields are so delicious!\There! I practiced! I said everything perfectly! response:	Hina-chan.
context: Is that right?\Yes. My mother always looks forward to them, too.\Recently, when she sees the vegetables I bring home,\she starts planning our meals for the week with them.\Oh?\The vegetables from your fields are so delicious!\There! I practiced! I said everything perfectly!\Hina-chan. response:	Y-Yes?!
context: Yes. My mother always looks forward to them, too.\Recently, when she sees the vegetables I bring home,\she starts planning our meals for the week with them.\Oh?\The vegetables from your fields are so delicious!\There! I practiced! I said everything perfectly!\Hina-chan.\Y-Yes?! response:	You did great work again today. Thank you.
context: Recently, when she sees the vegetables I bring home,\she starts planning our meals for the week with them.\Oh?\The vegetables from your fields are so delicious!\There! I practiced! I said everything perfectly!\Hina-chan.\Y-Yes?!\You did great work again today. Thank you. response:	Here, take this.
context: she starts planning our meals for the week with them.\Oh?\The vegetables from your fields are so delicious!\There! I practiced! I said everything perfectly!\Hina-chan.\Y-Yes?!\You did great work again today. Thank you.\Here, take this. response:	U-Uh...
context: Oh?\The vegetables from your fields are so delicious!\There! I practiced! I said everything perfectly!\Hina-chan.\Y-Yes?!\You did great work again today. Thank you.\Here, take this.\U-Uh... response:	See you again tomorrow, okay?
context: The vegetables from your fields are so delicious!\There! I practiced! I said everything perfectly!\Hina-chan.\Y-Yes?!\You did great work again today. Thank you.\Here, take this.\U-Uh...\See you again tomorrow, okay? response:	The vegetables...
context: There! I practiced! I said everything perfectly!\Hina-chan.\Y-Yes?!\You did great work again today. Thank you.\Here, take this.\U-Uh...\See you again tomorrow, okay?\The vegetables... response:	The vegetables... are delicious.
context: Hina-chan.\Y-Yes?!\You did great work again today. Thank you.\Here, take this.\U-Uh...\See you again tomorrow, okay?\The vegetables...\The vegetables... are delicious. response:	Th-Thank you for always giving them to me.
context: Y-Yes?!\You did great work again today. Thank you.\Here, take this.\U-Uh...\See you again tomorrow, okay?\The vegetables...\The vegetables... are delicious.\Th-Thank you for always giving them to me. response:	I should be thanking you. I'll be counting on you again, I'm sure.
context: You did great work again today. Thank you.\Here, take this.\U-Uh...\See you again tomorrow, okay?\The vegetables...\The vegetables... are delicious.\Th-Thank you for always giving them to me.\I should be thanking you. I'll be counting on you again, I'm sure. response:	Y-Yesh! I'll try my besht!
context: Here, take this.\U-Uh...\See you again tomorrow, okay?\The vegetables...\The vegetables... are delicious.\Th-Thank you for always giving them to me.\I should be thanking you. I'll be counting on you again, I'm sure.\Y-Yesh! I'll try my besht! response:	Better try your best to get better at speaking, too, eh?
context: U-Uh...\See you again tomorrow, okay?\The vegetables...\The vegetables... are delicious.\Th-Thank you for always giving them to me.\I should be thanking you. I'll be counting on you again, I'm sure.\Y-Yesh! I'll try my besht!\Better try your best to get better at speaking, too, eh? response:	I'm...
context: See you again tomorrow, okay?\The vegetables...\The vegetables... are delicious.\Th-Thank you for always giving them to me.\I should be thanking you. I'll be counting on you again, I'm sure.\Y-Yesh! I'll try my besht!\Better try your best to get better at speaking, too, eh?\I'm... response:	That's right. I'm in Tokyo now.
context: The vegetables...\The vegetables... are delicious.\Th-Thank you for always giving them to me.\I should be thanking you. I'll be counting on you again, I'm sure.\Y-Yesh! I'll try my besht!\Better try your best to get better at speaking, too, eh?\I'm...\That's right. I'm in Tokyo now. response:	I have to try my hardest here.
context: The vegetables... are delicious.\Th-Thank you for always giving them to me.\I should be thanking you. I'll be counting on you again, I'm sure.\Y-Yesh! I'll try my besht!\Better try your best to get better at speaking, too, eh?\I'm...\That's right. I'm in Tokyo now.\I have to try my hardest here. response:	I have to try hard so I can stand on a stage
context: Th-Thank you for always giving them to me.\I should be thanking you. I'll be counting on you again, I'm sure.\Y-Yesh! I'll try my besht!\Better try your best to get better at speaking, too, eh?\I'm...\That's right. I'm in Tokyo now.\I have to try my hardest here.\I have to try hard so I can stand on a stage response:	and learn to talk skillfully to people.
context: I should be thanking you. I'll be counting on you again, I'm sure.\Y-Yesh! I'll try my besht!\Better try your best to get better at speaking, too, eh?\I'm...\That's right. I'm in Tokyo now.\I have to try my hardest here.\I have to try hard so I can stand on a stage\and learn to talk skillfully to people. response:	Oh, yeah...
context: Y-Yesh! I'll try my besht!\Better try your best to get better at speaking, too, eh?\I'm...\That's right. I'm in Tokyo now.\I have to try my hardest here.\I have to try hard so I can stand on a stage\and learn to talk skillfully to people.\Oh, yeah... response:	It Begins Here
context: Better try your best to get better at speaking, too, eh?\I'm...\That's right. I'm in Tokyo now.\I have to try my hardest here.\I have to try hard so I can stand on a stage\and learn to talk skillfully to people.\Oh, yeah...\It Begins Here response:	The high school's theater club is on hiatus...
context: I'm...\That's right. I'm in Tokyo now.\I have to try my hardest here.\I have to try hard so I can stand on a stage\and learn to talk skillfully to people.\Oh, yeah...\It Begins Here\The high school's theater club is on hiatus... response:	Morning, Hina-chan!
context: That's right. I'm in Tokyo now.\I have to try my hardest here.\I have to try hard so I can stand on a stage\and learn to talk skillfully to people.\Oh, yeah...\It Begins Here\The high school's theater club is on hiatus...\Morning, Hina-chan! response:	Oh, good morning.
context: I have to try my hardest here.\I have to try hard so I can stand on a stage\and learn to talk skillfully to people.\Oh, yeah...\It Begins Here\The high school's theater club is on hiatus...\Morning, Hina-chan!\Oh, good morning. response:	Morning.
context: I have to try hard so I can stand on a stage\and learn to talk skillfully to people.\Oh, yeah...\It Begins Here\The high school's theater club is on hiatus...\Morning, Hina-chan!\Oh, good morning.\Morning. response:	Oh, Miss Landlady. Good morning.
context: and learn to talk skillfully to people.\Oh, yeah...\It Begins Here\The high school's theater club is on hiatus...\Morning, Hina-chan!\Oh, good morning.\Morning.\Oh, Miss Landlady. Good morning. response:	Good morning.
context: Oh, yeah...\It Begins Here\The high school's theater club is on hiatus...\Morning, Hina-chan!\Oh, good morning.\Morning.\Oh, Miss Landlady. Good morning.\Good morning. response:	Oh, Kuu-chan's here, too. I'll get breakfast ready right away.
context: It Begins Here\The high school's theater club is on hiatus...\Morning, Hina-chan!\Oh, good morning.\Morning.\Oh, Miss Landlady. Good morning.\Good morning.\Oh, Kuu-chan's here, too. I'll get breakfast ready right away. response:	Go on. Eat up.
