context: Episode 6 Umaru's Birthday response:	Umaru, it's midnight. Time for bed.
context: Well, goodnight.\Goodnight.\So he fell asleep.\There's no way I can get to sleep yet since I took a nap after school.\I wish Onii-chan would consider my rhythm a little more.\Well, whatever.\Now I can enjoy some late-night relaxing time.\Huh? response:	There's no cola.
context: Goodnight.\So he fell asleep.\There's no way I can get to sleep yet since I took a nap after school.\I wish Onii-chan would consider my rhythm a little more.\Well, whatever.\Now I can enjoy some late-night relaxing time.\Huh?\There's no cola. response:	And my night's just beginning!
context: So he fell asleep.\There's no way I can get to sleep yet since I took a nap after school.\I wish Onii-chan would consider my rhythm a little more.\Well, whatever.\Now I can enjoy some late-night relaxing time.\Huh?\There's no cola.\And my night's just beginning! response:	Jeez, Onii-chan.
context: There's no way I can get to sleep yet since I took a nap after school.\I wish Onii-chan would consider my rhythm a little more.\Well, whatever.\Now I can enjoy some late-night relaxing time.\Huh?\There's no cola.\And my night's just beginning!\Jeez, Onii-chan. response:	I wish he would keep up my cola stock without me having to remind him.
context: I wish Onii-chan would consider my rhythm a little more.\Well, whatever.\Now I can enjoy some late-night relaxing time.\Huh?\There's no cola.\And my night's just beginning!\Jeez, Onii-chan.\I wish he would keep up my cola stock without me having to remind him. response:	What to do...
context: Well, whatever.\Now I can enjoy some late-night relaxing time.\Huh?\There's no cola.\And my night's just beginning!\Jeez, Onii-chan.\I wish he would keep up my cola stock without me having to remind him.\What to do... response:	Should I just settle for some other drink?
context: Now I can enjoy some late-night relaxing time.\Huh?\There's no cola.\And my night's just beginning!\Jeez, Onii-chan.\I wish he would keep up my cola stock without me having to remind him.\What to do...\Should I just settle for some other drink? response:	The drinks in the fridge are milk, oolong tea, and mineral water.
context: Huh?\There's no cola.\And my night's just beginning!\Jeez, Onii-chan.\I wish he would keep up my cola stock without me having to remind him.\What to do...\Should I just settle for some other drink?\The drinks in the fridge are milk, oolong tea, and mineral water. response:	No, it has to be cola, or my relaxing time is ruined.
context: There's no cola.\And my night's just beginning!\Jeez, Onii-chan.\I wish he would keep up my cola stock without me having to remind him.\What to do...\Should I just settle for some other drink?\The drinks in the fridge are milk, oolong tea, and mineral water.\No, it has to be cola, or my relaxing time is ruined. response:	Guess I have no choice.
context: And my night's just beginning!\Jeez, Onii-chan.\I wish he would keep up my cola stock without me having to remind him.\What to do...\Should I just settle for some other drink?\The drinks in the fridge are milk, oolong tea, and mineral water.\No, it has to be cola, or my relaxing time is ruined.\Guess I have no choice. response:	The convenience stores are open late, so maybe I'll go.
context: Jeez, Onii-chan.\I wish he would keep up my cola stock without me having to remind him.\What to do...\Should I just settle for some other drink?\The drinks in the fridge are milk, oolong tea, and mineral water.\No, it has to be cola, or my relaxing time is ruined.\Guess I have no choice.\The convenience stores are open late, so maybe I'll go. response:	I feel like a spy on some covert mission.
context: I wish he would keep up my cola stock without me having to remind him.\What to do...\Should I just settle for some other drink?\The drinks in the fridge are milk, oolong tea, and mineral water.\No, it has to be cola, or my relaxing time is ruined.\Guess I have no choice.\The convenience stores are open late, so maybe I'll go.\I feel like a spy on some covert mission. response:	But man, it's really dark out.
context: What to do...\Should I just settle for some other drink?\The drinks in the fridge are milk, oolong tea, and mineral water.\No, it has to be cola, or my relaxing time is ruined.\Guess I have no choice.\The convenience stores are open late, so maybe I'll go.\I feel like a spy on some covert mission.\But man, it's really dark out. response:	It almost feels like a different world.
context: Should I just settle for some other drink?\The drinks in the fridge are milk, oolong tea, and mineral water.\No, it has to be cola, or my relaxing time is ruined.\Guess I have no choice.\The convenience stores are open late, so maybe I'll go.\I feel like a spy on some covert mission.\But man, it's really dark out.\It almost feels like a different world. response:	Wh-What if there's some weirdo wandering around,
context: The drinks in the fridge are milk, oolong tea, and mineral water.\No, it has to be cola, or my relaxing time is ruined.\Guess I have no choice.\The convenience stores are open late, so maybe I'll go.\I feel like a spy on some covert mission.\But man, it's really dark out.\It almost feels like a different world.\Wh-What if there's some weirdo wandering around, response:	and I run into him?
context: No, it has to be cola, or my relaxing time is ruined.\Guess I have no choice.\The convenience stores are open late, so maybe I'll go.\I feel like a spy on some covert mission.\But man, it's really dark out.\It almost feels like a different world.\Wh-What if there's some weirdo wandering around,\and I run into him? response:	If it comes down to it,
context: Guess I have no choice.\The convenience stores are open late, so maybe I'll go.\I feel like a spy on some covert mission.\But man, it's really dark out.\It almost feels like a different world.\Wh-What if there's some weirdo wandering around,\and I run into him?\If it comes down to it, response:	I'll just have to use the CQC I learned from Metal Geo Risotto.
context: The convenience stores are open late, so maybe I'll go.\I feel like a spy on some covert mission.\But man, it's really dark out.\It almost feels like a different world.\Wh-What if there's some weirdo wandering around,\and I run into him?\If it comes down to it,\I'll just have to use the CQC I learned from Metal Geo Risotto. response:	CQC = Close Quarters Combat
context: I feel like a spy on some covert mission.\But man, it's really dark out.\It almost feels like a different world.\Wh-What if there's some weirdo wandering around,\and I run into him?\If it comes down to it,\I'll just have to use the CQC I learned from Metal Geo Risotto.\CQC = Close Quarters Combat response:	Oh, it was just a cat.
context: But man, it's really dark out.\It almost feels like a different world.\Wh-What if there's some weirdo wandering around,\and I run into him?\If it comes down to it,\I'll just have to use the CQC I learned from Metal Geo Risotto.\CQC = Close Quarters Combat\Oh, it was just a cat. response:	I totally let out a weird scream.
context: It almost feels like a different world.\Wh-What if there's some weirdo wandering around,\and I run into him?\If it comes down to it,\I'll just have to use the CQC I learned from Metal Geo Risotto.\CQC = Close Quarters Combat\Oh, it was just a cat.\I totally let out a weird scream. response:	Wh-What was that scream just now?
context: Wh-What if there's some weirdo wandering around,\and I run into him?\If it comes down to it,\I'll just have to use the CQC I learned from Metal Geo Risotto.\CQC = Close Quarters Combat\Oh, it was just a cat.\I totally let out a weird scream.\Wh-What was that scream just now? response:	Huh?
context: and I run into him?\If it comes down to it,\I'll just have to use the CQC I learned from Metal Geo Risotto.\CQC = Close Quarters Combat\Oh, it was just a cat.\I totally let out a weird scream.\Wh-What was that scream just now?\Huh? response:	There's only one person working.
context: If it comes down to it,\I'll just have to use the CQC I learned from Metal Geo Risotto.\CQC = Close Quarters Combat\Oh, it was just a cat.\I totally let out a weird scream.\Wh-What was that scream just now?\Huh?\There's only one person working. response:	During the day...
context: I'll just have to use the CQC I learned from Metal Geo Risotto.\CQC = Close Quarters Combat\Oh, it was just a cat.\I totally let out a weird scream.\Wh-What was that scream just now?\Huh?\There's only one person working.\During the day... response:	What's this guy looking at so seriously, in the middle of the night?
context: CQC = Close Quarters Combat\Oh, it was just a cat.\I totally let out a weird scream.\Wh-What was that scream just now?\Huh?\There's only one person working.\During the day...\What's this guy looking at so seriously, in the middle of the night? response:	Colonel, I have obtained the cola.
context: Oh, it was just a cat.\I totally let out a weird scream.\Wh-What was that scream just now?\Huh?\There's only one person working.\During the day...\What's this guy looking at so seriously, in the middle of the night?\Colonel, I have obtained the cola. response:	Returning to base.
context: I totally let out a weird scream.\Wh-What was that scream just now?\Huh?\There's only one person working.\During the day...\What's this guy looking at so seriously, in the middle of the night?\Colonel, I have obtained the cola.\Returning to base. response:	Well done, UMR.
context: Wh-What was that scream just now?\Huh?\There's only one person working.\During the day...\What's this guy looking at so seriously, in the middle of the night?\Colonel, I have obtained the cola.\Returning to base.\Well done, UMR. response:	It's no time to be doing that!
context: Huh?\There's only one person working.\During the day...\What's this guy looking at so seriously, in the middle of the night?\Colonel, I have obtained the cola.\Returning to base.\Well done, UMR.\It's no time to be doing that! response:	I have to hurry home and drink my cola.
context: There's only one person working.\During the day...\What's this guy looking at so seriously, in the middle of the night?\Colonel, I have obtained the cola.\Returning to base.\Well done, UMR.\It's no time to be doing that!\I have to hurry home and drink my cola. response:	I always walk down this street with Onii-chan and Ebina-chan,
context: During the day...\What's this guy looking at so seriously, in the middle of the night?\Colonel, I have obtained the cola.\Returning to base.\Well done, UMR.\It's no time to be doing that!\I have to hurry home and drink my cola.\I always walk down this street with Onii-chan and Ebina-chan, response:	but it seems completely different.
context: What's this guy looking at so seriously, in the middle of the night?\Colonel, I have obtained the cola.\Returning to base.\Well done, UMR.\It's no time to be doing that!\I have to hurry home and drink my cola.\I always walk down this street with Onii-chan and Ebina-chan,\but it seems completely different. response:	It's so quiet, it feels like everyone's holding their breath.
context: Colonel, I have obtained the cola.\Returning to base.\Well done, UMR.\It's no time to be doing that!\I have to hurry home and drink my cola.\I always walk down this street with Onii-chan and Ebina-chan,\but it seems completely different.\It's so quiet, it feels like everyone's holding their breath. response:	I wonder what the people who are awake are doing.
context: Returning to base.\Well done, UMR.\It's no time to be doing that!\I have to hurry home and drink my cola.\I always walk down this street with Onii-chan and Ebina-chan,\but it seems completely different.\It's so quiet, it feels like everyone's holding their breath.\I wonder what the people who are awake are doing. response:	I wonder why the lights at night look blue.
context: Well done, UMR.\It's no time to be doing that!\I have to hurry home and drink my cola.\I always walk down this street with Onii-chan and Ebina-chan,\but it seems completely different.\It's so quiet, it feels like everyone's holding their breath.\I wonder what the people who are awake are doing.\I wonder why the lights at night look blue. response:	Okay. Make sure Onii-chan doesn't wake up...
context: It's no time to be doing that!\I have to hurry home and drink my cola.\I always walk down this street with Onii-chan and Ebina-chan,\but it seems completely different.\It's so quiet, it feels like everyone's holding their breath.\I wonder what the people who are awake are doing.\I wonder why the lights at night look blue.\Okay. Make sure Onii-chan doesn't wake up... response:	Slowly...
context: I have to hurry home and drink my cola.\I always walk down this street with Onii-chan and Ebina-chan,\but it seems completely different.\It's so quiet, it feels like everyone's holding their breath.\I wonder what the people who are awake are doing.\I wonder why the lights at night look blue.\Okay. Make sure Onii-chan doesn't wake up...\Slowly... response:	Where were you, Umaru?
context: I always walk down this street with Onii-chan and Ebina-chan,\but it seems completely different.\It's so quiet, it feels like everyone's holding their breath.\I wonder what the people who are awake are doing.\I wonder why the lights at night look blue.\Okay. Make sure Onii-chan doesn't wake up...\Slowly...\Where were you, Umaru? response:	I, uh, just made a late-night trip to the convenience store.
context: but it seems completely different.\It's so quiet, it feels like everyone's holding their breath.\I wonder what the people who are awake are doing.\I wonder why the lights at night look blue.\Okay. Make sure Onii-chan doesn't wake up...\Slowly...\Where were you, Umaru?\I, uh, just made a late-night trip to the convenience store. response:	It's dangerous to be out at this hour!
context: It's so quiet, it feels like everyone's holding their breath.\I wonder what the people who are awake are doing.\I wonder why the lights at night look blue.\Okay. Make sure Onii-chan doesn't wake up...\Slowly...\Where were you, Umaru?\I, uh, just made a late-night trip to the convenience store.\It's dangerous to be out at this hour! response:	What if some weirdo was wandering around?!
context: I wonder what the people who are awake are doing.\I wonder why the lights at night look blue.\Okay. Make sure Onii-chan doesn't wake up...\Slowly...\Where were you, Umaru?\I, uh, just made a late-night trip to the convenience store.\It's dangerous to be out at this hour!\What if some weirdo was wandering around?! response:	Guys like that don't exist.
context: I wonder why the lights at night look blue.\Okay. Make sure Onii-chan doesn't wake up...\Slowly...\Where were you, Umaru?\I, uh, just made a late-night trip to the convenience store.\It's dangerous to be out at this hour!\What if some weirdo was wandering around?!\Guys like that don't exist. response:	Something scary happened last night, so I didn't get much sleep.
context: Okay. Make sure Onii-chan doesn't wake up...\Slowly...\Where were you, Umaru?\I, uh, just made a late-night trip to the convenience store.\It's dangerous to be out at this hour!\What if some weirdo was wandering around?!\Guys like that don't exist.\Something scary happened last night, so I didn't get much sleep. response:	I see...
context: Slowly...\Where were you, Umaru?\I, uh, just made a late-night trip to the convenience store.\It's dangerous to be out at this hour!\What if some weirdo was wandering around?!\Guys like that don't exist.\Something scary happened last night, so I didn't get much sleep.\I see... response:	So sleepy... I shouldn't have stayed up so late.
context: Where were you, Umaru?\I, uh, just made a late-night trip to the convenience store.\It's dangerous to be out at this hour!\What if some weirdo was wandering around?!\Guys like that don't exist.\Something scary happened last night, so I didn't get much sleep.\I see...\So sleepy... I shouldn't have stayed up so late. response:	Poo.
context: I, uh, just made a late-night trip to the convenience store.\It's dangerous to be out at this hour!\What if some weirdo was wandering around?!\Guys like that don't exist.\Something scary happened last night, so I didn't get much sleep.\I see...\So sleepy... I shouldn't have stayed up so late.\Poo. response:	Poo.
context: It's dangerous to be out at this hour!\What if some weirdo was wandering around?!\Guys like that don't exist.\Something scary happened last night, so I didn't get much sleep.\I see...\So sleepy... I shouldn't have stayed up so late.\Poo.\Poo. response:	No fair, Onii-chan!
context: What if some weirdo was wandering around?!\Guys like that don't exist.\Something scary happened last night, so I didn't get much sleep.\I see...\So sleepy... I shouldn't have stayed up so late.\Poo.\Poo.\No fair, Onii-chan! response:	It's Monday, but you've got the day off!
context: Guys like that don't exist.\Something scary happened last night, so I didn't get much sleep.\I see...\So sleepy... I shouldn't have stayed up so late.\Poo.\Poo.\No fair, Onii-chan!\It's Monday, but you've got the day off! response:	You had a whole summer vacation.
context: Something scary happened last night, so I didn't get much sleep.\I see...\So sleepy... I shouldn't have stayed up so late.\Poo.\Poo.\No fair, Onii-chan!\It's Monday, but you've got the day off!\You had a whole summer vacation. response:	Rargh!
context: I see...\So sleepy... I shouldn't have stayed up so late.\Poo.\Poo.\No fair, Onii-chan!\It's Monday, but you've got the day off!\You had a whole summer vacation.\Rargh! response:	So Onii-san's off today?
context: So sleepy... I shouldn't have stayed up so late.\Poo.\Poo.\No fair, Onii-chan!\It's Monday, but you've got the day off!\You had a whole summer vacation.\Rargh!\So Onii-san's off today? response:	Yeah. His summer vacation is a bit off from ours, so he's off now.
context: Poo.\Poo.\No fair, Onii-chan!\It's Monday, but you've got the day off!\You had a whole summer vacation.\Rargh!\So Onii-san's off today?\Yeah. His summer vacation is a bit off from ours, so he's off now. response:	There she goes.
context: Poo.\No fair, Onii-chan!\It's Monday, but you've got the day off!\You had a whole summer vacation.\Rargh!\So Onii-san's off today?\Yeah. His summer vacation is a bit off from ours, so he's off now.\There she goes. response:	Okay, I might as well clean...
context: No fair, Onii-chan!\It's Monday, but you've got the day off!\You had a whole summer vacation.\Rargh!\So Onii-san's off today?\Yeah. His summer vacation is a bit off from ours, so he's off now.\There she goes.\Okay, I might as well clean... response:	I guess I cleaned yesterday.
context: It's Monday, but you've got the day off!\You had a whole summer vacation.\Rargh!\So Onii-san's off today?\Yeah. His summer vacation is a bit off from ours, so he's off now.\There she goes.\Okay, I might as well clean...\I guess I cleaned yesterday. response:	Well...
context: You had a whole summer vacation.\Rargh!\So Onii-san's off today?\Yeah. His summer vacation is a bit off from ours, so he's off now.\There she goes.\Okay, I might as well clean...\I guess I cleaned yesterday.\Well... response:	I guess I'll at least vacuum for now.
context: Rargh!\So Onii-san's off today?\Yeah. His summer vacation is a bit off from ours, so he's off now.\There she goes.\Okay, I might as well clean...\I guess I cleaned yesterday.\Well...\I guess I'll at least vacuum for now. response:	Damn it. She must have sneaked these last night.
context: So Onii-san's off today?\Yeah. His summer vacation is a bit off from ours, so he's off now.\There she goes.\Okay, I might as well clean...\I guess I cleaned yesterday.\Well...\I guess I'll at least vacuum for now.\Damn it. She must have sneaked these last night. response:	Are you all right, Umaru-chan?
context: Yeah. His summer vacation is a bit off from ours, so he's off now.\There she goes.\Okay, I might as well clean...\I guess I cleaned yesterday.\Well...\I guess I'll at least vacuum for now.\Damn it. She must have sneaked these last night.\Are you all right, Umaru-chan? response:	I did the grocery shopping yesterday, too...
context: There she goes.\Okay, I might as well clean...\I guess I cleaned yesterday.\Well...\I guess I'll at least vacuum for now.\Damn it. She must have sneaked these last night.\Are you all right, Umaru-chan?\I did the grocery shopping yesterday, too... response:	Man, I'm bored.
context: Okay, I might as well clean...\I guess I cleaned yesterday.\Well...\I guess I'll at least vacuum for now.\Damn it. She must have sneaked these last night.\Are you all right, Umaru-chan?\I did the grocery shopping yesterday, too...\Man, I'm bored. response:	It's been a while since I had so little to do.
context: I guess I cleaned yesterday.\Well...\I guess I'll at least vacuum for now.\Damn it. She must have sneaked these last night.\Are you all right, Umaru-chan?\I did the grocery shopping yesterday, too...\Man, I'm bored.\It's been a while since I had so little to do. response:	Usually, Umaru would be saying something to me.
context: Well...\I guess I'll at least vacuum for now.\Damn it. She must have sneaked these last night.\Are you all right, Umaru-chan?\I did the grocery shopping yesterday, too...\Man, I'm bored.\It's been a while since I had so little to do.\Usually, Umaru would be saying something to me. response:	Onii-chan, more potato chips, please.
context: I guess I'll at least vacuum for now.\Damn it. She must have sneaked these last night.\Are you all right, Umaru-chan?\I did the grocery shopping yesterday, too...\Man, I'm bored.\It's been a while since I had so little to do.\Usually, Umaru would be saying something to me.\Onii-chan, more potato chips, please. response:	Onii-chan, buy me some cola.
context: Damn it. She must have sneaked these last night.\Are you all right, Umaru-chan?\I did the grocery shopping yesterday, too...\Man, I'm bored.\It's been a while since I had so little to do.\Usually, Umaru would be saying something to me.\Onii-chan, more potato chips, please.\Onii-chan, buy me some cola. response:	Onii-chan, look!
context: Are you all right, Umaru-chan?\I did the grocery shopping yesterday, too...\Man, I'm bored.\It's been a while since I had so little to do.\Usually, Umaru would be saying something to me.\Onii-chan, more potato chips, please.\Onii-chan, buy me some cola.\Onii-chan, look! response:	Onii-chan, let's play some games!
context: I did the grocery shopping yesterday, too...\Man, I'm bored.\It's been a while since I had so little to do.\Usually, Umaru would be saying something to me.\Onii-chan, more potato chips, please.\Onii-chan, buy me some cola.\Onii-chan, look!\Onii-chan, let's play some games! response:	Onii-chan, dinner's cold!
context: Man, I'm bored.\It's been a while since I had so little to do.\Usually, Umaru would be saying something to me.\Onii-chan, more potato chips, please.\Onii-chan, buy me some cola.\Onii-chan, look!\Onii-chan, let's play some games!\Onii-chan, dinner's cold! response:	Onii-chan, go buy me Jumpu!
context: It's been a while since I had so little to do.\Usually, Umaru would be saying something to me.\Onii-chan, more potato chips, please.\Onii-chan, buy me some cola.\Onii-chan, look!\Onii-chan, let's play some games!\Onii-chan, dinner's cold!\Onii-chan, go buy me Jumpu! response:	Onii-chan, I wanna have sushi tomorrow!
context: Usually, Umaru would be saying something to me.\Onii-chan, more potato chips, please.\Onii-chan, buy me some cola.\Onii-chan, look!\Onii-chan, let's play some games!\Onii-chan, dinner's cold!\Onii-chan, go buy me Jumpu!\Onii-chan, I wanna have sushi tomorrow! response:	This isn't good.
context: Onii-chan, more potato chips, please.\Onii-chan, buy me some cola.\Onii-chan, look!\Onii-chan, let's play some games!\Onii-chan, dinner's cold!\Onii-chan, go buy me Jumpu!\Onii-chan, I wanna have sushi tomorrow!\This isn't good. response:	I can't just zone out on my well-earned time off.
context: Onii-chan, buy me some cola.\Onii-chan, look!\Onii-chan, let's play some games!\Onii-chan, dinner's cold!\Onii-chan, go buy me Jumpu!\Onii-chan, I wanna have sushi tomorrow!\This isn't good.\I can't just zone out on my well-earned time off. response:	That'd just make me some old, retired salaryman.
context: Onii-chan, look!\Onii-chan, let's play some games!\Onii-chan, dinner's cold!\Onii-chan, go buy me Jumpu!\Onii-chan, I wanna have sushi tomorrow!\This isn't good.\I can't just zone out on my well-earned time off.\That'd just make me some old, retired salaryman. response:	I've gotta do something.
context: Onii-chan, let's play some games!\Onii-chan, dinner's cold!\Onii-chan, go buy me Jumpu!\Onii-chan, I wanna have sushi tomorrow!\This isn't good.\I can't just zone out on my well-earned time off.\That'd just make me some old, retired salaryman.\I've gotta do something. response:	Huh? What did I do on my days off before Umaru arrived?
context: Onii-chan, dinner's cold!\Onii-chan, go buy me Jumpu!\Onii-chan, I wanna have sushi tomorrow!\This isn't good.\I can't just zone out on my well-earned time off.\That'd just make me some old, retired salaryman.\I've gotta do something.\Huh? What did I do on my days off before Umaru arrived? response:	I bet Onii-chan's lazing around and having
context: Onii-chan, go buy me Jumpu!\Onii-chan, I wanna have sushi tomorrow!\This isn't good.\I can't just zone out on my well-earned time off.\That'd just make me some old, retired salaryman.\I've gotta do something.\Huh? What did I do on my days off before Umaru arrived?\I bet Onii-chan's lazing around and having response:	a great time at home without me.
context: Onii-chan, I wanna have sushi tomorrow!\This isn't good.\I can't just zone out on my well-earned time off.\That'd just make me some old, retired salaryman.\I've gotta do something.\Huh? What did I do on my days off before Umaru arrived?\I bet Onii-chan's lazing around and having\a great time at home without me. response:	Grrr!
context: This isn't good.\I can't just zone out on my well-earned time off.\That'd just make me some old, retired salaryman.\I've gotta do something.\Huh? What did I do on my days off before Umaru arrived?\I bet Onii-chan's lazing around and having\a great time at home without me.\Grrr! response:	I wonder what those guys are up to.
context: I can't just zone out on my well-earned time off.\That'd just make me some old, retired salaryman.\I've gotta do something.\Huh? What did I do on my days off before Umaru arrived?\I bet Onii-chan's lazing around and having\a great time at home without me.\Grrr!\I wonder what those guys are up to. response:	Bomber Stochastic nao.
context: That'd just make me some old, retired salaryman.\I've gotta do something.\Huh? What did I do on my days off before Umaru arrived?\I bet Onii-chan's lazing around and having\a great time at home without me.\Grrr!\I wonder what those guys are up to.\Bomber Stochastic nao. response:	Alex The safe choice is Middle Cube. The girls' soccer theme is timely, and you can see how much the production staff loves nuts... Read the rest
context: I've gotta do something.\Huh? What did I do on my days off before Umaru arrived?\I bet Onii-chan's lazing around and having\a great time at home without me.\Grrr!\I wonder what those guys are up to.\Bomber Stochastic nao.\Alex The safe choice is Middle Cube. The girls' soccer theme is timely, and you can see how much the production staff loves nuts... Read the rest response:	Tenraku Marketplace Deliver some delicious chashu pork!
context: Huh? What did I do on my days off before Umaru arrived?\I bet Onii-chan's lazing around and having\a great time at home without me.\Grrr!\I wonder what those guys are up to.\Bomber Stochastic nao.\Alex The safe choice is Middle Cube. The girls' soccer theme is timely, and you can see how much the production staff loves nuts... Read the rest\Tenraku Marketplace Deliver some delicious chashu pork! response:	Chashu pork, huh...
context: I bet Onii-chan's lazing around and having\a great time at home without me.\Grrr!\I wonder what those guys are up to.\Bomber Stochastic nao.\Alex The safe choice is Middle Cube. The girls' soccer theme is timely, and you can see how much the production staff loves nuts... Read the rest\Tenraku Marketplace Deliver some delicious chashu pork!\Chashu pork, huh... response:	Now, just simmer on low heat for six hours...
context: a great time at home without me.\Grrr!\I wonder what those guys are up to.\Bomber Stochastic nao.\Alex The safe choice is Middle Cube. The girls' soccer theme is timely, and you can see how much the production staff loves nuts... Read the rest\Tenraku Marketplace Deliver some delicious chashu pork!\Chashu pork, huh...\Now, just simmer on low heat for six hours... response:	Onii-chan!
context: Grrr!\I wonder what those guys are up to.\Bomber Stochastic nao.\Alex The safe choice is Middle Cube. The girls' soccer theme is timely, and you can see how much the production staff loves nuts... Read the rest\Tenraku Marketplace Deliver some delicious chashu pork!\Chashu pork, huh...\Now, just simmer on low heat for six hours...\Onii-chan! response:	Oh, you're alive.
context: I wonder what those guys are up to.\Bomber Stochastic nao.\Alex The safe choice is Middle Cube. The girls' soccer theme is timely, and you can see how much the production staff loves nuts... Read the rest\Tenraku Marketplace Deliver some delicious chashu pork!\Chashu pork, huh...\Now, just simmer on low heat for six hours...\Onii-chan!\Oh, you're alive. response:	Huh? Did school let out in the morning today?
context: Bomber Stochastic nao.\Alex The safe choice is Middle Cube. The girls' soccer theme is timely, and you can see how much the production staff loves nuts... Read the rest\Tenraku Marketplace Deliver some delicious chashu pork!\Chashu pork, huh...\Now, just simmer on low heat for six hours...\Onii-chan!\Oh, you're alive.\Huh? Did school let out in the morning today? response:	What are you talking about? It's 5 PM.
context: Alex The safe choice is Middle Cube. The girls' soccer theme is timely, and you can see how much the production staff loves nuts... Read the rest\Tenraku Marketplace Deliver some delicious chashu pork!\Chashu pork, huh...\Now, just simmer on low heat for six hours...\Onii-chan!\Oh, you're alive.\Huh? Did school let out in the morning today?\What are you talking about? It's 5 PM. response:	It's rare for you to fall asleep unguarded, Onii-chan.
context: Tenraku Marketplace Deliver some delicious chashu pork!\Chashu pork, huh...\Now, just simmer on low heat for six hours...\Onii-chan!\Oh, you're alive.\Huh? Did school let out in the morning today?\What are you talking about? It's 5 PM.\It's rare for you to fall asleep unguarded, Onii-chan. response:	Didn't you have anything to do?
context: Chashu pork, huh...\Now, just simmer on low heat for six hours...\Onii-chan!\Oh, you're alive.\Huh? Did school let out in the morning today?\What are you talking about? It's 5 PM.\It's rare for you to fall asleep unguarded, Onii-chan.\Didn't you have anything to do? response:	Th-That's not true. I made some chashu pork.
context: Now, just simmer on low heat for six hours...\Onii-chan!\Oh, you're alive.\Huh? Did school let out in the morning today?\What are you talking about? It's 5 PM.\It's rare for you to fall asleep unguarded, Onii-chan.\Didn't you have anything to do?\Th-That's not true. I made some chashu pork. response:	Taking a nap while you let chashu pork cook is pretty rockin'.
context: Onii-chan!\Oh, you're alive.\Huh? Did school let out in the morning today?\What are you talking about? It's 5 PM.\It's rare for you to fall asleep unguarded, Onii-chan.\Didn't you have anything to do?\Th-That's not true. I made some chashu pork.\Taking a nap while you let chashu pork cook is pretty rockin'. response:	Oh, yeah!
context: Oh, you're alive.\Huh? Did school let out in the morning today?\What are you talking about? It's 5 PM.\It's rare for you to fall asleep unguarded, Onii-chan.\Didn't you have anything to do?\Th-That's not true. I made some chashu pork.\Taking a nap while you let chashu pork cook is pretty rockin'.\Oh, yeah! response:	The chashu pork!
context: Huh? Did school let out in the morning today?\What are you talking about? It's 5 PM.\It's rare for you to fall asleep unguarded, Onii-chan.\Didn't you have anything to do?\Th-That's not true. I made some chashu pork.\Taking a nap while you let chashu pork cook is pretty rockin'.\Oh, yeah!\The chashu pork! response:	The burner turned itself off automatically.
context: What are you talking about? It's 5 PM.\It's rare for you to fall asleep unguarded, Onii-chan.\Didn't you have anything to do?\Th-That's not true. I made some chashu pork.\Taking a nap while you let chashu pork cook is pretty rockin'.\Oh, yeah!\The chashu pork!\The burner turned itself off automatically. response:	Do you have enough friends? Let's follow 5 other people!!
