context: That's Theo Cornaro? response:	He's much younger than I thought!
context: But their leader, Lord Ladvan, is a man of conscience.\No matter what you propose, I'm sure he won't surrender.\But Sir Theo, maybe you can...\Now this is just the next-best plan...\If he refuses to surrender, please convince him to settle things outside the village.\As a man who values his people, I'm sure he'll comply.\I am the leader of this village, Ladvan Torius!\I am a knight serving Villar Constance, the Earl of Artuk... response:	Theo Cornaro!
context: No matter what you propose, I'm sure he won't surrender.\But Sir Theo, maybe you can...\Now this is just the next-best plan...\If he refuses to surrender, please convince him to settle things outside the village.\As a man who values his people, I'm sure he'll comply.\I am the leader of this village, Ladvan Torius!\I am a knight serving Villar Constance, the Earl of Artuk...\Theo Cornaro! response:	I've agreed to meet with you, but my mind is already made up.
context: But Sir Theo, maybe you can...\Now this is just the next-best plan...\If he refuses to surrender, please convince him to settle things outside the village.\As a man who values his people, I'm sure he'll comply.\I am the leader of this village, Ladvan Torius!\I am a knight serving Villar Constance, the Earl of Artuk...\Theo Cornaro!\I've agreed to meet with you, but my mind is already made up. response:	If it's my court rank and land you desire, I will take you on, but only in battle.
context: Now this is just the next-best plan...\If he refuses to surrender, please convince him to settle things outside the village.\As a man who values his people, I'm sure he'll comply.\I am the leader of this village, Ladvan Torius!\I am a knight serving Villar Constance, the Earl of Artuk...\Theo Cornaro!\I've agreed to meet with you, but my mind is already made up.\If it's my court rank and land you desire, I will take you on, but only in battle. response:	In other words, you're swearing allegiance to the Alliance?
context: If he refuses to surrender, please convince him to settle things outside the village.\As a man who values his people, I'm sure he'll comply.\I am the leader of this village, Ladvan Torius!\I am a knight serving Villar Constance, the Earl of Artuk...\Theo Cornaro!\I've agreed to meet with you, but my mind is already made up.\If it's my court rank and land you desire, I will take you on, but only in battle.\In other words, you're swearing allegiance to the Alliance? response:	I plan to offer Lady Marrine Kreische my pledge of fealty down the road.
context: As a man who values his people, I'm sure he'll comply.\I am the leader of this village, Ladvan Torius!\I am a knight serving Villar Constance, the Earl of Artuk...\Theo Cornaro!\I've agreed to meet with you, but my mind is already made up.\If it's my court rank and land you desire, I will take you on, but only in battle.\In other words, you're swearing allegiance to the Alliance?\I plan to offer Lady Marrine Kreische my pledge of fealty down the road. response:	Is that so?
context: I am the leader of this village, Ladvan Torius!\I am a knight serving Villar Constance, the Earl of Artuk...\Theo Cornaro!\I've agreed to meet with you, but my mind is already made up.\If it's my court rank and land you desire, I will take you on, but only in battle.\In other words, you're swearing allegiance to the Alliance?\I plan to offer Lady Marrine Kreische my pledge of fealty down the road.\Is that so? response:	With so many townspeople here to defend you,
context: I am a knight serving Villar Constance, the Earl of Artuk...\Theo Cornaro!\I've agreed to meet with you, but my mind is already made up.\If it's my court rank and land you desire, I will take you on, but only in battle.\In other words, you're swearing allegiance to the Alliance?\I plan to offer Lady Marrine Kreische my pledge of fealty down the road.\Is that so?\With so many townspeople here to defend you, response:	I have no hope of defeating you with my troops alone.
context: Theo Cornaro!\I've agreed to meet with you, but my mind is already made up.\If it's my court rank and land you desire, I will take you on, but only in battle.\In other words, you're swearing allegiance to the Alliance?\I plan to offer Lady Marrine Kreische my pledge of fealty down the road.\Is that so?\With so many townspeople here to defend you,\I have no hope of defeating you with my troops alone. response:	I do not wish to harm your people in a battle.
context: I've agreed to meet with you, but my mind is already made up.\If it's my court rank and land you desire, I will take you on, but only in battle.\In other words, you're swearing allegiance to the Alliance?\I plan to offer Lady Marrine Kreische my pledge of fealty down the road.\Is that so?\With so many townspeople here to defend you,\I have no hope of defeating you with my troops alone.\I do not wish to harm your people in a battle. response:	I can see why you're renowned as a hero.
context: If it's my court rank and land you desire, I will take you on, but only in battle.\In other words, you're swearing allegiance to the Alliance?\I plan to offer Lady Marrine Kreische my pledge of fealty down the road.\Is that so?\With so many townspeople here to defend you,\I have no hope of defeating you with my troops alone.\I do not wish to harm your people in a battle.\I can see why you're renowned as a hero. response:	In that case, I advise you to leave now.
context: In other words, you're swearing allegiance to the Alliance?\I plan to offer Lady Marrine Kreische my pledge of fealty down the road.\Is that so?\With so many townspeople here to defend you,\I have no hope of defeating you with my troops alone.\I do not wish to harm your people in a battle.\I can see why you're renowned as a hero.\In that case, I advise you to leave now. response:	That's my intention.
context: I plan to offer Lady Marrine Kreische my pledge of fealty down the road.\Is that so?\With so many townspeople here to defend you,\I have no hope of defeating you with my troops alone.\I do not wish to harm your people in a battle.\I can see why you're renowned as a hero.\In that case, I advise you to leave now.\That's my intention. response:	But before I go, I have one question for you.
context: Is that so?\With so many townspeople here to defend you,\I have no hope of defeating you with my troops alone.\I do not wish to harm your people in a battle.\I can see why you're renowned as a hero.\In that case, I advise you to leave now.\That's my intention.\But before I go, I have one question for you. response:	Is this the victory that you seek?
context: With so many townspeople here to defend you,\I have no hope of defeating you with my troops alone.\I do not wish to harm your people in a battle.\I can see why you're renowned as a hero.\In that case, I advise you to leave now.\That's my intention.\But before I go, I have one question for you.\Is this the victory that you seek? response:	That should be more than obvious.
context: I have no hope of defeating you with my troops alone.\I do not wish to harm your people in a battle.\I can see why you're renowned as a hero.\In that case, I advise you to leave now.\That's my intention.\But before I go, I have one question for you.\Is this the victory that you seek?\That should be more than obvious. response:	Sooner or later, the great Union army will arrive to attack this town.
context: I do not wish to harm your people in a battle.\I can see why you're renowned as a hero.\In that case, I advise you to leave now.\That's my intention.\But before I go, I have one question for you.\Is this the victory that you seek?\That should be more than obvious.\Sooner or later, the great Union army will arrive to attack this town. response:	I was able to survive this long.
context: I can see why you're renowned as a hero.\In that case, I advise you to leave now.\That's my intention.\But before I go, I have one question for you.\Is this the victory that you seek?\That should be more than obvious.\Sooner or later, the great Union army will arrive to attack this town.\I was able to survive this long. response:	Even if I withdraw,
context: In that case, I advise you to leave now.\That's my intention.\But before I go, I have one question for you.\Is this the victory that you seek?\That should be more than obvious.\Sooner or later, the great Union army will arrive to attack this town.\I was able to survive this long.\Even if I withdraw, response:	Lassic David, the King of Sievis, is sure to attack with his force of 30,000 men.
context: That's my intention.\But before I go, I have one question for you.\Is this the victory that you seek?\That should be more than obvious.\Sooner or later, the great Union army will arrive to attack this town.\I was able to survive this long.\Even if I withdraw,\Lassic David, the King of Sievis, is sure to attack with his force of 30,000 men. response:	30,000?
context: But before I go, I have one question for you.\Is this the victory that you seek?\That should be more than obvious.\Sooner or later, the great Union army will arrive to attack this town.\I was able to survive this long.\Even if I withdraw,\Lassic David, the King of Sievis, is sure to attack with his force of 30,000 men.\30,000? response:	We wouldn't stand a chance!
context: Is this the victory that you seek?\That should be more than obvious.\Sooner or later, the great Union army will arrive to attack this town.\I was able to survive this long.\Even if I withdraw,\Lassic David, the King of Sievis, is sure to attack with his force of 30,000 men.\30,000?\We wouldn't stand a chance! response:	If you wish to become the true victor in all this,
context: That should be more than obvious.\Sooner or later, the great Union army will arrive to attack this town.\I was able to survive this long.\Even if I withdraw,\Lassic David, the King of Sievis, is sure to attack with his force of 30,000 men.\30,000?\We wouldn't stand a chance!\If you wish to become the true victor in all this, response:	I suggest that you lead your men from the castle to attack.
context: Sooner or later, the great Union army will arrive to attack this town.\I was able to survive this long.\Even if I withdraw,\Lassic David, the King of Sievis, is sure to attack with his force of 30,000 men.\30,000?\We wouldn't stand a chance!\If you wish to become the true victor in all this,\I suggest that you lead your men from the castle to attack. response:	Oh?
context: I was able to survive this long.\Even if I withdraw,\Lassic David, the King of Sievis, is sure to attack with his force of 30,000 men.\30,000?\We wouldn't stand a chance!\If you wish to become the true victor in all this,\I suggest that you lead your men from the castle to attack.\Oh? response:	In doing so, your loyalty to the Alliance will remain unscathed,
context: Even if I withdraw,\Lassic David, the King of Sievis, is sure to attack with his force of 30,000 men.\30,000?\We wouldn't stand a chance!\If you wish to become the true victor in all this,\I suggest that you lead your men from the castle to attack.\Oh?\In doing so, your loyalty to the Alliance will remain unscathed, response:	and your people won't have to suffer.
context: Lassic David, the King of Sievis, is sure to attack with his force of 30,000 men.\30,000?\We wouldn't stand a chance!\If you wish to become the true victor in all this,\I suggest that you lead your men from the castle to attack.\Oh?\In doing so, your loyalty to the Alliance will remain unscathed,\and your people won't have to suffer. response:	If I can go down holding my own against the hero Theo Cornaro,
context: 30,000?\We wouldn't stand a chance!\If you wish to become the true victor in all this,\I suggest that you lead your men from the castle to attack.\Oh?\In doing so, your loyalty to the Alliance will remain unscathed,\and your people won't have to suffer.\If I can go down holding my own against the hero Theo Cornaro, response:	I will die a happy man.
context: We wouldn't stand a chance!\If you wish to become the true victor in all this,\I suggest that you lead your men from the castle to attack.\Oh?\In doing so, your loyalty to the Alliance will remain unscathed,\and your people won't have to suffer.\If I can go down holding my own against the hero Theo Cornaro,\I will die a happy man. response:	Allow me to die as a victor.
context: If you wish to become the true victor in all this,\I suggest that you lead your men from the castle to attack.\Oh?\In doing so, your loyalty to the Alliance will remain unscathed,\and your people won't have to suffer.\If I can go down holding my own against the hero Theo Cornaro,\I will die a happy man.\Allow me to die as a victor. response:	No, that won't do!
context: I suggest that you lead your men from the castle to attack.\Oh?\In doing so, your loyalty to the Alliance will remain unscathed,\and your people won't have to suffer.\If I can go down holding my own against the hero Theo Cornaro,\I will die a happy man.\Allow me to die as a victor.\No, that won't do! response:	We are prepared to fight by your side, Lord Ladvan!
context: Oh?\In doing so, your loyalty to the Alliance will remain unscathed,\and your people won't have to suffer.\If I can go down holding my own against the hero Theo Cornaro,\I will die a happy man.\Allow me to die as a victor.\No, that won't do!\We are prepared to fight by your side, Lord Ladvan! response:	Isn't that right, everybody? Isn't that right?
context: In doing so, your loyalty to the Alliance will remain unscathed,\and your people won't have to suffer.\If I can go down holding my own against the hero Theo Cornaro,\I will die a happy man.\Allow me to die as a victor.\No, that won't do!\We are prepared to fight by your side, Lord Ladvan!\Isn't that right, everybody? Isn't that right? response:	Right! That's right!
context: and your people won't have to suffer.\If I can go down holding my own against the hero Theo Cornaro,\I will die a happy man.\Allow me to die as a victor.\No, that won't do!\We are prepared to fight by your side, Lord Ladvan!\Isn't that right, everybody? Isn't that right?\Right! That's right! response:	If I die, this battle will come to an end.
context: If I can go down holding my own against the hero Theo Cornaro,\I will die a happy man.\Allow me to die as a victor.\No, that won't do!\We are prepared to fight by your side, Lord Ladvan!\Isn't that right, everybody? Isn't that right?\Right! That's right!\If I die, this battle will come to an end. response:	There's no need for you to sacrifice your lives.
context: I will die a happy man.\Allow me to die as a victor.\No, that won't do!\We are prepared to fight by your side, Lord Ladvan!\Isn't that right, everybody? Isn't that right?\Right! That's right!\If I die, this battle will come to an end.\There's no need for you to sacrifice your lives. response:	Lord Ladvan...
context: Allow me to die as a victor.\No, that won't do!\We are prepared to fight by your side, Lord Ladvan!\Isn't that right, everybody? Isn't that right?\Right! That's right!\If I die, this battle will come to an end.\There's no need for you to sacrifice your lives.\Lord Ladvan... response:	What we want is for you to continue ruling this town.
context: No, that won't do!\We are prepared to fight by your side, Lord Ladvan!\Isn't that right, everybody? Isn't that right?\Right! That's right!\If I die, this battle will come to an end.\There's no need for you to sacrifice your lives.\Lord Ladvan...\What we want is for you to continue ruling this town. response:	We'll follow you wherever you go!
context: We are prepared to fight by your side, Lord Ladvan!\Isn't that right, everybody? Isn't that right?\Right! That's right!\If I die, this battle will come to an end.\There's no need for you to sacrifice your lives.\Lord Ladvan...\What we want is for you to continue ruling this town.\We'll follow you wherever you go! response:	Who cares if we're with the Alliance or the Union?
context: Isn't that right, everybody? Isn't that right?\Right! That's right!\If I die, this battle will come to an end.\There's no need for you to sacrifice your lives.\Lord Ladvan...\What we want is for you to continue ruling this town.\We'll follow you wherever you go!\Who cares if we're with the Alliance or the Union? response:	We will protect you, Lord Ladvan!
context: Right! That's right!\If I die, this battle will come to an end.\There's no need for you to sacrifice your lives.\Lord Ladvan...\What we want is for you to continue ruling this town.\We'll follow you wherever you go!\Who cares if we're with the Alliance or the Union?\We will protect you, Lord Ladvan! response:	Lord Ladvan!
context: If I die, this battle will come to an end.\There's no need for you to sacrifice your lives.\Lord Ladvan...\What we want is for you to continue ruling this town.\We'll follow you wherever you go!\Who cares if we're with the Alliance or the Union?\We will protect you, Lord Ladvan!\Lord Ladvan! response:	Our leader!
context: There's no need for you to sacrifice your lives.\Lord Ladvan...\What we want is for you to continue ruling this town.\We'll follow you wherever you go!\Who cares if we're with the Alliance or the Union?\We will protect you, Lord Ladvan!\Lord Ladvan!\Our leader! response:	It looks like I've lost here.
context: Lord Ladvan...\What we want is for you to continue ruling this town.\We'll follow you wherever you go!\Who cares if we're with the Alliance or the Union?\We will protect you, Lord Ladvan!\Lord Ladvan!\Our leader!\It looks like I've lost here. response:	You're every inch the valiant Lord I thought you'd be.
context: What we want is for you to continue ruling this town.\We'll follow you wherever you go!\Who cares if we're with the Alliance or the Union?\We will protect you, Lord Ladvan!\Lord Ladvan!\Our leader!\It looks like I've lost here.\You're every inch the valiant Lord I thought you'd be. response:	And that's why I'd like to ask you...
context: We'll follow you wherever you go!\Who cares if we're with the Alliance or the Union?\We will protect you, Lord Ladvan!\Lord Ladvan!\Our leader!\It looks like I've lost here.\You're every inch the valiant Lord I thought you'd be.\And that's why I'd like to ask you... response:	Would you consider joining me in defeat?
context: Who cares if we're with the Alliance or the Union?\We will protect you, Lord Ladvan!\Lord Ladvan!\Our leader!\It looks like I've lost here.\You're every inch the valiant Lord I thought you'd be.\And that's why I'd like to ask you...\Would you consider joining me in defeat? response:	Join you in defeat?
context: We will protect you, Lord Ladvan!\Lord Ladvan!\Our leader!\It looks like I've lost here.\You're every inch the valiant Lord I thought you'd be.\And that's why I'd like to ask you...\Would you consider joining me in defeat?\Join you in defeat? response:	I'm asking you to value your people's trust, rather than your loyalty to the Alliance.
context: Lord Ladvan!\Our leader!\It looks like I've lost here.\You're every inch the valiant Lord I thought you'd be.\And that's why I'd like to ask you...\Would you consider joining me in defeat?\Join you in defeat?\I'm asking you to value your people's trust, rather than your loyalty to the Alliance. response:	You mean I should be true to my people, rather than be their Lord?
context: Our leader!\It looks like I've lost here.\You're every inch the valiant Lord I thought you'd be.\And that's why I'd like to ask you...\Would you consider joining me in defeat?\Join you in defeat?\I'm asking you to value your people's trust, rather than your loyalty to the Alliance.\You mean I should be true to my people, rather than be their Lord? response:	That's precisely what I see as the ideal Lord.
context: It looks like I've lost here.\You're every inch the valiant Lord I thought you'd be.\And that's why I'd like to ask you...\Would you consider joining me in defeat?\Join you in defeat?\I'm asking you to value your people's trust, rather than your loyalty to the Alliance.\You mean I should be true to my people, rather than be their Lord?\That's precisely what I see as the ideal Lord. response:	Everyone, I must ask for your forgiveness.
context: You're every inch the valiant Lord I thought you'd be.\And that's why I'd like to ask you...\Would you consider joining me in defeat?\Join you in defeat?\I'm asking you to value your people's trust, rather than your loyalty to the Alliance.\You mean I should be true to my people, rather than be their Lord?\That's precisely what I see as the ideal Lord.\Everyone, I must ask for your forgiveness. response:	I intend to leave the Alliance, and switch sides to the Union.
context: And that's why I'd like to ask you...\Would you consider joining me in defeat?\Join you in defeat?\I'm asking you to value your people's trust, rather than your loyalty to the Alliance.\You mean I should be true to my people, rather than be their Lord?\That's precisely what I see as the ideal Lord.\Everyone, I must ask for your forgiveness.\I intend to leave the Alliance, and switch sides to the Union. response:	I choose to live my life alongside all of you.
context: Would you consider joining me in defeat?\Join you in defeat?\I'm asking you to value your people's trust, rather than your loyalty to the Alliance.\You mean I should be true to my people, rather than be their Lord?\That's precisely what I see as the ideal Lord.\Everyone, I must ask for your forgiveness.\I intend to leave the Alliance, and switch sides to the Union.\I choose to live my life alongside all of you. response:	I leave my fate entirely in your hands.
context: Join you in defeat?\I'm asking you to value your people's trust, rather than your loyalty to the Alliance.\You mean I should be true to my people, rather than be their Lord?\That's precisely what I see as the ideal Lord.\Everyone, I must ask for your forgiveness.\I intend to leave the Alliance, and switch sides to the Union.\I choose to live my life alongside all of you.\I leave my fate entirely in your hands. response:	All I ask is that you guarantee my people's survival and their fortunes.
context: I'm asking you to value your people's trust, rather than your loyalty to the Alliance.\You mean I should be true to my people, rather than be their Lord?\That's precisely what I see as the ideal Lord.\Everyone, I must ask for your forgiveness.\I intend to leave the Alliance, and switch sides to the Union.\I choose to live my life alongside all of you.\I leave my fate entirely in your hands.\All I ask is that you guarantee my people's survival and their fortunes. response:	Understood.
context: You mean I should be true to my people, rather than be their Lord?\That's precisely what I see as the ideal Lord.\Everyone, I must ask for your forgiveness.\I intend to leave the Alliance, and switch sides to the Union.\I choose to live my life alongside all of you.\I leave my fate entirely in your hands.\All I ask is that you guarantee my people's survival and their fortunes.\Understood. response:	How unfortunate for you.
context: That's precisely what I see as the ideal Lord.\Everyone, I must ask for your forgiveness.\I intend to leave the Alliance, and switch sides to the Union.\I choose to live my life alongside all of you.\I leave my fate entirely in your hands.\All I ask is that you guarantee my people's survival and their fortunes.\Understood.\How unfortunate for you. response:	If only I'd vacated my castle, it would've been such a coup for you,
context: Everyone, I must ask for your forgiveness.\I intend to leave the Alliance, and switch sides to the Union.\I choose to live my life alongside all of you.\I leave my fate entirely in your hands.\All I ask is that you guarantee my people's survival and their fortunes.\Understood.\How unfortunate for you.\If only I'd vacated my castle, it would've been such a coup for you, response:	and you could've taken my Crest.
context: I intend to leave the Alliance, and switch sides to the Union.\I choose to live my life alongside all of you.\I leave my fate entirely in your hands.\All I ask is that you guarantee my people's survival and their fortunes.\Understood.\How unfortunate for you.\If only I'd vacated my castle, it would've been such a coup for you,\and you could've taken my Crest. response:	I don't care for military feats.
context: I choose to live my life alongside all of you.\I leave my fate entirely in your hands.\All I ask is that you guarantee my people's survival and their fortunes.\Understood.\How unfortunate for you.\If only I'd vacated my castle, it would've been such a coup for you,\and you could've taken my Crest.\I don't care for military feats. response:	What matters is that there were no senseless casualties.
context: I leave my fate entirely in your hands.\All I ask is that you guarantee my people's survival and their fortunes.\Understood.\How unfortunate for you.\If only I'd vacated my castle, it would've been such a coup for you,\and you could've taken my Crest.\I don't care for military feats.\What matters is that there were no senseless casualties. response:	Looks like I had the wrong read on you.
context: All I ask is that you guarantee my people's survival and their fortunes.\Understood.\How unfortunate for you.\If only I'd vacated my castle, it would've been such a coup for you,\and you could've taken my Crest.\I don't care for military feats.\What matters is that there were no senseless casualties.\Looks like I had the wrong read on you. response:	So many Lords obsess only about gaining more land or Crests,
context: Understood.\How unfortunate for you.\If only I'd vacated my castle, it would've been such a coup for you,\and you could've taken my Crest.\I don't care for military feats.\What matters is that there were no senseless casualties.\Looks like I had the wrong read on you.\So many Lords obsess only about gaining more land or Crests, response:	yet you show concern for not only your own people, but your enemy's as well.
context: How unfortunate for you.\If only I'd vacated my castle, it would've been such a coup for you,\and you could've taken my Crest.\I don't care for military feats.\What matters is that there were no senseless casualties.\Looks like I had the wrong read on you.\So many Lords obsess only about gaining more land or Crests,\yet you show concern for not only your own people, but your enemy's as well. response:	I can see that you're a man who truly adheres to the code of Lords.
context: If only I'd vacated my castle, it would've been such a coup for you,\and you could've taken my Crest.\I don't care for military feats.\What matters is that there were no senseless casualties.\Looks like I had the wrong read on you.\So many Lords obsess only about gaining more land or Crests,\yet you show concern for not only your own people, but your enemy's as well.\I can see that you're a man who truly adheres to the code of Lords. response:	Rather than Lord Lassic, I would like to serve under you!
context: and you could've taken my Crest.\I don't care for military feats.\What matters is that there were no senseless casualties.\Looks like I had the wrong read on you.\So many Lords obsess only about gaining more land or Crests,\yet you show concern for not only your own people, but your enemy's as well.\I can see that you're a man who truly adheres to the code of Lords.\Rather than Lord Lassic, I would like to serve under you! response:	I am currently a man serving under Lord Villar. I cannot accept your pledge of allegiance.
context: I don't care for military feats.\What matters is that there were no senseless casualties.\Looks like I had the wrong read on you.\So many Lords obsess only about gaining more land or Crests,\yet you show concern for not only your own people, but your enemy's as well.\I can see that you're a man who truly adheres to the code of Lords.\Rather than Lord Lassic, I would like to serve under you!\I am currently a man serving under Lord Villar. I cannot accept your pledge of allegiance. response:	Then, until the time comes, will you entrust your Crest to me?
context: What matters is that there were no senseless casualties.\Looks like I had the wrong read on you.\So many Lords obsess only about gaining more land or Crests,\yet you show concern for not only your own people, but your enemy's as well.\I can see that you're a man who truly adheres to the code of Lords.\Rather than Lord Lassic, I would like to serve under you!\I am currently a man serving under Lord Villar. I cannot accept your pledge of allegiance.\Then, until the time comes, will you entrust your Crest to me? response:	Very well.
context: Looks like I had the wrong read on you.\So many Lords obsess only about gaining more land or Crests,\yet you show concern for not only your own people, but your enemy's as well.\I can see that you're a man who truly adheres to the code of Lords.\Rather than Lord Lassic, I would like to serve under you!\I am currently a man serving under Lord Villar. I cannot accept your pledge of allegiance.\Then, until the time comes, will you entrust your Crest to me?\Very well. response:	Unbelievable.
context: So many Lords obsess only about gaining more land or Crests,\yet you show concern for not only your own people, but your enemy's as well.\I can see that you're a man who truly adheres to the code of Lords.\Rather than Lord Lassic, I would like to serve under you!\I am currently a man serving under Lord Villar. I cannot accept your pledge of allegiance.\Then, until the time comes, will you entrust your Crest to me?\Very well.\Unbelievable. response:	Never mind surrendering, he actually promised to serve him!
context: yet you show concern for not only your own people, but your enemy's as well.\I can see that you're a man who truly adheres to the code of Lords.\Rather than Lord Lassic, I would like to serve under you!\I am currently a man serving under Lord Villar. I cannot accept your pledge of allegiance.\Then, until the time comes, will you entrust your Crest to me?\Very well.\Unbelievable.\Never mind surrendering, he actually promised to serve him! response:	Lord Lassic has defeated Jericho Orlick, the King of Forbes.
context: I can see that you're a man who truly adheres to the code of Lords.\Rather than Lord Lassic, I would like to serve under you!\I am currently a man serving under Lord Villar. I cannot accept your pledge of allegiance.\Then, until the time comes, will you entrust your Crest to me?\Very well.\Unbelievable.\Never mind surrendering, he actually promised to serve him!\Lord Lassic has defeated Jericho Orlick, the King of Forbes. response:	Who knew he'd only take five days to conquer Forbes?
context: Rather than Lord Lassic, I would like to serve under you!\I am currently a man serving under Lord Villar. I cannot accept your pledge of allegiance.\Then, until the time comes, will you entrust your Crest to me?\Very well.\Unbelievable.\Never mind surrendering, he actually promised to serve him!\Lord Lassic has defeated Jericho Orlick, the King of Forbes.\Who knew he'd only take five days to conquer Forbes? response:	Thanks to him, the King of Clovis surrendered his castle without any prodding.
context: I am currently a man serving under Lord Villar. I cannot accept your pledge of allegiance.\Then, until the time comes, will you entrust your Crest to me?\Very well.\Unbelievable.\Never mind surrendering, he actually promised to serve him!\Lord Lassic has defeated Jericho Orlick, the King of Forbes.\Who knew he'd only take five days to conquer Forbes?\Thanks to him, the King of Clovis surrendered his castle without any prodding. response:	Without us losing a single soldier, that is.
context: Then, until the time comes, will you entrust your Crest to me?\Very well.\Unbelievable.\Never mind surrendering, he actually promised to serve him!\Lord Lassic has defeated Jericho Orlick, the King of Forbes.\Who knew he'd only take five days to conquer Forbes?\Thanks to him, the King of Clovis surrendered his castle without any prodding.\Without us losing a single soldier, that is. response:	I believe both Sir Milza and Sir Theo's exploits have shattered the enemy's morale.
context: Very well.\Unbelievable.\Never mind surrendering, he actually promised to serve him!\Lord Lassic has defeated Jericho Orlick, the King of Forbes.\Who knew he'd only take five days to conquer Forbes?\Thanks to him, the King of Clovis surrendered his castle without any prodding.\Without us losing a single soldier, that is.\I believe both Sir Milza and Sir Theo's exploits have shattered the enemy's morale. response:	Both feats were extraordinary.
context: Unbelievable.\Never mind surrendering, he actually promised to serve him!\Lord Lassic has defeated Jericho Orlick, the King of Forbes.\Who knew he'd only take five days to conquer Forbes?\Thanks to him, the King of Clovis surrendered his castle without any prodding.\Without us losing a single soldier, that is.\I believe both Sir Milza and Sir Theo's exploits have shattered the enemy's morale.\Both feats were extraordinary. response:	And both were carried out true to form, wouldn't you say?
context: Never mind surrendering, he actually promised to serve him!\Lord Lassic has defeated Jericho Orlick, the King of Forbes.\Who knew he'd only take five days to conquer Forbes?\Thanks to him, the King of Clovis surrendered his castle without any prodding.\Without us losing a single soldier, that is.\I believe both Sir Milza and Sir Theo's exploits have shattered the enemy's morale.\Both feats were extraordinary.\And both were carried out true to form, wouldn't you say? response:	Glory to the Union! Lord Villar, Earl of Artuk!
