context: Complaint and Roar response:	yume kanaeru made chousen wa tsuzuku
context: So these two will appear at the end of chapter two.\The problem lies with the third chapter. How will they interact with the protagonist?\But if you do this well, it'll definitely be better than the last storyboard you submitted to the serialization committee.\I like how he's going to take over the world little by little.\This pose is good, too.\We both tried to think of petty evil inventions, but it was pretty tough.\We thought of a soda that makes you want to do bad things once you drink it, called Evil Dew...\That's great! response:	If you combine that with the chef hat that turns a school lunch into a full course meal...
context: The problem lies with the third chapter. How will they interact with the protagonist?\But if you do this well, it'll definitely be better than the last storyboard you submitted to the serialization committee.\I like how he's going to take over the world little by little.\This pose is good, too.\We both tried to think of petty evil inventions, but it was pretty tough.\We thought of a soda that makes you want to do bad things once you drink it, called Evil Dew...\That's great!\If you combine that with the chef hat that turns a school lunch into a full course meal... response:	Yeah, that would be great!
context: But if you do this well, it'll definitely be better than the last storyboard you submitted to the serialization committee.\I like how he's going to take over the world little by little.\This pose is good, too.\We both tried to think of petty evil inventions, but it was pretty tough.\We thought of a soda that makes you want to do bad things once you drink it, called Evil Dew...\That's great!\If you combine that with the chef hat that turns a school lunch into a full course meal...\Yeah, that would be great! response:	Miura, that's too simple!
context: I like how he's going to take over the world little by little.\This pose is good, too.\We both tried to think of petty evil inventions, but it was pretty tough.\We thought of a soda that makes you want to do bad things once you drink it, called Evil Dew...\That's great!\If you combine that with the chef hat that turns a school lunch into a full course meal...\Yeah, that would be great!\Miura, that's too simple! response:	Let's think harder about it.
context: This pose is good, too.\We both tried to think of petty evil inventions, but it was pretty tough.\We thought of a soda that makes you want to do bad things once you drink it, called Evil Dew...\That's great!\If you combine that with the chef hat that turns a school lunch into a full course meal...\Yeah, that would be great!\Miura, that's too simple!\Let's think harder about it. response:	Oh, sorry.
context: We both tried to think of petty evil inventions, but it was pretty tough.\We thought of a soda that makes you want to do bad things once you drink it, called Evil Dew...\That's great!\If you combine that with the chef hat that turns a school lunch into a full course meal...\Yeah, that would be great!\Miura, that's too simple!\Let's think harder about it.\Oh, sorry. response:	Okay then, let's go with Step by step, little by little.
context: We thought of a soda that makes you want to do bad things once you drink it, called Evil Dew...\That's great!\If you combine that with the chef hat that turns a school lunch into a full course meal...\Yeah, that would be great!\Miura, that's too simple!\Let's think harder about it.\Oh, sorry.\Okay then, let's go with Step by step, little by little. response:	Hey, have some confidence in your work! Don't look so down!
context: That's great!\If you combine that with the chef hat that turns a school lunch into a full course meal...\Yeah, that would be great!\Miura, that's too simple!\Let's think harder about it.\Oh, sorry.\Okay then, let's go with Step by step, little by little.\Hey, have some confidence in your work! Don't look so down! response:	Are we really going to be okay for the next serialization meeting?
context: If you combine that with the chef hat that turns a school lunch into a full course meal...\Yeah, that would be great!\Miura, that's too simple!\Let's think harder about it.\Oh, sorry.\Okay then, let's go with Step by step, little by little.\Hey, have some confidence in your work! Don't look so down!\Are we really going to be okay for the next serialization meeting? response:	What do you think of the storyboard that MONEYS wrote?
context: Yeah, that would be great!\Miura, that's too simple!\Let's think harder about it.\Oh, sorry.\Okay then, let's go with Step by step, little by little.\Hey, have some confidence in your work! Don't look so down!\Are we really going to be okay for the next serialization meeting?\What do you think of the storyboard that MONEYS wrote? response:	It's wonderful!
context: Miura, that's too simple!\Let's think harder about it.\Oh, sorry.\Okay then, let's go with Step by step, little by little.\Hey, have some confidence in your work! Don't look so down!\Are we really going to be okay for the next serialization meeting?\What do you think of the storyboard that MONEYS wrote?\It's wonderful! response:	I know now that my manuscript can become a wonderful manga!
context: Let's think harder about it.\Oh, sorry.\Okay then, let's go with Step by step, little by little.\Hey, have some confidence in your work! Don't look so down!\Are we really going to be okay for the next serialization meeting?\What do you think of the storyboard that MONEYS wrote?\It's wonderful!\I know now that my manuscript can become a wonderful manga! response:	I'm impressed!
context: Oh, sorry.\Okay then, let's go with Step by step, little by little.\Hey, have some confidence in your work! Don't look so down!\Are we really going to be okay for the next serialization meeting?\What do you think of the storyboard that MONEYS wrote?\It's wonderful!\I know now that my manuscript can become a wonderful manga!\I'm impressed! response:	He moved things around quite a bit; is that okay with you?
context: Okay then, let's go with Step by step, little by little.\Hey, have some confidence in your work! Don't look so down!\Are we really going to be okay for the next serialization meeting?\What do you think of the storyboard that MONEYS wrote?\It's wonderful!\I know now that my manuscript can become a wonderful manga!\I'm impressed!\He moved things around quite a bit; is that okay with you? response:	Of course it isit's far better than my manuscript!
context: Hey, have some confidence in your work! Don't look so down!\Are we really going to be okay for the next serialization meeting?\What do you think of the storyboard that MONEYS wrote?\It's wonderful!\I know now that my manuscript can become a wonderful manga!\I'm impressed!\He moved things around quite a bit; is that okay with you?\Of course it isit's far better than my manuscript! response:	Please have this person do the art.
context: Are we really going to be okay for the next serialization meeting?\What do you think of the storyboard that MONEYS wrote?\It's wonderful!\I know now that my manuscript can become a wonderful manga!\I'm impressed!\He moved things around quite a bit; is that okay with you?\Of course it isit's far better than my manuscript!\Please have this person do the art. response:	She has a lot of pride, but she's got an eye for good manga.
context: What do you think of the storyboard that MONEYS wrote?\It's wonderful!\I know now that my manuscript can become a wonderful manga!\I'm impressed!\He moved things around quite a bit; is that okay with you?\Of course it isit's far better than my manuscript!\Please have this person do the art.\She has a lot of pride, but she's got an eye for good manga. response:	I asked you today to write a second chapter, but you've also done a third, and it's all very well done.
context: It's wonderful!\I know now that my manuscript can become a wonderful manga!\I'm impressed!\He moved things around quite a bit; is that okay with you?\Of course it isit's far better than my manuscript!\Please have this person do the art.\She has a lot of pride, but she's got an eye for good manga.\I asked you today to write a second chapter, but you've also done a third, and it's all very well done. response:	But about this God in The children chosen by God...
context: I know now that my manuscript can become a wonderful manga!\I'm impressed!\He moved things around quite a bit; is that okay with you?\Of course it isit's far better than my manuscript!\Please have this person do the art.\She has a lot of pride, but she's got an eye for good manga.\I asked you today to write a second chapter, but you've also done a third, and it's all very well done.\But about this God in The children chosen by God... response:	I think it's best to leave it as an unknown entity of great power, since that would be more like a shounen manga.
context: I'm impressed!\He moved things around quite a bit; is that okay with you?\Of course it isit's far better than my manuscript!\Please have this person do the art.\She has a lot of pride, but she's got an eye for good manga.\I asked you today to write a second chapter, but you've also done a third, and it's all very well done.\But about this God in The children chosen by God...\I think it's best to leave it as an unknown entity of great power, since that would be more like a shounen manga. response:	You're right. That will also pique the readers' interest.
context: He moved things around quite a bit; is that okay with you?\Of course it isit's far better than my manuscript!\Please have this person do the art.\She has a lot of pride, but she's got an eye for good manga.\I asked you today to write a second chapter, but you've also done a third, and it's all very well done.\But about this God in The children chosen by God...\I think it's best to leave it as an unknown entity of great power, since that would be more like a shounen manga.\You're right. That will also pique the readers' interest. response:	She's a quick learner.
context: Of course it isit's far better than my manuscript!\Please have this person do the art.\She has a lot of pride, but she's got an eye for good manga.\I asked you today to write a second chapter, but you've also done a third, and it's all very well done.\But about this God in The children chosen by God...\I think it's best to leave it as an unknown entity of great power, since that would be more like a shounen manga.\You're right. That will also pique the readers' interest.\She's a quick learner. response:	I think it would be better that way.
context: Please have this person do the art.\She has a lot of pride, but she's got an eye for good manga.\I asked you today to write a second chapter, but you've also done a third, and it's all very well done.\But about this God in The children chosen by God...\I think it's best to leave it as an unknown entity of great power, since that would be more like a shounen manga.\You're right. That will also pique the readers' interest.\She's a quick learner.\I think it would be better that way. response:	Are there any other areas that need fixing?
context: She has a lot of pride, but she's got an eye for good manga.\I asked you today to write a second chapter, but you've also done a third, and it's all very well done.\But about this God in The children chosen by God...\I think it's best to leave it as an unknown entity of great power, since that would be more like a shounen manga.\You're right. That will also pique the readers' interest.\She's a quick learner.\I think it would be better that way.\Are there any other areas that need fixing? response:	We can do this!
context: I asked you today to write a second chapter, but you've also done a third, and it's all very well done.\But about this God in The children chosen by God...\I think it's best to leave it as an unknown entity of great power, since that would be more like a shounen manga.\You're right. That will also pique the readers' interest.\She's a quick learner.\I think it would be better that way.\Are there any other areas that need fixing?\We can do this! response:	Sorry, let me read it one more time.
context: But about this God in The children chosen by God...\I think it's best to leave it as an unknown entity of great power, since that would be more like a shounen manga.\You're right. That will also pique the readers' interest.\She's a quick learner.\I think it would be better that way.\Are there any other areas that need fixing?\We can do this!\Sorry, let me read it one more time. response:	If I have Niizuma make a storyboard from this,
context: I think it's best to leave it as an unknown entity of great power, since that would be more like a shounen manga.\You're right. That will also pique the readers' interest.\She's a quick learner.\I think it would be better that way.\Are there any other areas that need fixing?\We can do this!\Sorry, let me read it one more time.\If I have Niizuma make a storyboard from this, response:	it'll be more than good enough to pass at the serialization committee.
context: You're right. That will also pique the readers' interest.\She's a quick learner.\I think it would be better that way.\Are there any other areas that need fixing?\We can do this!\Sorry, let me read it one more time.\If I have Niizuma make a storyboard from this,\it'll be more than good enough to pass at the serialization committee. response:	Can you make a manga that can compete with it...
context: She's a quick learner.\I think it would be better that way.\Are there any other areas that need fixing?\We can do this!\Sorry, let me read it one more time.\If I have Niizuma make a storyboard from this,\it'll be more than good enough to pass at the serialization committee.\Can you make a manga that can compete with it... response:	Ashirogi Muto?
context: I think it would be better that way.\Are there any other areas that need fixing?\We can do this!\Sorry, let me read it one more time.\If I have Niizuma make a storyboard from this,\it'll be more than good enough to pass at the serialization committee.\Can you make a manga that can compete with it...\Ashirogi Muto? response:	Today's Friday, so the sample of next week's issue should arrive at our office today.
context: Are there any other areas that need fixing?\We can do this!\Sorry, let me read it one more time.\If I have Niizuma make a storyboard from this,\it'll be more than good enough to pass at the serialization committee.\Can you make a manga that can compete with it...\Ashirogi Muto?\Today's Friday, so the sample of next week's issue should arrive at our office today. response:	Aoki's second chapter, huh?
context: We can do this!\Sorry, let me read it one more time.\If I have Niizuma make a storyboard from this,\it'll be more than good enough to pass at the serialization committee.\Can you make a manga that can compete with it...\Ashirogi Muto?\Today's Friday, so the sample of next week's issue should arrive at our office today.\Aoki's second chapter, huh? response:	Her first chapter got 1st place. It's really great.
context: Sorry, let me read it one more time.\If I have Niizuma make a storyboard from this,\it'll be more than good enough to pass at the serialization committee.\Can you make a manga that can compete with it...\Ashirogi Muto?\Today's Friday, so the sample of next week's issue should arrive at our office today.\Aoki's second chapter, huh?\Her first chapter got 1st place. It's really great. response:	I heard all her staff are female, but the art is done well, especially the backgrounds.
context: If I have Niizuma make a storyboard from this,\it'll be more than good enough to pass at the serialization committee.\Can you make a manga that can compete with it...\Ashirogi Muto?\Today's Friday, so the sample of next week's issue should arrive at our office today.\Aoki's second chapter, huh?\Her first chapter got 1st place. It's really great.\I heard all her staff are female, but the art is done well, especially the backgrounds. response:	Oh, I heard Katou's doing that. And she's the chief assistant, at that.
context: it'll be more than good enough to pass at the serialization committee.\Can you make a manga that can compete with it...\Ashirogi Muto?\Today's Friday, so the sample of next week's issue should arrive at our office today.\Aoki's second chapter, huh?\Her first chapter got 1st place. It's really great.\I heard all her staff are female, but the art is done well, especially the backgrounds.\Oh, I heard Katou's doing that. And she's the chief assistant, at that. response:	Really? Katou?
context: Can you make a manga that can compete with it...\Ashirogi Muto?\Today's Friday, so the sample of next week's issue should arrive at our office today.\Aoki's second chapter, huh?\Her first chapter got 1st place. It's really great.\I heard all her staff are female, but the art is done well, especially the backgrounds.\Oh, I heard Katou's doing that. And she's the chief assistant, at that.\Really? Katou? response:	Katou, I really like this background.
context: Ashirogi Muto?\Today's Friday, so the sample of next week's issue should arrive at our office today.\Aoki's second chapter, huh?\Her first chapter got 1st place. It's really great.\I heard all her staff are female, but the art is done well, especially the backgrounds.\Oh, I heard Katou's doing that. And she's the chief assistant, at that.\Really? Katou?\Katou, I really like this background. response:	Thank you!
context: Today's Friday, so the sample of next week's issue should arrive at our office today.\Aoki's second chapter, huh?\Her first chapter got 1st place. It's really great.\I heard all her staff are female, but the art is done well, especially the backgrounds.\Oh, I heard Katou's doing that. And she's the chief assistant, at that.\Really? Katou?\Katou, I really like this background.\Thank you! response:	I hope I'll be able to draw as well as you soon!
context: Aoki's second chapter, huh?\Her first chapter got 1st place. It's really great.\I heard all her staff are female, but the art is done well, especially the backgrounds.\Oh, I heard Katou's doing that. And she's the chief assistant, at that.\Really? Katou?\Katou, I really like this background.\Thank you!\I hope I'll be able to draw as well as you soon! response:	There's a week until the serialization committee.
context: Her first chapter got 1st place. It's really great.\I heard all her staff are female, but the art is done well, especially the backgrounds.\Oh, I heard Katou's doing that. And she's the chief assistant, at that.\Really? Katou?\Katou, I really like this background.\Thank you!\I hope I'll be able to draw as well as you soon!\There's a week until the serialization committee. response:	This time, Tanto will definitely pass!
context: I heard all her staff are female, but the art is done well, especially the backgrounds.\Oh, I heard Katou's doing that. And she's the chief assistant, at that.\Really? Katou?\Katou, I really like this background.\Thank you!\I hope I'll be able to draw as well as you soon!\There's a week until the serialization committee.\This time, Tanto will definitely pass! response:	There aren't any promising amateurs this time around, either.
context: Oh, I heard Katou's doing that. And she's the chief assistant, at that.\Really? Katou?\Katou, I really like this background.\Thank you!\I hope I'll be able to draw as well as you soon!\There's a week until the serialization committee.\This time, Tanto will definitely pass!\There aren't any promising amateurs this time around, either. response:	Hattori!
context: Really? Katou?\Katou, I really like this background.\Thank you!\I hope I'll be able to draw as well as you soon!\There's a week until the serialization committee.\This time, Tanto will definitely pass!\There aren't any promising amateurs this time around, either.\Hattori! response:	And it's suited for serialization.
context: Katou, I really like this background.\Thank you!\I hope I'll be able to draw as well as you soon!\There's a week until the serialization committee.\This time, Tanto will definitely pass!\There aren't any promising amateurs this time around, either.\Hattori!\And it's suited for serialization. response:	Thanks.
context: Thank you!\I hope I'll be able to draw as well as you soon!\There's a week until the serialization committee.\This time, Tanto will definitely pass!\There aren't any promising amateurs this time around, either.\Hattori!\And it's suited for serialization.\Thanks. response:	We can promote Akina Aiko's manuscript as being written by a Novel Pleiades amateur context winner.
context: I hope I'll be able to draw as well as you soon!\There's a week until the serialization committee.\This time, Tanto will definitely pass!\There aren't any promising amateurs this time around, either.\Hattori!\And it's suited for serialization.\Thanks.\We can promote Akina Aiko's manuscript as being written by a Novel Pleiades amateur context winner. response:	But who is this MONEYS artist?
context: There's a week until the serialization committee.\This time, Tanto will definitely pass!\There aren't any promising amateurs this time around, either.\Hattori!\And it's suited for serialization.\Thanks.\We can promote Akina Aiko's manuscript as being written by a Novel Pleiades amateur context winner.\But who is this MONEYS artist? response:	He's Yuujirou's hidden gem.
context: This time, Tanto will definitely pass!\There aren't any promising amateurs this time around, either.\Hattori!\And it's suited for serialization.\Thanks.\We can promote Akina Aiko's manuscript as being written by a Novel Pleiades amateur context winner.\But who is this MONEYS artist?\He's Yuujirou's hidden gem. response:	Is it too risky to serialize an unpublished artist?
context: There aren't any promising amateurs this time around, either.\Hattori!\And it's suited for serialization.\Thanks.\We can promote Akina Aiko's manuscript as being written by a Novel Pleiades amateur context winner.\But who is this MONEYS artist?\He's Yuujirou's hidden gem.\Is it too risky to serialize an unpublished artist? response:	No, there's no problem if he can draw this well.
context: Hattori!\And it's suited for serialization.\Thanks.\We can promote Akina Aiko's manuscript as being written by a Novel Pleiades amateur context winner.\But who is this MONEYS artist?\He's Yuujirou's hidden gem.\Is it too risky to serialize an unpublished artist?\No, there's no problem if he can draw this well. response:	On the contrary, if he can draw this well, I'm surprised he hasn't been published yet.
context: And it's suited for serialization.\Thanks.\We can promote Akina Aiko's manuscript as being written by a Novel Pleiades amateur context winner.\But who is this MONEYS artist?\He's Yuujirou's hidden gem.\Is it too risky to serialize an unpublished artist?\No, there's no problem if he can draw this well.\On the contrary, if he can draw this well, I'm surprised he hasn't been published yet. response:	At any rate, I'm submitting this to the committee.
context: Thanks.\We can promote Akina Aiko's manuscript as being written by a Novel Pleiades amateur context winner.\But who is this MONEYS artist?\He's Yuujirou's hidden gem.\Is it too risky to serialize an unpublished artist?\No, there's no problem if he can draw this well.\On the contrary, if he can draw this well, I'm surprised he hasn't been published yet.\At any rate, I'm submitting this to the committee. response:	Yes, please do.
context: We can promote Akina Aiko's manuscript as being written by a Novel Pleiades amateur context winner.\But who is this MONEYS artist?\He's Yuujirou's hidden gem.\Is it too risky to serialize an unpublished artist?\No, there's no problem if he can draw this well.\On the contrary, if he can draw this well, I'm surprised he hasn't been published yet.\At any rate, I'm submitting this to the committee.\Yes, please do. response:	Hattori...
context: But who is this MONEYS artist?\He's Yuujirou's hidden gem.\Is it too risky to serialize an unpublished artist?\No, there's no problem if he can draw this well.\On the contrary, if he can draw this well, I'm surprised he hasn't been published yet.\At any rate, I'm submitting this to the committee.\Yes, please do.\Hattori... response:	Give me a break! Where'd you get such a great amateur?
context: He's Yuujirou's hidden gem.\Is it too risky to serialize an unpublished artist?\No, there's no problem if he can draw this well.\On the contrary, if he can draw this well, I'm surprised he hasn't been published yet.\At any rate, I'm submitting this to the committee.\Yes, please do.\Hattori...\Give me a break! Where'd you get such a great amateur? response:	What're you saying? It isn't just the manga authors who are competing.
context: Is it too risky to serialize an unpublished artist?\No, there's no problem if he can draw this well.\On the contrary, if he can draw this well, I'm surprised he hasn't been published yet.\At any rate, I'm submitting this to the committee.\Yes, please do.\Hattori...\Give me a break! Where'd you get such a great amateur?\What're you saying? It isn't just the manga authors who are competing. response:	I'm not going to go easy on you.
context: No, there's no problem if he can draw this well.\On the contrary, if he can draw this well, I'm surprised he hasn't been published yet.\At any rate, I'm submitting this to the committee.\Yes, please do.\Hattori...\Give me a break! Where'd you get such a great amateur?\What're you saying? It isn't just the manga authors who are competing.\I'm not going to go easy on you. response:	Frankly, NATURAL is better than Tanto.
context: On the contrary, if he can draw this well, I'm surprised he hasn't been published yet.\At any rate, I'm submitting this to the committee.\Yes, please do.\Hattori...\Give me a break! Where'd you get such a great amateur?\What're you saying? It isn't just the manga authors who are competing.\I'm not going to go easy on you.\Frankly, NATURAL is better than Tanto. response:	What?
context: At any rate, I'm submitting this to the committee.\Yes, please do.\Hattori...\Give me a break! Where'd you get such a great amateur?\What're you saying? It isn't just the manga authors who are competing.\I'm not going to go easy on you.\Frankly, NATURAL is better than Tanto.\What? response:	You have that much confidence?
context: Yes, please do.\Hattori...\Give me a break! Where'd you get such a great amateur?\What're you saying? It isn't just the manga authors who are competing.\I'm not going to go easy on you.\Frankly, NATURAL is better than Tanto.\What?\You have that much confidence? response:	Yup.
context: Hattori...\Give me a break! Where'd you get such a great amateur?\What're you saying? It isn't just the manga authors who are competing.\I'm not going to go easy on you.\Frankly, NATURAL is better than Tanto.\What?\You have that much confidence?\Yup. response:	Say, why don't you tell Ashirogi Muto that Akina Aiko's manuscript will be submitted to the same committee as theirs?
context: Give me a break! Where'd you get such a great amateur?\What're you saying? It isn't just the manga authors who are competing.\I'm not going to go easy on you.\Frankly, NATURAL is better than Tanto.\What?\You have that much confidence?\Yup.\Say, why don't you tell Ashirogi Muto that Akina Aiko's manuscript will be submitted to the same committee as theirs? response:	She's apparently been a rival of Takagi's since middle school.
context: What're you saying? It isn't just the manga authors who are competing.\I'm not going to go easy on you.\Frankly, NATURAL is better than Tanto.\What?\You have that much confidence?\Yup.\Say, why don't you tell Ashirogi Muto that Akina Aiko's manuscript will be submitted to the same committee as theirs?\She's apparently been a rival of Takagi's since middle school. response:	What?!
context: I'm not going to go easy on you.\Frankly, NATURAL is better than Tanto.\What?\You have that much confidence?\Yup.\Say, why don't you tell Ashirogi Muto that Akina Aiko's manuscript will be submitted to the same committee as theirs?\She's apparently been a rival of Takagi's since middle school.\What?! response:	A storyboard made from Akina Aiko's manuscript will be submitted to the next serialization committee?!
