context: Wait! response:	It's been a week since the battle in the coal pit,
context: Nothing like the pipsqueak you used to be.\You think?\Huh?\Someone's hard to please.\I'm actually quite shocked, too.\This country is full of lolicons.\Wow, Miss. You're adorable.\Have another one on the house. response:	I can understand finding little girls cute, but...
context: You think?\Huh?\Someone's hard to please.\I'm actually quite shocked, too.\This country is full of lolicons.\Wow, Miss. You're adorable.\Have another one on the house.\I can understand finding little girls cute, but... response:	Take this, too.
context: Huh?\Someone's hard to please.\I'm actually quite shocked, too.\This country is full of lolicons.\Wow, Miss. You're adorable.\Have another one on the house.\I can understand finding little girls cute, but...\Take this, too. response:	Uh...
context: Someone's hard to please.\I'm actually quite shocked, too.\This country is full of lolicons.\Wow, Miss. You're adorable.\Have another one on the house.\I can understand finding little girls cute, but...\Take this, too.\Uh... response:	You people take it too far.
context: I'm actually quite shocked, too.\This country is full of lolicons.\Wow, Miss. You're adorable.\Have another one on the house.\I can understand finding little girls cute, but...\Take this, too.\Uh...\You people take it too far. response:	Say, kid.
context: This country is full of lolicons.\Wow, Miss. You're adorable.\Have another one on the house.\I can understand finding little girls cute, but...\Take this, too.\Uh...\You people take it too far.\Say, kid. response:	Don't you know what demi-humans are like?
context: Wow, Miss. You're adorable.\Have another one on the house.\I can understand finding little girls cute, but...\Take this, too.\Uh...\You people take it too far.\Say, kid.\Don't you know what demi-humans are like? response:	Boss!
context: Have another one on the house.\I can understand finding little girls cute, but...\Take this, too.\Uh...\You people take it too far.\Say, kid.\Don't you know what demi-humans are like?\Boss! response:	Forget that!
context: I can understand finding little girls cute, but...\Take this, too.\Uh...\You people take it too far.\Say, kid.\Don't you know what demi-humans are like?\Boss!\Forget that! response:	We're here to buy armor for Naofumi-sama!
context: Take this, too.\Uh...\You people take it too far.\Say, kid.\Don't you know what demi-humans are like?\Boss!\Forget that!\We're here to buy armor for Naofumi-sama! response:	Do you have any recommendations?
context: Uh...\You people take it too far.\Say, kid.\Don't you know what demi-humans are like?\Boss!\Forget that!\We're here to buy armor for Naofumi-sama!\Do you have any recommendations? response:	What are you talking about?
context: You people take it too far.\Say, kid.\Don't you know what demi-humans are like?\Boss!\Forget that!\We're here to buy armor for Naofumi-sama!\Do you have any recommendations?\What are you talking about? response:	We're here for your equipment.
context: Say, kid.\Don't you know what demi-humans are like?\Boss!\Forget that!\We're here to buy armor for Naofumi-sama!\Do you have any recommendations?\What are you talking about?\We're here for your equipment. response:	I appreciate the thought,
context: Don't you know what demi-humans are like?\Boss!\Forget that!\We're here to buy armor for Naofumi-sama!\Do you have any recommendations?\What are you talking about?\We're here for your equipment.\I appreciate the thought, response:	but think about yourself first!
context: Boss!\Forget that!\We're here to buy armor for Naofumi-sama!\Do you have any recommendations?\What are you talking about?\We're here for your equipment.\I appreciate the thought,\but think about yourself first! response:	Did you forget how you just got hurt in the plains?
context: Forget that!\We're here to buy armor for Naofumi-sama!\Do you have any recommendations?\What are you talking about?\We're here for your equipment.\I appreciate the thought,\but think about yourself first!\Did you forget how you just got hurt in the plains? response:	No, but you need a weapon...
context: We're here to buy armor for Naofumi-sama!\Do you have any recommendations?\What are you talking about?\We're here for your equipment.\I appreciate the thought,\but think about yourself first!\Did you forget how you just got hurt in the plains?\No, but you need a weapon... response:	Naofumi-sama...
context: Do you have any recommendations?\What are you talking about?\We're here for your equipment.\I appreciate the thought,\but think about yourself first!\Did you forget how you just got hurt in the plains?\No, but you need a weapon...\Naofumi-sama... response:	You'd best stop messing around,
context: What are you talking about?\We're here for your equipment.\I appreciate the thought,\but think about yourself first!\Did you forget how you just got hurt in the plains?\No, but you need a weapon...\Naofumi-sama...\You'd best stop messing around, response:	or you will die.
context: We're here for your equipment.\I appreciate the thought,\but think about yourself first!\Did you forget how you just got hurt in the plains?\No, but you need a weapon...\Naofumi-sama...\You'd best stop messing around,\or you will die. response:	Boss! This sword seems really sharp!
context: I appreciate the thought,\but think about yourself first!\Did you forget how you just got hurt in the plains?\No, but you need a weapon...\Naofumi-sama...\You'd best stop messing around,\or you will die.\Boss! This sword seems really sharp! response:	It's magic iron.
context: but think about yourself first!\Did you forget how you just got hurt in the plains?\No, but you need a weapon...\Naofumi-sama...\You'd best stop messing around,\or you will die.\Boss! This sword seems really sharp!\It's magic iron. response:	Wanna try it out?
context: Did you forget how you just got hurt in the plains?\No, but you need a weapon...\Naofumi-sama...\You'd best stop messing around,\or you will die.\Boss! This sword seems really sharp!\It's magic iron.\Wanna try it out? response:	Will you give us a discount?
context: No, but you need a weapon...\Naofumi-sama...\You'd best stop messing around,\or you will die.\Boss! This sword seems really sharp!\It's magic iron.\Wanna try it out?\Will you give us a discount? response:	Anything for you, miss.
context: Naofumi-sama...\You'd best stop messing around,\or you will die.\Boss! This sword seems really sharp!\It's magic iron.\Wanna try it out?\Will you give us a discount?\Anything for you, miss. response:	Thank you so much!
context: You'd best stop messing around,\or you will die.\Boss! This sword seems really sharp!\It's magic iron.\Wanna try it out?\Will you give us a discount?\Anything for you, miss.\Thank you so much! response:	While we're at it, could you show us some armor, too?
context: or you will die.\Boss! This sword seems really sharp!\It's magic iron.\Wanna try it out?\Will you give us a discount?\Anything for you, miss.\Thank you so much!\While we're at it, could you show us some armor, too? response:	Of course.
context: Boss! This sword seems really sharp!\It's magic iron.\Wanna try it out?\Will you give us a discount?\Anything for you, miss.\Thank you so much!\While we're at it, could you show us some armor, too?\Of course. response:	She stands up for herself now...
context: It's magic iron.\Wanna try it out?\Will you give us a discount?\Anything for you, miss.\Thank you so much!\While we're at it, could you show us some armor, too?\Of course.\She stands up for herself now... response:	Or maybe she's just rude...
context: Wanna try it out?\Will you give us a discount?\Anything for you, miss.\Thank you so much!\While we're at it, could you show us some armor, too?\Of course.\She stands up for herself now...\Or maybe she's just rude... response:	Our budget is around 180 silvers.
context: Will you give us a discount?\Anything for you, miss.\Thank you so much!\While we're at it, could you show us some armor, too?\Of course.\She stands up for herself now...\Or maybe she's just rude...\Our budget is around 180 silvers. response:	In that case...
context: Anything for you, miss.\Thank you so much!\While we're at it, could you show us some armor, too?\Of course.\She stands up for herself now...\Or maybe she's just rude...\Our budget is around 180 silvers.\In that case... response:	How about this?
context: Thank you so much!\While we're at it, could you show us some armor, too?\Of course.\She stands up for herself now...\Or maybe she's just rude...\Our budget is around 180 silvers.\In that case...\How about this? response:	I don't think it's my style...
context: While we're at it, could you show us some armor, too?\Of course.\She stands up for herself now...\Or maybe she's just rude...\Our budget is around 180 silvers.\In that case...\How about this?\I don't think it's my style... response:	Hmm...
context: Of course.\She stands up for herself now...\Or maybe she's just rude...\Our budget is around 180 silvers.\In that case...\How about this?\I don't think it's my style...\Hmm... response:	Yeah, it will strip Naofumi-sama of all his individuality.
context: She stands up for herself now...\Or maybe she's just rude...\Our budget is around 180 silvers.\In that case...\How about this?\I don't think it's my style...\Hmm...\Yeah, it will strip Naofumi-sama of all his individuality. response:	Then I can whip up something made to order.
context: Or maybe she's just rude...\Our budget is around 180 silvers.\In that case...\How about this?\I don't think it's my style...\Hmm...\Yeah, it will strip Naofumi-sama of all his individuality.\Then I can whip up something made to order. response:	Made to order?!
context: Our budget is around 180 silvers.\In that case...\How about this?\I don't think it's my style...\Hmm...\Yeah, it will strip Naofumi-sama of all his individuality.\Then I can whip up something made to order.\Made to order?! response:	Yeah.
context: In that case...\How about this?\I don't think it's my style...\Hmm...\Yeah, it will strip Naofumi-sama of all his individuality.\Then I can whip up something made to order.\Made to order?!\Yeah. response:	If you don't mind me using materials I've got on hand, I can finish by tomorrow...
context: How about this?\I don't think it's my style...\Hmm...\Yeah, it will strip Naofumi-sama of all his individuality.\Then I can whip up something made to order.\Made to order?!\Yeah.\If you don't mind me using materials I've got on hand, I can finish by tomorrow... response:	Please do!
context: I don't think it's my style...\Hmm...\Yeah, it will strip Naofumi-sama of all his individuality.\Then I can whip up something made to order.\Made to order?!\Yeah.\If you don't mind me using materials I've got on hand, I can finish by tomorrow...\Please do! response:	It was so nice of him to give us a discount on that sword, huh?
context: Hmm...\Yeah, it will strip Naofumi-sama of all his individuality.\Then I can whip up something made to order.\Made to order?!\Yeah.\If you don't mind me using materials I've got on hand, I can finish by tomorrow...\Please do!\It was so nice of him to give us a discount on that sword, huh? response:	Yeah.
context: Yeah, it will strip Naofumi-sama of all his individuality.\Then I can whip up something made to order.\Made to order?!\Yeah.\If you don't mind me using materials I've got on hand, I can finish by tomorrow...\Please do!\It was so nice of him to give us a discount on that sword, huh?\Yeah. response:	He's a really nice guy.
context: Then I can whip up something made to order.\Made to order?!\Yeah.\If you don't mind me using materials I've got on hand, I can finish by tomorrow...\Please do!\It was so nice of him to give us a discount on that sword, huh?\Yeah.\He's a really nice guy. response:	I'm not so sure...
context: Made to order?!\Yeah.\If you don't mind me using materials I've got on hand, I can finish by tomorrow...\Please do!\It was so nice of him to give us a discount on that sword, huh?\Yeah.\He's a really nice guy.\I'm not so sure... response:	That wasn't me!
context: Yeah.\If you don't mind me using materials I've got on hand, I can finish by tomorrow...\Please do!\It was so nice of him to give us a discount on that sword, huh?\Yeah.\He's a really nice guy.\I'm not so sure...\That wasn't me! response:	It was me.
context: If you don't mind me using materials I've got on hand, I can finish by tomorrow...\Please do!\It was so nice of him to give us a discount on that sword, huh?\Yeah.\He's a really nice guy.\I'm not so sure...\That wasn't me!\It was me. response:	Are you ready to order?
context: Please do!\It was so nice of him to give us a discount on that sword, huh?\Yeah.\He's a really nice guy.\I'm not so sure...\That wasn't me!\It was me.\Are you ready to order? response:	I'll get the cheapest lunch set you have,
context: It was so nice of him to give us a discount on that sword, huh?\Yeah.\He's a really nice guy.\I'm not so sure...\That wasn't me!\It was me.\Are you ready to order?\I'll get the cheapest lunch set you have, response:	and she'll have the kids' lunch.
context: Yeah.\He's a really nice guy.\I'm not so sure...\That wasn't me!\It was me.\Are you ready to order?\I'll get the cheapest lunch set you have,\and she'll have the kids' lunch. response:	Naofumi-sama! I'm not a kid anymore!
context: He's a really nice guy.\I'm not so sure...\That wasn't me!\It was me.\Are you ready to order?\I'll get the cheapest lunch set you have,\and she'll have the kids' lunch.\Naofumi-sama! I'm not a kid anymore! response:	I'll get the cheapest lunch set, too!
context: I'm not so sure...\That wasn't me!\It was me.\Are you ready to order?\I'll get the cheapest lunch set you have,\and she'll have the kids' lunch.\Naofumi-sama! I'm not a kid anymore!\I'll get the cheapest lunch set, too! response:	R-Right away.
context: That wasn't me!\It was me.\Are you ready to order?\I'll get the cheapest lunch set you have,\and she'll have the kids' lunch.\Naofumi-sama! I'm not a kid anymore!\I'll get the cheapest lunch set, too!\R-Right away. response:	You really don't need to force yourself to act grown-up.
context: It was me.\Are you ready to order?\I'll get the cheapest lunch set you have,\and she'll have the kids' lunch.\Naofumi-sama! I'm not a kid anymore!\I'll get the cheapest lunch set, too!\R-Right away.\You really don't need to force yourself to act grown-up. response:	I'm not forcing it!
context: Are you ready to order?\I'll get the cheapest lunch set you have,\and she'll have the kids' lunch.\Naofumi-sama! I'm not a kid anymore!\I'll get the cheapest lunch set, too!\R-Right away.\You really don't need to force yourself to act grown-up.\I'm not forcing it! response:	Doesn't this make me look like a typical villain?
context: I'll get the cheapest lunch set you have,\and she'll have the kids' lunch.\Naofumi-sama! I'm not a kid anymore!\I'll get the cheapest lunch set, too!\R-Right away.\You really don't need to force yourself to act grown-up.\I'm not forcing it!\Doesn't this make me look like a typical villain? response:	So cool...
context: and she'll have the kids' lunch.\Naofumi-sama! I'm not a kid anymore!\I'll get the cheapest lunch set, too!\R-Right away.\You really don't need to force yourself to act grown-up.\I'm not forcing it!\Doesn't this make me look like a typical villain?\So cool... response:	It suits you perfectly! You look great!
context: Naofumi-sama! I'm not a kid anymore!\I'll get the cheapest lunch set, too!\R-Right away.\You really don't need to force yourself to act grown-up.\I'm not forcing it!\Doesn't this make me look like a typical villain?\So cool...\It suits you perfectly! You look great! response:	I call it the Barbarian Armor!
context: I'll get the cheapest lunch set, too!\R-Right away.\You really don't need to force yourself to act grown-up.\I'm not forcing it!\Doesn't this make me look like a typical villain?\So cool...\It suits you perfectly! You look great!\I call it the Barbarian Armor! response:	Barbarian Armor
context: R-Right away.\You really don't need to force yourself to act grown-up.\I'm not forcing it!\Doesn't this make me look like a typical villain?\So cool...\It suits you perfectly! You look great!\I call it the Barbarian Armor!\Barbarian Armor response:	You're rocking it, kid.
context: You really don't need to force yourself to act grown-up.\I'm not forcing it!\Doesn't this make me look like a typical villain?\So cool...\It suits you perfectly! You look great!\I call it the Barbarian Armor!\Barbarian Armor\You're rocking it, kid. response:	You look like a real bandit.
context: I'm not forcing it!\Doesn't this make me look like a typical villain?\So cool...\It suits you perfectly! You look great!\I call it the Barbarian Armor!\Barbarian Armor\You're rocking it, kid.\You look like a real bandit. response:	I'm supposed to be a hero, you know.
context: Doesn't this make me look like a typical villain?\So cool...\It suits you perfectly! You look great!\I call it the Barbarian Armor!\Barbarian Armor\You're rocking it, kid.\You look like a real bandit.\I'm supposed to be a hero, you know. response:	You look so dashing!
context: So cool...\It suits you perfectly! You look great!\I call it the Barbarian Armor!\Barbarian Armor\You're rocking it, kid.\You look like a real bandit.\I'm supposed to be a hero, you know.\You look so dashing! response:	Well, you did make it for me.
context: It suits you perfectly! You look great!\I call it the Barbarian Armor!\Barbarian Armor\You're rocking it, kid.\You look like a real bandit.\I'm supposed to be a hero, you know.\You look so dashing!\Well, you did make it for me. response:	It'd be a shame not to wear it.
context: I call it the Barbarian Armor!\Barbarian Armor\You're rocking it, kid.\You look like a real bandit.\I'm supposed to be a hero, you know.\You look so dashing!\Well, you did make it for me.\It'd be a shame not to wear it. response:	The whole town is on edge now.
context: Barbarian Armor\You're rocking it, kid.\You look like a real bandit.\I'm supposed to be a hero, you know.\You look so dashing!\Well, you did make it for me.\It'd be a shame not to wear it.\The whole town is on edge now. response:	The Wave is nearly here, after all.
context: You're rocking it, kid.\You look like a real bandit.\I'm supposed to be a hero, you know.\You look so dashing!\Well, you did make it for me.\It'd be a shame not to wear it.\The whole town is on edge now.\The Wave is nearly here, after all. response:	If only I knew when and where it'll start,
context: You look like a real bandit.\I'm supposed to be a hero, you know.\You look so dashing!\Well, you did make it for me.\It'd be a shame not to wear it.\The whole town is on edge now.\The Wave is nearly here, after all.\If only I knew when and where it'll start, response:	I could come up with a plan.
context: I'm supposed to be a hero, you know.\You look so dashing!\Well, you did make it for me.\It'd be a shame not to wear it.\The whole town is on edge now.\The Wave is nearly here, after all.\If only I knew when and where it'll start,\I could come up with a plan. response:	Huh? Has nobody told you?
context: You look so dashing!\Well, you did make it for me.\It'd be a shame not to wear it.\The whole town is on edge now.\The Wave is nearly here, after all.\If only I knew when and where it'll start,\I could come up with a plan.\Huh? Has nobody told you? response:	You know that church you can see from the town square?
context: Well, you did make it for me.\It'd be a shame not to wear it.\The whole town is on edge now.\The Wave is nearly here, after all.\If only I knew when and where it'll start,\I could come up with a plan.\Huh? Has nobody told you?\You know that church you can see from the town square? response:	There's a huge hourglass inside.
context: It'd be a shame not to wear it.\The whole town is on edge now.\The Wave is nearly here, after all.\If only I knew when and where it'll start,\I could come up with a plan.\Huh? Has nobody told you?\You know that church you can see from the town square?\There's a huge hourglass inside. response:	When the last grain of sand in it falls, the heroes and their parties
context: The whole town is on edge now.\The Wave is nearly here, after all.\If only I knew when and where it'll start,\I could come up with a plan.\Huh? Has nobody told you?\You know that church you can see from the town square?\There's a huge hourglass inside.\When the last grain of sand in it falls, the heroes and their parties response:	will be sent to where the Wave begins, or so I hear.
context: The Wave is nearly here, after all.\If only I knew when and where it'll start,\I could come up with a plan.\Huh? Has nobody told you?\You know that church you can see from the town square?\There's a huge hourglass inside.\When the last grain of sand in it falls, the heroes and their parties\will be sent to where the Wave begins, or so I hear. response:	Come this way.
context: If only I knew when and where it'll start,\I could come up with a plan.\Huh? Has nobody told you?\You know that church you can see from the town square?\There's a huge hourglass inside.\When the last grain of sand in it falls, the heroes and their parties\will be sent to where the Wave begins, or so I hear.\Come this way. response:	Is this the dragon hourglass the king was talking about?
context: I could come up with a plan.\Huh? Has nobody told you?\You know that church you can see from the town square?\There's a huge hourglass inside.\When the last grain of sand in it falls, the heroes and their parties\will be sent to where the Wave begins, or so I hear.\Come this way.\Is this the dragon hourglass the king was talking about? response:	It's counting down to the Wave?
context: Huh? Has nobody told you?\You know that church you can see from the town square?\There's a huge hourglass inside.\When the last grain of sand in it falls, the heroes and their parties\will be sent to where the Wave begins, or so I hear.\Come this way.\Is this the dragon hourglass the king was talking about?\It's counting down to the Wave? response:	Is that Naofumi I see?
context: You know that church you can see from the town square?\There's a huge hourglass inside.\When the last grain of sand in it falls, the heroes and their parties\will be sent to where the Wave begins, or so I hear.\Come this way.\Is this the dragon hourglass the king was talking about?\It's counting down to the Wave?\Is that Naofumi I see? response:	Dude, come on.
context: There's a huge hourglass inside.\When the last grain of sand in it falls, the heroes and their parties\will be sent to where the Wave begins, or so I hear.\Come this way.\Is this the dragon hourglass the king was talking about?\It's counting down to the Wave?\Is that Naofumi I see?\Dude, come on. response:	You're still fighting with such flimsy equipment?
context: When the last grain of sand in it falls, the heroes and their parties\will be sent to where the Wave begins, or so I hear.\Come this way.\Is this the dragon hourglass the king was talking about?\It's counting down to the Wave?\Is that Naofumi I see?\Dude, come on.\You're still fighting with such flimsy equipment? response:	Who are they, Naofumi-sama?
context: will be sent to where the Wave begins, or so I hear.\Come this way.\Is this the dragon hourglass the king was talking about?\It's counting down to the Wave?\Is that Naofumi I see?\Dude, come on.\You're still fighting with such flimsy equipment?\Who are they, Naofumi-sama? response:	Hey! Motoyasu-sama's talking to you!
context: Come this way.\Is this the dragon hourglass the king was talking about?\It's counting down to the Wave?\Is that Naofumi I see?\Dude, come on.\You're still fighting with such flimsy equipment?\Who are they, Naofumi-sama?\Hey! Motoyasu-sama's talking to you! response:	Hello.
context: Is this the dragon hourglass the king was talking about?\It's counting down to the Wave?\Is that Naofumi I see?\Dude, come on.\You're still fighting with such flimsy equipment?\Who are they, Naofumi-sama?\Hey! Motoyasu-sama's talking to you!\Hello. response:	I'm Kitamura Motoyasu, the Spear Hero.
context: It's counting down to the Wave?\Is that Naofumi I see?\Dude, come on.\You're still fighting with such flimsy equipment?\Who are they, Naofumi-sama?\Hey! Motoyasu-sama's talking to you!\Hello.\I'm Kitamura Motoyasu, the Spear Hero. response:	Y-You're a hero?
context: Is that Naofumi I see?\Dude, come on.\You're still fighting with such flimsy equipment?\Who are they, Naofumi-sama?\Hey! Motoyasu-sama's talking to you!\Hello.\I'm Kitamura Motoyasu, the Spear Hero.\Y-You're a hero? response:	So cute!
context: Dude, come on.\You're still fighting with such flimsy equipment?\Who are they, Naofumi-sama?\Hey! Motoyasu-sama's talking to you!\Hello.\I'm Kitamura Motoyasu, the Spear Hero.\Y-You're a hero?\So cute! response:	Motoyasu-sama, why are you complimenting a filthy demi-human?
context: You're still fighting with such flimsy equipment?\Who are they, Naofumi-sama?\Hey! Motoyasu-sama's talking to you!\Hello.\I'm Kitamura Motoyasu, the Spear Hero.\Y-You're a hero?\So cute!\Motoyasu-sama, why are you complimenting a filthy demi-human? response:	A girl as adorable as you shouldn't wield a sword.
context: Who are they, Naofumi-sama?\Hey! Motoyasu-sama's talking to you!\Hello.\I'm Kitamura Motoyasu, the Spear Hero.\Y-You're a hero?\So cute!\Motoyasu-sama, why are you complimenting a filthy demi-human?\A girl as adorable as you shouldn't wield a sword. response:	I'll protect you.
context: Hey! Motoyasu-sama's talking to you!\Hello.\I'm Kitamura Motoyasu, the Spear Hero.\Y-You're a hero?\So cute!\Motoyasu-sama, why are you complimenting a filthy demi-human?\A girl as adorable as you shouldn't wield a sword.\I'll protect you. response:	I'm sorry!
context: Hello.\I'm Kitamura Motoyasu, the Spear Hero.\Y-You're a hero?\So cute!\Motoyasu-sama, why are you complimenting a filthy demi-human?\A girl as adorable as you shouldn't wield a sword.\I'll protect you.\I'm sorry! response:	I've sworn to fight with Naofumi-sama!
context: I'm Kitamura Motoyasu, the Spear Hero.\Y-You're a hero?\So cute!\Motoyasu-sama, why are you complimenting a filthy demi-human?\A girl as adorable as you shouldn't wield a sword.\I'll protect you.\I'm sorry!\I've sworn to fight with Naofumi-sama! response:	With Naofumi?
context: Y-You're a hero?\So cute!\Motoyasu-sama, why are you complimenting a filthy demi-human?\A girl as adorable as you shouldn't wield a sword.\I'll protect you.\I'm sorry!\I've sworn to fight with Naofumi-sama!\With Naofumi? response:	You can't.
context: So cute!\Motoyasu-sama, why are you complimenting a filthy demi-human?\A girl as adorable as you shouldn't wield a sword.\I'll protect you.\I'm sorry!\I've sworn to fight with Naofumi-sama!\With Naofumi?\You can't. response:	If you stay with him, you'll be in danger
context: Motoyasu-sama, why are you complimenting a filthy demi-human?\A girl as adorable as you shouldn't wield a sword.\I'll protect you.\I'm sorry!\I've sworn to fight with Naofumi-sama!\With Naofumi?\You can't.\If you stay with him, you'll be in danger response:	What?
context: A girl as adorable as you shouldn't wield a sword.\I'll protect you.\I'm sorry!\I've sworn to fight with Naofumi-sama!\With Naofumi?\You can't.\If you stay with him, you'll be in danger\What? response:	Am I not right?
context: I'll protect you.\I'm sorry!\I've sworn to fight with Naofumi-sama!\With Naofumi?\You can't.\If you stay with him, you'll be in danger\What?\Am I not right? response:	We're leaving!
context: I'm sorry!\I've sworn to fight with Naofumi-sama!\With Naofumi?\You can't.\If you stay with him, you'll be in danger\What?\Am I not right?\We're leaving! response:	Surely you've heard the rumors about him, too.
context: I've sworn to fight with Naofumi-sama!\With Naofumi?\You can't.\If you stay with him, you'll be in danger\What?\Am I not right?\We're leaving!\Surely you've heard the rumors about him, too. response:	Rumors?
context: With Naofumi?\You can't.\If you stay with him, you'll be in danger\What?\Am I not right?\We're leaving!\Surely you've heard the rumors about him, too.\Rumors? response:	See you at the Wave.
context: You can't.\If you stay with him, you'll be in danger\What?\Am I not right?\We're leaving!\Surely you've heard the rumors about him, too.\Rumors?\See you at the Wave. response:	Don't hold us back.
context: If you stay with him, you'll be in danger\What?\Am I not right?\We're leaving!\Surely you've heard the rumors about him, too.\Rumors?\See you at the Wave.\Don't hold us back. response:	U-Um...
