context: Fool! This is not a race! response:	Look Master Jaken!
context: The smell of Inuyasha's blood changed.\That's right - it was not the smell of a half-demon.\It was the same smell as my blood and our father's.\When Tetsusaiga was broken in two, I thought I was gonna die.\When I said to myself I didn't want to die...\my body started to get hot.\And before I realized it, I had killed Goshinki.\At that time, I felt something I never felt before... response:	something strange.
context: That's right - it was not the smell of a half-demon.\It was the same smell as my blood and our father's.\When Tetsusaiga was broken in two, I thought I was gonna die.\When I said to myself I didn't want to die...\my body started to get hot.\And before I realized it, I had killed Goshinki.\At that time, I felt something I never felt before...\something strange. response:	I only felt pleasure at tearing apart Goshinki.
context: It was the same smell as my blood and our father's.\When Tetsusaiga was broken in two, I thought I was gonna die.\When I said to myself I didn't want to die...\my body started to get hot.\And before I realized it, I had killed Goshinki.\At that time, I felt something I never felt before...\something strange.\I only felt pleasure at tearing apart Goshinki. response:	Here.
context: When Tetsusaiga was broken in two, I thought I was gonna die.\When I said to myself I didn't want to die...\my body started to get hot.\And before I realized it, I had killed Goshinki.\At that time, I felt something I never felt before...\something strange.\I only felt pleasure at tearing apart Goshinki.\Here. response:	It's ready.
context: When I said to myself I didn't want to die...\my body started to get hot.\And before I realized it, I had killed Goshinki.\At that time, I felt something I never felt before...\something strange.\I only felt pleasure at tearing apart Goshinki.\Here.\It's ready. response:	Let's eat.
context: my body started to get hot.\And before I realized it, I had killed Goshinki.\At that time, I felt something I never felt before...\something strange.\I only felt pleasure at tearing apart Goshinki.\Here.\It's ready.\Let's eat. response:	Yeah...
context: And before I realized it, I had killed Goshinki.\At that time, I felt something I never felt before...\something strange.\I only felt pleasure at tearing apart Goshinki.\Here.\It's ready.\Let's eat.\Yeah... response:	What's the matter?
context: At that time, I felt something I never felt before...\something strange.\I only felt pleasure at tearing apart Goshinki.\Here.\It's ready.\Let's eat.\Yeah...\What's the matter? response:	Moping over some broken sword!
context: something strange.\I only felt pleasure at tearing apart Goshinki.\Here.\It's ready.\Let's eat.\Yeah...\What's the matter?\Moping over some broken sword! response:	My fish!
context: I only felt pleasure at tearing apart Goshinki.\Here.\It's ready.\Let's eat.\Yeah...\What's the matter?\Moping over some broken sword!\My fish! response:	This is the bull that belongs to Totosai, the swordsmith who forged Tetsusaiga.
context: Here.\It's ready.\Let's eat.\Yeah...\What's the matter?\Moping over some broken sword!\My fish!\This is the bull that belongs to Totosai, the swordsmith who forged Tetsusaiga. response:	Only his bull?
context: It's ready.\Let's eat.\Yeah...\What's the matter?\Moping over some broken sword!\My fish!\This is the bull that belongs to Totosai, the swordsmith who forged Tetsusaiga.\Only his bull? response:	Master Inuyasha!
context: Let's eat.\Yeah...\What's the matter?\Moping over some broken sword!\My fish!\This is the bull that belongs to Totosai, the swordsmith who forged Tetsusaiga.\Only his bull?\Master Inuyasha! response:	Old Myoga!
context: Yeah...\What's the matter?\Moping over some broken sword!\My fish!\This is the bull that belongs to Totosai, the swordsmith who forged Tetsusaiga.\Only his bull?\Master Inuyasha!\Old Myoga! response:	Myoga! So you were hiding out at Totosai's?
context: What's the matter?\Moping over some broken sword!\My fish!\This is the bull that belongs to Totosai, the swordsmith who forged Tetsusaiga.\Only his bull?\Master Inuyasha!\Old Myoga!\Myoga! So you were hiding out at Totosai's? response:	How rude you are!
context: Moping over some broken sword!\My fish!\This is the bull that belongs to Totosai, the swordsmith who forged Tetsusaiga.\Only his bull?\Master Inuyasha!\Old Myoga!\Myoga! So you were hiding out at Totosai's?\How rude you are! response:	You ran away to him.
context: My fish!\This is the bull that belongs to Totosai, the swordsmith who forged Tetsusaiga.\Only his bull?\Master Inuyasha!\Old Myoga!\Myoga! So you were hiding out at Totosai's?\How rude you are!\You ran away to him. response:	You ran away.
context: This is the bull that belongs to Totosai, the swordsmith who forged Tetsusaiga.\Only his bull?\Master Inuyasha!\Old Myoga!\Myoga! So you were hiding out at Totosai's?\How rude you are!\You ran away to him.\You ran away. response:	Never mind that. Master Inuyasha...
context: Only his bull?\Master Inuyasha!\Old Myoga!\Myoga! So you were hiding out at Totosai's?\How rude you are!\You ran away to him.\You ran away.\Never mind that. Master Inuyasha... response:	What happened to Tetsusaiga?
context: Master Inuyasha!\Old Myoga!\Myoga! So you were hiding out at Totosai's?\How rude you are!\You ran away to him.\You ran away.\Never mind that. Master Inuyasha...\What happened to Tetsusaiga? response:	Oh... no!!
context: Old Myoga!\Myoga! So you were hiding out at Totosai's?\How rude you are!\You ran away to him.\You ran away.\Never mind that. Master Inuyasha...\What happened to Tetsusaiga?\Oh... no!! response:	This demon called Goshinki bit it in two.
context: Myoga! So you were hiding out at Totosai's?\How rude you are!\You ran away to him.\You ran away.\Never mind that. Master Inuyasha...\What happened to Tetsusaiga?\Oh... no!!\This demon called Goshinki bit it in two. response:	I knew it.
context: How rude you are!\You ran away to him.\You ran away.\Never mind that. Master Inuyasha...\What happened to Tetsusaiga?\Oh... no!!\This demon called Goshinki bit it in two.\I knew it. response:	I came when I noticed that the scent of Master Inuyasha's blood had changed.
context: You ran away to him.\You ran away.\Never mind that. Master Inuyasha...\What happened to Tetsusaiga?\Oh... no!!\This demon called Goshinki bit it in two.\I knew it.\I came when I noticed that the scent of Master Inuyasha's blood had changed. response:	Master Inuyasha, you must take the pieces of the sword...
context: You ran away.\Never mind that. Master Inuyasha...\What happened to Tetsusaiga?\Oh... no!!\This demon called Goshinki bit it in two.\I knew it.\I came when I noticed that the scent of Master Inuyasha's blood had changed.\Master Inuyasha, you must take the pieces of the sword... response:	and go to Master Totosai.
context: Never mind that. Master Inuyasha...\What happened to Tetsusaiga?\Oh... no!!\This demon called Goshinki bit it in two.\I knew it.\I came when I noticed that the scent of Master Inuyasha's blood had changed.\Master Inuyasha, you must take the pieces of the sword...\and go to Master Totosai. response:	Does that mean the Tetsusaiga can be repaired?
context: What happened to Tetsusaiga?\Oh... no!!\This demon called Goshinki bit it in two.\I knew it.\I came when I noticed that the scent of Master Inuyasha's blood had changed.\Master Inuyasha, you must take the pieces of the sword...\and go to Master Totosai.\Does that mean the Tetsusaiga can be repaired? response:	Yes!
context: Oh... no!!\This demon called Goshinki bit it in two.\I knew it.\I came when I noticed that the scent of Master Inuyasha's blood had changed.\Master Inuyasha, you must take the pieces of the sword...\and go to Master Totosai.\Does that mean the Tetsusaiga can be repaired?\Yes! response:	That bull will take you to Totosai.
context: This demon called Goshinki bit it in two.\I knew it.\I came when I noticed that the scent of Master Inuyasha's blood had changed.\Master Inuyasha, you must take the pieces of the sword...\and go to Master Totosai.\Does that mean the Tetsusaiga can be repaired?\Yes!\That bull will take you to Totosai. response:	Now hurry!
context: I knew it.\I came when I noticed that the scent of Master Inuyasha's blood had changed.\Master Inuyasha, you must take the pieces of the sword...\and go to Master Totosai.\Does that mean the Tetsusaiga can be repaired?\Yes!\That bull will take you to Totosai.\Now hurry! response:	Well, see ya!
context: I came when I noticed that the scent of Master Inuyasha's blood had changed.\Master Inuyasha, you must take the pieces of the sword...\and go to Master Totosai.\Does that mean the Tetsusaiga can be repaired?\Yes!\That bull will take you to Totosai.\Now hurry!\Well, see ya! response:	Master Inuyasha really transformed?
context: Master Inuyasha, you must take the pieces of the sword...\and go to Master Totosai.\Does that mean the Tetsusaiga can be repaired?\Yes!\That bull will take you to Totosai.\Now hurry!\Well, see ya!\Master Inuyasha really transformed? response:	Yes.
context: and go to Master Totosai.\Does that mean the Tetsusaiga can be repaired?\Yes!\That bull will take you to Totosai.\Now hurry!\Well, see ya!\Master Inuyasha really transformed?\Yes. response:	Does that have anything to do with Tetsusaiga being broken?
context: Does that mean the Tetsusaiga can be repaired?\Yes!\That bull will take you to Totosai.\Now hurry!\Well, see ya!\Master Inuyasha really transformed?\Yes.\Does that have anything to do with Tetsusaiga being broken? response:	Yes.
context: Yes!\That bull will take you to Totosai.\Now hurry!\Well, see ya!\Master Inuyasha really transformed?\Yes.\Does that have anything to do with Tetsusaiga being broken?\Yes. response:	You know the Tetsusaiga is an heirloom left to Master Inuyasha by his father.
context: That bull will take you to Totosai.\Now hurry!\Well, see ya!\Master Inuyasha really transformed?\Yes.\Does that have anything to do with Tetsusaiga being broken?\Yes.\You know the Tetsusaiga is an heirloom left to Master Inuyasha by his father. response:	Besides protecting Master Inuyasha from his enemies...
context: Now hurry!\Well, see ya!\Master Inuyasha really transformed?\Yes.\Does that have anything to do with Tetsusaiga being broken?\Yes.\You know the Tetsusaiga is an heirloom left to Master Inuyasha by his father.\Besides protecting Master Inuyasha from his enemies... response:	it also serves to keep the demon side of him sealed.
context: Well, see ya!\Master Inuyasha really transformed?\Yes.\Does that have anything to do with Tetsusaiga being broken?\Yes.\You know the Tetsusaiga is an heirloom left to Master Inuyasha by his father.\Besides protecting Master Inuyasha from his enemies...\it also serves to keep the demon side of him sealed. response:	Seal the demon side of him?
context: Master Inuyasha really transformed?\Yes.\Does that have anything to do with Tetsusaiga being broken?\Yes.\You know the Tetsusaiga is an heirloom left to Master Inuyasha by his father.\Besides protecting Master Inuyasha from his enemies...\it also serves to keep the demon side of him sealed.\Seal the demon side of him? response:	The Tetsusaiga being broken means Inuyasha will die.
context: Yes.\Does that have anything to do with Tetsusaiga being broken?\Yes.\You know the Tetsusaiga is an heirloom left to Master Inuyasha by his father.\Besides protecting Master Inuyasha from his enemies...\it also serves to keep the demon side of him sealed.\Seal the demon side of him?\The Tetsusaiga being broken means Inuyasha will die. response:	Yet the strong desire to live...
context: Does that have anything to do with Tetsusaiga being broken?\Yes.\You know the Tetsusaiga is an heirloom left to Master Inuyasha by his father.\Besides protecting Master Inuyasha from his enemies...\it also serves to keep the demon side of him sealed.\Seal the demon side of him?\The Tetsusaiga being broken means Inuyasha will die.\Yet the strong desire to live... response:	awakened the demon's blood which flows through him.
context: Yes.\You know the Tetsusaiga is an heirloom left to Master Inuyasha by his father.\Besides protecting Master Inuyasha from his enemies...\it also serves to keep the demon side of him sealed.\Seal the demon side of him?\The Tetsusaiga being broken means Inuyasha will die.\Yet the strong desire to live...\awakened the demon's blood which flows through him. response:	Once awakened, even if the Tetsusaiga is repaired...
context: You know the Tetsusaiga is an heirloom left to Master Inuyasha by his father.\Besides protecting Master Inuyasha from his enemies...\it also serves to keep the demon side of him sealed.\Seal the demon side of him?\The Tetsusaiga being broken means Inuyasha will die.\Yet the strong desire to live...\awakened the demon's blood which flows through him.\Once awakened, even if the Tetsusaiga is repaired... response:	that part of him will be harder to control.
context: Besides protecting Master Inuyasha from his enemies...\it also serves to keep the demon side of him sealed.\Seal the demon side of him?\The Tetsusaiga being broken means Inuyasha will die.\Yet the strong desire to live...\awakened the demon's blood which flows through him.\Once awakened, even if the Tetsusaiga is repaired...\that part of him will be harder to control. response:	He has tasted the pleasure of slaying an enemy.
context: it also serves to keep the demon side of him sealed.\Seal the demon side of him?\The Tetsusaiga being broken means Inuyasha will die.\Yet the strong desire to live...\awakened the demon's blood which flows through him.\Once awakened, even if the Tetsusaiga is repaired...\that part of him will be harder to control.\He has tasted the pleasure of slaying an enemy. response:	Does that mean Inuyasha's heart is becoming a demon's?
context: Seal the demon side of him?\The Tetsusaiga being broken means Inuyasha will die.\Yet the strong desire to live...\awakened the demon's blood which flows through him.\Once awakened, even if the Tetsusaiga is repaired...\that part of him will be harder to control.\He has tasted the pleasure of slaying an enemy.\Does that mean Inuyasha's heart is becoming a demon's? response:	Y-you!
context: The Tetsusaiga being broken means Inuyasha will die.\Yet the strong desire to live...\awakened the demon's blood which flows through him.\Once awakened, even if the Tetsusaiga is repaired...\that part of him will be harder to control.\He has tasted the pleasure of slaying an enemy.\Does that mean Inuyasha's heart is becoming a demon's?\Y-you! response:	Inuyasha...
context: Yet the strong desire to live...\awakened the demon's blood which flows through him.\Once awakened, even if the Tetsusaiga is repaired...\that part of him will be harder to control.\He has tasted the pleasure of slaying an enemy.\Does that mean Inuyasha's heart is becoming a demon's?\Y-you!\Inuyasha... response:	Oh you... are such a fool!
context: awakened the demon's blood which flows through him.\Once awakened, even if the Tetsusaiga is repaired...\that part of him will be harder to control.\He has tasted the pleasure of slaying an enemy.\Does that mean Inuyasha's heart is becoming a demon's?\Y-you!\Inuyasha...\Oh you... are such a fool! response:	Look what you did to my dear, dear Tetsusaiga.
context: Once awakened, even if the Tetsusaiga is repaired...\that part of him will be harder to control.\He has tasted the pleasure of slaying an enemy.\Does that mean Inuyasha's heart is becoming a demon's?\Y-you!\Inuyasha...\Oh you... are such a fool!\Look what you did to my dear, dear Tetsusaiga. response:	Will you shaddup?!
context: that part of him will be harder to control.\He has tasted the pleasure of slaying an enemy.\Does that mean Inuyasha's heart is becoming a demon's?\Y-you!\Inuyasha...\Oh you... are such a fool!\Look what you did to my dear, dear Tetsusaiga.\Will you shaddup?! response:	Instead of bawling, hurry and fix my sword, old fool!
context: He has tasted the pleasure of slaying an enemy.\Does that mean Inuyasha's heart is becoming a demon's?\Y-you!\Inuyasha...\Oh you... are such a fool!\Look what you did to my dear, dear Tetsusaiga.\Will you shaddup?!\Instead of bawling, hurry and fix my sword, old fool! response:	You young punk! You think it's so easy!
context: Does that mean Inuyasha's heart is becoming a demon's?\Y-you!\Inuyasha...\Oh you... are such a fool!\Look what you did to my dear, dear Tetsusaiga.\Will you shaddup?!\Instead of bawling, hurry and fix my sword, old fool!\You young punk! You think it's so easy! response:	Can't you fix it?
context: Y-you!\Inuyasha...\Oh you... are such a fool!\Look what you did to my dear, dear Tetsusaiga.\Will you shaddup?!\Instead of bawling, hurry and fix my sword, old fool!\You young punk! You think it's so easy!\Can't you fix it? response:	You're speaking to Totosai!
context: Inuyasha...\Oh you... are such a fool!\Look what you did to my dear, dear Tetsusaiga.\Will you shaddup?!\Instead of bawling, hurry and fix my sword, old fool!\You young punk! You think it's so easy!\Can't you fix it?\You're speaking to Totosai! response:	I can put it back in three days and three nights.
context: Oh you... are such a fool!\Look what you did to my dear, dear Tetsusaiga.\Will you shaddup?!\Instead of bawling, hurry and fix my sword, old fool!\You young punk! You think it's so easy!\Can't you fix it?\You're speaking to Totosai!\I can put it back in three days and three nights. response:	However, I need something to bond it with.
context: Look what you did to my dear, dear Tetsusaiga.\Will you shaddup?!\Instead of bawling, hurry and fix my sword, old fool!\You young punk! You think it's so easy!\Can't you fix it?\You're speaking to Totosai!\I can put it back in three days and three nights.\However, I need something to bond it with. response:	Bond?
context: Will you shaddup?!\Instead of bawling, hurry and fix my sword, old fool!\You young punk! You think it's so easy!\Can't you fix it?\You're speaking to Totosai!\I can put it back in three days and three nights.\However, I need something to bond it with.\Bond? response:	Inuyasha, open your mouth.
context: Instead of bawling, hurry and fix my sword, old fool!\You young punk! You think it's so easy!\Can't you fix it?\You're speaking to Totosai!\I can put it back in three days and three nights.\However, I need something to bond it with.\Bond?\Inuyasha, open your mouth. response:	Like this?
context: You young punk! You think it's so easy!\Can't you fix it?\You're speaking to Totosai!\I can put it back in three days and three nights.\However, I need something to bond it with.\Bond?\Inuyasha, open your mouth.\Like this? response:	Well, I guess this fang will do.
context: Can't you fix it?\You're speaking to Totosai!\I can put it back in three days and three nights.\However, I need something to bond it with.\Bond?\Inuyasha, open your mouth.\Like this?\Well, I guess this fang will do. response:	What're you doing?!
context: You're speaking to Totosai!\I can put it back in three days and three nights.\However, I need something to bond it with.\Bond?\Inuyasha, open your mouth.\Like this?\Well, I guess this fang will do.\What're you doing?! response:	Silence! Your fang will grow back in half a day!
context: I can put it back in three days and three nights.\However, I need something to bond it with.\Bond?\Inuyasha, open your mouth.\Like this?\Well, I guess this fang will do.\What're you doing?!\Silence! Your fang will grow back in half a day! response:	Damn you are such a pain in the neck!
context: However, I need something to bond it with.\Bond?\Inuyasha, open your mouth.\Like this?\Well, I guess this fang will do.\What're you doing?!\Silence! Your fang will grow back in half a day!\Damn you are such a pain in the neck! response:	Make sure you bring it to me fixed in three days!
context: Bond?\Inuyasha, open your mouth.\Like this?\Well, I guess this fang will do.\What're you doing?!\Silence! Your fang will grow back in half a day!\Damn you are such a pain in the neck!\Make sure you bring it to me fixed in three days! response:	Why three days?
context: Inuyasha, open your mouth.\Like this?\Well, I guess this fang will do.\What're you doing?!\Silence! Your fang will grow back in half a day!\Damn you are such a pain in the neck!\Make sure you bring it to me fixed in three days!\Why three days? response:	You just said you can fix it in three days and three nights!
context: Like this?\Well, I guess this fang will do.\What're you doing?!\Silence! Your fang will grow back in half a day!\Damn you are such a pain in the neck!\Make sure you bring it to me fixed in three days!\Why three days?\You just said you can fix it in three days and three nights! response:	Cripes! I'm counting on ya, old man!
context: Well, I guess this fang will do.\What're you doing?!\Silence! Your fang will grow back in half a day!\Damn you are such a pain in the neck!\Make sure you bring it to me fixed in three days!\Why three days?\You just said you can fix it in three days and three nights!\Cripes! I'm counting on ya, old man! response:	See ya!
context: What're you doing?!\Silence! Your fang will grow back in half a day!\Damn you are such a pain in the neck!\Make sure you bring it to me fixed in three days!\Why three days?\You just said you can fix it in three days and three nights!\Cripes! I'm counting on ya, old man!\See ya! response:	All right... you can look forward to it.
context: Silence! Your fang will grow back in half a day!\Damn you are such a pain in the neck!\Make sure you bring it to me fixed in three days!\Why three days?\You just said you can fix it in three days and three nights!\Cripes! I'm counting on ya, old man!\See ya!\All right... you can look forward to it. response:	Who are you?
context: Damn you are such a pain in the neck!\Make sure you bring it to me fixed in three days!\Why three days?\You just said you can fix it in three days and three nights!\Cripes! I'm counting on ya, old man!\See ya!\All right... you can look forward to it.\Who are you? response:	You are Kaijinbo?
context: Make sure you bring it to me fixed in three days!\Why three days?\You just said you can fix it in three days and three nights!\Cripes! I'm counting on ya, old man!\See ya!\All right... you can look forward to it.\Who are you?\You are Kaijinbo? response:	Because you created too many deviant swords...
context: Why three days?\You just said you can fix it in three days and three nights!\Cripes! I'm counting on ya, old man!\See ya!\All right... you can look forward to it.\Who are you?\You are Kaijinbo?\Because you created too many deviant swords... response:	you were banished by your master, Totosai.
context: You just said you can fix it in three days and three nights!\Cripes! I'm counting on ya, old man!\See ya!\All right... you can look forward to it.\Who are you?\You are Kaijinbo?\Because you created too many deviant swords...\you were banished by your master, Totosai. response:	Totosai, huh?
context: Cripes! I'm counting on ya, old man!\See ya!\All right... you can look forward to it.\Who are you?\You are Kaijinbo?\Because you created too many deviant swords...\you were banished by your master, Totosai.\Totosai, huh? response:	Haven't heard that name in quite a while...
context: See ya!\All right... you can look forward to it.\Who are you?\You are Kaijinbo?\Because you created too many deviant swords...\you were banished by your master, Totosai.\Totosai, huh?\Haven't heard that name in quite a while... response:	but it still makes my blood boil.
context: All right... you can look forward to it.\Who are you?\You are Kaijinbo?\Because you created too many deviant swords...\you were banished by your master, Totosai.\Totosai, huh?\Haven't heard that name in quite a while...\but it still makes my blood boil. response:	Well, Kaijinbo?
context: Who are you?\You are Kaijinbo?\Because you created too many deviant swords...\you were banished by your master, Totosai.\Totosai, huh?\Haven't heard that name in quite a while...\but it still makes my blood boil.\Well, Kaijinbo? response:	Would you like to forge a sword out of that demon's fangs?
context: You are Kaijinbo?\Because you created too many deviant swords...\you were banished by your master, Totosai.\Totosai, huh?\Haven't heard that name in quite a while...\but it still makes my blood boil.\Well, Kaijinbo?\Would you like to forge a sword out of that demon's fangs? response:	Don't joke!
context: Because you created too many deviant swords...\you were banished by your master, Totosai.\Totosai, huh?\Haven't heard that name in quite a while...\but it still makes my blood boil.\Well, Kaijinbo?\Would you like to forge a sword out of that demon's fangs?\Don't joke! response:	No way can I make a sword out of something that's dead!
context: you were banished by your master, Totosai.\Totosai, huh?\Haven't heard that name in quite a while...\but it still makes my blood boil.\Well, Kaijinbo?\Would you like to forge a sword out of that demon's fangs?\Don't joke!\No way can I make a sword out of something that's dead! response:	Is Lord Sesshomaru going to use the Tenseiga, the sword of healing?
context: Totosai, huh?\Haven't heard that name in quite a while...\but it still makes my blood boil.\Well, Kaijinbo?\Would you like to forge a sword out of that demon's fangs?\Don't joke!\No way can I make a sword out of something that's dead!\Is Lord Sesshomaru going to use the Tenseiga, the sword of healing? response:	I can see...
context: Haven't heard that name in quite a while...\but it still makes my blood boil.\Well, Kaijinbo?\Would you like to forge a sword out of that demon's fangs?\Don't joke!\No way can I make a sword out of something that's dead!\Is Lord Sesshomaru going to use the Tenseiga, the sword of healing?\I can see... response:	the messengers from the netherworld.
context: but it still makes my blood boil.\Well, Kaijinbo?\Would you like to forge a sword out of that demon's fangs?\Don't joke!\No way can I make a sword out of something that's dead!\Is Lord Sesshomaru going to use the Tenseiga, the sword of healing?\I can see...\the messengers from the netherworld. response:	Wow, this is totally different from earlier!
context: Well, Kaijinbo?\Would you like to forge a sword out of that demon's fangs?\Don't joke!\No way can I make a sword out of something that's dead!\Is Lord Sesshomaru going to use the Tenseiga, the sword of healing?\I can see...\the messengers from the netherworld.\Wow, this is totally different from earlier! response:	Kaijinbo, let me tell you.
context: Would you like to forge a sword out of that demon's fangs?\Don't joke!\No way can I make a sword out of something that's dead!\Is Lord Sesshomaru going to use the Tenseiga, the sword of healing?\I can see...\the messengers from the netherworld.\Wow, this is totally different from earlier!\Kaijinbo, let me tell you. response:	This sword, the Tenseiga, was forged by the master who banished you.
context: Don't joke!\No way can I make a sword out of something that's dead!\Is Lord Sesshomaru going to use the Tenseiga, the sword of healing?\I can see...\the messengers from the netherworld.\Wow, this is totally different from earlier!\Kaijinbo, let me tell you.\This sword, the Tenseiga, was forged by the master who banished you. response:	And the fangs of that demon...
context: No way can I make a sword out of something that's dead!\Is Lord Sesshomaru going to use the Tenseiga, the sword of healing?\I can see...\the messengers from the netherworld.\Wow, this is totally different from earlier!\Kaijinbo, let me tell you.\This sword, the Tenseiga, was forged by the master who banished you.\And the fangs of that demon... response:	broke the Tetsusaiga, a sword also forged by Totosai.
context: Is Lord Sesshomaru going to use the Tenseiga, the sword of healing?\I can see...\the messengers from the netherworld.\Wow, this is totally different from earlier!\Kaijinbo, let me tell you.\This sword, the Tenseiga, was forged by the master who banished you.\And the fangs of that demon...\broke the Tetsusaiga, a sword also forged by Totosai. response:	Amazing. These fangs will make a most powerful sword!
context: I can see...\the messengers from the netherworld.\Wow, this is totally different from earlier!\Kaijinbo, let me tell you.\This sword, the Tenseiga, was forged by the master who banished you.\And the fangs of that demon...\broke the Tetsusaiga, a sword also forged by Totosai.\Amazing. These fangs will make a most powerful sword! response:	Tetsusaiga should be repaired by tomorrow.
