context: You've gotta be kidding! Even if it is Feudal Japan... response:	There's no hot baths?!
context: This Jewel of Four Souls, which belonged to some Kikyoperson...\How did it end up in ME?\Now I have to team up with a half-demon called Inuyasha...\who wants Jewel's power...\and who intends to keep the fragments for himself.\Am I dreaming?\But it's NOTa dream!\What's going on?! response:	Stop barking, Inuyasha.
context: How did it end up in ME?\Now I have to team up with a half-demon called Inuyasha...\who wants Jewel's power...\and who intends to keep the fragments for himself.\Am I dreaming?\But it's NOTa dream!\What's going on?!\Stop barking, Inuyasha. response:	What happened to the Jewel?!
context: Now I have to team up with a half-demon called Inuyasha...\who wants Jewel's power...\and who intends to keep the fragments for himself.\Am I dreaming?\But it's NOTa dream!\What's going on?!\Stop barking, Inuyasha.\What happened to the Jewel?! response:	The arrow to which Kagome attached the crow's feet...
context: who wants Jewel's power...\and who intends to keep the fragments for himself.\Am I dreaming?\But it's NOTa dream!\What's going on?!\Stop barking, Inuyasha.\What happened to the Jewel?!\The arrow to which Kagome attached the crow's feet... response:	hit the Corpse Crow and destroyed it...
context: and who intends to keep the fragments for himself.\Am I dreaming?\But it's NOTa dream!\What's going on?!\Stop barking, Inuyasha.\What happened to the Jewel?!\The arrow to which Kagome attached the crow's feet...\hit the Corpse Crow and destroyed it... response:	but it also shattered the Sacred Jewel.
context: Am I dreaming?\But it's NOTa dream!\What's going on?!\Stop barking, Inuyasha.\What happened to the Jewel?!\The arrow to which Kagome attached the crow's feet...\hit the Corpse Crow and destroyed it...\but it also shattered the Sacred Jewel. response:	In other words, fragments of the Sacred Jewel...
context: But it's NOTa dream!\What's going on?!\Stop barking, Inuyasha.\What happened to the Jewel?!\The arrow to which Kagome attached the crow's feet...\hit the Corpse Crow and destroyed it...\but it also shattered the Sacred Jewel.\In other words, fragments of the Sacred Jewel... response:	have been scattered throughout the world.
context: What's going on?!\Stop barking, Inuyasha.\What happened to the Jewel?!\The arrow to which Kagome attached the crow's feet...\hit the Corpse Crow and destroyed it...\but it also shattered the Sacred Jewel.\In other words, fragments of the Sacred Jewel...\have been scattered throughout the world. response:	Who knows whether there were one hundred fragments...
context: Stop barking, Inuyasha.\What happened to the Jewel?!\The arrow to which Kagome attached the crow's feet...\hit the Corpse Crow and destroyed it...\but it also shattered the Sacred Jewel.\In other words, fragments of the Sacred Jewel...\have been scattered throughout the world.\Who knows whether there were one hundred fragments... response:	or a thousand.
context: What happened to the Jewel?!\The arrow to which Kagome attached the crow's feet...\hit the Corpse Crow and destroyed it...\but it also shattered the Sacred Jewel.\In other words, fragments of the Sacred Jewel...\have been scattered throughout the world.\Who knows whether there were one hundred fragments...\or a thousand. response:	Should even one fragment fall into evil hands, however...
context: The arrow to which Kagome attached the crow's feet...\hit the Corpse Crow and destroyed it...\but it also shattered the Sacred Jewel.\In other words, fragments of the Sacred Jewel...\have been scattered throughout the world.\Who knows whether there were one hundred fragments...\or a thousand.\Should even one fragment fall into evil hands, however... response:	the destruction will be incalculable.
context: hit the Corpse Crow and destroyed it...\but it also shattered the Sacred Jewel.\In other words, fragments of the Sacred Jewel...\have been scattered throughout the world.\Who knows whether there were one hundred fragments...\or a thousand.\Should even one fragment fall into evil hands, however...\the destruction will be incalculable. response:	It wasn't my fault...
context: but it also shattered the Sacred Jewel.\In other words, fragments of the Sacred Jewel...\have been scattered throughout the world.\Who knows whether there were one hundred fragments...\or a thousand.\Should even one fragment fall into evil hands, however...\the destruction will be incalculable.\It wasn't my fault... response:	was it?
context: In other words, fragments of the Sacred Jewel...\have been scattered throughout the world.\Who knows whether there were one hundred fragments...\or a thousand.\Should even one fragment fall into evil hands, however...\the destruction will be incalculable.\It wasn't my fault...\was it? response:	I feel sort of responsible.
context: have been scattered throughout the world.\Who knows whether there were one hundred fragments...\or a thousand.\Should even one fragment fall into evil hands, however...\the destruction will be incalculable.\It wasn't my fault...\was it?\I feel sort of responsible. response:	Kagome, Inuyasha...
context: Who knows whether there were one hundred fragments...\or a thousand.\Should even one fragment fall into evil hands, however...\the destruction will be incalculable.\It wasn't my fault...\was it?\I feel sort of responsible.\Kagome, Inuyasha... response:	You must use your combined strength to gather the fragments...
context: or a thousand.\Should even one fragment fall into evil hands, however...\the destruction will be incalculable.\It wasn't my fault...\was it?\I feel sort of responsible.\Kagome, Inuyasha...\You must use your combined strength to gather the fragments... response:	and restore the Sacred Jewel!
context: Should even one fragment fall into evil hands, however...\the destruction will be incalculable.\It wasn't my fault...\was it?\I feel sort of responsible.\Kagome, Inuyasha...\You must use your combined strength to gather the fragments...\and restore the Sacred Jewel! response:	Huh?
context: the destruction will be incalculable.\It wasn't my fault...\was it?\I feel sort of responsible.\Kagome, Inuyasha...\You must use your combined strength to gather the fragments...\and restore the Sacred Jewel!\Huh? response:	Listen up, old hag!
context: It wasn't my fault...\was it?\I feel sort of responsible.\Kagome, Inuyasha...\You must use your combined strength to gather the fragments...\and restore the Sacred Jewel!\Huh?\Listen up, old hag! response:	I'm one of the evil-doers looking for the Jewel!
context: was it?\I feel sort of responsible.\Kagome, Inuyasha...\You must use your combined strength to gather the fragments...\and restore the Sacred Jewel!\Huh?\Listen up, old hag!\I'm one of the evil-doers looking for the Jewel! response:	It cannot be helped...
context: I feel sort of responsible.\Kagome, Inuyasha...\You must use your combined strength to gather the fragments...\and restore the Sacred Jewel!\Huh?\Listen up, old hag!\I'm one of the evil-doers looking for the Jewel!\It cannot be helped... response:	But... I have to go home.
context: Kagome, Inuyasha...\You must use your combined strength to gather the fragments...\and restore the Sacred Jewel!\Huh?\Listen up, old hag!\I'm one of the evil-doers looking for the Jewel!\It cannot be helped...\But... I have to go home. response:	Besides, I don't have such powers.
context: You must use your combined strength to gather the fragments...\and restore the Sacred Jewel!\Huh?\Listen up, old hag!\I'm one of the evil-doers looking for the Jewel!\It cannot be helped...\But... I have to go home.\Besides, I don't have such powers. response:	And Inuyasha is so selfish.
context: and restore the Sacred Jewel!\Huh?\Listen up, old hag!\I'm one of the evil-doers looking for the Jewel!\It cannot be helped...\But... I have to go home.\Besides, I don't have such powers.\And Inuyasha is so selfish. response:	Sit!!
context: Huh?\Listen up, old hag!\I'm one of the evil-doers looking for the Jewel!\It cannot be helped...\But... I have to go home.\Besides, I don't have such powers.\And Inuyasha is so selfish.\Sit!! response:	So you are here, Inuyasha.
context: Listen up, old hag!\I'm one of the evil-doers looking for the Jewel!\It cannot be helped...\But... I have to go home.\Besides, I don't have such powers.\And Inuyasha is so selfish.\Sit!!\So you are here, Inuyasha. response:	Rrragh!
context: I'm one of the evil-doers looking for the Jewel!\It cannot be helped...\But... I have to go home.\Besides, I don't have such powers.\And Inuyasha is so selfish.\Sit!!\So you are here, Inuyasha.\Rrragh! response:	I'd forgotten about the subjugawhatchamacallit.
context: It cannot be helped...\But... I have to go home.\Besides, I don't have such powers.\And Inuyasha is so selfish.\Sit!!\So you are here, Inuyasha.\Rrragh!\I'd forgotten about the subjugawhatchamacallit. response:	Shame on you! Spying like that!
context: But... I have to go home.\Besides, I don't have such powers.\And Inuyasha is so selfish.\Sit!!\So you are here, Inuyasha.\Rrragh!\I'd forgotten about the subjugawhatchamacallit.\Shame on you! Spying like that! response:	Huh?!
context: Besides, I don't have such powers.\And Inuyasha is so selfish.\Sit!!\So you are here, Inuyasha.\Rrragh!\I'd forgotten about the subjugawhatchamacallit.\Shame on you! Spying like that!\Huh?! response:	Yeah, right! All I was doing was...
context: And Inuyasha is so selfish.\Sit!!\So you are here, Inuyasha.\Rrragh!\I'd forgotten about the subjugawhatchamacallit.\Shame on you! Spying like that!\Huh?!\Yeah, right! All I was doing was... response:	If you knew, why'd you ask?
context: Sit!!\So you are here, Inuyasha.\Rrragh!\I'd forgotten about the subjugawhatchamacallit.\Shame on you! Spying like that!\Huh?!\Yeah, right! All I was doing was...\If you knew, why'd you ask? response:	The future looks very bleak...
context: So you are here, Inuyasha.\Rrragh!\I'd forgotten about the subjugawhatchamacallit.\Shame on you! Spying like that!\Huh?!\Yeah, right! All I was doing was...\If you knew, why'd you ask?\The future looks very bleak... response:	Inuyasha, unless you join forces...
context: Rrragh!\I'd forgotten about the subjugawhatchamacallit.\Shame on you! Spying like that!\Huh?!\Yeah, right! All I was doing was...\If you knew, why'd you ask?\The future looks very bleak...\Inuyasha, unless you join forces... response:	with Kagome, who has the ability to see the Jewel...
context: I'd forgotten about the subjugawhatchamacallit.\Shame on you! Spying like that!\Huh?!\Yeah, right! All I was doing was...\If you knew, why'd you ask?\The future looks very bleak...\Inuyasha, unless you join forces...\with Kagome, who has the ability to see the Jewel... response:	there is no way all of the fragments will be found.
context: Shame on you! Spying like that!\Huh?!\Yeah, right! All I was doing was...\If you knew, why'd you ask?\The future looks very bleak...\Inuyasha, unless you join forces...\with Kagome, who has the ability to see the Jewel...\there is no way all of the fragments will be found. response:	And I'm tellin' you that if it's for the sake of the Sacred Jewel...
context: Huh?!\Yeah, right! All I was doing was...\If you knew, why'd you ask?\The future looks very bleak...\Inuyasha, unless you join forces...\with Kagome, who has the ability to see the Jewel...\there is no way all of the fragments will be found.\And I'm tellin' you that if it's for the sake of the Sacred Jewel... response:	I'll put up with the dumb girl, so stop worryin'!
context: Yeah, right! All I was doing was...\If you knew, why'd you ask?\The future looks very bleak...\Inuyasha, unless you join forces...\with Kagome, who has the ability to see the Jewel...\there is no way all of the fragments will be found.\And I'm tellin' you that if it's for the sake of the Sacred Jewel...\I'll put up with the dumb girl, so stop worryin'! response:	Do you really dislike me that much, huh?
context: If you knew, why'd you ask?\The future looks very bleak...\Inuyasha, unless you join forces...\with Kagome, who has the ability to see the Jewel...\there is no way all of the fragments will be found.\And I'm tellin' you that if it's for the sake of the Sacred Jewel...\I'll put up with the dumb girl, so stop worryin'!\Do you really dislike me that much, huh? response:	Kikyo...
context: The future looks very bleak...\Inuyasha, unless you join forces...\with Kagome, who has the ability to see the Jewel...\there is no way all of the fragments will be found.\And I'm tellin' you that if it's for the sake of the Sacred Jewel...\I'll put up with the dumb girl, so stop worryin'!\Do you really dislike me that much, huh?\Kikyo... response:	What's that expression on your face, Inuyasha?
context: Inuyasha, unless you join forces...\with Kagome, who has the ability to see the Jewel...\there is no way all of the fragments will be found.\And I'm tellin' you that if it's for the sake of the Sacred Jewel...\I'll put up with the dumb girl, so stop worryin'!\Do you really dislike me that much, huh?\Kikyo...\What's that expression on your face, Inuyasha? response:	Well, well!
context: with Kagome, who has the ability to see the Jewel...\there is no way all of the fragments will be found.\And I'm tellin' you that if it's for the sake of the Sacred Jewel...\I'll put up with the dumb girl, so stop worryin'!\Do you really dislike me that much, huh?\Kikyo...\What's that expression on your face, Inuyasha?\Well, well! response:	The Sacred Jewel I thought lost over fifty years ago...
context: there is no way all of the fragments will be found.\And I'm tellin' you that if it's for the sake of the Sacred Jewel...\I'll put up with the dumb girl, so stop worryin'!\Do you really dislike me that much, huh?\Kikyo...\What's that expression on your face, Inuyasha?\Well, well!\The Sacred Jewel I thought lost over fifty years ago... response:	has appeared once more.
context: And I'm tellin' you that if it's for the sake of the Sacred Jewel...\I'll put up with the dumb girl, so stop worryin'!\Do you really dislike me that much, huh?\Kikyo...\What's that expression on your face, Inuyasha?\Well, well!\The Sacred Jewel I thought lost over fifty years ago...\has appeared once more. response:	It's going to be very interesting...
context: I'll put up with the dumb girl, so stop worryin'!\Do you really dislike me that much, huh?\Kikyo...\What's that expression on your face, Inuyasha?\Well, well!\The Sacred Jewel I thought lost over fifty years ago...\has appeared once more.\It's going to be very interesting... response:	Priestess Kaede...
context: Do you really dislike me that much, huh?\Kikyo...\What's that expression on your face, Inuyasha?\Well, well!\The Sacred Jewel I thought lost over fifty years ago...\has appeared once more.\It's going to be very interesting...\Priestess Kaede... response:	Yes?
context: Kikyo...\What's that expression on your face, Inuyasha?\Well, well!\The Sacred Jewel I thought lost over fifty years ago...\has appeared once more.\It's going to be very interesting...\Priestess Kaede...\Yes? response:	My daughter...
context: What's that expression on your face, Inuyasha?\Well, well!\The Sacred Jewel I thought lost over fifty years ago...\has appeared once more.\It's going to be very interesting...\Priestess Kaede...\Yes?\My daughter... response:	I see. I will be right there.
context: Well, well!\The Sacred Jewel I thought lost over fifty years ago...\has appeared once more.\It's going to be very interesting...\Priestess Kaede...\Yes?\My daughter...\I see. I will be right there. response:	I must return. Do not fight.
context: The Sacred Jewel I thought lost over fifty years ago...\has appeared once more.\It's going to be very interesting...\Priestess Kaede...\Yes?\My daughter...\I see. I will be right there.\I must return. Do not fight. response:	Hey.
context: has appeared once more.\It's going to be very interesting...\Priestess Kaede...\Yes?\My daughter...\I see. I will be right there.\I must return. Do not fight.\Hey. response:	Hey what.
context: It's going to be very interesting...\Priestess Kaede...\Yes?\My daughter...\I see. I will be right there.\I must return. Do not fight.\Hey.\Hey what. response:	Get undressed.
context: Priestess Kaede...\Yes?\My daughter...\I see. I will be right there.\I must return. Do not fight.\Hey.\Hey what.\Get undressed. response:	Oww! Why, you... Why did you...?!
context: Yes?\My daughter...\I see. I will be right there.\I must return. Do not fight.\Hey.\Hey what.\Get undressed.\Oww! Why, you... Why did you...?! response:	Pervert!
context: My daughter...\I see. I will be right there.\I must return. Do not fight.\Hey.\Hey what.\Get undressed.\Oww! Why, you... Why did you...?!\Pervert! response:	I didn't mean undress undress!
context: I see. I will be right there.\I must return. Do not fight.\Hey.\Hey what.\Get undressed.\Oww! Why, you... Why did you...?!\Pervert!\I didn't mean undress undress! response:	Put your own weird stuff back on, is what I meant.
context: I must return. Do not fight.\Hey.\Hey what.\Get undressed.\Oww! Why, you... Why did you...?!\Pervert!\I didn't mean undress undress!\Put your own weird stuff back on, is what I meant. response:	Because this makes me look like Kikyo?
context: Hey.\Hey what.\Get undressed.\Oww! Why, you... Why did you...?!\Pervert!\I didn't mean undress undress!\Put your own weird stuff back on, is what I meant.\Because this makes me look like Kikyo? response:	Whatever.
context: Hey what.\Get undressed.\Oww! Why, you... Why did you...?!\Pervert!\I didn't mean undress undress!\Put your own weird stuff back on, is what I meant.\Because this makes me look like Kikyo?\Whatever. response:	Oh, please... It's like he's in middle-school.
context: Get undressed.\Oww! Why, you... Why did you...?!\Pervert!\I didn't mean undress undress!\Put your own weird stuff back on, is what I meant.\Because this makes me look like Kikyo?\Whatever.\Oh, please... It's like he's in middle-school. response:	Look! I can't work with someone who's always picking a fight!
context: Oww! Why, you... Why did you...?!\Pervert!\I didn't mean undress undress!\Put your own weird stuff back on, is what I meant.\Because this makes me look like Kikyo?\Whatever.\Oh, please... It's like he's in middle-school.\Look! I can't work with someone who's always picking a fight! response:	That's fine with me! I prefer to go it alone.
context: Pervert!\I didn't mean undress undress!\Put your own weird stuff back on, is what I meant.\Because this makes me look like Kikyo?\Whatever.\Oh, please... It's like he's in middle-school.\Look! I can't work with someone who's always picking a fight!\That's fine with me! I prefer to go it alone. response:	I see! You don't need me along then?
context: I didn't mean undress undress!\Put your own weird stuff back on, is what I meant.\Because this makes me look like Kikyo?\Whatever.\Oh, please... It's like he's in middle-school.\Look! I can't work with someone who's always picking a fight!\That's fine with me! I prefer to go it alone.\I see! You don't need me along then? response:	Hey. Where you goin'.
context: Put your own weird stuff back on, is what I meant.\Because this makes me look like Kikyo?\Whatever.\Oh, please... It's like he's in middle-school.\Look! I can't work with someone who's always picking a fight!\That's fine with me! I prefer to go it alone.\I see! You don't need me along then?\Hey. Where you goin'. response:	I've made up my mind. I'm going home.
context: Because this makes me look like Kikyo?\Whatever.\Oh, please... It's like he's in middle-school.\Look! I can't work with someone who's always picking a fight!\That's fine with me! I prefer to go it alone.\I see! You don't need me along then?\Hey. Where you goin'.\I've made up my mind. I'm going home. response:	Goodbye, Inuyasha.
context: Whatever.\Oh, please... It's like he's in middle-school.\Look! I can't work with someone who's always picking a fight!\That's fine with me! I prefer to go it alone.\I see! You don't need me along then?\Hey. Where you goin'.\I've made up my mind. I'm going home.\Goodbye, Inuyasha. response:	Going home? Hey!
context: Oh, please... It's like he's in middle-school.\Look! I can't work with someone who's always picking a fight!\That's fine with me! I prefer to go it alone.\I see! You don't need me along then?\Hey. Where you goin'.\I've made up my mind. I'm going home.\Goodbye, Inuyasha.\Going home? Hey! response:	My name is Kagome.
context: Look! I can't work with someone who's always picking a fight!\That's fine with me! I prefer to go it alone.\I see! You don't need me along then?\Hey. Where you goin'.\I've made up my mind. I'm going home.\Goodbye, Inuyasha.\Going home? Hey!\My name is Kagome. response:	Please address me as such.
context: That's fine with me! I prefer to go it alone.\I see! You don't need me along then?\Hey. Where you goin'.\I've made up my mind. I'm going home.\Goodbye, Inuyasha.\Going home? Hey!\My name is Kagome.\Please address me as such. response:	Hey! Wait!
context: I see! You don't need me along then?\Hey. Where you goin'.\I've made up my mind. I'm going home.\Goodbye, Inuyasha.\Going home? Hey!\My name is Kagome.\Please address me as such.\Hey! Wait! response:	It's not hey, either.
context: Hey. Where you goin'.\I've made up my mind. I'm going home.\Goodbye, Inuyasha.\Going home? Hey!\My name is Kagome.\Please address me as such.\Hey! Wait!\It's not hey, either. response:	Wait, I said! Hey...!
context: I've made up my mind. I'm going home.\Goodbye, Inuyasha.\Going home? Hey!\My name is Kagome.\Please address me as such.\Hey! Wait!\It's not hey, either.\Wait, I said! Hey...! response:	What?! It's useless to try and stop me.
context: Goodbye, Inuyasha.\Going home? Hey!\My name is Kagome.\Please address me as such.\Hey! Wait!\It's not hey, either.\Wait, I said! Hey...!\What?! It's useless to try and stop me. response:	You got that Jewel piece, right?
context: Going home? Hey!\My name is Kagome.\Please address me as such.\Hey! Wait!\It's not hey, either.\Wait, I said! Hey...!\What?! It's useless to try and stop me.\You got that Jewel piece, right? response:	Leave it.
context: My name is Kagome.\Please address me as such.\Hey! Wait!\It's not hey, either.\Wait, I said! Hey...!\What?! It's useless to try and stop me.\You got that Jewel piece, right?\Leave it. response:	You mean this?
context: Please address me as such.\Hey! Wait!\It's not hey, either.\Wait, I said! Hey...!\What?! It's useless to try and stop me.\You got that Jewel piece, right?\Leave it.\You mean this? response:	Sit!
context: Hey! Wait!\It's not hey, either.\Wait, I said! Hey...!\What?! It's useless to try and stop me.\You got that Jewel piece, right?\Leave it.\You mean this?\Sit! response:	Why, you!
context: It's not hey, either.\Wait, I said! Hey...!\What?! It's useless to try and stop me.\You got that Jewel piece, right?\Leave it.\You mean this?\Sit!\Why, you! response:	You can't have it.
context: Wait, I said! Hey...!\What?! It's useless to try and stop me.\You got that Jewel piece, right?\Leave it.\You mean this?\Sit!\Why, you!\You can't have it. response:	I can't believe that guy!
context: What?! It's useless to try and stop me.\You got that Jewel piece, right?\Leave it.\You mean this?\Sit!\Why, you!\You can't have it.\I can't believe that guy! response:	Inuyasha has never once addressed me by my name!
context: You got that Jewel piece, right?\Leave it.\You mean this?\Sit!\Why, you!\You can't have it.\I can't believe that guy!\Inuyasha has never once addressed me by my name! response:	This way, Priestess Kaede...
context: Leave it.\You mean this?\Sit!\Why, you!\You can't have it.\I can't believe that guy!\Inuyasha has never once addressed me by my name!\This way, Priestess Kaede... response:	She suddenly collapsed?
context: You mean this?\Sit!\Why, you!\You can't have it.\I can't believe that guy!\Inuyasha has never once addressed me by my name!\This way, Priestess Kaede...\She suddenly collapsed? response:	Yes.
context: Sit!\Why, you!\You can't have it.\I can't believe that guy!\Inuyasha has never once addressed me by my name!\This way, Priestess Kaede...\She suddenly collapsed?\Yes. response:	She was just fine this morning.
context: Why, you!\You can't have it.\I can't believe that guy!\Inuyasha has never once addressed me by my name!\This way, Priestess Kaede...\She suddenly collapsed?\Yes.\She was just fine this morning. response:	Let's see...
context: You can't have it.\I can't believe that guy!\Inuyasha has never once addressed me by my name!\This way, Priestess Kaede...\She suddenly collapsed?\Yes.\She was just fine this morning.\Let's see... response:	Hmm?!
context: I can't believe that guy!\Inuyasha has never once addressed me by my name!\This way, Priestess Kaede...\She suddenly collapsed?\Yes.\She was just fine this morning.\Let's see...\Hmm?! response:	Stay back!
context: Inuyasha has never once addressed me by my name!\This way, Priestess Kaede...\She suddenly collapsed?\Yes.\She was just fine this morning.\Let's see...\Hmm?!\Stay back! response:	Huh?
context: This way, Priestess Kaede...\She suddenly collapsed?\Yes.\She was just fine this morning.\Let's see...\Hmm?!\Stay back!\Huh? response:	She's... floating.
context: She suddenly collapsed?\Yes.\She was just fine this morning.\Let's see...\Hmm?!\Stay back!\Huh?\She's... floating. response:	Hair?!
context: Yes.\She was just fine this morning.\Let's see...\Hmm?!\Stay back!\Huh?\She's... floating.\Hair?! response:	That's how I got here, thru the Dry Well.
context: She was just fine this morning.\Let's see...\Hmm?!\Stay back!\Huh?\She's... floating.\Hair?!\That's how I got here, thru the Dry Well. response:	I'm sure I can go back from here.
context: Let's see...\Hmm?!\Stay back!\Huh?\She's... floating.\Hair?!\That's how I got here, thru the Dry Well.\I'm sure I can go back from here. response:	Bones...
context: Hmm?!\Stay back!\Huh?\She's... floating.\Hair?!\That's how I got here, thru the Dry Well.\I'm sure I can go back from here.\Bones... response:	That dry well is nicknamed the bone-devouring well.
context: Stay back!\Huh?\She's... floating.\Hair?!\That's how I got here, thru the Dry Well.\I'm sure I can go back from here.\Bones...\That dry well is nicknamed the bone-devouring well. response:	It is where the corpses of the dead demons are discarded.
context: Huh?\She's... floating.\Hair?!\That's how I got here, thru the Dry Well.\I'm sure I can go back from here.\Bones...\That dry well is nicknamed the bone-devouring well.\It is where the corpses of the dead demons are discarded. response:	After several days, the corpses disappear.
context: She's... floating.\Hair?!\That's how I got here, thru the Dry Well.\I'm sure I can go back from here.\Bones...\That dry well is nicknamed the bone-devouring well.\It is where the corpses of the dead demons are discarded.\After several days, the corpses disappear. response:	Those are the bones of the Centipede-Monster.
context: Hair?!\That's how I got here, thru the Dry Well.\I'm sure I can go back from here.\Bones...\That dry well is nicknamed the bone-devouring well.\It is where the corpses of the dead demons are discarded.\After several days, the corpses disappear.\Those are the bones of the Centipede-Monster. response:	Great. Now I'm afraid to go in.
