context: A man died while fighting the monsters. response:	And just like in the game, he revived at the Cathedral.
context: And in this world, death is not the end.\Astral Bind!\Slice\And we're done.\Let's call it quits for today.\Understood.\Our bodies seem to know the basic combat movements.\Even if we don't use commands, response:	as long as we intend to fight, and can see the enemy in front of us,
context: Astral Bind!\Slice\And we're done.\Let's call it quits for today.\Understood.\Our bodies seem to know the basic combat movements.\Even if we don't use commands,\as long as we intend to fight, and can see the enemy in front of us, response:	we can use skills and magic in a manner similar to voice input.
context: Slice\And we're done.\Let's call it quits for today.\Understood.\Our bodies seem to know the basic combat movements.\Even if we don't use commands,\as long as we intend to fight, and can see the enemy in front of us,\we can use skills and magic in a manner similar to voice input. response:	But there's a difference between using and mastering.
context: And we're done.\Let's call it quits for today.\Understood.\Our bodies seem to know the basic combat movements.\Even if we don't use commands,\as long as we intend to fight, and can see the enemy in front of us,\we can use skills and magic in a manner similar to voice input.\But there's a difference between using and mastering. response:	We'll need some practice.
context: Let's call it quits for today.\Understood.\Our bodies seem to know the basic combat movements.\Even if we don't use commands,\as long as we intend to fight, and can see the enemy in front of us,\we can use skills and magic in a manner similar to voice input.\But there's a difference between using and mastering.\We'll need some practice. response:	Though, I don't know if practicing the way martial artists do in our world will be enough...
context: Understood.\Our bodies seem to know the basic combat movements.\Even if we don't use commands,\as long as we intend to fight, and can see the enemy in front of us,\we can use skills and magic in a manner similar to voice input.\But there's a difference between using and mastering.\We'll need some practice.\Though, I don't know if practicing the way martial artists do in our world will be enough... response:	My lord Shiro...
context: Our bodies seem to know the basic combat movements.\Even if we don't use commands,\as long as we intend to fight, and can see the enemy in front of us,\we can use skills and magic in a manner similar to voice input.\But there's a difference between using and mastering.\We'll need some practice.\Though, I don't know if practicing the way martial artists do in our world will be enough...\My lord Shiro... response:	Akatsuki, would you stop calling me that?
context: Even if we don't use commands,\as long as we intend to fight, and can see the enemy in front of us,\we can use skills and magic in a manner similar to voice input.\But there's a difference between using and mastering.\We'll need some practice.\Though, I don't know if practicing the way martial artists do in our world will be enough...\My lord Shiro...\Akatsuki, would you stop calling me that? response:	Just call me Shiroe.
context: as long as we intend to fight, and can see the enemy in front of us,\we can use skills and magic in a manner similar to voice input.\But there's a difference between using and mastering.\We'll need some practice.\Though, I don't know if practicing the way martial artists do in our world will be enough...\My lord Shiro...\Akatsuki, would you stop calling me that?\Just call me Shiroe. response:	Then I hope you'll treat me with the same familiarity.
context: we can use skills and magic in a manner similar to voice input.\But there's a difference between using and mastering.\We'll need some practice.\Though, I don't know if practicing the way martial artists do in our world will be enough...\My lord Shiro...\Akatsuki, would you stop calling me that?\Just call me Shiroe.\Then I hope you'll treat me with the same familiarity. response:	You two sure are enjoying the height of youth!
context: But there's a difference between using and mastering.\We'll need some practice.\Though, I don't know if practicing the way martial artists do in our world will be enough...\My lord Shiro...\Akatsuki, would you stop calling me that?\Just call me Shiroe.\Then I hope you'll treat me with the same familiarity.\You two sure are enjoying the height of youth! response:	What're you talking about?
context: We'll need some practice.\Though, I don't know if practicing the way martial artists do in our world will be enough...\My lord Shiro...\Akatsuki, would you stop calling me that?\Just call me Shiroe.\Then I hope you'll treat me with the same familiarity.\You two sure are enjoying the height of youth!\What're you talking about? response:	The Battle of Loka
context: Though, I don't know if practicing the way martial artists do in our world will be enough...\My lord Shiro...\Akatsuki, would you stop calling me that?\Just call me Shiroe.\Then I hope you'll treat me with the same familiarity.\You two sure are enjoying the height of youth!\What're you talking about?\The Battle of Loka response:	My lord.
context: My lord Shiro...\Akatsuki, would you stop calling me that?\Just call me Shiroe.\Then I hope you'll treat me with the same familiarity.\You two sure are enjoying the height of youth!\What're you talking about?\The Battle of Loka\My lord. response:	I'll go ahead, to reconnoiter on our way home.
context: Akatsuki, would you stop calling me that?\Just call me Shiroe.\Then I hope you'll treat me with the same familiarity.\You two sure are enjoying the height of youth!\What're you talking about?\The Battle of Loka\My lord.\I'll go ahead, to reconnoiter on our way home. response:	Why?
context: Just call me Shiroe.\Then I hope you'll treat me with the same familiarity.\You two sure are enjoying the height of youth!\What're you talking about?\The Battle of Loka\My lord.\I'll go ahead, to reconnoiter on our way home.\Why? response:	Practice.
context: Then I hope you'll treat me with the same familiarity.\You two sure are enjoying the height of youth!\What're you talking about?\The Battle of Loka\My lord.\I'll go ahead, to reconnoiter on our way home.\Why?\Practice. response:	One of the assassin's skills is Dark Vision.
context: You two sure are enjoying the height of youth!\What're you talking about?\The Battle of Loka\My lord.\I'll go ahead, to reconnoiter on our way home.\Why?\Practice.\One of the assassin's skills is Dark Vision. response:	And I also have Sneak and Silent Move.
context: What're you talking about?\The Battle of Loka\My lord.\I'll go ahead, to reconnoiter on our way home.\Why?\Practice.\One of the assassin's skills is Dark Vision.\And I also have Sneak and Silent Move. response:	This forest is the perfect place to practice.
context: The Battle of Loka\My lord.\I'll go ahead, to reconnoiter on our way home.\Why?\Practice.\One of the assassin's skills is Dark Vision.\And I also have Sneak and Silent Move.\This forest is the perfect place to practice. response:	I see.
context: My lord.\I'll go ahead, to reconnoiter on our way home.\Why?\Practice.\One of the assassin's skills is Dark Vision.\And I also have Sneak and Silent Move.\This forest is the perfect place to practice.\I see. response:	Okay, we'll meet by the south gate.
context: I'll go ahead, to reconnoiter on our way home.\Why?\Practice.\One of the assassin's skills is Dark Vision.\And I also have Sneak and Silent Move.\This forest is the perfect place to practice.\I see.\Okay, we'll meet by the south gate. response:	We'll stay illuminated using Magic Light as we go.
context: Why?\Practice.\One of the assassin's skills is Dark Vision.\And I also have Sneak and Silent Move.\This forest is the perfect place to practice.\I see.\Okay, we'll meet by the south gate.\We'll stay illuminated using Magic Light as we go. response:	You can use that to find us.
context: Practice.\One of the assassin's skills is Dark Vision.\And I also have Sneak and Silent Move.\This forest is the perfect place to practice.\I see.\Okay, we'll meet by the south gate.\We'll stay illuminated using Magic Light as we go.\You can use that to find us. response:	Understood.
context: One of the assassin's skills is Dark Vision.\And I also have Sneak and Silent Move.\This forest is the perfect place to practice.\I see.\Okay, we'll meet by the south gate.\We'll stay illuminated using Magic Light as we go.\You can use that to find us.\Understood. response:	Then Akatsuki's subclass is tracker?
context: And I also have Sneak and Silent Move.\This forest is the perfect place to practice.\I see.\Okay, we'll meet by the south gate.\We'll stay illuminated using Magic Light as we go.\You can use that to find us.\Understood.\Then Akatsuki's subclass is tracker? response:	I couldn't even hear the leaves rustle.
context: This forest is the perfect place to practice.\I see.\Okay, we'll meet by the south gate.\We'll stay illuminated using Magic Light as we go.\You can use that to find us.\Understood.\Then Akatsuki's subclass is tracker?\I couldn't even hear the leaves rustle. response:	She's good.
context: I see.\Okay, we'll meet by the south gate.\We'll stay illuminated using Magic Light as we go.\You can use that to find us.\Understood.\Then Akatsuki's subclass is tracker?\I couldn't even hear the leaves rustle.\She's good. response:	Magic Light.
context: Okay, we'll meet by the south gate.\We'll stay illuminated using Magic Light as we go.\You can use that to find us.\Understood.\Then Akatsuki's subclass is tracker?\I couldn't even hear the leaves rustle.\She's good.\Magic Light. response:	The skills Akatsuki mentioned,
context: We'll stay illuminated using Magic Light as we go.\You can use that to find us.\Understood.\Then Akatsuki's subclass is tracker?\I couldn't even hear the leaves rustle.\She's good.\Magic Light.\The skills Akatsuki mentioned, response:	Sneak and Silent Move, are tracker skills.
context: You can use that to find us.\Understood.\Then Akatsuki's subclass is tracker?\I couldn't even hear the leaves rustle.\She's good.\Magic Light.\The skills Akatsuki mentioned,\Sneak and Silent Move, are tracker skills. response:	Tracker is a subclass.
context: Understood.\Then Akatsuki's subclass is tracker?\I couldn't even hear the leaves rustle.\She's good.\Magic Light.\The skills Akatsuki mentioned,\Sneak and Silent Move, are tracker skills.\Tracker is a subclass. response:	Players in Elder Tale can select
context: Then Akatsuki's subclass is tracker?\I couldn't even hear the leaves rustle.\She's good.\Magic Light.\The skills Akatsuki mentioned,\Sneak and Silent Move, are tracker skills.\Tracker is a subclass.\Players in Elder Tale can select response:	from twelve main combat classes,
context: I couldn't even hear the leaves rustle.\She's good.\Magic Light.\The skills Akatsuki mentioned,\Sneak and Silent Move, are tracker skills.\Tracker is a subclass.\Players in Elder Tale can select\from twelve main combat classes, response:	and then choose among any number of subclasses.
context: She's good.\Magic Light.\The skills Akatsuki mentioned,\Sneak and Silent Move, are tracker skills.\Tracker is a subclass.\Players in Elder Tale can select\from twelve main combat classes,\and then choose among any number of subclasses. response:	An assassin and a tracker, huh?
context: Magic Light.\The skills Akatsuki mentioned,\Sneak and Silent Move, are tracker skills.\Tracker is a subclass.\Players in Elder Tale can select\from twelve main combat classes,\and then choose among any number of subclasses.\An assassin and a tracker, huh? response:	No wonder she calls herself a ninja.
context: The skills Akatsuki mentioned,\Sneak and Silent Move, are tracker skills.\Tracker is a subclass.\Players in Elder Tale can select\from twelve main combat classes,\and then choose among any number of subclasses.\An assassin and a tracker, huh?\No wonder she calls herself a ninja. response:	She's a hardcore role-player.
context: Sneak and Silent Move, are tracker skills.\Tracker is a subclass.\Players in Elder Tale can select\from twelve main combat classes,\and then choose among any number of subclasses.\An assassin and a tracker, huh?\No wonder she calls herself a ninja.\She's a hardcore role-player. response:	Come to think of it, how many days have we been here?
context: Tracker is a subclass.\Players in Elder Tale can select\from twelve main combat classes,\and then choose among any number of subclasses.\An assassin and a tracker, huh?\No wonder she calls herself a ninja.\She's a hardcore role-player.\Come to think of it, how many days have we been here? response:	Security in town is getting really bad.
context: Players in Elder Tale can select\from twelve main combat classes,\and then choose among any number of subclasses.\An assassin and a tracker, huh?\No wonder she calls herself a ninja.\She's a hardcore role-player.\Come to think of it, how many days have we been here?\Security in town is getting really bad. response:	Yes.
context: from twelve main combat classes,\and then choose among any number of subclasses.\An assassin and a tracker, huh?\No wonder she calls herself a ninja.\She's a hardcore role-player.\Come to think of it, how many days have we been here?\Security in town is getting really bad.\Yes. response:	The rush to buy guild halls has calmed,
context: and then choose among any number of subclasses.\An assassin and a tracker, huh?\No wonder she calls herself a ninja.\She's a hardcore role-player.\Come to think of it, how many days have we been here?\Security in town is getting really bad.\Yes.\The rush to buy guild halls has calmed, response:	and I suppose the balance of power in the city
context: An assassin and a tracker, huh?\No wonder she calls herself a ninja.\She's a hardcore role-player.\Come to think of it, how many days have we been here?\Security in town is getting really bad.\Yes.\The rush to buy guild halls has calmed,\and I suppose the balance of power in the city response:	has been more or less established.
context: No wonder she calls herself a ninja.\She's a hardcore role-player.\Come to think of it, how many days have we been here?\Security in town is getting really bad.\Yes.\The rush to buy guild halls has calmed,\and I suppose the balance of power in the city\has been more or less established. response:	Adventurers in the larger guilds wield their influence freely,
context: She's a hardcore role-player.\Come to think of it, how many days have we been here?\Security in town is getting really bad.\Yes.\The rush to buy guild halls has calmed,\and I suppose the balance of power in the city\has been more or less established.\Adventurers in the larger guilds wield their influence freely, response:	and somehow, the smaller guilds have become even smaller.
context: Come to think of it, how many days have we been here?\Security in town is getting really bad.\Yes.\The rush to buy guild halls has calmed,\and I suppose the balance of power in the city\has been more or less established.\Adventurers in the larger guilds wield their influence freely,\and somehow, the smaller guilds have become even smaller. response:	They act like anyone not in their own guild is an enemy.
context: Security in town is getting really bad.\Yes.\The rush to buy guild halls has calmed,\and I suppose the balance of power in the city\has been more or less established.\Adventurers in the larger guilds wield their influence freely,\and somehow, the smaller guilds have become even smaller.\They act like anyone not in their own guild is an enemy. response:	But there's no fighting in towns, right?
context: Yes.\The rush to buy guild halls has calmed,\and I suppose the balance of power in the city\has been more or less established.\Adventurers in the larger guilds wield their influence freely,\and somehow, the smaller guilds have become even smaller.\They act like anyone not in their own guild is an enemy.\But there's no fighting in towns, right? response:	Fighting wasn't allowed in the majority of towns
context: The rush to buy guild halls has calmed,\and I suppose the balance of power in the city\has been more or less established.\Adventurers in the larger guilds wield their influence freely,\and somehow, the smaller guilds have become even smaller.\They act like anyone not in their own guild is an enemy.\But there's no fighting in towns, right?\Fighting wasn't allowed in the majority of towns response:	when Elder Tale was a game.
context: and I suppose the balance of power in the city\has been more or less established.\Adventurers in the larger guilds wield their influence freely,\and somehow, the smaller guilds have become even smaller.\They act like anyone not in their own guild is an enemy.\But there's no fighting in towns, right?\Fighting wasn't allowed in the majority of towns\when Elder Tale was a game. response:	So if you fight in town,
context: has been more or less established.\Adventurers in the larger guilds wield their influence freely,\and somehow, the smaller guilds have become even smaller.\They act like anyone not in their own guild is an enemy.\But there's no fighting in towns, right?\Fighting wasn't allowed in the majority of towns\when Elder Tale was a game.\So if you fight in town, response:	powerful enforcers called the Royal Guard appear.
context: Adventurers in the larger guilds wield their influence freely,\and somehow, the smaller guilds have become even smaller.\They act like anyone not in their own guild is an enemy.\But there's no fighting in towns, right?\Fighting wasn't allowed in the majority of towns\when Elder Tale was a game.\So if you fight in town,\powerful enforcers called the Royal Guard appear. response:	And just like in the game,
context: and somehow, the smaller guilds have become even smaller.\They act like anyone not in their own guild is an enemy.\But there's no fighting in towns, right?\Fighting wasn't allowed in the majority of towns\when Elder Tale was a game.\So if you fight in town,\powerful enforcers called the Royal Guard appear.\And just like in the game, response:	if you resist, they'll kill you without mercy.
context: They act like anyone not in their own guild is an enemy.\But there's no fighting in towns, right?\Fighting wasn't allowed in the majority of towns\when Elder Tale was a game.\So if you fight in town,\powerful enforcers called the Royal Guard appear.\And just like in the game,\if you resist, they'll kill you without mercy. response:	I'm told there's a lot of low-level fighting and harassment
context: But there's no fighting in towns, right?\Fighting wasn't allowed in the majority of towns\when Elder Tale was a game.\So if you fight in town,\powerful enforcers called the Royal Guard appear.\And just like in the game,\if you resist, they'll kill you without mercy.\I'm told there's a lot of low-level fighting and harassment response:	that doesn't quite count as combat.
context: Fighting wasn't allowed in the majority of towns\when Elder Tale was a game.\So if you fight in town,\powerful enforcers called the Royal Guard appear.\And just like in the game,\if you resist, they'll kill you without mercy.\I'm told there's a lot of low-level fighting and harassment\that doesn't quite count as combat. response:	In the past few days, PKs have rapidly increased.
context: when Elder Tale was a game.\So if you fight in town,\powerful enforcers called the Royal Guard appear.\And just like in the game,\if you resist, they'll kill you without mercy.\I'm told there's a lot of low-level fighting and harassment\that doesn't quite count as combat.\In the past few days, PKs have rapidly increased. response:	PKs?
context: So if you fight in town,\powerful enforcers called the Royal Guard appear.\And just like in the game,\if you resist, they'll kill you without mercy.\I'm told there's a lot of low-level fighting and harassment\that doesn't quite count as combat.\In the past few days, PKs have rapidly increased.\PKs? response:	Player killings.
context: powerful enforcers called the Royal Guard appear.\And just like in the game,\if you resist, they'll kill you without mercy.\I'm told there's a lot of low-level fighting and harassment\that doesn't quite count as combat.\In the past few days, PKs have rapidly increased.\PKs?\Player killings. response:	Or player killers.
context: And just like in the game,\if you resist, they'll kill you without mercy.\I'm told there's a lot of low-level fighting and harassment\that doesn't quite count as combat.\In the past few days, PKs have rapidly increased.\PKs?\Player killings.\Or player killers. response:	They attack players, rather than monsters, and then steal items and money.
context: if you resist, they'll kill you without mercy.\I'm told there's a lot of low-level fighting and harassment\that doesn't quite count as combat.\In the past few days, PKs have rapidly increased.\PKs?\Player killings.\Or player killers.\They attack players, rather than monsters, and then steal items and money. response:	It's the worst thing you could do.
context: I'm told there's a lot of low-level fighting and harassment\that doesn't quite count as combat.\In the past few days, PKs have rapidly increased.\PKs?\Player killings.\Or player killers.\They attack players, rather than monsters, and then steal items and money.\It's the worst thing you could do. response:	Outside of town, you can't use your mini-map,
context: that doesn't quite count as combat.\In the past few days, PKs have rapidly increased.\PKs?\Player killings.\Or player killers.\They attack players, rather than monsters, and then steal items and money.\It's the worst thing you could do.\Outside of town, you can't use your mini-map, response:	and you can't contact the Game Masters.
context: In the past few days, PKs have rapidly increased.\PKs?\Player killings.\Or player killers.\They attack players, rather than monsters, and then steal items and money.\It's the worst thing you could do.\Outside of town, you can't use your mini-map,\and you can't contact the Game Masters. response:	And surprise attacks are far more effective.
context: PKs?\Player killings.\Or player killers.\They attack players, rather than monsters, and then steal items and money.\It's the worst thing you could do.\Outside of town, you can't use your mini-map,\and you can't contact the Game Masters.\And surprise attacks are far more effective. response:	It's much less risky now.
context: Player killings.\Or player killers.\They attack players, rather than monsters, and then steal items and money.\It's the worst thing you could do.\Outside of town, you can't use your mini-map,\and you can't contact the Game Masters.\And surprise attacks are far more effective.\It's much less risky now. response:	The pros and cons have reversed positions.
context: Or player killers.\They attack players, rather than monsters, and then steal items and money.\It's the worst thing you could do.\Outside of town, you can't use your mini-map,\and you can't contact the Game Masters.\And surprise attacks are far more effective.\It's much less risky now.\The pros and cons have reversed positions. response:	That must be why it's more common now.
context: They attack players, rather than monsters, and then steal items and money.\It's the worst thing you could do.\Outside of town, you can't use your mini-map,\and you can't contact the Game Masters.\And surprise attacks are far more effective.\It's much less risky now.\The pros and cons have reversed positions.\That must be why it's more common now. response:	How cowardly.
context: It's the worst thing you could do.\Outside of town, you can't use your mini-map,\and you can't contact the Game Masters.\And surprise attacks are far more effective.\It's much less risky now.\The pros and cons have reversed positions.\That must be why it's more common now.\How cowardly. response:	If Akihabara keeps getting worse...
context: Outside of town, you can't use your mini-map,\and you can't contact the Game Masters.\And surprise attacks are far more effective.\It's much less risky now.\The pros and cons have reversed positions.\That must be why it's more common now.\How cowardly.\If Akihabara keeps getting worse... response:	Is something wrong?
context: and you can't contact the Game Masters.\And surprise attacks are far more effective.\It's much less risky now.\The pros and cons have reversed positions.\That must be why it's more common now.\How cowardly.\If Akihabara keeps getting worse...\Is something wrong? response:	What?
context: And surprise attacks are far more effective.\It's much less risky now.\The pros and cons have reversed positions.\That must be why it's more common now.\How cowardly.\If Akihabara keeps getting worse...\Is something wrong?\What? response:	Ah, it's nothing.
context: It's much less risky now.\The pros and cons have reversed positions.\That must be why it's more common now.\How cowardly.\If Akihabara keeps getting worse...\Is something wrong?\What?\Ah, it's nothing. response:	What a problem!
context: The pros and cons have reversed positions.\That must be why it's more common now.\How cowardly.\If Akihabara keeps getting worse...\Is something wrong?\What?\Ah, it's nothing.\What a problem! response:	Don't you agree, Naotsugu?
context: That must be why it's more common now.\How cowardly.\If Akihabara keeps getting worse...\Is something wrong?\What?\Ah, it's nothing.\What a problem!\Don't you agree, Naotsugu? response:	Hey! Get off me!
context: How cowardly.\If Akihabara keeps getting worse...\Is something wrong?\What?\Ah, it's nothing.\What a problem!\Don't you agree, Naotsugu?\Hey! Get off me! response:	I was just so taken by Akatsuki's cuteness, I forgot to breathe!
context: If Akihabara keeps getting worse...\Is something wrong?\What?\Ah, it's nothing.\What a problem!\Don't you agree, Naotsugu?\Hey! Get off me!\I was just so taken by Akatsuki's cuteness, I forgot to breathe! response:	Right, Akatsuki?
context: Is something wrong?\What?\Ah, it's nothing.\What a problem!\Don't you agree, Naotsugu?\Hey! Get off me!\I was just so taken by Akatsuki's cuteness, I forgot to breathe!\Right, Akatsuki? response:	What's wrong, Shiro?
context: What?\Ah, it's nothing.\What a problem!\Don't you agree, Naotsugu?\Hey! Get off me!\I was just so taken by Akatsuki's cuteness, I forgot to breathe!\Right, Akatsuki?\What's wrong, Shiro? response:	Nothing.
context: Ah, it's nothing.\What a problem!\Don't you agree, Naotsugu?\Hey! Get off me!\I was just so taken by Akatsuki's cuteness, I forgot to breathe!\Right, Akatsuki?\What's wrong, Shiro?\Nothing. response:	I don't think you need to feel so bound by duty all the time.
context: What a problem!\Don't you agree, Naotsugu?\Hey! Get off me!\I was just so taken by Akatsuki's cuteness, I forgot to breathe!\Right, Akatsuki?\What's wrong, Shiro?\Nothing.\I don't think you need to feel so bound by duty all the time. response:	I mean, there's no need to hold back!
context: Don't you agree, Naotsugu?\Hey! Get off me!\I was just so taken by Akatsuki's cuteness, I forgot to breathe!\Right, Akatsuki?\What's wrong, Shiro?\Nothing.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back! response:	What do you mean?
context: Hey! Get off me!\I was just so taken by Akatsuki's cuteness, I forgot to breathe!\Right, Akatsuki?\What's wrong, Shiro?\Nothing.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\What do you mean? response:	Hey, shrimp!
context: I was just so taken by Akatsuki's cuteness, I forgot to breathe!\Right, Akatsuki?\What's wrong, Shiro?\Nothing.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\What do you mean?\Hey, shrimp! response:	Don't call me a shrimp!
context: Right, Akatsuki?\What's wrong, Shiro?\Nothing.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\What do you mean?\Hey, shrimp!\Don't call me a shrimp! response:	See any gobs?
context: What's wrong, Shiro?\Nothing.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\What do you mean?\Hey, shrimp!\Don't call me a shrimp!\See any gobs? response:	I like the one with the skull on his head.
context: Nothing.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\What do you mean?\Hey, shrimp!\Don't call me a shrimp!\See any gobs?\I like the one with the skull on his head. response:	It's weird and cute.
context: I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\What do you mean?\Hey, shrimp!\Don't call me a shrimp!\See any gobs?\I like the one with the skull on his head.\It's weird and cute. response:	Seriously?
context: I mean, there's no need to hold back!\What do you mean?\Hey, shrimp!\Don't call me a shrimp!\See any gobs?\I like the one with the skull on his head.\It's weird and cute.\Seriously? response:	Loka Hospital Japan Server League of Freedom Cities, Eastal/ Center Area Field/ Monsters Present Entry Restrictions/ None Events/ None Currently
context: What do you mean?\Hey, shrimp!\Don't call me a shrimp!\See any gobs?\I like the one with the skull on his head.\It's weird and cute.\Seriously?\Loka Hospital Japan Server League of Freedom Cities, Eastal/ Center Area Field/ Monsters Present Entry Restrictions/ None Events/ None Currently response:	I sense something...
context: Hey, shrimp!\Don't call me a shrimp!\See any gobs?\I like the one with the skull on his head.\It's weird and cute.\Seriously?\Loka Hospital Japan Server League of Freedom Cities, Eastal/ Center Area Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\I sense something... response:	Is it human?
context: Don't call me a shrimp!\See any gobs?\I like the one with the skull on his head.\It's weird and cute.\Seriously?\Loka Hospital Japan Server League of Freedom Cities, Eastal/ Center Area Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\I sense something...\Is it human? response:	Which means...
context: See any gobs?\I like the one with the skull on his head.\It's weird and cute.\Seriously?\Loka Hospital Japan Server League of Freedom Cities, Eastal/ Center Area Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\I sense something...\Is it human?\Which means... response:	Thanks!
context: I like the one with the skull on his head.\It's weird and cute.\Seriously?\Loka Hospital Japan Server League of Freedom Cities, Eastal/ Center Area Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\I sense something...\Is it human?\Which means...\Thanks! response:	You're always so quick with support.
context: It's weird and cute.\Seriously?\Loka Hospital Japan Server League of Freedom Cities, Eastal/ Center Area Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\I sense something...\Is it human?\Which means...\Thanks!\You're always so quick with support. response:	Well, what do we do, Strategist?
context: Seriously?\Loka Hospital Japan Server League of Freedom Cities, Eastal/ Center Area Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\I sense something...\Is it human?\Which means...\Thanks!\You're always so quick with support.\Well, what do we do, Strategist? response:	Naotsugu, straight line formation.
context: Loka Hospital Japan Server League of Freedom Cities, Eastal/ Center Area Field/ Monsters Present Entry Restrictions/ None Events/ None Currently\I sense something...\Is it human?\Which means...\Thanks!\You're always so quick with support.\Well, what do we do, Strategist?\Naotsugu, straight line formation. response:	Our enemies are PKs.
context: I sense something...\Is it human?\Which means...\Thanks!\You're always so quick with support.\Well, what do we do, Strategist?\Naotsugu, straight line formation.\Our enemies are PKs. response:	I have visual contact on four.
context: Is it human?\Which means...\Thanks!\You're always so quick with support.\Well, what do we do, Strategist?\Naotsugu, straight line formation.\Our enemies are PKs.\I have visual contact on four. response:	I'll determine their location.
context: Which means...\Thanks!\You're always so quick with support.\Well, what do we do, Strategist?\Naotsugu, straight line formation.\Our enemies are PKs.\I have visual contact on four.\I'll determine their location. response:	There!
context: Thanks!\You're always so quick with support.\Well, what do we do, Strategist?\Naotsugu, straight line formation.\Our enemies are PKs.\I have visual contact on four.\I'll determine their location.\There! response:	Mind Bolt!
context: You're always so quick with support.\Well, what do we do, Strategist?\Naotsugu, straight line formation.\Our enemies are PKs.\I have visual contact on four.\I'll determine their location.\There!\Mind Bolt! response:	I see them.
context: Well, what do we do, Strategist?\Naotsugu, straight line formation.\Our enemies are PKs.\I have visual contact on four.\I'll determine their location.\There!\Mind Bolt!\I see them. response:	Enemy sighted.
context: Naotsugu, straight line formation.\Our enemies are PKs.\I have visual contact on four.\I'll determine their location.\There!\Mind Bolt!\I see them.\Enemy sighted. response:	They have guts, turning to PKing.
