context: The seventh floor?! response:	You almost got yourself killed on the fifth floor not that long ago!
context: But that means the problem is...\Bell-kun, are you free tomorrow?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Supporter The Weak\Hey, Bell-kun!\Ah, Eina-san!\Good morning!\You're really early, aren't you? response:	Were you looking forward to shopping with me that much?
context: Bell-kun, are you free tomorrow?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Supporter The Weak\Hey, Bell-kun!\Ah, Eina-san!\Good morning!\You're really early, aren't you?\Were you looking forward to shopping with me that much? response:	No, I...
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Supporter The Weak\Hey, Bell-kun!\Ah, Eina-san!\Good morning!\You're really early, aren't you?\Were you looking forward to shopping with me that much?\No, I... response:	Well, I was actually looking forward to it, too.
context: Supporter The Weak\Hey, Bell-kun!\Ah, Eina-san!\Good morning!\You're really early, aren't you?\Were you looking forward to shopping with me that much?\No, I...\Well, I was actually looking forward to it, too. response:	Your armor...
context: Hey, Bell-kun!\Ah, Eina-san!\Good morning!\You're really early, aren't you?\Were you looking forward to shopping with me that much?\No, I...\Well, I was actually looking forward to it, too.\Your armor... response:	Hey, Bell-kun. Don't you have anything to say about my outfit?
context: Ah, Eina-san!\Good morning!\You're really early, aren't you?\Were you looking forward to shopping with me that much?\No, I...\Well, I was actually looking forward to it, too.\Your armor...\Hey, Bell-kun. Don't you have anything to say about my outfit? response:	You look a l-lot... a lot younger than usual!
context: Good morning!\You're really early, aren't you?\Were you looking forward to shopping with me that much?\No, I...\Well, I was actually looking forward to it, too.\Your armor...\Hey, Bell-kun. Don't you have anything to say about my outfit?\You look a l-lot... a lot younger than usual! response:	Hey!
context: You're really early, aren't you?\Were you looking forward to shopping with me that much?\No, I...\Well, I was actually looking forward to it, too.\Your armor...\Hey, Bell-kun. Don't you have anything to say about my outfit?\You look a l-lot... a lot younger than usual!\Hey! response:	I'm still only nineteen!
context: Were you looking forward to shopping with me that much?\No, I...\Well, I was actually looking forward to it, too.\Your armor...\Hey, Bell-kun. Don't you have anything to say about my outfit?\You look a l-lot... a lot younger than usual!\Hey!\I'm still only nineteen! response:	Come on! Come on!
context: No, I...\Well, I was actually looking forward to it, too.\Your armor...\Hey, Bell-kun. Don't you have anything to say about my outfit?\You look a l-lot... a lot younger than usual!\Hey!\I'm still only nineteen!\Come on! Come on! response:	Please stop!
context: Well, I was actually looking forward to it, too.\Your armor...\Hey, Bell-kun. Don't you have anything to say about my outfit?\You look a l-lot... a lot younger than usual!\Hey!\I'm still only nineteen!\Come on! Come on!\Please stop! response:	So where are we going today?
context: Your armor...\Hey, Bell-kun. Don't you have anything to say about my outfit?\You look a l-lot... a lot younger than usual!\Hey!\I'm still only nineteen!\Come on! Come on!\Please stop!\So where are we going today? response:	There!
context: Hey, Bell-kun. Don't you have anything to say about my outfit?\You look a l-lot... a lot younger than usual!\Hey!\I'm still only nineteen!\Come on! Come on!\Please stop!\So where are we going today?\There! response:	Babel?
context: You look a l-lot... a lot younger than usual!\Hey!\I'm still only nineteen!\Come on! Come on!\Please stop!\So where are we going today?\There!\Babel? response:	Yup.
context: Hey!\I'm still only nineteen!\Come on! Come on!\Please stop!\So where are we going today?\There!\Babel?\Yup. response:	To the Hephaestus Familia's shop.
context: I'm still only nineteen!\Come on! Come on!\Please stop!\So where are we going today?\There!\Babel?\Yup.\To the Hephaestus Familia's shop. response:	I don't have the kind of money it takes
context: Come on! Come on!\Please stop!\So where are we going today?\There!\Babel?\Yup.\To the Hephaestus Familia's shop.\I don't have the kind of money it takes response:	to shop at the Hephaestus Familia's store!
context: Please stop!\So where are we going today?\There!\Babel?\Yup.\To the Hephaestus Familia's shop.\I don't have the kind of money it takes\to shop at the Hephaestus Familia's store! response:	Just come on.
context: So where are we going today?\There!\Babel?\Yup.\To the Hephaestus Familia's shop.\I don't have the kind of money it takes\to shop at the Hephaestus Familia's store!\Just come on. response:	A boy shouldn't keep a girl waiting.
context: There!\Babel?\Yup.\To the Hephaestus Familia's shop.\I don't have the kind of money it takes\to shop at the Hephaestus Familia's store!\Just come on.\A boy shouldn't keep a girl waiting. response:	Eina-san!
context: Babel?\Yup.\To the Hephaestus Familia's shop.\I don't have the kind of money it takes\to shop at the Hephaestus Familia's store!\Just come on.\A boy shouldn't keep a girl waiting.\Eina-san! response:	Yahoo!
context: Yup.\To the Hephaestus Familia's shop.\I don't have the kind of money it takes\to shop at the Hephaestus Familia's store!\Just come on.\A boy shouldn't keep a girl waiting.\Eina-san!\Yahoo! response:	Let's go!
context: To the Hephaestus Familia's shop.\I don't have the kind of money it takes\to shop at the Hephaestus Familia's store!\Just come on.\A boy shouldn't keep a girl waiting.\Eina-san!\Yahoo!\Let's go! response:	I had no idea there was a store like this in Babel.
context: I don't have the kind of money it takes\to shop at the Hephaestus Familia's store!\Just come on.\A boy shouldn't keep a girl waiting.\Eina-san!\Yahoo!\Let's go!\I had no idea there was a store like this in Babel. response:	We're heading for the upper floor,
context: to shop at the Hephaestus Familia's store!\Just come on.\A boy shouldn't keep a girl waiting.\Eina-san!\Yahoo!\Let's go!\I had no idea there was a store like this in Babel.\We're heading for the upper floor, response:	but this is also part of the Hephaestus Familia's store, so let's stop in.
context: Just come on.\A boy shouldn't keep a girl waiting.\Eina-san!\Yahoo!\Let's go!\I had no idea there was a store like this in Babel.\We're heading for the upper floor,\but this is also part of the Hephaestus Familia's store, so let's stop in. response:	Thirty million valis?!
context: A boy shouldn't keep a girl waiting.\Eina-san!\Yahoo!\Let's go!\I had no idea there was a store like this in Babel.\We're heading for the upper floor,\but this is also part of the Hephaestus Familia's store, so let's stop in.\Thirty million valis?! response:	What are you looking for today, sir?
context: Eina-san!\Yahoo!\Let's go!\I had no idea there was a store like this in Babel.\We're heading for the upper floor,\but this is also part of the Hephaestus Familia's store, so let's stop in.\Thirty million valis?!\What are you looking for today, sir? response:	Goddess!
context: Yahoo!\Let's go!\I had no idea there was a store like this in Babel.\We're heading for the upper floor,\but this is also part of the Hephaestus Familia's store, so let's stop in.\Thirty million valis?!\What are you looking for today, sir?\Goddess! response:	Bell-kun!
context: Let's go!\I had no idea there was a store like this in Babel.\We're heading for the upper floor,\but this is also part of the Hephaestus Familia's store, so let's stop in.\Thirty million valis?!\What are you looking for today, sir?\Goddess!\Bell-kun! response:	What are you doing here?!
context: I had no idea there was a store like this in Babel.\We're heading for the upper floor,\but this is also part of the Hephaestus Familia's store, so let's stop in.\Thirty million valis?!\What are you looking for today, sir?\Goddess!\Bell-kun!\What are you doing here?! response:	I noticed you've been really busy lately.
context: We're heading for the upper floor,\but this is also part of the Hephaestus Familia's store, so let's stop in.\Thirty million valis?!\What are you looking for today, sir?\Goddess!\Bell-kun!\What are you doing here?!\I noticed you've been really busy lately. response:	Is it a second part-time job?
context: but this is also part of the Hephaestus Familia's store, so let's stop in.\Thirty million valis?!\What are you looking for today, sir?\Goddess!\Bell-kun!\What are you doing here?!\I noticed you've been really busy lately.\Is it a second part-time job? response:	Wh-Wh-What about you? What are you doing here, Bell-kun?
context: Thirty million valis?!\What are you looking for today, sir?\Goddess!\Bell-kun!\What are you doing here?!\I noticed you've been really busy lately.\Is it a second part-time job?\Wh-Wh-What about you? What are you doing here, Bell-kun? response:	And who's this half-elf?
context: What are you looking for today, sir?\Goddess!\Bell-kun!\What are you doing here?!\I noticed you've been really busy lately.\Is it a second part-time job?\Wh-Wh-What about you? What are you doing here, Bell-kun?\And who's this half-elf? response:	Oh, right, Goddess.
context: Goddess!\Bell-kun!\What are you doing here?!\I noticed you've been really busy lately.\Is it a second part-time job?\Wh-Wh-What about you? What are you doing here, Bell-kun?\And who's this half-elf?\Oh, right, Goddess. response:	This is...
context: Bell-kun!\What are you doing here?!\I noticed you've been really busy lately.\Is it a second part-time job?\Wh-Wh-What about you? What are you doing here, Bell-kun?\And who's this half-elf?\Oh, right, Goddess.\This is... response:	Hello, Goddess Hestia.
context: What are you doing here?!\I noticed you've been really busy lately.\Is it a second part-time job?\Wh-Wh-What about you? What are you doing here, Bell-kun?\And who's this half-elf?\Oh, right, Goddess.\This is...\Hello, Goddess Hestia. response:	I am Eina Tulle, with the guild.
context: I noticed you've been really busy lately.\Is it a second part-time job?\Wh-Wh-What about you? What are you doing here, Bell-kun?\And who's this half-elf?\Oh, right, Goddess.\This is...\Hello, Goddess Hestia.\I am Eina Tulle, with the guild. response:	I'm Bell Cranel's dungeon hunting advisor.
context: Is it a second part-time job?\Wh-Wh-What about you? What are you doing here, Bell-kun?\And who's this half-elf?\Oh, right, Goddess.\This is...\Hello, Goddess Hestia.\I am Eina Tulle, with the guild.\I'm Bell Cranel's dungeon hunting advisor. response:	You are, huh?
context: Wh-Wh-What about you? What are you doing here, Bell-kun?\And who's this half-elf?\Oh, right, Goddess.\This is...\Hello, Goddess Hestia.\I am Eina Tulle, with the guild.\I'm Bell Cranel's dungeon hunting advisor.\You are, huh? response:	By the way, Miss Advisor.
context: And who's this half-elf?\Oh, right, Goddess.\This is...\Hello, Goddess Hestia.\I am Eina Tulle, with the guild.\I'm Bell Cranel's dungeon hunting advisor.\You are, huh?\By the way, Miss Advisor. response:	You're not trying to use your position to seduce Bell-kun, are you?
context: Oh, right, Goddess.\This is...\Hello, Goddess Hestia.\I am Eina Tulle, with the guild.\I'm Bell Cranel's dungeon hunting advisor.\You are, huh?\By the way, Miss Advisor.\You're not trying to use your position to seduce Bell-kun, are you? response:	I-I try to keep my private life separate from my work!
context: This is...\Hello, Goddess Hestia.\I am Eina Tulle, with the guild.\I'm Bell Cranel's dungeon hunting advisor.\You are, huh?\By the way, Miss Advisor.\You're not trying to use your position to seduce Bell-kun, are you?\I-I try to keep my private life separate from my work! response:	You have an unusual goddess, don't you?
context: Hello, Goddess Hestia.\I am Eina Tulle, with the guild.\I'm Bell Cranel's dungeon hunting advisor.\You are, huh?\By the way, Miss Advisor.\You're not trying to use your position to seduce Bell-kun, are you?\I-I try to keep my private life separate from my work!\You have an unusual goddess, don't you? response:	And here we are!
context: I am Eina Tulle, with the guild.\I'm Bell Cranel's dungeon hunting advisor.\You are, huh?\By the way, Miss Advisor.\You're not trying to use your position to seduce Bell-kun, are you?\I-I try to keep my private life separate from my work!\You have an unusual goddess, don't you?\And here we are! response:	You think that a high-end brand like the
context: I'm Bell Cranel's dungeon hunting advisor.\You are, huh?\By the way, Miss Advisor.\You're not trying to use your position to seduce Bell-kun, are you?\I-I try to keep my private life separate from my work!\You have an unusual goddess, don't you?\And here we are!\You think that a high-end brand like the response:	Hephaestus Familia is outside your reach, right?
context: You are, huh?\By the way, Miss Advisor.\You're not trying to use your position to seduce Bell-kun, are you?\I-I try to keep my private life separate from my work!\You have an unusual goddess, don't you?\And here we are!\You think that a high-end brand like the\Hephaestus Familia is outside your reach, right? response:	Yes.
context: By the way, Miss Advisor.\You're not trying to use your position to seduce Bell-kun, are you?\I-I try to keep my private life separate from my work!\You have an unusual goddess, don't you?\And here we are!\You think that a high-end brand like the\Hephaestus Familia is outside your reach, right?\Yes. response:	But that's actually not true.
context: You're not trying to use your position to seduce Bell-kun, are you?\I-I try to keep my private life separate from my work!\You have an unusual goddess, don't you?\And here we are!\You think that a high-end brand like the\Hephaestus Familia is outside your reach, right?\Yes.\But that's actually not true. response:	Here, take a look.
context: I-I try to keep my private life separate from my work!\You have an unusual goddess, don't you?\And here we are!\You think that a high-end brand like the\Hephaestus Familia is outside your reach, right?\Yes.\But that's actually not true.\Here, take a look. response:	Huh?
context: You have an unusual goddess, don't you?\And here we are!\You think that a high-end brand like the\Hephaestus Familia is outside your reach, right?\Yes.\But that's actually not true.\Here, take a look.\Huh? response:	It's not that expensive.
context: And here we are!\You think that a high-end brand like the\Hephaestus Familia is outside your reach, right?\Yes.\But that's actually not true.\Here, take a look.\Huh?\It's not that expensive. response:	Surprised?
context: You think that a high-end brand like the\Hephaestus Familia is outside your reach, right?\Yes.\But that's actually not true.\Here, take a look.\Huh?\It's not that expensive.\Surprised? response:	All the stuff here is from new blacksmiths.
context: Hephaestus Familia is outside your reach, right?\Yes.\But that's actually not true.\Here, take a look.\Huh?\It's not that expensive.\Surprised?\All the stuff here is from new blacksmiths. response:	Even if it's cheap, it's to their advantage to have their
context: Yes.\But that's actually not true.\Here, take a look.\Huh?\It's not that expensive.\Surprised?\All the stuff here is from new blacksmiths.\Even if it's cheap, it's to their advantage to have their response:	work be sold and evaluated.
context: But that's actually not true.\Here, take a look.\Huh?\It's not that expensive.\Surprised?\All the stuff here is from new blacksmiths.\Even if it's cheap, it's to their advantage to have their\work be sold and evaluated. response:	And some of them are really good!
context: Here, take a look.\Huh?\It's not that expensive.\Surprised?\All the stuff here is from new blacksmiths.\Even if it's cheap, it's to their advantage to have their\work be sold and evaluated.\And some of them are really good! response:	Come on, let's go.
context: Huh?\It's not that expensive.\Surprised?\All the stuff here is from new blacksmiths.\Even if it's cheap, it's to their advantage to have their\work be sold and evaluated.\And some of them are really good!\Come on, let's go. response:	I'll go see what's in the back!
context: It's not that expensive.\Surprised?\All the stuff here is from new blacksmiths.\Even if it's cheap, it's to their advantage to have their\work be sold and evaluated.\And some of them are really good!\Come on, let's go.\I'll go see what's in the back! response:	Hey, Bell-kun!
context: Surprised?\All the stuff here is from new blacksmiths.\Even if it's cheap, it's to their advantage to have their\work be sold and evaluated.\And some of them are really good!\Come on, let's go.\I'll go see what's in the back!\Hey, Bell-kun! response:	Jeez...
context: All the stuff here is from new blacksmiths.\Even if it's cheap, it's to their advantage to have their\work be sold and evaluated.\And some of them are really good!\Come on, let's go.\I'll go see what's in the back!\Hey, Bell-kun!\Jeez... response:	It's got the smith's signature.
context: Even if it's cheap, it's to their advantage to have their\work be sold and evaluated.\And some of them are really good!\Come on, let's go.\I'll go see what's in the back!\Hey, Bell-kun!\Jeez...\It's got the smith's signature. response:	Welf Crozzo...
context: work be sold and evaluated.\And some of them are really good!\Come on, let's go.\I'll go see what's in the back!\Hey, Bell-kun!\Jeez...\It's got the smith's signature.\Welf Crozzo... response:	How much does it cost?
context: And some of them are really good!\Come on, let's go.\I'll go see what's in the back!\Hey, Bell-kun!\Jeez...\It's got the smith's signature.\Welf Crozzo...\How much does it cost? response:	9,900 valis?
context: Come on, let's go.\I'll go see what's in the back!\Hey, Bell-kun!\Jeez...\It's got the smith's signature.\Welf Crozzo...\How much does it cost?\9,900 valis? response:	That's almost all I've got on me.
context: I'll go see what's in the back!\Hey, Bell-kun!\Jeez...\It's got the smith's signature.\Welf Crozzo...\How much does it cost?\9,900 valis?\That's almost all I've got on me. response:	But...
context: Hey, Bell-kun!\Jeez...\It's got the smith's signature.\Welf Crozzo...\How much does it cost?\9,900 valis?\That's almost all I've got on me.\But... response:	There you are, Bell-kun.
context: Jeez...\It's got the smith's signature.\Welf Crozzo...\How much does it cost?\9,900 valis?\That's almost all I've got on me.\But...\There you are, Bell-kun. response:	I found something good
context: It's got the smith's signature.\Welf Crozzo...\How much does it cost?\9,900 valis?\That's almost all I've got on me.\But...\There you are, Bell-kun.\I found something good response:	Huh?
context: Welf Crozzo...\How much does it cost?\9,900 valis?\That's almost all I've got on me.\But...\There you are, Bell-kun.\I found something good\Huh? response:	Eina-san, I'm going to buy this!
context: How much does it cost?\9,900 valis?\That's almost all I've got on me.\But...\There you are, Bell-kun.\I found something good\Huh?\Eina-san, I'm going to buy this! response:	You really do like light armor, don't you, Bell-kun?
context: 9,900 valis?\That's almost all I've got on me.\But...\There you are, Bell-kun.\I found something good\Huh?\Eina-san, I'm going to buy this!\You really do like light armor, don't you, Bell-kun? response:	I-I'm sorry.
context: That's almost all I've got on me.\But...\There you are, Bell-kun.\I found something good\Huh?\Eina-san, I'm going to buy this!\You really do like light armor, don't you, Bell-kun?\I-I'm sorry. response:	It's fine.
context: But...\There you are, Bell-kun.\I found something good\Huh?\Eina-san, I'm going to buy this!\You really do like light armor, don't you, Bell-kun?\I-I'm sorry.\It's fine. response:	You're the one who's going to use it.
context: There you are, Bell-kun.\I found something good\Huh?\Eina-san, I'm going to buy this!\You really do like light armor, don't you, Bell-kun?\I-I'm sorry.\It's fine.\You're the one who's going to use it. response:	If that's your choice, I think it'll be just fine.
context: I found something good\Huh?\Eina-san, I'm going to buy this!\You really do like light armor, don't you, Bell-kun?\I-I'm sorry.\It's fine.\You're the one who's going to use it.\If that's your choice, I think it'll be just fine. response:	Thank you!
context: Huh?\Eina-san, I'm going to buy this!\You really do like light armor, don't you, Bell-kun?\I-I'm sorry.\It's fine.\You're the one who's going to use it.\If that's your choice, I think it'll be just fine.\Thank you! response:	So are you going to the dungeon tomorrow?
context: Eina-san, I'm going to buy this!\You really do like light armor, don't you, Bell-kun?\I-I'm sorry.\It's fine.\You're the one who's going to use it.\If that's your choice, I think it'll be just fine.\Thank you!\So are you going to the dungeon tomorrow? response:	Yes!
context: You really do like light armor, don't you, Bell-kun?\I-I'm sorry.\It's fine.\You're the one who's going to use it.\If that's your choice, I think it'll be just fine.\Thank you!\So are you going to the dungeon tomorrow?\Yes! response:	I really wish you could form a party.
context: I-I'm sorry.\It's fine.\You're the one who's going to use it.\If that's your choice, I think it'll be just fine.\Thank you!\So are you going to the dungeon tomorrow?\Yes!\I really wish you could form a party. response:	At least hire a supporter, maybe?
context: It's fine.\You're the one who's going to use it.\If that's your choice, I think it'll be just fine.\Thank you!\So are you going to the dungeon tomorrow?\Yes!\I really wish you could form a party.\At least hire a supporter, maybe? response:	A supporter?
context: You're the one who's going to use it.\If that's your choice, I think it'll be just fine.\Thank you!\So are you going to the dungeon tomorrow?\Yes!\I really wish you could form a party.\At least hire a supporter, maybe?\A supporter? response:	Yeah, they make things more efficient.
context: If that's your choice, I think it'll be just fine.\Thank you!\So are you going to the dungeon tomorrow?\Yes!\I really wish you could form a party.\At least hire a supporter, maybe?\A supporter?\Yeah, they make things more efficient. response:	If you want, I can look for one.
context: Thank you!\So are you going to the dungeon tomorrow?\Yes!\I really wish you could form a party.\At least hire a supporter, maybe?\A supporter?\Yeah, they make things more efficient.\If you want, I can look for one. response:	I'll think about it.
context: So are you going to the dungeon tomorrow?\Yes!\I really wish you could form a party.\At least hire a supporter, maybe?\A supporter?\Yeah, they make things more efficient.\If you want, I can look for one.\I'll think about it. response:	Thanks for coming with me today.
context: Yes!\I really wish you could form a party.\At least hire a supporter, maybe?\A supporter?\Yeah, they make things more efficient.\If you want, I can look for one.\I'll think about it.\Thanks for coming with me today. response:	Oh, right.
context: I really wish you could form a party.\At least hire a supporter, maybe?\A supporter?\Yeah, they make things more efficient.\If you want, I can look for one.\I'll think about it.\Thanks for coming with me today.\Oh, right. response:	Bell-kun, take this.
context: At least hire a supporter, maybe?\A supporter?\Yeah, they make things more efficient.\If you want, I can look for one.\I'll think about it.\Thanks for coming with me today.\Oh, right.\Bell-kun, take this. response:	Wh-What is this?
context: A supporter?\Yeah, they make things more efficient.\If you want, I can look for one.\I'll think about it.\Thanks for coming with me today.\Oh, right.\Bell-kun, take this.\Wh-What is this? response:	It's a present from me.
context: Yeah, they make things more efficient.\If you want, I can look for one.\I'll think about it.\Thanks for coming with me today.\Oh, right.\Bell-kun, take this.\Wh-What is this?\It's a present from me. response:	Make sure you use it!
context: If you want, I can look for one.\I'll think about it.\Thanks for coming with me today.\Oh, right.\Bell-kun, take this.\Wh-What is this?\It's a present from me.\Make sure you use it! response:	What?! I-I can't accept this!
context: I'll think about it.\Thanks for coming with me today.\Oh, right.\Bell-kun, take this.\Wh-What is this?\It's a present from me.\Make sure you use it!\What?! I-I can't accept this! response:	I wish you would.
context: Thanks for coming with me today.\Oh, right.\Bell-kun, take this.\Wh-What is this?\It's a present from me.\Make sure you use it!\What?! I-I can't accept this!\I wish you would. response:	For your sake, not mine.
context: Oh, right.\Bell-kun, take this.\Wh-What is this?\It's a present from me.\Make sure you use it!\What?! I-I can't accept this!\I wish you would.\For your sake, not mine. response:	Really, you never know when an adventurer is going to die.
context: Bell-kun, take this.\Wh-What is this?\It's a present from me.\Make sure you use it!\What?! I-I can't accept this!\I wish you would.\For your sake, not mine.\Really, you never know when an adventurer is going to die. response:	I know lots of adventurers who never came back.
context: Wh-What is this?\It's a present from me.\Make sure you use it!\What?! I-I can't accept this!\I wish you would.\For your sake, not mine.\Really, you never know when an adventurer is going to die.\I know lots of adventurers who never came back. response:	I don't want you to go away.
context: It's a present from me.\Make sure you use it!\What?! I-I can't accept this!\I wish you would.\For your sake, not mine.\Really, you never know when an adventurer is going to die.\I know lots of adventurers who never came back.\I don't want you to go away. response:	So maybe it really is for my sake.
context: Make sure you use it!\What?! I-I can't accept this!\I wish you would.\For your sake, not mine.\Really, you never know when an adventurer is going to die.\I know lots of adventurers who never came back.\I don't want you to go away.\So maybe it really is for my sake. response:	And when I saw how hard you were working,
context: What?! I-I can't accept this!\I wish you would.\For your sake, not mine.\Really, you never know when an adventurer is going to die.\I know lots of adventurers who never came back.\I don't want you to go away.\So maybe it really is for my sake.\And when I saw how hard you were working, response:	I wanted to help you.
context: I wish you would.\For your sake, not mine.\Really, you never know when an adventurer is going to die.\I know lots of adventurers who never came back.\I don't want you to go away.\So maybe it really is for my sake.\And when I saw how hard you were working,\I wanted to help you. response:	So take it, okay?
context: For your sake, not mine.\Really, you never know when an adventurer is going to die.\I know lots of adventurers who never came back.\I don't want you to go away.\So maybe it really is for my sake.\And when I saw how hard you were working,\I wanted to help you.\So take it, okay? response:	Won't you?
context: Really, you never know when an adventurer is going to die.\I know lots of adventurers who never came back.\I don't want you to go away.\So maybe it really is for my sake.\And when I saw how hard you were working,\I wanted to help you.\So take it, okay?\Won't you? response:	Thank you.
context: I know lots of adventurers who never came back.\I don't want you to go away.\So maybe it really is for my sake.\And when I saw how hard you were working,\I wanted to help you.\So take it, okay?\Won't you?\Thank you. response:	It's a little later than I expected.
context: I don't want you to go away.\So maybe it really is for my sake.\And when I saw how hard you were working,\I wanted to help you.\So take it, okay?\Won't you?\Thank you.\It's a little later than I expected. response:	Are you okay?
context: So maybe it really is for my sake.\And when I saw how hard you were working,\I wanted to help you.\So take it, okay?\Won't you?\Thank you.\It's a little later than I expected.\Are you okay? response:	You're not getting away anymore,
context: And when I saw how hard you were working,\I wanted to help you.\So take it, okay?\Won't you?\Thank you.\It's a little later than I expected.\Are you okay?\You're not getting away anymore, response:	you damned prum!
context: I wanted to help you.\So take it, okay?\Won't you?\Thank you.\It's a little later than I expected.\Are you okay?\You're not getting away anymore,\you damned prum! response:	Who are you?
context: So take it, okay?\Won't you?\Thank you.\It's a little later than I expected.\Are you okay?\You're not getting away anymore,\you damned prum!\Who are you? response:	Are you with her?
context: Won't you?\Thank you.\It's a little later than I expected.\Are you okay?\You're not getting away anymore,\you damned prum!\Who are you?\Are you with her? response:	N-No...
