context: G- Goku! response:	No matter how strong Goku- san may be,
context: P- please don't go judging people by their faces at a time like this!\But usually, the handsome guy fights for justice.\This isn't Earth, it's Planet Namek.\Yeah, I understand that.\Bulma- san, you don't understand anything.\You've managed to mock me pretty good, haven't you, Vegeta- san?\I see.\I recall seeing that runt over there holding the Dragon Ball before. response:	You guys have joined forces, have you?
context: But usually, the handsome guy fights for justice.\This isn't Earth, it's Planet Namek.\Yeah, I understand that.\Bulma- san, you don't understand anything.\You've managed to mock me pretty good, haven't you, Vegeta- san?\I see.\I recall seeing that runt over there holding the Dragon Ball before.\You guys have joined forces, have you? response:	Yoo-hoo!
context: This isn't Earth, it's Planet Namek.\Yeah, I understand that.\Bulma- san, you don't understand anything.\You've managed to mock me pretty good, haven't you, Vegeta- san?\I see.\I recall seeing that runt over there holding the Dragon Ball before.\You guys have joined forces, have you?\Yoo-hoo! response:	Yoo-hoo, yoo-hoo! Beat up Vegeta!
context: Yeah, I understand that.\Bulma- san, you don't understand anything.\You've managed to mock me pretty good, haven't you, Vegeta- san?\I see.\I recall seeing that runt over there holding the Dragon Ball before.\You guys have joined forces, have you?\Yoo-hoo!\Yoo-hoo, yoo-hoo! Beat up Vegeta! response:	I don't care about them.
context: Bulma- san, you don't understand anything.\You've managed to mock me pretty good, haven't you, Vegeta- san?\I see.\I recall seeing that runt over there holding the Dragon Ball before.\You guys have joined forces, have you?\Yoo-hoo!\Yoo-hoo, yoo-hoo! Beat up Vegeta!\I don't care about them. response:	None of that matters.
context: You've managed to mock me pretty good, haven't you, Vegeta- san?\I see.\I recall seeing that runt over there holding the Dragon Ball before.\You guys have joined forces, have you?\Yoo-hoo!\Yoo-hoo, yoo-hoo! Beat up Vegeta!\I don't care about them.\None of that matters. response:	Vegeta, where have you hidden the remaining Dragon Balls?
context: I see.\I recall seeing that runt over there holding the Dragon Ball before.\You guys have joined forces, have you?\Yoo-hoo!\Yoo-hoo, yoo-hoo! Beat up Vegeta!\I don't care about them.\None of that matters.\Vegeta, where have you hidden the remaining Dragon Balls? response:	You're going to stand before Freeza and tell us.
context: I recall seeing that runt over there holding the Dragon Ball before.\You guys have joined forces, have you?\Yoo-hoo!\Yoo-hoo, yoo-hoo! Beat up Vegeta!\I don't care about them.\None of that matters.\Vegeta, where have you hidden the remaining Dragon Balls?\You're going to stand before Freeza and tell us. response:	Try and make me.
context: You guys have joined forces, have you?\Yoo-hoo!\Yoo-hoo, yoo-hoo! Beat up Vegeta!\I don't care about them.\None of that matters.\Vegeta, where have you hidden the remaining Dragon Balls?\You're going to stand before Freeza and tell us.\Try and make me. response:	You'll never learn.
context: Yoo-hoo!\Yoo-hoo, yoo-hoo! Beat up Vegeta!\I don't care about them.\None of that matters.\Vegeta, where have you hidden the remaining Dragon Balls?\You're going to stand before Freeza and tell us.\Try and make me.\You'll never learn. response:	Come on, why don't you transform, already?
context: Yoo-hoo, yoo-hoo! Beat up Vegeta!\I don't care about them.\None of that matters.\Vegeta, where have you hidden the remaining Dragon Balls?\You're going to stand before Freeza and tell us.\Try and make me.\You'll never learn.\Come on, why don't you transform, already? response:	What!?
context: I don't care about them.\None of that matters.\Vegeta, where have you hidden the remaining Dragon Balls?\You're going to stand before Freeza and tell us.\Try and make me.\You'll never learn.\Come on, why don't you transform, already?\What!? response:	Zarbon, until you change into that hideous form of yours,
context: None of that matters.\Vegeta, where have you hidden the remaining Dragon Balls?\You're going to stand before Freeza and tell us.\Try and make me.\You'll never learn.\Come on, why don't you transform, already?\What!?\Zarbon, until you change into that hideous form of yours, response:	you can't fight toe-to-toe with me.
context: Vegeta, where have you hidden the remaining Dragon Balls?\You're going to stand before Freeza and tell us.\Try and make me.\You'll never learn.\Come on, why don't you transform, already?\What!?\Zarbon, until you change into that hideous form of yours,\you can't fight toe-to-toe with me. response:	To someone like myself, who prefers beauty,
context: You're going to stand before Freeza and tell us.\Try and make me.\You'll never learn.\Come on, why don't you transform, already?\What!?\Zarbon, until you change into that hideous form of yours,\you can't fight toe-to-toe with me.\To someone like myself, who prefers beauty, response:	those words are the greatest insult!
context: Try and make me.\You'll never learn.\Come on, why don't you transform, already?\What!?\Zarbon, until you change into that hideous form of yours,\you can't fight toe-to-toe with me.\To someone like myself, who prefers beauty,\those words are the greatest insult! response:	Vegeta, you have gotten me genuinely angry.
context: You'll never learn.\Come on, why don't you transform, already?\What!?\Zarbon, until you change into that hideous form of yours,\you can't fight toe-to-toe with me.\To someone like myself, who prefers beauty,\those words are the greatest insult!\Vegeta, you have gotten me genuinely angry. response:	But you can relax.
context: Come on, why don't you transform, already?\What!?\Zarbon, until you change into that hideous form of yours,\you can't fight toe-to-toe with me.\To someone like myself, who prefers beauty,\those words are the greatest insult!\Vegeta, you have gotten me genuinely angry.\But you can relax. response:	Freeza ordered me to bring you back alive.
context: What!?\Zarbon, until you change into that hideous form of yours,\you can't fight toe-to-toe with me.\To someone like myself, who prefers beauty,\those words are the greatest insult!\Vegeta, you have gotten me genuinely angry.\But you can relax.\Freeza ordered me to bring you back alive. response:	You're too soft, Zarbon.
context: Zarbon, until you change into that hideous form of yours,\you can't fight toe-to-toe with me.\To someone like myself, who prefers beauty,\those words are the greatest insult!\Vegeta, you have gotten me genuinely angry.\But you can relax.\Freeza ordered me to bring you back alive.\You're too soft, Zarbon. response:	That softness is what has restored me back to life.
context: you can't fight toe-to-toe with me.\To someone like myself, who prefers beauty,\those words are the greatest insult!\Vegeta, you have gotten me genuinely angry.\But you can relax.\Freeza ordered me to bring you back alive.\You're too soft, Zarbon.\That softness is what has restored me back to life. response:	Shut up!
context: To someone like myself, who prefers beauty,\those words are the greatest insult!\Vegeta, you have gotten me genuinely angry.\But you can relax.\Freeza ordered me to bring you back alive.\You're too soft, Zarbon.\That softness is what has restored me back to life.\Shut up! response:	How handsome!
context: those words are the greatest insult!\Vegeta, you have gotten me genuinely angry.\But you can relax.\Freeza ordered me to bring you back alive.\You're too soft, Zarbon.\That softness is what has restored me back to life.\Shut up!\How handsome! response:	Bulma- san...
context: Vegeta, you have gotten me genuinely angry.\But you can relax.\Freeza ordered me to bring you back alive.\You're too soft, Zarbon.\That softness is what has restored me back to life.\Shut up!\How handsome!\Bulma- san... response:	Bulma- san, now's our chance! Let's get out of here!
context: But you can relax.\Freeza ordered me to bring you back alive.\You're too soft, Zarbon.\That softness is what has restored me back to life.\Shut up!\How handsome!\Bulma- san...\Bulma- san, now's our chance! Let's get out of here! response:	But he said he'd kill us if we ran!
context: Freeza ordered me to bring you back alive.\You're too soft, Zarbon.\That softness is what has restored me back to life.\Shut up!\How handsome!\Bulma- san...\Bulma- san, now's our chance! Let's get out of here!\But he said he'd kill us if we ran! response:	He'll kill us even if we don't run!
context: You're too soft, Zarbon.\That softness is what has restored me back to life.\Shut up!\How handsome!\Bulma- san...\Bulma- san, now's our chance! Let's get out of here!\But he said he'd kill us if we ran!\He'll kill us even if we don't run! response:	I won't let you do that!
context: That softness is what has restored me back to life.\Shut up!\How handsome!\Bulma- san...\Bulma- san, now's our chance! Let's get out of here!\But he said he'd kill us if we ran!\He'll kill us even if we don't run!\I won't let you do that! response:	Damn! He doesn't miss a single thing!
context: Shut up!\How handsome!\Bulma- san...\Bulma- san, now's our chance! Let's get out of here!\But he said he'd kill us if we ran!\He'll kill us even if we don't run!\I won't let you do that!\Damn! He doesn't miss a single thing! response:	Don't you sell me short!
context: How handsome!\Bulma- san...\Bulma- san, now's our chance! Let's get out of here!\But he said he'd kill us if we ran!\He'll kill us even if we don't run!\I won't let you do that!\Damn! He doesn't miss a single thing!\Don't you sell me short! response:	You are prepared to answer for this, yes?
context: Bulma- san...\Bulma- san, now's our chance! Let's get out of here!\But he said he'd kill us if we ran!\He'll kill us even if we don't run!\I won't let you do that!\Damn! He doesn't miss a single thing!\Don't you sell me short!\You are prepared to answer for this, yes? response:	If you are unable to bring Vegeta back here in one hour...
context: Bulma- san, now's our chance! Let's get out of here!\But he said he'd kill us if we ran!\He'll kill us even if we don't run!\I won't let you do that!\Damn! He doesn't miss a single thing!\Don't you sell me short!\You are prepared to answer for this, yes?\If you are unable to bring Vegeta back here in one hour... response:	lf this keeps up...
context: But he said he'd kill us if we ran!\He'll kill us even if we don't run!\I won't let you do that!\Damn! He doesn't miss a single thing!\Don't you sell me short!\You are prepared to answer for this, yes?\If you are unable to bring Vegeta back here in one hour...\lf this keeps up... response:	You've finally made up your mind, have you?
context: He'll kill us even if we don't run!\I won't let you do that!\Damn! He doesn't miss a single thing!\Don't you sell me short!\You are prepared to answer for this, yes?\If you are unable to bring Vegeta back here in one hour...\lf this keeps up...\You've finally made up your mind, have you? response:	H- he's a villain, all right!
context: I won't let you do that!\Damn! He doesn't miss a single thing!\Don't you sell me short!\You are prepared to answer for this, yes?\If you are unable to bring Vegeta back here in one hour...\lf this keeps up...\You've finally made up your mind, have you?\H- he's a villain, all right! response:	W- what was that!? He turned into a monster!
context: Damn! He doesn't miss a single thing!\Don't you sell me short!\You are prepared to answer for this, yes?\If you are unable to bring Vegeta back here in one hour...\lf this keeps up...\You've finally made up your mind, have you?\H- he's a villain, all right!\W- what was that!? He turned into a monster! response:	What's more, his power shot up like mad!
context: Don't you sell me short!\You are prepared to answer for this, yes?\If you are unable to bring Vegeta back here in one hour...\lf this keeps up...\You've finally made up your mind, have you?\H- he's a villain, all right!\W- what was that!? He turned into a monster!\What's more, his power shot up like mad! response:	Vegeta, you're the only one who has seen this form twice!
context: You are prepared to answer for this, yes?\If you are unable to bring Vegeta back here in one hour...\lf this keeps up...\You've finally made up your mind, have you?\H- he's a villain, all right!\W- what was that!? He turned into a monster!\What's more, his power shot up like mad!\Vegeta, you're the only one who has seen this form twice! response:	I wonder why it was at the bottom of that lake.
context: If you are unable to bring Vegeta back here in one hour...\lf this keeps up...\You've finally made up your mind, have you?\H- he's a villain, all right!\W- what was that!? He turned into a monster!\What's more, his power shot up like mad!\Vegeta, you're the only one who has seen this form twice!\I wonder why it was at the bottom of that lake. response:	I know! The villagers might have been in a rush to hide it.
context: lf this keeps up...\You've finally made up your mind, have you?\H- he's a villain, all right!\W- what was that!? He turned into a monster!\What's more, his power shot up like mad!\Vegeta, you're the only one who has seen this form twice!\I wonder why it was at the bottom of that lake.\I know! The villagers might have been in a rush to hide it. response:	There are two incredible Ki!
context: You've finally made up your mind, have you?\H- he's a villain, all right!\W- what was that!? He turned into a monster!\What's more, his power shot up like mad!\Vegeta, you're the only one who has seen this form twice!\I wonder why it was at the bottom of that lake.\I know! The villagers might have been in a rush to hide it.\There are two incredible Ki! response:	They're coming from where Bulma- san is waiting!
context: H- he's a villain, all right!\W- what was that!? He turned into a monster!\What's more, his power shot up like mad!\Vegeta, you're the only one who has seen this form twice!\I wonder why it was at the bottom of that lake.\I know! The villagers might have been in a rush to hide it.\There are two incredible Ki!\They're coming from where Bulma- san is waiting! response:	Whichever one of them wins, it's bad news for us.
context: W- what was that!? He turned into a monster!\What's more, his power shot up like mad!\Vegeta, you're the only one who has seen this form twice!\I wonder why it was at the bottom of that lake.\I know! The villagers might have been in a rush to hide it.\There are two incredible Ki!\They're coming from where Bulma- san is waiting!\Whichever one of them wins, it's bad news for us. response:	S- Son- kun, hurry and get here!
context: What's more, his power shot up like mad!\Vegeta, you're the only one who has seen this form twice!\I wonder why it was at the bottom of that lake.\I know! The villagers might have been in a rush to hide it.\There are two incredible Ki!\They're coming from where Bulma- san is waiting!\Whichever one of them wins, it's bad news for us.\S- Son- kun, hurry and get here! response:	What are you doing, Goku!? Stop that!
context: Vegeta, you're the only one who has seen this form twice!\I wonder why it was at the bottom of that lake.\I know! The villagers might have been in a rush to hide it.\There are two incredible Ki!\They're coming from where Bulma- san is waiting!\Whichever one of them wins, it's bad news for us.\S- Son- kun, hurry and get here!\What are you doing, Goku!? Stop that! response:	I ain't about... to die here!
context: I wonder why it was at the bottom of that lake.\I know! The villagers might have been in a rush to hide it.\There are two incredible Ki!\They're coming from where Bulma- san is waiting!\Whichever one of them wins, it's bad news for us.\S- Son- kun, hurry and get here!\What are you doing, Goku!? Stop that!\I ain't about... to die here! response:	Goku, it's no use! You can't cut that chain!
context: I know! The villagers might have been in a rush to hide it.\There are two incredible Ki!\They're coming from where Bulma- san is waiting!\Whichever one of them wins, it's bad news for us.\S- Son- kun, hurry and get here!\What are you doing, Goku!? Stop that!\I ain't about... to die here!\Goku, it's no use! You can't cut that chain! response:	G- Goku!
context: There are two incredible Ki!\They're coming from where Bulma- san is waiting!\Whichever one of them wins, it's bad news for us.\S- Son- kun, hurry and get here!\What are you doing, Goku!? Stop that!\I ain't about... to die here!\Goku, it's no use! You can't cut that chain!\G- Goku! response:	Goku- san!
context: They're coming from where Bulma- san is waiting!\Whichever one of them wins, it's bad news for us.\S- Son- kun, hurry and get here!\What are you doing, Goku!? Stop that!\I ain't about... to die here!\Goku, it's no use! You can't cut that chain!\G- Goku!\Goku- san! response:	It's designed so that it won't break when you do that!
context: Whichever one of them wins, it's bad news for us.\S- Son- kun, hurry and get here!\What are you doing, Goku!? Stop that!\I ain't about... to die here!\Goku, it's no use! You can't cut that chain!\G- Goku!\Goku- san!\It's designed so that it won't break when you do that! response:	Kaio-ken!!
context: S- Son- kun, hurry and get here!\What are you doing, Goku!? Stop that!\I ain't about... to die here!\Goku, it's no use! You can't cut that chain!\G- Goku!\Goku- san!\It's designed so that it won't break when you do that!\Kaio-ken!! response:	He did it! He did it! What a guy! That was amazing!
context: What are you doing, Goku!? Stop that!\I ain't about... to die here!\Goku, it's no use! You can't cut that chain!\G- Goku!\Goku- san!\It's designed so that it won't break when you do that!\Kaio-ken!!\He did it! He did it! What a guy! That was amazing! response:	Damn... that's 100-times gravity for you...
context: I ain't about... to die here!\Goku, it's no use! You can't cut that chain!\G- Goku!\Goku- san!\It's designed so that it won't break when you do that!\Kaio-ken!!\He did it! He did it! What a guy! That was amazing!\Damn... that's 100-times gravity for you... response:	The bones throughout my body are broken to pieces...
context: Goku, it's no use! You can't cut that chain!\G- Goku!\Goku- san!\It's designed so that it won't break when you do that!\Kaio-ken!!\He did it! He did it! What a guy! That was amazing!\Damn... that's 100-times gravity for you...\The bones throughout my body are broken to pieces... response:	Goku! Goku!
context: G- Goku!\Goku- san!\It's designed so that it won't break when you do that!\Kaio-ken!!\He did it! He did it! What a guy! That was amazing!\Damn... that's 100-times gravity for you...\The bones throughout my body are broken to pieces...\Goku! Goku! response:	Goku-san! Goku-san!
context: Goku- san!\It's designed so that it won't break when you do that!\Kaio-ken!!\He did it! He did it! What a guy! That was amazing!\Damn... that's 100-times gravity for you...\The bones throughout my body are broken to pieces...\Goku! Goku!\Goku-san! Goku-san! response:	l know... I can't die here...
context: It's designed so that it won't break when you do that!\Kaio-ken!!\He did it! He did it! What a guy! That was amazing!\Damn... that's 100-times gravity for you...\The bones throughout my body are broken to pieces...\Goku! Goku!\Goku-san! Goku-san!\l know... I can't die here... response:	l've got bones broken all over...
context: Kaio-ken!!\He did it! He did it! What a guy! That was amazing!\Damn... that's 100-times gravity for you...\The bones throughout my body are broken to pieces...\Goku! Goku!\Goku-san! Goku-san!\l know... I can't die here...\l've got bones broken all over... response:	Vegeta, just you wait!
context: He did it! He did it! What a guy! That was amazing!\Damn... that's 100-times gravity for you...\The bones throughout my body are broken to pieces...\Goku! Goku!\Goku-san! Goku-san!\l know... I can't die here...\l've got bones broken all over...\Vegeta, just you wait! response:	Goku- san!
context: Damn... that's 100-times gravity for you...\The bones throughout my body are broken to pieces...\Goku! Goku!\Goku-san! Goku-san!\l know... I can't die here...\l've got bones broken all over...\Vegeta, just you wait!\Goku- san! response:	Goku!
context: The bones throughout my body are broken to pieces...\Goku! Goku!\Goku-san! Goku-san!\l know... I can't die here...\l've got bones broken all over...\Vegeta, just you wait!\Goku- san!\Goku! response:	Goku! Don't worry about your face! Hang in there!
context: Goku! Goku!\Goku-san! Goku-san!\l know... I can't die here...\l've got bones broken all over...\Vegeta, just you wait!\Goku- san!\Goku!\Goku! Don't worry about your face! Hang in there! response:	He did it! He did it! He did it!
context: Goku-san! Goku-san!\l know... I can't die here...\l've got bones broken all over...\Vegeta, just you wait!\Goku- san!\Goku!\Goku! Don't worry about your face! Hang in there!\He did it! He did it! He did it! response:	Whew, that was a close one.
context: l know... I can't die here...\l've got bones broken all over...\Vegeta, just you wait!\Goku- san!\Goku!\Goku! Don't worry about your face! Hang in there!\He did it! He did it! He did it!\Whew, that was a close one. response:	A little bit more, and I would have been dead.
context: l've got bones broken all over...\Vegeta, just you wait!\Goku- san!\Goku!\Goku! Don't worry about your face! Hang in there!\He did it! He did it! He did it!\Whew, that was a close one.\A little bit more, and I would have been dead. response:	But still, I did it.
context: Vegeta, just you wait!\Goku- san!\Goku!\Goku! Don't worry about your face! Hang in there!\He did it! He did it! He did it!\Whew, that was a close one.\A little bit more, and I would have been dead.\But still, I did it. response:	I experienced 100-times gravity.
context: Goku- san!\Goku!\Goku! Don't worry about your face! Hang in there!\He did it! He did it! He did it!\Whew, that was a close one.\A little bit more, and I would have been dead.\But still, I did it.\I experienced 100-times gravity. response:	At this point, I can go right to training at 100-times.
context: Goku!\Goku! Don't worry about your face! Hang in there!\He did it! He did it! He did it!\Whew, that was a close one.\A little bit more, and I would have been dead.\But still, I did it.\I experienced 100-times gravity.\At this point, I can go right to training at 100-times. response:	You fell for it, Zarbon.
context: Goku! Don't worry about your face! Hang in there!\He did it! He did it! He did it!\Whew, that was a close one.\A little bit more, and I would have been dead.\But still, I did it.\I experienced 100-times gravity.\At this point, I can go right to training at 100-times.\You fell for it, Zarbon. response:	Dammit!
context: He did it! He did it! He did it!\Whew, that was a close one.\A little bit more, and I would have been dead.\But still, I did it.\I experienced 100-times gravity.\At this point, I can go right to training at 100-times.\You fell for it, Zarbon.\Dammit! response:	You planned that!
context: Whew, that was a close one.\A little bit more, and I would have been dead.\But still, I did it.\I experienced 100-times gravity.\At this point, I can go right to training at 100-times.\You fell for it, Zarbon.\Dammit!\You planned that! response:	Vegeta! How dare you!
context: A little bit more, and I would have been dead.\But still, I did it.\I experienced 100-times gravity.\At this point, I can go right to training at 100-times.\You fell for it, Zarbon.\Dammit!\You planned that!\Vegeta! How dare you! response:	Looks like that hurt pretty bad.
context: But still, I did it.\I experienced 100-times gravity.\At this point, I can go right to training at 100-times.\You fell for it, Zarbon.\Dammit!\You planned that!\Vegeta! How dare you!\Looks like that hurt pretty bad. response:	Your strength has dropped quite a bit, hasn't it?
context: I experienced 100-times gravity.\At this point, I can go right to training at 100-times.\You fell for it, Zarbon.\Dammit!\You planned that!\Vegeta! How dare you!\Looks like that hurt pretty bad.\Your strength has dropped quite a bit, hasn't it? response:	Zarbon- san, it appears your death is near.
context: At this point, I can go right to training at 100-times.\You fell for it, Zarbon.\Dammit!\You planned that!\Vegeta! How dare you!\Looks like that hurt pretty bad.\Your strength has dropped quite a bit, hasn't it?\Zarbon- san, it appears your death is near. response:	My death is near!?
context: You fell for it, Zarbon.\Dammit!\You planned that!\Vegeta! How dare you!\Looks like that hurt pretty bad.\Your strength has dropped quite a bit, hasn't it?\Zarbon- san, it appears your death is near.\My death is near!? response:	Don't make me laugh!
context: Dammit!\You planned that!\Vegeta! How dare you!\Looks like that hurt pretty bad.\Your strength has dropped quite a bit, hasn't it?\Zarbon- san, it appears your death is near.\My death is near!?\Don't make me laugh! response:	My battle power is higher than yours!
context: You planned that!\Vegeta! How dare you!\Looks like that hurt pretty bad.\Your strength has dropped quite a bit, hasn't it?\Zarbon- san, it appears your death is near.\My death is near!?\Don't make me laugh!\My battle power is higher than yours! response:	Zarbon- san, aren't you supposed to be well informed about Saiyans?
context: Vegeta! How dare you!\Looks like that hurt pretty bad.\Your strength has dropped quite a bit, hasn't it?\Zarbon- san, it appears your death is near.\My death is near!?\Don't make me laugh!\My battle power is higher than yours!\Zarbon- san, aren't you supposed to be well informed about Saiyans? response:	Carelessly treating me after I was near death was a bad idea, huh?
context: Looks like that hurt pretty bad.\Your strength has dropped quite a bit, hasn't it?\Zarbon- san, it appears your death is near.\My death is near!?\Don't make me laugh!\My battle power is higher than yours!\Zarbon- san, aren't you supposed to be well informed about Saiyans?\Carelessly treating me after I was near death was a bad idea, huh? response:	Isn't that right?
context: Your strength has dropped quite a bit, hasn't it?\Zarbon- san, it appears your death is near.\My death is near!?\Don't make me laugh!\My battle power is higher than yours!\Zarbon- san, aren't you supposed to be well informed about Saiyans?\Carelessly treating me after I was near death was a bad idea, huh?\Isn't that right? response:	lt's a good thing l brought these Senzu...
context: Zarbon- san, it appears your death is near.\My death is near!?\Don't make me laugh!\My battle power is higher than yours!\Zarbon- san, aren't you supposed to be well informed about Saiyans?\Carelessly treating me after I was near death was a bad idea, huh?\Isn't that right?\lt's a good thing l brought these Senzu... response:	l'll have to thank Yajirobe...
context: My death is near!?\Don't make me laugh!\My battle power is higher than yours!\Zarbon- san, aren't you supposed to be well informed about Saiyans?\Carelessly treating me after I was near death was a bad idea, huh?\Isn't that right?\lt's a good thing l brought these Senzu...\l'll have to thank Yajirobe... response:	Yahoo!
context: Don't make me laugh!\My battle power is higher than yours!\Zarbon- san, aren't you supposed to be well informed about Saiyans?\Carelessly treating me after I was near death was a bad idea, huh?\Isn't that right?\lt's a good thing l brought these Senzu...\l'll have to thank Yajirobe...\Yahoo! response:	Ups-a-daisy!
context: My battle power is higher than yours!\Zarbon- san, aren't you supposed to be well informed about Saiyans?\Carelessly treating me after I was near death was a bad idea, huh?\Isn't that right?\lt's a good thing l brought these Senzu...\l'll have to thank Yajirobe...\Yahoo!\Ups-a-daisy! response:	All right, I'm back to my old self! Now for some 100-times training-
context: Zarbon- san, aren't you supposed to be well informed about Saiyans?\Carelessly treating me after I was near death was a bad idea, huh?\Isn't that right?\lt's a good thing l brought these Senzu...\l'll have to thank Yajirobe...\Yahoo!\Ups-a-daisy!\All right, I'm back to my old self! Now for some 100-times training- response:	Before I do, maybe I'll go have something to eat.
context: Carelessly treating me after I was near death was a bad idea, huh?\Isn't that right?\lt's a good thing l brought these Senzu...\l'll have to thank Yajirobe...\Yahoo!\Ups-a-daisy!\All right, I'm back to my old self! Now for some 100-times training-\Before I do, maybe I'll go have something to eat. response:	Saiyans are able to increase their battle power dramatically...
context: Isn't that right?\lt's a good thing l brought these Senzu...\l'll have to thank Yajirobe...\Yahoo!\Ups-a-daisy!\All right, I'm back to my old self! Now for some 100-times training-\Before I do, maybe I'll go have something to eat.\Saiyans are able to increase their battle power dramatically... response:	So that's it.
context: lt's a good thing l brought these Senzu...\l'll have to thank Yajirobe...\Yahoo!\Ups-a-daisy!\All right, I'm back to my old self! Now for some 100-times training-\Before I do, maybe I'll go have something to eat.\Saiyans are able to increase their battle power dramatically...\So that's it. response:	Now that he mentions it, Goku got stronger every time he had a fierce battle.
context: l'll have to thank Yajirobe...\Yahoo!\Ups-a-daisy!\All right, I'm back to my old self! Now for some 100-times training-\Before I do, maybe I'll go have something to eat.\Saiyans are able to increase their battle power dramatically...\So that's it.\Now that he mentions it, Goku got stronger every time he had a fierce battle. response:	Damn, so that's the reason why Vegeta's Ki has risen like crazy, huh?
context: Yahoo!\Ups-a-daisy!\All right, I'm back to my old self! Now for some 100-times training-\Before I do, maybe I'll go have something to eat.\Saiyans are able to increase their battle power dramatically...\So that's it.\Now that he mentions it, Goku got stronger every time he had a fierce battle.\Damn, so that's the reason why Vegeta's Ki has risen like crazy, huh? response:	Listen, even if your battle power has risen,
