context: So, what do you want? response:	I have two questions for you.
context: Eventually, I was having fun swimming with everyone.\At prefecturals, I finally swam in a relay with them.\That was the first time I really understood relays\as more than just a theory.\I realized how fun they could be!\I can still remember how it felt.\We were finally united as one!\We felt like a real team! response:	But they all keep talking about you!
context: At prefecturals, I finally swam in a relay with them.\That was the first time I really understood relays\as more than just a theory.\I realized how fun they could be!\I can still remember how it felt.\We were finally united as one!\We felt like a real team!\But they all keep talking about you! response:	Rin-chan!
context: That was the first time I really understood relays\as more than just a theory.\I realized how fun they could be!\I can still remember how it felt.\We were finally united as one!\We felt like a real team!\But they all keep talking about you!\Rin-chan! response:	Rin-chan!
context: as more than just a theory.\I realized how fun they could be!\I can still remember how it felt.\We were finally united as one!\We felt like a real team!\But they all keep talking about you!\Rin-chan!\Rin-chan! response:	Rin-chan!
context: I realized how fun they could be!\I can still remember how it felt.\We were finally united as one!\We felt like a real team!\But they all keep talking about you!\Rin-chan!\Rin-chan!\Rin-chan! response:	That's not my problem!
context: I can still remember how it felt.\We were finally united as one!\We felt like a real team!\But they all keep talking about you!\Rin-chan!\Rin-chan!\Rin-chan!\That's not my problem! response:	Like hell it's not!
context: We were finally united as one!\We felt like a real team!\But they all keep talking about you!\Rin-chan!\Rin-chan!\Rin-chan!\That's not my problem!\Like hell it's not! response:	Bastard!
context: We felt like a real team!\But they all keep talking about you!\Rin-chan!\Rin-chan!\Rin-chan!\That's not my problem!\Like hell it's not!\Bastard! response:	It's your fault that Haruka-senpai stopped swimming!
context: But they all keep talking about you!\Rin-chan!\Rin-chan!\Rin-chan!\That's not my problem!\Like hell it's not!\Bastard!\It's your fault that Haruka-senpai stopped swimming! response:	Huh?! What are you talking about?!
context: Rin-chan!\Rin-chan!\Rin-chan!\That's not my problem!\Like hell it's not!\Bastard!\It's your fault that Haruka-senpai stopped swimming!\Huh?! What are you talking about?! response:	Haruka-senpai felt guilty about beating you in middle school!
context: Rin-chan!\Rin-chan!\That's not my problem!\Like hell it's not!\Bastard!\It's your fault that Haruka-senpai stopped swimming!\Huh?! What are you talking about?!\Haruka-senpai felt guilty about beating you in middle school! response:	So why are you people acting this way?!
context: Rin-chan!\That's not my problem!\Like hell it's not!\Bastard!\It's your fault that Haruka-senpai stopped swimming!\Huh?! What are you talking about?!\Haruka-senpai felt guilty about beating you in middle school!\So why are you people acting this way?! response:	I don't get it!
context: That's not my problem!\Like hell it's not!\Bastard!\It's your fault that Haruka-senpai stopped swimming!\Huh?! What are you talking about?!\Haruka-senpai felt guilty about beating you in middle school!\So why are you people acting this way?!\I don't get it! response:	You beat Haruka-senpai in your last race!
context: Like hell it's not!\Bastard!\It's your fault that Haruka-senpai stopped swimming!\Huh?! What are you talking about?!\Haruka-senpai felt guilty about beating you in middle school!\So why are you people acting this way?!\I don't get it!\You beat Haruka-senpai in your last race! response:	Isn't that enough?!
context: Bastard!\It's your fault that Haruka-senpai stopped swimming!\Huh?! What are you talking about?!\Haruka-senpai felt guilty about beating you in middle school!\So why are you people acting this way?!\I don't get it!\You beat Haruka-senpai in your last race!\Isn't that enough?! response:	Why are you swimming in the relay now?!
context: It's your fault that Haruka-senpai stopped swimming!\Huh?! What are you talking about?!\Haruka-senpai felt guilty about beating you in middle school!\So why are you people acting this way?!\I don't get it!\You beat Haruka-senpai in your last race!\Isn't that enough?!\Why are you swimming in the relay now?! response:	What do you want to do?!
context: Huh?! What are you talking about?!\Haruka-senpai felt guilty about beating you in middle school!\So why are you people acting this way?!\I don't get it!\You beat Haruka-senpai in your last race!\Isn't that enough?!\Why are you swimming in the relay now?!\What do you want to do?! response:	What do you want from Haruka-senpai?!
context: Haruka-senpai felt guilty about beating you in middle school!\So why are you people acting this way?!\I don't get it!\You beat Haruka-senpai in your last race!\Isn't that enough?!\Why are you swimming in the relay now?!\What do you want to do?!\What do you want from Haruka-senpai?! response:	What will it take to satisfy you?!
context: So why are you people acting this way?!\I don't get it!\You beat Haruka-senpai in your last race!\Isn't that enough?!\Why are you swimming in the relay now?!\What do you want to do?!\What do you want from Haruka-senpai?!\What will it take to satisfy you?! response:	In that case...
context: I don't get it!\You beat Haruka-senpai in your last race!\Isn't that enough?!\Why are you swimming in the relay now?!\What do you want to do?!\What do you want from Haruka-senpai?!\What will it take to satisfy you?!\In that case... response:	What about you?
context: You beat Haruka-senpai in your last race!\Isn't that enough?!\Why are you swimming in the relay now?!\What do you want to do?!\What do you want from Haruka-senpai?!\What will it take to satisfy you?!\In that case...\What about you? response:	You weren't involved in any of this,
context: Isn't that enough?!\Why are you swimming in the relay now?!\What do you want to do?!\What do you want from Haruka-senpai?!\What will it take to satisfy you?!\In that case...\What about you?\You weren't involved in any of this, response:	so why are you giving me all this grief?!
context: Why are you swimming in the relay now?!\What do you want to do?!\What do you want from Haruka-senpai?!\What will it take to satisfy you?!\In that case...\What about you?\You weren't involved in any of this,\so why are you giving me all this grief?! response:	What do you want to do?!
context: What do you want to do?!\What do you want from Haruka-senpai?!\What will it take to satisfy you?!\In that case...\What about you?\You weren't involved in any of this,\so why are you giving me all this grief?!\What do you want to do?! response:	I want us to become the best team at a tournament.
context: What do you want from Haruka-senpai?!\What will it take to satisfy you?!\In that case...\What about you?\You weren't involved in any of this,\so why are you giving me all this grief?!\What do you want to do?!\I want us to become the best team at a tournament. response:	I want to swim with them as a member of that team.
context: What will it take to satisfy you?!\In that case...\What about you?\You weren't involved in any of this,\so why are you giving me all this grief?!\What do you want to do?!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team. response:	That's all I want.
context: In that case...\What about you?\You weren't involved in any of this,\so why are you giving me all this grief?!\What do you want to do?!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want. response:	If you interfere,
context: What about you?\You weren't involved in any of this,\so why are you giving me all this grief?!\What do you want to do?!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want.\If you interfere, response:	I will never forgive you.
context: You weren't involved in any of this,\so why are you giving me all this grief?!\What do you want to do?!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want.\If you interfere,\I will never forgive you. response:	Is Rei okay?
context: so why are you giving me all this grief?!\What do you want to do?!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want.\If you interfere,\I will never forgive you.\Is Rei okay? response:	I think he'll be fine...
context: What do you want to do?!\I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want.\If you interfere,\I will never forgive you.\Is Rei okay?\I think he'll be fine... response:	But I'm a little worried.
context: I want us to become the best team at a tournament.\I want to swim with them as a member of that team.\That's all I want.\If you interfere,\I will never forgive you.\Is Rei okay?\I think he'll be fine...\But I'm a little worried. response:	Damn that Rei...
context: I want to swim with them as a member of that team.\That's all I want.\If you interfere,\I will never forgive you.\Is Rei okay?\I think he'll be fine...\But I'm a little worried.\Damn that Rei... response:	Doesn't he realize that an athlete needs to take care of his own health?
context: That's all I want.\If you interfere,\I will never forgive you.\Is Rei okay?\I think he'll be fine...\But I'm a little worried.\Damn that Rei...\Doesn't he realize that an athlete needs to take care of his own health? response:	Hey, go check on him.
context: If you interfere,\I will never forgive you.\Is Rei okay?\I think he'll be fine...\But I'm a little worried.\Damn that Rei...\Doesn't he realize that an athlete needs to take care of his own health?\Hey, go check on him. response:	Oh, isn't this the first time we've gone to Rei's place?
context: I will never forgive you.\Is Rei okay?\I think he'll be fine...\But I'm a little worried.\Damn that Rei...\Doesn't he realize that an athlete needs to take care of his own health?\Hey, go check on him.\Oh, isn't this the first time we've gone to Rei's place? response:	I live nearby, so I've dropped by a few times.
context: Is Rei okay?\I think he'll be fine...\But I'm a little worried.\Damn that Rei...\Doesn't he realize that an athlete needs to take care of his own health?\Hey, go check on him.\Oh, isn't this the first time we've gone to Rei's place?\I live nearby, so I've dropped by a few times. response:	Oh, what kind of gift should we get him?
context: I think he'll be fine...\But I'm a little worried.\Damn that Rei...\Doesn't he realize that an athlete needs to take care of his own health?\Hey, go check on him.\Oh, isn't this the first time we've gone to Rei's place?\I live nearby, so I've dropped by a few times.\Oh, what kind of gift should we get him? response:	We should definitely get him a melon!
context: But I'm a little worried.\Damn that Rei...\Doesn't he realize that an athlete needs to take care of his own health?\Hey, go check on him.\Oh, isn't this the first time we've gone to Rei's place?\I live nearby, so I've dropped by a few times.\Oh, what kind of gift should we get him?\We should definitely get him a melon! response:	Muskmelons
context: Damn that Rei...\Doesn't he realize that an athlete needs to take care of his own health?\Hey, go check on him.\Oh, isn't this the first time we've gone to Rei's place?\I live nearby, so I've dropped by a few times.\Oh, what kind of gift should we get him?\We should definitely get him a melon!\Muskmelons response:	There won't be any under 1,000 yen.
context: Doesn't he realize that an athlete needs to take care of his own health?\Hey, go check on him.\Oh, isn't this the first time we've gone to Rei's place?\I live nearby, so I've dropped by a few times.\Oh, what kind of gift should we get him?\We should definitely get him a melon!\Muskmelons\There won't be any under 1,000 yen. response:	Do we go with strawberries, then?
context: Hey, go check on him.\Oh, isn't this the first time we've gone to Rei's place?\I live nearby, so I've dropped by a few times.\Oh, what kind of gift should we get him?\We should definitely get him a melon!\Muskmelons\There won't be any under 1,000 yen.\Do we go with strawberries, then? response:	Wasn't it strawberry milk ice cream that made him sick?
context: Oh, isn't this the first time we've gone to Rei's place?\I live nearby, so I've dropped by a few times.\Oh, what kind of gift should we get him?\We should definitely get him a melon!\Muskmelons\There won't be any under 1,000 yen.\Do we go with strawberries, then?\Wasn't it strawberry milk ice cream that made him sick? response:	Oh, that's right...
context: I live nearby, so I've dropped by a few times.\Oh, what kind of gift should we get him?\We should definitely get him a melon!\Muskmelons\There won't be any under 1,000 yen.\Do we go with strawberries, then?\Wasn't it strawberry milk ice cream that made him sick?\Oh, that's right... response:	How about bananas?
context: Oh, what kind of gift should we get him?\We should definitely get him a melon!\Muskmelons\There won't be any under 1,000 yen.\Do we go with strawberries, then?\Wasn't it strawberry milk ice cream that made him sick?\Oh, that's right...\How about bananas? response:	Should we even be bringing food if he has an upset stomach?
context: We should definitely get him a melon!\Muskmelons\There won't be any under 1,000 yen.\Do we go with strawberries, then?\Wasn't it strawberry milk ice cream that made him sick?\Oh, that's right...\How about bananas?\Should we even be bringing food if he has an upset stomach? response:	Are you sure it was something he ate?
context: Muskmelons\There won't be any under 1,000 yen.\Do we go with strawberries, then?\Wasn't it strawberry milk ice cream that made him sick?\Oh, that's right...\How about bananas?\Should we even be bringing food if he has an upset stomach?\Are you sure it was something he ate? response:	Huh?
context: There won't be any under 1,000 yen.\Do we go with strawberries, then?\Wasn't it strawberry milk ice cream that made him sick?\Oh, that's right...\How about bananas?\Should we even be bringing food if he has an upset stomach?\Are you sure it was something he ate?\Huh? response:	Or was it what I said yesterday that's bothering him?
context: Do we go with strawberries, then?\Wasn't it strawberry milk ice cream that made him sick?\Oh, that's right...\How about bananas?\Should we even be bringing food if he has an upset stomach?\Are you sure it was something he ate?\Huh?\Or was it what I said yesterday that's bothering him? response:	Um...
context: Wasn't it strawberry milk ice cream that made him sick?\Oh, that's right...\How about bananas?\Should we even be bringing food if he has an upset stomach?\Are you sure it was something he ate?\Huh?\Or was it what I said yesterday that's bothering him?\Um... response:	Heya, Rei-chan!
context: Oh, that's right...\How about bananas?\Should we even be bringing food if he has an upset stomach?\Are you sure it was something he ate?\Huh?\Or was it what I said yesterday that's bothering him?\Um...\Heya, Rei-chan! response:	We're here to see you.
context: How about bananas?\Should we even be bringing food if he has an upset stomach?\Are you sure it was something he ate?\Huh?\Or was it what I said yesterday that's bothering him?\Um...\Heya, Rei-chan!\We're here to see you. response:	Why is everybody here?
context: Should we even be bringing food if he has an upset stomach?\Are you sure it was something he ate?\Huh?\Or was it what I said yesterday that's bothering him?\Um...\Heya, Rei-chan!\We're here to see you.\Why is everybody here? response:	You weren't at practice today, so we came to see you.
context: Are you sure it was something he ate?\Huh?\Or was it what I said yesterday that's bothering him?\Um...\Heya, Rei-chan!\We're here to see you.\Why is everybody here?\You weren't at practice today, so we came to see you. response:	Oh, I was...
context: Huh?\Or was it what I said yesterday that's bothering him?\Um...\Heya, Rei-chan!\We're here to see you.\Why is everybody here?\You weren't at practice today, so we came to see you.\Oh, I was... response:	Hey, you look like you're gonna be just fine!
context: Or was it what I said yesterday that's bothering him?\Um...\Heya, Rei-chan!\We're here to see you.\Why is everybody here?\You weren't at practice today, so we came to see you.\Oh, I was...\Hey, you look like you're gonna be just fine! response:	Gou-chan and Ama-chan were worried, too.
context: Um...\Heya, Rei-chan!\We're here to see you.\Why is everybody here?\You weren't at practice today, so we came to see you.\Oh, I was...\Hey, you look like you're gonna be just fine!\Gou-chan and Ama-chan were worried, too. response:	Goro-chan was worried you weren't taking care of yourself
context: Heya, Rei-chan!\We're here to see you.\Why is everybody here?\You weren't at practice today, so we came to see you.\Oh, I was...\Hey, you look like you're gonna be just fine!\Gou-chan and Ama-chan were worried, too.\Goro-chan was worried you weren't taking care of yourself response:	with a tournament coming up.
context: We're here to see you.\Why is everybody here?\You weren't at practice today, so we came to see you.\Oh, I was...\Hey, you look like you're gonna be just fine!\Gou-chan and Ama-chan were worried, too.\Goro-chan was worried you weren't taking care of yourself\with a tournament coming up. response:	Everybody was worried about me?
context: Why is everybody here?\You weren't at practice today, so we came to see you.\Oh, I was...\Hey, you look like you're gonna be just fine!\Gou-chan and Ama-chan were worried, too.\Goro-chan was worried you weren't taking care of yourself\with a tournament coming up.\Everybody was worried about me? response:	Of course.
context: You weren't at practice today, so we came to see you.\Oh, I was...\Hey, you look like you're gonna be just fine!\Gou-chan and Ama-chan were worried, too.\Goro-chan was worried you weren't taking care of yourself\with a tournament coming up.\Everybody was worried about me?\Of course. response:	It was the first time you've ever missed practice.
context: Oh, I was...\Hey, you look like you're gonna be just fine!\Gou-chan and Ama-chan were worried, too.\Goro-chan was worried you weren't taking care of yourself\with a tournament coming up.\Everybody was worried about me?\Of course.\It was the first time you've ever missed practice. response:	It'd be one thing if Nagisa missed...
context: Hey, you look like you're gonna be just fine!\Gou-chan and Ama-chan were worried, too.\Goro-chan was worried you weren't taking care of yourself\with a tournament coming up.\Everybody was worried about me?\Of course.\It was the first time you've ever missed practice.\It'd be one thing if Nagisa missed... response:	Hey, what's that supposed to mean?!
context: Gou-chan and Ama-chan were worried, too.\Goro-chan was worried you weren't taking care of yourself\with a tournament coming up.\Everybody was worried about me?\Of course.\It was the first time you've ever missed practice.\It'd be one thing if Nagisa missed...\Hey, what's that supposed to mean?! response:	Sorry, okay?
context: Goro-chan was worried you weren't taking care of yourself\with a tournament coming up.\Everybody was worried about me?\Of course.\It was the first time you've ever missed practice.\It'd be one thing if Nagisa missed...\Hey, what's that supposed to mean?!\Sorry, okay? response:	Oh, these are incredible. Are they from middle school?
context: with a tournament coming up.\Everybody was worried about me?\Of course.\It was the first time you've ever missed practice.\It'd be one thing if Nagisa missed...\Hey, what's that supposed to mean?!\Sorry, okay?\Oh, these are incredible. Are they from middle school? response:	Yes, but that's all in the past.
context: Everybody was worried about me?\Of course.\It was the first time you've ever missed practice.\It'd be one thing if Nagisa missed...\Hey, what's that supposed to mean?!\Sorry, okay?\Oh, these are incredible. Are they from middle school?\Yes, but that's all in the past. response:	But now he has all these swimming books!
