context: The moment I saw that empty room, response:	I felt that I had become lost in a lonely world where only I existed.
context: I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\What?! She moved?!\Mhm. She says she lives a lot farther away, response:	so she doesn't think she can come by much.
context: Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\What?! She moved?!\Mhm. She says she lives a lot farther away,\so she doesn't think she can come by much. response:	She asked me to give her best to everyone here at Jackson's.
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\What?! She moved?!\Mhm. She says she lives a lot farther away,\so she doesn't think she can come by much.\She asked me to give her best to everyone here at Jackson's. response:	Wait a minute. What's that supposed to mean?
context: Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\What?! She moved?!\Mhm. She says she lives a lot farther away,\so she doesn't think she can come by much.\She asked me to give her best to everyone here at Jackson's.\Wait a minute. What's that supposed to mean? response:	That's making me feel real lonely.
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\What?! She moved?!\Mhm. She says she lives a lot farther away,\so she doesn't think she can come by much.\She asked me to give her best to everyone here at Jackson's.\Wait a minute. What's that supposed to mean?\That's making me feel real lonely. response:	Who moved?
context: Yeah, yeah, keep going on\What?! She moved?!\Mhm. She says she lives a lot farther away,\so she doesn't think she can come by much.\She asked me to give her best to everyone here at Jackson's.\Wait a minute. What's that supposed to mean?\That's making me feel real lonely.\Who moved? response:	Nana. She moved to Shirogane.
context: What?! She moved?!\Mhm. She says she lives a lot farther away,\so she doesn't think she can come by much.\She asked me to give her best to everyone here at Jackson's.\Wait a minute. What's that supposed to mean?\That's making me feel real lonely.\Who moved?\Nana. She moved to Shirogane. response:	Why Shirogane, all of a sudden?
context: Mhm. She says she lives a lot farther away,\so she doesn't think she can come by much.\She asked me to give her best to everyone here at Jackson's.\Wait a minute. What's that supposed to mean?\That's making me feel real lonely.\Who moved?\Nana. She moved to Shirogane.\Why Shirogane, all of a sudden? response:	Minami Aoyama, Hiroo, Azabu.
context: so she doesn't think she can come by much.\She asked me to give her best to everyone here at Jackson's.\Wait a minute. What's that supposed to mean?\That's making me feel real lonely.\Who moved?\Nana. She moved to Shirogane.\Why Shirogane, all of a sudden?\Minami Aoyama, Hiroo, Azabu. response:	Each one of those properties was spectacular as well.
context: She asked me to give her best to everyone here at Jackson's.\Wait a minute. What's that supposed to mean?\That's making me feel real lonely.\Who moved?\Nana. She moved to Shirogane.\Why Shirogane, all of a sudden?\Minami Aoyama, Hiroo, Azabu.\Each one of those properties was spectacular as well. response:	They're all in really expensive districts!
context: Wait a minute. What's that supposed to mean?\That's making me feel real lonely.\Who moved?\Nana. She moved to Shirogane.\Why Shirogane, all of a sudden?\Minami Aoyama, Hiroo, Azabu.\Each one of those properties was spectacular as well.\They're all in really expensive districts! response:	But I thought right from the beginning that Nana would choose Shirogane.
context: That's making me feel real lonely.\Who moved?\Nana. She moved to Shirogane.\Why Shirogane, all of a sudden?\Minami Aoyama, Hiroo, Azabu.\Each one of those properties was spectacular as well.\They're all in really expensive districts!\But I thought right from the beginning that Nana would choose Shirogane. response:	Why's that?
context: Who moved?\Nana. She moved to Shirogane.\Why Shirogane, all of a sudden?\Minami Aoyama, Hiroo, Azabu.\Each one of those properties was spectacular as well.\They're all in really expensive districts!\But I thought right from the beginning that Nana would choose Shirogane.\Why's that? response:	Because it's the place that young wives dream about.
context: Nana. She moved to Shirogane.\Why Shirogane, all of a sudden?\Minami Aoyama, Hiroo, Azabu.\Each one of those properties was spectacular as well.\They're all in really expensive districts!\But I thought right from the beginning that Nana would choose Shirogane.\Why's that?\Because it's the place that young wives dream about. response:	Young wives?
context: Why Shirogane, all of a sudden?\Minami Aoyama, Hiroo, Azabu.\Each one of those properties was spectacular as well.\They're all in really expensive districts!\But I thought right from the beginning that Nana would choose Shirogane.\Why's that?\Because it's the place that young wives dream about.\Young wives? response:	She probably wants to be called Shiroganese.
context: Minami Aoyama, Hiroo, Azabu.\Each one of those properties was spectacular as well.\They're all in really expensive districts!\But I thought right from the beginning that Nana would choose Shirogane.\Why's that?\Because it's the place that young wives dream about.\Young wives?\She probably wants to be called Shiroganese. response:	What the?!
context: Each one of those properties was spectacular as well.\They're all in really expensive districts!\But I thought right from the beginning that Nana would choose Shirogane.\Why's that?\Because it's the place that young wives dream about.\Young wives?\She probably wants to be called Shiroganese.\What the?! response:	Personally, I'm a bit relieved.
context: They're all in really expensive districts!\But I thought right from the beginning that Nana would choose Shirogane.\Why's that?\Because it's the place that young wives dream about.\Young wives?\She probably wants to be called Shiroganese.\What the?!\Personally, I'm a bit relieved. response:	I'm looking forward to seeing Nana in a wedding dress.
context: But I thought right from the beginning that Nana would choose Shirogane.\Why's that?\Because it's the place that young wives dream about.\Young wives?\She probably wants to be called Shiroganese.\What the?!\Personally, I'm a bit relieved.\I'm looking forward to seeing Nana in a wedding dress. response:	Even if she's doing it for her child's sake,
context: Why's that?\Because it's the place that young wives dream about.\Young wives?\She probably wants to be called Shiroganese.\What the?!\Personally, I'm a bit relieved.\I'm looking forward to seeing Nana in a wedding dress.\Even if she's doing it for her child's sake, response:	I can't understand how she could marry a guy she doesn't even love.
context: Because it's the place that young wives dream about.\Young wives?\She probably wants to be called Shiroganese.\What the?!\Personally, I'm a bit relieved.\I'm looking forward to seeing Nana in a wedding dress.\Even if she's doing it for her child's sake,\I can't understand how she could marry a guy she doesn't even love. response:	No, if she didn't love him she wouldn't do it.
context: Young wives?\She probably wants to be called Shiroganese.\What the?!\Personally, I'm a bit relieved.\I'm looking forward to seeing Nana in a wedding dress.\Even if she's doing it for her child's sake,\I can't understand how she could marry a guy she doesn't even love.\No, if she didn't love him she wouldn't do it. response:	But what about Nobu?!
context: She probably wants to be called Shiroganese.\What the?!\Personally, I'm a bit relieved.\I'm looking forward to seeing Nana in a wedding dress.\Even if she's doing it for her child's sake,\I can't understand how she could marry a guy she doesn't even love.\No, if she didn't love him she wouldn't do it.\But what about Nobu?! response:	She probably loves them both.
context: What the?!\Personally, I'm a bit relieved.\I'm looking forward to seeing Nana in a wedding dress.\Even if she's doing it for her child's sake,\I can't understand how she could marry a guy she doesn't even love.\No, if she didn't love him she wouldn't do it.\But what about Nobu?!\She probably loves them both. response:	That's something you can relate to, isn't it?
context: Personally, I'm a bit relieved.\I'm looking forward to seeing Nana in a wedding dress.\Even if she's doing it for her child's sake,\I can't understand how she could marry a guy she doesn't even love.\No, if she didn't love him she wouldn't do it.\But what about Nobu?!\She probably loves them both.\That's something you can relate to, isn't it? response:	I'm home!
context: I'm looking forward to seeing Nana in a wedding dress.\Even if she's doing it for her child's sake,\I can't understand how she could marry a guy she doesn't even love.\No, if she didn't love him she wouldn't do it.\But what about Nobu?!\She probably loves them both.\That's something you can relate to, isn't it?\I'm home! response:	Huh? You're here, Shoji.
context: Even if she's doing it for her child's sake,\I can't understand how she could marry a guy she doesn't even love.\No, if she didn't love him she wouldn't do it.\But what about Nobu?!\She probably loves them both.\That's something you can relate to, isn't it?\I'm home!\Huh? You're here, Shoji. response:	So you've finally run outta money to drink at Jackson's?
context: I can't understand how she could marry a guy she doesn't even love.\No, if she didn't love him she wouldn't do it.\But what about Nobu?!\She probably loves them both.\That's something you can relate to, isn't it?\I'm home!\Huh? You're here, Shoji.\So you've finally run outta money to drink at Jackson's? response:	A toast to Nana, who's marrying a rich guy.
context: No, if she didn't love him she wouldn't do it.\But what about Nobu?!\She probably loves them both.\That's something you can relate to, isn't it?\I'm home!\Huh? You're here, Shoji.\So you've finally run outta money to drink at Jackson's?\A toast to Nana, who's marrying a rich guy. response:	So you heard.
context: But what about Nobu?!\She probably loves them both.\That's something you can relate to, isn't it?\I'm home!\Huh? You're here, Shoji.\So you've finally run outta money to drink at Jackson's?\A toast to Nana, who's marrying a rich guy.\So you heard. response:	Although she probably wouldn't want you to celebrate it.
context: She probably loves them both.\That's something you can relate to, isn't it?\I'm home!\Huh? You're here, Shoji.\So you've finally run outta money to drink at Jackson's?\A toast to Nana, who's marrying a rich guy.\So you heard.\Although she probably wouldn't want you to celebrate it. response:	But how rich is this guy, who can afford a million-yen rent?
context: That's something you can relate to, isn't it?\I'm home!\Huh? You're here, Shoji.\So you've finally run outta money to drink at Jackson's?\A toast to Nana, who's marrying a rich guy.\So you heard.\Although she probably wouldn't want you to celebrate it.\But how rich is this guy, who can afford a million-yen rent? response:	No, it's 700,000 yen.
context: I'm home!\Huh? You're here, Shoji.\So you've finally run outta money to drink at Jackson's?\A toast to Nana, who's marrying a rich guy.\So you heard.\Although she probably wouldn't want you to celebrate it.\But how rich is this guy, who can afford a million-yen rent?\No, it's 700,000 yen. response:	She persuaded him to save some of the rent money for the child.
context: Huh? You're here, Shoji.\So you've finally run outta money to drink at Jackson's?\A toast to Nana, who's marrying a rich guy.\So you heard.\Although she probably wouldn't want you to celebrate it.\But how rich is this guy, who can afford a million-yen rent?\No, it's 700,000 yen.\She persuaded him to save some of the rent money for the child. response:	Nana's starting to mature.
context: So you've finally run outta money to drink at Jackson's?\A toast to Nana, who's marrying a rich guy.\So you heard.\Although she probably wouldn't want you to celebrate it.\But how rich is this guy, who can afford a million-yen rent?\No, it's 700,000 yen.\She persuaded him to save some of the rent money for the child.\Nana's starting to mature. response:	That's the strength of becoming a mother, I guess.
context: A toast to Nana, who's marrying a rich guy.\So you heard.\Although she probably wouldn't want you to celebrate it.\But how rich is this guy, who can afford a million-yen rent?\No, it's 700,000 yen.\She persuaded him to save some of the rent money for the child.\Nana's starting to mature.\That's the strength of becoming a mother, I guess. response:	But even 700,000 yen is plenty expensive!
context: So you heard.\Although she probably wouldn't want you to celebrate it.\But how rich is this guy, who can afford a million-yen rent?\No, it's 700,000 yen.\She persuaded him to save some of the rent money for the child.\Nana's starting to mature.\That's the strength of becoming a mother, I guess.\But even 700,000 yen is plenty expensive! response:	What is this guy?!
context: Although she probably wouldn't want you to celebrate it.\But how rich is this guy, who can afford a million-yen rent?\No, it's 700,000 yen.\She persuaded him to save some of the rent money for the child.\Nana's starting to mature.\That's the strength of becoming a mother, I guess.\But even 700,000 yen is plenty expensive!\What is this guy?! response:	He's a musician.
context: But how rich is this guy, who can afford a million-yen rent?\No, it's 700,000 yen.\She persuaded him to save some of the rent money for the child.\Nana's starting to mature.\That's the strength of becoming a mother, I guess.\But even 700,000 yen is plenty expensive!\What is this guy?!\He's a musician. response:	Someone close to that guru again?
context: No, it's 700,000 yen.\She persuaded him to save some of the rent money for the child.\Nana's starting to mature.\That's the strength of becoming a mother, I guess.\But even 700,000 yen is plenty expensive!\What is this guy?!\He's a musician.\Someone close to that guru again? response:	I guess. He's Yasu's friend, I hear.
context: She persuaded him to save some of the rent money for the child.\Nana's starting to mature.\That's the strength of becoming a mother, I guess.\But even 700,000 yen is plenty expensive!\What is this guy?!\He's a musician.\Someone close to that guru again?\I guess. He's Yasu's friend, I hear. response:	If it's one of Yasu's friends, there's no need to worry.
context: Nana's starting to mature.\That's the strength of becoming a mother, I guess.\But even 700,000 yen is plenty expensive!\What is this guy?!\He's a musician.\Someone close to that guru again?\I guess. He's Yasu's friend, I hear.\If it's one of Yasu's friends, there's no need to worry. response:	But for him to have that much income would mean, unlike BLAST,
context: That's the strength of becoming a mother, I guess.\But even 700,000 yen is plenty expensive!\What is this guy?!\He's a musician.\Someone close to that guru again?\I guess. He's Yasu's friend, I hear.\If it's one of Yasu's friends, there's no need to worry.\But for him to have that much income would mean, unlike BLAST, response:	this guy's a professional musician, right?
context: But even 700,000 yen is plenty expensive!\What is this guy?!\He's a musician.\Someone close to that guru again?\I guess. He's Yasu's friend, I hear.\If it's one of Yasu's friends, there's no need to worry.\But for him to have that much income would mean, unlike BLAST,\this guy's a professional musician, right? response:	Is he famous?
context: What is this guy?!\He's a musician.\Someone close to that guru again?\I guess. He's Yasu's friend, I hear.\If it's one of Yasu's friends, there's no need to worry.\But for him to have that much income would mean, unlike BLAST,\this guy's a professional musician, right?\Is he famous? response:	Naw, one would hafta be a major star to make that much in music.
context: He's a musician.\Someone close to that guru again?\I guess. He's Yasu's friend, I hear.\If it's one of Yasu's friends, there's no need to worry.\But for him to have that much income would mean, unlike BLAST,\this guy's a professional musician, right?\Is he famous?\Naw, one would hafta be a major star to make that much in music. response:	He's likely some carefree son of a rich family.
context: Someone close to that guru again?\I guess. He's Yasu's friend, I hear.\If it's one of Yasu's friends, there's no need to worry.\But for him to have that much income would mean, unlike BLAST,\this guy's a professional musician, right?\Is he famous?\Naw, one would hafta be a major star to make that much in music.\He's likely some carefree son of a rich family. response:	Besides, why would a famous star want to marry someone like Nana?
context: I guess. He's Yasu's friend, I hear.\If it's one of Yasu's friends, there's no need to worry.\But for him to have that much income would mean, unlike BLAST,\this guy's a professional musician, right?\Is he famous?\Naw, one would hafta be a major star to make that much in music.\He's likely some carefree son of a rich family.\Besides, why would a famous star want to marry someone like Nana? response:	Also, with how excited Nana gets when it comes to celebrities,
context: If it's one of Yasu's friends, there's no need to worry.\But for him to have that much income would mean, unlike BLAST,\this guy's a professional musician, right?\Is he famous?\Naw, one would hafta be a major star to make that much in music.\He's likely some carefree son of a rich family.\Besides, why would a famous star want to marry someone like Nana?\Also, with how excited Nana gets when it comes to celebrities, response:	there's no way she would've kept quiet about it if he were even a little famous.
context: But for him to have that much income would mean, unlike BLAST,\this guy's a professional musician, right?\Is he famous?\Naw, one would hafta be a major star to make that much in music.\He's likely some carefree son of a rich family.\Besides, why would a famous star want to marry someone like Nana?\Also, with how excited Nana gets when it comes to celebrities,\there's no way she would've kept quiet about it if he were even a little famous. response:	But maybe she's forced to keep it a secret because he's a celebrity!
context: this guy's a professional musician, right?\Is he famous?\Naw, one would hafta be a major star to make that much in music.\He's likely some carefree son of a rich family.\Besides, why would a famous star want to marry someone like Nana?\Also, with how excited Nana gets when it comes to celebrities,\there's no way she would've kept quiet about it if he were even a little famous.\But maybe she's forced to keep it a secret because he's a celebrity! response:	Huh?
context: Is he famous?\Naw, one would hafta be a major star to make that much in music.\He's likely some carefree son of a rich family.\Besides, why would a famous star want to marry someone like Nana?\Also, with how excited Nana gets when it comes to celebrities,\there's no way she would've kept quiet about it if he were even a little famous.\But maybe she's forced to keep it a secret because he's a celebrity!\Huh? response:	What's his name?
context: Naw, one would hafta be a major star to make that much in music.\He's likely some carefree son of a rich family.\Besides, why would a famous star want to marry someone like Nana?\Also, with how excited Nana gets when it comes to celebrities,\there's no way she would've kept quiet about it if he were even a little famous.\But maybe she's forced to keep it a secret because he's a celebrity!\Huh?\What's his name? response:	Takumi.
context: He's likely some carefree son of a rich family.\Besides, why would a famous star want to marry someone like Nana?\Also, with how excited Nana gets when it comes to celebrities,\there's no way she would've kept quiet about it if he were even a little famous.\But maybe she's forced to keep it a secret because he's a celebrity!\Huh?\What's his name?\Takumi. response:	Takumi is so cool!
context: Besides, why would a famous star want to marry someone like Nana?\Also, with how excited Nana gets when it comes to celebrities,\there's no way she would've kept quiet about it if he were even a little famous.\But maybe she's forced to keep it a secret because he's a celebrity!\Huh?\What's his name?\Takumi.\Takumi is so cool! response:	Of Trapnest?!
context: Also, with how excited Nana gets when it comes to celebrities,\there's no way she would've kept quiet about it if he were even a little famous.\But maybe she's forced to keep it a secret because he's a celebrity!\Huh?\What's his name?\Takumi.\Takumi is so cool!\Of Trapnest?! response:	That's impossible!
context: there's no way she would've kept quiet about it if he were even a little famous.\But maybe she's forced to keep it a secret because he's a celebrity!\Huh?\What's his name?\Takumi.\Takumi is so cool!\Of Trapnest?!\That's impossible! response:	Are you dumb?
context: But maybe she's forced to keep it a secret because he's a celebrity!\Huh?\What's his name?\Takumi.\Takumi is so cool!\Of Trapnest?!\That's impossible!\Are you dumb? response:	Why are you following me?
context: Huh?\What's his name?\Takumi.\Takumi is so cool!\Of Trapnest?!\That's impossible!\Are you dumb?\Why are you following me? response:	See ya.
context: What's his name?\Takumi.\Takumi is so cool!\Of Trapnest?!\That's impossible!\Are you dumb?\Why are you following me?\See ya. response:	Why not?! I'll leave right away!
context: Takumi.\Takumi is so cool!\Of Trapnest?!\That's impossible!\Are you dumb?\Why are you following me?\See ya.\Why not?! I'll leave right away! response:	Just let me get a glimpse of Hachiko!
context: Takumi is so cool!\Of Trapnest?!\That's impossible!\Are you dumb?\Why are you following me?\See ya.\Why not?! I'll leave right away!\Just let me get a glimpse of Hachiko! response:	All right.
context: Of Trapnest?!\That's impossible!\Are you dumb?\Why are you following me?\See ya.\Why not?! I'll leave right away!\Just let me get a glimpse of Hachiko!\All right. response:	This is really nice. Is it a new building?
context: That's impossible!\Are you dumb?\Why are you following me?\See ya.\Why not?! I'll leave right away!\Just let me get a glimpse of Hachiko!\All right.\This is really nice. Is it a new building? response:	The rent is very reasonable for the space, right?
context: Are you dumb?\Why are you following me?\See ya.\Why not?! I'll leave right away!\Just let me get a glimpse of Hachiko!\All right.\This is really nice. Is it a new building?\The rent is very reasonable for the space, right? response:	Because you've gotta walk a bit from the train station.
context: Why are you following me?\See ya.\Why not?! I'll leave right away!\Just let me get a glimpse of Hachiko!\All right.\This is really nice. Is it a new building?\The rent is very reasonable for the space, right?\Because you've gotta walk a bit from the train station. response:	You never use the train anyway.
context: See ya.\Why not?! I'll leave right away!\Just let me get a glimpse of Hachiko!\All right.\This is really nice. Is it a new building?\The rent is very reasonable for the space, right?\Because you've gotta walk a bit from the train station.\You never use the train anyway. response:	This is nice. Like a hidden residence.
context: Why not?! I'll leave right away!\Just let me get a glimpse of Hachiko!\All right.\This is really nice. Is it a new building?\The rent is very reasonable for the space, right?\Because you've gotta walk a bit from the train station.\You never use the train anyway.\This is nice. Like a hidden residence. response:	Is it your first time to this place, too?
context: Just let me get a glimpse of Hachiko!\All right.\This is really nice. Is it a new building?\The rent is very reasonable for the space, right?\Because you've gotta walk a bit from the train station.\You never use the train anyway.\This is nice. Like a hidden residence.\Is it your first time to this place, too? response:	'Cuz we were confined to the studio the whole time?
context: All right.\This is really nice. Is it a new building?\The rent is very reasonable for the space, right?\Because you've gotta walk a bit from the train station.\You never use the train anyway.\This is nice. Like a hidden residence.\Is it your first time to this place, too?\'Cuz we were confined to the studio the whole time? response:	No. I came to see this place once when I signed the contract.
context: This is really nice. Is it a new building?\The rent is very reasonable for the space, right?\Because you've gotta walk a bit from the train station.\You never use the train anyway.\This is nice. Like a hidden residence.\Is it your first time to this place, too?\'Cuz we were confined to the studio the whole time?\No. I came to see this place once when I signed the contract. response:	Really?
context: The rent is very reasonable for the space, right?\Because you've gotta walk a bit from the train station.\You never use the train anyway.\This is nice. Like a hidden residence.\Is it your first time to this place, too?\'Cuz we were confined to the studio the whole time?\No. I came to see this place once when I signed the contract.\Really? response:	I needed to check the neighborhood and the security system.
context: Because you've gotta walk a bit from the train station.\You never use the train anyway.\This is nice. Like a hidden residence.\Is it your first time to this place, too?\'Cuz we were confined to the studio the whole time?\No. I came to see this place once when I signed the contract.\Really?\I needed to check the neighborhood and the security system. response:	Or else I'd be worried.
context: You never use the train anyway.\This is nice. Like a hidden residence.\Is it your first time to this place, too?\'Cuz we were confined to the studio the whole time?\No. I came to see this place once when I signed the contract.\Really?\I needed to check the neighborhood and the security system.\Or else I'd be worried. response:	Hello?
context: This is nice. Like a hidden residence.\Is it your first time to this place, too?\'Cuz we were confined to the studio the whole time?\No. I came to see this place once when I signed the contract.\Really?\I needed to check the neighborhood and the security system.\Or else I'd be worried.\Hello? response:	I'm home.
context: Is it your first time to this place, too?\'Cuz we were confined to the studio the whole time?\No. I came to see this place once when I signed the contract.\Really?\I needed to check the neighborhood and the security system.\Or else I'd be worried.\Hello?\I'm home. response:	She's tripping on her words. She's too cute.
context: 'Cuz we were confined to the studio the whole time?\No. I came to see this place once when I signed the contract.\Really?\I needed to check the neighborhood and the security system.\Or else I'd be worried.\Hello?\I'm home.\She's tripping on her words. She's too cute. response:	You seem to be having fun, Takumi.
context: No. I came to see this place once when I signed the contract.\Really?\I needed to check the neighborhood and the security system.\Or else I'd be worried.\Hello?\I'm home.\She's tripping on her words. She's too cute.\You seem to be having fun, Takumi. response:	Because we're newlyweds.
context: Really?\I needed to check the neighborhood and the security system.\Or else I'd be worried.\Hello?\I'm home.\She's tripping on her words. She's too cute.\You seem to be having fun, Takumi.\Because we're newlyweds. response:	But you're not legally married yet.
context: I needed to check the neighborhood and the security system.\Or else I'd be worried.\Hello?\I'm home.\She's tripping on her words. She's too cute.\You seem to be having fun, Takumi.\Because we're newlyweds.\But you're not legally married yet. response:	Are you really serious about getting married?
context: Or else I'd be worried.\Hello?\I'm home.\She's tripping on her words. She's too cute.\You seem to be having fun, Takumi.\Because we're newlyweds.\But you're not legally married yet.\Are you really serious about getting married? response:	You're still renting the place in Akasaka too, right?
context: Hello?\I'm home.\She's tripping on her words. She's too cute.\You seem to be having fun, Takumi.\Because we're newlyweds.\But you're not legally married yet.\Are you really serious about getting married?\You're still renting the place in Akasaka too, right? response:	Are you planning to live separately?
context: I'm home.\She's tripping on her words. She's too cute.\You seem to be having fun, Takumi.\Because we're newlyweds.\But you're not legally married yet.\Are you really serious about getting married?\You're still renting the place in Akasaka too, right?\Are you planning to live separately? response:	Shut up. I'll move outta that place eventually.
