context: Maybe she's gone... response:	Can't be, huh?
context: Jin, go buy me a new one.\Me?\I want a tougher one.\One that can withstand an elephant's stomp.\Go find a stick which isn't so unlucky.\No! I don't want to!\Yesterday was really embarrassing!\I won't forget that woman's expression. Not in this lifetime! response:	This is an instant adhesive. The usage instructions are written on the inside.
context: Me?\I want a tougher one.\One that can withstand an elephant's stomp.\Go find a stick which isn't so unlucky.\No! I don't want to!\Yesterday was really embarrassing!\I won't forget that woman's expression. Not in this lifetime!\This is an instant adhesive. The usage instructions are written on the inside. response:	Remember to spread some newspapers, okay?
context: I want a tougher one.\One that can withstand an elephant's stomp.\Go find a stick which isn't so unlucky.\No! I don't want to!\Yesterday was really embarrassing!\I won't forget that woman's expression. Not in this lifetime!\This is an instant adhesive. The usage instructions are written on the inside.\Remember to spread some newspapers, okay? response:	And your breakfast is in the kitchen.
context: One that can withstand an elephant's stomp.\Go find a stick which isn't so unlucky.\No! I don't want to!\Yesterday was really embarrassing!\I won't forget that woman's expression. Not in this lifetime!\This is an instant adhesive. The usage instructions are written on the inside.\Remember to spread some newspapers, okay?\And your breakfast is in the kitchen. response:	I'm going to change.
context: Go find a stick which isn't so unlucky.\No! I don't want to!\Yesterday was really embarrassing!\I won't forget that woman's expression. Not in this lifetime!\This is an instant adhesive. The usage instructions are written on the inside.\Remember to spread some newspapers, okay?\And your breakfast is in the kitchen.\I'm going to change. response:	Please leave.
context: No! I don't want to!\Yesterday was really embarrassing!\I won't forget that woman's expression. Not in this lifetime!\This is an instant adhesive. The usage instructions are written on the inside.\Remember to spread some newspapers, okay?\And your breakfast is in the kitchen.\I'm going to change.\Please leave. response:	He sure is busy.
context: Yesterday was really embarrassing!\I won't forget that woman's expression. Not in this lifetime!\This is an instant adhesive. The usage instructions are written on the inside.\Remember to spread some newspapers, okay?\And your breakfast is in the kitchen.\I'm going to change.\Please leave.\He sure is busy. response:	Remember to place the dishes in the water after eating. I'm going out for a bit...
context: I won't forget that woman's expression. Not in this lifetime!\This is an instant adhesive. The usage instructions are written on the inside.\Remember to spread some newspapers, okay?\And your breakfast is in the kitchen.\I'm going to change.\Please leave.\He sure is busy.\Remember to place the dishes in the water after eating. I'm going out for a bit... response:	Jin!
context: This is an instant adhesive. The usage instructions are written on the inside.\Remember to spread some newspapers, okay?\And your breakfast is in the kitchen.\I'm going to change.\Please leave.\He sure is busy.\Remember to place the dishes in the water after eating. I'm going out for a bit...\Jin! response:	Jin! Over here, hurry!
context: Remember to spread some newspapers, okay?\And your breakfast is in the kitchen.\I'm going to change.\Please leave.\He sure is busy.\Remember to place the dishes in the water after eating. I'm going out for a bit...\Jin!\Jin! Over here, hurry! response:	Aren't they so?
context: And your breakfast is in the kitchen.\I'm going to change.\Please leave.\He sure is busy.\Remember to place the dishes in the water after eating. I'm going out for a bit...\Jin!\Jin! Over here, hurry!\Aren't they so? response:	Aren't they so what?
context: I'm going to change.\Please leave.\He sure is busy.\Remember to place the dishes in the water after eating. I'm going out for a bit...\Jin!\Jin! Over here, hurry!\Aren't they so?\Aren't they so what? response:	They're so cute! I don't know why, but I feel like crying!
context: Please leave.\He sure is busy.\Remember to place the dishes in the water after eating. I'm going out for a bit...\Jin!\Jin! Over here, hurry!\Aren't they so?\Aren't they so what?\They're so cute! I don't know why, but I feel like crying! response:	I want to squeeze them! Hug them! Cuddle them!
context: He sure is busy.\Remember to place the dishes in the water after eating. I'm going out for a bit...\Jin!\Jin! Over here, hurry!\Aren't they so?\Aren't they so what?\They're so cute! I don't know why, but I feel like crying!\I want to squeeze them! Hug them! Cuddle them! response:	I woke up to their calls this morning!
context: Remember to place the dishes in the water after eating. I'm going out for a bit...\Jin!\Jin! Over here, hurry!\Aren't they so?\Aren't they so what?\They're so cute! I don't know why, but I feel like crying!\I want to squeeze them! Hug them! Cuddle them!\I woke up to their calls this morning! response:	They were purring so earnestly!
context: Jin!\Jin! Over here, hurry!\Aren't they so?\Aren't they so what?\They're so cute! I don't know why, but I feel like crying!\I want to squeeze them! Hug them! Cuddle them!\I woke up to their calls this morning!\They were purring so earnestly! response:	I couldn't hear anything though.
context: Jin! Over here, hurry!\Aren't they so?\Aren't they so what?\They're so cute! I don't know why, but I feel like crying!\I want to squeeze them! Hug them! Cuddle them!\I woke up to their calls this morning!\They were purring so earnestly!\I couldn't hear anything though. response:	Oh yeah, I heard a stray cat just gave birth recently, are these its offsprings?
context: Aren't they so?\Aren't they so what?\They're so cute! I don't know why, but I feel like crying!\I want to squeeze them! Hug them! Cuddle them!\I woke up to their calls this morning!\They were purring so earnestly!\I couldn't hear anything though.\Oh yeah, I heard a stray cat just gave birth recently, are these its offsprings? response:	Jin, I just thought of something!
context: Aren't they so what?\They're so cute! I don't know why, but I feel like crying!\I want to squeeze them! Hug them! Cuddle them!\I woke up to their calls this morning!\They were purring so earnestly!\I couldn't hear anything though.\Oh yeah, I heard a stray cat just gave birth recently, are these its offsprings?\Jin, I just thought of something! response:	Let's keep them.
context: They're so cute! I don't know why, but I feel like crying!\I want to squeeze them! Hug them! Cuddle them!\I woke up to their calls this morning!\They were purring so earnestly!\I couldn't hear anything though.\Oh yeah, I heard a stray cat just gave birth recently, are these its offsprings?\Jin, I just thought of something!\Let's keep them. response:	Rejected.
context: I want to squeeze them! Hug them! Cuddle them!\I woke up to their calls this morning!\They were purring so earnestly!\I couldn't hear anything though.\Oh yeah, I heard a stray cat just gave birth recently, are these its offsprings?\Jin, I just thought of something!\Let's keep them.\Rejected. response:	Why?!
context: I woke up to their calls this morning!\They were purring so earnestly!\I couldn't hear anything though.\Oh yeah, I heard a stray cat just gave birth recently, are these its offsprings?\Jin, I just thought of something!\Let's keep them.\Rejected.\Why?! response:	I heard they have a mother. A grey cat with stripes.
context: They were purring so earnestly!\I couldn't hear anything though.\Oh yeah, I heard a stray cat just gave birth recently, are these its offsprings?\Jin, I just thought of something!\Let's keep them.\Rejected.\Why?!\I heard they have a mother. A grey cat with stripes. response:	You can't kidnap cats, can you?
context: I couldn't hear anything though.\Oh yeah, I heard a stray cat just gave birth recently, are these its offsprings?\Jin, I just thought of something!\Let's keep them.\Rejected.\Why?!\I heard they have a mother. A grey cat with stripes.\You can't kidnap cats, can you? response:	Besides, our house is a rented one, so keeping pets is forbidden.
context: Oh yeah, I heard a stray cat just gave birth recently, are these its offsprings?\Jin, I just thought of something!\Let's keep them.\Rejected.\Why?!\I heard they have a mother. A grey cat with stripes.\You can't kidnap cats, can you?\Besides, our house is a rented one, so keeping pets is forbidden. response:	But...
context: Jin, I just thought of something!\Let's keep them.\Rejected.\Why?!\I heard they have a mother. A grey cat with stripes.\You can't kidnap cats, can you?\Besides, our house is a rented one, so keeping pets is forbidden.\But... response:	I've already said no.
context: Let's keep them.\Rejected.\Why?!\I heard they have a mother. A grey cat with stripes.\You can't kidnap cats, can you?\Besides, our house is a rented one, so keeping pets is forbidden.\But...\I've already said no. response:	Anyway...
context: Rejected.\Why?!\I heard they have a mother. A grey cat with stripes.\You can't kidnap cats, can you?\Besides, our house is a rented one, so keeping pets is forbidden.\But...\I've already said no.\Anyway... response:	I'm going to withdraw some money now.
context: Why?!\I heard they have a mother. A grey cat with stripes.\You can't kidnap cats, can you?\Besides, our house is a rented one, so keeping pets is forbidden.\But...\I've already said no.\Anyway...\I'm going to withdraw some money now. response:	Keep still, okay? Eat your breakfast.
context: I heard they have a mother. A grey cat with stripes.\You can't kidnap cats, can you?\Besides, our house is a rented one, so keeping pets is forbidden.\But...\I've already said no.\Anyway...\I'm going to withdraw some money now.\Keep still, okay? Eat your breakfast. response:	Breakfast...
context: You can't kidnap cats, can you?\Besides, our house is a rented one, so keeping pets is forbidden.\But...\I've already said no.\Anyway...\I'm going to withdraw some money now.\Keep still, okay? Eat your breakfast.\Breakfast... response:	At least... at least give them some milk!
context: Besides, our house is a rented one, so keeping pets is forbidden.\But...\I've already said no.\Anyway...\I'm going to withdraw some money now.\Keep still, okay? Eat your breakfast.\Breakfast...\At least... at least give them some milk! response:	You can't feed the kittens cow's milk.
context: But...\I've already said no.\Anyway...\I'm going to withdraw some money now.\Keep still, okay? Eat your breakfast.\Breakfast...\At least... at least give them some milk!\You can't feed the kittens cow's milk. response:	Your breasts are too small to give any milk, so give up.
context: I've already said no.\Anyway...\I'm going to withdraw some money now.\Keep still, okay? Eat your breakfast.\Breakfast...\At least... at least give them some milk!\You can't feed the kittens cow's milk.\Your breasts are too small to give any milk, so give up. response:	Haw haw haw haw haw... that's what you're thinking, right?
context: Anyway...\I'm going to withdraw some money now.\Keep still, okay? Eat your breakfast.\Breakfast...\At least... at least give them some milk!\You can't feed the kittens cow's milk.\Your breasts are too small to give any milk, so give up.\Haw haw haw haw haw... that's what you're thinking, right? response:	I'm not thinking about that.
context: I'm going to withdraw some money now.\Keep still, okay? Eat your breakfast.\Breakfast...\At least... at least give them some milk!\You can't feed the kittens cow's milk.\Your breasts are too small to give any milk, so give up.\Haw haw haw haw haw... that's what you're thinking, right?\I'm not thinking about that. response:	Maybe a bit.
context: Keep still, okay? Eat your breakfast.\Breakfast...\At least... at least give them some milk!\You can't feed the kittens cow's milk.\Your breasts are too small to give any milk, so give up.\Haw haw haw haw haw... that's what you're thinking, right?\I'm not thinking about that.\Maybe a bit. response:	If a kitten doesn't drink milk for one day, it'll die of dehydration!
context: Breakfast...\At least... at least give them some milk!\You can't feed the kittens cow's milk.\Your breasts are too small to give any milk, so give up.\Haw haw haw haw haw... that's what you're thinking, right?\I'm not thinking about that.\Maybe a bit.\If a kitten doesn't drink milk for one day, it'll die of dehydration! response:	We just need to check them once in a while.
context: At least... at least give them some milk!\You can't feed the kittens cow's milk.\Your breasts are too small to give any milk, so give up.\Haw haw haw haw haw... that's what you're thinking, right?\I'm not thinking about that.\Maybe a bit.\If a kitten doesn't drink milk for one day, it'll die of dehydration!\We just need to check them once in a while. response:	I don't want that!
context: You can't feed the kittens cow's milk.\Your breasts are too small to give any milk, so give up.\Haw haw haw haw haw... that's what you're thinking, right?\I'm not thinking about that.\Maybe a bit.\If a kitten doesn't drink milk for one day, it'll die of dehydration!\We just need to check them once in a while.\I don't want that! response:	I want to keep them!
context: Your breasts are too small to give any milk, so give up.\Haw haw haw haw haw... that's what you're thinking, right?\I'm not thinking about that.\Maybe a bit.\If a kitten doesn't drink milk for one day, it'll die of dehydration!\We just need to check them once in a while.\I don't want that!\I want to keep them! response:	A god? She sure doesn't behave like one.
context: Haw haw haw haw haw... that's what you're thinking, right?\I'm not thinking about that.\Maybe a bit.\If a kitten doesn't drink milk for one day, it'll die of dehydration!\We just need to check them once in a while.\I don't want that!\I want to keep them!\A god? She sure doesn't behave like one. response:	I'm back.
context: I'm not thinking about that.\Maybe a bit.\If a kitten doesn't drink milk for one day, it'll die of dehydration!\We just need to check them once in a while.\I don't want that!\I want to keep them!\A god? She sure doesn't behave like one.\I'm back. response:	I TOLD you to spread some newspapers, didn't I?!
context: Maybe a bit.\If a kitten doesn't drink milk for one day, it'll die of dehydration!\We just need to check them once in a while.\I don't want that!\I want to keep them!\A god? She sure doesn't behave like one.\I'm back.\I TOLD you to spread some newspapers, didn't I?! response:	This isn't like what you're thinking!
context: If a kitten doesn't drink milk for one day, it'll die of dehydration!\We just need to check them once in a while.\I don't want that!\I want to keep them!\A god? She sure doesn't behave like one.\I'm back.\I TOLD you to spread some newspapers, didn't I?!\This isn't like what you're thinking! response:	How do I explain it... I don't know about this?
context: We just need to check them once in a while.\I don't want that!\I want to keep them!\A god? She sure doesn't behave like one.\I'm back.\I TOLD you to spread some newspapers, didn't I?!\This isn't like what you're thinking!\How do I explain it... I don't know about this? response:	The truth is, I have split personalities, so this was her fault...
context: I don't want that!\I want to keep them!\A god? She sure doesn't behave like one.\I'm back.\I TOLD you to spread some newspapers, didn't I?!\This isn't like what you're thinking!\How do I explain it... I don't know about this?\The truth is, I have split personalities, so this was her fault... response:	Cook up a better lie next time!
context: I want to keep them!\A god? She sure doesn't behave like one.\I'm back.\I TOLD you to spread some newspapers, didn't I?!\This isn't like what you're thinking!\How do I explain it... I don't know about this?\The truth is, I have split personalities, so this was her fault...\Cook up a better lie next time! response:	Wow, what's with this perfect adhesion!
context: A god? She sure doesn't behave like one.\I'm back.\I TOLD you to spread some newspapers, didn't I?!\This isn't like what you're thinking!\How do I explain it... I don't know about this?\The truth is, I have split personalities, so this was her fault...\Cook up a better lie next time!\Wow, what's with this perfect adhesion! response:	Now what? It's been quite a while so it's totally glued on!
context: I'm back.\I TOLD you to spread some newspapers, didn't I?!\This isn't like what you're thinking!\How do I explain it... I don't know about this?\The truth is, I have split personalities, so this was her fault...\Cook up a better lie next time!\Wow, what's with this perfect adhesion!\Now what? It's been quite a while so it's totally glued on! response:	A cloth hanger.
context: I TOLD you to spread some newspapers, didn't I?!\This isn't like what you're thinking!\How do I explain it... I don't know about this?\The truth is, I have split personalities, so this was her fault...\Cook up a better lie next time!\Wow, what's with this perfect adhesion!\Now what? It's been quite a while so it's totally glued on!\A cloth hanger. response:	There's no such ornament in a dining table!
context: This isn't like what you're thinking!\How do I explain it... I don't know about this?\The truth is, I have split personalities, so this was her fault...\Cook up a better lie next time!\Wow, what's with this perfect adhesion!\Now what? It's been quite a while so it's totally glued on!\A cloth hanger.\There's no such ornament in a dining table! response:	He's acting a bit strange.
context: How do I explain it... I don't know about this?\The truth is, I have split personalities, so this was her fault...\Cook up a better lie next time!\Wow, what's with this perfect adhesion!\Now what? It's been quite a while so it's totally glued on!\A cloth hanger.\There's no such ornament in a dining table!\He's acting a bit strange. response:	Is Jin okay? It's tough for a boy to be living on his own.
context: The truth is, I have split personalities, so this was her fault...\Cook up a better lie next time!\Wow, what's with this perfect adhesion!\Now what? It's been quite a while so it's totally glued on!\A cloth hanger.\There's no such ornament in a dining table!\He's acting a bit strange.\Is Jin okay? It's tough for a boy to be living on his own. response:	He definitely needs a cute childhood friend to support him.
context: Cook up a better lie next time!\Wow, what's with this perfect adhesion!\Now what? It's been quite a while so it's totally glued on!\A cloth hanger.\There's no such ornament in a dining table!\He's acting a bit strange.\Is Jin okay? It's tough for a boy to be living on his own.\He definitely needs a cute childhood friend to support him. response:	Hang it up yourself!
context: Wow, what's with this perfect adhesion!\Now what? It's been quite a while so it's totally glued on!\A cloth hanger.\There's no such ornament in a dining table!\He's acting a bit strange.\Is Jin okay? It's tough for a boy to be living on his own.\He definitely needs a cute childhood friend to support him.\Hang it up yourself! response:	And why aren't you bothered by me handling it?
context: Now what? It's been quite a while so it's totally glued on!\A cloth hanger.\There's no such ornament in a dining table!\He's acting a bit strange.\Is Jin okay? It's tough for a boy to be living on his own.\He definitely needs a cute childhood friend to support him.\Hang it up yourself!\And why aren't you bothered by me handling it? response:	I am busy, and it takes the same effort anyway.
context: A cloth hanger.\There's no such ornament in a dining table!\He's acting a bit strange.\Is Jin okay? It's tough for a boy to be living on his own.\He definitely needs a cute childhood friend to support him.\Hang it up yourself!\And why aren't you bothered by me handling it?\I am busy, and it takes the same effort anyway. response:	It's just that I don't feel like doing it. Besides, if I get seen by others...
context: There's no such ornament in a dining table!\He's acting a bit strange.\Is Jin okay? It's tough for a boy to be living on his own.\He definitely needs a cute childhood friend to support him.\Hang it up yourself!\And why aren't you bothered by me handling it?\I am busy, and it takes the same effort anyway.\It's just that I don't feel like doing it. Besides, if I get seen by others... response:	Tsugumi!
context: He's acting a bit strange.\Is Jin okay? It's tough for a boy to be living on his own.\He definitely needs a cute childhood friend to support him.\Hang it up yourself!\And why aren't you bothered by me handling it?\I am busy, and it takes the same effort anyway.\It's just that I don't feel like doing it. Besides, if I get seen by others...\Tsugumi! response:	The one talking to you on the phone yesterday?
context: Is Jin okay? It's tough for a boy to be living on his own.\He definitely needs a cute childhood friend to support him.\Hang it up yourself!\And why aren't you bothered by me handling it?\I am busy, and it takes the same effort anyway.\It's just that I don't feel like doing it. Besides, if I get seen by others...\Tsugumi!\The one talking to you on the phone yesterday? response:	Who is she?
context: He definitely needs a cute childhood friend to support him.\Hang it up yourself!\And why aren't you bothered by me handling it?\I am busy, and it takes the same effort anyway.\It's just that I don't feel like doing it. Besides, if I get seen by others...\Tsugumi!\The one talking to you on the phone yesterday?\Who is she? response:	I'm done for! She's the person that you shouldn't be meeting the most!
context: Hang it up yourself!\And why aren't you bothered by me handling it?\I am busy, and it takes the same effort anyway.\It's just that I don't feel like doing it. Besides, if I get seen by others...\Tsugumi!\The one talking to you on the phone yesterday?\Who is she?\I'm done for! She's the person that you shouldn't be meeting the most! response:	She's Tsugumi, my childhood friend.
context: And why aren't you bothered by me handling it?\I am busy, and it takes the same effort anyway.\It's just that I don't feel like doing it. Besides, if I get seen by others...\Tsugumi!\The one talking to you on the phone yesterday?\Who is she?\I'm done for! She's the person that you shouldn't be meeting the most!\She's Tsugumi, my childhood friend. response:	My father entrusted me to her...
context: I am busy, and it takes the same effort anyway.\It's just that I don't feel like doing it. Besides, if I get seen by others...\Tsugumi!\The one talking to you on the phone yesterday?\Who is she?\I'm done for! She's the person that you shouldn't be meeting the most!\She's Tsugumi, my childhood friend.\My father entrusted me to her... response:	If she finds out that I'm cohabiting with a woman I don't know, it's over...
context: It's just that I don't feel like doing it. Besides, if I get seen by others...\Tsugumi!\The one talking to you on the phone yesterday?\Who is she?\I'm done for! She's the person that you shouldn't be meeting the most!\She's Tsugumi, my childhood friend.\My father entrusted me to her...\If she finds out that I'm cohabiting with a woman I don't know, it's over... response:	Could it be...
context: Tsugumi!\The one talking to you on the phone yesterday?\Who is she?\I'm done for! She's the person that you shouldn't be meeting the most!\She's Tsugumi, my childhood friend.\My father entrusted me to her...\If she finds out that I'm cohabiting with a woman I don't know, it's over...\Could it be... response:	That I'm causing trouble for you?
context: The one talking to you on the phone yesterday?\Who is she?\I'm done for! She's the person that you shouldn't be meeting the most!\She's Tsugumi, my childhood friend.\My father entrusted me to her...\If she finds out that I'm cohabiting with a woman I don't know, it's over...\Could it be...\That I'm causing trouble for you? response:	You're so late to notice that!
context: Who is she?\I'm done for! She's the person that you shouldn't be meeting the most!\She's Tsugumi, my childhood friend.\My father entrusted me to her...\If she finds out that I'm cohabiting with a woman I don't know, it's over...\Could it be...\That I'm causing trouble for you?\You're so late to notice that! response:	You've been causing me trouble since yesterday!
context: I'm done for! She's the person that you shouldn't be meeting the most!\She's Tsugumi, my childhood friend.\My father entrusted me to her...\If she finds out that I'm cohabiting with a woman I don't know, it's over...\Could it be...\That I'm causing trouble for you?\You're so late to notice that!\You've been causing me trouble since yesterday! response:	Anyway, I'll go explain to her.
context: She's Tsugumi, my childhood friend.\My father entrusted me to her...\If she finds out that I'm cohabiting with a woman I don't know, it's over...\Could it be...\That I'm causing trouble for you?\You're so late to notice that!\You've been causing me trouble since yesterday!\Anyway, I'll go explain to her. response:	Stay here!
context: My father entrusted me to her...\If she finds out that I'm cohabiting with a woman I don't know, it's over...\Could it be...\That I'm causing trouble for you?\You're so late to notice that!\You've been causing me trouble since yesterday!\Anyway, I'll go explain to her.\Stay here! response:	Don't do anything unnecessary. Got it?
context: If she finds out that I'm cohabiting with a woman I don't know, it's over...\Could it be...\That I'm causing trouble for you?\You're so late to notice that!\You've been causing me trouble since yesterday!\Anyway, I'll go explain to her.\Stay here!\Don't do anything unnecessary. Got it? response:	Um...
context: Could it be...\That I'm causing trouble for you?\You're so late to notice that!\You've been causing me trouble since yesterday!\Anyway, I'll go explain to her.\Stay here!\Don't do anything unnecessary. Got it?\Um... response:	Tsugumi. It's a long story...
context: That I'm causing trouble for you?\You're so late to notice that!\You've been causing me trouble since yesterday!\Anyway, I'll go explain to her.\Stay here!\Don't do anything unnecessary. Got it?\Um...\Tsugumi. It's a long story... response:	I only knew her yesterday-
context: You're so late to notice that!\You've been causing me trouble since yesterday!\Anyway, I'll go explain to her.\Stay here!\Don't do anything unnecessary. Got it?\Um...\Tsugumi. It's a long story...\I only knew her yesterday- response:	You don't need to explain...
context: You've been causing me trouble since yesterday!\Anyway, I'll go explain to her.\Stay here!\Don't do anything unnecessary. Got it?\Um...\Tsugumi. It's a long story...\I only knew her yesterday-\You don't need to explain... response:	Huh?
context: Anyway, I'll go explain to her.\Stay here!\Don't do anything unnecessary. Got it?\Um...\Tsugumi. It's a long story...\I only knew her yesterday-\You don't need to explain...\Huh? response:	No, I don't mean that.
context: Stay here!\Don't do anything unnecessary. Got it?\Um...\Tsugumi. It's a long story...\I only knew her yesterday-\You don't need to explain...\Huh?\No, I don't mean that. response:	I shouldn't be interfering in your relationship...
context: Don't do anything unnecessary. Got it?\Um...\Tsugumi. It's a long story...\I only knew her yesterday-\You don't need to explain...\Huh?\No, I don't mean that.\I shouldn't be interfering in your relationship... response:	But if you skip school like that, I'm not sure how to answer to your father...
context: Um...\Tsugumi. It's a long story...\I only knew her yesterday-\You don't need to explain...\Huh?\No, I don't mean that.\I shouldn't be interfering in your relationship...\But if you skip school like that, I'm not sure how to answer to your father... response:	As I said...
context: Tsugumi. It's a long story...\I only knew her yesterday-\You don't need to explain...\Huh?\No, I don't mean that.\I shouldn't be interfering in your relationship...\But if you skip school like that, I'm not sure how to answer to your father...\As I said... response:	Hey.
context: I only knew her yesterday-\You don't need to explain...\Huh?\No, I don't mean that.\I shouldn't be interfering in your relationship...\But if you skip school like that, I'm not sure how to answer to your father...\As I said...\Hey. response:	I apologize for my impertinence earlier.
context: You don't need to explain...\Huh?\No, I don't mean that.\I shouldn't be interfering in your relationship...\But if you skip school like that, I'm not sure how to answer to your father...\As I said...\Hey.\I apologize for my impertinence earlier. response:	I'm Jin-kun's relative.
context: Huh?\No, I don't mean that.\I shouldn't be interfering in your relationship...\But if you skip school like that, I'm not sure how to answer to your father...\As I said...\Hey.\I apologize for my impertinence earlier.\I'm Jin-kun's relative. response:	My name is Nagi.
context: No, I don't mean that.\I shouldn't be interfering in your relationship...\But if you skip school like that, I'm not sure how to answer to your father...\As I said...\Hey.\I apologize for my impertinence earlier.\I'm Jin-kun's relative.\My name is Nagi. response:	Huh?
context: I shouldn't be interfering in your relationship...\But if you skip school like that, I'm not sure how to answer to your father...\As I said...\Hey.\I apologize for my impertinence earlier.\I'm Jin-kun's relative.\My name is Nagi.\Huh? response:	Relative?
context: But if you skip school like that, I'm not sure how to answer to your father...\As I said...\Hey.\I apologize for my impertinence earlier.\I'm Jin-kun's relative.\My name is Nagi.\Huh?\Relative? response:	I'm Jin-kun's half sibling, born from a different mother.
context: As I said...\Hey.\I apologize for my impertinence earlier.\I'm Jin-kun's relative.\My name is Nagi.\Huh?\Relative?\I'm Jin-kun's half sibling, born from a different mother. response:	Huh? No way! Nobody told me about that before.
context: Hey.\I apologize for my impertinence earlier.\I'm Jin-kun's relative.\My name is Nagi.\Huh?\Relative?\I'm Jin-kun's half sibling, born from a different mother.\Huh? No way! Nobody told me about that before. response:	It's not a surprise that you'd be shocked.
context: I apologize for my impertinence earlier.\I'm Jin-kun's relative.\My name is Nagi.\Huh?\Relative?\I'm Jin-kun's half sibling, born from a different mother.\Huh? No way! Nobody told me about that before.\It's not a surprise that you'd be shocked. response:	Jin-kun also came to know of me only yesterday.
context: I'm Jin-kun's relative.\My name is Nagi.\Huh?\Relative?\I'm Jin-kun's half sibling, born from a different mother.\Huh? No way! Nobody told me about that before.\It's not a surprise that you'd be shocked.\Jin-kun also came to know of me only yesterday. response:	But that can't be! You were behaving differently just now...
context: My name is Nagi.\Huh?\Relative?\I'm Jin-kun's half sibling, born from a different mother.\Huh? No way! Nobody told me about that before.\It's not a surprise that you'd be shocked.\Jin-kun also came to know of me only yesterday.\But that can't be! You were behaving differently just now... response:	That was the other me.
context: Huh?\Relative?\I'm Jin-kun's half sibling, born from a different mother.\Huh? No way! Nobody told me about that before.\It's not a surprise that you'd be shocked.\Jin-kun also came to know of me only yesterday.\But that can't be! You were behaving differently just now...\That was the other me. response:	Huh?
context: Relative?\I'm Jin-kun's half sibling, born from a different mother.\Huh? No way! Nobody told me about that before.\It's not a surprise that you'd be shocked.\Jin-kun also came to know of me only yesterday.\But that can't be! You were behaving differently just now...\That was the other me.\Huh? response:	In the family I was raised in, even laughing aloud is prohibited.
context: I'm Jin-kun's half sibling, born from a different mother.\Huh? No way! Nobody told me about that before.\It's not a surprise that you'd be shocked.\Jin-kun also came to know of me only yesterday.\But that can't be! You were behaving differently just now...\That was the other me.\Huh?\In the family I was raised in, even laughing aloud is prohibited. response:	It was strict and insular.
context: Huh? No way! Nobody told me about that before.\It's not a surprise that you'd be shocked.\Jin-kun also came to know of me only yesterday.\But that can't be! You were behaving differently just now...\That was the other me.\Huh?\In the family I was raised in, even laughing aloud is prohibited.\It was strict and insular. response:	The constant pressure caused my personality to split into two.
context: It's not a surprise that you'd be shocked.\Jin-kun also came to know of me only yesterday.\But that can't be! You were behaving differently just now...\That was the other me.\Huh?\In the family I was raised in, even laughing aloud is prohibited.\It was strict and insular.\The constant pressure caused my personality to split into two. response:	I am deeply sorry to have shown you a disgraceful side of me!
context: Jin-kun also came to know of me only yesterday.\But that can't be! You were behaving differently just now...\That was the other me.\Huh?\In the family I was raised in, even laughing aloud is prohibited.\It was strict and insular.\The constant pressure caused my personality to split into two.\I am deeply sorry to have shown you a disgraceful side of me! response:	Oh no!
