context: I think I'll go to the countryside and fish all day. response:	Fish?
context: Please have a seat.\Due to the emergence of the neutral territory in South America five years ago,\mankind lost a means of accessing Heaven's Gate\as well as a vast area of land and millions of its inhabitants.\The one responsible for this was BK201.\Why did he cause that tragedy?\He? You're mistaken.\At that time, Messier Code BK201 was designated to another woman. response:	What did you say?
context: Due to the emergence of the neutral territory in South America five years ago,\mankind lost a means of accessing Heaven's Gate\as well as a vast area of land and millions of its inhabitants.\The one responsible for this was BK201.\Why did he cause that tragedy?\He? You're mistaken.\At that time, Messier Code BK201 was designated to another woman.\What did you say? response:	Let's try to stick with the facts of the present instead of details from the past.
context: mankind lost a means of accessing Heaven's Gate\as well as a vast area of land and millions of its inhabitants.\The one responsible for this was BK201.\Why did he cause that tragedy?\He? You're mistaken.\At that time, Messier Code BK201 was designated to another woman.\What did you say?\Let's try to stick with the facts of the present instead of details from the past. response:	The E.P.R. is attempting to repeat the South American phenomenon here in Tokyo.
context: as well as a vast area of land and millions of its inhabitants.\The one responsible for this was BK201.\Why did he cause that tragedy?\He? You're mistaken.\At that time, Messier Code BK201 was designated to another woman.\What did you say?\Let's try to stick with the facts of the present instead of details from the past.\The E.P.R. is attempting to repeat the South American phenomenon here in Tokyo. response:	Where did you get that information?
context: The one responsible for this was BK201.\Why did he cause that tragedy?\He? You're mistaken.\At that time, Messier Code BK201 was designated to another woman.\What did you say?\Let's try to stick with the facts of the present instead of details from the past.\The E.P.R. is attempting to repeat the South American phenomenon here in Tokyo.\Where did you get that information? response:	We've been fighting them ever since that incident.
context: Why did he cause that tragedy?\He? You're mistaken.\At that time, Messier Code BK201 was designated to another woman.\What did you say?\Let's try to stick with the facts of the present instead of details from the past.\The E.P.R. is attempting to repeat the South American phenomenon here in Tokyo.\Where did you get that information?\We've been fighting them ever since that incident. response:	It'd be difficult not to know.
context: He? You're mistaken.\At that time, Messier Code BK201 was designated to another woman.\What did you say?\Let's try to stick with the facts of the present instead of details from the past.\The E.P.R. is attempting to repeat the South American phenomenon here in Tokyo.\Where did you get that information?\We've been fighting them ever since that incident.\It'd be difficult not to know. response:	It's what we refer to as the Tokyo Explosion.
context: At that time, Messier Code BK201 was designated to another woman.\What did you say?\Let's try to stick with the facts of the present instead of details from the past.\The E.P.R. is attempting to repeat the South American phenomenon here in Tokyo.\Where did you get that information?\We've been fighting them ever since that incident.\It'd be difficult not to know.\It's what we refer to as the Tokyo Explosion. response:	If an explosion of the same magnitude as that of South America occurs here,
context: What did you say?\Let's try to stick with the facts of the present instead of details from the past.\The E.P.R. is attempting to repeat the South American phenomenon here in Tokyo.\Where did you get that information?\We've been fighting them ever since that incident.\It'd be difficult not to know.\It's what we refer to as the Tokyo Explosion.\If an explosion of the same magnitude as that of South America occurs here, response:	the entire nation of Japan will become nothing more than neutral territory.
context: Let's try to stick with the facts of the present instead of details from the past.\The E.P.R. is attempting to repeat the South American phenomenon here in Tokyo.\Where did you get that information?\We've been fighting them ever since that incident.\It'd be difficult not to know.\It's what we refer to as the Tokyo Explosion.\If an explosion of the same magnitude as that of South America occurs here,\the entire nation of Japan will become nothing more than neutral territory. response:	Everything in existence will vanish into thin air.
context: The E.P.R. is attempting to repeat the South American phenomenon here in Tokyo.\Where did you get that information?\We've been fighting them ever since that incident.\It'd be difficult not to know.\It's what we refer to as the Tokyo Explosion.\If an explosion of the same magnitude as that of South America occurs here,\the entire nation of Japan will become nothing more than neutral territory.\Everything in existence will vanish into thin air. response:	Rest assured. We won't let something like that happen.
context: Where did you get that information?\We've been fighting them ever since that incident.\It'd be difficult not to know.\It's what we refer to as the Tokyo Explosion.\If an explosion of the same magnitude as that of South America occurs here,\the entire nation of Japan will become nothing more than neutral territory.\Everything in existence will vanish into thin air.\Rest assured. We won't let something like that happen. response:	How do you plan to prevent it?
context: We've been fighting them ever since that incident.\It'd be difficult not to know.\It's what we refer to as the Tokyo Explosion.\If an explosion of the same magnitude as that of South America occurs here,\the entire nation of Japan will become nothing more than neutral territory.\Everything in existence will vanish into thin air.\Rest assured. We won't let something like that happen.\How do you plan to prevent it? response:	All we have to do is destroy Hell's Gate.
context: It'd be difficult not to know.\It's what we refer to as the Tokyo Explosion.\If an explosion of the same magnitude as that of South America occurs here,\the entire nation of Japan will become nothing more than neutral territory.\Everything in existence will vanish into thin air.\Rest assured. We won't let something like that happen.\How do you plan to prevent it?\All we have to do is destroy Hell's Gate. response:	Is that even possible?
context: It's what we refer to as the Tokyo Explosion.\If an explosion of the same magnitude as that of South America occurs here,\the entire nation of Japan will become nothing more than neutral territory.\Everything in existence will vanish into thin air.\Rest assured. We won't let something like that happen.\How do you plan to prevent it?\All we have to do is destroy Hell's Gate.\Is that even possible? response:	Of course. The wall that surrounds Hell's Gate wasn't constructed just to ward off trespassers.
context: If an explosion of the same magnitude as that of South America occurs here,\the entire nation of Japan will become nothing more than neutral territory.\Everything in existence will vanish into thin air.\Rest assured. We won't let something like that happen.\How do you plan to prevent it?\All we have to do is destroy Hell's Gate.\Is that even possible?\Of course. The wall that surrounds Hell's Gate wasn't constructed just to ward off trespassers. response:	It was put in place to protect something, much like a sturdy fortress.
context: the entire nation of Japan will become nothing more than neutral territory.\Everything in existence will vanish into thin air.\Rest assured. We won't let something like that happen.\How do you plan to prevent it?\All we have to do is destroy Hell's Gate.\Is that even possible?\Of course. The wall that surrounds Hell's Gate wasn't constructed just to ward off trespassers.\It was put in place to protect something, much like a sturdy fortress. response:	That's...
context: Everything in existence will vanish into thin air.\Rest assured. We won't let something like that happen.\How do you plan to prevent it?\All we have to do is destroy Hell's Gate.\Is that even possible?\Of course. The wall that surrounds Hell's Gate wasn't constructed just to ward off trespassers.\It was put in place to protect something, much like a sturdy fortress.\That's... response:	The Saturn System.
context: Rest assured. We won't let something like that happen.\How do you plan to prevent it?\All we have to do is destroy Hell's Gate.\Is that even possible?\Of course. The wall that surrounds Hell's Gate wasn't constructed just to ward off trespassers.\It was put in place to protect something, much like a sturdy fortress.\That's...\The Saturn System. response:	I hope the boss isn't getting herself into trouble.
context: How do you plan to prevent it?\All we have to do is destroy Hell's Gate.\Is that even possible?\Of course. The wall that surrounds Hell's Gate wasn't constructed just to ward off trespassers.\It was put in place to protect something, much like a sturdy fortress.\That's...\The Saturn System.\I hope the boss isn't getting herself into trouble. response:	I have faith in our boss!
context: All we have to do is destroy Hell's Gate.\Is that even possible?\Of course. The wall that surrounds Hell's Gate wasn't constructed just to ward off trespassers.\It was put in place to protect something, much like a sturdy fortress.\That's...\The Saturn System.\I hope the boss isn't getting herself into trouble.\I have faith in our boss! response:	Yeah, right. You've been following her all day.
context: Is that even possible?\Of course. The wall that surrounds Hell's Gate wasn't constructed just to ward off trespassers.\It was put in place to protect something, much like a sturdy fortress.\That's...\The Saturn System.\I hope the boss isn't getting herself into trouble.\I have faith in our boss!\Yeah, right. You've been following her all day. response:	Yes? Oh, Matsumoto-san.
context: Of course. The wall that surrounds Hell's Gate wasn't constructed just to ward off trespassers.\It was put in place to protect something, much like a sturdy fortress.\That's...\The Saturn System.\I hope the boss isn't getting herself into trouble.\I have faith in our boss!\Yeah, right. You've been following her all day.\Yes? Oh, Matsumoto-san. response:	Yes, I'm with Kouno.
context: It was put in place to protect something, much like a sturdy fortress.\That's...\The Saturn System.\I hope the boss isn't getting herself into trouble.\I have faith in our boss!\Yeah, right. You've been following her all day.\Yes? Oh, Matsumoto-san.\Yes, I'm with Kouno. response:	Yes.
context: That's...\The Saturn System.\I hope the boss isn't getting herself into trouble.\I have faith in our boss!\Yeah, right. You've been following her all day.\Yes? Oh, Matsumoto-san.\Yes, I'm with Kouno.\Yes. response:	What did you say?
context: The Saturn System.\I hope the boss isn't getting herself into trouble.\I have faith in our boss!\Yeah, right. You've been following her all day.\Yes? Oh, Matsumoto-san.\Yes, I'm with Kouno.\Yes.\What did you say? response:	Kouno, we're going to PANDORA!
context: I hope the boss isn't getting herself into trouble.\I have faith in our boss!\Yeah, right. You've been following her all day.\Yes? Oh, Matsumoto-san.\Yes, I'm with Kouno.\Yes.\What did you say?\Kouno, we're going to PANDORA! response:	Why?
context: I have faith in our boss!\Yeah, right. You've been following her all day.\Yes? Oh, Matsumoto-san.\Yes, I'm with Kouno.\Yes.\What did you say?\Kouno, we're going to PANDORA!\Why? response:	The boss is down there!
context: Yeah, right. You've been following her all day.\Yes? Oh, Matsumoto-san.\Yes, I'm with Kouno.\Yes.\What did you say?\Kouno, we're going to PANDORA!\Why?\The boss is down there! response:	I'll leave the money here!
context: Yes? Oh, Matsumoto-san.\Yes, I'm with Kouno.\Yes.\What did you say?\Kouno, we're going to PANDORA!\Why?\The boss is down there!\I'll leave the money here! response:	Sure, thanks!
context: Yes, I'm with Kouno.\Yes.\What did you say?\Kouno, we're going to PANDORA!\Why?\The boss is down there!\I'll leave the money here!\Sure, thanks! response:	Shit. What the hell is going on?
context: Yes.\What did you say?\Kouno, we're going to PANDORA!\Why?\The boss is down there!\I'll leave the money here!\Sure, thanks!\Shit. What the hell is going on? response:	On the forty-fifth day of the solar maximum,
context: What did you say?\Kouno, we're going to PANDORA!\Why?\The boss is down there!\I'll leave the money here!\Sure, thanks!\Shit. What the hell is going on?\On the forty-fifth day of the solar maximum, response:	the gate will reach its final stage and its maximum capacity.
context: Kouno, we're going to PANDORA!\Why?\The boss is down there!\I'll leave the money here!\Sure, thanks!\Shit. What the hell is going on?\On the forty-fifth day of the solar maximum,\the gate will reach its final stage and its maximum capacity. response:	It will maintain this state for about thirty minutes.
context: Why?\The boss is down there!\I'll leave the money here!\Sure, thanks!\Shit. What the hell is going on?\On the forty-fifth day of the solar maximum,\the gate will reach its final stage and its maximum capacity.\It will maintain this state for about thirty minutes. response:	If the cultured, accelerated anti-gate particles are released into the core by the Saturn Ring during that period of time,
context: The boss is down there!\I'll leave the money here!\Sure, thanks!\Shit. What the hell is going on?\On the forty-fifth day of the solar maximum,\the gate will reach its final stage and its maximum capacity.\It will maintain this state for about thirty minutes.\If the cultured, accelerated anti-gate particles are released into the core by the Saturn Ring during that period of time, response:	the gate will disappear.
context: I'll leave the money here!\Sure, thanks!\Shit. What the hell is going on?\On the forty-fifth day of the solar maximum,\the gate will reach its final stage and its maximum capacity.\It will maintain this state for about thirty minutes.\If the cultured, accelerated anti-gate particles are released into the core by the Saturn Ring during that period of time,\the gate will disappear. response:	Just to let you know, BK201 can only initiate the Tokyo Explosion during the final stage.
context: Sure, thanks!\Shit. What the hell is going on?\On the forty-fifth day of the solar maximum,\the gate will reach its final stage and its maximum capacity.\It will maintain this state for about thirty minutes.\If the cultured, accelerated anti-gate particles are released into the core by the Saturn Ring during that period of time,\the gate will disappear.\Just to let you know, BK201 can only initiate the Tokyo Explosion during the final stage. response:	It's one of the invaluable pieces of information we acquired from South America.
context: Shit. What the hell is going on?\On the forty-fifth day of the solar maximum,\the gate will reach its final stage and its maximum capacity.\It will maintain this state for about thirty minutes.\If the cultured, accelerated anti-gate particles are released into the core by the Saturn Ring during that period of time,\the gate will disappear.\Just to let you know, BK201 can only initiate the Tokyo Explosion during the final stage.\It's one of the invaluable pieces of information we acquired from South America. response:	Intriguing, isn't it? Warfare between humans and contractors first began within this thirty minute time frame.
context: On the forty-fifth day of the solar maximum,\the gate will reach its final stage and its maximum capacity.\It will maintain this state for about thirty minutes.\If the cultured, accelerated anti-gate particles are released into the core by the Saturn Ring during that period of time,\the gate will disappear.\Just to let you know, BK201 can only initiate the Tokyo Explosion during the final stage.\It's one of the invaluable pieces of information we acquired from South America.\Intriguing, isn't it? Warfare between humans and contractors first began within this thirty minute time frame. response:	Five hours and twenty-seven minutes until the moment of truth.
context: the gate will reach its final stage and its maximum capacity.\It will maintain this state for about thirty minutes.\If the cultured, accelerated anti-gate particles are released into the core by the Saturn Ring during that period of time,\the gate will disappear.\Just to let you know, BK201 can only initiate the Tokyo Explosion during the final stage.\It's one of the invaluable pieces of information we acquired from South America.\Intriguing, isn't it? Warfare between humans and contractors first began within this thirty minute time frame.\Five hours and twenty-seven minutes until the moment of truth. response:	What is it?
context: It will maintain this state for about thirty minutes.\If the cultured, accelerated anti-gate particles are released into the core by the Saturn Ring during that period of time,\the gate will disappear.\Just to let you know, BK201 can only initiate the Tokyo Explosion during the final stage.\It's one of the invaluable pieces of information we acquired from South America.\Intriguing, isn't it? Warfare between humans and contractors first began within this thirty minute time frame.\Five hours and twenty-seven minutes until the moment of truth.\What is it? response:	Special forces have engaged in combat at Honcho 2-chome, Kita Ward.
context: If the cultured, accelerated anti-gate particles are released into the core by the Saturn Ring during that period of time,\the gate will disappear.\Just to let you know, BK201 can only initiate the Tokyo Explosion during the final stage.\It's one of the invaluable pieces of information we acquired from South America.\Intriguing, isn't it? Warfare between humans and contractors first began within this thirty minute time frame.\Five hours and twenty-seven minutes until the moment of truth.\What is it?\Special forces have engaged in combat at Honcho 2-chome, Kita Ward. response:	Understood.
context: the gate will disappear.\Just to let you know, BK201 can only initiate the Tokyo Explosion during the final stage.\It's one of the invaluable pieces of information we acquired from South America.\Intriguing, isn't it? Warfare between humans and contractors first began within this thirty minute time frame.\Five hours and twenty-seven minutes until the moment of truth.\What is it?\Special forces have engaged in combat at Honcho 2-chome, Kita Ward.\Understood. response:	Oh, it's already begun!
context: Just to let you know, BK201 can only initiate the Tokyo Explosion during the final stage.\It's one of the invaluable pieces of information we acquired from South America.\Intriguing, isn't it? Warfare between humans and contractors first began within this thirty minute time frame.\Five hours and twenty-seven minutes until the moment of truth.\What is it?\Special forces have engaged in combat at Honcho 2-chome, Kita Ward.\Understood.\Oh, it's already begun! response:	This is...
context: It's one of the invaluable pieces of information we acquired from South America.\Intriguing, isn't it? Warfare between humans and contractors first began within this thirty minute time frame.\Five hours and twenty-seven minutes until the moment of truth.\What is it?\Special forces have engaged in combat at Honcho 2-chome, Kita Ward.\Understood.\Oh, it's already begun!\This is... response:	Restless stars,
context: Intriguing, isn't it? Warfare between humans and contractors first began within this thirty minute time frame.\Five hours and twenty-seven minutes until the moment of truth.\What is it?\Special forces have engaged in combat at Honcho 2-chome, Kita Ward.\Understood.\Oh, it's already begun!\This is...\Restless stars, response:	shimmering, crying, falling from the sky...
context: Five hours and twenty-seven minutes until the moment of truth.\What is it?\Special forces have engaged in combat at Honcho 2-chome, Kita Ward.\Understood.\Oh, it's already begun!\This is...\Restless stars,\shimmering, crying, falling from the sky... response:	We've detected numerous contractor-related responses within the Kita and Itabashi Wards.
context: What is it?\Special forces have engaged in combat at Honcho 2-chome, Kita Ward.\Understood.\Oh, it's already begun!\This is...\Restless stars,\shimmering, crying, falling from the sky...\We've detected numerous contractor-related responses within the Kita and Itabashi Wards. response:	Numerous isn't specific enough. Give me an actual number.
context: Special forces have engaged in combat at Honcho 2-chome, Kita Ward.\Understood.\Oh, it's already begun!\This is...\Restless stars,\shimmering, crying, falling from the sky...\We've detected numerous contractor-related responses within the Kita and Itabashi Wards.\Numerous isn't specific enough. Give me an actual number. response:	Well, there are multitudes of them.
context: Understood.\Oh, it's already begun!\This is...\Restless stars,\shimmering, crying, falling from the sky...\We've detected numerous contractor-related responses within the Kita and Itabashi Wards.\Numerous isn't specific enough. Give me an actual number.\Well, there are multitudes of them. response:	What?
context: Oh, it's already begun!\This is...\Restless stars,\shimmering, crying, falling from the sky...\We've detected numerous contractor-related responses within the Kita and Itabashi Wards.\Numerous isn't specific enough. Give me an actual number.\Well, there are multitudes of them.\What? response:	What's going on?
context: This is...\Restless stars,\shimmering, crying, falling from the sky...\We've detected numerous contractor-related responses within the Kita and Itabashi Wards.\Numerous isn't specific enough. Give me an actual number.\Well, there are multitudes of them.\What?\What's going on? response:	Not only has the data from the Division of Astronomy been leaked,
context: Restless stars,\shimmering, crying, falling from the sky...\We've detected numerous contractor-related responses within the Kita and Itabashi Wards.\Numerous isn't specific enough. Give me an actual number.\Well, there are multitudes of them.\What?\What's going on?\Not only has the data from the Division of Astronomy been leaked, response:	it's being accessed in real time.
context: shimmering, crying, falling from the sky...\We've detected numerous contractor-related responses within the Kita and Itabashi Wards.\Numerous isn't specific enough. Give me an actual number.\Well, there are multitudes of them.\What?\What's going on?\Not only has the data from the Division of Astronomy been leaked,\it's being accessed in real time. response:	I see. I've heard about it.
context: We've detected numerous contractor-related responses within the Kita and Itabashi Wards.\Numerous isn't specific enough. Give me an actual number.\Well, there are multitudes of them.\What?\What's going on?\Not only has the data from the Division of Astronomy been leaked,\it's being accessed in real time.\I see. I've heard about it. response:	Something about the unofficial existence of a subway.
context: Numerous isn't specific enough. Give me an actual number.\Well, there are multitudes of them.\What?\What's going on?\Not only has the data from the Division of Astronomy been leaked,\it's being accessed in real time.\I see. I've heard about it.\Something about the unofficial existence of a subway. response:	Due to the turmoil resulting from the emergence of the gate,
context: Well, there are multitudes of them.\What?\What's going on?\Not only has the data from the Division of Astronomy been leaked,\it's being accessed in real time.\I see. I've heard about it.\Something about the unofficial existence of a subway.\Due to the turmoil resulting from the emergence of the gate, response:	every document related to this subway was lost.
context: What?\What's going on?\Not only has the data from the Division of Astronomy been leaked,\it's being accessed in real time.\I see. I've heard about it.\Something about the unofficial existence of a subway.\Due to the turmoil resulting from the emergence of the gate,\every document related to this subway was lost. response:	It isn't even under surveillance now.
context: What's going on?\Not only has the data from the Division of Astronomy been leaked,\it's being accessed in real time.\I see. I've heard about it.\Something about the unofficial existence of a subway.\Due to the turmoil resulting from the emergence of the gate,\every document related to this subway was lost.\It isn't even under surveillance now. response:	Hey, do we really have to walk?
context: Not only has the data from the Division of Astronomy been leaked,\it's being accessed in real time.\I see. I've heard about it.\Something about the unofficial existence of a subway.\Due to the turmoil resulting from the emergence of the gate,\every document related to this subway was lost.\It isn't even under surveillance now.\Hey, do we really have to walk? response:	There's no electricity in here.
context: it's being accessed in real time.\I see. I've heard about it.\Something about the unofficial existence of a subway.\Due to the turmoil resulting from the emergence of the gate,\every document related to this subway was lost.\It isn't even under surveillance now.\Hey, do we really have to walk?\There's no electricity in here. response:	On the other hand, the police's observer apparitions can't access it, either.
