context: TS response:	Why?
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
context: We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu response:	Finitude is what the two clock hands show
context: chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show response:	zankoku na yakujou to sentaku e
context: But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e response:	As they point toward a cruel destiny and choice
context: mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice response:	Hacking to the Gate
context: The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate response:	dakara ima ichibyou goto ni sekaisen wo koete
context: bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete response:	And now I cross the boundary between worlds each second
context: Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second response:	kimi no sono egao mamoritai no sa
context: yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa response:	Because I want to protect that smile of yours
context: Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours response:	soshite mata kanashimi no nai jikan no ruupu e to
context: zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to response:	And a loop in time without sadness will once again
context: As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again response:	nomikomarete yuku kodoku no kansokusha
context: Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha response:	Engulf me, a lonely observer
context: dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer response:	SCRIPT
context: And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\SCRIPT response:	Chaos Theory
context: kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\SCRIPT\Chaos Theory response:	Chaos Theory
context: Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\SCRIPT\Chaos Theory\Chaos Theory response:	Chaos Theory
context: soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\SCRIPT\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\SCRIPT\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\SCRIPT\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: Engulf me, a lonely observer\SCRIPT\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: SCRIPT\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Homeostasis
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Homeostasis response:	Homeostasis
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theory\Chaos Theory\Chaos Theory\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theory\Chaos Theory\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theory\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	It's hard to believe that May Queen used to be here.
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\It's hard to believe that May Queen used to be here. response:	May Queen? That a potato?
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\It's hard to believe that May Queen used to be here.\May Queen? That a potato? response:	During summer, I prefer noodles to potatoes.
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\It's hard to believe that May Queen used to be here.\May Queen? That a potato?\During summer, I prefer noodles to potatoes. response:	It isn't a potato...
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\It's hard to believe that May Queen used to be here.\May Queen? That a potato?\During summer, I prefer noodles to potatoes.\It isn't a potato... response:	If May Queen never existed, then how did we meet Feyris?
context: Homeostasis\Homeostasis\Homeostasis\It's hard to believe that May Queen used to be here.\May Queen? That a potato?\During summer, I prefer noodles to potatoes.\It isn't a potato...\If May Queen never existed, then how did we meet Feyris? response:	Well, it's thanks to potato ramen that we met her.
context: Homeostasis\Homeostasis\It's hard to believe that May Queen used to be here.\May Queen? That a potato?\During summer, I prefer noodles to potatoes.\It isn't a potato...\If May Queen never existed, then how did we meet Feyris?\Well, it's thanks to potato ramen that we met her. response:	What do you mean?
context: Homeostasis\It's hard to believe that May Queen used to be here.\May Queen? That a potato?\During summer, I prefer noodles to potatoes.\It isn't a potato...\If May Queen never existed, then how did we meet Feyris?\Well, it's thanks to potato ramen that we met her.\What do you mean? response:	You've forgotten?
context: It's hard to believe that May Queen used to be here.\May Queen? That a potato?\During summer, I prefer noodles to potatoes.\It isn't a potato...\If May Queen never existed, then how did we meet Feyris?\Well, it's thanks to potato ramen that we met her.\What do you mean?\You've forgotten? response:	The day of the Rai-Net Tournament in Ikebukuro,
context: May Queen? That a potato?\During summer, I prefer noodles to potatoes.\It isn't a potato...\If May Queen never existed, then how did we meet Feyris?\Well, it's thanks to potato ramen that we met her.\What do you mean?\You've forgotten?\The day of the Rai-Net Tournament in Ikebukuro, response:	I got sick from the potato ramen I had for lunch,
context: During summer, I prefer noodles to potatoes.\It isn't a potato...\If May Queen never existed, then how did we meet Feyris?\Well, it's thanks to potato ramen that we met her.\What do you mean?\You've forgotten?\The day of the Rai-Net Tournament in Ikebukuro,\I got sick from the potato ramen I had for lunch, response:	so I withdrew.
context: It isn't a potato...\If May Queen never existed, then how did we meet Feyris?\Well, it's thanks to potato ramen that we met her.\What do you mean?\You've forgotten?\The day of the Rai-Net Tournament in Ikebukuro,\I got sick from the potato ramen I had for lunch,\so I withdrew. response:	And then?
context: If May Queen never existed, then how did we meet Feyris?\Well, it's thanks to potato ramen that we met her.\What do you mean?\You've forgotten?\The day of the Rai-Net Tournament in Ikebukuro,\I got sick from the potato ramen I had for lunch,\so I withdrew.\And then? response:	Mayushii and you entered as a pair,
context: Well, it's thanks to potato ramen that we met her.\What do you mean?\You've forgotten?\The day of the Rai-Net Tournament in Ikebukuro,\I got sick from the potato ramen I had for lunch,\so I withdrew.\And then?\Mayushii and you entered as a pair, response:	and you went up against Feyris-tan.
context: What do you mean?\You've forgotten?\The day of the Rai-Net Tournament in Ikebukuro,\I got sick from the potato ramen I had for lunch,\so I withdrew.\And then?\Mayushii and you entered as a pair,\and you went up against Feyris-tan. response:	You totally lost,
context: You've forgotten?\The day of the Rai-Net Tournament in Ikebukuro,\I got sick from the potato ramen I had for lunch,\so I withdrew.\And then?\Mayushii and you entered as a pair,\and you went up against Feyris-tan.\You totally lost, response:	but Mayushii and Feyris-tan became friends.
context: The day of the Rai-Net Tournament in Ikebukuro,\I got sick from the potato ramen I had for lunch,\so I withdrew.\And then?\Mayushii and you entered as a pair,\and you went up against Feyris-tan.\You totally lost,\but Mayushii and Feyris-tan became friends. response:	I see.
context: I got sick from the potato ramen I had for lunch,\so I withdrew.\And then?\Mayushii and you entered as a pair,\and you went up against Feyris-tan.\You totally lost,\but Mayushii and Feyris-tan became friends.\I see. response:	Look, look, Ruka-chan.
context: so I withdrew.\And then?\Mayushii and you entered as a pair,\and you went up against Feyris-tan.\You totally lost,\but Mayushii and Feyris-tan became friends.\I see.\Look, look, Ruka-chan. response:	I bought this cosplayer photo book yesterday, in Nakano!
context: And then?\Mayushii and you entered as a pair,\and you went up against Feyris-tan.\You totally lost,\but Mayushii and Feyris-tan became friends.\I see.\Look, look, Ruka-chan.\I bought this cosplayer photo book yesterday, in Nakano! response:	So cute...
context: Mayushii and you entered as a pair,\and you went up against Feyris-tan.\You totally lost,\but Mayushii and Feyris-tan became friends.\I see.\Look, look, Ruka-chan.\I bought this cosplayer photo book yesterday, in Nakano!\So cute... response:	The past changed, but our relationships haven't?
context: and you went up against Feyris-tan.\You totally lost,\but Mayushii and Feyris-tan became friends.\I see.\Look, look, Ruka-chan.\I bought this cosplayer photo book yesterday, in Nakano!\So cute...\The past changed, but our relationships haven't? response:	You seem to have lots of time
context: You totally lost,\but Mayushii and Feyris-tan became friends.\I see.\Look, look, Ruka-chan.\I bought this cosplayer photo book yesterday, in Nakano!\So cute...\The past changed, but our relationships haven't?\You seem to have lots of time response:	on your hands, this Obon, Lab Member Girls.
context: but Mayushii and Feyris-tan became friends.\I see.\Look, look, Ruka-chan.\I bought this cosplayer photo book yesterday, in Nakano!\So cute...\The past changed, but our relationships haven't?\You seem to have lots of time\on your hands, this Obon, Lab Member Girls. response:	Hello, there.
context: I see.\Look, look, Ruka-chan.\I bought this cosplayer photo book yesterday, in Nakano!\So cute...\The past changed, but our relationships haven't?\You seem to have lots of time\on your hands, this Obon, Lab Member Girls.\Hello, there. response:	Look! Cute, huh?
context: Look, look, Ruka-chan.\I bought this cosplayer photo book yesterday, in Nakano!\So cute...\The past changed, but our relationships haven't?\You seem to have lots of time\on your hands, this Obon, Lab Member Girls.\Hello, there.\Look! Cute, huh? response:	Hey! It's Sedona from Blood Tune!
context: I bought this cosplayer photo book yesterday, in Nakano!\So cute...\The past changed, but our relationships haven't?\You seem to have lots of time\on your hands, this Obon, Lab Member Girls.\Hello, there.\Look! Cute, huh?\Hey! It's Sedona from Blood Tune! response:	It's really detailed!
context: So cute...\The past changed, but our relationships haven't?\You seem to have lots of time\on your hands, this Obon, Lab Member Girls.\Hello, there.\Look! Cute, huh?\Hey! It's Sedona from Blood Tune!\It's really detailed! response:	There's a swimsuit version, too.
context: The past changed, but our relationships haven't?\You seem to have lots of time\on your hands, this Obon, Lab Member Girls.\Hello, there.\Look! Cute, huh?\Hey! It's Sedona from Blood Tune!\It's really detailed!\There's a swimsuit version, too. response:	I wish I could be like that.
context: You seem to have lots of time\on your hands, this Obon, Lab Member Girls.\Hello, there.\Look! Cute, huh?\Hey! It's Sedona from Blood Tune!\It's really detailed!\There's a swimsuit version, too.\I wish I could be like that. response:	I don't have those proportions.
context: on your hands, this Obon, Lab Member Girls.\Hello, there.\Look! Cute, huh?\Hey! It's Sedona from Blood Tune!\It's really detailed!\There's a swimsuit version, too.\I wish I could be like that.\I don't have those proportions. response:	It's okay!
context: Hello, there.\Look! Cute, huh?\Hey! It's Sedona from Blood Tune!\It's really detailed!\There's a swimsuit version, too.\I wish I could be like that.\I don't have those proportions.\It's okay! response:	Flat is justice!
context: Look! Cute, huh?\Hey! It's Sedona from Blood Tune!\It's really detailed!\There's a swimsuit version, too.\I wish I could be like that.\I don't have those proportions.\It's okay!\Flat is justice! response:	I know!
context: Hey! It's Sedona from Blood Tune!\It's really detailed!\There's a swimsuit version, too.\I wish I could be like that.\I don't have those proportions.\It's okay!\Flat is justice!\I know! response:	Why not take all the lab members,
context: It's really detailed!\There's a swimsuit version, too.\I wish I could be like that.\I don't have those proportions.\It's okay!\Flat is justice!\I know!\Why not take all the lab members, response:	and go to the beach?
context: There's a swimsuit version, too.\I wish I could be like that.\I don't have those proportions.\It's okay!\Flat is justice!\I know!\Why not take all the lab members,\and go to the beach? response:	With Kurisu-chan!
context: I wish I could be like that.\I don't have those proportions.\It's okay!\Flat is justice!\I know!\Why not take all the lab members,\and go to the beach?\With Kurisu-chan! response:	Everyone wears their school swimsuits, okay?
context: I don't have those proportions.\It's okay!\Flat is justice!\I know!\Why not take all the lab members,\and go to the beach?\With Kurisu-chan!\Everyone wears their school swimsuits, okay? response:	I'm not going swimming with a pervert.
context: It's okay!\Flat is justice!\I know!\Why not take all the lab members,\and go to the beach?\With Kurisu-chan!\Everyone wears their school swimsuits, okay?\I'm not going swimming with a pervert. response:	Um, well... I mean, if it's just the girls,
context: Flat is justice!\I know!\Why not take all the lab members,\and go to the beach?\With Kurisu-chan!\Everyone wears their school swimsuits, okay?\I'm not going swimming with a pervert.\Um, well... I mean, if it's just the girls, response:	I'd love to!
context: I know!\Why not take all the lab members,\and go to the beach?\With Kurisu-chan!\Everyone wears their school swimsuits, okay?\I'm not going swimming with a pervert.\Um, well... I mean, if it's just the girls,\I'd love to! response:	Why not be honest, Christina?
context: Why not take all the lab members,\and go to the beach?\With Kurisu-chan!\Everyone wears their school swimsuits, okay?\I'm not going swimming with a pervert.\Um, well... I mean, if it's just the girls,\I'd love to!\Why not be honest, Christina? response:	You don't want
context: and go to the beach?\With Kurisu-chan!\Everyone wears their school swimsuits, okay?\I'm not going swimming with a pervert.\Um, well... I mean, if it's just the girls,\I'd love to!\Why not be honest, Christina?\You don't want response:	anyone to see the mole on your rear,
context: With Kurisu-chan!\Everyone wears their school swimsuits, okay?\I'm not going swimming with a pervert.\Um, well... I mean, if it's just the girls,\I'd love to!\Why not be honest, Christina?\You don't want\anyone to see the mole on your rear, response:	so you can't go.
context: Everyone wears their school swimsuits, okay?\I'm not going swimming with a pervert.\Um, well... I mean, if it's just the girls,\I'd love to!\Why not be honest, Christina?\You don't want\anyone to see the mole on your rear,\so you can't go. response:	There's no mole!
context: I'm not going swimming with a pervert.\Um, well... I mean, if it's just the girls,\I'd love to!\Why not be honest, Christina?\You don't want\anyone to see the mole on your rear,\so you can't go.\There's no mole! response:	And if it's just the girls,
context: Um, well... I mean, if it's just the girls,\I'd love to!\Why not be honest, Christina?\You don't want\anyone to see the mole on your rear,\so you can't go.\There's no mole!\And if it's just the girls, response:	then Rukako can't go.
context: I'd love to!\Why not be honest, Christina?\You don't want\anyone to see the mole on your rear,\so you can't go.\There's no mole!\And if it's just the girls,\then Rukako can't go. response:	Huh? Why not?
context: Why not be honest, Christina?\You don't want\anyone to see the mole on your rear,\so you can't go.\There's no mole!\And if it's just the girls,\then Rukako can't go.\Huh? Why not? response:	I told you earlier, right?
context: You don't want\anyone to see the mole on your rear,\so you can't go.\There's no mole!\And if it's just the girls,\then Rukako can't go.\Huh? Why not?\I told you earlier, right? response:	That Rukako's actually a guy.
context: anyone to see the mole on your rear,\so you can't go.\There's no mole!\And if it's just the girls,\then Rukako can't go.\Huh? Why not?\I told you earlier, right?\That Rukako's actually a guy. response:	You know, you're a jerk.
context: so you can't go.\There's no mole!\And if it's just the girls,\then Rukako can't go.\Huh? Why not?\I told you earlier, right?\That Rukako's actually a guy.\You know, you're a jerk. response:	How can you call a girl a guy?
context: There's no mole!\And if it's just the girls,\then Rukako can't go.\Huh? Why not?\I told you earlier, right?\That Rukako's actually a guy.\You know, you're a jerk.\How can you call a girl a guy? response:	Mayushii doesn't like it when you say stuff like that.
context: And if it's just the girls,\then Rukako can't go.\Huh? Why not?\I told you earlier, right?\That Rukako's actually a guy.\You know, you're a jerk.\How can you call a girl a guy?\Mayushii doesn't like it when you say stuff like that. response:	Isn't that really mean?
context: then Rukako can't go.\Huh? Why not?\I told you earlier, right?\That Rukako's actually a guy.\You know, you're a jerk.\How can you call a girl a guy?\Mayushii doesn't like it when you say stuff like that.\Isn't that really mean? response:	Wait!
context: Huh? Why not?\I told you earlier, right?\That Rukako's actually a guy.\You know, you're a jerk.\How can you call a girl a guy?\Mayushii doesn't like it when you say stuff like that.\Isn't that really mean?\Wait! response:	Why are you crying?
context: I told you earlier, right?\That Rukako's actually a guy.\You know, you're a jerk.\How can you call a girl a guy?\Mayushii doesn't like it when you say stuff like that.\Isn't that really mean?\Wait!\Why are you crying? response:	Apologize to Urushibara-san. Now.
context: That Rukako's actually a guy.\You know, you're a jerk.\How can you call a girl a guy?\Mayushii doesn't like it when you say stuff like that.\Isn't that really mean?\Wait!\Why are you crying?\Apologize to Urushibara-san. Now. response:	No, seriously.
context: You know, you're a jerk.\How can you call a girl a guy?\Mayushii doesn't like it when you say stuff like that.\Isn't that really mean?\Wait!\Why are you crying?\Apologize to Urushibara-san. Now.\No, seriously. response:	Why would I apologize? It's true
context: How can you call a girl a guy?\Mayushii doesn't like it when you say stuff like that.\Isn't that really mean?\Wait!\Why are you crying?\Apologize to Urushibara-san. Now.\No, seriously.\Why would I apologize? It's true response:	It's fine!
context: Mayushii doesn't like it when you say stuff like that.\Isn't that really mean?\Wait!\Why are you crying?\Apologize to Urushibara-san. Now.\No, seriously.\Why would I apologize? It's true\It's fine! response:	So that's what you think of me, Okabe-san.
context: Isn't that really mean?\Wait!\Why are you crying?\Apologize to Urushibara-san. Now.\No, seriously.\Why would I apologize? It's true\It's fine!\So that's what you think of me, Okabe-san. response:	No, no, no, Rukako! You're really...
