context: The one before him yelled out, Oh no! response:	If you'd like to know what happens next, come listen again next time.
context: The tale told by the storyteller was quite good.\You seemed quite interested in the beginning.\So how come you ended up following them into that building?\There was a fat man who tried to kiss a young lady in public on the street.\The lady wouldn't let the fat man kiss her.\The fat man was angry that he couldn't kiss her\and called a few of his men to surround the lady.\I rushed downstairs to save her but they were already gone. response:	An older man told me
context: You seemed quite interested in the beginning.\So how come you ended up following them into that building?\There was a fat man who tried to kiss a young lady in public on the street.\The lady wouldn't let the fat man kiss her.\The fat man was angry that he couldn't kiss her\and called a few of his men to surround the lady.\I rushed downstairs to save her but they were already gone.\An older man told me response:	she went into a flower building. (A brothel.)
context: So how come you ended up following them into that building?\There was a fat man who tried to kiss a young lady in public on the street.\The lady wouldn't let the fat man kiss her.\The fat man was angry that he couldn't kiss her\and called a few of his men to surround the lady.\I rushed downstairs to save her but they were already gone.\An older man told me\she went into a flower building. (A brothel.) response:	I searched all over the building but didn't see any flowers.
context: There was a fat man who tried to kiss a young lady in public on the street.\The lady wouldn't let the fat man kiss her.\The fat man was angry that he couldn't kiss her\and called a few of his men to surround the lady.\I rushed downstairs to save her but they were already gone.\An older man told me\she went into a flower building. (A brothel.)\I searched all over the building but didn't see any flowers. response:	It's just a name used in the Mortal Realm.
context: The lady wouldn't let the fat man kiss her.\The fat man was angry that he couldn't kiss her\and called a few of his men to surround the lady.\I rushed downstairs to save her but they were already gone.\An older man told me\she went into a flower building. (A brothel.)\I searched all over the building but didn't see any flowers.\It's just a name used in the Mortal Realm. response:	No need to be so particular.
context: The fat man was angry that he couldn't kiss her\and called a few of his men to surround the lady.\I rushed downstairs to save her but they were already gone.\An older man told me\she went into a flower building. (A brothel.)\I searched all over the building but didn't see any flowers.\It's just a name used in the Mortal Realm.\No need to be so particular. response:	I couldn't find the fat man.
context: and called a few of his men to surround the lady.\I rushed downstairs to save her but they were already gone.\An older man told me\she went into a flower building. (A brothel.)\I searched all over the building but didn't see any flowers.\It's just a name used in the Mortal Realm.\No need to be so particular.\I couldn't find the fat man. response:	I couldn't find him anywhere, so I went inside a room.
context: I rushed downstairs to save her but they were already gone.\An older man told me\she went into a flower building. (A brothel.)\I searched all over the building but didn't see any flowers.\It's just a name used in the Mortal Realm.\No need to be so particular.\I couldn't find the fat man.\I couldn't find him anywhere, so I went inside a room. response:	Before I could get a good look, you showed up.
context: An older man told me\she went into a flower building. (A brothel.)\I searched all over the building but didn't see any flowers.\It's just a name used in the Mortal Realm.\No need to be so particular.\I couldn't find the fat man.\I couldn't find him anywhere, so I went inside a room.\Before I could get a good look, you showed up. response:	This is a secret between you and me.
context: she went into a flower building. (A brothel.)\I searched all over the building but didn't see any flowers.\It's just a name used in the Mortal Realm.\No need to be so particular.\I couldn't find the fat man.\I couldn't find him anywhere, so I went inside a room.\Before I could get a good look, you showed up.\This is a secret between you and me. response:	Don't tell your father, all right?
context: I searched all over the building but didn't see any flowers.\It's just a name used in the Mortal Realm.\No need to be so particular.\I couldn't find the fat man.\I couldn't find him anywhere, so I went inside a room.\Before I could get a good look, you showed up.\This is a secret between you and me.\Don't tell your father, all right? response:	I understand.
context: It's just a name used in the Mortal Realm.\No need to be so particular.\I couldn't find the fat man.\I couldn't find him anywhere, so I went inside a room.\Before I could get a good look, you showed up.\This is a secret between you and me.\Don't tell your father, all right?\I understand. response:	By the time you finish your cup of tea
context: No need to be so particular.\I couldn't find the fat man.\I couldn't find him anywhere, so I went inside a room.\Before I could get a good look, you showed up.\This is a secret between you and me.\Don't tell your father, all right?\I understand.\By the time you finish your cup of tea response:	I'll be back to discuss this with you in detail.
context: I couldn't find the fat man.\I couldn't find him anywhere, so I went inside a room.\Before I could get a good look, you showed up.\This is a secret between you and me.\Don't tell your father, all right?\I understand.\By the time you finish your cup of tea\I'll be back to discuss this with you in detail. response:	Farewell, Your Highness.
context: I couldn't find him anywhere, so I went inside a room.\Before I could get a good look, you showed up.\This is a secret between you and me.\Don't tell your father, all right?\I understand.\By the time you finish your cup of tea\I'll be back to discuss this with you in detail.\Farewell, Your Highness. response:	Your Highness.
context: Before I could get a good look, you showed up.\This is a secret between you and me.\Don't tell your father, all right?\I understand.\By the time you finish your cup of tea\I'll be back to discuss this with you in detail.\Farewell, Your Highness.\Your Highness. response:	I heard His Highness has returned?
context: This is a secret between you and me.\Don't tell your father, all right?\I understand.\By the time you finish your cup of tea\I'll be back to discuss this with you in detail.\Farewell, Your Highness.\Your Highness.\I heard His Highness has returned? response:	Yes, His Highness did, but he left again.
context: Don't tell your father, all right?\I understand.\By the time you finish your cup of tea\I'll be back to discuss this with you in detail.\Farewell, Your Highness.\Your Highness.\I heard His Highness has returned?\Yes, His Highness did, but he left again. response:	Left again?
context: I understand.\By the time you finish your cup of tea\I'll be back to discuss this with you in detail.\Farewell, Your Highness.\Your Highness.\I heard His Highness has returned?\Yes, His Highness did, but he left again.\Left again? response:	The Aunt of Qing Qiu is sightseeing in the Mortal Realm
context: By the time you finish your cup of tea\I'll be back to discuss this with you in detail.\Farewell, Your Highness.\Your Highness.\I heard His Highness has returned?\Yes, His Highness did, but he left again.\Left again?\The Aunt of Qing Qiu is sightseeing in the Mortal Realm response:	so His Highness has been keeping her company.
context: I'll be back to discuss this with you in detail.\Farewell, Your Highness.\Your Highness.\I heard His Highness has returned?\Yes, His Highness did, but he left again.\Left again?\The Aunt of Qing Qiu is sightseeing in the Mortal Realm\so His Highness has been keeping her company. response:	Sightseeing in the Mortal Realm realm?
context: Farewell, Your Highness.\Your Highness.\I heard His Highness has returned?\Yes, His Highness did, but he left again.\Left again?\The Aunt of Qing Qiu is sightseeing in the Mortal Realm\so His Highness has been keeping her company.\Sightseeing in the Mortal Realm realm? response:	Then won't His Highness miss the Heavenly Lord's birthday banquet?
context: Your Highness.\I heard His Highness has returned?\Yes, His Highness did, but he left again.\Left again?\The Aunt of Qing Qiu is sightseeing in the Mortal Realm\so His Highness has been keeping her company.\Sightseeing in the Mortal Realm realm?\Then won't His Highness miss the Heavenly Lord's birthday banquet? response:	Do not worry, Your Highness. My Lord said he will be attending the feast.
context: I heard His Highness has returned?\Yes, His Highness did, but he left again.\Left again?\The Aunt of Qing Qiu is sightseeing in the Mortal Realm\so His Highness has been keeping her company.\Sightseeing in the Mortal Realm realm?\Then won't His Highness miss the Heavenly Lord's birthday banquet?\Do not worry, Your Highness. My Lord said he will be attending the feast. response:	That's good.
context: Yes, His Highness did, but he left again.\Left again?\The Aunt of Qing Qiu is sightseeing in the Mortal Realm\so His Highness has been keeping her company.\Sightseeing in the Mortal Realm realm?\Then won't His Highness miss the Heavenly Lord's birthday banquet?\Do not worry, Your Highness. My Lord said he will be attending the feast.\That's good. response:	I was afraid His Highness would miss the Heavenly Lord's birthday feast
context: Left again?\The Aunt of Qing Qiu is sightseeing in the Mortal Realm\so His Highness has been keeping her company.\Sightseeing in the Mortal Realm realm?\Then won't His Highness miss the Heavenly Lord's birthday banquet?\Do not worry, Your Highness. My Lord said he will be attending the feast.\That's good.\I was afraid His Highness would miss the Heavenly Lord's birthday feast response:	by staying too long in Qing Qiu.
context: The Aunt of Qing Qiu is sightseeing in the Mortal Realm\so His Highness has been keeping her company.\Sightseeing in the Mortal Realm realm?\Then won't His Highness miss the Heavenly Lord's birthday banquet?\Do not worry, Your Highness. My Lord said he will be attending the feast.\That's good.\I was afraid His Highness would miss the Heavenly Lord's birthday feast\by staying too long in Qing Qiu. response:	Since His Highness will be returning, then I will not worry.
context: so His Highness has been keeping her company.\Sightseeing in the Mortal Realm realm?\Then won't His Highness miss the Heavenly Lord's birthday banquet?\Do not worry, Your Highness. My Lord said he will be attending the feast.\That's good.\I was afraid His Highness would miss the Heavenly Lord's birthday feast\by staying too long in Qing Qiu.\Since His Highness will be returning, then I will not worry. response:	Rest assured, Your Highness. My Lord will be at the Grand Hall in a short while.
context: Sightseeing in the Mortal Realm realm?\Then won't His Highness miss the Heavenly Lord's birthday banquet?\Do not worry, Your Highness. My Lord said he will be attending the feast.\That's good.\I was afraid His Highness would miss the Heavenly Lord's birthday feast\by staying too long in Qing Qiu.\Since His Highness will be returning, then I will not worry.\Rest assured, Your Highness. My Lord will be at the Grand Hall in a short while. response:	Very well. I understand.
context: Then won't His Highness miss the Heavenly Lord's birthday banquet?\Do not worry, Your Highness. My Lord said he will be attending the feast.\That's good.\I was afraid His Highness would miss the Heavenly Lord's birthday feast\by staying too long in Qing Qiu.\Since His Highness will be returning, then I will not worry.\Rest assured, Your Highness. My Lord will be at the Grand Hall in a short while.\Very well. I understand. response:	Mister, you are truly a fine-looking man. I very much admire you.
context: Do not worry, Your Highness. My Lord said he will be attending the feast.\That's good.\I was afraid His Highness would miss the Heavenly Lord's birthday feast\by staying too long in Qing Qiu.\Since His Highness will be returning, then I will not worry.\Rest assured, Your Highness. My Lord will be at the Grand Hall in a short while.\Very well. I understand.\Mister, you are truly a fine-looking man. I very much admire you. response:	You are too kind.
context: That's good.\I was afraid His Highness would miss the Heavenly Lord's birthday feast\by staying too long in Qing Qiu.\Since His Highness will be returning, then I will not worry.\Rest assured, Your Highness. My Lord will be at the Grand Hall in a short while.\Very well. I understand.\Mister, you are truly a fine-looking man. I very much admire you.\You are too kind. response:	Your hand is fair and delicate as well!
context: I was afraid His Highness would miss the Heavenly Lord's birthday feast\by staying too long in Qing Qiu.\Since His Highness will be returning, then I will not worry.\Rest assured, Your Highness. My Lord will be at the Grand Hall in a short while.\Very well. I understand.\Mister, you are truly a fine-looking man. I very much admire you.\You are too kind.\Your hand is fair and delicate as well! response:	I have fallen in love with you at first sight.
context: by staying too long in Qing Qiu.\Since His Highness will be returning, then I will not worry.\Rest assured, Your Highness. My Lord will be at the Grand Hall in a short while.\Very well. I understand.\Mister, you are truly a fine-looking man. I very much admire you.\You are too kind.\Your hand is fair and delicate as well!\I have fallen in love with you at first sight. response:	Would you-
context: Since His Highness will be returning, then I will not worry.\Rest assured, Your Highness. My Lord will be at the Grand Hall in a short while.\Very well. I understand.\Mister, you are truly a fine-looking man. I very much admire you.\You are too kind.\Your hand is fair and delicate as well!\I have fallen in love with you at first sight.\Would you- response:	That hurts!
context: Rest assured, Your Highness. My Lord will be at the Grand Hall in a short while.\Very well. I understand.\Mister, you are truly a fine-looking man. I very much admire you.\You are too kind.\Your hand is fair and delicate as well!\I have fallen in love with you at first sight.\Would you-\That hurts! response:	You seem be having a merry time taking liberties with my wife.
context: Very well. I understand.\Mister, you are truly a fine-looking man. I very much admire you.\You are too kind.\Your hand is fair and delicate as well!\I have fallen in love with you at first sight.\Would you-\That hurts!\You seem be having a merry time taking liberties with my wife. response:	You're back.
context: Mister, you are truly a fine-looking man. I very much admire you.\You are too kind.\Your hand is fair and delicate as well!\I have fallen in love with you at first sight.\Would you-\That hurts!\You seem be having a merry time taking liberties with my wife.\You're back. response:	You are a man of talent to have managed to annoy my father.
context: You are too kind.\Your hand is fair and delicate as well!\I have fallen in love with you at first sight.\Would you-\That hurts!\You seem be having a merry time taking liberties with my wife.\You're back.\You are a man of talent to have managed to annoy my father. response:	Goodbye now. Take care!
context: Your hand is fair and delicate as well!\I have fallen in love with you at first sight.\Would you-\That hurts!\You seem be having a merry time taking liberties with my wife.\You're back.\You are a man of talent to have managed to annoy my father.\Goodbye now. Take care! response:	How dare you? Do you know who I am?
context: I have fallen in love with you at first sight.\Would you-\That hurts!\You seem be having a merry time taking liberties with my wife.\You're back.\You are a man of talent to have managed to annoy my father.\Goodbye now. Take care!\How dare you? Do you know who I am? response:	- Where did you send him off to? - I don't know.
context: Would you-\That hurts!\You seem be having a merry time taking liberties with my wife.\You're back.\You are a man of talent to have managed to annoy my father.\Goodbye now. Take care!\How dare you? Do you know who I am?\- Where did you send him off to? - I don't know. response:	Even if you hadn't shown up, I was already thinking of doing that.
context: That hurts!\You seem be having a merry time taking liberties with my wife.\You're back.\You are a man of talent to have managed to annoy my father.\Goodbye now. Take care!\How dare you? Do you know who I am?\- Where did you send him off to? - I don't know.\Even if you hadn't shown up, I was already thinking of doing that. response:	Why didn't you try to avoid him when he was taking advantage of you?
context: You seem be having a merry time taking liberties with my wife.\You're back.\You are a man of talent to have managed to annoy my father.\Goodbye now. Take care!\How dare you? Do you know who I am?\- Where did you send him off to? - I don't know.\Even if you hadn't shown up, I was already thinking of doing that.\Why didn't you try to avoid him when he was taking advantage of you? response:	He merely touched me once or twice.
context: You're back.\You are a man of talent to have managed to annoy my father.\Goodbye now. Take care!\How dare you? Do you know who I am?\- Where did you send him off to? - I don't know.\Even if you hadn't shown up, I was already thinking of doing that.\Why didn't you try to avoid him when he was taking advantage of you?\He merely touched me once or twice. response:	You were merely kissed once or twice.
context: You are a man of talent to have managed to annoy my father.\Goodbye now. Take care!\How dare you? Do you know who I am?\- Where did you send him off to? - I don't know.\Even if you hadn't shown up, I was already thinking of doing that.\Why didn't you try to avoid him when he was taking advantage of you?\He merely touched me once or twice.\You were merely kissed once or twice. response:	Why not buy a lantern, Misters?
context: Goodbye now. Take care!\How dare you? Do you know who I am?\- Where did you send him off to? - I don't know.\Even if you hadn't shown up, I was already thinking of doing that.\Why didn't you try to avoid him when he was taking advantage of you?\He merely touched me once or twice.\You were merely kissed once or twice.\Why not buy a lantern, Misters? response:	Buy a lantern.
context: How dare you? Do you know who I am?\- Where did you send him off to? - I don't know.\Even if you hadn't shown up, I was already thinking of doing that.\Why didn't you try to avoid him when he was taking advantage of you?\He merely touched me once or twice.\You were merely kissed once or twice.\Why not buy a lantern, Misters?\Buy a lantern. response:	Misters, take a look.
context: - Where did you send him off to? - I don't know.\Even if you hadn't shown up, I was already thinking of doing that.\Why didn't you try to avoid him when he was taking advantage of you?\He merely touched me once or twice.\You were merely kissed once or twice.\Why not buy a lantern, Misters?\Buy a lantern.\Misters, take a look. response:	Mortals buy lanterns to pray to deities for blessings.
context: Even if you hadn't shown up, I was already thinking of doing that.\Why didn't you try to avoid him when he was taking advantage of you?\He merely touched me once or twice.\You were merely kissed once or twice.\Why not buy a lantern, Misters?\Buy a lantern.\Misters, take a look.\Mortals buy lanterns to pray to deities for blessings. response:	To whom are we going to pray?
context: Why didn't you try to avoid him when he was taking advantage of you?\He merely touched me once or twice.\You were merely kissed once or twice.\Why not buy a lantern, Misters?\Buy a lantern.\Misters, take a look.\Mortals buy lanterns to pray to deities for blessings.\To whom are we going to pray? response:	It's just about making a memory.
context: He merely touched me once or twice.\You were merely kissed once or twice.\Why not buy a lantern, Misters?\Buy a lantern.\Misters, take a look.\Mortals buy lanterns to pray to deities for blessings.\To whom are we going to pray?\It's just about making a memory. response:	Do you really believe releasing a lantern can make everything in life go well?
context: You were merely kissed once or twice.\Why not buy a lantern, Misters?\Buy a lantern.\Misters, take a look.\Mortals buy lanterns to pray to deities for blessings.\To whom are we going to pray?\It's just about making a memory.\Do you really believe releasing a lantern can make everything in life go well? response:	Come.
context: Why not buy a lantern, Misters?\Buy a lantern.\Misters, take a look.\Mortals buy lanterns to pray to deities for blessings.\To whom are we going to pray?\It's just about making a memory.\Do you really believe releasing a lantern can make everything in life go well?\Come. response:	Since you are men, it should be no issue for the two of you to share a room.
context: Buy a lantern.\Misters, take a look.\Mortals buy lanterns to pray to deities for blessings.\To whom are we going to pray?\It's just about making a memory.\Do you really believe releasing a lantern can make everything in life go well?\Come.\Since you are men, it should be no issue for the two of you to share a room. response:	There are only three inns in our small town.
context: Misters, take a look.\Mortals buy lanterns to pray to deities for blessings.\To whom are we going to pray?\It's just about making a memory.\Do you really believe releasing a lantern can make everything in life go well?\Come.\Since you are men, it should be no issue for the two of you to share a room.\There are only three inns in our small town. response:	The other two have been full since yesterday.
context: Mortals buy lanterns to pray to deities for blessings.\To whom are we going to pray?\It's just about making a memory.\Do you really believe releasing a lantern can make everything in life go well?\Come.\Since you are men, it should be no issue for the two of you to share a room.\There are only three inns in our small town.\The other two have been full since yesterday. response:	A guest just left and that's how this single vacancy came to be.
context: To whom are we going to pray?\It's just about making a memory.\Do you really believe releasing a lantern can make everything in life go well?\Come.\Since you are men, it should be no issue for the two of you to share a room.\There are only three inns in our small town.\The other two have been full since yesterday.\A guest just left and that's how this single vacancy came to be. response:	So... why don't you share the room for the night?
context: It's just about making a memory.\Do you really believe releasing a lantern can make everything in life go well?\Come.\Since you are men, it should be no issue for the two of you to share a room.\There are only three inns in our small town.\The other two have been full since yesterday.\A guest just left and that's how this single vacancy came to be.\So... why don't you share the room for the night? response:	Please bring up some hot water.
context: Do you really believe releasing a lantern can make everything in life go well?\Come.\Since you are men, it should be no issue for the two of you to share a room.\There are only three inns in our small town.\The other two have been full since yesterday.\A guest just left and that's how this single vacancy came to be.\So... why don't you share the room for the night?\Please bring up some hot water. response:	All right.
context: Come.\Since you are men, it should be no issue for the two of you to share a room.\There are only three inns in our small town.\The other two have been full since yesterday.\A guest just left and that's how this single vacancy came to be.\So... why don't you share the room for the night?\Please bring up some hot water.\All right. response:	- And cook a few dishes as well. - All right.
context: Since you are men, it should be no issue for the two of you to share a room.\There are only three inns in our small town.\The other two have been full since yesterday.\A guest just left and that's how this single vacancy came to be.\So... why don't you share the room for the night?\Please bring up some hot water.\All right.\- And cook a few dishes as well. - All right. response:	If you don't want to eat, why don't you wash up and go to bed?
context: There are only three inns in our small town.\The other two have been full since yesterday.\A guest just left and that's how this single vacancy came to be.\So... why don't you share the room for the night?\Please bring up some hot water.\All right.\- And cook a few dishes as well. - All right.\If you don't want to eat, why don't you wash up and go to bed? response:	I've always known about your temper
context: The other two have been full since yesterday.\A guest just left and that's how this single vacancy came to be.\So... why don't you share the room for the night?\Please bring up some hot water.\All right.\- And cook a few dishes as well. - All right.\If you don't want to eat, why don't you wash up and go to bed?\I've always known about your temper response:	yet I failed to anticipate that you would be so determined to sever all ties.
context: A guest just left and that's how this single vacancy came to be.\So... why don't you share the room for the night?\Please bring up some hot water.\All right.\- And cook a few dishes as well. - All right.\If you don't want to eat, why don't you wash up and go to bed?\I've always known about your temper\yet I failed to anticipate that you would be so determined to sever all ties. response:	You have forgotten all about the past.
context: So... why don't you share the room for the night?\Please bring up some hot water.\All right.\- And cook a few dishes as well. - All right.\If you don't want to eat, why don't you wash up and go to bed?\I've always known about your temper\yet I failed to anticipate that you would be so determined to sever all ties.\You have forgotten all about the past. response:	I hope that you will remember
context: Please bring up some hot water.\All right.\- And cook a few dishes as well. - All right.\If you don't want to eat, why don't you wash up and go to bed?\I've always known about your temper\yet I failed to anticipate that you would be so determined to sever all ties.\You have forgotten all about the past.\I hope that you will remember response:	and at the same time, I hope that you will never remember.
context: All right.\- And cook a few dishes as well. - All right.\If you don't want to eat, why don't you wash up and go to bed?\I've always known about your temper\yet I failed to anticipate that you would be so determined to sever all ties.\You have forgotten all about the past.\I hope that you will remember\and at the same time, I hope that you will never remember. response:	My Lord.
context: - And cook a few dishes as well. - All right.\If you don't want to eat, why don't you wash up and go to bed?\I've always known about your temper\yet I failed to anticipate that you would be so determined to sever all ties.\You have forgotten all about the past.\I hope that you will remember\and at the same time, I hope that you will never remember.\My Lord. response:	No need to give chase.
context: If you don't want to eat, why don't you wash up and go to bed?\I've always known about your temper\yet I failed to anticipate that you would be so determined to sever all ties.\You have forgotten all about the past.\I hope that you will remember\and at the same time, I hope that you will never remember.\My Lord.\No need to give chase. response:	I have failed in my duty. Please forgive me, My Lord.
context: I've always known about your temper\yet I failed to anticipate that you would be so determined to sever all ties.\You have forgotten all about the past.\I hope that you will remember\and at the same time, I hope that you will never remember.\My Lord.\No need to give chase.\I have failed in my duty. Please forgive me, My Lord. response:	It doesn't matter.
context: yet I failed to anticipate that you would be so determined to sever all ties.\You have forgotten all about the past.\I hope that you will remember\and at the same time, I hope that you will never remember.\My Lord.\No need to give chase.\I have failed in my duty. Please forgive me, My Lord.\It doesn't matter. response:	These people dared to ambush Celestials.
context: You have forgotten all about the past.\I hope that you will remember\and at the same time, I hope that you will never remember.\My Lord.\No need to give chase.\I have failed in my duty. Please forgive me, My Lord.\It doesn't matter.\These people dared to ambush Celestials. response:	Does Your Highness not intend to pursue this?
context: I hope that you will remember\and at the same time, I hope that you will never remember.\My Lord.\No need to give chase.\I have failed in my duty. Please forgive me, My Lord.\It doesn't matter.\These people dared to ambush Celestials.\Does Your Highness not intend to pursue this? response:	They are not real people.
context: and at the same time, I hope that you will never remember.\My Lord.\No need to give chase.\I have failed in my duty. Please forgive me, My Lord.\It doesn't matter.\These people dared to ambush Celestials.\Does Your Highness not intend to pursue this?\They are not real people. response:	They are puppets created by demonic magic.
context: My Lord.\No need to give chase.\I have failed in my duty. Please forgive me, My Lord.\It doesn't matter.\These people dared to ambush Celestials.\Does Your Highness not intend to pursue this?\They are not real people.\They are puppets created by demonic magic. response:	They were specially made for assassination.
context: No need to give chase.\I have failed in my duty. Please forgive me, My Lord.\It doesn't matter.\These people dared to ambush Celestials.\Does Your Highness not intend to pursue this?\They are not real people.\They are puppets created by demonic magic.\They were specially made for assassination. response:	Even if we caught up to them, they would merely turn to ash.
context: I have failed in my duty. Please forgive me, My Lord.\It doesn't matter.\These people dared to ambush Celestials.\Does Your Highness not intend to pursue this?\They are not real people.\They are puppets created by demonic magic.\They were specially made for assassination.\Even if we caught up to them, they would merely turn to ash. response:	We would gain no answers.
context: It doesn't matter.\These people dared to ambush Celestials.\Does Your Highness not intend to pursue this?\They are not real people.\They are puppets created by demonic magic.\They were specially made for assassination.\Even if we caught up to them, they would merely turn to ash.\We would gain no answers. response:	Demonic magic? Who wants to stand against the Celestial Tribe?
context: These people dared to ambush Celestials.\Does Your Highness not intend to pursue this?\They are not real people.\They are puppets created by demonic magic.\They were specially made for assassination.\Even if we caught up to them, they would merely turn to ash.\We would gain no answers.\Demonic magic? Who wants to stand against the Celestial Tribe? response:	High Immortal Die Feng mentioned it.
context: Does Your Highness not intend to pursue this?\They are not real people.\They are puppets created by demonic magic.\They were specially made for assassination.\Even if we caught up to them, they would merely turn to ash.\We would gain no answers.\Demonic magic? Who wants to stand against the Celestial Tribe?\High Immortal Die Feng mentioned it. response:	Deities departing the Eastern Sea were all attacked, one after another.
context: They are not real people.\They are puppets created by demonic magic.\They were specially made for assassination.\Even if we caught up to them, they would merely turn to ash.\We would gain no answers.\Demonic magic? Who wants to stand against the Celestial Tribe?\High Immortal Die Feng mentioned it.\Deities departing the Eastern Sea were all attacked, one after another. response:	I am about to investigate this matter.
context: They are puppets created by demonic magic.\They were specially made for assassination.\Even if we caught up to them, they would merely turn to ash.\We would gain no answers.\Demonic magic? Who wants to stand against the Celestial Tribe?\High Immortal Die Feng mentioned it.\Deities departing the Eastern Sea were all attacked, one after another.\I am about to investigate this matter. response:	Your Highness, the Heavenly Lord's birthday feast is about to start.
context: They were specially made for assassination.\Even if we caught up to them, they would merely turn to ash.\We would gain no answers.\Demonic magic? Who wants to stand against the Celestial Tribe?\High Immortal Die Feng mentioned it.\Deities departing the Eastern Sea were all attacked, one after another.\I am about to investigate this matter.\Your Highness, the Heavenly Lord's birthday feast is about to start. response:	I know. You can go back now.
context: Even if we caught up to them, they would merely turn to ash.\We would gain no answers.\Demonic magic? Who wants to stand against the Celestial Tribe?\High Immortal Die Feng mentioned it.\Deities departing the Eastern Sea were all attacked, one after another.\I am about to investigate this matter.\Your Highness, the Heavenly Lord's birthday feast is about to start.\I know. You can go back now. response:	Yes.
