context: Looks like Kakarrot has decided to lay low. response:	What a coward.
context: You fools!\I- impossible!\P- Piccolo- san!\Whoa, don't you die, now.\We still have to have you tell us about the Dragon Balls.\I- it can't be!\Hell of a miscalculation, huh?\Did you think we would leave our weak spot untrained forever? response:	That's too bad. The best that this planet had to offer,
context: I- impossible!\P- Piccolo- san!\Whoa, don't you die, now.\We still have to have you tell us about the Dragon Balls.\I- it can't be!\Hell of a miscalculation, huh?\Did you think we would leave our weak spot untrained forever?\That's too bad. The best that this planet had to offer, response:	and this is what happens to him after one blow.
context: P- Piccolo- san!\Whoa, don't you die, now.\We still have to have you tell us about the Dragon Balls.\I- it can't be!\Hell of a miscalculation, huh?\Did you think we would leave our weak spot untrained forever?\That's too bad. The best that this planet had to offer,\and this is what happens to him after one blow. response:	P- Piccolo- san!
context: Whoa, don't you die, now.\We still have to have you tell us about the Dragon Balls.\I- it can't be!\Hell of a miscalculation, huh?\Did you think we would leave our weak spot untrained forever?\That's too bad. The best that this planet had to offer,\and this is what happens to him after one blow.\P- Piccolo- san! response:	Shake it off! Piccolo- san!
context: We still have to have you tell us about the Dragon Balls.\I- it can't be!\Hell of a miscalculation, huh?\Did you think we would leave our weak spot untrained forever?\That's too bad. The best that this planet had to offer,\and this is what happens to him after one blow.\P- Piccolo- san!\Shake it off! Piccolo- san! response:	Piccolo- san! Piccolo- san!
context: I- it can't be!\Hell of a miscalculation, huh?\Did you think we would leave our weak spot untrained forever?\That's too bad. The best that this planet had to offer,\and this is what happens to him after one blow.\P- Piccolo- san!\Shake it off! Piccolo- san!\Piccolo- san! Piccolo- san! response:	I- it's hopeless now...
context: Hell of a miscalculation, huh?\Did you think we would leave our weak spot untrained forever?\That's too bad. The best that this planet had to offer,\and this is what happens to him after one blow.\P- Piccolo- san!\Shake it off! Piccolo- san!\Piccolo- san! Piccolo- san!\I- it's hopeless now... response:	Now then, while he has gone beddy-bye,
context: Did you think we would leave our weak spot untrained forever?\That's too bad. The best that this planet had to offer,\and this is what happens to him after one blow.\P- Piccolo- san!\Shake it off! Piccolo- san!\Piccolo- san! Piccolo- san!\I- it's hopeless now...\Now then, while he has gone beddy-bye, response:	I think I'll toy around with the little squirts.
context: That's too bad. The best that this planet had to offer,\and this is what happens to him after one blow.\P- Piccolo- san!\Shake it off! Piccolo- san!\Piccolo- san! Piccolo- san!\I- it's hopeless now...\Now then, while he has gone beddy-bye,\I think I'll toy around with the little squirts. response:	I'll start with Kakarrot's son.
context: and this is what happens to him after one blow.\P- Piccolo- san!\Shake it off! Piccolo- san!\Piccolo- san! Piccolo- san!\I- it's hopeless now...\Now then, while he has gone beddy-bye,\I think I'll toy around with the little squirts.\I'll start with Kakarrot's son. response:	Hey, you've inherited the blood of a true Saiyan.
context: P- Piccolo- san!\Shake it off! Piccolo- san!\Piccolo- san! Piccolo- san!\I- it's hopeless now...\Now then, while he has gone beddy-bye,\I think I'll toy around with the little squirts.\I'll start with Kakarrot's son.\Hey, you've inherited the blood of a true Saiyan. response:	You'll be able to amuse me for a little while, right?
context: Shake it off! Piccolo- san!\Piccolo- san! Piccolo- san!\I- it's hopeless now...\Now then, while he has gone beddy-bye,\I think I'll toy around with the little squirts.\I'll start with Kakarrot's son.\Hey, you've inherited the blood of a true Saiyan.\You'll be able to amuse me for a little while, right? response:	You know, your old man is pretty cold, huh?
context: Piccolo- san! Piccolo- san!\I- it's hopeless now...\Now then, while he has gone beddy-bye,\I think I'll toy around with the little squirts.\I'll start with Kakarrot's son.\Hey, you've inherited the blood of a true Saiyan.\You'll be able to amuse me for a little while, right?\You know, your old man is pretty cold, huh? response:	Letting his own son die like this...
context: I- it's hopeless now...\Now then, while he has gone beddy-bye,\I think I'll toy around with the little squirts.\I'll start with Kakarrot's son.\Hey, you've inherited the blood of a true Saiyan.\You'll be able to amuse me for a little while, right?\You know, your old man is pretty cold, huh?\Letting his own son die like this... response:	Dammit, what's going on here!? The TV isn't showing anything!
context: Now then, while he has gone beddy-bye,\I think I'll toy around with the little squirts.\I'll start with Kakarrot's son.\Hey, you've inherited the blood of a true Saiyan.\You'll be able to amuse me for a little while, right?\You know, your old man is pretty cold, huh?\Letting his own son die like this...\Dammit, what's going on here!? The TV isn't showing anything! response:	Come on, come on, come on!
context: I think I'll toy around with the little squirts.\I'll start with Kakarrot's son.\Hey, you've inherited the blood of a true Saiyan.\You'll be able to amuse me for a little while, right?\You know, your old man is pretty cold, huh?\Letting his own son die like this...\Dammit, what's going on here!? The TV isn't showing anything!\Come on, come on, come on! response:	It's no use.
context: I'll start with Kakarrot's son.\Hey, you've inherited the blood of a true Saiyan.\You'll be able to amuse me for a little while, right?\You know, your old man is pretty cold, huh?\Letting his own son die like this...\Dammit, what's going on here!? The TV isn't showing anything!\Come on, come on, come on!\It's no use. response:	I'm sure that things aren't going so smoothly
context: Hey, you've inherited the blood of a true Saiyan.\You'll be able to amuse me for a little while, right?\You know, your old man is pretty cold, huh?\Letting his own son die like this...\Dammit, what's going on here!? The TV isn't showing anything!\Come on, come on, come on!\It's no use.\I'm sure that things aren't going so smoothly response:	that they can provide us with a TV broadcast.
context: You'll be able to amuse me for a little while, right?\You know, your old man is pretty cold, huh?\Letting his own son die like this...\Dammit, what's going on here!? The TV isn't showing anything!\Come on, come on, come on!\It's no use.\I'm sure that things aren't going so smoothly\that they can provide us with a TV broadcast. response:	Y- you don't think that everyone has been killed already, do you?
context: You know, your old man is pretty cold, huh?\Letting his own son die like this...\Dammit, what's going on here!? The TV isn't showing anything!\Come on, come on, come on!\It's no use.\I'm sure that things aren't going so smoothly\that they can provide us with a TV broadcast.\Y- you don't think that everyone has been killed already, do you? response:	Don't you say anything dire like that again!
context: Letting his own son die like this...\Dammit, what's going on here!? The TV isn't showing anything!\Come on, come on, come on!\It's no use.\I'm sure that things aren't going so smoothly\that they can provide us with a TV broadcast.\Y- you don't think that everyone has been killed already, do you?\Don't you say anything dire like that again! response:	C- Chichi, what are you doin', gussied up like that?
context: Dammit, what's going on here!? The TV isn't showing anything!\Come on, come on, come on!\It's no use.\I'm sure that things aren't going so smoothly\that they can provide us with a TV broadcast.\Y- you don't think that everyone has been killed already, do you?\Don't you say anything dire like that again!\C- Chichi, what are you doin', gussied up like that? response:	T- those are Lunch- san's...
context: Come on, come on, come on!\It's no use.\I'm sure that things aren't going so smoothly\that they can provide us with a TV broadcast.\Y- you don't think that everyone has been killed already, do you?\Don't you say anything dire like that again!\C- Chichi, what are you doin', gussied up like that?\T- those are Lunch- san's... response:	I can't take it anymore! I'm goin' to rescue Gohan!
context: It's no use.\I'm sure that things aren't going so smoothly\that they can provide us with a TV broadcast.\Y- you don't think that everyone has been killed already, do you?\Don't you say anything dire like that again!\C- Chichi, what are you doin', gussied up like that?\T- those are Lunch- san's...\I can't take it anymore! I'm goin' to rescue Gohan! response:	D- don't be ridiculous! If you go now, you're goin' to be killed!
context: I'm sure that things aren't going so smoothly\that they can provide us with a TV broadcast.\Y- you don't think that everyone has been killed already, do you?\Don't you say anything dire like that again!\C- Chichi, what are you doin', gussied up like that?\T- those are Lunch- san's...\I can't take it anymore! I'm goin' to rescue Gohan!\D- don't be ridiculous! If you go now, you're goin' to be killed! response:	I don't care! I'm goin' to die together with Gohan!
context: that they can provide us with a TV broadcast.\Y- you don't think that everyone has been killed already, do you?\Don't you say anything dire like that again!\C- Chichi, what are you doin', gussied up like that?\T- those are Lunch- san's...\I can't take it anymore! I'm goin' to rescue Gohan!\D- don't be ridiculous! If you go now, you're goin' to be killed!\I don't care! I'm goin' to die together with Gohan! response:	H- hold on, now!
context: Y- you don't think that everyone has been killed already, do you?\Don't you say anything dire like that again!\C- Chichi, what are you doin', gussied up like that?\T- those are Lunch- san's...\I can't take it anymore! I'm goin' to rescue Gohan!\D- don't be ridiculous! If you go now, you're goin' to be killed!\I don't care! I'm goin' to die together with Gohan!\H- hold on, now! response:	Chichi! Calm down!
context: Don't you say anything dire like that again!\C- Chichi, what are you doin', gussied up like that?\T- those are Lunch- san's...\I can't take it anymore! I'm goin' to rescue Gohan!\D- don't be ridiculous! If you go now, you're goin' to be killed!\I don't care! I'm goin' to die together with Gohan!\H- hold on, now!\Chichi! Calm down! response:	Let me go, Pa! Let me go!
context: C- Chichi, what are you doin', gussied up like that?\T- those are Lunch- san's...\I can't take it anymore! I'm goin' to rescue Gohan!\D- don't be ridiculous! If you go now, you're goin' to be killed!\I don't care! I'm goin' to die together with Gohan!\H- hold on, now!\Chichi! Calm down!\Let me go, Pa! Let me go! response:	Let go of me! I- I'm goin'!
context: T- those are Lunch- san's...\I can't take it anymore! I'm goin' to rescue Gohan!\D- don't be ridiculous! If you go now, you're goin' to be killed!\I don't care! I'm goin' to die together with Gohan!\H- hold on, now!\Chichi! Calm down!\Let me go, Pa! Let me go!\Let go of me! I- I'm goin'! response:	Now see here, Chichi! You're goin' to get killed!
context: I can't take it anymore! I'm goin' to rescue Gohan!\D- don't be ridiculous! If you go now, you're goin' to be killed!\I don't care! I'm goin' to die together with Gohan!\H- hold on, now!\Chichi! Calm down!\Let me go, Pa! Let me go!\Let go of me! I- I'm goin'!\Now see here, Chichi! You're goin' to get killed! response:	-I'm tellin' you no! -I'm goin' to go rescue Gohan- chan!
context: D- don't be ridiculous! If you go now, you're goin' to be killed!\I don't care! I'm goin' to die together with Gohan!\H- hold on, now!\Chichi! Calm down!\Let me go, Pa! Let me go!\Let go of me! I- I'm goin'!\Now see here, Chichi! You're goin' to get killed!\-I'm tellin' you no! -I'm goin' to go rescue Gohan- chan! response:	-Come on, re-think this! -I'm goin' where Gohan is!
context: I don't care! I'm goin' to die together with Gohan!\H- hold on, now!\Chichi! Calm down!\Let me go, Pa! Let me go!\Let go of me! I- I'm goin'!\Now see here, Chichi! You're goin' to get killed!\-I'm tellin' you no! -I'm goin' to go rescue Gohan- chan!\-Come on, re-think this! -I'm goin' where Gohan is! response:	Chichi!
context: H- hold on, now!\Chichi! Calm down!\Let me go, Pa! Let me go!\Let go of me! I- I'm goin'!\Now see here, Chichi! You're goin' to get killed!\-I'm tellin' you no! -I'm goin' to go rescue Gohan- chan!\-Come on, re-think this! -I'm goin' where Gohan is!\Chichi! response:	Tenshinhan...
context: Chichi! Calm down!\Let me go, Pa! Let me go!\Let go of me! I- I'm goin'!\Now see here, Chichi! You're goin' to get killed!\-I'm tellin' you no! -I'm goin' to go rescue Gohan- chan!\-Come on, re-think this! -I'm goin' where Gohan is!\Chichi!\Tenshinhan... response:	Yamucha...
context: Let me go, Pa! Let me go!\Let go of me! I- I'm goin'!\Now see here, Chichi! You're goin' to get killed!\-I'm tellin' you no! -I'm goin' to go rescue Gohan- chan!\-Come on, re-think this! -I'm goin' where Gohan is!\Chichi!\Tenshinhan...\Yamucha... response:	Son-kun...
context: Let go of me! I- I'm goin'!\Now see here, Chichi! You're goin' to get killed!\-I'm tellin' you no! -I'm goin' to go rescue Gohan- chan!\-Come on, re-think this! -I'm goin' where Gohan is!\Chichi!\Tenshinhan...\Yamucha...\Son-kun... response:	l believe in you.
context: Now see here, Chichi! You're goin' to get killed!\-I'm tellin' you no! -I'm goin' to go rescue Gohan- chan!\-Come on, re-think this! -I'm goin' where Gohan is!\Chichi!\Tenshinhan...\Yamucha...\Son-kun...\l believe in you. response:	l'm sure... l'm sure you're going to save the earth.
context: -I'm tellin' you no! -I'm goin' to go rescue Gohan- chan!\-Come on, re-think this! -I'm goin' where Gohan is!\Chichi!\Tenshinhan...\Yamucha...\Son-kun...\l believe in you.\l'm sure... l'm sure you're going to save the earth. response:	Hey now, don't you snuff it just yet! Amuse me a little longer.
context: -Come on, re-think this! -I'm goin' where Gohan is!\Chichi!\Tenshinhan...\Yamucha...\Son-kun...\l believe in you.\l'm sure... l'm sure you're going to save the earth.\Hey now, don't you snuff it just yet! Amuse me a little longer. response:	That's more like it!
context: Chichi!\Tenshinhan...\Yamucha...\Son-kun...\l believe in you.\l'm sure... l'm sure you're going to save the earth.\Hey now, don't you snuff it just yet! Amuse me a little longer.\That's more like it! response:	Stop!
context: Tenshinhan...\Yamucha...\Son-kun...\l believe in you.\l'm sure... l'm sure you're going to save the earth.\Hey now, don't you snuff it just yet! Amuse me a little longer.\That's more like it!\Stop! response:	Ho, at least his moves are pretty good.
context: Yamucha...\Son-kun...\l believe in you.\l'm sure... l'm sure you're going to save the earth.\Hey now, don't you snuff it just yet! Amuse me a little longer.\That's more like it!\Stop!\Ho, at least his moves are pretty good. response:	You dirty brat! Bounce around, will you!?
context: Son-kun...\l believe in you.\l'm sure... l'm sure you're going to save the earth.\Hey now, don't you snuff it just yet! Amuse me a little longer.\That's more like it!\Stop!\Ho, at least his moves are pretty good.\You dirty brat! Bounce around, will you!? response:	Let me show you something I've been saving.
context: l believe in you.\l'm sure... l'm sure you're going to save the earth.\Hey now, don't you snuff it just yet! Amuse me a little longer.\That's more like it!\Stop!\Ho, at least his moves are pretty good.\You dirty brat! Bounce around, will you!?\Let me show you something I've been saving. response:	Kienzan!!
context: l'm sure... l'm sure you're going to save the earth.\Hey now, don't you snuff it just yet! Amuse me a little longer.\That's more like it!\Stop!\Ho, at least his moves are pretty good.\You dirty brat! Bounce around, will you!?\Let me show you something I've been saving.\Kienzan!! response:	What a worthless technique!
context: Hey now, don't you snuff it just yet! Amuse me a little longer.\That's more like it!\Stop!\Ho, at least his moves are pretty good.\You dirty brat! Bounce around, will you!?\Let me show you something I've been saving.\Kienzan!!\What a worthless technique! response:	Nappa! Get out of the way!
context: That's more like it!\Stop!\Ho, at least his moves are pretty good.\You dirty brat! Bounce around, will you!?\Let me show you something I've been saving.\Kienzan!!\What a worthless technique!\Nappa! Get out of the way! response:	That idiot! Can't he tell what kind of technique that is!?
context: Stop!\Ho, at least his moves are pretty good.\You dirty brat! Bounce around, will you!?\Let me show you something I've been saving.\Kienzan!!\What a worthless technique!\Nappa! Get out of the way!\That idiot! Can't he tell what kind of technique that is!? response:	D- damn!
context: Ho, at least his moves are pretty good.\You dirty brat! Bounce around, will you!?\Let me show you something I've been saving.\Kienzan!!\What a worthless technique!\Nappa! Get out of the way!\That idiot! Can't he tell what kind of technique that is!?\D- damn! response:	W- why, you-!
context: You dirty brat! Bounce around, will you!?\Let me show you something I've been saving.\Kienzan!!\What a worthless technique!\Nappa! Get out of the way!\That idiot! Can't he tell what kind of technique that is!?\D- damn!\W- why, you-! response:	How dare you wound my face!
context: Let me show you something I've been saving.\Kienzan!!\What a worthless technique!\Nappa! Get out of the way!\That idiot! Can't he tell what kind of technique that is!?\D- damn!\W- why, you-!\How dare you wound my face! response:	Away with you!
context: Kienzan!!\What a worthless technique!\Nappa! Get out of the way!\That idiot! Can't he tell what kind of technique that is!?\D- damn!\W- why, you-!\How dare you wound my face!\Away with you! response:	K- Kuririn- san!
context: What a worthless technique!\Nappa! Get out of the way!\That idiot! Can't he tell what kind of technique that is!?\D- damn!\W- why, you-!\How dare you wound my face!\Away with you!\K- Kuririn- san! response:	Now to finish you!
context: Nappa! Get out of the way!\That idiot! Can't he tell what kind of technique that is!?\D- damn!\W- why, you-!\How dare you wound my face!\Away with you!\K- Kuririn- san!\Now to finish you! response:	Y- you bastard!
context: That idiot! Can't he tell what kind of technique that is!?\D- damn!\W- why, you-!\How dare you wound my face!\Away with you!\K- Kuririn- san!\Now to finish you!\Y- you bastard! response:	A- are you awake already!?
context: D- damn!\W- why, you-!\How dare you wound my face!\Away with you!\K- Kuririn- san!\Now to finish you!\Y- you bastard!\A- are you awake already!? response:	Looks like you're having a hard time with them, Nappa!
context: W- why, you-!\How dare you wound my face!\Away with you!\K- Kuririn- san!\Now to finish you!\Y- you bastard!\A- are you awake already!?\Looks like you're having a hard time with them, Nappa! response:	Don't you... don't you look down on Earth, Saiyan!
context: How dare you wound my face!\Away with you!\K- Kuririn- san!\Now to finish you!\Y- you bastard!\A- are you awake already!?\Looks like you're having a hard time with them, Nappa!\Don't you... don't you look down on Earth, Saiyan! response:	W- w- why, you! Now I'm mad! I was holding back against you,
context: Away with you!\K- Kuririn- san!\Now to finish you!\Y- you bastard!\A- are you awake already!?\Looks like you're having a hard time with them, Nappa!\Don't you... don't you look down on Earth, Saiyan!\W- w- why, you! Now I'm mad! I was holding back against you, response:	since we can't kill you because of the Dragon Balls.
context: K- Kuririn- san!\Now to finish you!\Y- you bastard!\A- are you awake already!?\Looks like you're having a hard time with them, Nappa!\Don't you... don't you look down on Earth, Saiyan!\W- w- why, you! Now I'm mad! I was holding back against you,\since we can't kill you because of the Dragon Balls. response:	But don't get too full of yourself!
context: Now to finish you!\Y- you bastard!\A- are you awake already!?\Looks like you're having a hard time with them, Nappa!\Don't you... don't you look down on Earth, Saiyan!\W- w- why, you! Now I'm mad! I was holding back against you,\since we can't kill you because of the Dragon Balls.\But don't get too full of yourself! response:	You're the one who's too full of himself!
context: Y- you bastard!\A- are you awake already!?\Looks like you're having a hard time with them, Nappa!\Don't you... don't you look down on Earth, Saiyan!\W- w- why, you! Now I'm mad! I was holding back against you,\since we can't kill you because of the Dragon Balls.\But don't get too full of yourself!\You're the one who's too full of himself! response:	W- what Ki is this!?
context: A- are you awake already!?\Looks like you're having a hard time with them, Nappa!\Don't you... don't you look down on Earth, Saiyan!\W- w- why, you! Now I'm mad! I was holding back against you,\since we can't kill you because of the Dragon Balls.\But don't get too full of yourself!\You're the one who's too full of himself!\W- what Ki is this!? response:	T- there's an incredible Ki coming this way from far off!
context: Looks like you're having a hard time with them, Nappa!\Don't you... don't you look down on Earth, Saiyan!\W- w- why, you! Now I'm mad! I was holding back against you,\since we can't kill you because of the Dragon Balls.\But don't get too full of yourself!\You're the one who's too full of himself!\W- what Ki is this!?\T- there's an incredible Ki coming this way from far off! response:	I- it's true! A- an amazing, yet familiar Ki!
context: Don't you... don't you look down on Earth, Saiyan!\W- w- why, you! Now I'm mad! I was holding back against you,\since we can't kill you because of the Dragon Balls.\But don't get too full of yourself!\You're the one who's too full of himself!\W- what Ki is this!?\T- there's an incredible Ki coming this way from far off!\I- it's true! A- an amazing, yet familiar Ki! response:	N- no doubt about it. I can feel it.
context: W- w- why, you! Now I'm mad! I was holding back against you,\since we can't kill you because of the Dragon Balls.\But don't get too full of yourself!\You're the one who's too full of himself!\W- what Ki is this!?\T- there's an incredible Ki coming this way from far off!\I- it's true! A- an amazing, yet familiar Ki!\N- no doubt about it. I can feel it. response:	You guys are all just spouting nonsense! What is this!?
context: since we can't kill you because of the Dragon Balls.\But don't get too full of yourself!\You're the one who's too full of himself!\W- what Ki is this!?\T- there's an incredible Ki coming this way from far off!\I- it's true! A- an amazing, yet familiar Ki!\N- no doubt about it. I can feel it.\You guys are all just spouting nonsense! What is this!? response:	It could only be him. It's Son Goku!
context: But don't get too full of yourself!\You're the one who's too full of himself!\W- what Ki is this!?\T- there's an incredible Ki coming this way from far off!\I- it's true! A- an amazing, yet familiar Ki!\N- no doubt about it. I can feel it.\You guys are all just spouting nonsense! What is this!?\It could only be him. It's Son Goku! response:	Just a little farther, Goku. Hurry! Make haste!
context: You're the one who's too full of himself!\W- what Ki is this!?\T- there's an incredible Ki coming this way from far off!\I- it's true! A- an amazing, yet familiar Ki!\N- no doubt about it. I can feel it.\You guys are all just spouting nonsense! What is this!?\It could only be him. It's Son Goku!\Just a little farther, Goku. Hurry! Make haste! response:	It's Son Goku! Son Goku is coming! I knew he was sure to come!
context: W- what Ki is this!?\T- there's an incredible Ki coming this way from far off!\I- it's true! A- an amazing, yet familiar Ki!\N- no doubt about it. I can feel it.\You guys are all just spouting nonsense! What is this!?\It could only be him. It's Son Goku!\Just a little farther, Goku. Hurry! Make haste!\It's Son Goku! Son Goku is coming! I knew he was sure to come! response:	Damn that bastard, making us wait for him!
context: T- there's an incredible Ki coming this way from far off!\I- it's true! A- an amazing, yet familiar Ki!\N- no doubt about it. I can feel it.\You guys are all just spouting nonsense! What is this!?\It could only be him. It's Son Goku!\Just a little farther, Goku. Hurry! Make haste!\It's Son Goku! Son Goku is coming! I knew he was sure to come!\Damn that bastard, making us wait for him! response:	F- Father! Father really is coming! Hurry!
context: I- it's true! A- an amazing, yet familiar Ki!\N- no doubt about it. I can feel it.\You guys are all just spouting nonsense! What is this!?\It could only be him. It's Son Goku!\Just a little farther, Goku. Hurry! Make haste!\It's Son Goku! Son Goku is coming! I knew he was sure to come!\Damn that bastard, making us wait for him!\F- Father! Father really is coming! Hurry! response:	G- Goku...
context: N- no doubt about it. I can feel it.\You guys are all just spouting nonsense! What is this!?\It could only be him. It's Son Goku!\Just a little farther, Goku. Hurry! Make haste!\It's Son Goku! Son Goku is coming! I knew he was sure to come!\Damn that bastard, making us wait for him!\F- Father! Father really is coming! Hurry!\G- Goku... response:	Kakarrot?
context: You guys are all just spouting nonsense! What is this!?\It could only be him. It's Son Goku!\Just a little farther, Goku. Hurry! Make haste!\It's Son Goku! Son Goku is coming! I knew he was sure to come!\Damn that bastard, making us wait for him!\F- Father! Father really is coming! Hurry!\G- Goku...\Kakarrot? response:	Where is he?
context: It could only be him. It's Son Goku!\Just a little farther, Goku. Hurry! Make haste!\It's Son Goku! Son Goku is coming! I knew he was sure to come!\Damn that bastard, making us wait for him!\F- Father! Father really is coming! Hurry!\G- Goku...\Kakarrot?\Where is he? response:	These guys have the unusual ability to sense someone's presence.
context: Just a little farther, Goku. Hurry! Make haste!\It's Son Goku! Son Goku is coming! I knew he was sure to come!\Damn that bastard, making us wait for him!\F- Father! Father really is coming! Hurry!\G- Goku...\Kakarrot?\Where is he?\These guys have the unusual ability to sense someone's presence. response:	Is it Kakarrot? Let's see...
