context: August response:	September
context: It's Naru's birthday?\Shh!\If Naru hears, it won't be a surprise!\We thought we'd all throw a party for her.\You're an adult, so contribute a thousand yen.\Happy Birthday\Party fees for a kid's birthday party?!\Not party fees. It's the cake fee. response:	We can't buy a whole one with our pocket change.
context: Shh!\If Naru hears, it won't be a surprise!\We thought we'd all throw a party for her.\You're an adult, so contribute a thousand yen.\Happy Birthday\Party fees for a kid's birthday party?!\Not party fees. It's the cake fee.\We can't buy a whole one with our pocket change. response:	Hiro-nii will bring the food this evening.
context: If Naru hears, it won't be a surprise!\We thought we'd all throw a party for her.\You're an adult, so contribute a thousand yen.\Happy Birthday\Party fees for a kid's birthday party?!\Not party fees. It's the cake fee.\We can't buy a whole one with our pocket change.\Hiro-nii will bring the food this evening. response:	Sensei, you get a present for her, too.
context: We thought we'd all throw a party for her.\You're an adult, so contribute a thousand yen.\Happy Birthday\Party fees for a kid's birthday party?!\Not party fees. It's the cake fee.\We can't buy a whole one with our pocket change.\Hiro-nii will bring the food this evening.\Sensei, you get a present for her, too. response:	A present?!
context: You're an adult, so contribute a thousand yen.\Happy Birthday\Party fees for a kid's birthday party?!\Not party fees. It's the cake fee.\We can't buy a whole one with our pocket change.\Hiro-nii will bring the food this evening.\Sensei, you get a present for her, too.\A present?! response:	Cake! Cake!
context: Happy Birthday\Party fees for a kid's birthday party?!\Not party fees. It's the cake fee.\We can't buy a whole one with our pocket change.\Hiro-nii will bring the food this evening.\Sensei, you get a present for her, too.\A present?!\Cake! Cake! response:	Wait, I have to write today...
context: Party fees for a kid's birthday party?!\Not party fees. It's the cake fee.\We can't buy a whole one with our pocket change.\Hiro-nii will bring the food this evening.\Sensei, you get a present for her, too.\A present?!\Cake! Cake!\Wait, I have to write today... response:	Feather
context: Not party fees. It's the cake fee.\We can't buy a whole one with our pocket change.\Hiro-nii will bring the food this evening.\Sensei, you get a present for her, too.\A present?!\Cake! Cake!\Wait, I have to write today...\Feather response:	Rice Bowl
context: We can't buy a whole one with our pocket change.\Hiro-nii will bring the food this evening.\Sensei, you get a present for her, too.\A present?!\Cake! Cake!\Wait, I have to write today...\Feather\Rice Bowl response:	Porcelain Spoon
context: Hiro-nii will bring the food this evening.\Sensei, you get a present for her, too.\A present?!\Cake! Cake!\Wait, I have to write today...\Feather\Rice Bowl\Porcelain Spoon response:	Well...
context: Sensei, you get a present for her, too.\A present?!\Cake! Cake!\Wait, I have to write today...\Feather\Rice Bowl\Porcelain Spoon\Well... response:	I guess that's enough for today.
context: A present?!\Cake! Cake!\Wait, I have to write today...\Feather\Rice Bowl\Porcelain Spoon\Well...\I guess that's enough for today. response:	Barakamon
context: Cake! Cake!\Wait, I have to write today...\Feather\Rice Bowl\Porcelain Spoon\Well...\I guess that's enough for today.\Barakamon response:	Onde
context: Wait, I have to write today...\Feather\Rice Bowl\Porcelain Spoon\Well...\I guess that's enough for today.\Barakamon\Onde response:	Translation: Buddhist Prayer Dance
context: Feather\Rice Bowl\Porcelain Spoon\Well...\I guess that's enough for today.\Barakamon\Onde\Translation: Buddhist Prayer Dance response:	Your present is...
context: Rice Bowl\Porcelain Spoon\Well...\I guess that's enough for today.\Barakamon\Onde\Translation: Buddhist Prayer Dance\Your present is... response:	a teddy bear!
context: Porcelain Spoon\Well...\I guess that's enough for today.\Barakamon\Onde\Translation: Buddhist Prayer Dance\Your present is...\a teddy bear! response:	It's a punching bag!
context: Well...\I guess that's enough for today.\Barakamon\Onde\Translation: Buddhist Prayer Dance\Your present is...\a teddy bear!\It's a punching bag! response:	A ribbon!
context: I guess that's enough for today.\Barakamon\Onde\Translation: Buddhist Prayer Dance\Your present is...\a teddy bear!\It's a punching bag!\A ribbon! response:	Yahoo! It's perfect for wrapping around my waist!
context: Barakamon\Onde\Translation: Buddhist Prayer Dance\Your present is...\a teddy bear!\It's a punching bag!\A ribbon!\Yahoo! It's perfect for wrapping around my waist! response:	Look, a hand mirror!
context: Onde\Translation: Buddhist Prayer Dance\Your present is...\a teddy bear!\It's a punching bag!\A ribbon!\Yahoo! It's perfect for wrapping around my waist!\Look, a hand mirror! response:	Yay! Laser Beam!
context: Translation: Buddhist Prayer Dance\Your present is...\a teddy bear!\It's a punching bag!\A ribbon!\Yahoo! It's perfect for wrapping around my waist!\Look, a hand mirror!\Yay! Laser Beam! response:	Too bright!
context: Your present is...\a teddy bear!\It's a punching bag!\A ribbon!\Yahoo! It's perfect for wrapping around my waist!\Look, a hand mirror!\Yay! Laser Beam!\Too bright! response:	None of those suit her.
context: a teddy bear!\It's a punching bag!\A ribbon!\Yahoo! It's perfect for wrapping around my waist!\Look, a hand mirror!\Yay! Laser Beam!\Too bright!\None of those suit her. response:	What would she like?
context: It's a punching bag!\A ribbon!\Yahoo! It's perfect for wrapping around my waist!\Look, a hand mirror!\Yay! Laser Beam!\Too bright!\None of those suit her.\What would she like? response:	Shut up, cicada!
context: A ribbon!\Yahoo! It's perfect for wrapping around my waist!\Look, a hand mirror!\Yay! Laser Beam!\Too bright!\None of those suit her.\What would she like?\Shut up, cicada! response:	All right, I got it!
context: Yahoo! It's perfect for wrapping around my waist!\Look, a hand mirror!\Yay! Laser Beam!\Too bright!\None of those suit her.\What would she like?\Shut up, cicada!\All right, I got it! response:	I caught a cicada!
context: Look, a hand mirror!\Yay! Laser Beam!\Too bright!\None of those suit her.\What would she like?\Shut up, cicada!\All right, I got it!\I caught a cicada! response:	Kenta, got a moment?
context: Yay! Laser Beam!\Too bright!\None of those suit her.\What would she like?\Shut up, cicada!\All right, I got it!\I caught a cicada!\Kenta, got a moment? response:	Sensei?
context: Too bright!\None of those suit her.\What would she like?\Shut up, cicada!\All right, I got it!\I caught a cicada!\Kenta, got a moment?\Sensei? response:	Need somethin'?
context: None of those suit her.\What would she like?\Shut up, cicada!\All right, I got it!\I caught a cicada!\Kenta, got a moment?\Sensei?\Need somethin'? response:	Well...
context: What would she like?\Shut up, cicada!\All right, I got it!\I caught a cicada!\Kenta, got a moment?\Sensei?\Need somethin'?\Well... response:	I kind of need a favor...
context: Shut up, cicada!\All right, I got it!\I caught a cicada!\Kenta, got a moment?\Sensei?\Need somethin'?\Well...\I kind of need a favor... response:	This is the only present I can think of.
context: All right, I got it!\I caught a cicada!\Kenta, got a moment?\Sensei?\Need somethin'?\Well...\I kind of need a favor...\This is the only present I can think of. response:	Could I have a rhinoceros beetle?
context: I caught a cicada!\Kenta, got a moment?\Sensei?\Need somethin'?\Well...\I kind of need a favor...\This is the only present I can think of.\Could I have a rhinoceros beetle? response:	No way!
context: Kenta, got a moment?\Sensei?\Need somethin'?\Well...\I kind of need a favor...\This is the only present I can think of.\Could I have a rhinoceros beetle?\No way! response:	One! Just one!
context: Sensei?\Need somethin'?\Well...\I kind of need a favor...\This is the only present I can think of.\Could I have a rhinoceros beetle?\No way!\One! Just one! response:	I'll pay you ten yen! That's a lot for a kid, right?!
context: Need somethin'?\Well...\I kind of need a favor...\This is the only present I can think of.\Could I have a rhinoceros beetle?\No way!\One! Just one!\I'll pay you ten yen! That's a lot for a kid, right?! response:	Yer bein' a pest, Sensei!
context: Well...\I kind of need a favor...\This is the only present I can think of.\Could I have a rhinoceros beetle?\No way!\One! Just one!\I'll pay you ten yen! That's a lot for a kid, right?!\Yer bein' a pest, Sensei! response:	This present's for Naru, right?
context: I kind of need a favor...\This is the only present I can think of.\Could I have a rhinoceros beetle?\No way!\One! Just one!\I'll pay you ten yen! That's a lot for a kid, right?!\Yer bein' a pest, Sensei!\This present's for Naru, right? response:	I'm givin' her rhinoceros beetles!
context: This is the only present I can think of.\Could I have a rhinoceros beetle?\No way!\One! Just one!\I'll pay you ten yen! That's a lot for a kid, right?!\Yer bein' a pest, Sensei!\This present's for Naru, right?\I'm givin' her rhinoceros beetles! response:	Just one won't hurt, right?
context: Could I have a rhinoceros beetle?\No way!\One! Just one!\I'll pay you ten yen! That's a lot for a kid, right?!\Yer bein' a pest, Sensei!\This present's for Naru, right?\I'm givin' her rhinoceros beetles!\Just one won't hurt, right? response:	No!
context: No way!\One! Just one!\I'll pay you ten yen! That's a lot for a kid, right?!\Yer bein' a pest, Sensei!\This present's for Naru, right?\I'm givin' her rhinoceros beetles!\Just one won't hurt, right?\No! response:	Rustle...
context: One! Just one!\I'll pay you ten yen! That's a lot for a kid, right?!\Yer bein' a pest, Sensei!\This present's for Naru, right?\I'm givin' her rhinoceros beetles!\Just one won't hurt, right?\No!\Rustle... response:	I'm gonna give her a hundred of'em to make an insect bed!
context: I'll pay you ten yen! That's a lot for a kid, right?!\Yer bein' a pest, Sensei!\This present's for Naru, right?\I'm givin' her rhinoceros beetles!\Just one won't hurt, right?\No!\Rustle...\I'm gonna give her a hundred of'em to make an insect bed! response:	That's more like a punishment.
context: Yer bein' a pest, Sensei!\This present's for Naru, right?\I'm givin' her rhinoceros beetles!\Just one won't hurt, right?\No!\Rustle...\I'm gonna give her a hundred of'em to make an insect bed!\That's more like a punishment. response:	Besides, I don't wanna give the same present as someone else!
context: This present's for Naru, right?\I'm givin' her rhinoceros beetles!\Just one won't hurt, right?\No!\Rustle...\I'm gonna give her a hundred of'em to make an insect bed!\That's more like a punishment.\Besides, I don't wanna give the same present as someone else! response:	Well, that's true...
context: I'm givin' her rhinoceros beetles!\Just one won't hurt, right?\No!\Rustle...\I'm gonna give her a hundred of'em to make an insect bed!\That's more like a punishment.\Besides, I don't wanna give the same present as someone else!\Well, that's true... response:	What are you giving her, Ichiro and Jiro?
context: Just one won't hurt, right?\No!\Rustle...\I'm gonna give her a hundred of'em to make an insect bed!\That's more like a punishment.\Besides, I don't wanna give the same present as someone else!\Well, that's true...\What are you giving her, Ichiro and Jiro? response:	Don't make up names for us!
context: No!\Rustle...\I'm gonna give her a hundred of'em to make an insect bed!\That's more like a punishment.\Besides, I don't wanna give the same present as someone else!\Well, that's true...\What are you giving her, Ichiro and Jiro?\Don't make up names for us! response:	We're givin' her sweets!
context: Rustle...\I'm gonna give her a hundred of'em to make an insect bed!\That's more like a punishment.\Besides, I don't wanna give the same present as someone else!\Well, that's true...\What are you giving her, Ichiro and Jiro?\Don't make up names for us!\We're givin' her sweets! response:	You've all thought on it.
context: I'm gonna give her a hundred of'em to make an insect bed!\That's more like a punishment.\Besides, I don't wanna give the same present as someone else!\Well, that's true...\What are you giving her, Ichiro and Jiro?\Don't make up names for us!\We're givin' her sweets!\You've all thought on it. response:	You oughta think hard on it, too, Sensei!
context: That's more like a punishment.\Besides, I don't wanna give the same present as someone else!\Well, that's true...\What are you giving her, Ichiro and Jiro?\Don't make up names for us!\We're givin' her sweets!\You've all thought on it.\You oughta think hard on it, too, Sensei! response:	I'll give her a stag beetle!
context: Besides, I don't wanna give the same present as someone else!\Well, that's true...\What are you giving her, Ichiro and Jiro?\Don't make up names for us!\We're givin' her sweets!\You've all thought on it.\You oughta think hard on it, too, Sensei!\I'll give her a stag beetle! response:	If you can catch that many rhinoceros beetles,
context: Well, that's true...\What are you giving her, Ichiro and Jiro?\Don't make up names for us!\We're givin' her sweets!\You've all thought on it.\You oughta think hard on it, too, Sensei!\I'll give her a stag beetle!\If you can catch that many rhinoceros beetles, response:	then a stag beetle should be even easier, right?
context: What are you giving her, Ichiro and Jiro?\Don't make up names for us!\We're givin' her sweets!\You've all thought on it.\You oughta think hard on it, too, Sensei!\I'll give her a stag beetle!\If you can catch that many rhinoceros beetles,\then a stag beetle should be even easier, right? response:	Lend me the net.
context: Don't make up names for us!\We're givin' her sweets!\You've all thought on it.\You oughta think hard on it, too, Sensei!\I'll give her a stag beetle!\If you can catch that many rhinoceros beetles,\then a stag beetle should be even easier, right?\Lend me the net. response:	Bug catchin' ain't as easy as ya think, Sensei.
context: We're givin' her sweets!\You've all thought on it.\You oughta think hard on it, too, Sensei!\I'll give her a stag beetle!\If you can catch that many rhinoceros beetles,\then a stag beetle should be even easier, right?\Lend me the net.\Bug catchin' ain't as easy as ya think, Sensei. response:	Heck, life ain't that easy.
context: You've all thought on it.\You oughta think hard on it, too, Sensei!\I'll give her a stag beetle!\If you can catch that many rhinoceros beetles,\then a stag beetle should be even easier, right?\Lend me the net.\Bug catchin' ain't as easy as ya think, Sensei.\Heck, life ain't that easy. response:	You call it easy,
context: You oughta think hard on it, too, Sensei!\I'll give her a stag beetle!\If you can catch that many rhinoceros beetles,\then a stag beetle should be even easier, right?\Lend me the net.\Bug catchin' ain't as easy as ya think, Sensei.\Heck, life ain't that easy.\You call it easy, response:	but they're tough to find.
context: I'll give her a stag beetle!\If you can catch that many rhinoceros beetles,\then a stag beetle should be even easier, right?\Lend me the net.\Bug catchin' ain't as easy as ya think, Sensei.\Heck, life ain't that easy.\You call it easy,\but they're tough to find. response:	That's because you're children, isn't it?
context: If you can catch that many rhinoceros beetles,\then a stag beetle should be even easier, right?\Lend me the net.\Bug catchin' ain't as easy as ya think, Sensei.\Heck, life ain't that easy.\You call it easy,\but they're tough to find.\That's because you're children, isn't it? response:	With my adult's height,
context: then a stag beetle should be even easier, right?\Lend me the net.\Bug catchin' ain't as easy as ya think, Sensei.\Heck, life ain't that easy.\You call it easy,\but they're tough to find.\That's because you're children, isn't it?\With my adult's height, response:	I can see higher up, so it'll be easy!
context: Lend me the net.\Bug catchin' ain't as easy as ya think, Sensei.\Heck, life ain't that easy.\You call it easy,\but they're tough to find.\That's because you're children, isn't it?\With my adult's height,\I can see higher up, so it'll be easy! response:	Sensei, yer gettin' real irritatin'.
context: Bug catchin' ain't as easy as ya think, Sensei.\Heck, life ain't that easy.\You call it easy,\but they're tough to find.\That's because you're children, isn't it?\With my adult's height,\I can see higher up, so it'll be easy!\Sensei, yer gettin' real irritatin'. response:	Found one right away!
context: Heck, life ain't that easy.\You call it easy,\but they're tough to find.\That's because you're children, isn't it?\With my adult's height,\I can see higher up, so it'll be easy!\Sensei, yer gettin' real irritatin'.\Found one right away! response:	Aww, it's a female.
context: You call it easy,\but they're tough to find.\That's because you're children, isn't it?\With my adult's height,\I can see higher up, so it'll be easy!\Sensei, yer gettin' real irritatin'.\Found one right away!\Aww, it's a female. response:	Hey!
context: but they're tough to find.\That's because you're children, isn't it?\With my adult's height,\I can see higher up, so it'll be easy!\Sensei, yer gettin' real irritatin'.\Found one right away!\Aww, it's a female.\Hey! response:	I spotted it!
context: That's because you're children, isn't it?\With my adult's height,\I can see higher up, so it'll be easy!\Sensei, yer gettin' real irritatin'.\Found one right away!\Aww, it's a female.\Hey!\I spotted it! response:	Yer too slow!
context: With my adult's height,\I can see higher up, so it'll be easy!\Sensei, yer gettin' real irritatin'.\Found one right away!\Aww, it's a female.\Hey!\I spotted it!\Yer too slow! response:	The battle ain't over'til the beetle's caught!
context: I can see higher up, so it'll be easy!\Sensei, yer gettin' real irritatin'.\Found one right away!\Aww, it's a female.\Hey!\I spotted it!\Yer too slow!\The battle ain't over'til the beetle's caught! response:	What?!
context: Sensei, yer gettin' real irritatin'.\Found one right away!\Aww, it's a female.\Hey!\I spotted it!\Yer too slow!\The battle ain't over'til the beetle's caught!\What?! response:	If ya can't catch even one rhinoceros beetle,
context: Found one right away!\Aww, it's a female.\Hey!\I spotted it!\Yer too slow!\The battle ain't over'til the beetle's caught!\What?!\If ya can't catch even one rhinoceros beetle, response:	Naru's gonna be fed up with ya!
context: Aww, it's a female.\Hey!\I spotted it!\Yer too slow!\The battle ain't over'til the beetle's caught!\What?!\If ya can't catch even one rhinoceros beetle,\Naru's gonna be fed up with ya! response:	So disappointed...
context: Hey!\I spotted it!\Yer too slow!\The battle ain't over'til the beetle's caught!\What?!\If ya can't catch even one rhinoceros beetle,\Naru's gonna be fed up with ya!\So disappointed... response:	I don't exactly care, but I'm still irritated.
context: I spotted it!\Yer too slow!\The battle ain't over'til the beetle's caught!\What?!\If ya can't catch even one rhinoceros beetle,\Naru's gonna be fed up with ya!\So disappointed...\I don't exactly care, but I'm still irritated. response:	Kenta, there's one over here!
context: Yer too slow!\The battle ain't over'til the beetle's caught!\What?!\If ya can't catch even one rhinoceros beetle,\Naru's gonna be fed up with ya!\So disappointed...\I don't exactly care, but I'm still irritated.\Kenta, there's one over here! response:	I got it!
context: The battle ain't over'til the beetle's caught!\What?!\If ya can't catch even one rhinoceros beetle,\Naru's gonna be fed up with ya!\So disappointed...\I don't exactly care, but I'm still irritated.\Kenta, there's one over here!\I got it! response:	I ain't gonna lose!
context: What?!\If ya can't catch even one rhinoceros beetle,\Naru's gonna be fed up with ya!\So disappointed...\I don't exactly care, but I'm still irritated.\Kenta, there's one over here!\I got it!\I ain't gonna lose! response:	Yes!
context: If ya can't catch even one rhinoceros beetle,\Naru's gonna be fed up with ya!\So disappointed...\I don't exactly care, but I'm still irritated.\Kenta, there's one over here!\I got it!\I ain't gonna lose!\Yes! response:	I did it! I caught a rhinoceros beetle
context: Naru's gonna be fed up with ya!\So disappointed...\I don't exactly care, but I'm still irritated.\Kenta, there's one over here!\I got it!\I ain't gonna lose!\Yes!\I did it! I caught a rhinoceros beetle response:	Wait, no I didn't! What is this?!
context: So disappointed...\I don't exactly care, but I'm still irritated.\Kenta, there's one over here!\I got it!\I ain't gonna lose!\Yes!\I did it! I caught a rhinoceros beetle\Wait, no I didn't! What is this?! response:	That's a drone beetle, doofus!
context: I don't exactly care, but I'm still irritated.\Kenta, there's one over here!\I got it!\I ain't gonna lose!\Yes!\I did it! I caught a rhinoceros beetle\Wait, no I didn't! What is this?!\That's a drone beetle, doofus! response:	Sensei can't catch nothin'!
context: Kenta, there's one over here!\I got it!\I ain't gonna lose!\Yes!\I did it! I caught a rhinoceros beetle\Wait, no I didn't! What is this?!\That's a drone beetle, doofus!\Sensei can't catch nothin'! response:	Let's go that way!
context: I got it!\I ain't gonna lose!\Yes!\I did it! I caught a rhinoceros beetle\Wait, no I didn't! What is this?!\That's a drone beetle, doofus!\Sensei can't catch nothin'!\Let's go that way! response:	Yay!
context: I ain't gonna lose!\Yes!\I did it! I caught a rhinoceros beetle\Wait, no I didn't! What is this?!\That's a drone beetle, doofus!\Sensei can't catch nothin'!\Let's go that way!\Yay! response:	You damn kids!
context: Yes!\I did it! I caught a rhinoceros beetle\Wait, no I didn't! What is this?!\That's a drone beetle, doofus!\Sensei can't catch nothin'!\Let's go that way!\Yay!\You damn kids! response:	I won't lose to you!
context: I did it! I caught a rhinoceros beetle\Wait, no I didn't! What is this?!\That's a drone beetle, doofus!\Sensei can't catch nothin'!\Let's go that way!\Yay!\You damn kids!\I won't lose to you! response:	A greater stag beetle!
context: Wait, no I didn't! What is this?!\That's a drone beetle, doofus!\Sensei can't catch nothin'!\Let's go that way!\Yay!\You damn kids!\I won't lose to you!\A greater stag beetle! response:	It's a bit high up.
context: That's a drone beetle, doofus!\Sensei can't catch nothin'!\Let's go that way!\Yay!\You damn kids!\I won't lose to you!\A greater stag beetle!\It's a bit high up. response:	All right!
context: Sensei can't catch nothin'!\Let's go that way!\Yay!\You damn kids!\I won't lose to you!\A greater stag beetle!\It's a bit high up.\All right! response:	Formation Beta!
context: Let's go that way!\Yay!\You damn kids!\I won't lose to you!\A greater stag beetle!\It's a bit high up.\All right!\Formation Beta! response:	Almost there...
context: Yay!\You damn kids!\I won't lose to you!\A greater stag beetle!\It's a bit high up.\All right!\Formation Beta!\Almost there... response:	Y-You're heavy...
context: You damn kids!\I won't lose to you!\A greater stag beetle!\It's a bit high up.\All right!\Formation Beta!\Almost there...\Y-You're heavy... response:	I can't hold up!
context: I won't lose to you!\A greater stag beetle!\It's a bit high up.\All right!\Formation Beta!\Almost there...\Y-You're heavy...\I can't hold up! response:	Ow, ow, ow...
context: A greater stag beetle!\It's a bit high up.\All right!\Formation Beta!\Almost there...\Y-You're heavy...\I can't hold up!\Ow, ow, ow... response:	Where's Kenta?
context: It's a bit high up.\All right!\Formation Beta!\Almost there...\Y-You're heavy...\I can't hold up!\Ow, ow, ow...\Where's Kenta? response:	What are you guys doing?
context: All right!\Formation Beta!\Almost there...\Y-You're heavy...\I can't hold up!\Ow, ow, ow...\Where's Kenta?\What are you guys doing? response:	Sensei, you didn't leave yet?
context: Formation Beta!\Almost there...\Y-You're heavy...\I can't hold up!\Ow, ow, ow...\Where's Kenta?\What are you guys doing?\Sensei, you didn't leave yet? response:	Don't you mean, Thank you?
context: Almost there...\Y-You're heavy...\I can't hold up!\Ow, ow, ow...\Where's Kenta?\What are you guys doing?\Sensei, you didn't leave yet?\Don't you mean, Thank you? response:	I can't leave without catching one.
context: Y-You're heavy...\I can't hold up!\Ow, ow, ow...\Where's Kenta?\What are you guys doing?\Sensei, you didn't leave yet?\Don't you mean, Thank you?\I can't leave without catching one. response:	With this, I'm unbeatable.
context: I can't hold up!\Ow, ow, ow...\Where's Kenta?\What are you guys doing?\Sensei, you didn't leave yet?\Don't you mean, Thank you?\I can't leave without catching one.\With this, I'm unbeatable. response:	I can catch any bug, no matter how high up.
context: Ow, ow, ow...\Where's Kenta?\What are you guys doing?\Sensei, you didn't leave yet?\Don't you mean, Thank you?\I can't leave without catching one.\With this, I'm unbeatable.\I can catch any bug, no matter how high up. response:	All right! I've got my present!
context: Where's Kenta?\What are you guys doing?\Sensei, you didn't leave yet?\Don't you mean, Thank you?\I can't leave without catching one.\With this, I'm unbeatable.\I can catch any bug, no matter how high up.\All right! I've got my present! response:	Sensei?
context: What are you guys doing?\Sensei, you didn't leave yet?\Don't you mean, Thank you?\I can't leave without catching one.\With this, I'm unbeatable.\I can catch any bug, no matter how high up.\All right! I've got my present!\Sensei? response:	Can you lend me the net real quick?
context: Sensei, you didn't leave yet?\Don't you mean, Thank you?\I can't leave without catching one.\With this, I'm unbeatable.\I can catch any bug, no matter how high up.\All right! I've got my present!\Sensei?\Can you lend me the net real quick? response:	You came bug catchin' when you won't even touch'em?!
context: Don't you mean, Thank you?\I can't leave without catching one.\With this, I'm unbeatable.\I can catch any bug, no matter how high up.\All right! I've got my present!\Sensei?\Can you lend me the net real quick?\You came bug catchin' when you won't even touch'em?! response:	You jerk! It might bite me, or it could carry some weird disease!
context: I can't leave without catching one.\With this, I'm unbeatable.\I can catch any bug, no matter how high up.\All right! I've got my present!\Sensei?\Can you lend me the net real quick?\You came bug catchin' when you won't even touch'em?!\You jerk! It might bite me, or it could carry some weird disease! response:	They don't bite, and don't carry diseases!
context: With this, I'm unbeatable.\I can catch any bug, no matter how high up.\All right! I've got my present!\Sensei?\Can you lend me the net real quick?\You came bug catchin' when you won't even touch'em?!\You jerk! It might bite me, or it could carry some weird disease!\They don't bite, and don't carry diseases! response:	Apologize to the beetle!
context: I can catch any bug, no matter how high up.\All right! I've got my present!\Sensei?\Can you lend me the net real quick?\You came bug catchin' when you won't even touch'em?!\You jerk! It might bite me, or it could carry some weird disease!\They don't bite, and don't carry diseases!\Apologize to the beetle! response:	Up close, it's even more gross than I imagined!
context: All right! I've got my present!\Sensei?\Can you lend me the net real quick?\You came bug catchin' when you won't even touch'em?!\You jerk! It might bite me, or it could carry some weird disease!\They don't bite, and don't carry diseases!\Apologize to the beetle!\Up close, it's even more gross than I imagined! response:	Why is it so glossy?!
context: Sensei?\Can you lend me the net real quick?\You came bug catchin' when you won't even touch'em?!\You jerk! It might bite me, or it could carry some weird disease!\They don't bite, and don't carry diseases!\Apologize to the beetle!\Up close, it's even more gross than I imagined!\Why is it so glossy?! response:	It's just like a cockroach!
context: Can you lend me the net real quick?\You came bug catchin' when you won't even touch'em?!\You jerk! It might bite me, or it could carry some weird disease!\They don't bite, and don't carry diseases!\Apologize to the beetle!\Up close, it's even more gross than I imagined!\Why is it so glossy?!\It's just like a cockroach! response:	They ain't the same at all, stupid!
context: You came bug catchin' when you won't even touch'em?!\You jerk! It might bite me, or it could carry some weird disease!\They don't bite, and don't carry diseases!\Apologize to the beetle!\Up close, it's even more gross than I imagined!\Why is it so glossy?!\It's just like a cockroach!\They ain't the same at all, stupid! response:	Anyway, give me the net, now!
context: You jerk! It might bite me, or it could carry some weird disease!\They don't bite, and don't carry diseases!\Apologize to the beetle!\Up close, it's even more gross than I imagined!\Why is it so glossy?!\It's just like a cockroach!\They ain't the same at all, stupid!\Anyway, give me the net, now! response:	No!
context: They don't bite, and don't carry diseases!\Apologize to the beetle!\Up close, it's even more gross than I imagined!\Why is it so glossy?!\It's just like a cockroach!\They ain't the same at all, stupid!\Anyway, give me the net, now!\No! response:	I think it might've bit me!
context: Apologize to the beetle!\Up close, it's even more gross than I imagined!\Why is it so glossy?!\It's just like a cockroach!\They ain't the same at all, stupid!\Anyway, give me the net, now!\No!\I think it might've bit me! response:	Could a guy like this catch bugs?
context: Up close, it's even more gross than I imagined!\Why is it so glossy?!\It's just like a cockroach!\They ain't the same at all, stupid!\Anyway, give me the net, now!\No!\I think it might've bit me!\Could a guy like this catch bugs? response:	Gah! It hurts! It hurts! It hurts, I think!
context: Why is it so glossy?!\It's just like a cockroach!\They ain't the same at all, stupid!\Anyway, give me the net, now!\No!\I think it might've bit me!\Could a guy like this catch bugs?\Gah! It hurts! It hurts! It hurts, I think! response:	No way.
context: It's just like a cockroach!\They ain't the same at all, stupid!\Anyway, give me the net, now!\No!\I think it might've bit me!\Could a guy like this catch bugs?\Gah! It hurts! It hurts! It hurts, I think!\No way. response:	Amazin'!
