context: I'm sorry. I couldn't make breakfast... response:	Don't be stupid. You have such a high fever!
context: The target is home sick from school, or something like that.\Impossible!\Whoa, that's an abnormal bit of agitation.\I'm sure it's a coincidence...\What is it? Try talking to us.\My little sister...\It might be that both siblings show these symptoms after all...\Well, we're no scientists, response:	so let's go visit Ayumi,
context: Impossible!\Whoa, that's an abnormal bit of agitation.\I'm sure it's a coincidence...\What is it? Try talking to us.\My little sister...\It might be that both siblings show these symptoms after all...\Well, we're no scientists,\so let's go visit Ayumi, response:	and see if she really gained a special ability while we're at it.
context: Whoa, that's an abnormal bit of agitation.\I'm sure it's a coincidence...\What is it? Try talking to us.\My little sister...\It might be that both siblings show these symptoms after all...\Well, we're no scientists,\so let's go visit Ayumi,\and see if she really gained a special ability while we're at it. response:	Wait, are all of you going? We're talking about a sick girl here.
context: I'm sure it's a coincidence...\What is it? Try talking to us.\My little sister...\It might be that both siblings show these symptoms after all...\Well, we're no scientists,\so let's go visit Ayumi,\and see if she really gained a special ability while we're at it.\Wait, are all of you going? We're talking about a sick girl here. response:	Oh, right.
context: What is it? Try talking to us.\My little sister...\It might be that both siblings show these symptoms after all...\Well, we're no scientists,\so let's go visit Ayumi,\and see if she really gained a special ability while we're at it.\Wait, are all of you going? We're talking about a sick girl here.\Oh, right. response:	Then I guess I'll go by myself...
context: My little sister...\It might be that both siblings show these symptoms after all...\Well, we're no scientists,\so let's go visit Ayumi,\and see if she really gained a special ability while we're at it.\Wait, are all of you going? We're talking about a sick girl here.\Oh, right.\Then I guess I'll go by myself... response:	No, wait... Ayumi is a fan of Yusa...
context: It might be that both siblings show these symptoms after all...\Well, we're no scientists,\so let's go visit Ayumi,\and see if she really gained a special ability while we're at it.\Wait, are all of you going? We're talking about a sick girl here.\Oh, right.\Then I guess I'll go by myself...\No, wait... Ayumi is a fan of Yusa... response:	If I bring her along, I'm sure Ayumi would be happy.
context: Well, we're no scientists,\so let's go visit Ayumi,\and see if she really gained a special ability while we're at it.\Wait, are all of you going? We're talking about a sick girl here.\Oh, right.\Then I guess I'll go by myself...\No, wait... Ayumi is a fan of Yusa...\If I bring her along, I'm sure Ayumi would be happy. response:	What's wrong?
context: so let's go visit Ayumi,\and see if she really gained a special ability while we're at it.\Wait, are all of you going? We're talking about a sick girl here.\Oh, right.\Then I guess I'll go by myself...\No, wait... Ayumi is a fan of Yusa...\If I bring her along, I'm sure Ayumi would be happy.\What's wrong? response:	But you, fanboy, are getting in my way!
context: and see if she really gained a special ability while we're at it.\Wait, are all of you going? We're talking about a sick girl here.\Oh, right.\Then I guess I'll go by myself...\No, wait... Ayumi is a fan of Yusa...\If I bring her along, I'm sure Ayumi would be happy.\What's wrong?\But you, fanboy, are getting in my way! response:	I want it to be just Tomori and Yusa!
context: Wait, are all of you going? We're talking about a sick girl here.\Oh, right.\Then I guess I'll go by myself...\No, wait... Ayumi is a fan of Yusa...\If I bring her along, I'm sure Ayumi would be happy.\What's wrong?\But you, fanboy, are getting in my way!\I want it to be just Tomori and Yusa! response:	Should I take over his body and jump
context: Oh, right.\Then I guess I'll go by myself...\No, wait... Ayumi is a fan of Yusa...\If I bring her along, I'm sure Ayumi would be happy.\What's wrong?\But you, fanboy, are getting in my way!\I want it to be just Tomori and Yusa!\Should I take over his body and jump response:	from the window to injure him or something?
context: Then I guess I'll go by myself...\No, wait... Ayumi is a fan of Yusa...\If I bring her along, I'm sure Ayumi would be happy.\What's wrong?\But you, fanboy, are getting in my way!\I want it to be just Tomori and Yusa!\Should I take over his body and jump\from the window to injure him or something? response:	I see... so that's how giraffes sleep.
context: No, wait... Ayumi is a fan of Yusa...\If I bring her along, I'm sure Ayumi would be happy.\What's wrong?\But you, fanboy, are getting in my way!\I want it to be just Tomori and Yusa!\Should I take over his body and jump\from the window to injure him or something?\I see... so that's how giraffes sleep. response:	That's right! Giraffes wrap their necks around into a coil when they sleep...
context: If I bring her along, I'm sure Ayumi would be happy.\What's wrong?\But you, fanboy, are getting in my way!\I want it to be just Tomori and Yusa!\Should I take over his body and jump\from the window to injure him or something?\I see... so that's how giraffes sleep.\That's right! Giraffes wrap their necks around into a coil when they sleep... response:	Wait, there's a giraffe here?
context: What's wrong?\But you, fanboy, are getting in my way!\I want it to be just Tomori and Yusa!\Should I take over his body and jump\from the window to injure him or something?\I see... so that's how giraffes sleep.\That's right! Giraffes wrap their necks around into a coil when they sleep...\Wait, there's a giraffe here? response:	Where? Where?
context: But you, fanboy, are getting in my way!\I want it to be just Tomori and Yusa!\Should I take over his body and jump\from the window to injure him or something?\I see... so that's how giraffes sleep.\That's right! Giraffes wrap their necks around into a coil when they sleep...\Wait, there's a giraffe here?\Where? Where? response:	I felt it senseless for him to come with us.
context: I want it to be just Tomori and Yusa!\Should I take over his body and jump\from the window to injure him or something?\I see... so that's how giraffes sleep.\That's right! Giraffes wrap their necks around into a coil when they sleep...\Wait, there's a giraffe here?\Where? Where?\I felt it senseless for him to come with us. response:	Nice going, Tomori!
context: Should I take over his body and jump\from the window to injure him or something?\I see... so that's how giraffes sleep.\That's right! Giraffes wrap their necks around into a coil when they sleep...\Wait, there's a giraffe here?\Where? Where?\I felt it senseless for him to come with us.\Nice going, Tomori! response:	But, but...
context: from the window to injure him or something?\I see... so that's how giraffes sleep.\That's right! Giraffes wrap their necks around into a coil when they sleep...\Wait, there's a giraffe here?\Where? Where?\I felt it senseless for him to come with us.\Nice going, Tomori!\But, but... response:	He's got a full-body protector on,
context: I see... so that's how giraffes sleep.\That's right! Giraffes wrap their necks around into a coil when they sleep...\Wait, there's a giraffe here?\Where? Where?\I felt it senseless for him to come with us.\Nice going, Tomori!\But, but...\He's got a full-body protector on, response:	so he's fine as long as he didn't fall head first.
context: That's right! Giraffes wrap their necks around into a coil when they sleep...\Wait, there's a giraffe here?\Where? Where?\I felt it senseless for him to come with us.\Nice going, Tomori!\But, but...\He's got a full-body protector on,\so he's fine as long as he didn't fall head first. response:	We have someone injured, so please bring an ambulance right away.
context: Wait, there's a giraffe here?\Where? Where?\I felt it senseless for him to come with us.\Nice going, Tomori!\But, but...\He's got a full-body protector on,\so he's fine as long as he didn't fall head first.\We have someone injured, so please bring an ambulance right away. response:	Now, the three of us can go visit the ill after school.
context: Where? Where?\I felt it senseless for him to come with us.\Nice going, Tomori!\But, but...\He's got a full-body protector on,\so he's fine as long as he didn't fall head first.\We have someone injured, so please bring an ambulance right away.\Now, the three of us can go visit the ill after school. response:	I'd like to buy a get-well gift, so lets swing by a convenience store.
context: I felt it senseless for him to come with us.\Nice going, Tomori!\But, but...\He's got a full-body protector on,\so he's fine as long as he didn't fall head first.\We have someone injured, so please bring an ambulance right away.\Now, the three of us can go visit the ill after school.\I'd like to buy a get-well gift, so lets swing by a convenience store. response:	Yes, yes! I want to buy something as well!
context: Nice going, Tomori!\But, but...\He's got a full-body protector on,\so he's fine as long as he didn't fall head first.\We have someone injured, so please bring an ambulance right away.\Now, the three of us can go visit the ill after school.\I'd like to buy a get-well gift, so lets swing by a convenience store.\Yes, yes! I want to buy something as well! response:	I was just thinking I wanted to buy packaged porridge packs on my way home.
context: But, but...\He's got a full-body protector on,\so he's fine as long as he didn't fall head first.\We have someone injured, so please bring an ambulance right away.\Now, the three of us can go visit the ill after school.\I'd like to buy a get-well gift, so lets swing by a convenience store.\Yes, yes! I want to buy something as well!\I was just thinking I wanted to buy packaged porridge packs on my way home. response:	Then, shall we eat the same thing as Ayumi and have porridge for dinner?
context: He's got a full-body protector on,\so he's fine as long as he didn't fall head first.\We have someone injured, so please bring an ambulance right away.\Now, the three of us can go visit the ill after school.\I'd like to buy a get-well gift, so lets swing by a convenience store.\Yes, yes! I want to buy something as well!\I was just thinking I wanted to buy packaged porridge packs on my way home.\Then, shall we eat the same thing as Ayumi and have porridge for dinner? response:	Sounds good.
context: so he's fine as long as he didn't fall head first.\We have someone injured, so please bring an ambulance right away.\Now, the three of us can go visit the ill after school.\I'd like to buy a get-well gift, so lets swing by a convenience store.\Yes, yes! I want to buy something as well!\I was just thinking I wanted to buy packaged porridge packs on my way home.\Then, shall we eat the same thing as Ayumi and have porridge for dinner?\Sounds good. response:	You guys can eat freely once you get home, can't you?
context: We have someone injured, so please bring an ambulance right away.\Now, the three of us can go visit the ill after school.\I'd like to buy a get-well gift, so lets swing by a convenience store.\Yes, yes! I want to buy something as well!\I was just thinking I wanted to buy packaged porridge packs on my way home.\Then, shall we eat the same thing as Ayumi and have porridge for dinner?\Sounds good.\You guys can eat freely once you get home, can't you? response:	If we get in the way, we can...
context: Now, the three of us can go visit the ill after school.\I'd like to buy a get-well gift, so lets swing by a convenience store.\Yes, yes! I want to buy something as well!\I was just thinking I wanted to buy packaged porridge packs on my way home.\Then, shall we eat the same thing as Ayumi and have porridge for dinner?\Sounds good.\You guys can eat freely once you get home, can't you?\If we get in the way, we can... response:	We should all eat together, though!
context: I'd like to buy a get-well gift, so lets swing by a convenience store.\Yes, yes! I want to buy something as well!\I was just thinking I wanted to buy packaged porridge packs on my way home.\Then, shall we eat the same thing as Ayumi and have porridge for dinner?\Sounds good.\You guys can eat freely once you get home, can't you?\If we get in the way, we can...\We should all eat together, though! response:	Why is that?
context: Yes, yes! I want to buy something as well!\I was just thinking I wanted to buy packaged porridge packs on my way home.\Then, shall we eat the same thing as Ayumi and have porridge for dinner?\Sounds good.\You guys can eat freely once you get home, can't you?\If we get in the way, we can...\We should all eat together, though!\Why is that? response:	That's because...
context: I was just thinking I wanted to buy packaged porridge packs on my way home.\Then, shall we eat the same thing as Ayumi and have porridge for dinner?\Sounds good.\You guys can eat freely once you get home, can't you?\If we get in the way, we can...\We should all eat together, though!\Why is that?\That's because... response:	I'm living away from my parents too, so I'm all alone even if I go home.
context: Then, shall we eat the same thing as Ayumi and have porridge for dinner?\Sounds good.\You guys can eat freely once you get home, can't you?\If we get in the way, we can...\We should all eat together, though!\Why is that?\That's because...\I'm living away from my parents too, so I'm all alone even if I go home. response:	I'm used to being alone,
context: Sounds good.\You guys can eat freely once you get home, can't you?\If we get in the way, we can...\We should all eat together, though!\Why is that?\That's because...\I'm living away from my parents too, so I'm all alone even if I go home.\I'm used to being alone, response:	but Kurobane just moved out recently, so maybe what she says is true.
context: You guys can eat freely once you get home, can't you?\If we get in the way, we can...\We should all eat together, though!\Why is that?\That's because...\I'm living away from my parents too, so I'm all alone even if I go home.\I'm used to being alone,\but Kurobane just moved out recently, so maybe what she says is true. response:	No, Yusa isn't the only one...
context: If we get in the way, we can...\We should all eat together, though!\Why is that?\That's because...\I'm living away from my parents too, so I'm all alone even if I go home.\I'm used to being alone,\but Kurobane just moved out recently, so maybe what she says is true.\No, Yusa isn't the only one... response:	I swore in my heart that I won't trust anyone ever again.
context: We should all eat together, though!\Why is that?\That's because...\I'm living away from my parents too, so I'm all alone even if I go home.\I'm used to being alone,\but Kurobane just moved out recently, so maybe what she says is true.\No, Yusa isn't the only one...\I swore in my heart that I won't trust anyone ever again. response:	I snuck out of that school.
context: Why is that?\That's because...\I'm living away from my parents too, so I'm all alone even if I go home.\I'm used to being alone,\but Kurobane just moved out recently, so maybe what she says is true.\No, Yusa isn't the only one...\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school. response:	Her parents sold her off to scientists,
context: That's because...\I'm living away from my parents too, so I'm all alone even if I go home.\I'm used to being alone,\but Kurobane just moved out recently, so maybe what she says is true.\No, Yusa isn't the only one...\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\Her parents sold her off to scientists, response:	and she no longer could trust anyone
context: I'm living away from my parents too, so I'm all alone even if I go home.\I'm used to being alone,\but Kurobane just moved out recently, so maybe what she says is true.\No, Yusa isn't the only one...\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\Her parents sold her off to scientists,\and she no longer could trust anyone response:	and still is all alone...
context: I'm used to being alone,\but Kurobane just moved out recently, so maybe what she says is true.\No, Yusa isn't the only one...\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\Her parents sold her off to scientists,\and she no longer could trust anyone\and still is all alone... response:	The fact I have a little sister makes me more fortunate.
context: but Kurobane just moved out recently, so maybe what she says is true.\No, Yusa isn't the only one...\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\Her parents sold her off to scientists,\and she no longer could trust anyone\and still is all alone...\The fact I have a little sister makes me more fortunate. response:	Fine. We can all eat porridge for dinner together.
context: No, Yusa isn't the only one...\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\Her parents sold her off to scientists,\and she no longer could trust anyone\and still is all alone...\The fact I have a little sister makes me more fortunate.\Fine. We can all eat porridge for dinner together. response:	Your total is 1360 yen.
context: I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\Her parents sold her off to scientists,\and she no longer could trust anyone\and still is all alone...\The fact I have a little sister makes me more fortunate.\Fine. We can all eat porridge for dinner together.\Your total is 1360 yen. response:	This goes over my budget.
context: I snuck out of that school.\Her parents sold her off to scientists,\and she no longer could trust anyone\and still is all alone...\The fact I have a little sister makes me more fortunate.\Fine. We can all eat porridge for dinner together.\Your total is 1360 yen.\This goes over my budget. response:	Oh I'll pay for this.
context: Her parents sold her off to scientists,\and she no longer could trust anyone\and still is all alone...\The fact I have a little sister makes me more fortunate.\Fine. We can all eat porridge for dinner together.\Your total is 1360 yen.\This goes over my budget.\Oh I'll pay for this. response:	And these, too.
context: and she no longer could trust anyone\and still is all alone...\The fact I have a little sister makes me more fortunate.\Fine. We can all eat porridge for dinner together.\Your total is 1360 yen.\This goes over my budget.\Oh I'll pay for this.\And these, too. response:	Why stewed enoki mushrooms?
context: and still is all alone...\The fact I have a little sister makes me more fortunate.\Fine. We can all eat porridge for dinner together.\Your total is 1360 yen.\This goes over my budget.\Oh I'll pay for this.\And these, too.\Why stewed enoki mushrooms? response:	Aren't stewed enoki mushrooms the best?
context: The fact I have a little sister makes me more fortunate.\Fine. We can all eat porridge for dinner together.\Your total is 1360 yen.\This goes over my budget.\Oh I'll pay for this.\And these, too.\Why stewed enoki mushrooms?\Aren't stewed enoki mushrooms the best? response:	It's perfect on top of porridge, too!
context: Fine. We can all eat porridge for dinner together.\Your total is 1360 yen.\This goes over my budget.\Oh I'll pay for this.\And these, too.\Why stewed enoki mushrooms?\Aren't stewed enoki mushrooms the best?\It's perfect on top of porridge, too! response:	That's just your personal tastes...
context: Your total is 1360 yen.\This goes over my budget.\Oh I'll pay for this.\And these, too.\Why stewed enoki mushrooms?\Aren't stewed enoki mushrooms the best?\It's perfect on top of porridge, too!\That's just your personal tastes... response:	well, I don't care as long as you're paying for it.
context: This goes over my budget.\Oh I'll pay for this.\And these, too.\Why stewed enoki mushrooms?\Aren't stewed enoki mushrooms the best?\It's perfect on top of porridge, too!\That's just your personal tastes...\well, I don't care as long as you're paying for it. response:	Yes, I'm fine with that.
context: Oh I'll pay for this.\And these, too.\Why stewed enoki mushrooms?\Aren't stewed enoki mushrooms the best?\It's perfect on top of porridge, too!\That's just your personal tastes...\well, I don't care as long as you're paying for it.\Yes, I'm fine with that. response:	Um, that can of cookies back there... can I have that?
context: And these, too.\Why stewed enoki mushrooms?\Aren't stewed enoki mushrooms the best?\It's perfect on top of porridge, too!\That's just your personal tastes...\well, I don't care as long as you're paying for it.\Yes, I'm fine with that.\Um, that can of cookies back there... can I have that? response:	I've never seen anyone buy that before!
context: Why stewed enoki mushrooms?\Aren't stewed enoki mushrooms the best?\It's perfect on top of porridge, too!\That's just your personal tastes...\well, I don't care as long as you're paying for it.\Yes, I'm fine with that.\Um, that can of cookies back there... can I have that?\I've never seen anyone buy that before! response:	It will be 2500 yen
context: Aren't stewed enoki mushrooms the best?\It's perfect on top of porridge, too!\That's just your personal tastes...\well, I don't care as long as you're paying for it.\Yes, I'm fine with that.\Um, that can of cookies back there... can I have that?\I've never seen anyone buy that before!\It will be 2500 yen response:	And it's expensive!
context: It's perfect on top of porridge, too!\That's just your personal tastes...\well, I don't care as long as you're paying for it.\Yes, I'm fine with that.\Um, that can of cookies back there... can I have that?\I've never seen anyone buy that before!\It will be 2500 yen\And it's expensive! response:	To top it off, what is this paper bag?
context: That's just your personal tastes...\well, I don't care as long as you're paying for it.\Yes, I'm fine with that.\Um, that can of cookies back there... can I have that?\I've never seen anyone buy that before!\It will be 2500 yen\And it's expensive!\To top it off, what is this paper bag? response:	but I've never seen this paper bag, either!
context: well, I don't care as long as you're paying for it.\Yes, I'm fine with that.\Um, that can of cookies back there... can I have that?\I've never seen anyone buy that before!\It will be 2500 yen\And it's expensive!\To top it off, what is this paper bag?\but I've never seen this paper bag, either! response:	Thank you so much!
context: Yes, I'm fine with that.\Um, that can of cookies back there... can I have that?\I've never seen anyone buy that before!\It will be 2500 yen\And it's expensive!\To top it off, what is this paper bag?\but I've never seen this paper bag, either!\Thank you so much! response:	It's this room.
context: Um, that can of cookies back there... can I have that?\I've never seen anyone buy that before!\It will be 2500 yen\And it's expensive!\To top it off, what is this paper bag?\but I've never seen this paper bag, either!\Thank you so much!\It's this room. response:	My little sister is a pretty huge fan of yours.
context: I've never seen anyone buy that before!\It will be 2500 yen\And it's expensive!\To top it off, what is this paper bag?\but I've never seen this paper bag, either!\Thank you so much!\It's this room.\My little sister is a pretty huge fan of yours. response:	That makes me look forward to seeing her even more!
context: It will be 2500 yen\And it's expensive!\To top it off, what is this paper bag?\but I've never seen this paper bag, either!\Thank you so much!\It's this room.\My little sister is a pretty huge fan of yours.\That makes me look forward to seeing her even more! response:	However!
context: And it's expensive!\To top it off, what is this paper bag?\but I've never seen this paper bag, either!\Thank you so much!\It's this room.\My little sister is a pretty huge fan of yours.\That makes me look forward to seeing her even more!\However! response:	She is currently in bed with a fever...
context: To top it off, what is this paper bag?\but I've never seen this paper bag, either!\Thank you so much!\It's this room.\My little sister is a pretty huge fan of yours.\That makes me look forward to seeing her even more!\However!\She is currently in bed with a fever... response:	we can't get her too excited.
context: but I've never seen this paper bag, either!\Thank you so much!\It's this room.\My little sister is a pretty huge fan of yours.\That makes me look forward to seeing her even more!\However!\She is currently in bed with a fever...\we can't get her too excited. response:	At the least, she will get a nosebleed.
context: Thank you so much!\It's this room.\My little sister is a pretty huge fan of yours.\That makes me look forward to seeing her even more!\However!\She is currently in bed with a fever...\we can't get her too excited.\At the least, she will get a nosebleed. response:	I'd like things to be gradual,
context: It's this room.\My little sister is a pretty huge fan of yours.\That makes me look forward to seeing her even more!\However!\She is currently in bed with a fever...\we can't get her too excited.\At the least, she will get a nosebleed.\I'd like things to be gradual, response:	like Hey? Can that really be Yusarin? or something like that.
context: My little sister is a pretty huge fan of yours.\That makes me look forward to seeing her even more!\However!\She is currently in bed with a fever...\we can't get her too excited.\At the least, she will get a nosebleed.\I'd like things to be gradual,\like Hey? Can that really be Yusarin? or something like that. response:	Then I'll have my disguise mask on.
context: That makes me look forward to seeing her even more!\However!\She is currently in bed with a fever...\we can't get her too excited.\At the least, she will get a nosebleed.\I'd like things to be gradual,\like Hey? Can that really be Yusarin? or something like that.\Then I'll have my disguise mask on. response:	All right! Then, can you hang out here for a bit?
context: However!\She is currently in bed with a fever...\we can't get her too excited.\At the least, she will get a nosebleed.\I'd like things to be gradual,\like Hey? Can that really be Yusarin? or something like that.\Then I'll have my disguise mask on.\All right! Then, can you hang out here for a bit? response:	Guests? Who are they?
context: She is currently in bed with a fever...\we can't get her too excited.\At the least, she will get a nosebleed.\I'd like things to be gradual,\like Hey? Can that really be Yusarin? or something like that.\Then I'll have my disguise mask on.\All right! Then, can you hang out here for a bit?\Guests? Who are they? response:	Big Brother Yu is home!
