context: It's not as though I'm unaware... response:	It's not as though I'm unaware
context: Especially for the Guild executive who was the first to flee for shelter.\Am I not more qualified than the ones who were the first to be captured by the enemy?\Like him or not, this is a man who betrayed the Guild.\We'll need to be prepared.\I have a plan.\I'll leave you to deal with the rat you captured.\I am honored.\Pardon me. response:	Are you sure about this?
context: Am I not more qualified than the ones who were the first to be captured by the enemy?\Like him or not, this is a man who betrayed the Guild.\We'll need to be prepared.\I have a plan.\I'll leave you to deal with the rat you captured.\I am honored.\Pardon me.\Are you sure about this? response:	He's a gambler who made a mess of the Port Mafia's casino.
context: Like him or not, this is a man who betrayed the Guild.\We'll need to be prepared.\I have a plan.\I'll leave you to deal with the rat you captured.\I am honored.\Pardon me.\Are you sure about this?\He's a gambler who made a mess of the Port Mafia's casino. response:	He doesn't have a shred of loyalty.
context: We'll need to be prepared.\I have a plan.\I'll leave you to deal with the rat you captured.\I am honored.\Pardon me.\Are you sure about this?\He's a gambler who made a mess of the Port Mafia's casino.\He doesn't have a shred of loyalty. response:	He became one of the five executives by paying a large sum,
context: I have a plan.\I'll leave you to deal with the rat you captured.\I am honored.\Pardon me.\Are you sure about this?\He's a gambler who made a mess of the Port Mafia's casino.\He doesn't have a shred of loyalty.\He became one of the five executives by paying a large sum, response:	but he thinks of the Port Mafia as no more than as his personal bodyguards.
context: I'll leave you to deal with the rat you captured.\I am honored.\Pardon me.\Are you sure about this?\He's a gambler who made a mess of the Port Mafia's casino.\He doesn't have a shred of loyalty.\He became one of the five executives by paying a large sum,\but he thinks of the Port Mafia as no more than as his personal bodyguards. response:	Exactly.
context: I am honored.\Pardon me.\Are you sure about this?\He's a gambler who made a mess of the Port Mafia's casino.\He doesn't have a shred of loyalty.\He became one of the five executives by paying a large sum,\but he thinks of the Port Mafia as no more than as his personal bodyguards.\Exactly. response:	And financial capacity is in itself a kind of strength.
context: Pardon me.\Are you sure about this?\He's a gambler who made a mess of the Port Mafia's casino.\He doesn't have a shred of loyalty.\He became one of the five executives by paying a large sum,\but he thinks of the Port Mafia as no more than as his personal bodyguards.\Exactly.\And financial capacity is in itself a kind of strength. response:	Let's see what he can do.
context: Are you sure about this?\He's a gambler who made a mess of the Port Mafia's casino.\He doesn't have a shred of loyalty.\He became one of the five executives by paying a large sum,\but he thinks of the Port Mafia as no more than as his personal bodyguards.\Exactly.\And financial capacity is in itself a kind of strength.\Let's see what he can do. response:	Episode 29 My Ill Deeds Are the Work of God
context: He's a gambler who made a mess of the Port Mafia's casino.\He doesn't have a shred of loyalty.\He became one of the five executives by paying a large sum,\but he thinks of the Port Mafia as no more than as his personal bodyguards.\Exactly.\And financial capacity is in itself a kind of strength.\Let's see what he can do.\Episode 29 My Ill Deeds Are the Work of God response:	Open it.
context: He doesn't have a shred of loyalty.\He became one of the five executives by paying a large sum,\but he thinks of the Port Mafia as no more than as his personal bodyguards.\Exactly.\And financial capacity is in itself a kind of strength.\Let's see what he can do.\Episode 29 My Ill Deeds Are the Work of God\Open it. response:	The knife.
context: He became one of the five executives by paying a large sum,\but he thinks of the Port Mafia as no more than as his personal bodyguards.\Exactly.\And financial capacity is in itself a kind of strength.\Let's see what he can do.\Episode 29 My Ill Deeds Are the Work of God\Open it.\The knife. response:	Hey.
context: but he thinks of the Port Mafia as no more than as his personal bodyguards.\Exactly.\And financial capacity is in itself a kind of strength.\Let's see what he can do.\Episode 29 My Ill Deeds Are the Work of God\Open it.\The knife.\Hey. response:	Nice to meet you.
context: Exactly.\And financial capacity is in itself a kind of strength.\Let's see what he can do.\Episode 29 My Ill Deeds Are the Work of God\Open it.\The knife.\Hey.\Nice to meet you. response:	Don't let our guest stay locked up in this place!
context: And financial capacity is in itself a kind of strength.\Let's see what he can do.\Episode 29 My Ill Deeds Are the Work of God\Open it.\The knife.\Hey.\Nice to meet you.\Don't let our guest stay locked up in this place! response:	Get him clothes and something to drink immediately!
context: Let's see what he can do.\Episode 29 My Ill Deeds Are the Work of God\Open it.\The knife.\Hey.\Nice to meet you.\Don't let our guest stay locked up in this place!\Get him clothes and something to drink immediately! response:	Get to it!
context: Episode 29 My Ill Deeds Are the Work of God\Open it.\The knife.\Hey.\Nice to meet you.\Don't let our guest stay locked up in this place!\Get him clothes and something to drink immediately!\Get to it! response:	You dimwits!
context: Open it.\The knife.\Hey.\Nice to meet you.\Don't let our guest stay locked up in this place!\Get him clothes and something to drink immediately!\Get to it!\You dimwits! response:	I happen to be a lonely man.
context: The knife.\Hey.\Nice to meet you.\Don't let our guest stay locked up in this place!\Get him clothes and something to drink immediately!\Get to it!\You dimwits!\I happen to be a lonely man. response:	The Port Mafia doesn't trust me.
context: Hey.\Nice to meet you.\Don't let our guest stay locked up in this place!\Get him clothes and something to drink immediately!\Get to it!\You dimwits!\I happen to be a lonely man.\The Port Mafia doesn't trust me. response:	Of course, I don't trust them, either.
context: Nice to meet you.\Don't let our guest stay locked up in this place!\Get him clothes and something to drink immediately!\Get to it!\You dimwits!\I happen to be a lonely man.\The Port Mafia doesn't trust me.\Of course, I don't trust them, either. response:	All I believe in is poker,
context: Don't let our guest stay locked up in this place!\Get him clothes and something to drink immediately!\Get to it!\You dimwits!\I happen to be a lonely man.\The Port Mafia doesn't trust me.\Of course, I don't trust them, either.\All I believe in is poker, response:	the gems in my vault, and the fifty men in my engineering unit.
context: Get him clothes and something to drink immediately!\Get to it!\You dimwits!\I happen to be a lonely man.\The Port Mafia doesn't trust me.\Of course, I don't trust them, either.\All I believe in is poker,\the gems in my vault, and the fifty men in my engineering unit. response:	Diamond straight flush.
context: Get to it!\You dimwits!\I happen to be a lonely man.\The Port Mafia doesn't trust me.\Of course, I don't trust them, either.\All I believe in is poker,\the gems in my vault, and the fifty men in my engineering unit.\Diamond straight flush. response:	I win.
context: You dimwits!\I happen to be a lonely man.\The Port Mafia doesn't trust me.\Of course, I don't trust them, either.\All I believe in is poker,\the gems in my vault, and the fifty men in my engineering unit.\Diamond straight flush.\I win. response:	And, today, I've found the fifty-first.
context: I happen to be a lonely man.\The Port Mafia doesn't trust me.\Of course, I don't trust them, either.\All I believe in is poker,\the gems in my vault, and the fifty men in my engineering unit.\Diamond straight flush.\I win.\And, today, I've found the fifty-first. response:	Well?
context: The Port Mafia doesn't trust me.\Of course, I don't trust them, either.\All I believe in is poker,\the gems in my vault, and the fifty men in my engineering unit.\Diamond straight flush.\I win.\And, today, I've found the fifty-first.\Well? response:	Would you like to join me?
context: Of course, I don't trust them, either.\All I believe in is poker,\the gems in my vault, and the fifty men in my engineering unit.\Diamond straight flush.\I win.\And, today, I've found the fifty-first.\Well?\Would you like to join me? response:	Let's team up to take Mori Ougai's head.
context: All I believe in is poker,\the gems in my vault, and the fifty men in my engineering unit.\Diamond straight flush.\I win.\And, today, I've found the fifty-first.\Well?\Would you like to join me?\Let's team up to take Mori Ougai's head. response:	That town doctor won't suspect you and I have joined forces.
context: the gems in my vault, and the fifty men in my engineering unit.\Diamond straight flush.\I win.\And, today, I've found the fifty-first.\Well?\Would you like to join me?\Let's team up to take Mori Ougai's head.\That town doctor won't suspect you and I have joined forces. response:	A man who's capable of outwitting the Guild is worthy of commendation.
context: Diamond straight flush.\I win.\And, today, I've found the fifty-first.\Well?\Would you like to join me?\Let's team up to take Mori Ougai's head.\That town doctor won't suspect you and I have joined forces.\A man who's capable of outwitting the Guild is worthy of commendation. response:	And if I refused,
context: I win.\And, today, I've found the fifty-first.\Well?\Would you like to join me?\Let's team up to take Mori Ougai's head.\That town doctor won't suspect you and I have joined forces.\A man who's capable of outwitting the Guild is worthy of commendation.\And if I refused, response:	I'd never see the light of day again.
context: And, today, I've found the fifty-first.\Well?\Would you like to join me?\Let's team up to take Mori Ougai's head.\That town doctor won't suspect you and I have joined forces.\A man who's capable of outwitting the Guild is worthy of commendation.\And if I refused,\I'd never see the light of day again. response:	Is that right?
context: Well?\Would you like to join me?\Let's team up to take Mori Ougai's head.\That town doctor won't suspect you and I have joined forces.\A man who's capable of outwitting the Guild is worthy of commendation.\And if I refused,\I'd never see the light of day again.\Is that right? response:	Exactly.
context: Would you like to join me?\Let's team up to take Mori Ougai's head.\That town doctor won't suspect you and I have joined forces.\A man who's capable of outwitting the Guild is worthy of commendation.\And if I refused,\I'd never see the light of day again.\Is that right?\Exactly. response:	It seems I cannot refuse.
context: Let's team up to take Mori Ougai's head.\That town doctor won't suspect you and I have joined forces.\A man who's capable of outwitting the Guild is worthy of commendation.\And if I refused,\I'd never see the light of day again.\Is that right?\Exactly.\It seems I cannot refuse. response:	I'm locked in an inescapable underground room.
context: That town doctor won't suspect you and I have joined forces.\A man who's capable of outwitting the Guild is worthy of commendation.\And if I refused,\I'd never see the light of day again.\Is that right?\Exactly.\It seems I cannot refuse.\I'm locked in an inescapable underground room. response:	And as you can see, I'm rather sickly.
context: A man who's capable of outwitting the Guild is worthy of commendation.\And if I refused,\I'd never see the light of day again.\Is that right?\Exactly.\It seems I cannot refuse.\I'm locked in an inescapable underground room.\And as you can see, I'm rather sickly. response:	I'll kill you instead.
context: And if I refused,\I'd never see the light of day again.\Is that right?\Exactly.\It seems I cannot refuse.\I'm locked in an inescapable underground room.\And as you can see, I'm rather sickly.\I'll kill you instead. response:	I'm slightly disappointed, Fyodor-kun.
context: I'd never see the light of day again.\Is that right?\Exactly.\It seems I cannot refuse.\I'm locked in an inescapable underground room.\And as you can see, I'm rather sickly.\I'll kill you instead.\I'm slightly disappointed, Fyodor-kun. response:	Very well.
context: Is that right?\Exactly.\It seems I cannot refuse.\I'm locked in an inescapable underground room.\And as you can see, I'm rather sickly.\I'll kill you instead.\I'm slightly disappointed, Fyodor-kun.\Very well. response:	I'll have you understand the position you're in.
context: Exactly.\It seems I cannot refuse.\I'm locked in an inescapable underground room.\And as you can see, I'm rather sickly.\I'll kill you instead.\I'm slightly disappointed, Fyodor-kun.\Very well.\I'll have you understand the position you're in. response:	This is my gift.
context: It seems I cannot refuse.\I'm locked in an inescapable underground room.\And as you can see, I'm rather sickly.\I'll kill you instead.\I'm slightly disappointed, Fyodor-kun.\Very well.\I'll have you understand the position you're in.\This is my gift. response:	The ability to exchange my subordinates' remaining lifespan for gems of equal value.
context: I'm locked in an inescapable underground room.\And as you can see, I'm rather sickly.\I'll kill you instead.\I'm slightly disappointed, Fyodor-kun.\Very well.\I'll have you understand the position you're in.\This is my gift.\The ability to exchange my subordinates' remaining lifespan for gems of equal value. response:	I can turn worthless lives into something valuable.
context: And as you can see, I'm rather sickly.\I'll kill you instead.\I'm slightly disappointed, Fyodor-kun.\Very well.\I'll have you understand the position you're in.\This is my gift.\The ability to exchange my subordinates' remaining lifespan for gems of equal value.\I can turn worthless lives into something valuable. response:	It's a merciful ability indeed.
context: I'll kill you instead.\I'm slightly disappointed, Fyodor-kun.\Very well.\I'll have you understand the position you're in.\This is my gift.\The ability to exchange my subordinates' remaining lifespan for gems of equal value.\I can turn worthless lives into something valuable.\It's a merciful ability indeed. response:	The collar is a symbol of your servitude to me.
context: I'm slightly disappointed, Fyodor-kun.\Very well.\I'll have you understand the position you're in.\This is my gift.\The ability to exchange my subordinates' remaining lifespan for gems of equal value.\I can turn worthless lives into something valuable.\It's a merciful ability indeed.\The collar is a symbol of your servitude to me. response:	It can't be put on without the subject's agreement.
context: Very well.\I'll have you understand the position you're in.\This is my gift.\The ability to exchange my subordinates' remaining lifespan for gems of equal value.\I can turn worthless lives into something valuable.\It's a merciful ability indeed.\The collar is a symbol of your servitude to me.\It can't be put on without the subject's agreement. response:	And, once it's put on, it can never be removed.
context: I'll have you understand the position you're in.\This is my gift.\The ability to exchange my subordinates' remaining lifespan for gems of equal value.\I can turn worthless lives into something valuable.\It's a merciful ability indeed.\The collar is a symbol of your servitude to me.\It can't be put on without the subject's agreement.\And, once it's put on, it can never be removed. response:	If you decide to put on the collar by the time I return, I'll allow you to live.
context: This is my gift.\The ability to exchange my subordinates' remaining lifespan for gems of equal value.\I can turn worthless lives into something valuable.\It's a merciful ability indeed.\The collar is a symbol of your servitude to me.\It can't be put on without the subject's agreement.\And, once it's put on, it can never be removed.\If you decide to put on the collar by the time I return, I'll allow you to live. response:	Don't worry.
context: The ability to exchange my subordinates' remaining lifespan for gems of equal value.\I can turn worthless lives into something valuable.\It's a merciful ability indeed.\The collar is a symbol of your servitude to me.\It can't be put on without the subject's agreement.\And, once it's put on, it can never be removed.\If you decide to put on the collar by the time I return, I'll allow you to live.\Don't worry. response:	I'm sure it'll look good on you.
context: I can turn worthless lives into something valuable.\It's a merciful ability indeed.\The collar is a symbol of your servitude to me.\It can't be put on without the subject's agreement.\And, once it's put on, it can never be removed.\If you decide to put on the collar by the time I return, I'll allow you to live.\Don't worry.\I'm sure it'll look good on you. response:	Give it up, man.
context: It's a merciful ability indeed.\The collar is a symbol of your servitude to me.\It can't be put on without the subject's agreement.\And, once it's put on, it can never be removed.\If you decide to put on the collar by the time I return, I'll allow you to live.\Don't worry.\I'm sure it'll look good on you.\Give it up, man. response:	You don't stand a chance against Ace.
context: The collar is a symbol of your servitude to me.\It can't be put on without the subject's agreement.\And, once it's put on, it can never be removed.\If you decide to put on the collar by the time I return, I'll allow you to live.\Don't worry.\I'm sure it'll look good on you.\Give it up, man.\You don't stand a chance against Ace. response:	The only way to survive is to wear this.
context: It can't be put on without the subject's agreement.\And, once it's put on, it can never be removed.\If you decide to put on the collar by the time I return, I'll allow you to live.\Don't worry.\I'm sure it'll look good on you.\Give it up, man.\You don't stand a chance against Ace.\The only way to survive is to wear this. response:	Leaving this room is impossible.
context: And, once it's put on, it can never be removed.\If you decide to put on the collar by the time I return, I'll allow you to live.\Don't worry.\I'm sure it'll look good on you.\Give it up, man.\You don't stand a chance against Ace.\The only way to survive is to wear this.\Leaving this room is impossible. response:	Ace is the only one with the key to open the door.
context: If you decide to put on the collar by the time I return, I'll allow you to live.\Don't worry.\I'm sure it'll look good on you.\Give it up, man.\You don't stand a chance against Ace.\The only way to survive is to wear this.\Leaving this room is impossible.\Ace is the only one with the key to open the door. response:	Even we can't get enter or leave this cell without Ace's permission.
context: Don't worry.\I'm sure it'll look good on you.\Give it up, man.\You don't stand a chance against Ace.\The only way to survive is to wear this.\Leaving this room is impossible.\Ace is the only one with the key to open the door.\Even we can't get enter or leave this cell without Ace's permission. response:	I remember you told Ace...
context: I'm sure it'll look good on you.\Give it up, man.\You don't stand a chance against Ace.\The only way to survive is to wear this.\Leaving this room is impossible.\Ace is the only one with the key to open the door.\Even we can't get enter or leave this cell without Ace's permission.\I remember you told Ace... response:	that you'd kill him.
context: Give it up, man.\You don't stand a chance against Ace.\The only way to survive is to wear this.\Leaving this room is impossible.\Ace is the only one with the key to open the door.\Even we can't get enter or leave this cell without Ace's permission.\I remember you told Ace...\that you'd kill him. response:	Honestly, I was blown away.
context: You don't stand a chance against Ace.\The only way to survive is to wear this.\Leaving this room is impossible.\Ace is the only one with the key to open the door.\Even we can't get enter or leave this cell without Ace's permission.\I remember you told Ace...\that you'd kill him.\Honestly, I was blown away. response:	I wish I could say something like that.
context: The only way to survive is to wear this.\Leaving this room is impossible.\Ace is the only one with the key to open the door.\Even we can't get enter or leave this cell without Ace's permission.\I remember you told Ace...\that you'd kill him.\Honestly, I was blown away.\I wish I could say something like that. response:	But I can't.
context: Leaving this room is impossible.\Ace is the only one with the key to open the door.\Even we can't get enter or leave this cell without Ace's permission.\I remember you told Ace...\that you'd kill him.\Honestly, I was blown away.\I wish I could say something like that.\But I can't. response:	If I went against him, he'd turn my lifespan into gems.
context: Ace is the only one with the key to open the door.\Even we can't get enter or leave this cell without Ace's permission.\I remember you told Ace...\that you'd kill him.\Honestly, I was blown away.\I wish I could say something like that.\But I can't.\If I went against him, he'd turn my lifespan into gems. response:	You know, it was my dream
context: Even we can't get enter or leave this cell without Ace's permission.\I remember you told Ace...\that you'd kill him.\Honestly, I was blown away.\I wish I could say something like that.\But I can't.\If I went against him, he'd turn my lifespan into gems.\You know, it was my dream response:	to become the boss of the Port Mafia someday.
context: I remember you told Ace...\that you'd kill him.\Honestly, I was blown away.\I wish I could say something like that.\But I can't.\If I went against him, he'd turn my lifespan into gems.\You know, it was my dream\to become the boss of the Port Mafia someday. response:	I wanted to become the boss and try my hand at running this city.
context: that you'd kill him.\Honestly, I was blown away.\I wish I could say something like that.\But I can't.\If I went against him, he'd turn my lifespan into gems.\You know, it was my dream\to become the boss of the Port Mafia someday.\I wanted to become the boss and try my hand at running this city. response:	But now, I'm one of Ace's collared slaves.
context: Honestly, I was blown away.\I wish I could say something like that.\But I can't.\If I went against him, he'd turn my lifespan into gems.\You know, it was my dream\to become the boss of the Port Mafia someday.\I wanted to become the boss and try my hand at running this city.\But now, I'm one of Ace's collared slaves. response:	I was sold to a human trafficker before I can even remember,
context: I wish I could say something like that.\But I can't.\If I went against him, he'd turn my lifespan into gems.\You know, it was my dream\to become the boss of the Port Mafia someday.\I wanted to become the boss and try my hand at running this city.\But now, I'm one of Ace's collared slaves.\I was sold to a human trafficker before I can even remember, response:	and I drifted all the way here.
context: But I can't.\If I went against him, he'd turn my lifespan into gems.\You know, it was my dream\to become the boss of the Port Mafia someday.\I wanted to become the boss and try my hand at running this city.\But now, I'm one of Ace's collared slaves.\I was sold to a human trafficker before I can even remember,\and I drifted all the way here. response:	I dreamed of a ridiculous miracle,
context: If I went against him, he'd turn my lifespan into gems.\You know, it was my dream\to become the boss of the Port Mafia someday.\I wanted to become the boss and try my hand at running this city.\But now, I'm one of Ace's collared slaves.\I was sold to a human trafficker before I can even remember,\and I drifted all the way here.\I dreamed of a ridiculous miracle, response:	where someone would come to free me from this collar.
context: You know, it was my dream\to become the boss of the Port Mafia someday.\I wanted to become the boss and try my hand at running this city.\But now, I'm one of Ace's collared slaves.\I was sold to a human trafficker before I can even remember,\and I drifted all the way here.\I dreamed of a ridiculous miracle,\where someone would come to free me from this collar. response:	I finally realized that no one would save a villain like me.
