context: April response:	Huh? A girl?
context: I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\Today\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\Read\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read response:	I'm freehhhh on Sunday!hhhhhhhh Let's go!hhhh
context: I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\Today\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\Read\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\I'm freehhhh on Sunday!hhhhhhhh Let's go!hhhh response:	H-Hey, uh...
context: Today\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\Read\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\I'm freehhhh on Sunday!hhhhhhhh Let's go!hhhh\H-Hey, uh... response:	I know I'm not used to going on dates and stuff.
context: If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\Read\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\I'm freehhhh on Sunday!hhhhhhhh Let's go!hhhh\H-Hey, uh...\I know I'm not used to going on dates and stuff. response:	Like I said, I've never had a girlfriend before.
context: Read\Read\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\I'm freehhhh on Sunday!hhhhhhhh Let's go!hhhh\H-Hey, uh...\I know I'm not used to going on dates and stuff.\Like I said, I've never had a girlfriend before. response:	Sorry.
context: Read\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\I'm freehhhh on Sunday!hhhhhhhh Let's go!hhhh\H-Hey, uh...\I know I'm not used to going on dates and stuff.\Like I said, I've never had a girlfriend before.\Sorry. response:	It's the same for me.
context: If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\I'm freehhhh on Sunday!hhhhhhhh Let's go!hhhh\H-Hey, uh...\I know I'm not used to going on dates and stuff.\Like I said, I've never had a girlfriend before.\Sorry.\It's the same for me. response:	I had two relationships in high school, but they both ended almost immediately.
context: Read\I'm freehhhh on Sunday!hhhhhhhh Let's go!hhhh\H-Hey, uh...\I know I'm not used to going on dates and stuff.\Like I said, I've never had a girlfriend before.\Sorry.\It's the same for me.\I had two relationships in high school, but they both ended almost immediately. response:	I'm not that great with boys, really.
context: I'm freehhhh on Sunday!hhhhhhhh Let's go!hhhh\H-Hey, uh...\I know I'm not used to going on dates and stuff.\Like I said, I've never had a girlfriend before.\Sorry.\It's the same for me.\I had two relationships in high school, but they both ended almost immediately.\I'm not that great with boys, really. response:	Mami-chan?
context: H-Hey, uh...\I know I'm not used to going on dates and stuff.\Like I said, I've never had a girlfriend before.\Sorry.\It's the same for me.\I had two relationships in high school, but they both ended almost immediately.\I'm not that great with boys, really.\Mami-chan? response:	So, you know...
context: I know I'm not used to going on dates and stuff.\Like I said, I've never had a girlfriend before.\Sorry.\It's the same for me.\I had two relationships in high school, but they both ended almost immediately.\I'm not that great with boys, really.\Mami-chan?\So, you know... response:	We're both sailing in the same leaky boat.
context: Like I said, I've never had a girlfriend before.\Sorry.\It's the same for me.\I had two relationships in high school, but they both ended almost immediately.\I'm not that great with boys, really.\Mami-chan?\So, you know...\We're both sailing in the same leaky boat. response:	I'm gonna be there for her.
context: Sorry.\It's the same for me.\I had two relationships in high school, but they both ended almost immediately.\I'm not that great with boys, really.\Mami-chan?\So, you know...\We're both sailing in the same leaky boat.\I'm gonna be there for her. response:	I'm gonna make her happy... for life.
context: It's the same for me.\I had two relationships in high school, but they both ended almost immediately.\I'm not that great with boys, really.\Mami-chan?\So, you know...\We're both sailing in the same leaky boat.\I'm gonna be there for her.\I'm gonna make her happy... for life. response:	I had lots of fun today.
context: I had two relationships in high school, but they both ended almost immediately.\I'm not that great with boys, really.\Mami-chan?\So, you know...\We're both sailing in the same leaky boat.\I'm gonna be there for her.\I'm gonna make her happy... for life.\I had lots of fun today. response:	Bye-bye, Kazu-kun!
context: I'm not that great with boys, really.\Mami-chan?\So, you know...\We're both sailing in the same leaky boat.\I'm gonna be there for her.\I'm gonna make her happy... for life.\I had lots of fun today.\Bye-bye, Kazu-kun! response:	Well,
context: Mami-chan?\So, you know...\We're both sailing in the same leaky boat.\I'm gonna be there for her.\I'm gonna make her happy... for life.\I had lots of fun today.\Bye-bye, Kazu-kun!\Well, response:	I trust Kazuya-san.
context: So, you know...\We're both sailing in the same leaky boat.\I'm gonna be there for her.\I'm gonna make her happy... for life.\I had lots of fun today.\Bye-bye, Kazu-kun!\Well,\I trust Kazuya-san. response:	Forgive me, Kazu-kun.
context: We're both sailing in the same leaky boat.\I'm gonna be there for her.\I'm gonna make her happy... for life.\I had lots of fun today.\Bye-bye, Kazu-kun!\Well,\I trust Kazuya-san.\Forgive me, Kazu-kun. response:	I couldn't control myself anymore.
context: I'm gonna be there for her.\I'm gonna make her happy... for life.\I had lots of fun today.\Bye-bye, Kazu-kun!\Well,\I trust Kazuya-san.\Forgive me, Kazu-kun.\I couldn't control myself anymore. response:	Now
context: I'm gonna make her happy... for life.\I had lots of fun today.\Bye-bye, Kazu-kun!\Well,\I trust Kazuya-san.\Forgive me, Kazu-kun.\I couldn't control myself anymore.\Now response:	You have a new message.
context: I had lots of fun today.\Bye-bye, Kazu-kun!\Well,\I trust Kazuya-san.\Forgive me, Kazu-kun.\I couldn't control myself anymore.\Now\You have a new message. response:	Where are you?
context: Bye-bye, Kazu-kun!\Well,\I trust Kazuya-san.\Forgive me, Kazu-kun.\I couldn't control myself anymore.\Now\You have a new message.\Where are you? response:	Mizuhara
context: Well,\I trust Kazuya-san.\Forgive me, Kazu-kun.\I couldn't control myself anymore.\Now\You have a new message.\Where are you?\Mizuhara response:	You're late
context: I trust Kazuya-san.\Forgive me, Kazu-kun.\I couldn't control myself anymore.\Now\You have a new message.\Where are you?\Mizuhara\You're late response:	I'm waiting for you
context: Forgive me, Kazu-kun.\I couldn't control myself anymore.\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you response:	Mizuhara
context: I couldn't control myself anymore.\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	Mizuhara
context: You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	If you don't hurry up
context: Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up response:	Mizuhara
context: You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara response:	I'll charge you for an extension
context: I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension response:	Numa
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa response:	Who does that girl think she is? A romcom heroine?
context: When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine? response:	Numa
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa response:	And that stupid virgin's pissing hme off, too!
context: When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too! response:	Numa
context: If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa response:	Not like they'll last more than three months, anyway
context: Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway response:	It's not real
context: I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real response:	Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes
context: Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes response:	S-Sorry! Just forget about that!
context: Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\S-Sorry! Just forget about that! response:	Act normally when we're with the others, okay?
context: Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\S-Sorry! Just forget about that!\Act normally when we're with the others, okay? response:	Hey, I found my bracelet!
context: And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\S-Sorry! Just forget about that!\Act normally when we're with the others, okay?\Hey, I found my bracelet! response:	Hey, your face looks a bit flushed.
context: Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\S-Sorry! Just forget about that!\Act normally when we're with the others, okay?\Hey, I found my bracelet!\Hey, your face looks a bit flushed. response:	Oh, I'm just feeling kind of warm.
context: Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\S-Sorry! Just forget about that!\Act normally when we're with the others, okay?\Hey, I found my bracelet!\Hey, your face looks a bit flushed.\Oh, I'm just feeling kind of warm. response:	Your turn, Kibe-chan.
context: It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\S-Sorry! Just forget about that!\Act normally when we're with the others, okay?\Hey, I found my bracelet!\Hey, your face looks a bit flushed.\Oh, I'm just feeling kind of warm.\Your turn, Kibe-chan. response:	All right! What are my options here?
context: Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\S-Sorry! Just forget about that!\Act normally when we're with the others, okay?\Hey, I found my bracelet!\Hey, your face looks a bit flushed.\Oh, I'm just feeling kind of warm.\Your turn, Kibe-chan.\All right! What are my options here? response:	Forgive me, Kazu-kun.
context: S-Sorry! Just forget about that!\Act normally when we're with the others, okay?\Hey, I found my bracelet!\Hey, your face looks a bit flushed.\Oh, I'm just feeling kind of warm.\Your turn, Kibe-chan.\All right! What are my options here?\Forgive me, Kazu-kun. response:	I couldn't control myself anymore.
context: Act normally when we're with the others, okay?\Hey, I found my bracelet!\Hey, your face looks a bit flushed.\Oh, I'm just feeling kind of warm.\Your turn, Kibe-chan.\All right! What are my options here?\Forgive me, Kazu-kun.\I couldn't control myself anymore. response:	Like hell I could forget that!
context: Hey, I found my bracelet!\Hey, your face looks a bit flushed.\Oh, I'm just feeling kind of warm.\Your turn, Kibe-chan.\All right! What are my options here?\Forgive me, Kazu-kun.\I couldn't control myself anymore.\Like hell I could forget that! response:	She couldn't control herself? So she kissed me?
context: Hey, your face looks a bit flushed.\Oh, I'm just feeling kind of warm.\Your turn, Kibe-chan.\All right! What are my options here?\Forgive me, Kazu-kun.\I couldn't control myself anymore.\Like hell I could forget that!\She couldn't control herself? So she kissed me? response:	Doesn't that mean she likes me?!
context: Oh, I'm just feeling kind of warm.\Your turn, Kibe-chan.\All right! What are my options here?\Forgive me, Kazu-kun.\I couldn't control myself anymore.\Like hell I could forget that!\She couldn't control herself? So she kissed me?\Doesn't that mean she likes me?! response:	It looked like it was all over when Mizuhara showed up,
context: Your turn, Kibe-chan.\All right! What are my options here?\Forgive me, Kazu-kun.\I couldn't control myself anymore.\Like hell I could forget that!\She couldn't control herself? So she kissed me?\Doesn't that mean she likes me?!\It looked like it was all over when Mizuhara showed up, response:	but what if it only fanned Mami-chan's flames even more?
context: All right! What are my options here?\Forgive me, Kazu-kun.\I couldn't control myself anymore.\Like hell I could forget that!\She couldn't control herself? So she kissed me?\Doesn't that mean she likes me?!\It looked like it was all over when Mizuhara showed up,\but what if it only fanned Mami-chan's flames even more? response:	This is it!
context: Forgive me, Kazu-kun.\I couldn't control myself anymore.\Like hell I could forget that!\She couldn't control herself? So she kissed me?\Doesn't that mean she likes me?!\It looked like it was all over when Mizuhara showed up,\but what if it only fanned Mami-chan's flames even more?\This is it! response:	She Wants Me Back!!!
context: I couldn't control myself anymore.\Like hell I could forget that!\She couldn't control herself? So she kissed me?\Doesn't that mean she likes me?!\It looked like it was all over when Mizuhara showed up,\but what if it only fanned Mami-chan's flames even more?\This is it!\She Wants Me Back!!! response:	She wants me back!
context: Like hell I could forget that!\She couldn't control herself? So she kissed me?\Doesn't that mean she likes me?!\It looked like it was all over when Mizuhara showed up,\but what if it only fanned Mami-chan's flames even more?\This is it!\She Wants Me Back!!!\She wants me back! response:	Kazuya-san!
context: She couldn't control herself? So she kissed me?\Doesn't that mean she likes me?!\It looked like it was all over when Mizuhara showed up,\but what if it only fanned Mami-chan's flames even more?\This is it!\She Wants Me Back!!!\She wants me back!\Kazuya-san! response:	Let's pick up where we left off.
context: Doesn't that mean she likes me?!\It looked like it was all over when Mizuhara showed up,\but what if it only fanned Mami-chan's flames even more?\This is it!\She Wants Me Back!!!\She wants me back!\Kazuya-san!\Let's pick up where we left off. response:	Not even in death shall we part.
context: It looked like it was all over when Mizuhara showed up,\but what if it only fanned Mami-chan's flames even more?\This is it!\She Wants Me Back!!!\She wants me back!\Kazuya-san!\Let's pick up where we left off.\Not even in death shall we part. response:	Scandalous!
context: but what if it only fanned Mami-chan's flames even more?\This is it!\She Wants Me Back!!!\She wants me back!\Kazuya-san!\Let's pick up where we left off.\Not even in death shall we part.\Scandalous! response:	Too Scandalous!
context: This is it!\She Wants Me Back!!!\She wants me back!\Kazuya-san!\Let's pick up where we left off.\Not even in death shall we part.\Scandalous!\Too Scandalous! response:	Nagomi Sake
context: She Wants Me Back!!!\She wants me back!\Kazuya-san!\Let's pick up where we left off.\Not even in death shall we part.\Scandalous!\Too Scandalous!\Nagomi Sake response:	Calling...
context: She wants me back!\Kazuya-san!\Let's pick up where we left off.\Not even in death shall we part.\Scandalous!\Too Scandalous!\Nagomi Sake\Calling... response:	Sorry, gotta take this.
context: Kazuya-san!\Let's pick up where we left off.\Not even in death shall we part.\Scandalous!\Too Scandalous!\Nagomi Sake\Calling...\Sorry, gotta take this. response:	Ugh, I might really be coming down with a cold.
context: Let's pick up where we left off.\Not even in death shall we part.\Scandalous!\Too Scandalous!\Nagomi Sake\Calling...\Sorry, gotta take this.\Ugh, I might really be coming down with a cold. response:	Hello?
context: Not even in death shall we part.\Scandalous!\Too Scandalous!\Nagomi Sake\Calling...\Sorry, gotta take this.\Ugh, I might really be coming down with a cold.\Hello? response:	Gah! My ships all sank!
context: Scandalous!\Too Scandalous!\Nagomi Sake\Calling...\Sorry, gotta take this.\Ugh, I might really be coming down with a cold.\Hello?\Gah! My ships all sank! response:	Hard mode is such hell! I spent 30,000 yen on the gacha, too!
context: Too Scandalous!\Nagomi Sake\Calling...\Sorry, gotta take this.\Ugh, I might really be coming down with a cold.\Hello?\Gah! My ships all sank!\Hard mode is such hell! I spent 30,000 yen on the gacha, too! response:	Kinoshita-san, please don't use a tablet holder on your bed table...
context: Nagomi Sake\Calling...\Sorry, gotta take this.\Ugh, I might really be coming down with a cold.\Hello?\Gah! My ships all sank!\Hard mode is such hell! I spent 30,000 yen on the gacha, too!\Kinoshita-san, please don't use a tablet holder on your bed table... response:	My Shimakaze... My Ikazuchi!
context: Calling...\Sorry, gotta take this.\Ugh, I might really be coming down with a cold.\Hello?\Gah! My ships all sank!\Hard mode is such hell! I spent 30,000 yen on the gacha, too!\Kinoshita-san, please don't use a tablet holder on your bed table...\My Shimakaze... My Ikazuchi! response:	Oh, that's too bad. Later.
context: Sorry, gotta take this.\Ugh, I might really be coming down with a cold.\Hello?\Gah! My ships all sank!\Hard mode is such hell! I spent 30,000 yen on the gacha, too!\Kinoshita-san, please don't use a tablet holder on your bed table...\My Shimakaze... My Ikazuchi!\Oh, that's too bad. Later. response:	Whoa, hold up, Kazuya.
context: Ugh, I might really be coming down with a cold.\Hello?\Gah! My ships all sank!\Hard mode is such hell! I spent 30,000 yen on the gacha, too!\Kinoshita-san, please don't use a tablet holder on your bed table...\My Shimakaze... My Ikazuchi!\Oh, that's too bad. Later.\Whoa, hold up, Kazuya. response:	What is it?
context: Hello?\Gah! My ships all sank!\Hard mode is such hell! I spent 30,000 yen on the gacha, too!\Kinoshita-san, please don't use a tablet holder on your bed table...\My Shimakaze... My Ikazuchi!\Oh, that's too bad. Later.\Whoa, hold up, Kazuya.\What is it? response:	I'm going to be discharged next week.
context: Gah! My ships all sank!\Hard mode is such hell! I spent 30,000 yen on the gacha, too!\Kinoshita-san, please don't use a tablet holder on your bed table...\My Shimakaze... My Ikazuchi!\Oh, that's too bad. Later.\Whoa, hold up, Kazuya.\What is it?\I'm going to be discharged next week. response:	All the tests are finally done.
context: Hard mode is such hell! I spent 30,000 yen on the gacha, too!\Kinoshita-san, please don't use a tablet holder on your bed table...\My Shimakaze... My Ikazuchi!\Oh, that's too bad. Later.\Whoa, hold up, Kazuya.\What is it?\I'm going to be discharged next week.\All the tests are finally done. response:	Now I can come see Chizuru whenever I want.
context: Kinoshita-san, please don't use a tablet holder on your bed table...\My Shimakaze... My Ikazuchi!\Oh, that's too bad. Later.\Whoa, hold up, Kazuya.\What is it?\I'm going to be discharged next week.\All the tests are finally done.\Now I can come see Chizuru whenever I want. response:	That's great!
context: My Shimakaze... My Ikazuchi!\Oh, that's too bad. Later.\Whoa, hold up, Kazuya.\What is it?\I'm going to be discharged next week.\All the tests are finally done.\Now I can come see Chizuru whenever I want.\That's great! response:	Bye... Gah!
context: Oh, that's too bad. Later.\Whoa, hold up, Kazuya.\What is it?\I'm going to be discharged next week.\All the tests are finally done.\Now I can come see Chizuru whenever I want.\That's great!\Bye... Gah! response:	O-Okay...
