context: Yum! response:	This is great!
context: Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams response:	Demo sore mo tooi kioku
context: if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku response:	But that's also a distant memory
context: Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory response:	Kotae no nai mainichi ga
context: When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga response:	The each unanswered day-
context: Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day- response:	Tada sugite iku jikan ga
context: They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga response:	The time that is simply passing by-
context: Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by- response:	Kore kara saki dou naru no darou?
context: I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou? response:	What will happen beyond now?
context: Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now? response:	Wakaranai...
context: But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai... response:	They don't know...
context: Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know... response:	Tsukiakari no michishirube
context: The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	You've still got it, Michiro-chan.
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You've still got it, Michiro-chan. response:	Nice to meet you! I mean... uh...
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You've still got it, Michiro-chan.\Nice to meet you! I mean... uh... response:	I'm always looking at your picture...
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You've still got it, Michiro-chan.\Nice to meet you! I mean... uh...\I'm always looking at your picture... response:	That makes me sound like some fanboy!
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You've still got it, Michiro-chan.\Nice to meet you! I mean... uh...\I'm always looking at your picture...\That makes me sound like some fanboy! response:	I hadn't planned on coming here,
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You've still got it, Michiro-chan.\Nice to meet you! I mean... uh...\I'm always looking at your picture...\That makes me sound like some fanboy!\I hadn't planned on coming here, response:	but I had no choice since it's for my remuneration.
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You've still got it, Michiro-chan.\Nice to meet you! I mean... uh...\I'm always looking at your picture...\That makes me sound like some fanboy!\I hadn't planned on coming here,\but I had no choice since it's for my remuneration. response:	A girl came here, right?
context: No matter how broken today looks\You've still got it, Michiro-chan.\Nice to meet you! I mean... uh...\I'm always looking at your picture...\That makes me sound like some fanboy!\I hadn't planned on coming here,\but I had no choice since it's for my remuneration.\A girl came here, right? response:	Yeah! Isn't she pretty?
context: You've still got it, Michiro-chan.\Nice to meet you! I mean... uh...\I'm always looking at your picture...\That makes me sound like some fanboy!\I hadn't planned on coming here,\but I had no choice since it's for my remuneration.\A girl came here, right?\Yeah! Isn't she pretty? response:	I'll introduce you to her!
context: Nice to meet you! I mean... uh...\I'm always looking at your picture...\That makes me sound like some fanboy!\I hadn't planned on coming here,\but I had no choice since it's for my remuneration.\A girl came here, right?\Yeah! Isn't she pretty?\I'll introduce you to her! response:	Maybe you'll become her mother-in-law some day!
context: I'm always looking at your picture...\That makes me sound like some fanboy!\I hadn't planned on coming here,\but I had no choice since it's for my remuneration.\A girl came here, right?\Yeah! Isn't she pretty?\I'll introduce you to her!\Maybe you'll become her mother-in-law some day! response:	You know, with those classic fights between bride and mother-in-law.
context: That makes me sound like some fanboy!\I hadn't planned on coming here,\but I had no choice since it's for my remuneration.\A girl came here, right?\Yeah! Isn't she pretty?\I'll introduce you to her!\Maybe you'll become her mother-in-law some day!\You know, with those classic fights between bride and mother-in-law. response:	You're a strange kid...
context: I hadn't planned on coming here,\but I had no choice since it's for my remuneration.\A girl came here, right?\Yeah! Isn't she pretty?\I'll introduce you to her!\Maybe you'll become her mother-in-law some day!\You know, with those classic fights between bride and mother-in-law.\You're a strange kid... response:	welcoming the mother who abandoned you.
context: but I had no choice since it's for my remuneration.\A girl came here, right?\Yeah! Isn't she pretty?\I'll introduce you to her!\Maybe you'll become her mother-in-law some day!\You know, with those classic fights between bride and mother-in-law.\You're a strange kid...\welcoming the mother who abandoned you. response:	Isn't that because of his good upbringing?
context: A girl came here, right?\Yeah! Isn't she pretty?\I'll introduce you to her!\Maybe you'll become her mother-in-law some day!\You know, with those classic fights between bride and mother-in-law.\You're a strange kid...\welcoming the mother who abandoned you.\Isn't that because of his good upbringing? response:	He's a free, heaven-sent child who's not restrained by common sense.
context: Yeah! Isn't she pretty?\I'll introduce you to her!\Maybe you'll become her mother-in-law some day!\You know, with those classic fights between bride and mother-in-law.\You're a strange kid...\welcoming the mother who abandoned you.\Isn't that because of his good upbringing?\He's a free, heaven-sent child who's not restrained by common sense. response:	Upbringing, huh...
context: I'll introduce you to her!\Maybe you'll become her mother-in-law some day!\You know, with those classic fights between bride and mother-in-law.\You're a strange kid...\welcoming the mother who abandoned you.\Isn't that because of his good upbringing?\He's a free, heaven-sent child who's not restrained by common sense.\Upbringing, huh... response:	It'll be done in twenty minutes.
context: Maybe you'll become her mother-in-law some day!\You know, with those classic fights between bride and mother-in-law.\You're a strange kid...\welcoming the mother who abandoned you.\Isn't that because of his good upbringing?\He's a free, heaven-sent child who's not restrained by common sense.\Upbringing, huh...\It'll be done in twenty minutes. response:	You're leaving already, Mom?
context: You know, with those classic fights between bride and mother-in-law.\You're a strange kid...\welcoming the mother who abandoned you.\Isn't that because of his good upbringing?\He's a free, heaven-sent child who's not restrained by common sense.\Upbringing, huh...\It'll be done in twenty minutes.\You're leaving already, Mom? response:	What about the celebration?
context: You're a strange kid...\welcoming the mother who abandoned you.\Isn't that because of his good upbringing?\He's a free, heaven-sent child who's not restrained by common sense.\Upbringing, huh...\It'll be done in twenty minutes.\You're leaving already, Mom?\What about the celebration? response:	I have never been much of a mother, but I'll tell you this...
context: welcoming the mother who abandoned you.\Isn't that because of his good upbringing?\He's a free, heaven-sent child who's not restrained by common sense.\Upbringing, huh...\It'll be done in twenty minutes.\You're leaving already, Mom?\What about the celebration?\I have never been much of a mother, but I'll tell you this... response:	Don't get too involved with that girl.
context: Isn't that because of his good upbringing?\He's a free, heaven-sent child who's not restrained by common sense.\Upbringing, huh...\It'll be done in twenty minutes.\You're leaving already, Mom?\What about the celebration?\I have never been much of a mother, but I'll tell you this...\Don't get too involved with that girl. response:	You'll get hurt.
context: He's a free, heaven-sent child who's not restrained by common sense.\Upbringing, huh...\It'll be done in twenty minutes.\You're leaving already, Mom?\What about the celebration?\I have never been much of a mother, but I'll tell you this...\Don't get too involved with that girl.\You'll get hurt. response:	Darn! Mom got NG'd too!
context: Upbringing, huh...\It'll be done in twenty minutes.\You're leaving already, Mom?\What about the celebration?\I have never been much of a mother, but I'll tell you this...\Don't get too involved with that girl.\You'll get hurt.\Darn! Mom got NG'd too! response:	NG?
context: It'll be done in twenty minutes.\You're leaving already, Mom?\What about the celebration?\I have never been much of a mother, but I'll tell you this...\Don't get too involved with that girl.\You'll get hurt.\Darn! Mom got NG'd too!\NG? response:	You've barely even gotten her to notice you!
context: You're leaving already, Mom?\What about the celebration?\I have never been much of a mother, but I'll tell you this...\Don't get too involved with that girl.\You'll get hurt.\Darn! Mom got NG'd too!\NG?\You've barely even gotten her to notice you! response:	Oh, that's right! I was flirting with her!
context: What about the celebration?\I have never been much of a mother, but I'll tell you this...\Don't get too involved with that girl.\You'll get hurt.\Darn! Mom got NG'd too!\NG?\You've barely even gotten her to notice you!\Oh, that's right! I was flirting with her! response:	Hold on! Norio!
context: I have never been much of a mother, but I'll tell you this...\Don't get too involved with that girl.\You'll get hurt.\Darn! Mom got NG'd too!\NG?\You've barely even gotten her to notice you!\Oh, that's right! I was flirting with her!\Hold on! Norio! response:	Michiru-chan...
context: Don't get too involved with that girl.\You'll get hurt.\Darn! Mom got NG'd too!\NG?\You've barely even gotten her to notice you!\Oh, that's right! I was flirting with her!\Hold on! Norio!\Michiru-chan... response:	Even with my guidance...
context: You'll get hurt.\Darn! Mom got NG'd too!\NG?\You've barely even gotten her to notice you!\Oh, that's right! I was flirting with her!\Hold on! Norio!\Michiru-chan...\Even with my guidance... response:	there are times when you just get hurt anyway.
context: Darn! Mom got NG'd too!\NG?\You've barely even gotten her to notice you!\Oh, that's right! I was flirting with her!\Hold on! Norio!\Michiru-chan...\Even with my guidance...\there are times when you just get hurt anyway. response:	A whale?
context: NG?\You've barely even gotten her to notice you!\Oh, that's right! I was flirting with her!\Hold on! Norio!\Michiru-chan...\Even with my guidance...\there are times when you just get hurt anyway.\A whale? response:	Hei, how is it going?
context: You've barely even gotten her to notice you!\Oh, that's right! I was flirting with her!\Hold on! Norio!\Michiru-chan...\Even with my guidance...\there are times when you just get hurt anyway.\A whale?\Hei, how is it going? response:	The signal is unstable...
context: Oh, that's right! I was flirting with her!\Hold on! Norio!\Michiru-chan...\Even with my guidance...\there are times when you just get hurt anyway.\A whale?\Hei, how is it going?\The signal is unstable... response:	What's wrong?
context: Hold on! Norio!\Michiru-chan...\Even with my guidance...\there are times when you just get hurt anyway.\A whale?\Hei, how is it going?\The signal is unstable...\What's wrong? response:	Nothing. I'm just imagining things.
context: Michiru-chan...\Even with my guidance...\there are times when you just get hurt anyway.\A whale?\Hei, how is it going?\The signal is unstable...\What's wrong?\Nothing. I'm just imagining things. response:	Hei's going in the wrong direction.
context: Even with my guidance...\there are times when you just get hurt anyway.\A whale?\Hei, how is it going?\The signal is unstable...\What's wrong?\Nothing. I'm just imagining things.\Hei's going in the wrong direction. response:	Wrong direction?
context: there are times when you just get hurt anyway.\A whale?\Hei, how is it going?\The signal is unstable...\What's wrong?\Nothing. I'm just imagining things.\Hei's going in the wrong direction.\Wrong direction? response:	They're here.
context: A whale?\Hei, how is it going?\The signal is unstable...\What's wrong?\Nothing. I'm just imagining things.\Hei's going in the wrong direction.\Wrong direction?\They're here. response:	I got trapped...
context: Hei, how is it going?\The signal is unstable...\What's wrong?\Nothing. I'm just imagining things.\Hei's going in the wrong direction.\Wrong direction?\They're here.\I got trapped... response:	Looks like you're cut off now, BK201.
context: The signal is unstable...\What's wrong?\Nothing. I'm just imagining things.\Hei's going in the wrong direction.\Wrong direction?\They're here.\I got trapped...\Looks like you're cut off now, BK201. response:	I thought Misaki-chan's methods were a bit troublesome,
context: What's wrong?\Nothing. I'm just imagining things.\Hei's going in the wrong direction.\Wrong direction?\They're here.\I got trapped...\Looks like you're cut off now, BK201.\I thought Misaki-chan's methods were a bit troublesome, response:	but you really fell for it.
context: Nothing. I'm just imagining things.\Hei's going in the wrong direction.\Wrong direction?\They're here.\I got trapped...\Looks like you're cut off now, BK201.\I thought Misaki-chan's methods were a bit troublesome,\but you really fell for it. response:	I guess that's what you call fate.
context: Hei's going in the wrong direction.\Wrong direction?\They're here.\I got trapped...\Looks like you're cut off now, BK201.\I thought Misaki-chan's methods were a bit troublesome,\but you really fell for it.\I guess that's what you call fate. response:	Looks like we can finally fight one-on-one,
context: Wrong direction?\They're here.\I got trapped...\Looks like you're cut off now, BK201.\I thought Misaki-chan's methods were a bit troublesome,\but you really fell for it.\I guess that's what you call fate.\Looks like we can finally fight one-on-one, response:	BK201.
context: They're here.\I got trapped...\Looks like you're cut off now, BK201.\I thought Misaki-chan's methods were a bit troublesome,\but you really fell for it.\I guess that's what you call fate.\Looks like we can finally fight one-on-one,\BK201. response:	It doesn't hurt at all!
context: I got trapped...\Looks like you're cut off now, BK201.\I thought Misaki-chan's methods were a bit troublesome,\but you really fell for it.\I guess that's what you call fate.\Looks like we can finally fight one-on-one,\BK201.\It doesn't hurt at all! response:	Hei, what's wrong?
context: Looks like you're cut off now, BK201.\I thought Misaki-chan's methods were a bit troublesome,\but you really fell for it.\I guess that's what you call fate.\Looks like we can finally fight one-on-one,\BK201.\It doesn't hurt at all!\Hei, what's wrong? response:	That's strange.
context: I thought Misaki-chan's methods were a bit troublesome,\but you really fell for it.\I guess that's what you call fate.\Looks like we can finally fight one-on-one,\BK201.\It doesn't hurt at all!\Hei, what's wrong?\That's strange. response:	Why don't you zap me?
context: but you really fell for it.\I guess that's what you call fate.\Looks like we can finally fight one-on-one,\BK201.\It doesn't hurt at all!\Hei, what's wrong?\That's strange.\Why don't you zap me? response:	Why so stingy?
context: I guess that's what you call fate.\Looks like we can finally fight one-on-one,\BK201.\It doesn't hurt at all!\Hei, what's wrong?\That's strange.\Why don't you zap me?\Why so stingy? response:	Hei, what was that?
context: Looks like we can finally fight one-on-one,\BK201.\It doesn't hurt at all!\Hei, what's wrong?\That's strange.\Why don't you zap me?\Why so stingy?\Hei, what was that? response:	Can you hear me?
context: BK201.\It doesn't hurt at all!\Hei, what's wrong?\That's strange.\Why don't you zap me?\Why so stingy?\Hei, what was that?\Can you hear me? response:	Where's BK201?
context: It doesn't hurt at all!\Hei, what's wrong?\That's strange.\Why don't you zap me?\Why so stingy?\Hei, what was that?\Can you hear me?\Where's BK201? response:	Don't interfere, Misaki-chan.
context: Hei, what's wrong?\That's strange.\Why don't you zap me?\Why so stingy?\Hei, what was that?\Can you hear me?\Where's BK201?\Don't interfere, Misaki-chan. response:	I'm in the middle of having fun!
context: That's strange.\Why don't you zap me?\Why so stingy?\Hei, what was that?\Can you hear me?\Where's BK201?\Don't interfere, Misaki-chan.\I'm in the middle of having fun! response:	Capture him alive!
context: Why don't you zap me?\Why so stingy?\Hei, what was that?\Can you hear me?\Where's BK201?\Don't interfere, Misaki-chan.\I'm in the middle of having fun!\Capture him alive! response:	I have something to ask hi
context: Why so stingy?\Hei, what was that?\Can you hear me?\Where's BK201?\Don't interfere, Misaki-chan.\I'm in the middle of having fun!\Capture him alive!\I have something to ask hi response:	Open the rack.
context: Hei, what was that?\Can you hear me?\Where's BK201?\Don't interfere, Misaki-chan.\I'm in the middle of having fun!\Capture him alive!\I have something to ask hi\Open the rack. response:	Hei couldn't have been...
context: Can you hear me?\Where's BK201?\Don't interfere, Misaki-chan.\I'm in the middle of having fun!\Capture him alive!\I have something to ask hi\Open the rack.\Hei couldn't have been... response:	July, which truck is the cargo in?
context: Where's BK201?\Don't interfere, Misaki-chan.\I'm in the middle of having fun!\Capture him alive!\I have something to ask hi\Open the rack.\Hei couldn't have been...\July, which truck is the cargo in? response:	In the third one.
context: Don't interfere, Misaki-chan.\I'm in the middle of having fun!\Capture him alive!\I have something to ask hi\Open the rack.\Hei couldn't have been...\July, which truck is the cargo in?\In the third one. response:	In that large container.
context: I'm in the middle of having fun!\Capture him alive!\I have something to ask hi\Open the rack.\Hei couldn't have been...\July, which truck is the cargo in?\In the third one.\In that large container. response:	In there...
context: Capture him alive!\I have something to ask hi\Open the rack.\Hei couldn't have been...\July, which truck is the cargo in?\In the third one.\In that large container.\In there... response:	You just keep running.
context: I have something to ask hi\Open the rack.\Hei couldn't have been...\July, which truck is the cargo in?\In the third one.\In that large container.\In there...\You just keep running. response:	If you just try to buy time, you'll get my honey killed!
context: Open the rack.\Hei couldn't have been...\July, which truck is the cargo in?\In the third one.\In that large container.\In there...\You just keep running.\If you just try to buy time, you'll get my honey killed! response:	I taught her how to protect herself.
context: Hei couldn't have been...\July, which truck is the cargo in?\In the third one.\In that large container.\In there...\You just keep running.\If you just try to buy time, you'll get my honey killed!\I taught her how to protect herself. response:	Who are you talking about?
context: July, which truck is the cargo in?\In the third one.\In that large container.\In there...\You just keep running.\If you just try to buy time, you'll get my honey killed!\I taught her how to protect herself.\Who are you talking about? response:	You got another mistress already?
context: In the third one.\In that large container.\In there...\You just keep running.\If you just try to buy time, you'll get my honey killed!\I taught her how to protect herself.\Who are you talking about?\You got another mistress already? response:	I'm talking about that doll, Izanami.
context: In that large container.\In there...\You just keep running.\If you just try to buy time, you'll get my honey killed!\I taught her how to protect herself.\Who are you talking about?\You got another mistress already?\I'm talking about that doll, Izanami. response:	Doll?
context: In there...\You just keep running.\If you just try to buy time, you'll get my honey killed!\I taught her how to protect herself.\Who are you talking about?\You got another mistress already?\I'm talking about that doll, Izanami.\Doll? response:	Don't tell me.
context: You just keep running.\If you just try to buy time, you'll get my honey killed!\I taught her how to protect herself.\Who are you talking about?\You got another mistress already?\I'm talking about that doll, Izanami.\Doll?\Don't tell me. response:	There's a naked girl in the container.
context: If you just try to buy time, you'll get my honey killed!\I taught her how to protect herself.\Who are you talking about?\You got another mistress already?\I'm talking about that doll, Izanami.\Doll?\Don't tell me.\There's a naked girl in the container. response:	A human?
context: I taught her how to protect herself.\Who are you talking about?\You got another mistress already?\I'm talking about that doll, Izanami.\Doll?\Don't tell me.\There's a naked girl in the container.\A human? response:	No one told me about that.
context: Who are you talking about?\You got another mistress already?\I'm talking about that doll, Izanami.\Doll?\Don't tell me.\There's a naked girl in the container.\A human?\No one told me about that. response:	And we're supposed to destroy the goods?
context: You got another mistress already?\I'm talking about that doll, Izanami.\Doll?\Don't tell me.\There's a naked girl in the container.\A human?\No one told me about that.\And we're supposed to destroy the goods? response:	Don't worry.
context: I'm talking about that doll, Izanami.\Doll?\Don't tell me.\There's a naked girl in the container.\A human?\No one told me about that.\And we're supposed to destroy the goods?\Don't worry. response:	Don't worry.
context: Doll?\Don't tell me.\There's a naked girl in the container.\A human?\No one told me about that.\And we're supposed to destroy the goods?\Don't worry.\Don't worry. response:	I hit the crane, too.
context: Don't tell me.\There's a naked girl in the container.\A human?\No one told me about that.\And we're supposed to destroy the goods?\Don't worry.\Don't worry.\I hit the crane, too. response:	The crane? This is a human!
context: There's a naked girl in the container.\A human?\No one told me about that.\And we're supposed to destroy the goods?\Don't worry.\Don't worry.\I hit the crane, too.\The crane? This is a human! response:	I'm a contractor. I can do it.
context: A human?\No one told me about that.\And we're supposed to destroy the goods?\Don't worry.\Don't worry.\I hit the crane, too.\The crane? This is a human!\I'm a contractor. I can do it. response:	Damn it!
context: No one told me about that.\And we're supposed to destroy the goods?\Don't worry.\Don't worry.\I hit the crane, too.\The crane? This is a human!\I'm a contractor. I can do it.\Damn it! response:	What's wrong?
context: And we're supposed to destroy the goods?\Don't worry.\Don't worry.\I hit the crane, too.\The crane? This is a human!\I'm a contractor. I can do it.\Damn it!\What's wrong? response:	I've found something interesting.
context: Don't worry.\Don't worry.\I hit the crane, too.\The crane? This is a human!\I'm a contractor. I can do it.\Damn it!\What's wrong?\I've found something interesting. response:	Izanagi?
context: Don't worry.\I hit the crane, too.\The crane? This is a human!\I'm a contractor. I can do it.\Damn it!\What's wrong?\I've found something interesting.\Izanagi? response:	Probably.
context: I hit the crane, too.\The crane? This is a human!\I'm a contractor. I can do it.\Damn it!\What's wrong?\I've found something interesting.\Izanagi?\Probably. response:	Don't destroy it.
context: The crane? This is a human!\I'm a contractor. I can do it.\Damn it!\What's wrong?\I've found something interesting.\Izanagi?\Probably.\Don't destroy it. response:	What's wrong?
context: I'm a contractor. I can do it.\Damn it!\What's wrong?\I've found something interesting.\Izanagi?\Probably.\Don't destroy it.\What's wrong? response:	Nothing.
