context: At the netherworld's bottom, I'll be waiting. response:	What made you decide to swipe this...?
context: My mother is waiting for me.\What's your plan once you pass beyond the Seeker Camp?\I'll head for the bottom of the Abyss, where my mom is waiting!\The route from there is-\What's the matter, Nat?\I'm against it! The bottom of the Abyss...\You talk about it like it's no big deal, but if you go there you'll never be able to return!\What's this all of a sudden?! response:	I've always wanted to be a White Whistle. So I'm already prepared for that.
context: What's your plan once you pass beyond the Seeker Camp?\I'll head for the bottom of the Abyss, where my mom is waiting!\The route from there is-\What's the matter, Nat?\I'm against it! The bottom of the Abyss...\You talk about it like it's no big deal, but if you go there you'll never be able to return!\What's this all of a sudden?!\I've always wanted to be a White Whistle. So I'm already prepared for that. response:	No! Riko, you don't get it!
context: I'll head for the bottom of the Abyss, where my mom is waiting!\The route from there is-\What's the matter, Nat?\I'm against it! The bottom of the Abyss...\You talk about it like it's no big deal, but if you go there you'll never be able to return!\What's this all of a sudden?!\I've always wanted to be a White Whistle. So I'm already prepared for that.\No! Riko, you don't get it! response:	You'll never be able to see any of us up here ever again, you know!
context: The route from there is-\What's the matter, Nat?\I'm against it! The bottom of the Abyss...\You talk about it like it's no big deal, but if you go there you'll never be able to return!\What's this all of a sudden?!\I've always wanted to be a White Whistle. So I'm already prepared for that.\No! Riko, you don't get it!\You'll never be able to see any of us up here ever again, you know! response:	That's right!
context: What's the matter, Nat?\I'm against it! The bottom of the Abyss...\You talk about it like it's no big deal, but if you go there you'll never be able to return!\What's this all of a sudden?!\I've always wanted to be a White Whistle. So I'm already prepared for that.\No! Riko, you don't get it!\You'll never be able to see any of us up here ever again, you know!\That's right! response:	You won't be able to hang out at Auntie's, attend Leader's lessons,
context: I'm against it! The bottom of the Abyss...\You talk about it like it's no big deal, but if you go there you'll never be able to return!\What's this all of a sudden?!\I've always wanted to be a White Whistle. So I'm already prepared for that.\No! Riko, you don't get it!\You'll never be able to see any of us up here ever again, you know!\That's right!\You won't be able to hang out at Auntie's, attend Leader's lessons, response:	or play with any of us here again!
context: You talk about it like it's no big deal, but if you go there you'll never be able to return!\What's this all of a sudden?!\I've always wanted to be a White Whistle. So I'm already prepared for that.\No! Riko, you don't get it!\You'll never be able to see any of us up here ever again, you know!\That's right!\You won't be able to hang out at Auntie's, attend Leader's lessons,\or play with any of us here again! response:	That's right!
context: What's this all of a sudden?!\I've always wanted to be a White Whistle. So I'm already prepared for that.\No! Riko, you don't get it!\You'll never be able to see any of us up here ever again, you know!\That's right!\You won't be able to hang out at Auntie's, attend Leader's lessons,\or play with any of us here again!\That's right! response:	Like I said... I know that, okay...?!
context: I've always wanted to be a White Whistle. So I'm already prepared for that.\No! Riko, you don't get it!\You'll never be able to see any of us up here ever again, you know!\That's right!\You won't be able to hang out at Auntie's, attend Leader's lessons,\or play with any of us here again!\That's right!\Like I said... I know that, okay...?! response:	Wh-what are you crying about?!
context: No! Riko, you don't get it!\You'll never be able to see any of us up here ever again, you know!\That's right!\You won't be able to hang out at Auntie's, attend Leader's lessons,\or play with any of us here again!\That's right!\Like I said... I know that, okay...?!\Wh-what are you crying about?! response:	You're crying too, aren't you?!
context: You'll never be able to see any of us up here ever again, you know!\That's right!\You won't be able to hang out at Auntie's, attend Leader's lessons,\or play with any of us here again!\That's right!\Like I said... I know that, okay...?!\Wh-what are you crying about?!\You're crying too, aren't you?! response:	O-ouch! I'm not crying a bit!
context: That's right!\You won't be able to hang out at Auntie's, attend Leader's lessons,\or play with any of us here again!\That's right!\Like I said... I know that, okay...?!\Wh-what are you crying about?!\You're crying too, aren't you?!\O-ouch! I'm not crying a bit! response:	Anyway, let's call it a night and get some rest. Nat, you dummy!
context: You won't be able to hang out at Auntie's, attend Leader's lessons,\or play with any of us here again!\That's right!\Like I said... I know that, okay...?!\Wh-what are you crying about?!\You're crying too, aren't you?!\O-ouch! I'm not crying a bit!\Anyway, let's call it a night and get some rest. Nat, you dummy! response:	Anyway, let's call it a night and get some rest. I'm no dummy. That's you, Riko!
context: or play with any of us here again!\That's right!\Like I said... I know that, okay...?!\Wh-what are you crying about?!\You're crying too, aren't you?!\O-ouch! I'm not crying a bit!\Anyway, let's call it a night and get some rest. Nat, you dummy!\Anyway, let's call it a night and get some rest. I'm no dummy. That's you, Riko! response:	Tomorrow is Reg's first cave-raid and all... I'm no dummy. That's you, Riko!
context: That's right!\Like I said... I know that, okay...?!\Wh-what are you crying about?!\You're crying too, aren't you?!\O-ouch! I'm not crying a bit!\Anyway, let's call it a night and get some rest. Nat, you dummy!\Anyway, let's call it a night and get some rest. I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... I'm no dummy. That's you, Riko! response:	Tomorrow is Reg's first cave-raid and all... Jeez, shut up already!
context: Like I said... I know that, okay...?!\Wh-what are you crying about?!\You're crying too, aren't you?!\O-ouch! I'm not crying a bit!\Anyway, let's call it a night and get some rest. Nat, you dummy!\Anyway, let's call it a night and get some rest. I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... Jeez, shut up already! response:	Jeez, shut up already!
context: Wh-what are you crying about?!\You're crying too, aren't you?!\O-ouch! I'm not crying a bit!\Anyway, let's call it a night and get some rest. Nat, you dummy!\Anyway, let's call it a night and get some rest. I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... Jeez, shut up already!\Jeez, shut up already! response:	Alright! Jeez, shut up already!
context: You're crying too, aren't you?!\O-ouch! I'm not crying a bit!\Anyway, let's call it a night and get some rest. Nat, you dummy!\Anyway, let's call it a night and get some rest. I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... Jeez, shut up already!\Jeez, shut up already!\Alright! Jeez, shut up already! response:	O-o-o-ow!
context: O-ouch! I'm not crying a bit!\Anyway, let's call it a night and get some rest. Nat, you dummy!\Anyway, let's call it a night and get some rest. I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... Jeez, shut up already!\Jeez, shut up already!\Alright! Jeez, shut up already!\O-o-o-ow! response:	At the netherworld's bottom, I'll be waiting... Cut it out!
context: Anyway, let's call it a night and get some rest. Nat, you dummy!\Anyway, let's call it a night and get some rest. I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... Jeez, shut up already!\Jeez, shut up already!\Alright! Jeez, shut up already!\O-o-o-ow!\At the netherworld's bottom, I'll be waiting... Cut it out! response:	At the netherworld's bottom, I'll be waiting...
context: Anyway, let's call it a night and get some rest. I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... Jeez, shut up already!\Jeez, shut up already!\Alright! Jeez, shut up already!\O-o-o-ow!\At the netherworld's bottom, I'll be waiting... Cut it out!\At the netherworld's bottom, I'll be waiting... response:	Everyone, unable to resist, goes down in
context: Tomorrow is Reg's first cave-raid and all... I'm no dummy. That's you, Riko!\Tomorrow is Reg's first cave-raid and all... Jeez, shut up already!\Jeez, shut up already!\Alright! Jeez, shut up already!\O-o-o-ow!\At the netherworld's bottom, I'll be waiting... Cut it out!\At the netherworld's bottom, I'll be waiting...\Everyone, unable to resist, goes down in response:	Make those eyes shine brighter than a torch
context: Tomorrow is Reg's first cave-raid and all... Jeez, shut up already!\Jeez, shut up already!\Alright! Jeez, shut up already!\O-o-o-ow!\At the netherworld's bottom, I'll be waiting... Cut it out!\At the netherworld's bottom, I'll be waiting...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch response:	The destination we are aiming for is deep
context: Jeez, shut up already!\Alright! Jeez, shut up already!\O-o-o-ow!\At the netherworld's bottom, I'll be waiting... Cut it out!\At the netherworld's bottom, I'll be waiting...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep response:	We squarely lose our way
context: Alright! Jeez, shut up already!\O-o-o-ow!\At the netherworld's bottom, I'll be waiting... Cut it out!\At the netherworld's bottom, I'll be waiting...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way response:	The trap of the open-mouthed netherworld
context: O-o-o-ow!\At the netherworld's bottom, I'll be waiting... Cut it out!\At the netherworld's bottom, I'll be waiting...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld response:	Let's chase the traces of truth
context: At the netherworld's bottom, I'll be waiting... Cut it out!\At the netherworld's bottom, I'll be waiting...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth response:	If an answer can be found now, we don't mind losing it all
context: At the netherworld's bottom, I'll be waiting...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all response:	The echo is still reverberating
context: Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating response:	So that we do not part with that voice
context: Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice response:	The compass is always
context: The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always response:	Pointed to the darkness
context: We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness response:	Where there is no escape
context: The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape response:	In that direction
context: Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction response:	Even if that is a curse
context: If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse response:	The pulse is the real thing
context: The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing response:	Never again will the yearning stop
context: So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop response:	Fifth layer: In the sandstone area of the Sea of Corpses, I came across a seven-tailed scorpion.
context: The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\Fifth layer: In the sandstone area of the Sea of Corpses, I came across a seven-tailed scorpion. response:	It exceeded two meters in size...
context: Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\Fifth layer: In the sandstone area of the Sea of Corpses, I came across a seven-tailed scorpion.\It exceeded two meters in size... response:	I've decided to call it a stingerhead.
context: Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\Fifth layer: In the sandstone area of the Sea of Corpses, I came across a seven-tailed scorpion.\It exceeded two meters in size...\I've decided to call it a stingerhead. response:	While sheltering from the rain on the sixth layer, I encountered this one...
context: In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\Fifth layer: In the sandstone area of the Sea of Corpses, I came across a seven-tailed scorpion.\It exceeded two meters in size...\I've decided to call it a stingerhead.\While sheltering from the rain on the sixth layer, I encountered this one... response:	a lizard that grows up while still inside its eggshell.
context: Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\Fifth layer: In the sandstone area of the Sea of Corpses, I came across a seven-tailed scorpion.\It exceeded two meters in size...\I've decided to call it a stingerhead.\While sheltering from the rain on the sixth layer, I encountered this one...\a lizard that grows up while still inside its eggshell. response:	Thanks to its shell, it appears to be unfazed by the iron rain.
context: The pulse is the real thing\Never again will the yearning stop\Fifth layer: In the sandstone area of the Sea of Corpses, I came across a seven-tailed scorpion.\It exceeded two meters in size...\I've decided to call it a stingerhead.\While sheltering from the rain on the sixth layer, I encountered this one...\a lizard that grows up while still inside its eggshell.\Thanks to its shell, it appears to be unfazed by the iron rain. response:	I'll call it an emperorshell.
context: Never again will the yearning stop\Fifth layer: In the sandstone area of the Sea of Corpses, I came across a seven-tailed scorpion.\It exceeded two meters in size...\I've decided to call it a stingerhead.\While sheltering from the rain on the sixth layer, I encountered this one...\a lizard that grows up while still inside its eggshell.\Thanks to its shell, it appears to be unfazed by the iron rain.\I'll call it an emperorshell. response:	Nearing the seventh layer, I came across a human-looking silhouette...
context: Fifth layer: In the sandstone area of the Sea of Corpses, I came across a seven-tailed scorpion.\It exceeded two meters in size...\I've decided to call it a stingerhead.\While sheltering from the rain on the sixth layer, I encountered this one...\a lizard that grows up while still inside its eggshell.\Thanks to its shell, it appears to be unfazed by the iron rain.\I'll call it an emperorshell.\Nearing the seventh layer, I came across a human-looking silhouette... response:	not sure what is really was...
context: It exceeded two meters in size...\I've decided to call it a stingerhead.\While sheltering from the rain on the sixth layer, I encountered this one...\a lizard that grows up while still inside its eggshell.\Thanks to its shell, it appears to be unfazed by the iron rain.\I'll call it an emperorshell.\Nearing the seventh layer, I came across a human-looking silhouette...\not sure what is really was... response:	For a little while now, it has been intently observing me.
context: I've decided to call it a stingerhead.\While sheltering from the rain on the sixth layer, I encountered this one...\a lizard that grows up while still inside its eggshell.\Thanks to its shell, it appears to be unfazed by the iron rain.\I'll call it an emperorshell.\Nearing the seventh layer, I came across a human-looking silhouette...\not sure what is really was...\For a little while now, it has been intently observing me. response:	Damn idiot, I'm watching you too, you know.
context: While sheltering from the rain on the sixth layer, I encountered this one...\a lizard that grows up while still inside its eggshell.\Thanks to its shell, it appears to be unfazed by the iron rain.\I'll call it an emperorshell.\Nearing the seventh layer, I came across a human-looking silhouette...\not sure what is really was...\For a little while now, it has been intently observing me.\Damn idiot, I'm watching you too, you know. response:	It's about the size of a human child.
context: a lizard that grows up while still inside its eggshell.\Thanks to its shell, it appears to be unfazed by the iron rain.\I'll call it an emperorshell.\Nearing the seventh layer, I came across a human-looking silhouette...\not sure what is really was...\For a little while now, it has been intently observing me.\Damn idiot, I'm watching you too, you know.\It's about the size of a human child. response:	It didn't give off the impression of being a Hollow... so perhaps it actually is a person?
context: Thanks to its shell, it appears to be unfazed by the iron rain.\I'll call it an emperorshell.\Nearing the seventh layer, I came across a human-looking silhouette...\not sure what is really was...\For a little while now, it has been intently observing me.\Damn idiot, I'm watching you too, you know.\It's about the size of a human child.\It didn't give off the impression of being a Hollow... so perhaps it actually is a person? response:	In the first place, where did it even come from?
context: I'll call it an emperorshell.\Nearing the seventh layer, I came across a human-looking silhouette...\not sure what is really was...\For a little while now, it has been intently observing me.\Damn idiot, I'm watching you too, you know.\It's about the size of a human child.\It didn't give off the impression of being a Hollow... so perhaps it actually is a person?\In the first place, where did it even come from? response:	I do not know...
context: Nearing the seventh layer, I came across a human-looking silhouette...\not sure what is really was...\For a little while now, it has been intently observing me.\Damn idiot, I'm watching you too, you know.\It's about the size of a human child.\It didn't give off the impression of being a Hollow... so perhaps it actually is a person?\In the first place, where did it even come from?\I do not know... response:	But, I'm getting closer to the answer.
context: not sure what is really was...\For a little while now, it has been intently observing me.\Damn idiot, I'm watching you too, you know.\It's about the size of a human child.\It didn't give off the impression of being a Hollow... so perhaps it actually is a person?\In the first place, where did it even come from?\I do not know...\But, I'm getting closer to the answer. response:	Reg...
context: For a little while now, it has been intently observing me.\Damn idiot, I'm watching you too, you know.\It's about the size of a human child.\It didn't give off the impression of being a Hollow... so perhaps it actually is a person?\In the first place, where did it even come from?\I do not know...\But, I'm getting closer to the answer.\Reg... response:	Reg!
context: Damn idiot, I'm watching you too, you know.\It's about the size of a human child.\It didn't give off the impression of being a Hollow... so perhaps it actually is a person?\In the first place, where did it even come from?\I do not know...\But, I'm getting closer to the answer.\Reg...\Reg! response:	What is it?
context: It's about the size of a human child.\It didn't give off the impression of being a Hollow... so perhaps it actually is a person?\In the first place, where did it even come from?\I do not know...\But, I'm getting closer to the answer.\Reg...\Reg!\What is it? response:	If you dig up the grass like that, all you're gonna find are bugs.
context: It didn't give off the impression of being a Hollow... so perhaps it actually is a person?\In the first place, where did it even come from?\I do not know...\But, I'm getting closer to the answer.\Reg...\Reg!\What is it?\If you dig up the grass like that, all you're gonna find are bugs. response:	If you're set on digging, try that flat spot right over there.
context: In the first place, where did it even come from?\I do not know...\But, I'm getting closer to the answer.\Reg...\Reg!\What is it?\If you dig up the grass like that, all you're gonna find are bugs.\If you're set on digging, try that flat spot right over there. response:	This here?
context: I do not know...\But, I'm getting closer to the answer.\Reg...\Reg!\What is it?\If you dig up the grass like that, all you're gonna find are bugs.\If you're set on digging, try that flat spot right over there.\This here? response:	Oh? Oh my...
context: But, I'm getting closer to the answer.\Reg...\Reg!\What is it?\If you dig up the grass like that, all you're gonna find are bugs.\If you're set on digging, try that flat spot right over there.\This here?\Oh? Oh my... response:	Nat, what is this thing? It's round and squishy...
context: Reg...\Reg!\What is it?\If you dig up the grass like that, all you're gonna find are bugs.\If you're set on digging, try that flat spot right over there.\This here?\Oh? Oh my...\Nat, what is this thing? It's round and squishy... response:	Ah, uh...
context: Reg!\What is it?\If you dig up the grass like that, all you're gonna find are bugs.\If you're set on digging, try that flat spot right over there.\This here?\Oh? Oh my...\Nat, what is this thing? It's round and squishy...\Ah, uh... response:	That thing's also a Relic of the Abyss.
context: What is it?\If you dig up the grass like that, all you're gonna find are bugs.\If you're set on digging, try that flat spot right over there.\This here?\Oh? Oh my...\Nat, what is this thing? It's round and squishy...\Ah, uh...\That thing's also a Relic of the Abyss. response:	Dunno what exactly, though...
context: If you dig up the grass like that, all you're gonna find are bugs.\If you're set on digging, try that flat spot right over there.\This here?\Oh? Oh my...\Nat, what is this thing? It's round and squishy...\Ah, uh...\That thing's also a Relic of the Abyss.\Dunno what exactly, though... response:	It's got some amazing force holding it together...
context: If you're set on digging, try that flat spot right over there.\This here?\Oh? Oh my...\Nat, what is this thing? It's round and squishy...\Ah, uh...\That thing's also a Relic of the Abyss.\Dunno what exactly, though...\It's got some amazing force holding it together... response:	Is it possible this could be a special-grade Relic?
context: This here?\Oh? Oh my...\Nat, what is this thing? It's round and squishy...\Ah, uh...\That thing's also a Relic of the Abyss.\Dunno what exactly, though...\It's got some amazing force holding it together...\Is it possible this could be a special-grade Relic? response:	No way. You won't find anything but junk around here.
context: Oh? Oh my...\Nat, what is this thing? It's round and squishy...\Ah, uh...\That thing's also a Relic of the Abyss.\Dunno what exactly, though...\It's got some amazing force holding it together...\Is it possible this could be a special-grade Relic?\No way. You won't find anything but junk around here. response:	It's hard to believe this is junk...
context: Nat, what is this thing? It's round and squishy...\Ah, uh...\That thing's also a Relic of the Abyss.\Dunno what exactly, though...\It's got some amazing force holding it together...\Is it possible this could be a special-grade Relic?\No way. You won't find anything but junk around here.\It's hard to believe this is junk... response:	Wait a minute, if it's junk, does that mean it's okay if I keep it?
context: Ah, uh...\That thing's also a Relic of the Abyss.\Dunno what exactly, though...\It's got some amazing force holding it together...\Is it possible this could be a special-grade Relic?\No way. You won't find anything but junk around here.\It's hard to believe this is junk...\Wait a minute, if it's junk, does that mean it's okay if I keep it? response:	Hey, they'll string up you naked for that, you know.
context: That thing's also a Relic of the Abyss.\Dunno what exactly, though...\It's got some amazing force holding it together...\Is it possible this could be a special-grade Relic?\No way. You won't find anything but junk around here.\It's hard to believe this is junk...\Wait a minute, if it's junk, does that mean it's okay if I keep it?\Hey, they'll string up you naked for that, you know. response:	Even junk sells for good money over in foreign countries.
context: Dunno what exactly, though...\It's got some amazing force holding it together...\Is it possible this could be a special-grade Relic?\No way. You won't find anything but junk around here.\It's hard to believe this is junk...\Wait a minute, if it's junk, does that mean it's okay if I keep it?\Hey, they'll string up you naked for that, you know.\Even junk sells for good money over in foreign countries. response:	Being an apprentice sure is tough, huh?
context: It's got some amazing force holding it together...\Is it possible this could be a special-grade Relic?\No way. You won't find anything but junk around here.\It's hard to believe this is junk...\Wait a minute, if it's junk, does that mean it's okay if I keep it?\Hey, they'll string up you naked for that, you know.\Even junk sells for good money over in foreign countries.\Being an apprentice sure is tough, huh? response:	Yeah...
context: Is it possible this could be a special-grade Relic?\No way. You won't find anything but junk around here.\It's hard to believe this is junk...\Wait a minute, if it's junk, does that mean it's okay if I keep it?\Hey, they'll string up you naked for that, you know.\Even junk sells for good money over in foreign countries.\Being an apprentice sure is tough, huh?\Yeah... response:	Look, there's something else back there.
context: No way. You won't find anything but junk around here.\It's hard to believe this is junk...\Wait a minute, if it's junk, does that mean it's okay if I keep it?\Hey, they'll string up you naked for that, you know.\Even junk sells for good money over in foreign countries.\Being an apprentice sure is tough, huh?\Yeah...\Look, there's something else back there. response:	Nat, this is amazing!
context: It's hard to believe this is junk...\Wait a minute, if it's junk, does that mean it's okay if I keep it?\Hey, they'll string up you naked for that, you know.\Even junk sells for good money over in foreign countries.\Being an apprentice sure is tough, huh?\Yeah...\Look, there's something else back there.\Nat, this is amazing! response:	There's no end to these squishy things in here!
context: Wait a minute, if it's junk, does that mean it's okay if I keep it?\Hey, they'll string up you naked for that, you know.\Even junk sells for good money over in foreign countries.\Being an apprentice sure is tough, huh?\Yeah...\Look, there's something else back there.\Nat, this is amazing!\There's no end to these squishy things in here! response:	Right? You just leave it to me!
context: Hey, they'll string up you naked for that, you know.\Even junk sells for good money over in foreign countries.\Being an apprentice sure is tough, huh?\Yeah...\Look, there's something else back there.\Nat, this is amazing!\There's no end to these squishy things in here!\Right? You just leave it to me! response:	There's still more!
context: Even junk sells for good money over in foreign countries.\Being an apprentice sure is tough, huh?\Yeah...\Look, there's something else back there.\Nat, this is amazing!\There's no end to these squishy things in here!\Right? You just leave it to me!\There's still more! response:	What?! What... is that thing?!
context: Being an apprentice sure is tough, huh?\Yeah...\Look, there's something else back there.\Nat, this is amazing!\There's no end to these squishy things in here!\Right? You just leave it to me!\There's still more!\What?! What... is that thing?! response:	Huh?
context: Yeah...\Look, there's something else back there.\Nat, this is amazing!\There's no end to these squishy things in here!\Right? You just leave it to me!\There's still more!\What?! What... is that thing?!\Huh? response:	Ah, that's a skeleton of someone in prayer.
context: Look, there's something else back there.\Nat, this is amazing!\There's no end to these squishy things in here!\Right? You just leave it to me!\There's still more!\What?! What... is that thing?!\Huh?\Ah, that's a skeleton of someone in prayer. response:	Remains like those are from 2,000 years ago, apparently. And all of'em are posed that same way.
context: Nat, this is amazing!\There's no end to these squishy things in here!\Right? You just leave it to me!\There's still more!\What?! What... is that thing?!\Huh?\Ah, that's a skeleton of someone in prayer.\Remains like those are from 2,000 years ago, apparently. And all of'em are posed that same way. response:	Oh...
context: There's no end to these squishy things in here!\Right? You just leave it to me!\There's still more!\What?! What... is that thing?!\Huh?\Ah, that's a skeleton of someone in prayer.\Remains like those are from 2,000 years ago, apparently. And all of'em are posed that same way.\Oh... response:	Anyway, you sure freaked out considering you're a robot.
context: Right? You just leave it to me!\There's still more!\What?! What... is that thing?!\Huh?\Ah, that's a skeleton of someone in prayer.\Remains like those are from 2,000 years ago, apparently. And all of'em are posed that same way.\Oh...\Anyway, you sure freaked out considering you're a robot. response:	Which reminds me...
context: There's still more!\What?! What... is that thing?!\Huh?\Ah, that's a skeleton of someone in prayer.\Remains like those are from 2,000 years ago, apparently. And all of'em are posed that same way.\Oh...\Anyway, you sure freaked out considering you're a robot.\Which reminds me... response:	you ever hear this story before?
context: What?! What... is that thing?!\Huh?\Ah, that's a skeleton of someone in prayer.\Remains like those are from 2,000 years ago, apparently. And all of'em are posed that same way.\Oh...\Anyway, you sure freaked out considering you're a robot.\Which reminds me...\you ever hear this story before? response:	Children who've been eagerly awaiting their birthdays...
context: Huh?\Ah, that's a skeleton of someone in prayer.\Remains like those are from 2,000 years ago, apparently. And all of'em are posed that same way.\Oh...\Anyway, you sure freaked out considering you're a robot.\Which reminds me...\you ever hear this story before?\Children who've been eagerly awaiting their birthdays... response:	have been dying one after the other when that day arrives.
